1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 26606.576),(2 78131.766),(3 158913.77),(4 247314.8),(5 349207.6),(6 460992.66),(7 593721.8),(8 741978.5),(9 894128.7),(10 1061905.5),(11 1205806.8),(12 1391864.6),(13 1595438),(14 1838996.9),(15 2092199),(16 2372341.5),(17 2646730.8),(18 2878844.8),(19 3106013.3),(20 3341068.8),(21 3527405.8),(22 3718152.8),(23 3869973.8),(24 4016132.3),(25 4158960.8),(26 4315258.5),(27 4511376),(28 4718798),(29 4872248.5),(30 5004516.5),(31 5118376.5),(32 5221199.5),(33 5295673.5),(34 5334362.5),(35 5368952.5),(36 5367208),(37 5387543.5),(38 5369758.5),(39 5391203.5),(40 5392561),(41 5413556.5),(42 5390667.5),(43 5406772),(44 5405175.5),(45 5433193.5),(46 5458619.5),(47 5441473.5),(48 5415427.5),(49 5335831),(50 5319256.5),(51 5263508.5),(52 5254880),(53 5249698),(54 5306402.5),(55 5369416),(56 5502581.5),(57 5578189.5),(58 5678048),(59 5707999.5),(60 5752565.5),(61 5737264.5),(62 5751069.5),(63 5761493.5),(64 5796759.5),(65 5831612),(66 5923702),(67 5973850.5),(68 6079577.5),(69 6157234.5),(70 6225910),(71 6288409.5),(72 6332626.5),(73 6383984.5),(74 6426257.5),(75 6472273.5),(76 6487452.5),(77 6480052),(78 6459164),(79 6446189.5),
(1 29448.26),(2 104087.33),(3 213872.47),(4 343661),(5 492015.84),(6 654920.9),(7 843859),(8 1055400.1),(9 1260533.1),(10 1472686.6),(11 1671188),(12 1874317),(13 2091602),(14 2322867.3),(15 2556722),(16 2803115.5),(17 3046525.3),(18 3277195),(19 3492755.5),(20 3696782),(21 3898594.8),(22 4096182.5),(23 4295432.5),(24 4473053.5),(25 4666057.5),(26 4838611),(27 5041797.5),(28 5216508),(29 5385130.5),(30 5543020.5),(31 5724061),(32 5922980.5),(33 6151684),(34 6408421.5),(35 6699850),(36 6992881),(37 7296901.5),(38 7605961.5),(39 7913694.5),(40 8219891),(41 8528837),(42 8805809),(43 9064968),(44 9325950),(45 9573598),(46 9805212),(47 10025541),(48 10193262),(49 10345982),(50 10549303),(51 10724045),(52 10914822),(53 11099254),(54 11283176),(55 11454574),(56 11596520),(57 11678610),(58 11732048),(59 11725998),(60 11653871),(61 11530375),(62 11422507),(63 11338736),(64 11268845),(65 11204270),(66 11132461),(67 11039083),(68 10923614),(69 10823571),(70 10670835),(71 10491654),(72 10298630),(73 10104174),(74 9936021),(75 9818199),(76 9715062),(77 9609885),(78 9532886),(79 9453546),
(1 33593.188),(2 120124.79),(3 249205.33),(4 408995.28),(5 584935.06),(6 777985.2),(7 981727),(8 1199836.9),(9 1420992.5),(10 1655260),(11 1915507),(12 2199264),(13 2519534.5),(14 2873822.3),(15 3258912.8),(16 3655591.3),(17 4071668.8),(18 4471773.5),(19 4840944.5),(20 5169889.5),(21 5514092.5),(22 5862593.5),(23 6229572),(24 6599010.5),(25 7028687.5),(26 7480401.5),(27 7981912),(28 8496184),(29 9006880),(30 9534408),(31 10102306),(32 10715073),(33 11372437),(34 12084364),(35 12820809),(36 13555976),(37 14277201),(38 14963187),(39 15642808),(40 16336079),(41 17102192),(42 17845818),(43 18563560),(44 19309096),(45 19955700),(46 20589754),(47 21186498),(48 21697632),(49 22210494),(50 22741920),(51 23266634),(52 23772242),(53 24228562),(54 24658738),(55 25025504),(56 25277840),(57 25457314),(58 25585842),(59 25679366),(60 25663856),(61 25572624),(62 25505952),(63 25483314),(64 25500168),(65 25523506),(66 25553536),(67 25584512),(68 25545664),(69 25526176),(70 25412304),(71 25270634),(72 25076026),(73 24823542),(74 24535634),(75 24246006),(76 23917192),(77 23566806),(78 23166224),(79 22817454),
(1 69078.16),(2 264294.22),(3 581855.44),(4 997590.44),(5 1485616),(6 2034868.5),(7 2634979.3),(8 3303581),(9 4008430.8),(10 4761036.5),(11 5577230),(12 6437098),(13 7371068.5),(14 8353767),(15 9385373),(16 10449415),(17 11566990),(18 12679614),(19 13755865),(20 14698608),(21 15658770),(22 16622759),(23 17530744),(24 18412098),(25 19263722),(26 20120696),(27 20965544),(28 21834322),(29 22671026),(30 23569928),(31 24469944),(32 25414998),(33 26346520),(34 27328008),(35 28287990),(36 29250456),(37 30186304),(38 31113942),(39 31991694),(40 32876042),(41 33767480),(42 34591630),(43 35287292),(44 35901212),(45 36442892),(46 36830852),(47 37153280),(48 37423360),(49 37689210),(50 37924636),(51 38119900),(52 38239524),(53 38258784),(54 38255016),(55 38143452),(56 37947976),(57 37662430),(58 37340932),(59 36970940),(60 36597870),(61 36208520),(62 35899540),(63 35602470),(64 35382820),(65 35135184),(66 34878852),(67 34628508),(68 34306600),(69 34050416),(70 33727444),(71 33411292),(72 33110638),(73 32812046),(74 32436566),(75 31957244),(76 31423190),(77 30830830),(78 30206280),(79 29538882),
(1 87063.98),(2 335784.47),(3 732818.7),(4 1245286.8),(5 1844856.5),(6 2503005),(7 3208753),(8 3976249.5),(9 4764972.5),(10 5575593.5),(11 6392503.5),(12 7216799.5),(13 8075909),(14 8955679),(15 9858224),(16 10785137),(17 11725770),(18 12661565),(19 13559642),(20 14313025),(21 15099107),(22 15866550),(23 16592529),(24 17300096),(25 17980504),(26 18642804),(27 19334750),(28 20016866),(29 20696140),(30 21388102),(31 22040422),(32 22653096),(33 23256566),(34 23843276),(35 24414214),(36 24987622),(37 25580754),(38 26203358),(39 26815552),(40 27373576),(41 27908568),(42 28334302),(43 28635934),(44 28805388),(45 28964834),(46 28980012),(47 28978778),(48 28982802),(49 28985990),(50 28996702),(51 28994478),(52 28974174),(53 28929914),(54 28904332),(55 28847604),(56 28784108),(57 28645416),(58 28454924),(59 28194490),(60 27930002),(61 27659736),(62 27437946),(63 27209176),(64 27032332),(65 26810982),(66 26528518),(67 26211636),(68 25818462),(69 25471054),(70 25021134),(71 24539968),(72 24060590),(73 23571180),(74 23056460),(75 22502360),(76 21926540),(77 21325880),(78 20685516),(79 20077898),
(1 75435.09),(2 288156.25),(3 616219.7),(4 1038454),(5 1522276.8),(6 2052688.4),(7 2604275.8),(8 3186311.5),(9 3777281.3),(10 4373369),(11 4939600),(12 5476235.5),(13 6006844),(14 6524312),(15 7021989),(16 7516553.5),(17 7966873),(18 8409208),(19 8830712),(20 9173179),(21 9515560),(22 9815737),(23 10066592),(24 10300578),(25 10486914),(26 10622226),(27 10765112),(28 10893002),(29 11026550),(30 11145220),(31 11219306),(32 11280879),(33 11355876),(34 11433056),(35 11525411),(36 11631992),(37 11759480),(38 11912502),(39 12078176),(40 12217638),(41 12353558),(42 12448734),(43 12531247),(44 12604222),(45 12686832),(46 12780691),(47 12936789),(48 13155411),(49 13379371),(50 13630018),(51 13882568),(52 14171984),(53 14495997),(54 14844288),(55 15237459),(56 15653675),(57 16034842),(58 16392182),(59 16696957),(60 16936412),(61 17120800),(62 17251270),(63 17345514),(64 17406822),(65 17427662),(66 17381838),(67 17260096),(68 17075722),(69 16848258),(70 16542382),(71 16173168),(72 15757758),(73 15291320),(74 14805826),(75 14306048),(76 13789870),(77 13264526),(78 12746103),(79 12282961),
(1 68678.3),(2 257495.03),(3 549126.8),(4 927369.06),(5 1370764),(6 1865394.3),(7 2402375.8),(8 2965118.3),(9 3539462.3),(10 4120326.3),(11 4681970),(12 5205774),(13 5706625),(14 6176488.5),(15 6616034.5),(16 7019799.5),(17 7382397.5),(18 7704451.5),(19 7988603),(20 8214592.5),(21 8402582),(22 8542035),(23 8626195),(24 8664933),(25 8641604),(26 8577897),(27 8497806),(28 8400262),(29 8298189),(30 8200218),(31 8105016.5),(32 8043832.5),(33 8008661.5),(34 8004751.5),(35 8032346.5),(36 8060131.5),(37 8093916.5),(38 8144863.5),(39 8236067),(40 8347171),(41 8469729),(42 8600712),(43 8766582),(44 8963967),(45 9165506),(46 9423203),(47 9735691),(48 10071903),(49 10419716),(50 10772034),(51 11121662),(52 11478386),(53 11830511),(54 12171802),(55 12515532),(56 12865147),(57 13216626),(58 13555636),(59 13867006),(60 14121241),(61 14324631),(62 14470263),(63 14589509),(64 14680347),(65 14750062),(66 14815104),(67 14843957),(68 14832352),(69 14742774),(70 14629540),(71 14483215),(72 14304886),(73 14105477),(74 13877033),(75 13633878),(76 13349323),(77 13044714),(78 12753615),(79 12441041),
(1 48904.992),(2 180591.89),(3 383050.1),(4 642407.06),(5 945034.4),(6 1267669.3),(7 1609430.9),(8 1954585.3),(9 2304016.3),(10 2663717.3),(11 3016535.5),(12 3371379.3),(13 3739067.8),(14 4109636.8),(15 4476874.5),(16 4829939),(17 5184929.5),(18 5521623.5),(19 5851005.5),(20 6127744),(21 6408989.5),(22 6663174.5),(23 6893840),(24 7095849.5),(25 7277122.5),(26 7457917.5),(27 7662101.5),(28 7856701.5),(29 8064128),(30 8268641),(31 8466406),(32 8667692),(33 8845034),(34 9003988),(35 9112898),(36 9179444),(37 9219868),(38 9240033),(39 9266155),(40 9266063),(41 9254467),(42 9219586),(43 9179605),(44 9133946),(45 9129931),(46 9109690),(47 9117171),(48 9141280),(49 9190614),(50 9269958),(51 9361044),(52 9459522),(53 9561047),(54 9659024),(55 9762987),(56 9871919),(57 9997148),(58 10132687),(59 10245092),(60 10331963),(61 10399718),(62 10458891),(63 10523258),(64 10622737),(65 10716209),(66 10818013),(67 10899420),(68 10960531),(69 10984771),(70 10974803),(71 10924268),(72 10863991),(73 10806176),(74 10752074),(75 10721894),(76 10687689),(77 10648256),(78 10638690),(79 10599975),
(1 50192.79),(2 187222.8),(3 401144.66),(4 688952.8),(5 1044476.7),(6 1446415.1),(7 1887739.3),(8 2350417.3),(9 2812870.8),(10 3282582),(11 3725402),(12 4152248),(13 4570094),(14 4982197.5),(15 5389034),(16 5787395.5),(17 6194381.5),(18 6586223),(19 6966121.5),(20 7288441.5),(21 7606752),(22 7858076),(23 8048460),(24 8182282.5),(25 8271874),(26 8329357),(27 8363126.5),(28 8375006),(29 8381237.5),(30 8375913.5),(31 8349276),(32 8301195.5),(33 8209951),(34 8065059),(35 7867126),(36 7674970),(37 7483723),(38 7291589.5),(39 7106228.5),(40 6920094),(41 6739351.5),(42 6581148.5),(43 6464417.5),(44 6403845.5),(45 6355033.5),(46 6399933),(47 6529867.5),(48 6741737.5),(49 6987324),(50 7264418.5),(51 7559250),(52 7882721.5),(53 8231112.5),(54 8603287),(55 8998089),(56 9407690),(57 9790490),(58 10100703),(59 10332385),(60 10475932),(61 10566462),(62 10611238),(63 10624566),(64 10613033),(65 10527512),(66 10391580),(67 10183765),(68 9930157),(69 9678775),(70 9357046),(71 9006370),(72 8661485),(73 8327352.5),(74 7999023),(75 7698220),(76 7413847.5),(77 7135205.5),(78 6886713.5),(79 6674145),
(1 65003.277),(2 242593.94),(3 520762.13),(4 890621.5),(5 1336120.5),(6 1838017.1),(7 2395052.5),(8 2978127),(9 3564169.8),(10 4145980.5),(11 4689172.5),(12 5180208),(13 5620441),(14 6000899.5),(15 6328370),(16 6613013.5),(17 6877726),(18 7116565.5),(19 7321138),(20 7490763.5),(21 7648224),(22 7766627.5),(23 7849687),(24 7895289),(25 7904394.5),(26 7883938),(27 7815499.5),(28 7734721),(29 7636135),(30 7518941.5),(31 7392263),(32 7243893.5),(33 7061541),(34 6853708.5),(35 6631033.5),(36 6425940),(37 6244054),(38 6085203.5),(39 5945750),(40 5827124),(41 5725478.5),(42 5671452.5),(43 5659084.5),(44 5701432.5),(45 5757839),(46 5889032),(47 6079576),(48 6321200.5),(49 6585590),(50 6865200.5),(51 7151156),(52 7440675.5),(53 7736841),(54 8030997.5),(55 8311950),(56 8580197),(57 8810053),(58 8966815),(59 9085369),(60 9157730),(61 9183684),(62 9150628),(63 9062003),(64 8913513),(65 8705189),(66 8450301),(67 8161934),(68 7866007),(69 7575731.5),(70 7298196.5),(71 7039880),(72 6807559.5),(73 6589589.5),(74 6391478.5),(75 6219787.5),(76 6056817),(77 5903563.5),(78 5752103.5),(79 5639839),
(1 73173.984),(2 269124.06),(3 564589.06),(4 932207.75),(5 1340834.9),(6 1767890.6),(7 2209129.3),(8 2645048.5),(9 3061517.8),(10 3452248),(11 3797315.3),(12 4087805.3),(13 4319140.5),(14 4485594.5),(15 4600433),(16 4682000),(17 4737281),(18 4794312),(19 4847304.5),(20 4876339),(21 4933572),(22 4996204.5),(23 5059025),(24 5127791),(25 5175588.5),(26 5186053.5),(27 5176002.5),(28 5153182),(29 5118164),(30 5069687.5),(31 5015958),(32 4941956.5),(33 4836723),(34 4700196),(35 4557395),(36 4412046),(37 4283522),(38 4176038.5),(39 4081366.5),(40 4007692.3),(41 3948986),(42 3909342.5),(43 3883671),(44 3880999),(45 3900891.5),(46 3937581.8),(47 4013878.5),(48 4132134.5),(49 4297668),(50 4492207),(51 4701335),(52 4908831),(53 5118077),(54 5318086.5),(55 5503836.5),(56 5679452),(57 5844482),(58 5989050.5),(59 6114692.5),(60 6229075),(61 6313826.5),(62 6366498),(63 6397513.5),(64 6418629.5),(65 6426996),(66 6416115),(67 6394485.5),(68 6371181.5),(69 6343333.5),(70 6323110.5),(71 6308208),(72 6298028.5),(73 6262196),(74 6234868.5),(75 6210476),(76 6179291.5),(77 6142546.5),(78 6091014.5),(79 6048524),
