1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1849.8083),(2 5000.27),(3 8158.3013),(4 10461.208),(5 12066.909),(6 13227.15),(7 13925.065),(8 13877.061),(9 13554.115),(10 13253.697),(11 12936.041),(12 12789.012),(13 12748.294),(14 12897.565),(15 13024.437),(16 13172.574),(17 13443.564),(18 13783.223),(19 13964.432),(20 14151.98),(21 14323.485),(22 14571.947),(23 14871.455),(24 15014.448),(25 14998.908),(26 14864.495),(27 14686.672),(28 14677.694),(29 14522.919),(30 14535.354),(31 14680.899),(32 14807.283),(33 14792.306),(34 14787.562),(35 14813.65),(36 14972.044),(37 15262.639),(38 15478.792),(39 15529.731),(40 15577.658),(41 15548.52),(42 15613.459),(43 15694.071),(44 15734.352),(45 15797.998),(46 15939.148),(47 15995.107),(48 16019.303),(49 16135.551),(50 16180.502),(51 16059.301),(52 15955.999),(53 15874.887),(54 16063.209),(55 16391.09),(56 16763.094),(57 16975.824),(58 17087.475),(59 17165.996),(60 17203.55),(61 17177.762),(62 17228.9),(63 17236.002),(64 17168.58),(65 17057.223),(66 17006.816),(67 17009.07),(68 16958.479),(69 16734.549),(70 16532.271),(71 16472.863),(72 16435.146),(73 16293.875),(74 16054.698),(75 15963.74),(76 15980.661),(77 16073.028),(78 16175.17),(79 16420.215),
(1 1865.8291),(2 5033.09),(3 8202.652),(4 10466.194),(5 11864.805),(6 13003.82),(7 13523.359),(8 13456.889),(9 12940.181),(10 12411.933),(11 11993.042),(12 11734.431),(13 11736.675),(14 11859.908),(15 12056.582),(16 12336.831),(17 12652.62),(18 12929.902),(19 13233.872),(20 13501.454),(21 13693.71),(22 13843.258),(23 13757.503),(24 13789.631),(25 13852.422),(26 14043.925),(27 14333.424),(28 14531.582),(29 14613.947),(30 14644.6),(31 14609.435),(32 14526.294),(33 14357.924),(34 14214.746),(35 14297.079),(36 14513.964),(37 14782.102),(38 14996.922),(39 15116.279),(40 15068.261),(41 14863.274),(42 14664.618),(43 14556.976),(44 14703.14),(45 14865.689),(46 15022.369),(47 15011.209),(48 14996.891),(49 15001.895),(50 15159.496),(51 15361.845),(52 15405.135),(53 15350.106),(54 15426.197),(55 15498.971),(56 15536.137),(57 15626.583),(58 15832.721),(59 15863.052),(60 15752.733),(61 15672.818),(62 15766.909),(63 15795.977),(64 15732.125),(65 15560.662),(66 15337.256),(67 15185.485),(68 15006.948),(69 14955.681),(70 14897.208),(71 14873.978),(72 14845.256),(73 14805.05),(74 14889.531),(75 15010.786),(76 15106.078),(77 15307.243),(78 15460.914),(79 15551.246),
(1 1811.7427),(2 4891.1772),(3 7937.9873),(4 10123.966),(5 11645.357),(6 12731.315),(7 13249.768),(8 13175.639),(9 12771.36),(10 12236.42),(11 11728.033),(12 11386.844),(13 11317.585),(14 11461.901),(15 11723.154),(16 12151.519),(17 12579.646),(18 12755.093),(19 12926.66),(20 13126.465),(21 13254.323),(22 13440.625),(23 13421.293),(24 13527.506),(25 13507.876),(26 13624.037),(27 13860.906),(28 14092.156),(29 14133.984),(30 14231.559),(31 14307.9795),(32 14419.521),(33 14471.669),(34 14573.761),(35 14847.864),(36 15235.342),(37 15366.185),(38 15227.816),(39 15056.546),(40 14864.932),(41 14721.67),(42 14717.661),(43 14752.902),(44 14846.353),(45 14806.486),(46 14770.749),(47 14730.699),(48 14857.49),(49 15094.573),(50 15205.093),(51 15181.025),(52 14937.987),(53 14759.759),(54 14724.743),(55 14850.006),(56 15089.924),(57 15193.745),(58 15383.122),(59 15610.071),(60 15744.917),(61 15792.535),(62 15716.129),(63 15545.467),(64 15341.559),(65 15131.683),(66 14947.105),(67 14953.9795),(68 15118.327),(69 15314.179),(70 15390.416),(71 15242.319),(72 15091.088),(73 15098.503),(74 15296.12),(75 15636.752),(76 15865.29),(77 15828.839),(78 15667.128),(79 15563.632),
(1 1804.6289),(2 4779.677),(3 7547.653),(4 9374.841),(5 10642.796),(6 11553.176),(7 12087.944),(8 12016.476),(9 11793.968),(10 11473.861),(11 11285.23),(12 11114.107),(13 11196.803),(14 11429.56),(15 11706.499),(16 11998.973),(17 12415.833),(18 12600.25),(19 12703.568),(20 12678.013),(21 12727.554),(22 12848.675),(23 12806.095),(24 12866.024),(25 12962.084),(26 13078.043),(27 13262.792),(28 13458.464),(29 13615.769),(30 13721.499),(31 13662.21),(32 13503.114),(33 13317.587),(34 13292.196),(35 13373.968),(36 13610.874),(37 13654.075),(38 13671.345),(39 13753.017),(40 13760.876),(41 13758.305),(42 13865.145),(43 14052.16),(44 14220.863),(45 14211.323),(46 14222.019),(47 14352.694),(48 14406.81),(49 14397.48),(50 14259.941),(51 14174.9),(52 14132.986),(53 14163.844),(54 14263.948),(55 14363.755),(56 14516.689),(57 14731.396),(58 14885.826),(59 14998.718),(60 14962.452),(61 14844.046),(62 14779.454),(63 14783.52),(64 14740.65),(65 14639.546),(66 14621.833),(67 14662.415),(68 14773.787),(69 14790.3545),(70 14851.118),(71 15031.6045),(72 15060.055),(73 14936.597),(74 14835.646),(75 14701.022),(76 14693.143),(77 14740.603),(78 14680.326),(79 14612.051),
(1 1672.8717),(2 4280.803),(3 6638.6343),(4 8198.302),(5 9271.609),(6 10176.235),(7 10706.249),(8 10724.861),(9 10551.165),(10 10325.037),(11 10363.791),(12 10349.1),(13 10431.011),(14 10479.715),(15 10554.574),(16 10800.092),(17 11214.46),(18 11433.048),(19 11504.071),(20 11614.899),(21 11637.144),(22 11817.157),(23 11768.296),(24 11671.101),(25 11609.552),(26 11710.968),(27 11926.685),(28 12119.738),(29 12340.648),(30 12514.471),(31 12630.573),(32 12629.773),(33 12546.331),(34 12550.024),(35 12670.839),(36 12816.841),(37 12904.409),(38 12944.611),(39 13059.732),(40 13128.163),(41 13139.375),(42 13284.903),(43 13384.106),(44 13288.721),(45 13146.37),(46 13063.02),(47 13117.965),(48 13253.041),(49 13314.237),(50 13361.178),(51 13395.39),(52 13486.108),(53 13486.323),(54 13490.669),(55 13453.148),(56 13442.991),(57 13360.827),(58 13349.781),(59 13589.557),(60 13772.385),(61 13863.243),(62 13924.012),(63 13890.215),(64 13797.5205),(65 13539.891),(66 13198.622),(67 13018.86),(68 13095.234),(69 13168.183),(70 13260.376),(71 13324.3),(72 13385.158),(73 13440.514),(74 13439.172),(75 13348.135),(76 13184.618),(77 13190.606),(78 13332.662),(79 13565.894),
(1 1677.3473),(2 4343.326),(3 6743.6787),(4 8205.217),(5 9193.478),(6 10012.813),(7 10537.23),(8 10718.917),(9 10751.452),(10 10768.659),(11 10945.73),(12 11073.728),(13 11374.282),(14 11448.904),(15 11397.826),(16 11389.337),(17 11428.157),(18 11366.528),(19 11234.346),(20 11158.137),(21 11235.246),(22 11338.804),(23 11449.99),(24 11472.436),(25 11498.513),(26 11700.255),(27 12035.9375),(28 12241.85),(29 12323.502),(30 12385.561),(31 12509.085),(32 12556.881),(33 12585.888),(34 12795.994),(35 13047.517),(36 13193.222),(37 13144.353),(38 13141.522),(39 13328.532),(40 13451.161),(41 13505.786),(42 13526.744),(43 13500.432),(44 13359.504),(45 13109.62),(46 13003.743),(47 13012.21),(48 12992.538),(49 13037.08),(50 13076.671),(51 12955.116),(52 12854.385),(53 12757.715),(54 12837.269),(55 12967.58),(56 12961.318),(57 12892.814),(58 12895.11),(59 12888.628),(60 12839.107),(61 12780.862),(62 12727.485),(63 12598.244),(64 12574.531),(65 12578.984),(66 12594.0205),(67 12593.75),(68 12753.657),(69 12880.705),(70 12941.024),(71 12951.675),(72 13011.622),(73 13108.138),(74 13044.178),(75 12940.656),(76 12875.9),(77 13030.928),(78 13185.906),(79 13257.807),
(1 1563.4608),(2 4031.9414),(3 6230.3364),(4 7603.7007),(5 8718.441),(6 9823.529),(7 10505.219),(8 10859.603),(9 10972.973),(10 11110.612),(11 11247.25),(12 11363.746),(13 11509.546),(14 11533.807),(15 11366.579),(16 11362.012),(17 11395.972),(18 11321.386),(19 11077.581),(20 10948.999),(21 11073.153),(22 11182.604),(23 11272.136),(24 11355.847),(25 11436.148),(26 11425.549),(27 11470.963),(28 11626.393),(29 11764.016),(30 11886.509),(31 12026.023),(32 12154.181),(33 12164.317),(34 12066.284),(35 12087.612),(36 12196.711),(37 12350.963),(38 12509.099),(39 12460.539),(40 12367.512),(41 12280.988),(42 12233.937),(43 12211.736),(44 12180.6455),(45 12198.586),(46 12251.349),(47 12198.445),(48 12208.648),(49 12325.449),(50 12559.839),(51 12759.017),(52 12935.627),(53 12901.689),(54 12918.834),(55 12980.384),(56 12999.055),(57 12948.63),(58 12837.147),(59 12638.486),(60 12505.645),(61 12461.866),(62 12410.604),(63 12433.882),(64 12423.568),(65 12426.347),(66 12447.561),(67 12362.728),(68 12201.572),(69 12016.788),(70 11918.124),(71 11893.132),(72 11880.546),(73 11970.216),(74 11929.309),(75 11899.551),(76 11926.908),(77 12173.712),(78 12448.171),(79 12583.518),
(1 1560.6217),(2 3991.8027),(3 5970.1074),(4 7303.022),(5 8400.775),(6 9322.348),(7 9743.272),(8 9783.322),(9 9774.758),(10 9793.664),(11 9820.375),(12 9829.118),(13 9929.34),(14 10031.29),(15 9939.313),(16 10057.556),(17 10300.062),(18 10475.882),(19 10573.766),(20 10724.984),(21 10964.921),(22 11203.23),(23 11310.322),(24 11321.118),(25 11325.946),(26 11312.702),(27 11394.8),(28 11532.87),(29 11596.592),(30 11721.772),(31 11741.261),(32 11743.071),(33 11789.442),(34 11922.5205),(35 11938.295),(36 11900.918),(37 11763.833),(38 11524.385),(39 11321.324),(40 11330.826),(41 11373.464),(42 11469.077),(43 11402.883),(44 11439.798),(45 11573.264),(46 11785.507),(47 11959.622),(48 12126.757),(49 12199.535),(50 12336.916),(51 12489.06),(52 12663.683),(53 12838.212),(54 12943.263),(55 12966.575),(56 12931.986),(57 12809.604),(58 12721.054),(59 12603.635),(60 12495.152),(61 12277.459),(62 12078.805),(63 11998.234),(64 11962.727),(65 11901.358),(66 11884.308),(67 11808.142),(68 11842.0625),(69 11914.105),(70 11930.053),(71 11865.134),(72 11816.909),(73 11811.264),(74 11851.333),(75 11803.398),(76 11699.43),(77 11762.502),(78 11897.657),(79 11978.084),
(1 1646.5643),(2 4180.1367),(3 6394.2817),(4 7855.367),(5 9098.055),(6 10092.37),(7 10630.783),(8 10769.923),(9 10792.4),(10 10833.157),(11 10767.429),(12 10564.749),(13 10387.771),(14 10247.318),(15 10209.107),(16 10384.18),(17 10777.389),(18 11085.205),(19 11311.053),(20 11552.982),(21 11665.71),(22 11717.31),(23 11847.654),(24 11941.932),(25 11897.394),(26 11847.714),(27 11871.357),(28 11912.714),(29 11872.653),(30 11889.688),(31 12013.671),(32 12232.153),(33 12362.737),(34 12452.166),(35 12360.8125),(36 12174.386),(37 11900.447),(38 11545.577),(39 11334.525),(40 11384.826),(41 11593.529),(42 11653.275),(43 11522.115),(44 11523.737),(45 11778.771),(46 12057.032),(47 12229.8),(48 12221.201),(49 12025.581),(50 11956.045),(51 12056.843),(52 12208.151),(53 12168.329),(54 12140.258),(55 12287.914),(56 12600.23),(57 12847.879),(58 12992.1455),(59 12924.967),(60 12669.046),(61 12423.422),(62 12229.896),(63 12141.96),(64 12138.483),(65 12194.828),(66 12350.047),(67 12466.96),(68 12522.293),(69 12359.75),(70 12200.1045),(71 12166.638),(72 12264.145),(73 12434.741),(74 12500.286),(75 12422.772),(76 12418.831),(77 12575.054),(78 12755.156),(79 12780.505),
(1 1660.7322),(2 4300.0728),(3 6644.382),(4 8220.392),(5 9499.089),(6 10528.748),(7 10994.062),(8 11155.526),(9 11217.396),(10 11196.713),(11 11199.556),(12 11178.196),(13 11182.308),(14 11069.75),(15 10875.44),(16 10741.528),(17 10713.65),(18 10780.461),(19 10918.865),(20 11165.368),(21 11232.6455),(22 11222.069),(23 11165.055),(24 11154.724),(25 11098.729),(26 11123.304),(27 11226.58),(28 11424.708),(29 11654.043),(30 11804.99),(31 12012.411),(32 12146.614),(33 12278.249),(34 12376.785),(35 12438.982),(36 12451.113),(37 12402.419),(38 12289.636),(39 12082.249),(40 12123.931),(41 12363.284),(42 12595.373),(43 12601.852),(44 12584.16),(45 12577.116),(46 12545.7295),(47 12526.2705),(48 12521.473),(49 12485.366),(50 12388.364),(51 12455.289),(52 12461.248),(53 12451.803),(54 12378.938),(55 12262.759),(56 12320.8125),(57 12476.845),(58 12702.078),(59 12881.53),(60 12954.293),(61 12876.98),(62 12873.95),(63 12962.341),(64 12968.777),(65 12840.431),(66 12569.5),(67 12372.924),(68 12244.634),(69 12144.668),(70 12042.076),(71 11841.414),(72 11768.308),(73 11769.272),(74 11781.489),(75 11647.205),(76 11597.775),(77 11624.833),(78 11711.128),(79 11680.243),
(1 1587.5116),(2 4115.341),(3 6362.6973),(4 7873.128),(5 9098.482),(6 10083.935),(7 10580.472),(8 10699.016),(9 10772.826),(10 10840.462),(11 10797.756),(12 10797.952),(13 10973.813),(14 11173.089),(15 11392.374),(16 11408.09),(17 11458.25),(18 11365.581),(19 11237.756),(20 11141.543),(21 11168.488),(22 11199.493),(23 11186.692),(24 11245.991),(25 11313.736),(26 11452.431),(27 11612.296),(28 11821.351),(29 12006.532),(30 12109.616),(31 12036.395),(32 11887.253),(33 11727.997),(34 11615.085),(35 11635.735),(36 11752.771),(37 11818.863),(38 11916.419),(39 11897.971),(40 11892.061),(41 11962.707),(42 11945.839),(43 11859.049),(44 11717.381),(45 11680.951),(46 11883.224),(47 12198.703),(48 12419.75),(49 12532.588),(50 12666.748),(51 12624.165),(52 12430.688),(53 12232.19),(54 12262.662),(55 12225.355),(56 12259.477),(57 12387.986),(58 12529.439),(59 12478.179),(60 12319.552),(61 12217.895),(62 12223.594),(63 12271.919),(64 12293.831),(65 12204.7705),(66 12092.085),(67 12046.615),(68 12050.667),(69 12013.728),(70 11906.211),(71 11837.591),(72 11853.597),(73 11808.097),(74 11710.399),(75 11699.01),(76 11771.212),(77 11831.372),(78 11796.197),(79 11670.911),
(1 1549.3354),(2 3965.9004),(3 6120.197),(4 7621.778),(5 8778.425),(6 9680.2),(7 10034.643),(8 10090.8125),(9 10104.079),(10 10064.883),(11 10049.892),(12 10023.182),(13 10282.61),(14 10581.927),(15 10842.377),(16 11016.499),(17 11165.694),(18 11067.491),(19 10868.892),(20 10691.279),(21 10595.084),(22 10628.626),(23 10747.211),(24 10919.306),(25 11299.024),(26 11702.403),(27 11915.594),(28 12128.178),(29 12148.386),(30 12153.321),(31 12009.642),(32 11841.083),(33 11673.785),(34 11455.16),(35 11176.455),(36 11050.252),(37 10964.696),(38 10874.732),(39 10785.078),(40 10664.919),(41 10593.455),(42 10567.389),(43 10759.589),(44 10984.745),(45 11076.696),(46 11147.352),(47 11293.508),(48 11491.009),(49 11759.996),(50 12084.496),(51 12314.772),(52 12332.392),(53 12183.233),(54 12151.259),(55 12212.63),(56 12285.953),(57 12275.195),(58 12228.682),(59 12117.13),(60 11910.273),(61 11814.313),(62 11745.498),(63 11819.922),(64 11808.008),(65 11766.245),(66 11718.839),(67 11662.21),(68 11738.981),(69 11733.355),(70 11502.294),(71 11218.027),(72 11075.82),(73 11028.393),(74 11014.488),(75 11056.871),(76 11039.794),(77 11002.741),(78 10916.454),(79 10759.841),
(1 1536.6804),(2 3958.0513),(3 6114.906),(4 7615.837),(5 8833.256),(6 9706.793),(7 10022.92),(8 9999.623),(9 10017.443),(10 9989.452),(11 9844.611),(12 9793.195),(13 9887.962),(14 10034.644),(15 10204.413),(16 10487.575),(17 10812.286),(18 11023.196),(19 11021.006),(20 10926.996),(21 10765.42),(22 10785.989),(23 10897.23),(24 11092.567),(25 11388.485),(26 11768.131),(27 11982.858),(28 12192.108),(29 12236.692),(30 12259.033),(31 12295.622),(32 12224.752),(33 11983.628),(34 11611.811),(35 11268.998),(36 11114.53),(37 10978.1875),(38 10909.658),(39 10919.721),(40 10972.219),(41 11104.731),(42 11200.783),(43 11252.201),(44 11236.574),(45 11149.471),(46 11091.894),(47 11150.368),(48 11223.976),(49 11416.902),(50 11894.761),(51 12414.081),(52 12740.001),(53 12723.432),(54 12583.964),(55 12368.102),(56 12242.258),(57 12151.253),(58 12023.892),(59 11915.671),(60 11811.984),(61 11742.644),(62 11784.842),(63 11872.288),(64 11770.161),(65 11614.961),(66 11601.562),(67 11548.14),(68 11463.747),(69 11373.692),(70 11416.152),(71 11419.636),(72 11354.666),(73 11193.193),(74 10835.951),(75 10562.503),(76 10483.781),(77 10564.329),(78 10704.233),(79 10809.138),
(1 1530.8513),(2 3877.2603),(3 5966.4897),(4 7386.8774),(5 8494.292),(6 9310.628),(7 9576.186),(8 9476.25),(9 9373.593),(10 9259.834),(11 9145.005),(12 9138.41),(13 9182.5),(14 9285.531),(15 9495.199),(16 9802.795),(17 10273.608),(18 10683.843),(19 10928.949),(20 11058.149),(21 10891.74),(22 10668.682),(23 10598.137),(24 10650.801),(25 10738.426),(26 10798.892),(27 10797.461),(28 10884.49),(29 10828.214),(30 10655.089),(31 10501.797),(32 10265.717),(33 9956.804),(34 9793.22),(35 9790.954),(36 9939.481),(37 10131.645),(38 10288.925),(39 10338.242),(40 10342.492),(41 10370.832),(42 10395.252),(43 10384.809),(44 10383.763),(45 10441.493),(46 10464.868),(47 10473.201),(48 10523.327),(49 10687.112),(50 10999.82),(51 11161.521),(52 11270.046),(53 11187.604),(54 10973.965),(55 10728.516),(56 10815.071),(57 11074.539),(58 11345.354),(59 11365.245),(60 11253.1875),(61 11038.097),(62 10790.01),(63 10586.931),(64 10505.942),(65 10559.142),(66 10804.954),(67 11005.512),(68 11130.671),(69 11138.146),(70 11147.018),(71 10938.134),(72 10600.444),(73 10330.335),(74 10074.112),(75 9948.643),(76 9887.6455),(77 10011.7),(78 10226.869),(79 10383.899),
(1 1511.7092),(2 3823.6875),(3 5855.3867),(4 7197.346),(5 8192.577),(6 8869.028),(7 8957.059),(8 8755.881),(9 8670.759),(10 8583.144),(11 8562.406),(12 8782.858),(13 9108.403),(14 9362.372),(15 9649.424),(16 9987.621),(17 10359.929),(18 10589.268),(19 10595.869),(20 10565.065),(21 10366.872),(22 10166.309),(23 10070.01),(24 10097.241),(25 10154.475),(26 10215.041),(27 10351.5625),(28 10319.556),(29 10113.814),(30 9913.919),(31 9772.963),(32 9654.69),(33 9517.618),(34 9489.024),(35 9587.978),(36 9732.949),(37 9763.733),(38 9754.959),(39 9719.143),(40 9711.801),(41 9861.926),(42 10112.121),(43 10391.415),(44 10554.002),(45 10688.688),(46 10820.727),(47 10776.847),(48 10725.595),(49 10710.434),(50 10834.571),(51 10885.877),(52 10859.868),(53 10819.864),(54 10772.543),(55 10693.832),(56 10707.376),(57 10725.808),(58 10829.666),(59 10745.273),(60 10476.396),(61 10194.747),(62 10050.789),(63 10066.855),(64 10143.373),(65 10155.184),(66 10129.741),(67 10115.801),(68 10186.428),(69 10142.445),(70 10106.495),(71 10292.215),(72 10539.452),(73 10685.708),(74 10611.523),(75 10423.77),(76 10290.551),(77 10119.404),(78 9976.516),(79 9934.719),
(1 1503.1432),(2 3856.8535),(3 5916.1743),(4 7194.0947),(5 8016.03),(6 8494.177),(7 8451.422),(8 8209.662),(9 8156.8984),(10 8236.902),(11 8429.476),(12 8851.217),(13 9320.222),(14 9547.558),(15 9532.937),(16 9485.274),(17 9505.2295),(18 9494.473),(19 9509.635),(20 9536.234),(21 9509.759),(22 9491.321),(23 9375.194),(24 9397.258),(25 9527.476),(26 9650.552),(27 9804.994),(28 9847.919),(29 9813.046),(30 9841.823),(31 9922.269),(32 9897.739),(33 9824.323),(34 9727.182),(35 9574.167),(36 9350.336),(37 9185.483),(38 9108.258),(39 9114.082),(40 9273.63),(41 9415.432),(42 9448.574),(43 9426.471),(44 9477.3125),(45 9605.888),(46 9752.391),(47 9913.305),(48 10051.111),(49 10162.315),(50 10308.437),(51 10642.396),(52 10954.084),(53 11068.933),(54 11009.961),(55 10690.403),(56 10383.165),(57 10220.5205),(58 10259.222),(59 10224.052),(60 10195.311),(61 10231.825),(62 10354.942),(63 10411.416),(64 10249.726),(65 10001.761),(66 9929.101),(67 9938.514),(68 10018.256),(69 10123.929),(70 10241.598),(71 10422.294),(72 10426.952),(73 10257.975),(74 9976.852),(75 9764.743),(76 9694.269),(77 9678.309),(78 9829.181),(79 10132.701),
(1 1407.2091),(2 3646.5813),(3 5581.649),(4 6852.1304),(5 7673.6978),(6 8097.2246),(7 8019.2256),(8 7789.847),(9 7592.267),(10 7574.608),(11 7833.995),(12 8254.781),(13 8612.159),(14 8791.118),(15 8741.107),(16 8666.293),(17 8568.442),(18 8471.014),(19 8370.939),(20 8316.349),(21 8292.9),(22 8348.947),(23 8486.134),(24 8689.358),(25 8888.817),(26 9028.537),(27 9104.792),(28 9078.816),(29 9079.778),(30 9092.576),(31 9006.798),(32 8881.743),(33 8753.794),(34 8777.959),(35 8870.484),(36 8964.9375),(37 9018.234),(38 9027.231),(39 9032.356),(40 9076.03),(41 9073.289),(42 9049.317),(43 8994.048),(44 8961.373),(45 8994.998),(46 9174.117),(47 9492.044),(48 9807.548),(49 10000.513),(50 10100.622),(51 10195.158),(52 10209.969),(53 10194.048),(54 10127.583),(55 9970.909),(56 9843.147),(57 9801.221),(58 9846.258),(59 9871.15),(60 9780.823),(61 9621.875),(62 9393.012),(63 9306.718),(64 9357.402),(65 9430.969),(66 9633.461),(67 9787.755),(68 9790.314),(69 9626.831),(70 9391.544),(71 9105.07),(72 8789.464),(73 8596.986),(74 8612.115),(75 8742.758),(76 8990.69),(77 9155.772),(78 9157.423),(79 9169.918),
(1 1426.0269),(2 3627.1946),(3 5531.135),(4 6671.0625),(5 7497.1753),(6 7783.7705),(7 7628.954),(8 7444.2075),(9 7350.5034),(10 7384.831),(11 7629.099),(12 8013.8633),(13 8453.741),(14 8660.992),(15 8656.331),(16 8573.61),(17 8578.375),(18 8598.498),(19 8664.325),(20 8729.932),(21 8807.496),(22 8775.66),(23 8775.54),(24 8800.804),(25 8816.234),(26 8831.217),(27 8814.852),(28 8654.025),(29 8553.174),(30 8611.797),(31 8561.746),(32 8562.543),(33 8576.548),(34 8591.455),(35 8604.842),(36 8579.528),(37 8642.818),(38 8668.211),(39 8698.997),(40 8723.452),(41 8715.518),(42 8626.72),(43 8651.274),(44 8758.083),(45 8968.822),(46 9200.453),(47 9401.79),(48 9496.446),(49 9532.918),(50 9529.376),(51 9502.867),(52 9541.581),(53 9520.717),(54 9474.149),(55 9442.95),(56 9478.123),(57 9473.841),(58 9354.377),(59 9311.931),(60 9351.808),(61 9304.07),(62 9229.778),(63 9244.429),(64 9292.512),(65 9309.317),(66 9287.544),(67 9153.303),(68 8965.467),(69 8739.922),(70 8694.908),(71 8825.512),(72 9047.959),(73 9221.416),(74 9374.785),(75 9413.49),(76 9230.754),(77 8956.673),(78 8644.081),(79 8544.032),
