1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 282038.66),(2 1005755.8),(3 2135339.5),(4 3571243.3),(5 5240773.5),(6 7222361.5),(7 9592025),(8 12426243),(9 15473015),(10 18518902),(11 21370172),(12 24407370),(13 27446328),(14 30542498),(15 33780496),(16 37170868),(17 40718476),(18 44827010),(19 48794252),(20 52854148),(21 57289324),(22 61896556),(23 66838836),(24 71639144),(25 76329110),(26 81241450),(27 86438900),(28 91427624),(29 96332490),(30 101270170),(31 106038270),(32 111230056),(33 116843110),(34 122114890),(35 127901270),(36 133436504),(37 138777710),(38 144403470),(39 149900590),(40 155488940),(41 161464590),(42 167528110),(43 173577740),(44 179233650),(45 184772100),(46 189773940),(47 194764800),(48 199952000),(49 204557890),(50 209423490),(51 214040720),(52 218131140),(53 221949380),(54 226251710),(55 230382770),(56 234334200),(57 238226770),(58 242295660),(59 246453330),(60 250838270),(61 254830030),(62 258800530),(63 262688510),(64 266057730),(65 269654530),(66 272985950),(67 276152640),(68 279301340),(69 282209060),(70 284945300),(71 287824540),(72 291282700),(73 294767900),(74 298466940),(75 301984220),(76 305130780),(77 308487780),(78 312361730),(79 315532600),
(1 275733.34),(2 1009478),(3 2105557.5),(4 3471452),(5 5014185),(6 6670894.5),(7 8405306),(8 10326221),(9 12333709),(10 14308283),(11 16231818),(12 18248136),(13 20285740),(14 22373912),(15 24439718),(16 26648742),(17 29056868),(18 31639084),(19 34334036),(20 37183640),(21 40078230),(22 42964150),(23 46113280),(24 49274430),(25 52417970),(26 55504920),(27 58473332),(28 61372224),(29 64296064),(30 67164500),(31 69751944),(32 72286910),(33 74886040),(34 77430630),(35 79786960),(36 81899480),(37 84005140),(38 86050990),(39 87690984),(40 89068590),(41 90276630),(42 91247380),(43 91892136),(44 92148504),(45 92289360),(46 92108260),(47 91971310),(48 92019090),(49 91755120),(50 91411080),(51 91201050),(52 91142690),(53 91308940),(54 91681870),(55 91920510),(56 92370470),(57 92996140),(58 93794300),(59 94689040),(60 95691270),(61 96780370),(62 97973400),(63 99582760),(64 100906440),(65 102583110),(66 104266904),(67 106002104),(68 108064104),(69 110127976),(70 112294580),(71 114679440),(72 116837990),(73 119007020),(74 121263820),(75 123573100),(76 126008320),(77 128556620),(78 131028910),(79 133016296),
(1 300598.84),(2 1100620.6),(3 2295159),(4 3765025),(5 5416835.5),(6 7164386.5),(7 9015217),(8 10876832),(9 12742272),(10 14555688),(11 16280731),(12 17940318),(13 19478576),(14 20904934),(15 22212246),(16 23686310),(17 25376606),(18 27146282),(19 29097832),(20 31133968),(21 33270592),(22 35539730),(23 38033252),(24 40826476),(25 43962652),(26 47293436),(27 50762990),(28 54305956),(29 57835024),(30 61291396),(31 64895904),(32 68642890),(33 72660184),(34 76554700),(35 80386056),(36 84155336),(37 87695000),(38 91303810),(39 94727590),(40 97903784),(41 100885570),(42 103854200),(43 106662850),(44 109446780),(45 111825336),(46 114025470),(47 115991940),(48 117852630),(49 119415230),(50 120808040),(51 122045850),(52 122929704),(53 123517630),(54 123740136),(55 123765736),(56 123797096),(57 123621210),(58 123467560),(59 123050344),(60 122473090),(61 121928960),(62 121380670),(63 120826280),(64 119819390),(65 118671270),(66 117395050),(67 116098560),(68 114740440),(69 113290470),(70 111953896),(71 110790056),(72 109593464),(73 108488856),(74 107549736),(75 106994024),(76 106507520),(77 106009576),(78 105732136),(79 105491160),
(1 262371.84),(2 951829.1),(3 1943188.3),(4 3142208.3),(5 4500699),(6 5977249),(7 7515883.5),(8 9039932),(9 10546309),(10 11984101),(11 13357641),(12 14687527),(13 15996139),(14 17361796),(15 18682496),(16 20120190),(17 21636220),(18 23182016),(19 24777658),(20 26351170),(21 27885032),(22 29359880),(23 30888114),(24 32578504),(25 34590644),(26 36764388),(27 39062800),(28 41530230),(29 44214850),(30 47025628),(31 50224384),(32 53405570),(33 56666910),(34 59694400),(35 62591096),(36 65502556),(37 68455830),(38 71501410),(39 74576424),(40 77871190),(41 81259416),(42 84770940),(43 88343990),(44 91917680),(45 95345630),(46 98818904),(47 101928780),(48 104730456),(49 107262220),(50 109499960),(51 111638590),(52 113468070),(53 115052584),(54 116224850),(55 117137040),(56 118002230),(57 118565450),(58 119095430),(59 119254750),(60 119142570),(61 118830460),(62 118200130),(63 117279390),(64 116001890),(65 114498250),(66 112869870),(67 111211550),(68 109527710),(69 107707990),(70 105755620),(71 103733520),(72 101574360),(73 99410600),(74 97012696),(75 94753624),(76 92535570),(77 90292710),(78 88149540),(79 86027390),
(1 328770.22),(2 1254278.8),(3 2673437.5),(4 4488845),(5 6616580.5),(6 8996332),(7 11601497),(8 14457580),(9 17537816),(10 20764104),(11 24154448),(12 27661516),(13 31251202),(14 34977364),(15 38619964),(16 42329564),(17 45934028),(18 49348956),(19 52492492),(20 55406348),(21 57788080),(22 59765260),(23 61412876),(24 62822052),(25 64065372),(26 65131964),(27 66051750),(28 66904600),(29 67728024),(30 68350970),(31 68754210),(32 69035896),(33 69137020),(34 69100240),(35 68832640),(36 68267730),(37 67678280),(38 66771700),(39 65597696),(40 64487244),(41 63598744),(42 62960548),(43 62527410),(44 62153116),(45 61899612),(46 61692904),(47 61431540),(48 61074548),(49 60852350),(50 60762612),(51 60715940),(52 60802820),(53 60960780),(54 61120220),(55 61333572),(56 61551190),(57 61866880),(58 62205636),(59 62389840),(60 62507630),(61 62427940),(62 62199156),(63 61927336),(64 61645428),(65 61324892),(66 60933756),(67 60648720),(68 60353264),(69 60174460),(70 60030340),(71 59870720),(72 59808000),(73 59727748),(74 59529200),(75 59406440),(76 59283724),(77 59220036),(78 59185936),(79 59197068),
(1 365348.34),(2 1381570.4),(3 2984140.8),(4 5040994.5),(5 7505581),(6 10305520),(7 13353654),(8 16679792),(9 20235322),(10 23951990),(11 27889370),(12 31970444),(13 36128890),(14 40424390),(15 44717236),(16 48843110),(17 52794310),(18 56537612),(19 60124160),(20 63444136),(21 66290690),(22 68796790),(23 70871530),(24 72496550),(25 73832850),(26 74869460),(27 75568690),(28 76128780),(29 76413610),(30 76401460),(31 76025496),(32 75364400),(33 74471280),(34 73298890),(35 71975976),(36 70312720),(37 68475350),(38 66530996),(39 64510924),(40 62394188),(41 60307596),(42 58350690),(43 56530240),(44 54957696),(45 53608204),(46 52444332),(47 51273496),(48 50123864),(49 48999424),(50 47966280),(51 47011980),(52 46161580),(53 45494176),(54 44984410),(55 44655350),(56 44300692),(57 43991316),(58 43836108),(59 43701080),(60 43613132),(61 43606380),(62 43601868),(63 43612960),(64 43726828),(65 43860184),(66 44043828),(67 44274840),(68 44605750),(69 45043584),(70 45637960),(71 46333160),(72 47277228),(73 48303264),(74 49288330),(75 50404216),(76 51497588),(77 52522100),(78 53363910),(79 53933910),
(1 453817.47),(2 1724605.5),(3 3707788.3),(4 6192086),(5 9101308),(6 12290646),(7 15583996),(8 18888974),(9 22137962),(10 25326430),(11 28563548),(12 31834612),(13 35026510),(14 38050776),(15 40882784),(16 43395732),(17 45699310),(18 47780040),(19 49572530),(20 50945656),(21 51995690),(22 52806870),(23 53481896),(24 54047012),(25 54521708),(26 54965190),(27 55383404),(28 55705450),(29 55846230),(30 55809910),(31 55685440),(32 55422976),(33 54978028),(34 54602250),(35 54254676),(36 53835044),(37 53396180),(38 53095940),(39 52834750),(40 52664124),(41 52520090),(42 52417000),(43 52302704),(44 52245160),(45 52272744),(46 52314050),(47 52456536),(48 52600260),(49 52834064),(50 53224188),(51 53745050),(52 54415750),(53 55197268),(54 56075256),(55 56924908),(56 57711876),(57 58626692),(58 59611864),(59 60627196),(60 61601576),(61 62609210),(62 63612252),(63 64565764),(64 65502584),(65 66412060),(66 67241150),(67 67882910),(68 68239850),(69 68489970),(70 68625464),(71 68625480),(72 68681510),(73 68749944),(74 68788830),(75 68623950),(76 68239510),(77 67699280),(78 66859652),(79 65884650),
(1 294315.66),(2 1110287.5),(3 2345460),(4 3901179.3),(5 5707418),(6 7640036.5),(7 9682283),(8 11839933),(9 14097351),(10 16410733),(11 18774184),(12 21102902),(13 23261658),(14 25332014),(15 27294048),(16 29172864),(17 30925378),(18 32444988),(19 33715104),(20 34616530),(21 35317190),(22 35853704),(23 36193596),(24 36309804),(25 36367304),(26 36368330),(27 36479530),(28 36699036),(29 36974320),(30 37276044),(31 37558980),(32 37760010),(33 37995340),(34 38239890),(35 38416212),(36 38418290),(37 38318940),(38 38081550),(39 37785590),(40 37473372),(41 37165580),(42 36856356),(43 36595812),(44 36372016),(45 36130460),(46 35948348),(47 35771864),(48 35568040),(49 35406276),(50 35300170),(51 35281884),(52 35364880),(53 35593364),(54 35956336),(55 36359016),(56 36892760),(57 37509350),(58 38169300),(59 38942596),(60 39656820),(61 40376336),(62 41120300),(63 41832504),(64 42481468),(65 43063364),(66 43576430),(67 43992936),(68 44326030),(69 44561790),(70 44702710),(71 44820052),(72 44867068),(73 44787020),(74 44647116),(75 44351640),(76 43946090),(77 43408936),(78 42788756),(79 42095896),
(1 374534.66),(2 1409167.4),(3 3031843.3),(4 5129764.5),(5 7630027),(6 10396893),(7 13349364),(8 16374473),(9 19439176),(10 22507568),(11 25337498),(12 27937734),(13 30182098),(14 32123358),(15 33767200),(16 35156680),(17 36254900),(18 37013496),(19 37368776),(20 37338276),(21 37012164),(22 36572150),(23 36128504),(24 35641736),(25 35233060),(26 34934810),(27 34804170),(28 34903050),(29 35172280),(30 35668684),(31 36238620),(32 36901216),(33 37661260),(34 38384532),(35 39223116),(36 40113710),(37 40998236),(38 41737810),(39 42332332),(40 42765732),(41 42951916),(42 42906500),(43 42701956),(44 42324280),(45 41780530),(46 41114176),(47 40117468),(48 38905612),(49 37644570),(50 36451388),(51 35406268),(52 34499212),(53 33750068),(54 33209980),(55 32810248),(56 32615176),(57 32655318),(58 32745288),(59 32838438),(60 32922974),(61 33042164),(62 33173128),(63 33288666),(64 33296986),(65 33140428),(66 32878408),(67 32575978),(68 32287676),(69 32045098),(70 31824188),(71 31559108),(72 31349756),(73 31186254),(74 31110896),(75 31097016),(76 31110456),(77 31097446),(78 31184858),(79 31304430),
(1 499225.56),(2 1893437.5),(3 4044899.5),(4 6814302),(5 10083272),(6 13694302),(7 17439368),(8 21256412),(9 25005816),(10 28636018),(11 32011108),(12 35056776),(13 37692756),(14 39926136),(15 41665250),(16 42868004),(17 43674450),(18 43982384),(19 43787856),(20 43112412),(21 42062520),(22 40857704),(23 39584810),(24 38301540),(25 37031536),(26 35861370),(27 34838264),(28 34003104),(29 33271416),(30 32756376),(31 32419008),(32 32314784),(33 32381266),(34 32560024),(35 32945966),(36 33535830),(37 34281710),(38 35093170),(39 35857096),(40 36493084),(41 36852350),(42 36956096),(43 36818404),(44 36353380),(45 35551444),(46 34526636),(47 33223918),(48 31785042),(49 30316936),(50 28926600),(51 27653586),(52 26550560),(53 25679084),(54 25089590),(55 24740644),(56 24542432),(57 24568344),(58 24680084),(59 24872776),(60 25180462),(61 25475816),(62 25796870),(63 26006414),(64 26124192),(65 26201324),(66 26173606),(67 26091772),(68 25968102),(69 25853040),(70 25736772),(71 25648930),(72 25619740),(73 25647368),(74 25767408),(75 25957172),(76 26220408),(77 26519772),(78 26815804),(79 27098202),
(1 365771.88),(2 1396340.3),(3 2953763),(4 4937459),(5 7220300),(6 9647074),(7 12052055),(8 14313568),(9 16427682),(10 18379614),(11 20139856),(12 21597448),(13 22755144),(14 23610474),(15 24178518),(16 24514098),(17 24714302),(18 24799450),(19 24917266),(20 25040738),(21 25012726),(22 24928764),(23 24791280),(24 24634934),(25 24541562),(26 24458704),(27 24437906),(28 24393340),(29 24339520),(30 24303094),(31 24285166),(32 24298814),(33 24261816),(34 24229022),(35 24199956),(36 24231768),(37 24233474),(38 24158394),(39 24027424),(40 23776728),(41 23379368),(42 22951956),(43 22509138),(44 22079696),(45 21631064),(46 21140740),(47 20604914),(48 20094830),(49 19694226),(50 19348306),(51 19097296),(52 18997480),(53 19036688),(54 19239588),(55 19641746),(56 20089946),(57 20566402),(58 21037076),(59 21533852),(60 22082926),(61 22528908),(62 22902960),(63 23145434),(64 23301450),(65 23394350),(66 23429704),(67 23456692),(68 23481232),(69 23540360),(70 23562892),(71 23539698),(72 23541654),(73 23586336),(74 23654052),(75 23714206),(76 23761186),(77 23849208),(78 23994516),(79 24103114),
