1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 17659.686),(2 46870.813),(3 79923.93),(4 120837.22),(5 171979.58),(6 224080.77),(7 293979.16),(8 384323.16),(9 449568),(10 525092.8),(11 625627.56),(12 708068.5),(13 756629.25),(14 842475.7),(15 892961.56),(16 936597.5),(17 981804.44),(18 1047788.5),(19 1099057.6),(20 1198151.1),(21 1264354.6),(22 1327111.6),(23 1386123.8),(24 1456935.6),(25 1552306.4),(26 1639484),(27 1711579.1),(28 1838862.1),(29 1957042.4),(30 2069921.4),(31 2163977),(32 2271586.3),(33 2350756),(34 2442115),(35 2531897.5),(36 2632389.8),(37 2726735.8),(38 2812483),(39 2893768.8),(40 2970374.8),(41 3141488.8),(42 3235669.3),(43 3318097.8),(44 3419276.8),(45 3521837),(46 3621210.3),(47 3772822.8),(48 3892543),(49 4001789.8),(50 4101929.3),(51 4135121.3),(52 4152084),(53 4194371.5),(54 4214916.5),(55 4236594.5),(56 4319355),(57 4415134.5),(58 4530093.5),(59 4660266),(60 4841679.5),(61 4987553.5),(62 5128271.5),(63 5298339.5),(64 5451492.5),(65 5575262),(66 5737514.5),(67 5872354),(68 5958241.5),(69 6050374.5),(70 6140809.5),(71 6206655.5),(72 6321668),(73 6549212),(74 6806024),(75 7026505.5),(76 7275563.5),(77 7541754.5),(78 7756119.5),(79 7941409.5),
(1 12305.993),(2 36741.2),(3 65577.37),(4 100598.04),(5 141675.95),(6 188618.48),(7 239042.66),(8 292569.06),(9 355728.5),(10 417301.3),(11 480424.9),(12 549941.4),(13 619791.9),(14 696575.94),(15 774113.7),(16 852745.5),(17 939125.2),(18 1038684.6),(19 1144212.4),(20 1317436.6),(21 1455845.6),(22 1585037.5),(23 1734677),(24 1892264.8),(25 2079648.4),(26 2259073.3),(27 2459357),(28 2707264.5),(29 2931972),(30 3173570),(31 3400082),(32 3631069.3),(33 3849644),(34 4056581.5),(35 4256389),(36 4439715),(37 4630834.5),(38 4834532),(39 5032950.5),(40 5221246),(41 5526279),(42 5764329.5),(43 6021814.5),(44 6295802),(45 6550747),(46 6775127),(47 6993645),(48 7243321),(49 7494636),(50 7734988),(51 7928352),(52 8098849),(53 8277813),(54 8426794),(55 8564913),(56 8748034),(57 8946250),(58 9155842),(59 9364828),(60 9583467),(61 9761544),(62 9869094),(63 9897623),(64 9962822),(65 9987052),(66 10031093),(67 10117536),(68 10185271),(69 10232378),(70 10250790),(71 10231402),(72 10244934),(73 10297482),(74 10356461),(75 10400528),(76 10470557),(77 10542682),(78 10620611),(79 10693028),
(1 14946.616),(2 48999.566),(3 93267.15),(4 144702.86),(5 205361.11),(6 269640.7),(7 342294),(8 423323.03),(9 509127.1),(10 589751.1),(11 675227.56),(12 763853.56),(13 850315.7),(14 943467.3),(15 1034448),(16 1131647.4),(17 1229717),(18 1341829.1),(19 1441927.4),(20 1601601.6),(21 1731822.1),(22 1867098.4),(23 2014251.4),(24 2179470.5),(25 2360484),(26 2552433),(27 2754020.8),(28 2966254.3),(29 3172997.8),(30 3401424),(31 3637101.3),(32 3890150.8),(33 4138096),(34 4381067.5),(35 4620540.5),(36 4863006.5),(37 5120887.5),(38 5387432.5),(39 5636589.5),(40 5910700.5),(41 6258537.5),(42 6553282.5),(43 6856102.5),(44 7139580),(45 7402997.5),(46 7636722.5),(47 7850084.5),(48 8100830),(49 8366389.5),(50 8630113),(51 8854472),(52 9061822),(53 9244350),(54 9382506),(55 9489702),(56 9604269),(57 9723400),(58 9821223),(59 9940305),(60 10057304),(61 10139193),(62 10184129),(63 10218137),(64 10229975),(65 10228324),(66 10255523),(67 10268693),(68 10240068),(69 10184503),(70 10116679),(71 9982683),(72 9871777),(73 9761761),(74 9681687),(75 9604605),(76 9560361),(77 9490499),(78 9413347),(79 9340828),
(1 17206.086),(2 58755.168),(3 114973.47),(4 181945.48),(5 256122.31),(6 334898.03),(7 421279.22),(8 513862.06),(9 609301.3),(10 706806.25),(11 809913.25),(12 911737),(13 1007584.44),(14 1110895.3),(15 1204475.5),(16 1300191.8),(17 1398084.1),(18 1504124.9),(19 1598469.5),(20 1725375),(21 1838574.6),(22 1958131.1),(23 2086778.6),(24 2213769.8),(25 2364277),(26 2531828),(27 2699180.8),(28 2900521),(29 3098479.3),(30 3314115.3),(31 3551831.8),(32 3788551.5),(33 4033796),(34 4281748),(35 4522800),(36 4737494.5),(37 4959471.5),(38 5187352),(39 5403592),(40 5638067),(41 5944811.5),(42 6199983),(43 6447603.5),(44 6687947.5),(45 6934294),(46 7161663),(47 7391005.5),(48 7601482),(49 7809060.5),(50 7995666.5),(51 8157024),(52 8286052.5),(53 8380485.5),(54 8430033),(55 8458146),(56 8465748),(57 8466446),(58 8464427),(59 8463082),(60 8451767),(61 8435675),(62 8375474.5),(63 8357324.5),(64 8272915.5),(65 8204224),(66 8130456),(67 8018066),(68 7873034.5),(69 7722186.5),(70 7567254),(71 7416754),(72 7283770),(73 7157638),(74 7044438),(75 6949621),(76 6854769.5),(77 6757788),(78 6668636.5),(79 6584740),
(1 16367.681),(2 56921.566),(3 111066.62),(4 176835.36),(5 249714.11),(6 329574.56),(7 421113.63),(8 520423),(9 624043.4),(10 733140.5),(11 845778.56),(12 960606.56),(13 1068750.8),(14 1180012.4),(15 1286501.8),(16 1389701.8),(17 1500277.9),(18 1621625.1),(19 1746736.8),(20 1918511.1),(21 2068486.1),(22 2230930.3),(23 2390570),(24 2550318.3),(25 2717388),(26 2894917.5),(27 3069852.3),(28 3248973.5),(29 3438279),(30 3644338.5),(31 3871160.3),(32 4076477.5),(33 4311893.5),(34 4556959.5),(35 4796059.5),(36 5008476),(37 5259488.5),(38 5501215),(39 5727603),(40 5983409),(41 6287734),(42 6562074),(43 6828320),(44 7091611.5),(45 7352969.5),(46 7607502.5),(47 7878891.5),(48 8127203),(49 8363960),(50 8593428),(51 8801783),(52 8964010),(53 9088982),(54 9178975),(55 9229615),(56 9239574),(57 9254031),(58 9249779),(59 9244091),(60 9220007),(61 9187444),(62 9121204),(63 8986319),(64 8840546),(65 8694493),(66 8527743),(67 8348928.5),(68 8179105.5),(69 7985680.5),(70 7807027),(71 7632549),(72 7458387),(73 7296870.5),(74 7144228.5),(75 7011772.5),(76 6895172.5),(77 6788282),(78 6690443),(79 6602891.5),
(1 18438.912),(2 66143.984),(3 130864.016),(4 213512.3),(5 311247.94),(6 424266.84),(7 544821.9),(8 677592),(9 827735.7),(10 983656.3),(11 1131302.3),(12 1301546.8),(13 1467021.8),(14 1624866.5),(15 1770632),(16 1915115.8),(17 2066910.4),(18 2211517.8),(19 2358000.8),(20 2529384.5),(21 2682263.5),(22 2844922),(23 3011260),(24 3187577),(25 3372214.5),(26 3559445.5),(27 3741997.5),(28 3895677.5),(29 4064741.5),(30 4227785),(31 4389133),(32 4556650.5),(33 4725341),(34 4879581.5),(35 5025696.5),(36 5144293.5),(37 5273944),(38 5381883),(39 5490766),(40 5580109.5),(41 5688827.5),(42 5772677),(43 5851602.5),(44 5944516.5),(45 6044597),(46 6139361.5),(47 6238091),(48 6304945.5),(49 6378438),(50 6449826),(51 6513943),(52 6544317),(53 6562887),(54 6552042.5),(55 6523157),(56 6501985),(57 6489628),(58 6468961),(59 6445833),(60 6412702),(61 6367753),(62 6333072),(63 6255551),(64 6190085),(65 6113535),(66 6016829),(67 5926941),(68 5855958.5),(69 5781345.5),(70 5706090.5),(71 5641973),(72 5575412),(73 5525386.5),(74 5473498.5),(75 5461321),(76 5448775),(77 5421153.5),(78 5404118.5),(79 5395033),
(1 17085.977),(2 60834.43),(3 122870.17),(4 202064),(5 293645.78),(6 396583.34),(7 506948.13),(8 627930.9),(9 756454.1),(10 884849.94),(11 1018917.44),(12 1164017.3),(13 1304554.6),(14 1450173.4),(15 1600090.8),(16 1749006.3),(17 1900817.8),(18 2054081.1),(19 2210361.3),(20 2416686.8),(21 2590564),(22 2765858.5),(23 2944409.3),(24 3131909),(25 3328238.8),(26 3520996.5),(27 3713294.8),(28 3890519),(29 4073506.5),(30 4259606),(31 4458710.5),(32 4642614.5),(33 4849232.5),(34 5034451),(35 5206168),(36 5349091),(37 5489504.5),(38 5620617),(39 5746558),(40 5860133.5),(41 5974088.5),(42 6072926),(43 6170043),(44 6274755.5),(45 6385917.5),(46 6494238),(47 6595923),(48 6674371),(49 6762249),(50 6852935.5),(51 6922551.5),(52 6962200),(53 6996174),(54 7010645),(55 7017918),(56 7039663.5),(57 7056070),(58 7077450),(59 7101888.5),(60 7134471.5),(61 7151425),(62 7183205),(63 7189221),(64 7188999.5),(65 7194003.5),(66 7168962.5),(67 7136629),(68 7100362.5),(69 7069656),(70 7044587.5),(71 7012380.5),(72 6967750),(73 6941075.5),(74 6901797.5),(75 6851146),(76 6806247),(77 6734560.5),(78 6659042.5),(79 6579669.5),
(1 14248.485),(2 55956.41),(3 113437.04),(4 183615.06),(5 263094.53),(6 350494.8),(7 451647.06),(8 560213),(9 678860),(10 802571.75),(11 929289.2),(12 1065419.4),(13 1193388.1),(14 1331054),(15 1469767.4),(16 1608117.9),(17 1751533.4),(18 1900834.9),(19 2055907.9),(20 2251836.8),(21 2422023),(22 2591704),(23 2754970.8),(24 2912355.5),(25 3067573.3),(26 3218503.8),(27 3369039.8),(28 3507813.8),(29 3640127.8),(30 3769785),(31 3896168.5),(32 4011619.8),(33 4127509),(34 4240103),(35 4324670.5),(36 4402293),(37 4483295),(38 4562458),(39 4637894),(40 4701732.5),(41 4739564.5),(42 4786861),(43 4829459),(44 4878392.5),(45 4938363),(46 4991439),(47 5041556.5),(48 5081648),(49 5123174.5),(50 5159751),(51 5189806),(52 5211953.5),(53 5229818.5),(54 5259042),(55 5283901.5),(56 5337339),(57 5381223.5),(58 5401966.5),(59 5415455),(60 5430601),(61 5456003),(62 5496015.5),(63 5499752.5),(64 5515784),(65 5538306),(66 5547829.5),(67 5560695),(68 5569163.5),(69 5597868.5),(70 5628029),(71 5665703.5),(72 5701421),(73 5732318),(74 5756657.5),(75 5762590),(76 5767914.5),(77 5750184.5),(78 5719330.5),(79 5685690.5),
(1 17876.758),(2 68627.695),(3 140059.23),(4 228967.44),(5 331013.28),(6 441655),(7 563889.06),(8 693697.7),(9 829448.5),(10 964615.25),(11 1103067),(12 1246065.4),(13 1377942.1),(14 1503811),(15 1622445.1),(16 1737129.6),(17 1849891.6),(18 1958324.8),(19 2072497.1),(20 2216168.3),(21 2331832.5),(22 2442572.5),(23 2541494),(24 2637311.5),(25 2726823.5),(26 2810339.8),(27 2886793.5),(28 2949241),(29 3020030.8),(30 3085796.8),(31 3153865.8),(32 3212580.8),(33 3277233.5),(34 3327928.5),(35 3362243.3),(36 3401642.5),(37 3436260.8),(38 3455657.8),(39 3475616.5),(40 3491494.5),(41 3487573.8),(42 3477152.5),(43 3457514.3),(44 3429820.5),(45 3397427.3),(46 3350976.8),(47 3292593.5),(48 3253445),(49 3226773.5),(50 3199289.5),(51 3184145.5),(52 3163437.8),(53 3160156.3),(54 3165732.3),(55 3193739.3),(56 3237590.5),(57 3269560),(58 3300956.8),(59 3326806.3),(60 3345134),(61 3366484),(62 3390179.5),(63 3395274.3),(64 3420597.5),(65 3456774.5),(66 3497409.3),(67 3542820),(68 3586493.3),(69 3642224.3),(70 3708736.8),(71 3778248),(72 3850380.3),(73 3944758),(74 4030999),(75 4113922.3),(76 4199852),(77 4284326),(78 4379908.5),(79 4482448),
(1 23801.377),(2 93189.91),(3 189781.3),(4 315387.34),(5 459414.25),(6 619799.3),(7 797475.25),(8 986027.7),(9 1185732.9),(10 1391152.1),(11 1603689.3),(12 1839581.4),(13 2044104),(14 2242553),(15 2428220.8),(16 2606994.3),(17 2774911),(18 2922736),(19 3081827.5),(20 3232447),(21 3358019.5),(22 3467274.3),(23 3559808),(24 3642420),(25 3707928),(26 3759064),(27 3795418.8),(28 3832332),(29 3865064),(30 3890570.8),(31 3919949.3),(32 3947353.3),(33 3978891.5),(34 3998257.3),(35 4018977.3),(36 4036103),(37 4034104),(38 4028855.5),(39 4031576),(40 4019360),(41 3974065),(42 3934606.8),(43 3887226.3),(44 3827777),(45 3761056.5),(46 3683046),(47 3587767.5),(48 3505112.5),(49 3409502.3),(50 3302523.3),(51 3194907),(52 3079180.5),(53 2970846.3),(54 2863157),(55 2768106),(56 2667359),(57 2574878.5),(58 2506583),(59 2444608.8),(60 2388812.5),(61 2338533.8),(62 2317466.3),(63 2333565.8),(64 2350290.3),(65 2390621.8),(66 2445028.5),(67 2512566.5),(68 2580656.5),(69 2662641.3),(70 2744565.5),(71 2822583),(72 2902285),(73 3019229),(74 3113054.5),(75 3199016.5),(76 3288117.3),(77 3367912.8),(78 3451653.8),(79 3542497.3),
(1 19054.35),(2 70281.97),(3 140440.1),(4 234448.19),(5 343291),(6 471948.94),(7 616821),(8 778722.25),(9 952730.25),(10 1135444.1),(11 1340073.4),(12 1608049.3),(13 1852296.1),(14 2097004.3),(15 2344138.3),(16 2596002),(17 2848993.5),(18 3084781.8),(19 3330768.3),(20 3603321.8),(21 3812087),(22 3983791),(23 4130955.8),(24 4251906.5),(25 4344117.5),(26 4409368),(27 4439914),(28 4431132),(29 4434526),(30 4422987),(31 4395396),(32 4356284.5),(33 4305458.5),(34 4247505),(35 4189745),(36 4117167),(37 4039732.8),(38 3973649),(39 3907578),(40 3840046.3),(41 3769155.5),(42 3716337),(43 3673961.8),(44 3644536.8),(45 3627844.8),(46 3615248.5),(47 3610405.3),(48 3619766.8),(49 3637420.3),(50 3650195),(51 3654528.5),(52 3656835),(53 3661140.3),(54 3657666.8),(55 3660991.5),(56 3649957.5),(57 3631634.3),(58 3615760),(59 3594238.5),(60 3564330.8),(61 3523127),(62 3488458.3),(63 3460768),(64 3445991),(65 3432876.3),(66 3423773.5),(67 3431581.5),(68 3451011.5),(69 3481756.8),(70 3512504.5),(71 3541952.5),(72 3584394.3),(73 3650230.5),(74 3703005.8),(75 3752214.8),(76 3802304.5),(77 3842461.3),(78 3879748.3),(79 3906985),
