1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 1781.3717),(2 6469.979),(3 14291.665),(4 22687.867),(5 36052.027),(6 54692.527),(7 81074.42),(8 113658.31),(9 155979.66),(10 210576.17),(11 317795.66),(12 514307.5),(13 990929),(14 1784386.4),(15 3090161.3),(16 5088040.5),(17 8569477),(18 13225075),(19 18873368),(20 24741262),(21 31474496),(22 39689252),(23 49206080),(24 60519840),(25 71180870),(26 86365540),(27 100746300),(28 123838230),(29 153431650),(30 198944430),(31 257415890),(32 341142820),(33 454972670),(34 595451200),(35 743094500),(36 908123460),(37 1107271600),(38 1350395300),(39 1565279400),(40 1820911200),(41 2120824200),(42 2420022500),(43 2741758700),(44 2910555400),(45 3131723500),(46 3386580200),(47 3586995000),(48 3544717300),(49 3558694700),(50 3739826000),(51 3916256500),(52 3830764800),(53 3779201800),(54 3789086500),(55 3711985400),(56 3560582400),(57 3458592800),(58 3386227700),(59 3231998000),(60 2999165000),(61 2794754300),(62 2683711700),(63 2704933600),(64 2832224300),(65 3053596700),(66 3394991000),(67 3805266700),(68 4069658600),(69 3973424000),(70 3858304800),(71 3789004000),(72 3544251400),(73 3294595800),(74 3239741200),(75 3276938500),(76 3311458600),(77 3308824300),(78 3176915000),(79 3114660600),
(1 150.6253),(2 473.5991),(3 876.07605),(4 1342.21),(5 1979.831),(6 2664.6453),(7 3412.0251),(8 4146.2573),(9 5098.142),(10 6324.22),(11 6890.6587),(12 8171.983),(13 9418.234),(14 10394.938),(15 10391.549),(16 11279.501),(17 12079.863),(18 12159.657),(19 12858.934),(20 13195.093),(21 13320.097),(22 13530.493),(23 14632.706),(24 14500.198),(25 14833.365),(26 15773.818),(27 15800.727),(28 16564.342),(29 17089.244),(30 16978.777),(31 17823.35),(32 18523.67),(33 19560.21),(34 20342.848),(35 21833.822),(36 22319.285),(37 24303.871),(38 25306.367),(39 26882.56),(40 28231.895),(41 29893.506),(42 31144.979),(43 31142.416),(44 32661.723),(45 34458.414),(46 34233.6),(47 34676.97),(48 37320.227),(49 37999.01),(50 38409.355),(51 39686.293),(52 40670.895),(53 41188.543),(54 41731.844),(55 43473.37),(56 43836.84),(57 43444.21),(58 46025.617),(59 46247.027),(60 46488.598),(61 47358.168),(62 48875.45),(63 46765.586),(64 47470.496),(65 48567.598),(66 48840.13),(67 47568.703),(68 48646.688),(69 47747.613),(70 47108.234),(71 46858.105),(72 47635.766),(73 47510.855),(74 48352.36),(75 49506.81),(76 49582.81),(77 50774.254),(78 52130.36),(79 52846.035),
(1 156.8204),(2 500.93237),(3 926.86365),(4 1452.4658),(5 2146.9575),(6 2836.358),(7 3499.4038),(8 4144.3276),(9 5137.576),(10 6438.6045),(11 7036.3257),(12 8194.904),(13 9541.773),(14 10007.825),(15 10323.665),(16 11496.285),(17 12101.858),(18 12125.15),(19 12993.97),(20 13240.059),(21 12936.732),(22 13189.969),(23 14082.377),(24 13933.353),(25 14696.62),(26 15028.946),(27 15715.658),(28 16354.578),(29 16728.47),(30 16977.752),(31 18545.275),(32 18412.512),(33 19608.697),(34 20075.016),(35 22256.238),(36 23255.822),(37 24377.252),(38 26266.26),(39 27632.855),(40 28591.512),(41 29845.125),(42 32058.27),(43 32042.637),(44 32188.656),(45 32485.809),(46 33352.996),(47 33245.496),(48 34470.45),(49 35689.285),(50 37673.547),(51 39045.668),(52 39113.023),(53 39608.668),(54 41006.01),(55 42479.156),(56 42016.926),(57 40716.97),(58 40901.688),(59 42370.504),(60 41374.086),(61 42361.08),(62 44450.2),(63 42996.504),(64 43842.652),(65 44192.97),(66 42899.848),(67 41995.17),(68 43204.695),(69 42681.566),(70 44000.67),(71 43789.7),(72 45464.188),(73 45148.38),(74 44871.36),(75 45425.633),(76 45621.656),(77 45283.75),(78 47539.367),(79 49042.47),
(1 147.79749),(2 466.80194),(3 882.5838),(4 1378.0453),(5 2009.4279),(6 2652.8254),(7 3302.4668),(8 3957.8591),(9 4901.6235),(10 6189.378),(11 7042.8604),(12 7855.805),(13 9435.499),(14 9806.39),(15 10300.437),(16 11072.493),(17 11605.45),(18 11949.476),(19 12625.614),(20 12814.811),(21 12822.943),(22 12837.652),(23 13556.412),(24 13647.753),(25 14142.573),(26 14675),(27 15510.978),(28 15757.668),(29 16584.637),(30 16893.719),(31 18077.965),(32 19072.127),(33 19585.926),(34 20608.61),(35 21930.799),(36 22705.488),(37 23469.008),(38 25067.252),(39 26609.844),(40 28137.58),(41 29971.396),(42 31101.006),(43 31131.682),(44 31349.975),(45 31995.959),(46 33099.83),(47 33700.33),(48 35329.12),(49 36976.098),(50 38015.848),(51 39226.043),(52 40598.43),(53 40456.57),(54 41202.234),(55 41332.336),(56 41322.637),(57 41424.715),(58 42493.367),(59 42647.16),(60 42653.477),(61 42684.55),(62 43175.992),(63 41955.355),(64 42422.33),(65 44063.453),(66 43901.676),(67 43376.87),(68 42782.81),(69 42912.22),(70 42061.16),(71 43160.164),(72 43654.582),(73 44360.02),(74 45801.92),(75 46024.83),(76 46666.023),(77 46966.203),(78 48151.836),(79 48524.77),
(1 155.04022),(2 510.9801),(3 987.9164),(4 1575.2826),(5 2302.3264),(6 3099.2808),(7 3849.554),(8 4617.488),(9 5507.3853),(10 6760.006),(11 7418.46),(12 8317.727),(13 9411.071),(14 10072.019),(15 10126.461),(16 11088.718),(17 11780.155),(18 12432.394),(19 12729.881),(20 13480.941),(21 13548.95),(22 13405.366),(23 13986.619),(24 14387.617),(25 14654.95),(26 14855.994),(27 15581.056),(28 16336.17),(29 16898.883),(30 17874.912),(31 18302.586),(32 19242.236),(33 20000.887),(34 20341.402),(35 20723.457),(36 22607.904),(37 23285.436),(38 23508.191),(39 24937.805),(40 27803.656),(41 28036.273),(42 30096.338),(43 30500.535),(44 31119.549),(45 31766.248),(46 32326.055),(47 32312.854),(48 34015.39),(49 34308.402),(50 35473.402),(51 37105.563),(52 36599.652),(53 37319.574),(54 37658.37),(55 39211.17),(56 39783.793),(57 39903.113),(58 40032.55),(59 39417.965),(60 39128.1),(61 39587.766),(62 39420.285),(63 39821.023),(64 40549.94),(65 41282.35),(66 42398.24),(67 41641.504),(68 41670.56),(69 41804.363),(70 42178.16),(71 41954.7),(72 42217.56),(73 42053.297),(74 43166.67),(75 42536.582),(76 43656.184),(77 42231.793),(78 44593.625),(79 45149.633),
(1 162.6983),(2 519.1228),(3 969.2797),(4 1481.7747),(5 2159.8433),(6 2830.909),(7 3482.6724),(8 4134.0195),(9 4996.498),(10 6177.0327),(11 6882.3784),(12 7356.678),(13 8564.326),(14 9258.28),(15 9080.197),(16 10205.017),(17 10983.165),(18 11878.545),(19 12566.263),(20 13187.034),(21 13608.339),(22 13723.358),(23 13847.512),(24 13978.704),(25 13533.735),(26 13653.438),(27 14612.6875),(28 15045.928),(29 15667.082),(30 16546.219),(31 17041.025),(32 17941.648),(33 18181.125),(34 18334.191),(35 19199.863),(36 20034.566),(37 21928.69),(38 22046.277),(39 23696.314),(40 25462.13),(41 26140.2),(42 27119.105),(43 27450.771),(44 28759.277),(45 29427.178),(46 29299.129),(47 29409.578),(48 31093.469),(49 31609.146),(50 32082.44),(51 33043.25),(52 35250.6),(53 34678.527),(54 35001.156),(55 36130.074),(56 35756.51),(57 36241.266),(58 36376.863),(59 35758.168),(60 37186.773),(61 36799.01),(62 36172.01),(63 37522.984),(64 37246.29),(65 37128.336),(66 37832.766),(67 37093.4),(68 36980.15),(69 36681.52),(70 37625.098),(71 37444.555),(72 39668.016),(73 40012.867),(74 40166.875),(75 42302.08),(76 42429.26),(77 39917.684),(78 41003.402),(79 41627.195),
(1 165.3468),(2 535.1009),(3 984.429),(4 1515.2607),(5 2163.6494),(6 2789.8816),(7 3390.0862),(8 4041.459),(9 4955.2876),(10 5872.172),(11 6257.9937),(12 6938.459),(13 8105.0044),(14 8665.408),(15 8623.897),(16 9324.162),(17 10109.851),(18 10330.976),(19 11088.6045),(20 11659.722),(21 11575.147),(22 11912.772),(23 12343.414),(24 12388.233),(25 12377.8),(26 12758.099),(27 13763.632),(28 14220.507),(29 15402.991),(30 16391.645),(31 17187.764),(32 17811.172),(33 18683.678),(34 18733.572),(35 19345.678),(36 20544.27),(37 22186.936),(38 22812.705),(39 24649.37),(40 26393.602),(41 26762.541),(42 27135.18),(43 28860.24),(44 29822.4),(45 30917.22),(46 32051.854),(47 33243.637),(48 34569.38),(49 35031.05),(50 35224.313),(51 36630.79),(52 36383.45),(53 35688.418),(54 37468.6),(55 37995.13),(56 38673.934),(57 38882.496),(58 40692.773),(59 39221.324),(60 40175.31),(61 38743.824),(62 38438.8),(63 37893.03),(64 37469.63),(65 38099.06),(66 37740.715),(67 38986.44),(68 39892.047),(69 39492.316),(70 39155.31),(71 39098.07),(72 39334.395),(73 40106.34),(74 41757.363),(75 42736.12),(76 42596.2),(77 42373.91),(78 41905.355),(79 41128.55),
(1 166.28809),(2 542.8235),(3 1004.7642),(4 1533.2645),(5 2157.8323),(6 2847.8367),(7 3477.8625),(8 4158.697),(9 5003.6396),(10 5928.552),(11 6106.859),(12 7137.043),(13 8070.5425),(14 8868.975),(15 9257.866),(16 10191.219),(17 11052.892),(18 11528.887),(19 11784.925),(20 11945.242),(21 12139.91),(22 11730.178),(23 12286.382),(24 12558.973),(25 13072.542),(26 13938.171),(27 15012.882),(28 15633.641),(29 17014.365),(30 18053.135),(31 19255.621),(32 19861.041),(33 20251.215),(34 20257.338),(35 20888.998),(36 21907.768),(37 23556.17),(38 24041.58),(39 25460.418),(40 27277.32),(41 27307.285),(42 27919.94),(43 29841.918),(44 31177.611),(45 32316.68),(46 33682.258),(47 34172.426),(48 35468.133),(49 35937.152),(50 36066.285),(51 37390.438),(52 37152.395),(53 38852.25),(54 40038.293),(55 41781.133),(56 41071.652),(57 40922.08),(58 42101.58),(59 40998.61),(60 41421.504),(61 40998.52),(62 41831.664),(63 40178.734),(64 41768.4),(65 41785.035),(66 41203.07),(67 41384.62),(68 42155.22),(69 40813.8),(70 40158.586),(71 39763.676),(72 41211.395),(73 39788.727),(74 43067.11),(75 44088.016),(76 43630.785),(77 45101.547),(78 46557.496),(79 46425.02),
(1 158.65451),(2 519.33105),(3 948.0872),(4 1445.3185),(5 2062.766),(6 2723.3254),(7 3360.9834),(8 4004.979),(9 4918.5376),(10 5778.847),(11 5848.139),(12 6805.0615),(13 7686.281),(14 8222.555),(15 8597.124),(16 9985.239),(17 10775.308),(18 10923.177),(19 11343.056),(20 11547.098),(21 11952.139),(22 11658.003),(23 12601.659),(24 12394.123),(25 13152.496),(26 13408.746),(27 13875.365),(28 14071.417),(29 14848.872),(30 15400.091),(31 15912.047),(32 16422.867),(33 17231.93),(34 17721.613),(35 18865.592),(36 19546.477),(37 22438.19),(38 22749.783),(39 24078.549),(40 26150.102),(41 26823.377),(42 26862.582),(43 27200.383),(44 28084.408),(45 28602.828),(46 29661.428),(47 30850.39),(48 32369.79),(49 33071.836),(50 35230.176),(51 35948.77),(52 36252.47),(53 36638.125),(54 37079.766),(55 37723.68),(56 36895.77),(57 38336.758),(58 38785.996),(59 39172.57),(60 38547.555),(61 38116.25),(62 37307.57),(63 37064.305),(64 37949),(65 37867.58),(66 38181.063),(67 39422.258),(68 38732.19),(69 37826.242),(70 38136.348),(71 38524.453),(72 37507.42),(73 38354.426),(74 39958.25),(75 41058.35),(76 40345.074),(77 42062.64),(78 41933.504),(79 41549.54),
(1 149.67378),(2 504.15286),(3 939.8117),(4 1466.2175),(5 2157.093),(6 2883.3083),(7 3625.3625),(8 4318.7437),(9 5314.2915),(10 6121.725),(11 6313.887),(12 6993.8975),(13 7672.661),(14 8249.737),(15 8702.964),(16 10387.642),(17 11270.972),(18 11471.475),(19 12232.714),(20 12650.938),(21 12756.108),(22 12407.7705),(23 13223.804),(24 12770.4),(25 13570.479),(26 14211.537),(27 15053.74),(28 15334.615),(29 16266.399),(30 16875.816),(31 17250.256),(32 17497.492),(33 18108.734),(34 18515.752),(35 19414.37),(36 20469.777),(37 22595.9),(38 22871.127),(39 24659.309),(40 26365.102),(41 27362.709),(42 28062.535),(43 28033.66),(44 28496.709),(45 29291.709),(46 29038.77),(47 28803.355),(48 30360.234),(49 30503.078),(50 31676.95),(51 31902.635),(52 32904.516),(53 33932.805),(54 33882.617),(55 34277.54),(56 34696.48),(57 34862.063),(58 34550.53),(59 35481.934),(60 36030.9),(61 35705.37),(62 35965.613),(63 35490.836),(64 34471.086),(65 35104.316),(66 35161.93),(67 35386.414),(68 35841.86),(69 35524.26),(70 35455.04),(71 35938.46),(72 35290.99),(73 36571.203),(74 35808.59),(75 36148.953),(76 37802.277),(77 36531.836),(78 37466.13),(79 38244.58),
(1 133.54063),(2 433.4818),(3 815.78644),(4 1278.0974),(5 1852.2294),(6 2468.4932),(7 3161.1274),(8 3826.4424),(9 4811.0107),(10 5836.406),(11 6164.5845),(12 6725.6895),(13 7380.7534),(14 8049.018),(15 8346.223),(16 9520.193),(17 10186.505),(18 10354.654),(19 10897.395),(20 10681.507),(21 10994.629),(22 10527.209),(23 11124.103),(24 10929.094),(25 11890.5625),(26 12662.588),(27 13850.776),(28 14380.152),(29 15768.532),(30 16536.514),(31 16745.814),(32 17310.553),(33 18297.063),(34 18374.545),(35 19021.541),(36 20273.809),(37 21755.084),(38 22523.447),(39 23941.744),(40 25329.162),(41 26677.762),(42 27337.818),(43 28037.875),(44 28265.63),(45 28923.572),(46 28082.797),(47 28823.115),(48 29504.533),(49 30313.367),(50 30735.043),(51 31851.072),(52 31731.268),(53 33410.535),(54 32950.043),(55 33679.973),(56 33879.69),(57 34028.426),(58 33739.035),(59 33635.652),(60 35023.62),(61 34091.32),(62 34711.598),(63 33727.695),(64 34073.64),(65 33892.72),(66 34883.617),(67 34147.273),(68 34726.934),(69 34326.24),(70 34392.555),(71 34417.14),(72 34604.633),(73 33422.21),(74 34994.44),(75 35551.03),(76 35879.137),(77 37064.69),(78 39391.523),(79 40400.426),
(1 140.04668),(2 445.31018),(3 815.9252),(4 1255.1715),(5 1814.0574),(6 2444.9797),(7 3141.7666),(8 3792.558),(9 4742.394),(10 5852.119),(11 6410.531),(12 6954.524),(13 7717.635),(14 8266.078),(15 8630.085),(16 9870.719),(17 10329.366),(18 10620.885),(19 11189.257),(20 11323.4),(21 10956.216),(22 11065.4375),(23 12061.784),(24 11830.173),(25 12813.585),(26 13338.782),(27 14576.401),(28 14924.513),(29 16144.723),(30 16921.563),(31 17614.014),(32 19160.959),(33 20349.514),(34 20333.535),(35 21472.814),(36 22664.314),(37 23291.207),(38 23517.924),(39 24970.719),(40 26494.46),(41 26993.6),(42 27979.953),(43 28823.666),(44 28547.361),(45 29321.328),(46 29186.014),(47 29565.842),(48 31002.133),(49 31180.277),(50 31464.322),(51 33643.152),(52 34450.723),(53 34495.965),(54 35762.547),(55 36972.734),(56 37044.7),(57 36066.332),(58 37196.246),(59 36632.33),(60 36557.355),(61 37543.832),(62 37740.316),(63 37108.758),(64 37965.504),(65 38033.7),(66 38596.277),(67 37958.3),(68 38301.484),(69 36805.74),(70 38658.72),(71 37042.223),(72 37365.234),(73 38097.01),(74 39488.977),(75 38637.473),(76 39503.184),(77 41376.996),(78 42694.242),(79 43733.316),
(1 146.71999),(2 463.8401),(3 837.99524),(4 1264.149),(5 1818.6808),(6 2389.901),(7 3017.736),(8 3633.147),(9 4599.507),(10 5365.7827),(11 5862.276),(12 6410.7007),(13 6995.4795),(14 7470.809),(15 8176.08),(16 9134.156),(17 9945.1),(18 10161.575),(19 11263.284),(20 11776.779),(21 11496.473),(22 11169.608),(23 12187.194),(24 11722.121),(25 11895.975),(26 12108.616),(27 13119.938),(28 13382.081),(29 14104.86),(30 15295.589),(31 15900.787),(32 17433.041),(33 18153.613),(34 18021.412),(35 19071.236),(36 19683.537),(37 20156.857),(38 20749.566),(39 21914.31),(40 23658.313),(41 24048.21),(42 24692.191),(43 24665.508),(44 25621.078),(45 26031.96),(46 26271.773),(47 26996.813),(48 28814.396),(49 29276.8),(50 30211.404),(51 32331.799),(52 32625.262),(53 32130.12),(54 33908.816),(55 33839.844),(56 33479.89),(57 32603.45),(58 33331.67),(59 34280.39),(60 33144.207),(61 33403.01),(62 32829.43),(63 33485.72),(64 33255.645),(65 34462.59),(66 34272.406),(67 35357.543),(68 35504.645),(69 35075.855),(70 36335.48),(71 35549.758),(72 36079.83),(73 36868.52),(74 38413.82),(75 38085.91),(76 38712.707),(77 39511.11),(78 39672.547),(79 39580.06),
(1 143.75166),(2 468.08273),(3 857.5261),(4 1301.0444),(5 1858.0828),(6 2434.3398),(7 3035.549),(8 3639.6707),(9 4582.069),(10 5469.6133),(11 5928.157),(12 6774.7495),(13 7329.5244),(14 7763.663),(15 8535.745),(16 9120.92),(17 9843.095),(18 10054.423),(19 10866.592),(20 11054.955),(21 11132.3),(22 11161.447),(23 12381.254),(24 11848.345),(25 12299.329),(26 12289.681),(27 13421.171),(28 13408.557),(29 14257.029),(30 14954.825),(31 15711.285),(32 16829.438),(33 16927.535),(34 17288.326),(35 17927.281),(36 19034.72),(37 19881.846),(38 20168.234),(39 21259.672),(40 22802.51),(41 23118.31),(42 23428.146),(43 23745.744),(44 23407.62),(45 23847.72),(46 24219.74),(47 25251.332),(48 26127.994),(49 27425.904),(50 28566.727),(51 28835.127),(52 29365.965),(53 29973.764),(54 29658.205),(55 31051.365),(56 31081.734),(57 30727.316),(58 30487.9),(59 31208.674),(60 31577.236),(61 31102.03),(62 31004.326),(63 30963.727),(64 31790.805),(65 31282.287),(66 31893.885),(67 31579.303),(68 31821.975),(69 31179.514),(70 32014.152),(71 31132.834),(72 31855.215),(73 32852.76),(74 33891.33),(75 34096.27),(76 35143.715),(77 34026.508),(78 35030.395),(79 35256.152),
(1 140.943),(2 447.9036),(3 812.9513),(4 1202.3319),(5 1690.9733),(6 2217.7686),(7 2740.8625),(8 3338.8384),(9 4210.941),(10 5075.275),(11 5399.544),(12 6231.8774),(13 6752.0156),(14 7230.575),(15 7657.9688),(16 8290.525),(17 8348.304),(18 8938.803),(19 9785.766),(20 9851.361),(21 10243.67),(22 10431.401),(23 11373.985),(24 11480.271),(25 12064.775),(26 11954.014),(27 12771.205),(28 12999.158),(29 13900.854),(30 14695.819),(31 15278.521),(32 16385.61),(33 16744.41),(34 16939.629),(35 17326.063),(36 18560.764),(37 19485.209),(38 20268.064),(39 20462.469),(40 21529.316),(41 21843.977),(42 22035.17),(43 22267.854),(44 22879.56),(45 23882.986),(46 23880.482),(47 24877.203),(48 26457.105),(49 27112.553),(50 27879.582),(51 29181.982),(52 29123.95),(53 28800.05),(54 30061.264),(55 30311.705),(56 30552.664),(57 30284.008),(58 31292.957),(59 31213.967),(60 30977.533),(61 30467.947),(62 29939.389),(63 29090.527),(64 29289.303),(65 29622.457),(66 29938.521),(67 30042.959),(68 29858.365),(69 29881.8),(70 29962.627),(71 30506.438),(72 30873.082),(73 31234.2),(74 32009.111),(75 33559.688),(76 34980.105),(77 33043.867),(78 34884.07),(79 35569.492),
(1 140.20903),(2 457.30438),(3 833.9286),(4 1274.0707),(5 1828.7316),(6 2440.8284),(7 3050.9858),(8 3738.0247),(9 4676.3784),(10 5699.0093),(11 6032.5054),(12 6642.6616),(13 7183.605),(14 7631.962),(15 7909.477),(16 8525.073),(17 8948.656),(18 9666.479),(19 10240.2705),(20 10313.925),(21 10463.808),(22 10611.64),(23 11077.459),(24 11249.878),(25 11665.104),(26 11993.367),(27 12800.337),(28 12640.58),(29 13629.649),(30 14369.406),(31 14964.949),(32 15826.526),(33 16954.17),(34 17126.217),(35 17928.514),(36 18450.814),(37 19875.197),(38 19938.705),(39 21219.78),(40 22537.125),(41 23861.162),(42 24296.422),(43 24690.56),(44 25335.135),(45 26818.59),(46 26975.916),(47 27970.176),(48 29051.58),(49 30838.537),(50 30016.41),(51 30754.102),(52 31429.018),(53 31030.328),(54 30784.092),(55 31410.803),(56 31404.334),(57 30513.932),(58 31275.258),(59 32423.584),(60 31802.227),(61 31805.42),(62 32593.715),(63 32344.248),(64 31909.326),(65 32504.773),(66 32865.74),(67 32160.12),(68 31952.041),(69 31509.063),(70 31100.07),(71 31030.002),(72 31855.986),(73 32673.746),(74 33520.977),(75 33974.75),(76 34980.195),(77 34291.23),(78 34582.027),(79 34507.42),
(1 143.65482),(2 464.1366),(3 834.9982),(4 1250.632),(5 1794.278),(6 2378.7415),(7 2996.1821),(8 3731.3489),(9 4708.036),(10 5633.2065),(11 6134.65),(12 6641.2847),(13 7191.422),(14 7708.218),(15 8208.619),(16 8703.597),(17 9361.941),(18 10005.408),(19 10746.653),(20 11020.126),(21 11585.239),(22 11773.624),(23 12203.329),(24 12145.575),(25 12540.121),(26 12329.262),(27 13090.437),(28 13172.486),(29 14321.771),(30 14912.095),(31 15213.864),(32 16087.181),(33 17157.943),(34 17421.941),(35 18600.408),(36 19939.922),(37 21068.307),(38 21393.191),(39 22513.246),(40 24360.71),(41 25246.258),(42 24761.217),(43 25444.623),(44 26359.809),(45 25698.203),(46 25476.254),(47 26703.146),(48 28449.822),(49 28408.627),(50 29359.246),(51 30439.38),(52 31406.486),(53 30893.012),(54 32021.922),(55 32891.484),(56 32992.805),(57 31931.188),(58 32606.572),(59 33057.793),(60 32413.291),(61 33379.008),(62 33233.7),(63 32974.8),(64 32961.777),(65 34656.43),(66 33407.766),(67 33795.152),(68 33928.098),(69 34128.465),(70 32949.766),(71 33008.66),(72 32874.004),(73 33292.418),(74 34445.203),(75 33682.73),(76 35172.906),(77 34465.445),(78 35506.4),(79 35281.645),
(1 140.35844),(2 465.07397),(3 852.2385),(4 1308.5616),(5 1839.4971),(6 2388.8875),(7 2913.91),(8 3495.433),(9 4291.3594),(10 4989.988),(11 5389.836),(12 5915.154),(13 6468.594),(14 7282.133),(15 7737.3257),(16 8323.721),(17 9006.595),(18 9694.66),(19 10217.829),(20 10240.527),(21 11133.062),(22 11138.796),(23 11449.55),(24 11585.037),(25 12676.784),(26 12251.243),(27 12519.307),(28 12889.961),(29 13874.195),(30 14443.517),(31 14719.367),(32 15905.378),(33 16578.32),(34 16727.19),(35 17526.385),(36 18859.326),(37 19674.227),(38 20358.6),(39 21173.785),(40 22703.87),(41 23218.19),(42 23394.533),(43 24025.697),(44 24725.291),(45 24968.287),(46 25058.896),(47 25439),(48 26544.01),(49 27469.414),(50 27896.385),(51 28355.27),(52 29250.533),(53 29755.92),(54 30478.934),(55 31308.686),(56 32110.441),(57 31237.248),(58 31776.904),(59 31625.225),(60 31447.441),(61 30321.098),(62 30702.074),(63 29988.28),(64 30374.418),(65 31332.441),(66 31590),(67 31973.445),(68 32053.09),(69 31727.043),(70 32183.521),(71 31961.635),(72 30503.867),(73 31283.678),(74 33073.824),(75 32230.355),(76 32050.88),(77 32973.965),(78 33283.83),(79 32736.592),
