1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 2.1711068),(2 2.171366),(3 4.777286),(4 12.210325),(5 16.58503),(6 16.583502),(7 18.787008),(8 25.46493),(9 29.20052),(10 29.205826),(11 34.684284),(12 39.158108),(13 41.031727),(14 41.02892),(15 42.15345),(16 46.297604),(17 47.979305),(18 47.98094),(19 49.260197),(20 54.197227),(21 55.14599),(22 55.14874),(23 58.37988),(24 64.16729),(25 64.95958),(26 64.96246),(27 65.82974),(28 67.6148),(29 67.62679),(30 67.64371),(31 69.972176),(32 69.46549),(33 71.3978),(34 71.397156),(35 72.688385),(36 75.0516),(37 74.63185),(38 74.62837),(39 74.83127),(40 78.0295),(41 83.373955),(42 83.36522),(43 85.16395),(44 87.25404),(45 87.25523),
(1 2.2816145),(2 2.2825027),(3 4.9058394),(4 10.184174),(5 12.946713),(6 12.948355),(7 14.603769),(8 17.677841),(9 19.153204),(10 19.155573),(11 21.482807),(12 23.90786),(13 25.055828),(14 25.046238),(15 25.70317),(16 29.941849),(17 30.534712),(18 30.532692),(19 32.78313),(20 34.99472),(21 35.066032),(22 35.066372),(23 36.31339),(24 39.585888),(25 39.763676),(26 39.768364),(27 40.40764),(28 41.834522),(29 42.79199),(30 42.82893),(31 43.608856),(32 45.286995),(33 46.321083),(34 46.32646),(35 45.935818),(36 46.88128),(37 48.393314),(38 48.39481),(39 48.516346),(40 49.78591),(41 51.56908),(42 51.57693),(43 51.7562),(44 51.366657),(45 51.36704),
(1 1.8498155),(2 1.8501179),(3 3.9875712),(4 6.909035),(5 8.5382805),(6 8.539068),(7 9.375128),(8 11.477261),(9 12.659695),(10 12.659186),(11 13.754627),(12 16.05323),(13 16.792429),(14 16.79679),(15 17.581957),(16 19.193434),(17 20.062212),(18 20.065117),(19 20.049442),(20 21.824278),(21 21.921265),(22 21.919102),(23 22.779457),(24 24.515976),(25 25.097372),(26 25.100264),(27 25.025763),(28 25.37849),(29 25.854017),(30 25.864162),(31 25.481554),(32 26.523),(33 26.955439),(34 26.957888),(35 26.950583),(36 27.068653),(37 27.93585),(38 27.933142),(39 28.234497),(40 28.745483),(41 29.341862),(42 29.3411),(43 29.060425),(44 29.735004),(45 29.737068),
(1 1.8725809),(2 1.8729794),(3 3.6894214),(4 6.001751),(5 7.3047047),(6 7.307088),(7 7.925732),(8 9.198309),(9 9.982669),(10 9.984646),(11 10.686547),(12 12.25409),(13 12.869093),(14 12.870046),(15 13.351849),(16 14.744237),(17 15.175313),(18 15.176035),(19 15.136969),(20 15.675252),(21 16.28781),(22 16.288698),(23 16.881647),(24 17.46255),(25 18.27149),(26 18.266628),(27 18.172937),(28 18.587408),(29 18.687191),(30 18.706486),(31 18.301249),(32 19.211363),(33 20.275288),(34 20.279314),(35 20.549267),(36 20.405304),(37 20.84434),(38 20.837341),(39 20.833862),(40 20.693296),(41 21.449726),(42 21.450464),(43 21.311134),(44 22.379635),(45 22.380537),
(1 1.785734),(2 1.7869526),(3 3.2999978),(4 4.7074428),(5 5.865377),(6 5.867029),(7 6.16088),(8 7.135461),(9 7.625604),(10 7.628662),(11 8.085481),(12 9.17697),(13 9.501442),(14 9.502206),(15 9.716813),(16 10.252293),(17 10.803386),(18 10.8024),(19 11.046764),(20 11.5725975),(21 12.1118355),(22 12.115712),(23 12.364304),(24 12.848093),(25 13.532737),(26 13.530138),(27 13.41806),(28 13.435151),(29 13.592512),(30 13.620323),(31 13.600079),(32 14.372511),(33 14.882586),(34 14.881547),(35 14.945817),(36 15.108839),(37 15.51981),(38 15.522373),(39 15.212914),(40 15.28112),(41 15.469059),(42 15.468284),(43 15.498417),(44 15.715307),(45 15.71453),
(1 1.2874986),(2 1.2880281),(3 2.1277182),(4 3.0713751),(5 3.8923476),(6 3.893815),(7 3.997596),(8 4.719268),(9 5.1118712),(10 5.1117954),(11 5.1548033),(12 5.736908),(13 5.889701),(14 5.8897243),(15 6.1457257),(16 6.5488944),(17 6.826675),(18 6.8264117),(19 6.7906766),(20 7.1686997),(21 7.388183),(22 7.3897524),(23 7.5057573),(24 7.8241105),(25 8.19776),(26 8.1985235),(27 8.006685),(28 8.105395),(29 8.170901),(30 8.176132),(31 8.121789),(32 8.503929),(33 8.770506),(34 8.772558),(35 8.740312),(36 8.749142),(37 9.036202),(38 9.039935),(39 8.9091015),(40 8.985201),(41 9.182244),(42 9.18141),(43 9.247175),(44 9.334578),(45 9.333409),
(1 1.2909983),(2 1.2913876),(3 2.0168428),(4 2.6937704),(5 3.3268492),(6 3.3275144),(7 3.4769213),(8 3.95458),(9 4.2692375),(10 4.2693014),(11 4.365593),(12 4.8985705),(13 5.074886),(14 5.0768957),(15 5.141873),(16 5.538432),(17 5.736471),(18 5.7394776),(19 5.7886863),(20 6.041192),(21 6.288513),(22 6.2925415),(23 6.194727),(24 6.419705),(25 6.613782),(26 6.6119766),(27 6.5334134),(28 6.484006),(29 6.599886),(30 6.6184382),(31 6.6556816),(32 6.8886714),(33 7.0655837),(34 7.0672946),(35 7.2137523),(36 7.1540475),(37 7.3500514),(38 7.3513594),(39 7.235522),(40 7.2602677),(41 7.3992696),(42 7.399089),(43 7.508702),(44 7.6431966),(45 7.6432066),
(1 1.1491379),(2 1.1492468),(3 1.7151183),(4 2.2893755),(5 2.8473628),(6 2.8480084),(7 2.8268328),(8 3.2684143),(9 3.478094),(10 3.4779687),(11 3.50216),(12 3.9180548),(13 3.9839723),(14 3.984993),(15 4.0708704),(16 4.3175707),(17 4.4816647),(18 4.482084),(19 4.426501),(20 4.6112247),(21 4.8250737),(22 4.827034),(23 4.8321404),(24 5.0524764),(25 5.1976786),(26 5.1974564),(27 5.1180835),(28 5.1310787),(29 5.334747),(30 5.3499093),(31 5.231656),(32 5.4233704),(33 5.5878963),(34 5.5885296),(35 5.484589),(36 5.5415015),(37 5.695269),(38 5.6961336),(39 5.6387157),(40 5.6623535),(41 5.7678375),(42 5.767314),(43 5.7137465),(44 5.930284),(45 5.930225),
(1 0.9862242),(2 0.986235),(3 1.3971933),(4 1.8450766),(5 2.3223834),(6 2.323153),(7 2.2491677),(8 2.552903),(9 2.7563283),(10 2.7567284),(11 2.7686932),(12 3.0892813),(13 3.1450818),(14 3.1447394),(15 3.1815944),(16 3.4248257),(17 3.4590495),(18 3.4584794),(19 3.4452577),(20 3.5673056),(21 3.6625922),(22 3.661919),(23 3.7467058),(24 3.8192055),(25 4.0065584),(26 4.006067),(27 3.9772263),(28 4.008861),(29 4.1607566),(30 4.1662383),(31 3.992959),(32 4.1682906),(33 4.301378),(34 4.302736),(35 4.2096267),(36 4.2999387),(37 4.405518),(38 4.4043984),(39 4.270268),(40 4.230983),(41 4.368814),(42 4.3701935),(43 4.356021),(44 4.438577),(45 4.438364),
(1 0.84917146),(2 0.8491347),(3 1.1441851),(4 1.5002555),(5 1.8650995),(6 1.8655994),(7 1.7625544),(8 2.0482168),(9 2.2018752),(10 2.2018085),(11 2.1884801),(12 2.4483154),(13 2.4823756),(14 2.4826376),(15 2.531543),(16 2.678068),(17 2.7437797),(18 2.7451982),(19 2.7000184),(20 2.8272984),(21 2.9215195),(22 2.9225602),(23 2.9425125),(24 2.9885447),(25 3.0758805),(26 3.076344),(27 3.0547059),(28 3.0812354),(29 3.1253912),(30 3.1329138),(31 3.1303065),(32 3.2269552),(33 3.3072343),(34 3.3083773),(35 3.2942958),(36 3.3435311),(37 3.380894),(38 3.3791683),(39 3.2615578),(40 3.2980685),(41 3.371602),(42 3.3721492),(43 3.3562229),(44 3.428952),(45 3.4288332),
