1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 856720.2),(2 3060505),(3 6492786.5),(4 10922744),(5 16487957),(6 22846090),(7 29516008),(8 36562748),(9 43764116),(10 50913230),(11 57973630),(12 64644068),(13 70573176),(14 75737670),(15 79629070),(16 82564570),(17 84798730),(18 86400590),(19 87885800),(20 89801064),(21 91076330),(22 91923400),(23 93418760),(24 94146360),(25 94460420),(26 94535240),(27 95231944),(28 95217176),(29 94922820),(30 94347016),(31 93550910),(32 92587880),(33 94015430),(34 93911520),(35 93580670),(36 94420930),(37 94659490),(38 95030696),(39 95306090),(40 95564740),(41 95806460),(42 96366040),(43 96970690),(44 98305190),(45 99793150),(46 101594080),(47 103621930),(48 108555640),(49 111738904),(50 115095430),(51 116473220),(52 118800730),(53 121071000),(54 123286180),(55 125093510),(56 127241240),(57 127517656),(58 129194720),(59 131473130),(60 134070664),(61 137413580),(62 141275790),(63 144616370),(64 147182860),(65 149965740),(66 152457890),(67 154725200),(68 156808530),(69 158168700),(70 159269760),(71 160070030),(72 159474720),(73 159393380),(74 159757650),(75 159884020),(76 160109330),(77 160323020),(78 159518260),(79 159874640),
(1 684825.8),(2 2512868.3),(3 5308955),(4 8863392),(5 13276422),(6 18333812),(7 23737522),(8 29361212),(9 35013750),(10 40567320),(11 45909276),(12 51104200),(13 55718200),(14 59917416),(15 63482264),(16 66446616),(17 69060140),(18 71327050),(19 73509784),(20 75882740),(21 77905980),(22 79707880),(23 81677210),(24 83342570),(25 84774184),(26 86035940),(27 87226300),(28 88185670),(29 88904830),(30 89515240),(31 89897580),(32 90148310),(33 90715860),(34 90853330),(35 90780744),(36 90883240),(37 90795750),(38 90708910),(39 90519416),(40 90335016),(41 90073410),(42 89753830),(43 89340090),(44 89122760),(45 88970420),(46 89084660),(47 89381180),(48 90191800),(49 90803380),(50 91448990),(51 91627570),(52 91836630),(53 91919120),(54 91837360),(55 91484136),(56 91038760),(57 90053864),(58 89373640),(59 89108250),(60 89257190),(61 89908376),(62 91167960),(63 92827120),(64 94259150),(65 96067340),(66 98209830),(67 100348710),(68 102213270),(69 103805590),(70 105029784),(71 105851380),(72 106200530),(73 106339224),(74 106263016),(75 106135930),(76 106029144),(77 106017750),(78 106123500),(79 106469290),
(1 826819),(2 3102490),(3 6573222),(4 11035423),(5 16335652),(6 22271342),(7 28506518),(8 34828676),(9 40952976),(10 46718732),(11 51999360),(12 56705332),(13 60680540),(14 63927692),(15 66540940),(16 68471770),(17 70074770),(18 71317784),(19 72455384),(20 73735336),(21 74808820),(22 75767460),(23 76654850),(24 77489690),(25 78166140),(26 78757064),(27 79169770),(28 79644424),(29 80046936),(30 80511336),(31 80920440),(32 81250080),(33 81418616),(34 81616530),(35 81679496),(36 81709096),(37 81659560),(38 81512776),(39 81249944),(40 80961370),(41 80626744),(42 80096024),(43 79361130),(44 78689176),(45 78014616),(46 77509760),(47 77140380),(48 76760230),(49 76534664),(50 76294260),(51 75938040),(52 75392136),(53 74766680),(54 73957720),(55 72965910),(56 71615890),(57 69882360),(58 68093000),(59 66596404),(60 65605650),(61 65240844),(62 65462060),(63 66385588),(64 67621180),(65 69324700),(66 71486890),(67 73761176),(68 75885420),(69 77764250),(70 79137380),(71 79929600),(72 80055304),(73 79701020),(74 78957030),(75 78087256),(76 77150710),(77 76378344),(78 75764584),(79 75583430),
(1 902390.56),(2 3441964.5),(3 7316673.5),(4 12251627),(5 17963068),(6 24229192),(7 30695730),(8 36987904),(9 42875380),(10 48171044),(11 52750536),(12 56578896),(13 59628736),(14 61999984),(15 63667812),(16 64789284),(17 65588180),(18 66157200),(19 66529720),(20 66968690),(21 67216010),(22 67356630),(23 67466170),(24 67546936),(25 67606890),(26 67633710),(27 67618104),(28 67692504),(29 67822120),(30 68036060),(31 68321150),(32 68584520),(33 68751944),(34 68945320),(35 69030560),(36 69147180),(37 69192296),(38 69209440),(39 69188540),(40 69126020),(41 69050790),(42 68816040),(43 68491384),(44 68209720),(45 68020840),(46 68040450),(47 68265800),(48 68628790),(49 69117040),(50 69542400),(51 69899100),(52 70080950),(53 70083700),(54 69934940),(55 69473920),(56 68593416),(57 67268130),(58 65737810),(59 64252964),(60 63050680),(61 62375570),(62 62244452),(63 62751176),(64 63739812),(65 64847290),(66 66182508),(67 67448840),(68 68386536),(69 68896420),(70 68805690),(71 68060980),(72 66728684),(73 64779548),(74 62444590),(75 59944896),(76 57323556),(77 54807980),(78 52576960),(79 50640720),
(1 837747.6),(2 3215741),(3 6745280),(4 11199452),(5 16201241),(6 21587704),(7 27102880),(8 32299662),(9 37009148),(10 41103164),(11 44466544),(12 47109676),(13 49149416),(14 50704564),(15 51802110),(16 52557720),(17 53160868),(18 53661220),(19 54015950),(20 54358028),(21 54547124),(22 54629936),(23 54583064),(24 54589060),(25 54559500),(26 54492020),(27 54370268),(28 54344412),(29 54288820),(30 54242884),(31 54223056),(32 54153740),(33 53933684),(34 53773184),(35 53540720),(36 53345156),(37 53151976),(38 52946948),(39 52720050),(40 52578188),(41 52509720),(42 52379484),(43 52161280),(44 51959310),(45 51822040),(46 51847564),(47 52128240),(48 52608636),(49 53265372),(50 53940144),(51 54596036),(52 55158096),(53 55602268),(54 55904420),(55 55931324),(56 55689076),(57 55085800),(58 54247936),(59 53404892),(60 52726936),(61 52372070),(62 52483950),(63 53128896),(64 54145790),(65 55360744),(66 56758464),(67 58079150),(68 58980060),(69 59338396),(70 59009104),(71 57953212),(72 56257010),(73 53938200),(74 51282828),(75 48493800),(76 45681916),(77 43082144),(78 40932508),(79 39173404),
(1 645816.2),(2 2463993),(3 5070981),(4 8210345),(5 11465480),(6 14737453),(7 17877580),(8 20536196),(9 22601866),(10 24107332),(11 24990900),(12 25344660),(13 25423744),(14 25343836),(15 25257550),(16 25206530),(17 25220850),(18 25362196),(19 25601972),(20 25948828),(21 26389284),(22 26843050),(23 27326796),(24 27812586),(25 28259290),(26 28664620),(27 29000426),(28 29240218),(29 29392800),(30 29467572),(31 29458732),(32 29352166),(33 29211862),(34 28970532),(35 28688020),(36 28373588),(37 28107638),(38 27906624),(39 27750256),(40 27705526),(41 27790182),(42 27943460),(43 28091924),(44 28247546),(45 28429428),(46 28667916),(47 29010876),(48 29452922),(49 29969780),(50 30446474),(51 30854860),(52 31155386),(53 31344262),(54 31387852),(55 31311530),(56 30999260),(57 30428918),(58 29743610),(59 29088438),(60 28667700),(61 28623094),(62 28981180),(63 29713664),(64 30680858),(65 31809924),(66 32991980),(67 34048296),(68 34802176),(69 35118412),(70 34888150),(71 34093470),(72 32786182),(73 31083718),(74 29190324),(75 27335296),(76 25674484),(77 24301048),(78 23340546),(79 22768452),
(1 487741.34),(2 1826012.3),(3 3702894.5),(4 5849482.5),(5 8022599),(6 10090083),(7 11962293),(8 13421001),(9 14432535),(10 15086791),(11 15346265),(12 15325730),(13 15193630),(14 15106338),(15 15134442),(16 15361750),(17 15735766),(18 16224881),(19 16864656),(20 17603214),(21 18462950),(22 19365742),(23 20272498),(24 21171176),(25 21973300),(26 22599444),(27 22966388),(28 23155554),(29 23151556),(30 23009762),(31 22763712),(32 22459100),(33 22083458),(34 21742424),(35 21412660),(36 21127438),(37 20914958),(38 20747644),(39 20668480),(40 20629554),(41 20679012),(42 20760682),(43 20811076),(44 20839538),(45 20852830),(46 20921802),(47 21102328),(48 21316416),(49 21566710),(50 21769924),(51 21909748),(52 21948210),(53 21934646),(54 21865454),(55 21739090),(56 21581940),(57 21450878),(58 21279150),(59 21151400),(60 21205196),(61 21560008),(62 22326168),(63 23414572),(64 24607918),(65 25915946),(66 27175838),(67 28253334),(68 28986376),(69 29306866),(70 29138236),(71 28499836),(72 27492252),(73 26165280),(74 24736258),(75 23346804),(76 22147308),(77 21164712),(78 20489254),(79 19975794),
(1 421868.97),(2 1544360),(3 3067154.8),(4 4683867),(5 6236179),(6 7646118),(7 8871466),(8 9854961),(9 10632066),(10 11288068),(11 11824031),(12 12309867),(13 12829954),(14 13467536),(15 14209632),(16 15030383),(17 15865586),(18 16719029),(19 17562600),(20 18336278),(21 19051844),(22 19662122),(23 20190690),(24 20674734),(25 21097528),(26 21417602),(27 21579570),(28 21651094),(29 21643476),(30 21582756),(31 21474854),(32 21321174),(33 21062566),(34 20846678),(35 20645246),(36 20479014),(37 20361188),(38 20279168),(39 20268106),(40 20289780),(41 20350496),(42 20445094),(43 20520794),(44 20569278),(45 20545122),(46 20508306),(47 20523422),(48 20567868),(49 20670792),(50 20774840),(51 20868054),(52 20948676),(53 21054144),(54 21217498),(55 21383032),(56 21537280),(57 21622022),(58 21658788),(59 21695692),(60 21839050),(61 22166882),(62 22666782),(63 23252200),(64 23819324),(65 24332902),(66 24804510),(67 25226638),(68 25540846),(69 25697714),(70 25603468),(71 25259910),(72 24740638),(73 24118042),(74 23517426),(75 23097780),(76 22856846),(77 22780384),(78 22835048),(79 22912520),
(1 379767.88),(2 1370941.5),(3 2687189.5),(4 4019890.3),(5 5303640.5),(6 6489479.5),(7 7604074.5),(8 8639085),(9 9645242),(10 10589846),(11 11412889),(12 12127816),(13 12787832),(14 13483315),(15 14174285),(16 14856603),(17 15446004),(18 15922385),(19 16282726),(20 16559863),(21 16778908),(22 16924482),(23 16980082),(24 16948446),(25 16798472),(26 16540495),(27 16210088),(28 15922842),(29 15718613),(30 15628203),(31 15633280),(32 15687689),(33 15714012),(34 15689801),(35 15579891),(36 15372723),(37 15077656),(38 14704729),(39 14307625),(40 13889420),(41 13500111),(42 13176600),(43 12935068),(44 12768512),(45 12665463),(46 12675903),(47 12824081),(48 13053213),(49 13270803),(50 13463425),(51 13607388),(52 13732020),(53 13879666),(54 14099304),(55 14336767),(56 14475583),(57 14460904),(58 14353315),(59 14262788),(60 14385976),(61 14750922),(62 15294711),(63 15887531),(64 16342775),(65 16654189),(66 16905474),(67 17140596),(68 17359078),(69 17569180),(70 17688656),(71 17673250),(72 17506140),(73 17310856),(74 17134734),(75 17081948),(76 17132202),(77 17246802),(78 17386544),(79 17504044),
(1 416889.9),(2 1470285.5),(3 2800654.5),(4 4031981.8),(5 5081062.5),(6 5990365),(7 6890025.5),(8 7867111),(9 8950690),(10 10066192),(11 11055146),(12 11865029),(13 12518301),(14 13107906),(15 13640413),(16 14093784),(17 14428471),(18 14617708),(19 14721378),(20 14773489),(21 14876855),(22 15035099),(23 15231189),(24 15404018),(25 15466820),(26 15348700),(27 15079835),(28 14761614),(29 14486530),(30 14271029),(31 14182376),(32 14165321),(33 14197654),(34 14256436),(35 14306277),(36 14278299),(37 14178692),(38 13989364),(39 13747286),(40 13462460),(41 13170780),(42 12960731),(43 12844160),(44 12812857),(45 12841291),(46 12969055),(47 13223794),(48 13562188),(49 13890928),(50 14135130),(51 14295364),(52 14384288),(53 14491657),(54 14677376),(55 14902620),(56 15071701),(57 15127536),(58 14991614),(59 14754508),(60 14604118),(61 14721399),(62 15096078),(63 15499125),(64 15702521),(65 15735833),(66 15664793),(67 15621826),(68 15681172),(69 15817541),(70 15946784),(71 15969234),(72 15837646),(73 15670955),(74 15524532),(75 15457755),(76 15425266),(77 15351180),(78 15208277),(79 15002622),
(1 474457.66),(2 1655262.9),(3 3061518),(4 4218672.5),(5 5050354),(6 5654354),(7 6287884),(8 7101236),(9 8157502),(10 9337290),(11 10421021),(12 11323531),(13 12125003),(14 12921682),(15 13681700),(16 14365791),(17 14897470),(18 15242867),(19 15444098),(20 15547684),(21 15706320),(22 15935582),(23 16237144),(24 16537984),(25 16725820),(26 16728727),(27 16593912),(28 16364552),(29 16121289),(30 15876785),(31 15693502),(32 15505803),(33 15305530),(34 15100074),(35 14880434),(36 14623764),(37 14350120),(38 14051057),(39 13748758),(40 13473359),(41 13260038),(42 13100882),(43 12974067),(44 12870849),(45 12800040),(46 12797098),(47 12927487),(48 13129260),(49 13271526),(50 13268717),(51 13156772),(52 12979921),(53 12859631),(54 12856600),(55 12945345),(56 13039640),(57 13047326),(58 12872561),(59 12582336),(60 12394585),(61 12457351),(62 12737011),(63 13013592),(64 12972339),(65 12768022),(66 12590108),(67 12523476),(68 12583422),(69 12714061),(70 12808919),(71 12755026),(72 12559279),(73 12363805),(74 12312179),(75 12456658),(76 12698574),(77 12879790),(78 12945758),(79 12896307),
