(1 35.661774),(2 724544.06),(3 2325014.5),(4 2882314),(5 2887621.5),(6 3679542),(7 3901949.3),(8 3664474.8),(9 3662437.3),(10 3541297),(11 3585894),(12 3672786.8),(13 3671096),(14 3757570.8),(15 5302705.5),(16 5189542.5),(17 5194012),(18 5248231),(19 5179747),(20 5052478),(21 5054295.5),(22 5079393.5),(23 4958057.5),(24 5708264.5),(25 5719578.5),(26 6089840),(27 7466976),(28 7314190.5),(29 7302556),(30 5984693),(31 3986402),(32 4211728),(33 4212325.5),(34 4239346),(35 5637527.5),(36 6731776),(37 6723780),(38 7162483),(39 7264419),(40 6553241.5),(41 6554362.5),
(1 45.734253),(2 481331.9),(3 2022148),(4 2956216),(5 2950421),(6 3709699),(7 4864838.5),(8 5561330),(9 5553354.5),(10 5366598.5),(11 5329158.5),(12 4929330.5),(13 4931864.5),(14 4794220.5),(15 4539081),(16 4278460),(17 4277911),(18 4423817),(19 4857293.5),(20 4581763),(21 4583475.5),(22 4279160),(23 4078082.8),(24 3952023.3),(25 3957019.8),(26 4014662),(27 5302064.5),(28 5331336.5),(29 5311856.5),(30 5680628.5),(31 6041446.5),(32 5595612.5),(33 5605494.5),(34 5082556.5),(35 6865704),(36 7234723.5),(37 7226003.5),(38 7076068),(39 5569219.5),(40 6183082.5),(41 6184742.5),
(1 49.426346),(2 396557.44),(3 1738237.1),(4 2451683),(5 2452258.5),(6 3149222),(7 3939675.8),(8 3760302.5),(9 3758352),(10 3923818.3),(11 3467142.5),(12 3218265.5),(13 3213593),(14 3711493),(15 4641357),(16 4778434),(17 4776250),(18 4846202.5),(19 4575917),(20 4638633),(21 4644576.5),(22 4497725),(23 5459813),(24 6348544),(25 6349796),(26 6683058),(27 7282954),(28 7278599.5),(29 7262414),(30 6603907),(31 5425610),(32 5340692),(33 5328582),(34 5048001.5),(35 5340862.5),(36 5706189),(37 5709947),(38 5800426),(39 5155036),(40 5403172.5),(41 5400909),
(1 38.6516),(2 479670.44),(3 1969654.9),(4 2571734),(5 2566662.5),(6 3049002.3),(7 3671118),(8 3561773),(9 3557395.8),(10 4200870),(11 4153377.5),(12 4062445.8),(13 4058653.8),(14 4208336.5),(15 4743733),(16 4845679),(17 4848192.5),(18 5448601),(19 4586076),(20 5059737.5),(21 5060244),(22 5047361.5),(23 5144133),(24 5529407.5),(25 5522672),(26 5391321.5),(27 5820565),(28 5466445.5),(29 5482209.5),(30 5339986),(31 5243645.5),(32 5952128.5),(33 5953029),(34 6055918),(35 5766958),(36 5359455),(37 5359949),(38 5124759.5),(39 4945905),(40 5056639),(41 5056840.5),
(1 49.4747),(2 482727.78),(3 1712691.5),(4 1963237),(5 1965105.5),(6 2083842.3),(7 2182443.8),(8 2367391.5),(9 2369769.8),(10 2635377),(11 2719101.8),(12 2729218.8),(13 2722538.8),(14 3284247),(15 3515776.3),(16 3911629),(17 3914998),(18 3725415.8),(19 3810939),(20 4074694.3),(21 4077383),(22 3908220.5),(23 3461272.3),(24 3247827.8),(25 3247438),(26 3246981.3),(27 3252163.3),(28 2949074.3),(29 2958582.5),(30 2955150.3),(31 3402497.3),(32 3459731.5),(33 3469412.8),(34 3646826),(35 5046583.5),(36 4710307.5),(37 4709703),(38 4296765.5),(39 4179248.5),(40 4298642.5),(41 4301209.5),
(1 39.57736),(2 426607.1),(3 1321853.6),(4 1589024),(5 1593230.5),(6 2079461.9),(7 2592163.5),(8 2685370.3),(9 2691705),(10 2948742.3),(11 2769577),(12 2852927.5),(13 2853709.5),(14 3512631),(15 3820129),(16 4102039.5),(17 4101004),(18 4328291),(19 5323556.5),(20 5161485.5),(21 5163265.5),(22 4635139),(23 4600368),(24 4560886),(25 4573581),(26 4257947),(27 4840307.5),(28 5338347),(29 5308682),(30 4931354.5),(31 4112608.3),(32 4241879),(33 4234629.5),(34 4565350.5),(35 4510943),(36 4626663.5),(37 4631796.5),(38 4811003.5),(39 4987957.5),(40 4478333.5),(41 4477372.5),
(1 35.514423),(2 339194.4),(3 1649533.4),(4 2049792.8),(5 2050110.6),(6 2309319.5),(7 2325319),(8 2165094.3),(9 2170319.5),(10 2528481.3),(11 2231260.5),(12 2052553.3),(13 2051835.4),(14 2098460),(15 3038435.5),(16 2952040.3),(17 2953469.3),(18 2916950.8),(19 2610820.8),(20 2486947.8),(21 2493312.8),(22 2639863.8),(23 3062410.3),(24 3375534.5),(25 3379518.8),(26 3337702.8),(27 4489317.5),(28 4885493.5),(29 4878449),(30 4871015.5),(31 4338466),(32 4201603.5),(33 4198715.5),(34 4670939),(35 4022906),(36 4264072.5),(37 4264283.5),(38 4331492.5),(39 4883901),(40 4811248.5),(41 4811618),
(1 30.488817),(2 359110.6),(3 1348796.4),(4 1736937.9),(5 1737478.5),(6 1707292.3),(7 1953346),(8 2585543.3),(9 2577746.5),(10 2852797),(11 2585080.5),(12 2650897),(13 2648829.8),(14 3098280.3),(15 4148789.3),(16 4140759.3),(17 4134299.3),(18 4070783),(19 3277084),(20 3233809),(21 3232923.8),(22 3129575),(23 3330014.5),(24 3437484.5),(25 3432595.8),(26 3570949.3),(27 4109373.5),(28 4711524),(29 4724068.5),(30 4232024),(31 3940657.8),(32 4015305.8),(33 4011176.5),(34 3924513),(35 3954888.3),(36 4126091.8),(37 4124212.8),(38 4329652),(39 4691146),(40 4552871),(41 4552741),
(1 40.580353),(2 305643.2),(3 1348505.6),(4 1669297),(5 1665700.6),(6 1830758),(7 1725610),(8 2014788.1),(9 2012074.8),(10 2356680),(11 2332869.5),(12 2879012.5),(13 2879130.8),(14 3189962),(15 3630675),(16 3629877),(17 3634659.5),(18 3503175.3),(19 3125246),(20 3007185.3),(21 3011443.5),(22 3230950.8),(23 3101640),(24 3524264),(25 3523411.8),(26 3642822.5),(27 2966111.5),(28 3047944.8),(29 3059905.8),(30 2846939.3),(31 2838570),(32 2735516.5),(33 2734658.5),(34 2764118),(35 3626389.5),(36 3912839.5),(37 3911124.5),(38 4230786),(39 4128060),(40 4031084.5),(41 4031119.3),
(1 39.002182),(2 433529.38),(3 1308029.3),(4 1494719.6),(5 1493541),(6 1713901.3),(7 2325746.5),(8 2471661),(9 2471945.3),(10 2726726),(11 2886369.8),(12 2880431.5),(13 2874081),(14 3158331.3),(15 3379892),(16 3476367),(17 3474141.5),(18 3524759.3),(19 3419895.3),(20 3410289.3),(21 3403983),(22 3249757.8),(23 3630885.3),(24 4132496.5),(25 4140535.8),(26 4679420.5),(27 4002881.3),(28 3778629.5),(29 3766948),(30 3885409.3),(31 3170004),(32 3124516.8),(33 3123682.5),(34 3034399.3),(35 2751189.3),(36 3082613),(37 3087217.5),(38 3310154.3),(39 3401552.8),(40 3202734.8),(41 3203417.5),
