1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1284482.6),(2 1485953.1),(3 513305.78),(4 1986681.9),(5 2424543.8),(6 1607201.4),(7 3200139.3),(8 3774000.8),(9 3135193.3),(10 4943810.5),(11 5499031),(12 4961428.5),(13 7014342),(14 7580462),(15 7074334.5),(16 9140571),(17 10081803),(18 9735067),(19 11537677),(20 12151601),(21 11683453),(22 13621967),(23 14487136),(24 14291944),(25 16368637),(26 17484720),(27 17669784),(28 20561816),(29 22148800),(30 22338860),(31 25439566),(32 27157520),(33 27479994),(34 30363214),(35 32064160),(36 32254894),(37 34817052),(38 36026612),(39 35470324),(40 37533510),(41 39025364),(42 38562556),(43 40978684),(44 42558820),(45 41941004),(46 44351356),(47 46451764),(48 46268892),(49 48804100),(50 50957664),(51 50482252),(52 52649010),(53 54414372),(54 54001412),(55 55982830),(56 57686284),(57 56772780),(58 59355468),(59 61342796),(60 60776800),(61 62839180),(62 65054748),(63 64006612),(64 65540850),(65 67728136),(66 66771748),(67 68693280),(68 70793510),(69 69768580),(70 71177480),(71 73487064),(72 72487096),(73 73743304),(74 76025620),(75 74529570),(76 75519670),(77 77942370),(78 76573650),(79 77161464),
(1 614740.9),(2 799291.1),(3 450038.3),(4 1203995.4),(5 1612969.8),(6 1414517.9),(7 2247072.5),(8 2820211),(9 2696397),(10 3595976),(11 4258537),(12 4234027),(13 5253130.5),(14 5984069),(15 6019162.5),(16 7137668),(17 8137961),(18 8266238.5),(19 9265608),(20 10072974),(21 10349216),(22 11587010),(23 12558550),(24 12863262),(25 14035437),(26 15047050),(27 15648301),(28 17155716),(29 18439316),(30 18961400),(31 20347062),(32 21425524),(33 21842060),(34 23077262),(35 24093244),(36 24261428),(37 25096114),(38 25679558),(39 25429276),(40 25937286),(41 26449056),(42 25954902),(43 26290904),(44 26586780),(45 25944572),(46 26362070),(47 26863360),(48 26403996),(49 26804524),(50 27265332),(51 26733088),(52 27137356),(53 27727764),(54 27550742),(55 28184220),(56 28891284),(57 28782278),(58 29858564),(59 30826618),(60 30820404),(61 31673652),(62 32803786),(63 32816404),(64 33626376),(65 34980390),(66 35176760),(67 36311830),(68 37858264),(69 38172380),(70 39234380),(71 40929176),(72 41156070),(73 42161864),(74 43613736),(75 43410684),(76 43953944),(77 45354108),(78 45169656),(79 45497210),
(1 214657.94),(2 436980.6),(3 668216.94),(4 1234815.1),(5 1788418),(6 2337936.8),(7 3119834.3),(8 3916437),(9 4707160.5),(10 5694862),(11 6722470.5),(12 7755622),(13 8940104),(14 10175747),(15 11416197),(16 12788325),(17 14218889),(18 15445464),(19 16600735),(20 17752730),(21 18913282),(22 20163702),(23 21324018),(24 22312434),(25 23267626),(26 24180714),(27 25121986),(28 26144264),(29 27144282),(30 27975640),(31 28828624),(32 29670282),(33 30515254),(34 31577504),(35 32589984),(36 33454922),(37 34450910),(38 35396130),(39 36265268),(40 37273536),(41 38335490),(42 39188896),(43 40141364),(44 40915304),(45 41595250),(46 42467430),(47 43316876),(48 44023936),(49 44919372),(50 45672380),(51 46087970),(52 46735424),(53 47209300),(54 47433790),(55 47802784),(56 48078750),(57 48137940),(58 48466044),(59 48617600),(60 48519124),(61 48821012),(62 49039284),(63 48951650),(64 49081200),(65 49331028),(66 49258564),(67 49324596),(68 49417452),(69 49240990),(70 49151612),(71 49159756),(72 49041024),(73 49081884),(74 49295580),(75 49319892),(76 49374610),(77 49789412),(78 49783980),(79 49807330),
(1 164033.61),(2 443134.28),(3 816856.6),(4 1415912),(5 2054055.1),(6 2724625.8),(7 3556164.8),(8 4397428.5),(9 5272358),(10 6318198),(11 7363705.5),(12 8413358),(13 9578933),(14 10679647),(15 11742205),(16 12912608),(17 14022073),(18 15020725),(19 16035305),(20 16932132),(21 17785186),(22 18686244),(23 19460828),(24 20195498),(25 20995506),(26 21667336),(27 22386158),(28 23296168),(29 24031720),(30 24665736),(31 25463712),(32 26092602),(33 26750888),(34 27693896),(35 28504612),(36 29406298),(37 30460718),(38 31352278),(39 32255352),(40 33415694),(41 34588532),(42 35714360),(43 37258896),(44 38725330),(45 40232704),(46 41879708),(47 43651920),(48 45437150),(49 47310892),(50 49247490),(51 51062640),(52 52905012),(53 54658056),(54 56179640),(55 57598496),(56 58849370),(57 60034716),(58 61171052),(59 62201264),(60 63246876),(61 64259732),(62 65164060),(63 65643890),(64 66202496),(65 66598244),(66 66683704),(67 66862292),(68 66776940),(69 66569344),(70 66460784),(71 66285740),(72 65969040),(73 65588550),(74 65180416),(75 64694840),(76 64191680),(77 63896804),(78 63241756),(79 62656750),
(1 137773.81),(2 428165.9),(3 836169.8),(4 1421912.6),(5 2082710.5),(6 2791353),(7 3637631),(8 4577203.5),(9 5566336),(10 6696799.5),(11 7902760.5),(12 9075369),(13 10376022),(14 11719737),(15 12976951),(16 14351415),(17 15794503),(18 16955852),(19 18075346),(20 19151456),(21 20121452),(22 21038740),(23 21869160),(24 22556752),(25 23311482),(26 24056392),(27 24800590),(28 25643486),(29 26429058),(30 27046462),(31 27769678),(32 28380620),(33 28893632),(34 29598056),(35 30352344),(36 31061446),(37 31888248),(38 32661498),(39 33451678),(40 34325252),(41 35315444),(42 36199576),(43 37312064),(44 38505424),(45 39632500),(46 40801164),(47 42071450),(48 43127908),(49 44107500),(50 45010308),(51 45685704),(52 46174976),(53 46597580),(54 46918736),(55 47138310),(56 47262204),(57 47314136),(58 47256604),(59 47265510),(60 47177204),(61 46809496),(62 46314876),(63 45572370),(64 44765292),(65 43974950),(66 42980496),(67 42045656),(68 41087108),(69 40092044),(70 39222620),(71 38488416),(72 37706868),(73 36962332),(74 36324868),(75 35665596),(76 35039056),(77 34562960),(78 33980388),(79 33540640),
(1 187922.3),(2 636745.94),(3 1334282),(4 2282099.8),(5 3457691.3),(6 4840278.5),(7 6387057.5),(8 8133848),(9 10054626),(10 12078828),(11 14328637),(12 16491410),(13 18729626),(14 21081504),(15 23262700),(16 25432484),(17 27804326),(18 29753612),(19 31442988),(20 33096624),(21 34552084),(22 35712920),(23 36748630),(24 37509704),(25 38121500),(26 38794710),(27 39259400),(28 39583124),(29 39830720),(30 39735276),(31 39545344),(32 39324300),(33 38967572),(34 38627980),(35 38292844),(36 37928936),(37 37564784),(38 37164972),(39 36843930),(40 36600532),(41 36414960),(42 36125780),(43 35874264),(44 35684624),(45 35525544),(46 35434664),(47 35416140),(48 35341590),(49 35186776),(50 35139596),(51 35039590),(52 34837044),(53 34785800),(54 34719820),(55 34558164),(56 34449770),(57 34174660),(58 33961332),(59 33929416),(60 33893420),(61 33789856),(62 33679308),(63 33545468),(64 33222080),(65 33139062),(66 32986000),(67 32883436),(68 32839878),(69 32738342),(70 32730586),(71 32816822),(72 32907868),(73 32841942),(74 32929452),(75 32918688),(76 32923788),(77 33147008),(78 33345178),(79 33585450),
(1 244529.66),(2 913177),(3 2009909.3),(4 3493373.8),(5 5357546.5),(6 7612394),(7 10140796),(8 13005825),(9 16158906),(10 19507402),(11 23120156),(12 26721806),(13 30329814),(14 33930476),(15 37157336),(16 40254276),(17 43467804),(18 45902776),(19 47832828),(20 49453884),(21 50477210),(22 51102492),(23 51443430),(24 51309052),(25 50773732),(26 50157890),(27 49083180),(28 47715548),(29 46469356),(30 44816772),(31 43182010),(32 41700740),(33 40199284),(34 38805570),(35 37575430),(36 36388824),(37 35277332),(38 34219704),(39 33255454),(40 32517848),(41 31935112),(42 31390120),(43 30951470),(44 30754922),(45 30677832),(46 30779364),(47 31115254),(48 31526328),(49 32051224),(50 32695218),(51 33314638),(52 33923908),(53 34700976),(54 35469372),(55 35991244),(56 36491230),(57 36938868),(58 37175268),(59 37522468),(60 37774070),(61 37766876),(62 37641430),(63 37337670),(64 36834576),(65 36361704),(66 35875964),(67 35367616),(68 35017376),(69 34691196),(70 34437264),(71 34321176),(72 34241508),(73 34008024),(74 34238340),(75 34414050),(76 34431176),(77 34575252),(78 34441384),(79 33965420),
(1 307089.34),(2 1155079.5),(3 2499853),(4 4255286.5),(5 6376810.5),(6 8806855),(7 11490268),(8 14383993),(9 17440638),(10 20498382),(11 23468000),(12 26257970),(13 28903880),(14 31242022),(15 33273682),(16 35104740),(17 36740490),(18 37936828),(19 38765740),(20 39389668),(21 39721336),(22 39793016),(23 39791350),(24 39590216),(25 39335936),(26 39093450),(27 38800548),(28 38495148),(29 38329600),(30 38113084),(31 37918360),(32 37822452),(33 37875716),(34 37977396),(35 38185820),(36 38437716),(37 38695668),(38 38875896),(39 39022696),(40 39166856),(41 39397076),(42 39474844),(43 39512830),(44 39588028),(45 39565524),(46 39551384),(47 39605588),(48 39548970),(49 39529084),(50 39475200),(51 39378156),(52 39257064),(53 39255356),(54 39193990),(55 39046172),(56 38929260),(57 38706000),(58 38458828),(59 38190016),(60 37934796),(61 37724696),(62 37550950),(63 37522916),(64 37578056),(65 37728236),(66 37968100),(67 38327536),(68 38820268),(69 39411576),(70 40039120),(71 40651212),(72 41119748),(73 41494056),(74 41784884),(75 41869004),(76 41661210),(77 41337100),(78 40879450),(79 40278776),
(1 184079.27),(2 671478.7),(3 1398184.3),(4 2342246),(5 3471685.8),(6 4706785),(7 6066857.5),(8 7515741),(9 8986125),(10 10452682),(11 11878161),(12 13212311),(13 14401046),(14 15440478),(15 16319209),(16 17114290),(17 17868424),(18 18408624),(19 18863052),(20 19303816),(21 19648368),(22 19862236),(23 20075562),(24 20271576),(25 20397990),(26 20492608),(27 20586760),(28 20666726),(29 20823966),(30 20978668),(31 21168478),(32 21433070),(33 21728158),(34 22067464),(35 22450302),(36 22809302),(37 23160150),(38 23419248),(39 23599312),(40 23763466),(41 23858180),(42 23891746),(43 23835948),(44 23794650),(45 23673720),(46 23607438),(47 23559340),(48 23621282),(49 23699904),(50 23752822),(51 23785328),(52 23752186),(53 23722058),(54 23755476),(55 23815172),(56 23838926),(57 23875524),(58 23962060),(59 24086740),(60 24310558),(61 24649880),(62 25029418),(63 25413260),(64 25985324),(65 26520328),(66 27035454),(67 27572554),(68 28119546),(69 28591214),(70 28924468),(71 29151478),(72 29226266),(73 29178142),(74 29134980),(75 28946872),(76 28684852),(77 28425008),(78 28097766),(79 27817122),
(1 149497.53),(2 532197.5),(3 1110439.6),(4 1868038.6),(5 2765608),(6 3766678.3),(7 4883091.5),(8 6079835),(9 7317446),(10 8578802),(11 9843295),(12 11043262),(13 12153698),(14 13122757),(15 13944580),(16 14704827),(17 15396018),(18 15939922),(19 16411207),(20 16840376),(21 17210108),(22 17487356),(23 17723912),(24 17953080),(25 18128632),(26 18275470),(27 18426492),(28 18561220),(29 18735594),(30 18893420),(31 19064448),(32 19257302),(33 19455828),(34 19637944),(35 19854666),(36 20070128),(37 20241122),(38 20293178),(39 20273224),(40 20107568),(41 19868598),(42 19499476),(43 19048864),(44 18633690),(45 18191624),(46 17821174),(47 17516196),(48 17296218),(49 17117970),(50 16986140),(51 16870638),(52 16761369),(53 16737952),(54 16814180),(55 16889288),(56 17022990),(57 17221720),(58 17479506),(59 17820494),(60 18223856),(61 18670218),(62 19175368),(63 19718432),(64 20280408),(65 20854680),(66 21413812),(67 21875496),(68 22257650),(69 22501938),(70 22633216),(71 22706820),(72 22805800),(73 22852958),(74 22935164),(75 22945326),(76 22966766),(77 23059100),(78 23071420),(79 23087270),
(1 112864.68),(2 394161.25),(3 828966.56),(4 1396794.9),(5 2091715.8),(6 2944847.3),(7 3917050.5),(8 5001868),(9 6190968.5),(10 7447586.5),(11 8725361),(12 9905470),(13 11065190),(14 12131648),(15 13037277),(16 13926839),(17 14702436),(18 15248930),(19 15784757),(20 16304576),(21 16689139),(22 16990994),(23 17243942),(24 17436532),(25 17671196),(26 17892756),(27 18041372),(28 18193780),(29 18389572),(30 18513474),(31 18574070),(32 18629544),(33 18651222),(34 18589194),(35 18496402),(36 18262330),(37 17875106),(38 17370802),(39 16791906),(40 16229508),(41 15783293),(42 15404708),(43 15132996),(44 15046418),(45 14964147),(46 14949379),(47 15005846),(48 15113442),(49 15244459),(50 15393007),(51 15539814),(52 15663476),(53 15768040),(54 15902682),(55 16017641),(56 16164335),(57 16380636),(58 16602799),(59 16826312),(60 17046856),(61 17179408),(62 17257054),(63 17257630),(64 17279440),(65 17244134),(66 17184188),(67 17143506),(68 17070396),(69 17019880),(70 16957558),(71 16933980),(72 16910608),(73 16846870),(74 16829734),(75 16793476),(76 16723780),(77 16725203),(78 16630577),(79 16422664),
