1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 564689.56),(2 881545.8),(3 965248.06),(4 1953299),(5 2598464.3),(6 2827826),(7 3941844),(8 4571123.5),(9 4660719.5),(10 5659115.5),(11 6155076),(12 6028346.5),(13 6821976.5),(14 7288952.5),(15 7246757.5),(16 8122223.5),(17 8950117),(18 9254118),(19 10384623),(20 11515251),(21 12012839),(22 13280197),(23 14614720),(24 15276637),(25 16749251),(26 18379926),(27 19364392),(28 21100018),(29 23064102),(30 24299902),(31 26286622),(32 28625686),(33 30355878),(34 32466570),(35 34836590),(36 36297460),(37 38124828),(38 39978388),(39 41066510),(40 42843340),(41 45004956),(42 46450764),(43 48297020),(44 50836028),(45 52492108),(46 54655060),(47 57385264),(48 59353120),(49 61651932),(50 64407310),(51 66150270),(52 68546310),(53 71215850),(54 72804380),(55 74698136),(56 76799050),(57 77830710),(58 79090104),(59 80679304),(60 81205720),(61 81984584),(62 83313140),(63 83509896),(64 84050840),(65 85141960),(66 85276250),(67 85679816),(68 86636504),(69 86857910),(70 87436280),(71 88674184),(72 89087256),(73 89901220),(74 91385320),(75 91680930),(76 92264760),(77 93453160),(78 93391650),(79 93909030),
(1 525269.1),(2 1051731.9),(3 1514741),(4 2898833),(5 4117397.3),(6 5091679),(7 6956330.5),(8 8485587),(9 9631229),(10 11576958),(11 13048875),(12 14059032),(13 15946058),(14 17637402),(15 19042938),(16 21479210),(17 23975956),(18 25723872),(19 28503584),(20 31250870),(21 33494982),(22 36770696),(23 40106124),(24 42701736),(25 46409250),(26 50112904),(27 52950660),(28 56835776),(29 60637228),(30 63531390),(31 67621784),(32 71835200),(33 75396570),(34 80374504),(35 85635710),(36 89653620),(37 94341640),(38 98412720),(39 101130280),(40 104576240),(41 107909710),(42 110140520),(43 113364400),(44 116970580),(45 119589810),(46 123549460),(47 128245120),(48 131432370),(49 135487000),(50 139329500),(51 141727420),(52 144881200),(53 147862610),(54 149051400),(55 150891310),(56 152738270),(57 153323550),(58 154542240),(59 156338530),(60 156474060),(61 157096460),(62 158512380),(63 157907100),(64 157838820),(65 158201900),(66 156687660),(67 155074990),(68 153970600),(69 151476340),(70 149186830),(71 147876910),(72 144885470),(73 142388060),(74 140725400),(75 137564860),(76 134791150),(77 132866584),(78 128822660),(79 125128920),
(1 418058.34),(2 1118204.9),(3 2081963.9),(4 3726908),(5 5520935.5),(6 7423298),(7 9894311),(8 12272432),(9 14685391),(10 17543378),(11 20146694),(12 22670582),(13 25733226),(14 28705674),(15 31654744),(16 35141596),(17 38548850),(18 41566932),(19 44966196),(20 48026640),(21 50868160),(22 54130480),(23 57155620),(24 59862532),(25 63110260),(26 66104116),(27 68923384),(28 72261440),(29 75255610),(30 78043690),(31 81493120),(32 84690344),(33 87856290),(34 91568200),(35 94938150),(36 97778010),(37 100945220),(38 103503580),(39 105521020),(40 107873976),(41 109837416),(42 111164100),(43 112689750),(44 113824390),(45 114697256),(46 116187740),(47 117634330),(48 118586520),(49 119967416),(50 120896260),(51 121348490),(52 122212100),(53 122561440),(54 122067944),(55 121854940),(56 121212990),(57 120030680),(58 118940470),(59 117744100),(60 116123390),(61 114824920),(62 113775736),(63 112325210),(64 111235460),(65 110589944),(66 109493400),(67 108519580),(68 107421630),(69 105960984),(70 104714690),(71 103748220),(72 102584104),(73 101903720),(74 101476440),(75 100726504),(76 100339624),(77 100263260),(78 99667480),(79 99571544),
(1 202742.94),(2 626345.44),(3 1242275.4),(4 2132977.8),(5 3139197),(6 4214938.5),(7 5472923.5),(8 6739084.5),(9 8035939.5),(10 9422345),(11 10756629),(12 12060544),(13 13497447),(14 14889873),(15 16223004),(16 17710824),(17 19182602),(18 20617672),(19 22105542),(20 23447214),(21 24722632),(22 26055968),(23 27309418),(24 28403748),(25 29560108),(26 30726532),(27 31817688),(28 33042318),(29 34359230),(30 35571420),(31 36961296),(32 38319572),(33 39709710),(34 41208230),(35 42850060),(36 44470372),(37 46104950),(38 47735680),(39 49063856),(40 50467540),(41 51948880),(42 53287084),(43 54689664),(44 56163984),(45 57567452),(46 59243576),(47 61107184),(48 62906340),(49 64737052),(50 66322220),(51 67725410),(52 69189224),(53 70513990),(54 71570664),(55 72877624),(56 74094430),(57 75208870),(58 76408024),(59 77560830),(60 78465890),(61 79366420),(62 80252230),(63 81021050),(64 81745700),(65 82706520),(66 83436520),(67 83992470),(68 84366340),(69 84387840),(70 84258280),(71 84161784),(72 83915930),(73 83609700),(74 83311130),(75 82813340),(76 82163090),(77 81509020),(78 80867544),(79 80359370),
(1 225937.31),(2 784562.56),(3 1621673.5),(4 2753727.8),(5 4084517),(6 5557650),(7 7237193.5),(8 8976358),(9 10784214),(10 12638708),(11 14493135),(12 16362339),(13 18240408),(14 20124436),(15 22014400),(16 23876664),(17 25796422),(18 27632506),(19 29247358),(20 30738868),(21 32128658),(22 33284898),(23 34347292),(24 35236210),(25 36001100),(26 36753804),(27 37499124),(28 38224016),(29 39056400),(30 39844500),(31 40693956),(32 41490636),(33 42362764),(34 43239972),(35 44160160),(36 45033200),(37 45830012),(38 46666108),(39 47316996),(40 47919676),(41 48690676),(42 49351630),(43 50086916),(44 51123068),(45 52093776),(46 53052868),(47 54130420),(48 54886144),(49 55383220),(50 55781710),(51 55955316),(52 56039180),(53 56215870),(54 56329130),(55 56666390),(56 57208190),(57 57817510),(58 58554612),(59 59503824),(60 60413184),(61 61224424),(62 62067132),(63 62703790),(64 63113564),(65 63664836),(66 64146060),(67 64507356),(68 65064576),(69 65542012),(70 65915788),(71 66545830),(72 67152970),(73 67599440),(74 68041180),(75 68273336),(76 68198250),(77 68205540),(78 68272640),(79 68168350),
(1 175120.4),(2 627379.44),(3 1287536.6),(4 2148163.8),(5 3172964.5),(6 4333819),(7 5627850.5),(8 6983664),(9 8377459),(10 9767157),(11 11146726),(12 12541293),(13 13959507),(14 15460571),(15 17025034),(16 18565786),(17 20060406),(18 21389412),(19 22649834),(20 23823144),(21 24825686),(22 25635492),(23 26286404),(24 26698044),(25 26941718),(26 27056832),(27 26990956),(28 26875050),(29 26775212),(30 26580064),(31 26435470),(32 26248188),(33 26118704),(34 26138140),(35 26285128),(36 26428250),(37 26667664),(38 26998022),(39 27343004),(40 27791588),(41 28344036),(42 28992246),(43 29748036),(44 30596134),(45 31569898),(46 32541120),(47 33584804),(48 34636680),(49 35720056),(50 36874440),(51 38146384),(52 39368972),(53 40702420),(54 41977384),(55 43037624),(56 44021370),(57 44889416),(58 45582250),(59 46240930),(60 46887360),(61 47474800),(62 47988784),(63 48306470),(64 48448850),(65 48560320),(66 48568030),(67 48515750),(68 48425250),(69 48317964),(70 48120320),(71 47854824),(72 47636868),(73 47406868),(74 47006376),(75 46640250),(76 46207090),(77 45750150),(78 45445650),(79 45192310),
(1 190031.72),(2 699425.06),(3 1466413.1),(4 2454669),(5 3579640),(6 4810266.5),(7 6132325.5),(8 7505269),(9 8885756),(10 10263612),(11 11640358),(12 12979611),(13 14241079),(14 15524874),(15 16695772),(16 17759508),(17 18809282),(18 19646492),(19 20296478),(20 20840162),(21 21189992),(22 21278102),(23 21266208),(24 21065916),(25 20691582),(26 20335870),(27 19989486),(28 19643564),(29 19477596),(30 19306052),(31 19145838),(32 19113396),(33 19148256),(34 19254686),(35 19587776),(36 20162498),(37 20778956),(38 21581714),(39 22504098),(40 23425218),(41 24533078),(42 25657244),(43 26703486),(44 27836660),(45 29046270),(46 30255806),(47 31677508),(48 33115470),(49 34497350),(50 35863260),(51 37344810),(52 38755772),(53 40079430),(54 41313136),(55 42370284),(56 43317416),(57 44138864),(58 44784984),(59 45338824),(60 45864370),(61 46295164),(62 46550856),(63 46667140),(64 46621080),(65 46537264),(66 46253650),(67 45809028),(68 45281030),(69 44748932),(70 44148908),(71 43618704),(72 43233132),(73 42876970),(74 42511184),(75 42177520),(76 41831976),(77 41609304),(78 41475770),(79 41333250),
(1 232090.06),(2 858627.3),(3 1787425.8),(4 2991719),(5 4425901),(6 6018460.5),(7 7765938),(8 9567070),(9 11417730),(10 13231763),(11 15045613),(12 16877186),(13 18673908),(14 20519988),(15 22283110),(16 23892998),(17 25444576),(18 26778292),(19 27792320),(20 28601782),(21 29235806),(22 29497458),(23 29634484),(24 29594262),(25 29413222),(26 29269402),(27 29196736),(28 29174836),(29 29284344),(30 29530766),(31 29894446),(32 30452582),(33 31228060),(34 32053782),(35 33079240),(36 34072756),(37 34917430),(38 35642704),(39 36273980),(40 36830940),(41 37293680),(42 37524308),(43 37616132),(44 37371630),(45 36944056),(46 36398572),(47 35692696),(48 34920960),(49 34024620),(50 33081468),(51 32131240),(52 31273156),(53 30424040),(54 29509470),(55 28603958),(56 27786846),(57 27067358),(58 26519206),(59 26278226),(60 26195806),(61 26214792),(62 26388386),(63 26653516),(64 27098258),(65 27905758),(66 28890260),(67 30038418),(68 31237602),(69 32497284),(70 33635372),(71 34740110),(72 35828820),(73 36719000),(74 37474220),(75 38093492),(76 38473036),(77 38768536),(78 39002132),(79 39060170),
(1 186048.55),(2 669381.4),(3 1407273.6),(4 2363488.5),(5 3497302.3),(6 4755267.5),(7 6108962),(8 7501992),(9 8908775),(10 10342113),(11 11842746),(12 13325163),(13 14794355),(14 16244962),(15 17650288),(16 18989798),(17 20263600),(18 21418358),(19 22468690),(20 23441818),(21 24312832),(22 25016304),(23 25677740),(24 26158860),(25 26509138),(26 26761392),(27 26960146),(28 27085306),(29 27203170),(30 27343476),(31 27536512),(32 27793648),(33 28139958),(34 28503954),(35 28917514),(36 29292928),(37 29673894),(38 30061098),(39 30455578),(40 30824754),(41 31152918),(42 31425018),(43 31673042),(44 31863484),(45 32011542),(46 32174596),(47 32343070),(48 32437752),(49 32620002),(50 32952784),(51 33220036),(52 33376418),(53 33585870),(54 33711164),(55 33662404),(56 33597950),(57 33547768),(58 33483920),(59 33489558),(60 33506756),(61 33428812),(62 33269764),(63 33044088),(64 32773226),(65 32438844),(66 32104624),(67 31661018),(68 31102942),(69 30498058),(70 29829452),(71 29162518),(72 28436876),(73 27706942),(74 27083024),(75 26530480),(76 26094204),(77 25796212),(78 25624590),(79 25616188),
(1 218319.64),(2 804012.94),(3 1696702.8),(4 2866826.8),(5 4256939.5),(6 5811278.5),(7 7498874.5),(8 9257794),(9 11123179),(10 13075553),(11 15061134),(12 16990588),(13 18916348),(14 20710796),(15 22381326),(16 23992116),(17 25477166),(18 26815802),(19 28103482),(20 29337618),(21 30482098),(22 31572942),(23 32634084),(24 33588150),(25 34476564),(26 35290810),(27 36026980),(28 36768356),(29 37478950),(30 38063388),(31 38556844),(32 38917840),(33 39141292),(34 39181656),(35 39098820),(36 38915056),(37 38581776),(38 38124220),(39 37610276),(40 36927176),(41 36248500),(42 35476990),(43 34593360),(44 33653510),(45 32652078),(46 31685916),(47 30786660),(48 29933390),(49 29047570),(50 28264976),(51 27492438),(52 26736600),(53 26104974),(54 25537642),(55 25054124),(56 24705526),(57 24497256),(58 24302716),(59 24154440),(60 24074344),(61 24020594),(62 24017824),(63 24120022),(64 24205208),(65 24326088),(66 24628562),(67 24988756),(68 25446610),(69 26069010),(70 26735168),(71 27495656),(72 28349048),(73 29202684),(74 30019328),(75 30822422),(76 31517718),(77 32120910),(78 32597654),(79 32950308),
(1 190301.1),(2 682780.56),(3 1417565),(4 2390232),(5 3532145.5),(6 4822199.5),(7 6260496),(8 7775401.5),(9 9337999),(10 10991407),(11 12700386),(12 14399372),(13 16114656),(14 17736642),(15 19241690),(16 20652304),(17 21914078),(18 22988236),(19 23939934),(20 24802812),(21 25599778),(22 26260706),(23 26829206),(24 27299206),(25 27776934),(26 28285798),(27 28778116),(28 29272942),(29 29738864),(30 30098338),(31 30288968),(32 30330512),(33 30244416),(34 30057502),(35 29828180),(36 29578484),(37 29314602),(38 29033844),(39 28799644),(40 28545314),(41 28342532),(42 28171170),(43 27985968),(44 27838002),(45 27794288),(46 27899154),(47 28078558),(48 28320836),(49 28556322),(50 28799876),(51 28980216),(52 29174886),(53 29411064),(54 29554940),(55 29669162),(56 29721468),(57 29723722),(58 29717830),(59 29696154),(60 29611640),(61 29400466),(62 29103068),(63 28847370),(64 28497464),(65 28140910),(66 27774516),(67 27190682),(68 26495424),(69 25773218),(70 25043250),(71 24344748),(72 23671800),(73 23054462),(74 22452394),(75 21921712),(76 21465122),(77 21100846),(78 20845022),(79 20729004),
