1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 13838.2705),(2 45987.62),(3 96651.88),(4 165204.31),(5 245178.83),(6 334187.47),(7 434552.84),(8 540736.94),(9 648596.2),(10 762617.8),(11 892403.94),(12 1038870.44),(13 1199529.1),(14 1369507.1),(15 1550542.4),(16 1734330.4),(17 1916714.5),(18 2101267.8),(19 2281900.5),(20 2470512.3),(21 2659524.3),(22 2847196.3),(23 3035655.3),(24 3228402.8),(25 3421169),(26 3604758.3),(27 3797664),(28 3981692.8),(29 4184064),(30 4396184.5),(31 4624106),(32 4854019.5),(33 5090926),(34 5321768),(35 5549020.5),(36 5777020),(37 6003821.5),(38 6233132.5),(39 6488404),(40 6740109.5),(41 6995722.5),(42 7249312),(43 7505554.5),(44 7744080),(45 7978536),(46 8211761.5),(47 8469017),(48 8748328),(49 9025819),(50 9330740),(51 9655867),(52 9976425),(53 10257557),(54 10556247),(55 10850288),(56 11132883),(57 11404597),(58 11667672),(59 11931576),(60 12169208),(61 12378655),(62 12579659),(63 12780565),(64 12973447),(65 13181576),(66 13374676),(67 13575543),(68 13789601),(69 13966403),(70 14135727),(71 14273255),(72 14389040),(73 14497048),(74 14617069),(75 14735809),(76 14850329),(77 14949397),(78 15022923),(79 15099229),
(1 14800.028),(2 54670.563),(3 117211),(4 201675.95),(5 301397.53),(6 413938.25),(7 536968.9),(8 673908.94),(9 815157.6),(10 961393.1),(11 1120161),(12 1286967.6),(13 1466479.4),(14 1663157.5),(15 1865304.4),(16 2073701.8),(17 2285302.5),(18 2504857.3),(19 2726419.3),(20 2949522.8),(21 3182476.5),(22 3421660.8),(23 3666240.5),(24 3920888.8),(25 4183308),(26 4455008.5),(27 4740601),(28 5039399),(29 5357833.5),(30 5685668.5),(31 6022197.5),(32 6362957.5),(33 6701083.5),(34 7021430.5),(35 7335567),(36 7651868),(37 7988773),(38 8332565),(39 8693919),(40 9048930),(41 9426190),(42 9789619),(43 10153506),(44 10494522),(45 10843198),(46 11159743),(47 11495688),(48 11832234),(49 12157302),(50 12477837),(51 12838601),(52 13204323),(53 13584656),(54 13974506),(55 14416736),(56 14865536),(57 15344803),(58 15785126),(59 16215539),(60 16613498),(61 16982804),(62 17317178),(63 17662346),(64 18018724),(65 18399326),(66 18713510),(67 19044132),(68 19349980),(69 19663116),(70 19964982),(71 20268570),(72 20500736),(73 20723450),(74 20903878),(75 21084926),(76 21230964),(77 21350442),(78 21422774),(79 21491390),
(1 14286),(2 51714.387),(3 109041.88),(4 182100.7),(5 270319.6),(6 365003.78),(7 472712.9),(8 582377.75),(9 697380.3),(10 810953.44),(11 932704.8),(12 1049274),(13 1178559.3),(14 1314414.5),(15 1455223),(16 1606261.4),(17 1771714.4),(18 1941625.1),(19 2116907.8),(20 2281306.5),(21 2452637),(22 2619997),(23 2794427),(24 2962700),(25 3139460),(26 3322222.3),(27 3507619.3),(28 3708479.3),(29 3920464),(30 4113534),(31 4316247.5),(32 4507905.5),(33 4705533.5),(34 4887042.5),(35 5059707.5),(36 5225885.5),(37 5398612),(38 5557501.5),(39 5714760),(40 5865538.5),(41 6018076.5),(42 6147302.5),(43 6277694.5),(44 6377501.5),(45 6489682.5),(46 6584545.5),(47 6689346.5),(48 6794588),(49 6903954.5),(50 7015951.5),(51 7163232),(52 7316297.5),(53 7500781.5),(54 7681966),(55 7911501.5),(56 8154458.5),(57 8412289),(58 8651563),(59 8896855),(60 9121679),(61 9361972),(62 9579507),(63 9852724),(64 10139685),(65 10456469),(66 10732115),(67 11026044),(68 11314857),(69 11608323),(70 11882528),(71 12168511),(72 12411068),(73 12650772),(74 12879620),(75 13112524),(76 13339564),(77 13550665),(78 13730769),(79 13915568),
(1 18309.197),(2 67261.555),(3 147033.5),(4 249529.25),(5 373772.13),(6 514608.56),(7 668957.1),(8 837920.44),(9 1010238.7),(10 1187910.3),(11 1375668.5),(12 1577113.6),(13 1791014.9),(14 2017567.1),(15 2260283.5),(16 2511300.3),(17 2772358.8),(18 3031153.3),(19 3292811.8),(20 3552977.8),(21 3807651.5),(22 4053026.8),(23 4284565),(24 4511461.5),(25 4724961),(26 4940873),(27 5150132),(28 5359972.5),(29 5566881),(30 5766910),(31 5957574),(32 6130836),(33 6293228.5),(34 6437723.5),(35 6566423),(36 6676509.5),(37 6769696.5),(38 6847428.5),(39 6921075.5),(40 6985083.5),(41 7044488.5),(42 7074935),(43 7100938.5),(44 7116623.5),(45 7128319.5),(46 7129490.5),(47 7123583.5),(48 7111498),(49 7097266),(50 7062217.5),(51 7018312.5),(52 6966427.5),(53 6941800.5),(54 6917373.5),(55 6912081.5),(56 6911877.5),(57 6923565),(58 6943502.5),(59 6970873),(60 7007717),(61 7063006),(62 7124317.5),(63 7216806),(64 7313229.5),(65 7420645),(66 7522700.5),(67 7641409),(68 7760540.5),(69 7881487),(70 7988946),(71 8115302),(72 8235694),(73 8372995.5),(74 8497052),(75 8629444),(76 8742798),(77 8871545),(78 8980549),(79 9098451),
(1 16642.607),(2 60359.67),(3 129338.23),(4 222161.34),(5 334599.06),(6 465101.47),(7 612410.94),(8 781490.75),(9 963432.2),(10 1159781.6),(11 1369394.4),(12 1593431.3),(13 1832428.4),(14 2090096),(15 2364237.5),(16 2652015.8),(17 2959942.5),(18 3271829.8),(19 3592057),(20 3915516.8),(21 4240144),(22 4571416.5),(23 4905482),(24 5245750.5),(25 5575201.5),(26 5898970),(27 6217909),(28 6541088),(29 6867467.5),(30 7183963),(31 7495488.5),(32 7794916.5),(33 8091147.5),(34 8360919.5),(35 8617803),(36 8847853),(37 9061929),(38 9254436),(39 9426741),(40 9570369),(41 9696308),(42 9765644),(43 9819696),(44 9844404),(45 9865877),(46 9871217),(47 9874719),(48 9862849),(49 9855407),(50 9825528),(51 9779720),(52 9720398),(53 9663401),(54 9593439),(55 9547955),(56 9493481),(57 9449599),(58 9400604),(59 9369507),(60 9331228),(61 9319939),(62 9317728),(63 9330157),(64 9353435),(65 9384185),(66 9384966),(67 9383569),(68 9364682),(69 9333925),(70 9292910),(71 9260371),(72 9226447),(73 9201066),(74 9185264),(75 9183299),(76 9178867),(77 9191827),(78 9195129),(79 9200353),
(1 24032.512),(2 91159.45),(3 200070.77),(4 343585.16),(5 521634.5),(6 730460.44),(7 965465.2),(8 1235123.5),(9 1523364.8),(10 1830646.4),(11 2163398.8),(12 2516748.5),(13 2881610.3),(14 3259082),(15 3650228),(16 4048344),(17 4464105),(18 4877102.5),(19 5298938),(20 5716141.5),(21 6126337.5),(22 6533069),(23 6938880),(24 7334215),(25 7726652),(26 8106669.5),(27 8468446),(28 8812295),(29 9142771),(30 9436294),(31 9702947),(32 9913832),(33 10100944),(34 10234621),(35 10331891),(36 10378441),(37 10415635),(38 10415745),(39 10407466),(40 10367676),(41 10315088),(42 10227533),(43 10111952),(44 9963682),(45 9799904),(46 9606387),(47 9389374),(48 9160213),(49 8927522),(50 8667167),(51 8399592),(52 8119017.5),(53 7857361.5),(54 7594528),(55 7358035),(56 7122315),(57 6908870.5),(58 6704581),(59 6525978.5),(60 6355387),(61 6214081),(62 6079301),(63 5951218.5),(64 5838764),(65 5742744),(66 5645964),(67 5558973.5),(68 5481915),(69 5421809.5),(70 5382443),(71 5366760),(72 5377687),(73 5412030.5),(74 5462529),(75 5545181),(76 5644484.5),(77 5765422),(78 5907738.5),(79 6063946.5),
(1 23283.799),(2 87682.41),(3 193919.83),(4 334699.06),(5 506538.78),(6 707406.25),(7 938295.56),(8 1198971.8),(9 1478374),(10 1775549.1),(11 2097798.8),(12 2439451.3),(13 2791095),(14 3150439),(15 3530504),(16 3924084.5),(17 4319596),(18 4699201),(19 5061874),(20 5403547),(21 5737083),(22 6057947),(23 6366000.5),(24 6660742),(25 6936896),(26 7190544),(27 7424816.5),(28 7618858),(29 7796408),(30 7944018.5),(31 8064409),(32 8138367.5),(33 8198958),(34 8206968),(35 8189008),(36 8124807),(37 8055460.5),(38 7962080.5),(39 7857453.5),(40 7746493.5),(41 7650915),(42 7545573),(43 7442587.5),(44 7344600.5),(45 7248269.5),(46 7138887.5),(47 7027222),(48 6910779.5),(49 6804309),(50 6692815.5),(51 6596529),(52 6486703.5),(53 6404477.5),(54 6319480.5),(55 6265511),(56 6218635),(57 6200488),(58 6193080.5),(59 6198873),(60 6213034),(61 6246103.5),(62 6262831),(63 6292588.5),(64 6330426),(65 6386618.5),(66 6423199.5),(67 6472763),(68 6529476.5),(69 6582664),(70 6641906),(71 6706173),(72 6779375),(73 6871645),(74 6982992),(75 7132419),(76 7284581),(77 7456231.5),(78 7628050.5),(79 7807938.5),
(1 21382.477),(2 79856.234),(3 172139.55),(4 291451.47),(5 434712),(6 597928.2),(7 780591.2),(8 982293.44),(9 1196686.4),(10 1420753.6),(11 1655821.4),(12 1895658.3),(13 2132786.3),(14 2371058.5),(15 2615543.5),(16 2861346.5),(17 3104947.3),(18 3340948.8),(19 3572035.8),(20 3792356),(21 4008384),(22 4204174.5),(23 4386457),(24 4543778),(25 4679043),(26 4787999.5),(27 4878247.5),(28 4939632.5),(29 4995443.5),(30 5029500.5),(31 5047545.5),(32 5039609.5),(33 5028509),(34 5003031.5),(35 4966507.5),(36 4929335),(37 4899613),(38 4853118),(39 4805434),(40 4748401),(41 4687421),(42 4617554.5),(43 4551110),(44 4469515),(45 4389745),(46 4303475.5),(47 4225557.5),(48 4149446.5),(49 4082649.5),(50 4016805.5),(51 3965460.3),(52 3912004.3),(53 3868229.5),(54 3825746.3),(55 3790370.5),(56 3754694.5),(57 3730165),(58 3717268.3),(59 3718685.3),(60 3730719.5),(61 3758091.8),(62 3783571.3),(63 3834035.5),(64 3896696),(65 3973511),(66 4054314.5),(67 4145511.5),(68 4238199),(69 4331285.5),(70 4428904),(71 4533598.5),(72 4635626),(73 4740265.5),(74 4853541),(75 4986464),(76 5124520.5),(77 5260949.5),(78 5391767.5),(79 5520359),
(1 20539.488),(2 77553.28),(3 167103.55),(4 281400.53),(5 417638.88),(6 570234.3),(7 739576.5),(8 925529),(9 1120946.1),(10 1325579.3),(11 1535229.6),(12 1748190),(13 1964723.6),(14 2182921),(15 2404775.5),(16 2625867.8),(17 2848758.3),(18 3066530.8),(19 3281179.5),(20 3481926),(21 3676359.5),(22 3852817.8),(23 4021217),(24 4173716.3),(25 4326752.5),(26 4475122),(27 4619682),(28 4750926),(29 4863881.5),(30 4954016),(31 5040390.5),(32 5104314.5),(33 5159173),(34 5197477.5),(35 5229553.5),(36 5238894),(37 5228798),(38 5196016.5),(39 5157141.5),(40 5109132),(41 5060928),(42 5000052),(43 4931736.5),(44 4860552.5),(45 4800294),(46 4735884.5),(47 4683204),(48 4628345),(49 4581653),(50 4539112.5),(51 4504910),(52 4470606),(53 4442340),(54 4407641),(55 4387837),(56 4371860.5),(57 4365542.5),(58 4365011),(59 4370858.5),(60 4377289),(61 4392808),(62 4405791),(63 4434698),(64 4456393.5),(65 4475479),(66 4480721.5),(67 4484920.5),(68 4490572),(69 4496750),(70 4503059),(71 4504921.5),(72 4499708),(73 4484524),(74 4457780),(75 4439218),(76 4412587.5),(77 4387829.5),(78 4364764),(79 4352594),
(1 27852.617),(2 106936.266),(3 232922.94),(4 398743.4),(5 599848.75),(6 831453.06),(7 1085788.5),(8 1363233),(9 1654205.5),(10 1952240.5),(11 2258264),(12 2562291),(13 2864576.5),(14 3155165),(15 3433450.3),(16 3702904.5),(17 3955640),(18 4195885),(19 4410350),(20 4593926.5),(21 4748675.5),(22 4873785.5),(23 4972089),(24 5044543),(25 5092868.5),(26 5115249),(27 5127784.5),(28 5126703.5),(29 5116390),(30 5097012.5),(31 5079726),(32 5052414.5),(33 5038019.5),(34 5010685),(35 4988458),(36 4969514),(37 4967672.5),(38 4964789.5),(39 4967799.5),(40 4963161),(41 4977065.5),(42 4990699.5),(43 5017125),(44 5045987),(45 5079295),(46 5102798),(47 5126947.5),(48 5140419.5),(49 5152182),(50 5161521),(51 5165972),(52 5170918.5),(53 5171548.5),(54 5170067.5),(55 5174002.5),(56 5175382.5),(57 5178278),(58 5185591),(59 5199368),(60 5214222),(61 5244862),(62 5272509.5),(63 5311597.5),(64 5338973.5),(65 5362922),(66 5381165.5),(67 5401018.5),(68 5427995),(69 5456261),(70 5480747.5),(71 5509406),(72 5538786.5),(73 5558268.5),(74 5575081),(75 5602466),(76 5624098),(77 5643868),(78 5648407),(79 5640828.5),
(1 24024.732),(2 90895.5),(3 199103.23),(4 343766.03),(5 522002.34),(6 735051.9),(7 978012.5),(8 1243698.6),(9 1521018.1),(10 1810529),(11 2106491),(12 2403249.8),(13 2702540.3),(14 2989549.3),(15 3276970),(16 3566654),(17 3853966.5),(18 4124836.3),(19 4371243),(20 4592292),(21 4785840),(22 4956205),(23 5104226.5),(24 5213943.5),(25 5298779),(26 5360138.5),(27 5397282),(28 5406260),(29 5378929),(30 5322004),(31 5246224),(32 5143257.5),(33 5030916.5),(34 4901139),(35 4767387.5),(36 4631551),(37 4499771.5),(38 4359574.5),(39 4230112),(40 4116340.3),(41 4028756.8),(42 3948571.8),(43 3883600.3),(44 3822602),(45 3772093.8),(46 3729923.3),(47 3697534.3),(48 3674907.8),(49 3670822),(50 3682538.3),(51 3698893.8),(52 3720286.8),(53 3754952.8),(54 3802011.3),(55 3863213.5),(56 3935741.3),(57 4013922.8),(58 4090205.3),(59 4172211.8),(60 4240344.5),(61 4314998.5),(62 4387125.5),(63 4456368),(64 4521101),(65 4591804.5),(66 4651500),(67 4718871),(68 4783286.5),(69 4847346),(70 4913058),(71 4993430.5),(72 5077276),(73 5163110.5),(74 5253169),(75 5346715.5),(76 5426805.5),(77 5499831),(78 5550793.5),(79 5593260),
