1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 9774.892),(2 16951.006),(3 19942.64),(4 21797.705),(5 23515.889),(6 25133.084),(7 26249.605),(8 25877.754),(9 26338.37),(10 27190.162),(11 27909.559),(12 28194.48),(13 27470.936),(14 26797.559),(15 26860.68),(16 27025.045),(17 26661.133),(18 26515.094),(19 26676.129),(20 26824.68),(21 27395.396),(22 27557.525),(23 27712.65),(24 28078.164),(25 28120.375),(26 28293.057),(27 27651.62),(28 27493.906),(29 27522.063),(30 27533.764),(31 27550.018),(32 28268.754),(33 28399.426),(34 28439.969),(35 28442.975),(36 28632.635),(37 27835.3),(38 27358.922),(39 27491.13),(40 28220.828),(41 28165.121),(42 28356.393),(43 28884.197),(44 28248.191),(45 28034.416),(46 27810.22),(47 27780.418),(48 28180.227),(49 28589.611),(50 28187.79),(51 27688.105),(52 27804.12),(53 27958.746),(54 28101.67),(55 27468.133),(56 27323.799),(57 27463.832),(58 27518.611),(59 27600.766),(60 27706.84),(61 28357.65),(62 28860.285),(63 28907.328),(64 29295.586),(65 29893.01),(66 30396.697),(67 31071.45),(68 31029.889),(69 30748.959),(70 30668.387),(71 30821.217),(72 30754.793),(73 30504.217),(74 30409.367),(75 30067.285),(76 29975.809),(77 29527.404),(78 29472.66),(79 29529.824),
(1 9615.895),(2 16610.623),(3 19944.926),(4 21636.627),(5 23365.877),(6 24250.8),(7 25360.545),(8 25117.611),(9 25233.543),(10 26020.494),(11 26874.5),(12 26957.668),(13 26522.586),(14 26535.031),(15 26423.88),(16 26568.332),(17 26547.025),(18 26897.842),(19 26522.682),(20 26456.422),(21 26407.69),(22 26117.646),(23 26451.326),(24 26735.914),(25 26953.477),(26 27384.074),(27 27405.05),(28 27323.705),(29 27350.676),(30 27278.21),(31 27563.697),(32 27780.914),(33 28546.275),(34 28865.074),(35 28933.176),(36 28462.334),(37 27987.035),(38 27835.19),(39 28002.605),(40 28909.668),(41 28990.99),(42 28889.615),(43 28518.34),(44 27652.666),(45 27379.674),(46 27536.479),(47 27351.518),(48 27545.775),(49 27332.121),(50 27425.46),(51 27591.15),(52 27599.78),(53 27638.273),(54 27703.01),(55 27350.264),(56 26981.236),(57 27381.8),(58 27195.03),(59 26995.15),(60 26793.453),(61 27360.066),(62 27844.53),(63 28445.248),(64 28917.188),(65 28822.44),(66 28352.99),(67 28774.59),(68 28747.9),(69 28942.008),(70 29398.63),(71 29490.879),(72 29201.914),(73 28600.477),(74 29021.232),(75 29313.63),(76 29177.46),(77 28706.387),(78 28698.215),(79 28684.205),
(1 8924.4),(2 15728.381),(3 18840.38),(4 20830.541),(5 22208.209),(6 22928.486),(7 23491.99),(8 24044.395),(9 24789.908),(10 25266.383),(11 25656.422),(12 25899.314),(13 25836.271),(14 26006.566),(15 25892.03),(16 25854.758),(17 26394.385),(18 26796.422),(19 26602.764),(20 26273.793),(21 26087.11),(22 26020.033),(23 26033.39),(24 26291.41),(25 26762.668),(26 26623.797),(27 26129.361),(28 25923.115),(29 26061.918),(30 26022.49),(31 26290.543),(32 26200.115),(33 26616.492),(34 26558.99),(35 26811.248),(36 26609.967),(37 26779.273),(38 26704.063),(39 26715.922),(40 27641.781),(41 27931.697),(42 28137.217),(43 28281.607),(44 27629.184),(45 27667.512),(46 27665.725),(47 27573.324),(48 27543.393),(49 27253.889),(50 26762.969),(51 26849.8),(52 26588.914),(53 26147.807),(54 26040.648),(55 26128.154),(56 26310.07),(57 26442.467),(58 26512.291),(59 26780.56),(60 27241.043),(61 27063.129),(62 27472.82),(63 27961.777),(64 27772.393),(65 27418.361),(66 27180.873),(67 27705.19),(68 27385.408),(69 27240.941),(70 27665.521),(71 27800.602),(72 27848.441),(73 27711.6),(74 27971.686),(75 27910.865),(76 27841.98),(77 27477.31),(78 27580.125),(79 28428.303),
(1 8885.991),(2 15142.174),(3 18162.205),(4 20122.082),(5 21652.121),(6 22567.5),(7 23517.201),(8 23751.229),(9 24168.867),(10 24521.469),(11 24968.063),(12 25247.947),(13 25095.002),(14 25159.771),(15 25339.803),(16 25716.803),(17 25726.584),(18 25933.305),(19 26119.47),(20 25905.023),(21 25676.145),(22 25779.912),(23 25581.682),(24 25520.559),(25 25647.865),(26 25934.371),(27 25677.105),(28 25620.03),(29 25453.826),(30 25750.188),(31 25397.545),(32 25593.34),(33 26017.734),(34 26437.41),(35 26764.09),(36 26928.754),(37 26966.83),(38 26950.57),(39 27382.568),(40 27928.59),(41 27841.459),(42 27914.215),(43 28040.38),(44 27388.387),(45 27111.146),(46 26441.564),(47 26036.795),(48 26364.46),(49 26688.223),(50 26674.62),(51 26256.87),(52 25826.275),(53 25677.889),(54 25858.184),(55 26229.596),(56 26156.904),(57 26285.898),(58 26339.469),(59 26796.87),(60 26749.416),(61 26308.469),(62 26741.285),(63 26916.58),(64 27351.594),(65 27748.729),(66 27544.355),(67 27171.521),(68 26917.133),(69 26845.605),(70 26897.982),(71 26818.027),(72 26883.568),(73 27266.13),(74 27719.568),(75 27393.732),(76 26994.816),(77 27225.102),(78 28061.42),(79 28440.15),
(1 8553.41),(2 15008.83),(3 17539.648),(4 18928.537),(5 20502.55),(6 21434.47),(7 21676.443),(8 21786.787),(9 22128.111),(10 22514.352),(11 22777.477),(12 23498.133),(13 23330.396),(14 23315.094),(15 23727.281),(16 23853.604),(17 24016.37),(18 24307.31),(19 24804.613),(20 25018.32),(21 24712.063),(22 24465.309),(23 24046.398),(24 24261.197),(25 24548.947),(26 24662.4),(27 24198.246),(28 24536.549),(29 25185.646),(30 25131.979),(31 24694.557),(32 25272.82),(33 25722.432),(34 26025.568),(35 26390.742),(36 26436.602),(37 26008.432),(38 26021.158),(39 26183.201),(40 26380.49),(41 25910.777),(42 25824.209),(43 25233.03),(44 25256.281),(45 25671.59),(46 25650.316),(47 25269.057),(48 25478.434),(49 25637.592),(50 25502.74),(51 25540.65),(52 25618.004),(53 25390.488),(54 25394.41),(55 26388.58),(56 25902.441),(57 25353.85),(58 25236.543),(59 25291.068),(60 25343.2),(61 25765.158),(62 25805.33),(63 25778.348),(64 26212.402),(65 26487.408),(66 26556.068),(67 26361.51),(68 26328.902),(69 26272.818),(70 26419.816),(71 26360.91),(72 25935.889),(73 26062.354),(74 26987.209),(75 26872.49),(76 26298.607),(77 26471.523),(78 27368.59),(79 27551.783),
(1 8948.381),(2 15192.705),(3 17977.193),(4 18964.89),(5 20207.793),(6 21016.934),(7 21696.451),(8 21925.107),(9 22279.588),(10 22537.621),(11 22895.348),(12 23297.58),(13 23511.186),(14 24031.768),(15 23928.113),(16 23659.166),(17 23560.326),(18 23927.74),(19 24274.344),(20 24265.72),(21 24219.256),(22 23959.563),(23 23873.516),(24 24411.125),(25 24667.68),(26 24629.857),(27 24047.266),(28 24044.59),(29 24554.48),(30 24072.334),(31 23647.334),(32 23939.154),(33 24347.14),(34 24469.662),(35 24579.016),(36 24737.81),(37 24455.6),(38 24491.943),(39 24297.703),(40 24707.8),(41 24612.209),(42 24863.053),(43 24050.088),(44 24128.574),(45 24912.178),(46 24897.615),(47 24548.86),(48 24739.69),(49 24388.459),(50 24866.24),(51 25139.47),(52 24792.447),(53 24388.984),(54 24923.404),(55 25130.818),(56 25149.557),(57 25248.752),(58 24823.332),(59 24898.365),(60 25404.232),(61 25886.938),(62 25973.03),(63 25290.611),(64 25002.422),(65 25096.996),(66 25384.19),(67 25417.045),(68 25206.727),(69 25398.809),(70 25613.879),(71 25700.146),(72 25599.525),(73 25835.256),(74 26195.662),(75 25633.93),(76 25096.803),(77 25104.678),(78 25915.389),(79 26490.893),
(1 8522.922),(2 14725.392),(3 17416.566),(4 18753.62),(5 20271.914),(6 21232.348),(7 21075.207),(8 21334.475),(9 21708.691),(10 21807.31),(11 21965.982),(12 22573.975),(13 23395.03),(14 23239.852),(15 23134.389),(16 23312.107),(17 23706.064),(18 23901.371),(19 24231.498),(20 24308.994),(21 23662.541),(22 23430.764),(23 23631.22),(24 23877.814),(25 23626.303),(26 23374.572),(27 23239.664),(28 23429.51),(29 23827.375),(30 23721.191),(31 23556.55),(32 23526.314),(33 24247.21),(34 24710.404),(35 24806.125),(36 24859.754),(37 24820.209),(38 24926.027),(39 24516.785),(40 24627.22),(41 24588.135),(42 24704.45),(43 24289.352),(44 23925.172),(45 24462.145),(46 24362.098),(47 23886.906),(48 23328.596),(49 23581.635),(50 24367.371),(51 24624.701),(52 24106.605),(53 24078.842),(54 24800.822),(55 25052.102),(56 24905.342),(57 25292.955),(58 25561.781),(59 25443.557),(60 25383.756),(61 25497.098),(62 25454.875),(63 24717.256),(64 24250.096),(65 24819.824),(66 25347.893),(67 25383.586),(68 24829.402),(69 25147.473),(70 25617.582),(71 25918.68),(72 25969.557),(73 26295.268),(74 26333.625),(75 25813.107),(76 25221.459),(77 25162.348),(78 25639.8),(79 26110.605),
(1 7895.031),(2 13728.826),(3 16269.127),(4 17575.035),(5 19125.188),(6 20326.664),(7 21200.45),(8 20726.914),(9 21027.46),(10 21353.229),(11 22092.227),(12 21969.088),(13 21851.486),(14 21931.902),(15 22089.318),(16 22214.922),(17 22075.086),(18 22043.486),(19 22548.242),(20 22445.297),(21 22315.838),(22 22528.049),(23 23104.975),(24 23367.115),(25 22999.766),(26 22938.195),(27 22872.443),(28 22693.83),(29 22731.56),(30 22762.414),(31 22567.457),(32 22451.979),(33 23019.44),(34 23143.56),(35 23133.105),(36 23325.26),(37 23074.799),(38 22764.633),(39 22359.498),(40 22437.951),(41 22885.023),(42 23256.64),(43 22736.396),(44 22919.107),(45 23534.037),(46 23250.107),(47 22900.168),(48 22826.205),(49 22787.563),(50 23324.754),(51 23256.912),(52 22800.32),(53 23133.502),(54 23752.818),(55 23278.426),(56 22837.473),(57 23467.822),(58 23380.209),(59 23389.338),(60 23397.572),(61 23614.18),(62 23595.324),(63 23122.414),(64 23152.385),(65 23512.463),(66 23750.05),(67 23798.695),(68 23801.613),(69 23876.436),(70 24075.803),(71 24673.578),(72 24963.902),(73 24557.102),(74 24453.115),(75 24371.33),(76 24255.645),(77 24124.346),(78 24359.42),(79 24560.953),
(1 7663.2773),(2 13104.689),(3 15539.559),(4 16966.043),(5 18594.861),(6 19423.436),(7 20174.146),(8 20322.285),(9 20532.645),(10 21054.11),(11 21785.348),(12 21779.752),(13 21453.31),(14 21396.85),(15 21314.44),(16 21460.266),(17 20968.041),(18 20911.469),(19 21036.547),(20 21078.262),(21 21149.807),(22 21493.666),(23 21573.754),(24 21629.764),(25 21335.514),(26 21605.32),(27 21608.514),(28 21449.57),(29 21393.594),(30 21870.488),(31 21869.61),(32 21700.172),(33 22149.98),(34 22242.447),(35 21988.727),(36 22009.127),(37 21967.377),(38 21568.854),(39 21648.568),(40 21885.451),(41 21973.293),(42 22107.447),(43 22020.594),(44 21975.033),(45 22202.215),(46 22087.432),(47 21880.547),(48 21652.947),(49 22049.684),(50 22262.021),(51 22024.67),(52 21963.787),(53 21959.572),(54 22364.967),(55 22701.146),(56 22434.625),(57 22574.576),(58 22633.555),(59 22741.86),(60 22372.895),(61 22289.855),(62 22402.566),(63 22484.805),(64 22491.787),(65 22656.863),(66 22945.166),(67 22946.93),(68 22535.58),(69 22709.432),(70 22912.09),(71 23281.39),(72 23352.293),(73 22979.33),(74 23059.555),(75 22810.004),(76 22909.955),(77 23229.082),(78 23680.305),(79 23849.895),
(1 7296.2886),(2 12426.319),(3 14850.447),(4 16140.188),(5 17499.2),(6 18229.055),(7 18855.451),(8 18890.418),(9 19133.53),(10 19510.635),(11 19942.012),(12 19913.643),(13 19269.547),(14 19745.459),(15 20086.172),(16 20303.504),(17 19902.371),(18 20122.064),(19 20423.063),(20 20746.125),(21 20981.652),(22 21044.793),(23 20895.83),(24 20281.158),(25 20454.082),(26 21180.096),(27 21279.512),(28 20962.951),(29 20715.295),(30 20746.521),(31 20934.045),(32 20833.707),(33 20914.973),(34 21024.332),(35 20699.031),(36 20759.586),(37 20860.02),(38 20468.164),(39 20644.852),(40 21006.02),(41 21206.992),(42 21414.12),(43 21779.855),(44 22140.377),(45 22384.871),(46 22208.578),(47 22055.375),(48 21790.938),(49 22043.242),(50 22201.03),(51 21997.613),(52 21869.576),(53 21691.629),(54 21979.172),(55 22143.273),(56 22071.734),(57 22377.602),(58 22435.182),(59 22438.912),(60 22328.55),(61 22366.645),(62 22259.111),(63 22237.941),(64 22552.207),(65 22575.049),(66 22679.855),(67 22673.275),(68 22930.232),(69 23391.79),(70 23633.564),(71 23802.598),(72 23828.916),(73 23187.725),(74 23318.418),(75 23371.48),(76 23000.598),(77 22777.629),(78 22986.799),(79 23058.568),
(1 7206.742),(2 12235.985),(3 14623.177),(4 16351.031),(5 17828.664),(6 18629.666),(7 19152.37),(8 19340.934),(9 19294.775),(10 19632.166),(11 20008.275),(12 20259.979),(13 19597.424),(14 19823.021),(15 20079.47),(16 20008.951),(17 19710.373),(18 19777.209),(19 20411.54),(20 20703.223),(21 20799.535),(22 20826.9),(23 20569.377),(24 20088.762),(25 20322.746),(26 21122.707),(27 21177.76),(28 20813.43),(29 20449.928),(30 20452.322),(31 20501.656),(32 20484.602),(33 20572.832),(34 20464.215),(35 19958.768),(36 19761.52),(37 20131.48),(38 19955.813),(39 20267.248),(40 20506.623),(41 20325.291),(42 20278.969),(43 20773.496),(44 21169.832),(45 20941.697),(46 20778.197),(47 20880.18),(48 21009.76),(49 21054.506),(50 20996.99),(51 20873.635),(52 20871.643),(53 21008.22),(54 21620.334),(55 22052.314),(56 21905.318),(57 22433.506),(58 22220.945),(59 22074.898),(60 21911.65),(61 21810.709),(62 21563.377),(63 21676.813),(64 21815.578),(65 22092.723),(66 22292.5),(67 22444.555),(68 22371.666),(69 22518.82),(70 22729.965),(71 23037.727),(72 22885.094),(73 22286.633),(74 22155.066),(75 22064.627),(76 22032.406),(77 22004.96),(78 21913.367),(79 21759.973),
(1 6769.6377),(2 11357.523),(3 13618.111),(4 15020.969),(5 16573.89),(6 17216.775),(7 17700.264),(8 17896.316),(9 18130.613),(10 18257.734),(11 18927.533),(12 19133.314),(13 18694.83),(14 18516.484),(15 18800.1),(16 18990.99),(17 18482.084),(18 18330.209),(19 18446.084),(20 18634.697),(21 19032.666),(22 19255.566),(23 19258.549),(24 18932.402),(25 19046.53),(26 19750.012),(27 19992.424),(28 20002.846),(29 19872.766),(30 20026.137),(31 19840.924),(32 19909.8),(33 19863.172),(34 19605.475),(35 19003.824),(36 18945.436),(37 18843.564),(38 18834.33),(39 18884.941),(40 19096.365),(41 19250.416),(42 19538.36),(43 19731.047),(44 19824.914),(45 19844.223),(46 19589.666),(47 19736.254),(48 19842.643),(49 19919.652),(50 19858.91),(51 19918.28),(52 19850.486),(53 19955.4),(54 20504.336),(55 21001.463),(56 21150.217),(57 21239.334),(58 21322.627),(59 21376.084),(60 21528.146),(61 21317.7),(62 20985.271),(63 20961.373),(64 21241.354),(65 20950.857),(66 20968.396),(67 20683.484),(68 20783.875),(69 20953.379),(70 20936.508),(71 21097.762),(72 21104.563),(73 20883.922),(74 21178.79),(75 21421.723),(76 21466.666),(77 21442.139),(78 21579.31),(79 21740.066),
(1 6847.9766),(2 11487.007),(3 13496.129),(4 14674.417),(5 15708.445),(6 16390.164),(7 16747.639),(8 17061.287),(9 17169.096),(10 17497.49),(11 18159.889),(12 18425.836),(13 18355.932),(14 18413.605),(15 18635.836),(16 18671.518),(17 18279.854),(18 18320.479),(19 18572.727),(20 18510.953),(21 18892.979),(22 19246.203),(23 19415.973),(24 19286.6),(25 19079.78),(26 19174.322),(27 19189.771),(28 19053.477),(29 19074.727),(30 19229.16),(31 19120.55),(32 19038.71),(33 18831.936),(34 18219.545),(35 18268.063),(36 18481.898),(37 18369.82),(38 18258.766),(39 18438.451),(40 18890.43),(41 19113.768),(42 19154.557),(43 19082.672),(44 19169.771),(45 19332.387),(46 19498.021),(47 19156.174),(48 19192.434),(49 19370.314),(50 19214.443),(51 19027.389),(52 19183.281),(53 19390.316),(54 19709.078),(55 20111.016),(56 19760.014),(57 19845.887),(58 19973.766),(59 20118.559),(60 19986.28),(61 19640.45),(62 19652.83),(63 19768.867),(64 19911.373),(65 19871.256),(66 20075.748),(67 19954.88),(68 20098.12),(69 20160.096),(70 20083.008),(71 20154.059),(72 20236.014),(73 20218.443),(74 20311.82),(75 20154.428),(76 20037.768),(77 19936.637),(78 19755.592),(79 19487.734),
(1 6409.413),(2 10874.456),(3 12812.191),(4 13667.735),(5 14625.871),(6 15150.425),(7 15418.232),(8 15739.386),(9 16160.18),(10 16504.664),(11 16852.336),(12 16846.863),(13 16981.232),(14 17273.03),(15 17492.813),(16 17358.977),(17 17241.607),(18 17156.895),(19 17283.127),(20 17160.773),(21 17147.586),(22 17377.625),(23 17652.451),(24 17632.203),(25 17319.393),(26 17426.387),(27 17497.625),(28 17591.246),(29 17393.615),(30 17436.984),(31 17677.281),(32 17515.482),(33 17381.713),(34 17299.678),(35 17424.904),(36 17936.945),(37 17920.13),(38 18119.297),(39 18284.895),(40 18585.406),(41 18965.732),(42 19286.258),(43 19120.732),(44 18752.805),(45 18775.945),(46 18985.377),(47 18948.723),(48 19236.344),(49 19350.668),(50 19569.732),(51 19776.115),(52 19780.344),(53 19842.389),(54 20236.803),(55 20356.486),(56 20224.557),(57 19921.385),(58 19769.533),(59 19431.35),(60 19242.19),(61 18857.213),(62 18693.568),(63 18778.793),(64 18925.975),(65 18898.129),(66 18905.152),(67 19261.682),(68 19302.861),(69 19217.914),(70 19313.254),(71 19410.254),(72 19358.586),(73 19314.58),(74 18981.656),(75 19057.365),(76 19075.49),(77 18914.932),(78 18792.578),(79 18945.742),
(1 6469.2207),(2 10989.867),(3 12883.401),(4 14150.433),(5 15163.088),(6 15758.401),(7 15835.055),(8 16176.4),(9 16464.266),(10 16437.277),(11 16516.174),(12 16503.342),(13 16832.414),(14 16907.79),(15 16783.447),(16 16689.213),(17 16634.445),(18 16972.668),(19 16842.615),(20 16655.672),(21 16607.586),(22 16732.885),(23 16987.557),(24 17299.715),(25 17514.104),(26 17744.959),(27 17705.99),(28 17810.848),(29 17465.455),(30 17426.615),(31 17245.602),(32 16927.64),(33 17025.73),(34 17225.977),(35 17537.814),(36 17787.53),(37 17737.225),(38 17544.178),(39 17494.871),(40 17612.297),(41 17676.986),(42 17847.16),(43 17720.664),(44 17578.738),(45 17806.975),(46 18075.945),(47 18127.162),(48 18295.814),(49 18233.424),(50 18650.953),(51 18845.281),(52 18965.678),(53 19155.756),(54 19557.729),(55 19795.36),(56 19752.541),(57 19578.084),(58 19373.176),(59 19065.465),(60 18915.863),(61 18602.93),(62 18370.21),(63 18691.566),(64 19014.756),(65 19045.879),(66 18899.197),(67 19145.234),(68 19297.14),(69 19090.146),(70 18753.145),(71 18652.416),(72 18707.584),(73 18638.162),(74 18589.805),(75 18679.135),(76 18688.908),(77 18603.102),(78 18675.438),(79 18630.82),
(1 6036.279),(2 10094.678),(3 12133.587),(4 13434.425),(5 14395.148),(6 14682.908),(7 14805.082),(8 15014.222),(9 15042.57),(10 15135.876),(11 15289.531),(12 15697.078),(13 15862.791),(14 15796.739),(15 15866.237),(16 15896.52),(17 15913.309),(18 16122.403),(19 16297.104),(20 15956.374),(21 15714.382),(22 15585.645),(23 15919.072),(24 16111.15),(25 16368.657),(26 16613.406),(27 16614.291),(28 16577.795),(29 16504.639),(30 16394.406),(31 16225.211),(32 16072.137),(33 16245.019),(34 16452.188),(35 16495.455),(36 16621.275),(37 16861.79),(38 16831.059),(39 17002.754),(40 17138.559),(41 17040.395),(42 17246.191),(43 17259.8),(44 16973.32),(45 16961.863),(46 17098.373),(47 17094.367),(48 17317.516),(49 17163.96),(50 17152.975),(51 17509.787),(52 17697.38),(53 17612.408),(54 17833.975),(55 18096.148),(56 18057.877),(57 18310.93),(58 18223.771),(59 18001.566),(60 17820.188),(61 17771.172),(62 17734.057),(63 17944.273),(64 18135.045),(65 18127.406),(66 18052.002),(67 17931.303),(68 17874.375),(69 17934.75),(70 17776.008),(71 17527.92),(72 17744.604),(73 17716.107),(74 17780.498),(75 17936.736),(76 17688.771),(77 17207.242),(78 17211.533),(79 17321.406),
(1 5805.045),(2 9807.63),(3 11994.849),(4 13441.715),(5 14078.427),(6 14224.967),(7 14489.081),(8 14527.333),(9 14642.943),(10 14660.275),(11 14661.52),(12 14650.291),(13 14759.153),(14 14876.408),(15 14927.4795),(16 15002.34),(17 15021.5205),(18 15207.06),(19 15350.853),(20 15361.245),(21 15199.188),(22 15215.87),(23 15281.351),(24 15365.701),(25 15473.418),(26 15917.946),(27 16069.633),(28 15907.319),(29 15779.291),(30 15630.474),(31 15674.777),(32 15791.649),(33 15853.207),(34 16063.372),(35 16380.068),(36 16464.861),(37 16424.297),(38 16392.945),(39 16561.096),(40 16844.742),(41 16895.105),(42 16938.813),(43 16840.834),(44 16584.043),(45 16542.771),(46 16621.293),(47 16853.105),(48 17084.193),(49 16985.604),(50 17062.979),(51 17490.742),(52 17765.254),(53 17706.355),(54 17786.46),(55 17760.322),(56 17643.404),(57 17585.844),(58 17362.29),(59 17265.32),(60 17076.512),(61 16893.596),(62 17045.121),(63 17324.303),(64 17740.02),(65 17664.656),(66 17595.043),(67 17185.113),(68 17270.082),(69 17401.525),(70 17286.06),(71 16949.229),(72 17009.61),(73 17062.037),(74 17259.875),(75 17341.822),(76 17159.62),(77 17032.719),(78 17102.516),(79 16844.71),
(1 5552.273),(2 9189.59),(3 11364.57),(4 12701.779),(5 13530.45),(6 13815.293),(7 14185.31),(8 14117.147),(9 14405.993),(10 14444.644),(11 14557.059),(12 14439.651),(13 14240.491),(14 14417.606),(15 14475.508),(16 14421.597),(17 14624.396),(18 14984.868),(19 14951.227),(20 15140.993),(21 15050.02),(22 15280.903),(23 15288.464),(24 15339.066),(25 15462.856),(26 15537.876),(27 15764.94),(28 15818.963),(29 15867.834),(30 15822.824),(31 15530.273),(32 15214.925),(33 15177.956),(34 15302.908),(35 15552.176),(36 15552.59),(37 15479.839),(38 15421.8),(39 15556.396),(40 15646.574),(41 15745.873),(42 16067.446),(43 16088.3955),(44 16039.731),(45 15946.587),(46 16022.575),(47 16319.363),(48 16684.063),(49 16443.988),(50 16521.85),(51 16618.738),(52 16838.246),(53 16599.588),(54 16582.873),(55 16690.607),(56 16631.04),(57 16546.432),(58 16407.46),(59 16462.426),(60 16162.368),(61 16215.864),(62 16359.484),(63 16787.123),(64 16983.012),(65 16707.781),(66 16676.588),(67 16707.85),(68 16598.395),(69 16506.508),(70 16384.14),(71 16163.638),(72 16106.265),(73 16256.21),(74 16530.588),(75 16827.44),(76 16903.006),(77 16895.508),(78 16856.89),(79 16732.287),
