1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 132915.44),(2 499479.9),(3 1123788.9),(4 1919900.5),(5 2922119.3),(6 4143089.3),(7 5589404),(8 7286544),(9 9310896),(10 11751729),(11 14686352),(12 18286378),(13 22981966),(14 28819362),(15 35876636),(16 44241452),(17 53984620),(18 65544748),(19 78596170),(20 93180950),(21 109261120),(22 125843900),(23 142810060),(24 160137970),(25 178647550),(26 198882540),(27 220296510),(28 243097170),(29 267530540),(30 293223780),(31 319929380),(32 346407700),(33 373996060),(34 401317280),(35 428768100),(36 455995650),(37 482261020),(38 507849120),(39 532138000),(40 554749400),(41 575386560),(42 594889700),(43 613426750),(44 630077060),(45 644929540),(46 657745660),(47 668315100),(48 677033400),(49 682318300),(50 684524350),(51 683924800),(52 680103740),(53 674210000),(54 665643600),(55 655453760),(56 642855000),(57 628307500),(58 611316540),(59 592811300),(60 572812860),(61 551788860),(62 529837730),(63 507681500),(64 484354300),(65 461408100),(66 439070720),(67 417365250),(68 396605730),(69 377042780),(70 358933250),(71 341968800),(72 326435300),(73 312099700),(74 299078940),(75 287681760),(76 277581700),(77 269031680),(78 261564110),(79 256171180),
(1 165472.14),(2 634461),(3 1405304.3),(4 2443603.3),(5 3754803.5),(6 5332461.5),(7 7193201),(8 9373449),(9 11941557),(10 14986003),(11 18548540),(12 22682874),(13 27564228),(14 33289718),(15 39975690),(16 47504628),(17 55835640),(18 65194668),(19 75518680),(20 86666300),(21 98724300),(22 111300970),(23 124017650),(24 136964430),(25 150235870),(26 164034610),(27 177709800),(28 191545900),(29 205580320),(30 219724340),(31 234004740),(32 248285650),(33 262698160),(34 276061380),(35 289185630),(36 301769150),(37 313893380),(38 325432060),(39 336209020),(40 345810620),(41 354253760),(42 361488200),(43 367615680),(44 372809820),(45 376995170),(46 380399100),(47 382730560),(48 384542270),(49 385386140),(50 385483000),(51 384439500),(52 382533380),(53 380000060),(54 376848320),(55 373610140),(56 369854530),(57 365715940),(58 361749920),(59 357406000),(60 352995520),(61 349102940),(62 345374660),(63 342204960),(64 339598800),(65 337545150),(66 335905150),(67 334706370),(68 333853900),(69 333732770),(70 333818340),(71 334191360),(72 334888350),(73 335836740),(74 336823500),(75 338061000),(76 339529920),(77 340997570),(78 342495800),(79 343809600),
(1 186881.5),(2 721394.2),(3 1586028.6),(4 2725950.8),(5 4131889.8),(6 5785982.5),(7 7670096.5),(8 9808097),(9 12182896),(10 14852397),(11 17799970),(12 21003584),(13 24358486),(14 28027736),(15 31962074),(16 36044468),(17 40314844),(18 44914316),(19 49698940),(20 54602976),(21 59649140),(22 65022804),(23 70476170),(24 76000580),(25 81735390),(26 87505790),(27 93274104),(28 99023510),(29 104872520),(30 110697920),(31 116646410),(32 122895680),(33 129549850),(34 135948750),(35 142440060),(36 149040320),(37 155708400),(38 162219330),(39 168767230),(40 175387820),(41 181807790),(42 187829570),(43 193463600),(44 198778670),(45 203835310),(46 208835250),(47 213602560),(48 218563630),(49 223523890),(50 228455550),(51 233451280),(52 238515280),(53 243637420),(54 248942510),(55 254438100),(56 260165970),(57 266074930),(58 272427420),(59 278534300),(60 284774370),(61 291255840),(62 297407330),(63 303492600),(64 309546600),(65 315284830),(66 320637020),(67 325584450),(68 329878400),(69 333921060),(70 336787500),(71 338927520),(72 340299230),(73 341423420),(74 341546660),(75 340778100),(76 339353900),(77 336974850),(78 334017660),(79 330064300),
(1 259206.11),(2 1000311.56),(3 2188357.8),(4 3755237),(5 5668259),(6 7860322),(7 10305092),(8 12995938),(9 15941977),(10 19134464),(11 22530272),(12 26132120),(13 29792904),(14 33591572),(15 37473550),(16 41330010),(17 45164348),(18 48941900),(19 52617044),(20 56162836),(21 59534364),(22 62646052),(23 65534372),(24 68252130),(25 70834290),(26 73236510),(27 75547990),(28 77705890),(29 79807224),(30 81745040),(31 83598280),(32 85538940),(33 87706470),(34 90005390),(35 92493040),(36 95125100),(37 98012190),(38 101165600),(39 104492030),(40 108091890),(41 111888670),(42 115750500),(43 119563430),(44 123253790),(45 126691880),(46 129858600),(47 132903840),(48 135635060),(49 138131360),(50 140459090),(51 142686690),(52 144753920),(53 146768060),(54 148823790),(55 150749300),(56 152689920),(57 154680800),(58 156637070),(59 158511970),(60 160343100),(61 162117650),(62 163642300),(63 165101890),(64 166403980),(65 167557810),(66 168470980),(67 169305870),(68 169948300),(69 170435140),(70 170472160),(71 170213550),(72 169695630),(73 168853730),(74 167647790),(75 165898160),(76 163720900),(77 161071620),(78 157971630),(79 154427500),
(1 296145.78),(2 1155591.1),(3 2540845),(4 4408777.5),(5 6701452.5),(6 9333683),(7 12272791),(8 15448967),(9 18810222),(10 22330764),(11 26014382),(12 29803774),(13 33648924),(14 37585524),(15 41534384),(16 45348976),(17 49108910),(18 52747390),(19 56206550),(20 59412880),(21 62331164),(22 64756430),(23 66754110),(24 68345720),(25 69588830),(26 70434660),(27 70995450),(28 71342180),(29 71564776),(30 71674190),(31 71818440),(32 71963000),(33 72328420),(34 72891160),(35 73693224),(36 74735260),(37 76041176),(38 77626650),(39 79435850),(40 81473490),(41 83745920),(42 86221050),(43 88857370),(44 91609720),(45 94568310),(46 97652510),(47 100794520),(48 103799940),(49 106734710),(50 109258030),(51 111341470),(52 112697500),(53 113549410),(54 113813860),(55 113479960),(56 112705330),(57 111572870),(58 110234616),(59 108640210),(60 106804580),(61 104865160),(62 102798050),(63 100636590),(64 98440030),(65 96158600),(66 93745880),(67 91311620),(68 88796120),(69 86258980),(70 83594890),(71 80932250),(72 78262830),(73 75730720),(74 73229900),(75 70769180),(76 68484060),(77 66288372),(78 64167412),(79 62086260),
(1 232091.6),(2 905662.6),(3 1993697),(4 3450571.5),(5 5241741.5),(6 7309502.5),(7 9618470),(8 12120802),(9 14766781),(10 17526982),(11 20386506),(12 23326092),(13 26325088),(14 29448362),(15 32568636),(16 35679010),(17 38772136),(18 41853996),(19 44798630),(20 47639576),(21 50238720),(22 52526240),(23 54523604),(24 56161624),(25 57449464),(26 58381736),(27 59078080),(28 59465090),(29 59730370),(30 59828876),(31 59916812),(32 59985176),(33 60157940),(34 60339496),(35 60625470),(36 61047636),(37 61487284),(38 61973864),(39 62463732),(40 62877800),(41 63245748),(42 63610776),(43 63945290),(44 64220990),(45 64646900),(46 65261160),(47 66109480),(48 67135060),(49 68259300),(50 69433040),(51 70605300),(52 71512300),(53 72131730),(54 72351140),(55 72115070),(56 71509250),(57 70563250),(58 69261944),(59 67769690),(60 66226444),(61 64720916),(62 63293910),(63 61907710),(64 60646536),(65 59548710),(66 58546612),(67 57491532),(68 56373268),(69 55189850),(70 53891750),(71 52491016),(72 50943224),(73 49376836),(74 47858292),(75 46507720),(76 45481250),(77 44765280),(78 44442504),(79 44466464),
(1 202518.14),(2 789357.7),(3 1720852.8),(4 2945676.3),(5 4404518),(6 6033723.5),(7 7801248.5),(8 9653142),(9 11584518),(10 13534439),(11 15527036),(12 17485936),(13 19400556),(14 21294024),(15 23187180),(16 25053074),(17 26902444),(18 28675224),(19 30416810),(20 32095470),(21 33679990),(22 35164156),(23 36607160),(24 37978390),(25 39259876),(26 40490120),(27 41718640),(28 42869844),(29 44068204),(30 45177540),(31 46249344),(32 47271772),(33 48313620),(34 49306364),(35 50258230),(36 51136956),(37 51890148),(38 52524424),(39 53071936),(40 53485450),(41 53659256),(42 53631600),(43 53359810),(44 52836136),(45 52112120),(46 51190876),(47 50179484),(48 49138524),(49 48176570),(50 47268344),(51 46577910),(52 46117852),(53 45835052),(54 45538290),(55 45264680),(56 44961980),(57 44627996),(58 44115236),(59 43570184),(60 43044884),(61 42544680),(62 42048024),(63 41593320),(64 41233390),(65 40952240),(66 40751428),(67 40561932),(68 40389590),(69 40171332),(70 39916524),(71 39556030),(72 39067290),(73 38373750),(74 37547308),(75 36686900),(76 35866332),(77 35131748),(78 34610430),(79 34322370),
(1 211653.78),(2 805799.25),(3 1719059.8),(4 2871956.5),(5 4182395.3),(6 5558643.5),(7 6936916.5),(8 8252404.5),(9 9518737),(10 10724150),(11 11896121),(12 13002951),(13 14017691),(14 14944349),(15 15769502),(16 16494641),(17 17157644),(18 17789462),(19 18436110),(20 19107902),(21 19837346),(22 20650844),(23 21493306),(24 22371866),(25 23257032),(26 24176754),(27 25135284),(28 26155138),(29 27314178),(30 28542094),(31 29838918),(32 31143028),(33 32460824),(34 33776420),(35 35073140),(36 36302310),(37 37438210),(38 38401700),(39 39161564),(40 39588788),(41 39717050),(42 39572772),(43 39049076),(44 38244520),(45 37197956),(46 35974190),(47 34652776),(48 33319878),(49 32100374),(50 31020224),(51 30144330),(52 29482954),(53 29093382),(54 28894980),(55 28810878),(56 28809620),(57 28856196),(58 28878556),(59 28900266),(60 28886332),(61 28890024),(62 28882468),(63 28905952),(64 28915692),(65 28911816),(66 28862328),(67 28762120),(68 28601514),(69 28397030),(70 28234214),(71 28077902),(72 27923020),(73 27770398),(74 27632660),(75 27495900),(76 27361898),(77 27200862),(78 27070900),(79 27007146),
(1 256363.94),(2 984151.3),(3 2116122.3),(4 3561736.3),(5 5235373),(6 7013281),(7 8810202),(8 10526210),(9 12078104),(10 13441219),(11 14621265),(12 15594056),(13 16431951),(14 17178560),(15 17879912),(16 18541068),(17 19180048),(18 19796168),(19 20360832),(20 20912086),(21 21462188),(22 22020272),(23 22533860),(24 23025026),(25 23454354),(26 23896706),(27 24361874),(28 24876906),(29 25536306),(30 26330716),(31 27283400),(32 28374276),(33 29595426),(34 30793774),(35 32013534),(36 33156488),(37 34106600),(38 34849144),(39 35370710),(40 35635516),(41 35648880),(42 35391980),(43 34907364),(44 34245730),(45 33520064),(46 32764728),(47 32066342),(48 31442714),(49 30912648),(50 30476220),(51 30191804),(52 30074312),(53 30116700),(54 30259226),(55 30465476),(56 30664118),(57 30794256),(58 30781686),(59 30636404),(60 30311304),(61 29858092),(62 29258352),(63 28617770),(64 27950652),(65 27283212),(66 26691030),(67 26194696),(68 25774362),(69 25506650),(70 25419008),(71 25447910),(72 25618126),(73 25844798),(74 26097292),(75 26317290),(76 26503858),(77 26603014),(78 26607198),(79 26520496),
(1 271926.88),(2 1045931),(3 2224359),(4 3709626.5),(5 5378548),(6 7105982),(7 8811177),(8 10382871),(9 11745807),(10 12831947),(11 13656929),(12 14163189),(13 14388635),(14 14433269),(15 14411678),(16 14385056),(17 14469791),(18 14728905),(19 15079488),(20 15554955),(21 16101003),(22 16739684),(23 17396258),(24 18055454),(25 18652154),(26 19198970),(27 19691552),(28 20119184),(29 20516920),(30 20903234),(31 21356196),(32 21889136),(33 22567640),(34 23275948),(35 24044856),(36 24761518),(37 25293348),(38 25623320),(39 25710870),(40 25614442),(41 25339204),(42 24960436),(43 24586490),(44 24147864),(45 23729816),(46 23330320),(47 23028608),(48 22845314),(49 22868434),(50 23057200),(51 23474300),(52 24101312),(53 24886922),(54 25720006),(55 26548080),(56 27241940),(57 27726500),(58 27957784),(59 27973434),(60 27766020),(61 27369560),(62 26766110),(63 26062928),(64 25186550),(65 24204602),(66 23179862),(67 22212946),(68 21392248),(69 20766744),(70 20429558),(71 20423264),(72 20781964),(73 21332554),(74 22004762),(75 22692554),(76 23328392),(77 23797212),(78 24096456),(79 24238616),
(1 287947.13),(2 1111239),(3 2382592.8),(4 3980395.3),(5 5768984.5),(6 7619374.5),(7 9389591),(8 10942351),(9 12187720),(10 13071441),(11 13623103),(12 13830425),(13 13754104),(14 13410336),(15 12858300),(16 12212233),(17 11613515),(18 11194593),(19 11038320),(20 11200530),(21 11649484),(22 12321059),(23 13156596),(24 14097873),(25 15121556),(26 16142686),(27 17098988),(28 17965598),(29 18717010),(30 19347116),(31 19881310),(32 20310726),(33 20686582),(34 21021384),(35 21372980),(36 21720320),(37 22097584),(38 22421564),(39 22639874),(40 22651602),(41 22500082),(42 22259914),(43 21982552),(44 21708170),(45 21527340),(46 21431220),(47 21422124),(48 21450266),(49 21602688),(50 21831810),(51 22150676),(52 22513122),(53 22985386),(54 23501438),(55 24010788),(56 24448370),(57 24763670),(58 24932172),(59 24911020),(60 24681166),(61 24289424),(62 23761084),(63 23129302),(64 22394796),(65 21565646),(66 20694026),(67 19843860),(68 19077550),(69 18481808),(70 18101564),(71 18001548),(72 18144976),(73 18516990),(74 19021026),(75 19533870),(76 19968730),(77 20261410),(78 20325084),(79 20135032),
