1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 5808.151),(2 15200.593),(3 23541.533),(4 28933.79),(5 32739.268),(6 35700.395),(7 37600.063),(8 38785.203),(9 39695.28),(10 41107.59),(11 42550.953),(12 43589.453),(13 44621.535),(14 44931.332),(15 44964.09),(16 45207.69),(17 45345.105),(18 45097.785),(19 44677.203),(20 44093.2),(21 43454.652),(22 42913.484),(23 42611.71),(24 42679.094),(25 43167.594),(26 43463.465),(27 43654.22),(28 43449.832),(29 42926.504),(30 42804.09),(31 42698.55),(32 42353.84),(33 42176.21),(34 41912.016),(35 41895.145),(36 41826.336),(37 41775.043),(38 42043.246),(39 42373.05),(40 42347.45),(41 42199.164),(42 42055.27),(43 42332.586),(44 42480.28),(45 43166.035),(46 43818.977),(47 44769.69),(48 46083.78),(49 47069.063),(50 47547.203),(51 47892.594),(52 48006.094),(53 48257.23),(54 47840.977),(55 46826.734),(56 45989.094),(57 45500.086),(58 45251.34),(59 44935.734),(60 44280.81),(61 43738.027),(62 43510.31),(63 43338.94),(64 43026.33),(65 43332.09),(66 44044.816),(67 44617.93),(68 44589.426),(69 44340.715),(70 44228.047),(71 44401.332),(72 44909.234),(73 45458.08),(74 45766.684),(75 45959.46),(76 45886.574),(77 45931.88),(78 45928.145),(79 45788.207),
(1 5601.373),(2 14587.487),(3 22207.352),(4 27698.928),(5 31358.787),(6 34050.62),(7 35635.367),(8 36729.035),(9 37854.543),(10 39081.207),(11 40352.723),(12 41634.953),(13 42298.24),(14 42560.83),(15 42749.32),(16 42624.34),(17 42783.29),(18 42636.703),(19 42242.17),(20 42055.145),(21 42258.777),(22 42554.414),(23 42923.098),(24 43324.168),(25 43926.57),(26 44332.484),(27 44292.29),(28 44298.465),(29 44387.37),(30 44636.652),(31 44748.375),(32 44772.24),(33 44387.805),(34 43505.727),(35 43048.24),(36 42888.18),(37 42842.24),(38 42597.555),(39 42163.434),(40 41742.035),(41 41401.83),(42 40981.918),(43 41111.184),(44 41467.04),(45 42585.984),(46 43747.78),(47 44840.125),(48 46041.855),(49 46959.8),(50 47248.246),(51 47212.945),(52 47099.258),(53 46833.66),(54 46116.152),(55 45945.727),(56 45833.44),(57 45638.57),(58 45093.9),(59 44403.035),(60 44081.703),(61 43927.176),(62 43689.984),(63 43649.652),(64 43709.95),(65 43775.97),(66 43724.64),(67 43633.71),(68 43510.875),(69 43337.742),(70 43097.535),(71 43132.023),(72 43340.887),(73 43432.145),(74 43465.68),(75 43963.3),(76 44449.695),(77 44701.36),(78 44471.785),(79 44176.668),
(1 5418.2314),(2 14199.049),(3 21634.977),(4 26761.777),(5 30150.617),(6 32381.965),(7 33685.31),(8 34839.4),(9 35962.855),(10 37040.227),(11 38319.457),(12 39777.41),(13 41041.727),(14 41998.824),(15 42791.39),(16 42889.117),(17 42665.844),(18 42573.965),(19 42473.207),(20 42492.953),(21 42384.152),(22 42368.465),(23 42976.2),(24 43894.316),(25 44067.375),(26 43926.707),(27 43992.4),(28 43999.95),(29 44008.527),(30 44071.36),(31 43733.684),(32 43068.695),(33 42233.965),(34 41721.777),(35 41547.06),(36 41263.01),(37 41379.633),(38 41556.152),(39 41693.082),(40 41735.484),(41 41381.082),(42 41140.89),(43 41155.24),(44 41001.953),(45 41407.13),(46 41951.453),(47 42196.75),(48 42333.387),(49 42288.535),(50 42678.742),(51 42928.957),(52 42763.57),(53 42236.586),(54 42423.508),(55 42675.703),(56 43059.676),(57 43214.79),(58 42905.535),(59 42733.08),(60 42561.145),(61 42256.207),(62 42192.027),(63 42355.38),(64 42744.027),(65 42911.137),(66 42766.48),(67 42342.94),(68 41884.426),(69 41558.117),(70 41187.67),(71 40859.863),(72 40794.65),(73 41008.844),(74 41296.637),(75 41629.816),(76 42094.305),(77 42507.58),(78 42522.965),(79 42430.906),
(1 5394.176),(2 14098.027),(3 21559.475),(4 26547.27),(5 30051.143),(6 32968.215),(7 34835.613),(8 36429.742),(9 37405.434),(10 37901.145),(11 38368.195),(12 39132.223),(13 39758.094),(14 40429.652),(15 41287.16),(16 41680.977),(17 42152.89),(18 42142.81),(19 42137.72),(20 42019.74),(21 42094.902),(22 42361.258),(23 42707.137),(24 43054.07),(25 43273.973),(26 43529.254),(27 43371.19),(28 43385.586),(29 43501.508),(30 43432.51),(31 43227.56),(32 42598.086),(33 41674.566),(34 40778.324),(35 40412.367),(36 40287.723),(37 40180.82),(38 40344.902),(39 40611.355),(40 41037.234),(41 41235.03),(42 41225.332),(43 41282.93),(44 41483.05),(45 41734.27),(46 41904.082),(47 42064.566),(48 42615.07),(49 42861.1),(50 43272.695),(51 43715.777),(52 43919.234),(53 43668.645),(54 43203.2),(55 43014.8),(56 42905.977),(57 42828.406),(58 42548.58),(59 42180.504),(60 42207.453),(61 42516.03),(62 42861.6),(63 43212.934),(64 42979.535),(65 42391.445),(66 42108.87),(67 41902.434),(68 41555.484),(69 41374.867),(70 41337.71),(71 41478.188),(72 41750.613),(73 42445.74),(74 42888.035),(75 43205.113),(76 43811.49),(77 44096.36),(78 44270.133),(79 44069.395),
(1 5443.2925),(2 14488.76),(3 22141.576),(4 27192.662),(5 30178.771),(6 32049.838),(7 32889.953),(8 33568.92),(9 34513.355),(10 35555.44),(11 36819.49),(12 37812.902),(13 38825.05),(14 39923.727),(15 40888.254),(16 41387.676),(17 41451.49),(18 40995.883),(19 40699.277),(20 40718.06),(21 40453.26),(22 40035.39),(23 40355.395),(24 41132.363),(25 41137.15),(26 41558.58),(27 42083.297),(28 42623.95),(29 43178.605),(30 43416.34),(31 42997.902),(32 41955.223),(33 40735.71),(34 39951.863),(35 39834.33),(36 39547.17),(37 39867.914),(38 40099.184),(39 40151.566),(40 40027.06),(41 40100.69),(42 40235.78),(43 40486.156),(44 40505.234),(45 40340.605),(46 40241),(47 40486.984),(48 41023.727),(49 41287.703),(50 41380.273),(51 41687.484),(52 41643.727),(53 41480.8),(54 41346.645),(55 41381.68),(56 41026.945),(57 40291.4),(58 39683.92),(59 39544.406),(60 39950.53),(61 40562.855),(62 41161.242),(63 41672.664),(64 42356.145),(65 42810.63),(66 42927.41),(67 42707.03),(68 42117.707),(69 41892.08),(70 41746.11),(71 41967.43),(72 42352.348),(73 42343.707),(74 42367.58),(75 42373.766),(76 42210.76),(77 42051.91),(78 42221.99),(79 42411.563),
(1 5445.125),(2 14331.151),(3 21696.46),(4 26575.082),(5 29482.48),(6 31417.459),(7 32423.125),(8 33172.37),(9 34175.676),(10 35526.52),(11 36948.66),(12 38114.13),(13 39159.27),(14 40042.844),(15 40259.156),(16 39953.188),(17 39367.56),(18 38662.566),(19 38181.887),(20 38096.582),(21 38060.582),(22 38187.742),(23 38334.117),(24 38285.355),(25 38049.65),(26 37911.523),(27 37822.598),(28 38284.566),(29 38523.246),(30 38950.797),(31 39294.363),(32 39291.234),(33 39051.19),(34 38837.094),(35 38845.86),(36 38859.92),(37 38991.977),(38 38867.84),(39 38705.508),(40 38535.242),(41 38781.953),(42 39037.52),(43 39142.164),(44 38693.746),(45 38311.477),(46 38206.023),(47 38834.074),(48 39597.69),(49 39997.137),(50 39868.348),(51 39655.742),(52 39432.17),(53 38974.1),(54 38699.96),(55 38417.88),(56 37949.17),(57 37186.14),(58 36334.67),(59 35963.066),(60 35840.6),(61 36001.12),(62 36529.574),(63 36808.688),(64 36987.047),(65 37380.223),(66 37587.887),(67 37699.44),(68 37791.066),(69 37695.063),(70 37587.938),(71 37687.355),(72 37883.918),(73 37846.42),(74 38168.023),(75 37923.34),(76 37929.96),(77 38291.863),(78 38976.207),(79 39510.58),
(1 5249.975),(2 13863.166),(3 21273.021),(4 26389.193),(5 29351.33),(6 31053.066),(7 31525.256),(8 31786.406),(9 32189.89),(10 32935.695),(11 33677.996),(12 34500.887),(13 35558.29),(14 36542.05),(15 37348.617),(16 37923.402),(17 38410.71),(18 38512.637),(19 38441.66),(20 38241.53),(21 38220.156),(22 38313.82),(23 38821.297),(24 39188.484),(25 39506.195),(26 39989.918),(27 40331.723),(28 40760.008),(29 40909.996),(30 41008.082),(31 40837.367),(32 40436.83),(33 40474.145),(34 40911.984),(35 41335.207),(36 41245.234),(37 40807.184),(38 40054.12),(39 39674.066),(40 39096.277),(41 38740.715),(42 38769.785),(43 38883.34),(44 39328.496),(45 39767.566),(46 40253.223),(47 40614.33),(48 40970.06),(49 40809.28),(50 40531.457),(51 40426.46),(52 40786.367),(53 41141.05),(54 41688.9),(55 41953.85),(56 41651.137),(57 41192.004),(58 40672.113),(59 40639.063),(60 40525.29),(61 40525.242),(62 40699.043),(63 40804.105),(64 40905.59),(65 40908.87),(66 40980.23),(67 41213.695),(68 41311.164),(69 41209.113),(70 41035.65),(71 40875.8),(72 40247.996),(73 39654.105),(74 39599.633),(75 39854.336),(76 40752.063),(77 41660.098),(78 42329.965),(79 42589.95),
(1 5308.9634),(2 13823.426),(3 20823.236),(4 25410.303),(5 27953.693),(6 29543.875),(7 30546.938),(8 31638.13),(9 32771.84),(10 33936.34),(11 34750.215),(12 35532.484),(13 36098.676),(14 36580.945),(15 37099.594),(16 37610.27),(17 37615.504),(18 36920.656),(19 36150.793),(20 35939.348),(21 35887.92),(22 35788.86),(23 36257.06),(24 37212.45),(25 38127.973),(26 38865.55),(27 39430.926),(28 39976.918),(29 40011.074),(30 39992.035),(31 39782.754),(32 39297.67),(33 38849.527),(34 38609.12),(35 38622.03),(36 38574.02),(37 38844.996),(38 39025.68),(39 38982.453),(40 39012.3),(41 39207.285),(42 39394.176),(43 39676.77),(44 39808.12),(45 39994.305),(46 40380.125),(47 40695.363),(48 40688.02),(49 40380.043),(50 39943.9),(51 39699.484),(52 39898.9),(53 40216.28),(54 40502.348),(55 40124.582),(56 39495.234),(57 39176.01),(58 38886.535),(59 38707.387),(60 38736.465),(61 39020),(62 39603.832),(63 39974.316),(64 40090.535),(65 40168.9),(66 40421.72),(67 40768.832),(68 40748.77),(69 40567.723),(70 40618.56),(71 40971.355),(72 41053.62),(73 40711.23),(74 40418.707),(75 40409.72),(76 40502.66),(77 40787.145),(78 40987.363),(79 41017.973),
(1 5352.395),(2 13742.743),(3 20690.404),(4 25172.662),(5 27727.963),(6 29266.998),(7 30115.408),(8 30916.03),(9 31857.227),(10 32578.326),(11 33324.145),(12 34350.438),(13 35091.348),(14 35865.26),(15 36776.176),(16 37036.285),(17 36739.227),(18 36213.137),(19 35660.84),(20 35384.63),(21 35300.965),(22 35589.84),(23 35816.65),(24 36277.97),(25 36879.11),(26 37447.88),(27 38037.586),(28 38615.2),(29 38817.195),(30 38651.535),(31 38454.676),(32 38194.02),(33 38007.77),(34 37799.906),(35 37590.613),(36 37376.734),(37 37272.246),(38 37672),(39 38200.473),(40 38208.613),(41 38120.656),(42 38269.984),(43 38420.445),(44 38238.75),(45 38491.34),(46 38594.406),(47 38205.953),(48 38047.527),(49 38109.746),(50 38319.746),(51 38475.945),(52 38507.17),(53 38514.57),(54 38541.715),(55 38268.016),(56 38186.957),(57 37991.313),(58 37710.93),(59 37455.387),(60 37460.242),(61 37454.484),(62 37206.668),(63 36977.047),(64 36851.87),(65 36998.21),(66 37368.707),(67 37994.406),(68 38463.207),(69 38626.348),(70 38642.523),(71 38772.26),(72 38755.625),(73 38680.617),(74 38551),(75 38784.867),(76 39041.266),(77 39317.047),(78 39789.188),(79 40113.527),
(1 5353.272),(2 13743.729),(3 20408.414),(4 24556.313),(5 26892.121),(6 28184.336),(7 28807.51),(8 29528.652),(9 30338.541),(10 31104.48),(11 31805.717),(12 32433.377),(13 32933.633),(14 33385.87),(15 33865.64),(16 34058.62),(17 33855.15),(18 33589.7),(19 33670.96),(20 33903.438),(21 34004.055),(22 34102.89),(23 34509.69),(24 34627.99),(25 35054.004),(26 35445.582),(27 35949.703),(28 36461.47),(29 36514.895),(30 36310.957),(31 35966.27),(32 36009.54),(33 36216.336),(34 36115.54),(35 35813.85),(36 35428.273),(37 35629.12),(38 35934.625),(39 36096.727),(40 36309.71),(41 36188.58),(42 36206.82),(43 36407.88),(44 36674.027),(45 37117.78),(46 37551.664),(47 37656.383),(48 37571.914),(49 37235.027),(50 37089.33),(51 37246.207),(52 37359),(53 37665.418),(54 37556.684),(55 37333.23),(56 37373.49),(57 37357.46),(58 37297.332),(59 37091.97),(60 36820.04),(61 36426.938),(62 36071.777),(63 35459.613),(64 35037.84),(65 34988.836),(66 35531.67),(67 36404.496),(68 37003.215),(69 37130.637),(70 37137.86),(71 37065.47),(72 36794.637),(73 36579.777),(74 36542.367),(75 36553.207),(76 36701.76),(77 36770.816),(78 37347.438),(79 37569.33),
(1 4990.842),(2 12963.734),(3 19174.357),(4 22930.41),(5 24868.658),(6 26081.809),(7 26957.926),(8 27664.752),(9 28505.736),(10 29467.957),(11 30250.184),(12 31063.797),(13 31959.414),(14 32788.188),(15 33593.527),(16 33747.156),(17 33594.887),(18 33188.797),(19 32739.598),(20 32677.152),(21 33061.55),(22 33849.043),(23 33984.65),(24 33979.832),(25 33825.703),(26 33638.996),(27 33755.566),(28 34235.14),(29 34397.99),(30 34220.51),(31 33938.164),(32 33979.934),(33 33887.043),(34 33651.188),(35 33472.46),(36 33270.05),(37 33107.793),(38 33190.004),(39 33361.82),(40 33591.227),(41 34089.977),(42 34403.27),(43 34706.17),(44 35076.68),(45 35306.426),(46 35509.11),(47 35823.957),(48 36060.816),(49 36224.035),(50 36098.74),(51 36222.59),(52 36425.895),(53 36733.523),(54 36987.49),(55 36926.48),(56 36864.418),(57 36705.82),(58 36446.72),(59 36216.98),(60 36356.74),(61 36689.08),(62 36897.758),(63 36426.406),(64 36156.28),(65 36223.85),(66 36371.73),(67 36506.96),(68 36837.945),(69 37136.914),(70 37140.68),(71 36808.523),(72 36791.39),(73 36892.766),(74 36621.05),(75 36241.793),(76 36159.863),(77 36035.145),(78 35968.113),(79 35577.777),
(1 4953.14),(2 12594.366),(3 18506.201),(4 22145.4),(5 24360.58),(6 25808.941),(7 26747.695),(8 27445.201),(9 28353.682),(10 29408.152),(11 30459.867),(12 31339.518),(13 31994.67),(14 32610.29),(15 32894.668),(16 32517.555),(17 31946.795),(18 31692.422),(19 31796.229),(20 32006.043),(21 32186.645),(22 32163.182),(23 32072.645),(24 32072.39),(25 32147.283),(26 32348.111),(27 32739.234),(28 33038.41),(29 33237.816),(30 33104.742),(31 32764.426),(32 32633.71),(33 32842.465),(34 33097.273),(35 32987.27),(36 32704.826),(37 32359.334),(38 32086.398),(39 32118.996),(40 32684.71),(41 33162.535),(42 33451.19),(43 34181.95),(44 34740.79),(45 35037.414),(46 34981.258),(47 35209.12),(48 35472.027),(49 35494.008),(50 35053.234),(51 34745.574),(52 34566.938),(53 34258.348),(54 33870.32),(55 33573.316),(56 33373.105),(57 33597.207),(58 33896.902),(59 34205.023),(60 34093.734),(61 33876.27),(62 33880.22),(63 33925.504),(64 33946.434),(65 34032.457),(66 34195.41),(67 34257.066),(68 34048.65),(69 33666.15),(70 33411.645),(71 32951.73),(72 32555.51),(73 32360.568),(74 32225.137),(75 32815.375),(76 33256.93),(77 33755.3),(78 34207.395),(79 34604.055),
(1 4810.1714),(2 12261.225),(3 18382.322),(4 22483.066),(5 24817.584),(6 26187.36),(7 27027.518),(8 27937.22),(9 29103.11),(10 30097.54),(11 31204.809),(12 31987.162),(13 32479.117),(14 32968.336),(15 33247.574),(16 33174.46),(17 33161.816),(18 33385.348),(19 33323.816),(20 32974.773),(21 32641.082),(22 32486.79),(23 32329.514),(24 32477.195),(25 32697.494),(26 32735.844),(27 32934.125),(28 32907.195),(29 32959.1),(30 32764.87),(31 32505.977),(32 32480.838),(33 32723.082),(34 32939.35),(35 32989.07),(36 32828.133),(37 32600.729),(38 32412.803),(39 32446.604),(40 32273.732),(41 32211.297),(42 32407.623),(43 32976.383),(44 33572.348),(45 33444.184),(46 32694.254),(47 32480.697),(48 32931.086),(49 33257.34),(50 33716.402),(51 34326.207),(52 34794.914),(53 34877.457),(54 34928.063),(55 34958.28),(56 34846.258),(57 35093.727),(58 35092.07),(59 35120.34),(60 34964.598),(61 35360.945),(62 36046.293),(63 36329.324),(64 36461.563),(65 36461.086),(66 36333.938),(67 36039.945),(68 36020.727),(69 36312.258),(70 36626.63),(71 36412.242),(72 35999.86),(73 35763.758),(74 35591.63),(75 35367.652),(76 35142.125),(77 35202.863),(78 35419.39),(79 35574.84),
(1 4941.563),(2 12507.294),(3 18488.291),(4 22124.152),(5 24254.195),(6 25568.32),(7 26376.81),(8 27030.588),(9 27764.21),(10 28249.85),(11 28835.096),(12 29491.512),(13 30207.838),(14 31112.994),(15 31806.191),(16 31852.398),(17 31752.66),(18 31756.615),(19 32245.441),(20 32511.502),(21 32699.168),(22 32900.824),(23 32692.936),(24 32364.955),(25 32257.455),(26 32141.459),(27 32278.865),(28 32212.393),(29 32332.465),(30 32218.258),(31 32313.355),(32 32447.705),(33 32839.023),(34 33214.586),(35 33479.957),(36 33749.11),(37 34144.703),(38 34352.215),(39 34126.76),(40 33660.242),(41 33162.22),(42 33015.246),(43 33024.566),(44 33168.684),(45 33068.125),(46 32640.613),(47 32627.79),(48 33359.723),(49 33766.105),(50 33864.426),(51 33926.223),(52 33975.69),(53 33782.477),(54 34046.03),(55 34543.65),(56 34722.59),(57 34571.656),(58 34405.39),(59 34462.16),(60 34597.285),(61 35077.797),(62 35541.668),(63 35831.402),(64 35834.7),(65 35980.164),(66 36409.875),(67 36626.645),(68 36435.55),(69 36316.47),(70 36138.836),(71 35809.453),(72 35644.17),(73 35347.496),(74 35277.637),(75 35204.945),(76 35111.016),(77 34888.117),(78 34767.625),(79 34639.86),
(1 4863.8574),(2 12155.026),(3 17911.494),(4 21714.771),(5 24082.086),(6 25442.293),(7 26118.334),(8 27087.479),(9 28070.502),(10 28750.941),(11 29570.553),(12 30134.764),(13 30690.516),(14 31220.674),(15 31789.031),(16 31832.484),(17 31881.137),(18 32362.72),(19 33347.3),(20 33880.074),(21 34074.81),(22 33744.332),(23 33570.582),(24 33670.86),(25 33865.14),(26 33917.51),(27 33849.563),(28 33854.766),(29 33939.57),(30 33768.098),(31 34049.563),(32 33797.164),(33 33456.56),(34 33226.17),(35 33044.137),(36 32922.086),(37 32825.637),(38 32191.916),(39 31485.932),(40 30808.63),(41 30356.441),(42 30366.525),(43 30701.582),(44 30929.703),(45 30872.984),(46 30868.543),(47 30963.063),(48 30903.492),(49 31012.713),(50 31313.4),(51 31708.748),(52 32235.975),(53 32892.656),(54 33551.594),(55 34267.348),(56 34944.605),(57 35555.438),(58 35845.86),(59 36052.95),(60 36244.594),(61 36394.715),(62 36567.8),(63 36597.7),(64 36454.133),(65 36556.027),(66 36721.977),(67 36676.383),(68 36349.11),(69 36050.35),(70 35843.62),(71 35882.54),(72 36355.08),(73 36676.71),(74 36558.816),(75 36346.36),(76 36388.31),(77 36353.434),(78 36051.594),(79 35861.395),
(1 4979.64),(2 12483.372),(3 18318.754),(4 22225.273),(5 24663.84),(6 25980.668),(7 26545.695),(8 27140.674),(9 27970.057),(10 28589.174),(11 29509.58),(12 30320.063),(13 30730.2),(14 31229.531),(15 31232.092),(16 30897.145),(17 30695.44),(18 30916.146),(19 31092.473),(20 30831.674),(21 30921.322),(22 31059.957),(23 31297.059),(24 31430.473),(25 31915.648),(26 32475.043),(27 32891.363),(28 33138.28),(29 32995.504),(30 32754.322),(31 32732.217),(32 32193.889),(33 31621.438),(34 31376.447),(35 31375.813),(36 31235.266),(37 30937.59),(38 30605.469),(39 30554.951),(40 30434.277),(41 30433.87),(42 30564.982),(43 30897.547),(44 31132.777),(45 31438.281),(46 31629.322),(47 32022.355),(48 32299.797),(49 32139.316),(50 32171.428),(51 32223.879),(52 32256.8),(53 32530.082),(54 33020.254),(55 33382.223),(56 33825.19),(57 34316.445),(58 34684.992),(59 34759.605),(60 34420.03),(61 34090.484),(62 34079.03),(63 34052.305),(64 34021.56),(65 34548.875),(66 34661.863),(67 34863.71),(68 35018.254),(69 35108.035),(70 35384.977),(71 35478.04),(72 35606.37),(73 35384.8),(74 34849.32),(75 34273.19),(76 33795.78),(77 33147.83),(78 32550.805),(79 32409.273),
(1 4712.8345),(2 11724.01),(3 17195.422),(4 20735.72),(5 22993.432),(6 24515.637),(7 25105.9),(8 25321.004),(9 25639.867),(10 26046.508),(11 26797.992),(12 27541.826),(13 28263.91),(14 28668.135),(15 28636.096),(16 28078.205),(17 27506.068),(18 27620.553),(19 28117.512),(20 28639.734),(21 29204.61),(22 29444.355),(23 29453.053),(24 29397.94),(25 29368.043),(26 29389.172),(27 29490.412),(28 29422.67),(29 29612.367),(30 30065.615),(31 30761.623),(32 31266.154),(33 31490.121),(34 31471.236),(35 31256.193),(36 30799.482),(37 30273.455),(38 29906.738),(39 29827.041),(40 29731.645),(41 29773.105),(42 29944.316),(43 30128.508),(44 30260.518),(45 30523.469),(46 30712.17),(47 30739.266),(48 30872.363),(49 31035.082),(50 31472.895),(51 31833.695),(52 32080.836),(53 32060.457),(54 31879.59),(55 31748.193),(56 31429.57),(57 31205.059),(58 31232.48),(59 30959.793),(60 30815.742),(61 30598.875),(62 30919.297),(63 31083.828),(64 30991.377),(65 31149.305),(66 31386.83),(67 31492.396),(68 31608.676),(69 31642.79),(70 31769.44),(71 32158.213),(72 32434.744),(73 32389.225),(74 32275.252),(75 32007.4),(76 31776.96),(77 31959.055),(78 32208.879),(79 32395.271),
(1 4737.994),(2 11651.243),(3 16966.86),(4 20424.467),(5 22610.242),(6 23980.418),(7 24432.137),(8 24792.383),(9 25288.162),(10 26170.762),(11 27103.393),(12 27748.303),(13 28046.389),(14 28384.11),(15 28576.16),(16 28341.328),(17 28116.559),(18 28179.21),(19 28567.094),(20 28979.678),(21 29362.662),(22 29552.854),(23 29819.352),(24 29902.752),(25 29698.418),(26 29695.438),(27 29645.797),(28 29188.262),(29 28889.393),(30 28953.82),(31 29204.21),(32 29591.496),(33 29711.648),(34 29693.871),(35 29726.299),(36 29682.943),(37 29503.287),(38 29201.863),(39 28914.713),(40 28709.666),(41 28767.373),(42 29048.027),(43 29220.156),(44 29347.06),(45 29697.168),(46 30168.559),(47 30561.22),(48 30883.35),(49 31301.682),(50 31673.51),(51 32171.48),(52 32739.967),(53 33030.84),(54 32919.227),(55 32733.504),(56 32647.852),(57 32666.578),(58 32762.371),(59 32661.094),(60 32448.33),(61 31905.203),(62 31718.137),(63 31414.512),(64 31061.488),(65 30682.992),(66 30674.48),(67 30603.98),(68 30388.121),(69 29899.816),(70 29684.059),(71 29756.701),(72 29833.52),(73 30069.719),(74 30227.78),(75 30056.117),(76 30001.791),(77 30296.092),(78 30817.79),(79 30922.406),
