1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 314743.16),(2 1012916.5),(3 1838707.6),(4 2856616),(5 3984985.3),(6 5079018.5),(7 6170819.5),(8 7368143.5),(9 8479277),(10 9436005),(11 10324851),(12 11248776),(13 11946789),(14 12380257),(15 12745860),(16 13092477),(17 13251424),(18 13156125),(19 13072447),(20 13095275),(21 13004917),(22 12852211),(23 12688960),(24 12564953),(25 12706144),(26 12901524),(27 13238897),(28 13533424),(29 13533315),(30 13094944),(31 12730488),(32 12721796),(33 12865239),(34 12942343),(35 13094453),(36 13181863),(37 13653793),(38 14308075),(39 14720984),(40 15112352),(41 15922801),(42 16662163),(43 17208092),(44 17811774),(45 18364588),(46 18988742),(47 19469240),(48 20151798),(49 20709130),(50 21394444),(51 22143890),(52 22906240),(53 23632614),(54 24623848),(55 25067168),(56 24718896),(57 24225338),(58 23822626),(59 23402902),(60 23100426),(61 22723136),(62 22034446),(63 21300144),(64 20504850),(65 19295090),(66 18201418),(67 17473554),(68 16875766),(69 16257299),(70 15948931),(71 15922549),(72 15916471),(73 16029845),(74 16040380),(75 15758431),(76 15455739),(77 15355181),(78 15203783),(79 14678075),
(1 367762.44),(2 1241711.3),(3 2295201.5),(4 3551477.3),(5 4838428.5),(6 5937197.5),(7 6878206.5),(8 7724446.5),(9 8548707),(10 9327358),(11 9934235),(12 10530158),(13 10881318),(14 10973482),(15 11185968),(16 11594150),(17 11870528),(18 11960448),(19 11966524),(20 12034242),(21 11989258),(22 11703102),(23 11375820),(24 11231261),(25 11324189),(26 11529244),(27 11578759),(28 11532030),(29 11356743),(30 10941362),(31 10584039),(32 10312891),(33 10104863),(34 9878376),(35 9672268),(36 9647158),(37 9743141),(38 10023456),(39 10250874),(40 10411474),(41 10718796),(42 11115976),(43 11657008),(44 12130288),(45 12459174),(46 12920384),(47 13326174),(48 13765709),(49 14290010),(50 14921213),(51 15744896),(52 16576579),(53 17201028),(54 17676118),(55 17826172),(56 17911942),(57 18042882),(58 18019140),(59 17805150),(60 17512880),(61 17110774),(62 16543642),(63 16001064),(64 15483958),(65 14707754),(66 13957453),(67 13310024),(68 12656818),(69 11954318),(70 11270122),(71 10620767),(72 9987034),(73 9537566),(74 9173555),(75 8893029),(76 8743842),(77 8693053),(78 8760138),(79 8880319),
(1 463356.6),(2 1544429.4),(3 2748733.8),(4 3894330),(5 4863310),(6 5441376.5),(7 5648251.5),(8 5730012),(9 5941699.5),(10 6329783.5),(11 6643707.5),(12 6988801.5),(13 7266070),(14 7144024),(15 6803442.5),(16 6499295.5),(17 6329501.5),(18 6238100.5),(19 6247890.5),(20 6424122.5),(21 6721050.5),(22 6968520),(23 7136425.5),(24 7428613.5),(25 7765709.5),(26 7818152),(27 7469162),(28 7156520),(29 6881108),(30 6659268),(31 6562183.5),(32 6468618.5),(33 6547072),(34 6604740.5),(35 6477731.5),(36 6324062.5),(37 6432360),(38 6746473.5),(39 6932488.5),(40 7030540.5),(41 7314189.5),(42 7579998.5),(43 7919007.5),(44 8208701.5),(45 8292596),(46 8415171),(47 8606695),(48 8868905),(49 9188663),(50 9465661),(51 9840053),(52 10172638),(53 10470362),(54 10608633),(55 10496437),(56 10131409),(57 9777532),(58 9586821),(59 9371497),(60 9027085),(61 8678097),(62 8295242.5),(63 8024190.5),(64 7982045.5),(65 7917789.5),(66 7589665.5),(67 7030908.5),(68 6378172),(69 5953314.5),(70 5681498.5),(71 5607084.5),(72 5700096.5),(73 5979330.5),(74 6363675.5),(75 6781192),(76 7171848),(77 7605374.5),(78 8088488.5),(79 8494904),
(1 529673.4),(2 1798014.5),(3 3181070.3),(4 4245323.5),(5 4849856.5),(6 4911347.5),(7 4640832.5),(8 4451056),(9 4441213.5),(10 4605079.5),(11 4862979.5),(12 5261218),(13 5586355.5),(14 5541244.5),(15 5142416),(16 4663246),(17 4401243.5),(18 4267502),(19 4353502),(20 4719534),(21 5219071),(22 5592291),(23 5755298),(24 5732153.5),(25 5633660.5),(26 5420480),(27 5155578.5),(28 5015397),(29 5053179),(30 5308091.5),(31 5682220.5),(32 5891152),(33 6036053.5),(34 6156386.5),(35 6161555.5),(36 6019058),(37 5877030),(38 5891647),(39 6001851.5),(40 6167454),(41 6409725),(42 6595893),(43 6667176),(44 6591023),(45 6460990),(46 6343650),(47 6260819.5),(48 6163386),(49 6148320),(50 6279883.5),(51 6487167),(52 6615479),(53 6809465),(54 6906486),(55 6814800),(56 6640805.5),(57 6629474.5),(58 6664855),(59 6736838),(60 6758123),(61 6720495),(62 6536566),(63 6226856),(64 5987658.5),(65 5718670),(66 5388280.5),(67 5182020.5),(68 5026158.5),(69 4906387.5),(70 4817905.5),(71 4848348.5),(72 4999867.5),(73 5216041.5),(74 5472305),(75 5689618),(76 5804787.5),(77 5928191.5),(78 6094371.5),(79 6266028.5),
(1 570461.94),(2 1829981.5),(3 3101356),(4 3893033.8),(5 4080439),(6 3847452),(7 3563622.5),(8 3547816),(9 3736480),(10 4046591.3),(11 4399111.5),(12 4783448.5),(13 5067438.5),(14 5131141),(15 5005798.5),(16 4822312),(17 4855498),(18 4915547),(19 4994194),(20 5226870.5),(21 5498782.5),(22 5704624),(23 5849184.5),(24 5851830),(25 5685123.5),(26 5306269),(27 4917624.5),(28 4683750.5),(29 4691242),(30 4936496.5),(31 5293251.5),(32 5516705.5),(33 5651631.5),(34 5699198),(35 5609662.5),(36 5407468.5),(37 5198996.5),(38 5197746),(39 5363921.5),(40 5623686),(41 5935923.5),(42 6136742),(43 6237704.5),(44 6262497.5),(45 6222509),(46 6114192),(47 6003015.5),(48 5868924.5),(49 5873968),(50 6023889),(51 6199114),(52 6225648),(53 6210025.5),(54 6031012.5),(55 5783719),(56 5692514.5),(57 5812590),(58 6040822.5),(59 6329294.5),(60 6466795),(61 6484032.5),(62 6278342),(63 5795438.5),(64 5350712.5),(65 5022138),(66 4783562.5),(67 4681592.5),(68 4625283.5),(69 4576314),(70 4604308.5),(71 4746351.5),(72 4975502),(73 5240382),(74 5495035.5),(75 5725855),(76 5816885),(77 5777962),(78 5678774),(79 5565051),
(1 598966.3),(2 1788094),(3 2847582.5),(4 3409917.3),(5 3603487.3),(6 3680254.5),(7 3779541.5),(8 3929352),(9 4054541.5),(10 4175015.5),(11 4300085.5),(12 4399829.5),(13 4476287.5),(14 4438203),(15 4361253.5),(16 4367850.5),(17 4479909.5),(18 4570743.5),(19 4557942),(20 4501757),(21 4590437),(22 4771000),(23 4999124.5),(24 5209208),(25 5215617.5),(26 4991190),(27 4715564.5),(28 4497049),(29 4458509),(30 4604935),(31 4869619),(32 5124107),(33 5321819),(34 5290470.5),(35 5041822),(36 4690527),(37 4320013.5),(38 4228033.5),(39 4420028),(40 4752763),(41 5061637.5),(42 5164724),(43 5196700),(44 5253946),(45 5186852.5),(46 4983694),(47 4747941.5),(48 4562574.5),(49 4539148),(50 4666444),(51 4899873),(52 5089273.5),(53 5295408.5),(54 5296281),(55 5204211),(56 5208874.5),(57 5260985),(58 5387753),(59 5498392),(60 5545935.5),(61 5604059),(62 5525629),(63 5239008),(64 5007639),(65 4929533.5),(66 4871688),(67 4799619),(68 4750681),(69 4842966.5),(70 5057209),(71 5249093),(72 5310043),(73 5295128.5),(74 5274185),(75 5315916),(76 5336594),(77 5295811),(78 5212016.5),(79 5130800),
(1 578084.75),(2 1709713.1),(3 2648717.3),(4 3013550.8),(5 3121046.5),(6 3244001.8),(7 3474269.5),(8 3619497.3),(9 3624629.5),(10 3716333),(11 3887881.3),(12 3965601.3),(13 3877957.8),(14 3717683),(15 3688158.8),(16 3817138.5),(17 4036919.8),(18 4238227.5),(19 4295815),(20 4251622),(21 4331353),(22 4595683),(23 4769939.5),(24 4736298),(25 4715711.5),(26 4720223.5),(27 4854626),(28 5043156.5),(29 5147507.5),(30 5143337),(31 5235377),(32 5452743.5),(33 5703468.5),(34 5708859.5),(35 5439610.5),(36 5099326),(37 4771714),(38 4549409),(39 4465975.5),(40 4506951),(41 4634567),(42 4791154),(43 4943342),(44 5078387),(45 5065671),(46 4892808.5),(47 4750538),(48 4604108),(49 4485527.5),(50 4437538),(51 4433017),(52 4494558),(53 4698536.5),(54 4822137),(55 4731357),(56 4769185.5),(57 4943020.5),(58 5151776.5),(59 5321582),(60 5299598),(61 5225700.5),(62 5190157),(63 5151703),(64 5034827.5),(65 4833330),(66 4559637.5),(67 4330936.5),(68 4213942.5),(69 4296055.5),(70 4384333),(71 4326659.5),(72 4191130.8),(73 4103180.3),(74 4056240),(75 4082669),(76 4166476.3),(77 4254200.5),(78 4407398),(79 4588623.5),
(1 538681.1),(2 1592107.3),(3 2467758.5),(4 2817720.5),(5 2877665),(6 2893048.8),(7 3021733.3),(8 3079231),(9 3100501.8),(10 3151551.8),(11 3222125.5),(12 3145735.5),(13 2944567.8),(14 2793641.8),(15 2846947.5),(16 3055714.8),(17 3288909.3),(18 3473111.5),(19 3494842.3),(20 3459186.3),(21 3594639.8),(22 3858449),(23 4028554.5),(24 3962415.5),(25 3792321),(26 3624087.8),(27 3724884.5),(28 3968850.8),(29 4092267.8),(30 4015709.8),(31 4005619),(32 4080695.8),(33 4248751.5),(34 4338073),(35 4162455),(36 3942736.3),(37 3798531.8),(38 3700013),(39 3641177.8),(40 3601332),(41 3627920),(42 3754733.5),(43 3954073.5),(44 4046004.3),(45 3933912),(46 3809894.8),(47 3884021.8),(48 4030763.8),(49 4103585.5),(50 4092730.8),(51 4070138.8),(52 4092731),(53 4171299.8),(54 4197301.5),(55 4047653),(56 3948531.3),(57 4026644.8),(58 4193554.8),(59 4381355.5),(60 4370034.5),(61 4311294.5),(62 4368433),(63 4574711.5),(64 4698231.5),(65 4479463.5),(66 4168259.8),(67 4029917),(68 4055447),(69 4159220.3),(70 4193237.3),(71 4138970.5),(72 4014776.8),(73 3917706.8),(74 3811380.3),(75 3772233.5),(76 3934583.8),(77 4265823),(78 4532394.5),(79 4738002),
(1 484593.8),(2 1353969.9),(3 1961338.6),(4 2206934),(5 2244849.3),(6 2209398),(7 2255236),(8 2346058.5),(9 2505275),(10 2636984.8),(11 2679075.8),(12 2547478),(13 2406409.3),(14 2374782),(15 2487869.3),(16 2658172),(17 2804415.5),(18 2905447.5),(19 2972904.8),(20 3028858.3),(21 3215719.5),(22 3376409.8),(23 3505637.8),(24 3556215.5),(25 3441603.5),(26 3271796),(27 3245672.3),(28 3356442.5),(29 3474522.5),(30 3443126),(31 3423340.8),(32 3438450.8),(33 3454847.8),(34 3491201.8),(35 3471076.8),(36 3423030.5),(37 3296854),(38 3149085.8),(39 3049600.3),(40 2979473.8),(41 2964903.5),(42 2952224.5),(43 3022918.3),(44 3037628.8),(45 2889132.8),(46 2759480.8),(47 2815478),(48 2942371.3),(49 3049334.5),(50 3076927),(51 3083818),(52 3160981.8),(53 3263280),(54 3275215),(55 3184490.3),(56 3132594),(57 3168229.3),(58 3287264),(59 3447921.3),(60 3488650.8),(61 3424934.5),(62 3421780.5),(63 3500543.8),(64 3486633.5),(65 3326987),(66 3181474),(67 3126977.3),(68 3105385),(69 3085471.5),(70 2994118),(71 2894694.8),(72 2834772.3),(73 2790619.5),(74 2753926.3),(75 2790096),(76 2956274.5),(77 3199559.3),(78 3429227.8),(79 3602213.8),
(1 525505.56),(2 1438585.8),(3 1981386.3),(4 2100192.8),(5 2012600),(6 1878443.1),(7 1851836.4),(8 1915239.5),(9 2074722.9),(10 2190328.8),(11 2277623),(12 2249681.3),(13 2242355.8),(14 2364405.3),(15 2440104.8),(16 2441145.8),(17 2469177.8),(18 2529506.3),(19 2680052.5),(20 2737654.3),(21 2830336),(22 2940955),(23 2944166.8),(24 2872538.5),(25 2760495),(26 2626672.3),(27 2573273),(28 2606609),(29 2736144),(30 2757816.8),(31 2764373),(32 2755678.3),(33 2747799.8),(34 2797649.3),(35 2794211),(36 2776233),(37 2713378.8),(38 2599062.8),(39 2501407),(40 2401541.5),(41 2363087),(42 2338681.3),(43 2393453),(44 2498587),(45 2486976.5),(46 2475618.3),(47 2547611),(48 2537177),(49 2535964.5),(50 2543105.8),(51 2561628.3),(52 2530371.8),(53 2542430.8),(54 2549376.5),(55 2543553.3),(56 2585216.8),(57 2616203.8),(58 2625927),(59 2623217.8),(60 2588628),(61 2553278.3),(62 2563916.3),(63 2655437.8),(64 2610426.8),(65 2489700.8),(66 2457009),(67 2468306.8),(68 2485467),(69 2478563),(70 2380949),(71 2259169.3),(72 2218307.3),(73 2285715),(74 2417245),(75 2598097.3),(76 2749153.8),(77 2809099),(78 2757721.8),(79 2610265.3),
(1 430852.56),(2 1174149.4),(3 1649285.1),(4 1862245.9),(5 1856079.5),(6 1742504.3),(7 1690672.4),(8 1655480.5),(9 1697966.4),(10 1815775.8),(11 1962816),(12 2094106.9),(13 2233186),(14 2347219.3),(15 2358341.8),(16 2274776.5),(17 2265980.5),(18 2325317.3),(19 2342194.8),(20 2281229.3),(21 2263794.3),(22 2264086),(23 2259176),(24 2275383),(25 2259500),(26 2157719.5),(27 2110699.3),(28 2110222.3),(29 2156935.5),(30 2158420.3),(31 2135797.3),(32 2156282.3),(33 2207761),(34 2274327),(35 2319118),(36 2341924.5),(37 2317897.3),(38 2195085.3),(39 2041098.9),(40 1976513.4),(41 1976979.8),(42 1905113.9),(43 1898966.3),(44 1917667.1),(45 1927385.1),(46 1909863),(47 1947230.5),(48 1937348.4),(49 1932123.8),(50 2027317.9),(51 1999621.4),(52 1836302.1),(53 1800322.6),(54 1881326.8),(55 2029618.9),(56 2244558.5),(57 2351071.3),(58 2252238.3),(59 2113629.8),(60 2061235.3),(61 2152543.5),(62 2284501.8),(63 2407288.8),(64 2431936.3),(65 2415819.3),(66 2357781.8),(67 2316452),(68 2360690),(69 2396916.8),(70 2343675.3),(71 2198936.5),(72 2102583.8),(73 2059563.3),(74 2040643),(75 2075300.5),(76 2151019.8),(77 2216327.8),(78 2202974.5),(79 2152467.5),
