1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 64619.03),(2 233003.38),(3 513076.66),(4 853014.7),(5 1281927.8),(6 1774162.4),(7 2314274.5),(8 2895868.3),(9 3529353.8),(10 4191825),(11 4897408),(12 5628410),(13 6349399.5),(14 7077659.5),(15 7741486),(16 8410007),(17 9026871),(18 9608504),(19 10188523),(20 10771915),(21 11425648),(22 12111899),(23 12849555),(24 13577711),(25 14352589),(26 15179576),(27 16060507),(28 16880182),(29 17706550),(30 18518500),(31 19258980),(32 20038014),(33 20739398),(34 21488596),(35 22240594),(36 23047118),(37 23791696),(38 24504730),(39 25137570),(40 25718786),(41 26174470),(42 26502976),(43 26706154),(44 26872990),(45 27026614),(46 27159754),(47 27256294),(48 27234784),(49 27124434),(50 26852518),(51 26506282),(52 26155950),(53 25926790),(54 25643074),(55 25328706),(56 25017200),(57 24665938),(58 24283974),(59 23824938),(60 23389670),(61 22910974),(62 22486794),(63 22067690),(64 21680096),(65 21306468),(66 20906160),(67 20435370),(68 19932760),(69 19338900),(70 18810584),(71 18374630),(72 18119712),(73 17985578),(74 17829750),(75 17718626),(76 17617540),(77 17447842),(78 17274294),(79 17003506),
(1 85713.266),(2 325489.6),(3 708750),(4 1181228),(5 1754421.6),(6 2399208),(7 3091463.3),(8 3808522),(9 4556869),(10 5331060),(11 6141717.5),(12 6965093),(13 7787467),(14 8598442),(15 9329416),(16 10004067),(17 10586952),(18 11069478),(19 11500827),(20 11877572),(21 12260513),(22 12631175),(23 13035309),(24 13461296),(25 13925640),(26 14438141),(27 14986597),(28 15522771),(29 16089053),(30 16650984),(31 17176482),(32 17725530),(33 18209484),(34 18729694),(35 19243950),(36 19785558),(37 20272716),(38 20747314),(39 21172748),(40 21552128),(41 21865772),(42 22098776),(43 22262646),(44 22389452),(45 22472676),(46 22523944),(47 22536946),(48 22459598),(49 22313280),(50 22067620),(51 21791828),(52 21526908),(53 21341938),(54 21142736),(55 20953490),(56 20748512),(57 20519686),(58 20275012),(59 19969620),(60 19671212),(61 19343892),(62 18998556),(63 18646784),(64 18302962),(65 17950564),(66 17585068),(67 17203200),(68 16773712),(69 16296474),(70 15847530),(71 15442771),(72 15145203),(73 14934821),(74 14668432),(75 14409720),(76 14133592),(77 13824019),(78 13546690),(79 13185635),
(1 116504.375),(2 439639.16),(3 951129.3),(4 1589544.6),(5 2359368.8),(6 3229984.8),(7 4168978),(8 5148623),(9 6157594.5),(10 7208156.5),(11 8313750.5),(12 9456764),(13 10602600),(14 11754931),(15 12846019),(16 13886523),(17 14824359),(18 15659171),(19 16402145),(20 17059082),(21 17696366),(22 18314238),(23 18924034),(24 19572190),(25 20274014),(26 21058624),(27 21921622),(28 22783530),(29 23601586),(30 24487056),(31 25376390),(32 26220282),(33 27030304),(34 27853114),(35 28672810),(36 29497130),(37 30274000),(38 31035370),(39 31800230),(40 32526890),(41 33189734),(42 33763850),(43 34267852),(44 34744364),(45 35166160),(46 35568130),(47 35908064),(48 36126580),(49 36263420),(50 36246172),(51 36164430),(52 36008852),(53 35944644),(54 35824380),(55 35698684),(56 35601420),(57 35487804),(58 35403772),(59 35256452),(60 35117596),(61 34942660),(62 34699456),(63 34413100),(64 34109700),(65 33762930),(66 33414096),(67 33020230),(68 32567944),(69 32039542),(70 31543986),(71 31025822),(72 30559978),(73 30089834),(74 29542338),(75 28929242),(76 28226106),(77 27480038),(78 26777870),(79 25921050),
(1 96550.05),(2 361670.84),(3 772446),(4 1271741.1),(5 1879157.4),(6 2564168),(7 3301074.8),(8 4075949.3),(9 4866459.5),(10 5694992.5),(11 6570239),(12 7479573.5),(13 8389973),(14 9321035),(15 10213632),(16 11109092),(17 11950042),(18 12742924),(19 13484351),(20 14172052),(21 14845759),(22 15518096),(23 16202779),(24 16960342),(25 17768232),(26 18624656),(27 19510714),(28 20377852),(29 21167328),(30 22036000),(31 22882216),(32 23666868),(33 24417624),(34 25165216),(35 25884174),(36 26595702),(37 27248232),(38 27900234),(39 28512338),(40 29082936),(41 29598094),(42 30075384),(43 30590440),(44 31099192),(45 31588928),(46 32058290),(47 32490468),(48 32838926),(49 33134378),(50 33388360),(51 33638370),(52 33854080),(53 34092096),(54 34385320),(55 34665744),(56 34978516),(57 35335744),(58 35744948),(59 36130016),(60 36542892),(61 36933230),(62 37251564),(63 37587484),(64 37868564),(65 38089416),(66 38273610),(67 38316880),(68 38260084),(69 38091450),(70 37885364),(71 37616860),(72 37293410),(73 36919470),(74 36458030),(75 35918030),(76 35288588),(77 34615024),(78 33960468),(79 33107378),
(1 90151.98),(2 339744.88),(3 726820.75),(4 1184432.5),(5 1741429.5),(6 2352481),(7 3005278),(8 3689826.3),(9 4392294),(10 5117588.5),(11 5865791),(12 6602118.5),(13 7331699),(14 8055370),(15 8756124),(16 9474310),(17 10163153),(18 10819856),(19 11450366),(20 12042183),(21 12623555),(22 13188125),(23 13767162),(24 14375503),(25 15009770),(26 15653615),(27 16299389),(28 16927262),(29 17494984),(30 18077502),(31 18602118),(32 19067134),(33 19470438),(34 19837714),(35 20144892),(36 20397864),(37 20553702),(38 20672568),(39 20706804),(40 20688478),(41 20632418),(42 20575654),(43 20579188),(44 20603150),(45 20643244),(46 20697184),(47 20767202),(48 20826338),(49 20911412),(50 21057928),(51 21291044),(52 21556718),(53 21826438),(54 22224616),(55 22667514),(56 23167178),(57 23752792),(58 24413726),(59 25098664),(60 25819858),(61 26520972),(62 27190370),(63 27852850),(64 28462682),(65 29022120),(66 29509786),(67 29904512),(68 30245406),(69 30500922),(70 30646546),(71 30691104),(72 30583412),(73 30381088),(74 30103930),(75 29751896),(76 29389858),(77 28990030),(78 28563016),(79 28050540),
(1 110650.85),(2 418896.88),(3 895888.2),(4 1465762.9),(5 2138311.5),(6 2849309.5),(7 3585770.5),(8 4331616),(9 5076800),(10 5815871),(11 6529034.5),(12 7188901.5),(13 7774304),(14 8281590.5),(15 8702533),(16 9075350),(17 9391070),(18 9669102),(19 9926659),(20 10186053),(21 10428472),(22 10642486),(23 10841251),(24 11020872),(25 11161958),(26 11248051),(27 11301998),(28 11329370),(29 11312096),(30 11279385),(31 11232534),(32 11150133),(33 11038801),(34 10899166),(35 10735430),(36 10525747),(37 10273233),(38 9989590),(39 9681845),(40 9359853),(41 9063502),(42 8812528),(43 8634518),(44 8530571),(45 8498370),(46 8539837),(47 8666302),(48 8883554),(49 9181523),(50 9580003),(51 10079064),(52 10651465),(53 11259902),(54 11987190),(55 12784885),(56 13633610),(57 14524022),(58 15439250),(59 16365838),(60 17263900),(61 18096476),(62 18886308),(63 19615604),(64 20317396),(65 20966486),(66 21526884),(67 22060716),(68 22544618),(69 22979860),(70 23339860),(71 23621546),(72 23796624),(73 23888542),(74 23929560),(75 23913526),(76 23879982),(77 23818004),(78 23661956),(79 23531236),
(1 116017.68),(2 440540.53),(3 939800.56),(4 1536684.9),(5 2243812),(6 3000781.3),(7 3789511.5),(8 4587799.5),(9 5395900.5),(10 6193583),(11 6979534),(12 7731699),(13 8413151),(14 9000120),(15 9489043),(16 9894439),(17 10238891),(18 10542386),(19 10828740),(20 11133369),(21 11419263),(22 11690054),(23 11961316),(24 12208986),(25 12397745),(26 12533258),(27 12646806),(28 12716396),(29 12751081),(30 12772823),(31 12790956),(32 12797934),(33 12761522),(34 12694399),(35 12600373),(36 12464716),(37 12303839),(38 12123217),(39 11920279),(40 11697620),(41 11470619),(42 11232852),(43 10978082),(44 10728148),(45 10482549),(46 10234737),(47 9980752),(48 9746139),(49 9509108),(50 9271634),(51 9052807),(52 8890933),(53 8889131),(54 8888471),(55 8940684),(56 9049028),(57 9206774),(58 9418391),(59 9690004),(60 9975031),(61 10273396),(62 10568783),(63 10866489),(64 11204889),(65 11587974),(66 12004885),(67 12475897),(68 12986886),(69 13560868),(70 14169188),(71 14803382),(72 15436879),(73 16060154),(74 16715339),(75 17341726),(76 17957822),(77 18532232),(78 18949154),(79 19412258),
(1 120878.086),(2 454833.47),(3 965937.2),(4 1576254.8),(5 2291520.8),(6 3058419.5),(7 3848622.8),(8 4634651.5),(9 5406830.5),(10 6156559),(11 6896662),(12 7604371),(13 8255566),(14 8836270),(15 9355103),(16 9809735),(17 10210258),(18 10574402),(19 10914839),(20 11257023),(21 11595970),(22 11922955),(23 12218196),(24 12490663),(25 12712384),(26 12911815),(27 13103831),(28 13291291),(29 13442722),(30 13643508),(31 13855399),(32 14062313),(33 14252949),(34 14419553),(35 14544810),(36 14640154),(37 14696619),(38 14717956),(39 14700028),(40 14624922),(41 14524334),(42 14353382),(43 14164720),(44 13919296),(45 13618810),(46 13239825),(47 12791251),(48 12292481),(49 11739627),(50 11139760),(51 10514604),(52 9917936),(53 9457266),(54 8951389),(55 8480491),(56 8044056),(57 7660957),(58 7340718),(59 7098493),(60 6916856.5),(61 6791580.5),(62 6709466),(63 6676517.5),(64 6719113.5),(65 6854505.5),(66 7078467),(67 7411552),(68 7844697),(69 8378317),(70 8977994),(71 9625771),(72 10294463),(73 10956883),(74 11642455),(75 12309964),(76 12949291),(77 13547088),(78 14012691),(79 14478773),
(1 110910.03),(2 418504.25),(3 874727.56),(4 1399887.9),(5 1979994.9),(6 2562921.8),(7 3125727.3),(8 3646897),(9 4120871.5),(10 4567257.5),(11 5000586),(12 5408462.5),(13 5778891),(14 6119175.5),(15 6436074.5),(16 6712529),(17 6970057),(18 7212226),(19 7449375),(20 7700596),(21 7982105.5),(22 8291579.5),(23 8587716),(24 8894664),(25 9180430),(26 9465222),(27 9744945),(28 10037352),(29 10303647),(30 10600599),(31 10883832),(32 11153973),(33 11403861),(34 11618155),(35 11792036),(36 11949741),(37 12099115),(38 12249559),(39 12395919),(40 12532494),(41 12675468),(42 12790475),(43 12882961),(44 12914433),(45 12887308),(46 12782756),(47 12622337),(48 12395187),(49 12078735),(50 11686735),(51 11241272),(52 10772258),(53 10372693),(54 9907987),(55 9452722),(56 8999341),(57 8587853),(58 8210628),(59 7871522),(60 7568443.5),(61 7300887.5),(62 7066636),(63 6860015),(64 6705302.5),(65 6604120),(66 6563472.5),(67 6612842.5),(68 6738805),(69 6936385.5),(70 7199007),(71 7506756),(72 7851137),(73 8215089),(74 8631112),(75 9077912),(76 9552971),(77 10017638),(78 10385259),(79 10810124),
(1 90576.664),(2 342476.5),(3 715384.6),(4 1130652.9),(5 1599227.6),(6 2070974.3),(7 2534678.5),(8 2975857.5),(9 3388859),(10 3780069.8),(11 4145699.5),(12 4482094),(13 4788347.5),(14 5067894),(15 5321837.5),(16 5542592.5),(17 5730877),(18 5879681),(19 6002655),(20 6114230),(21 6201275),(22 6268355),(23 6320792),(24 6357085),(25 6368276.5),(26 6374906),(27 6371474),(28 6408141),(29 6446269.5),(30 6509543),(31 6582289),(32 6674055.5),(33 6767494),(34 6874410.5),(35 7012116.5),(36 7190028.5),(37 7397841),(38 7661465),(39 7960277.5),(40 8274524.5),(41 8598595),(42 8924487),(43 9236326),(44 9512284),(45 9740741),(46 9919220),(47 10039767),(48 10104141),(49 10093586),(50 10031807),(51 9916429),(52 9757922),(53 9594484),(54 9399504),(55 9190716),(56 8968532),(57 8747540),(58 8529156),(59 8327115.5),(60 8152032),(61 8020092.5),(62 7937800),(63 7885567),(64 7874786),(65 7878629.5),(66 7891244.5),(67 7897848),(68 7896858.5),(69 7895057),(70 7905250),(71 7920531.5),(72 7958227.5),(73 8011794.5),(74 8092438),(75 8203340.5),(76 8325711),(77 8462196),(78 8565142),(79 8727131),
(1 87514.56),(2 333108.72),(3 705162.44),(4 1115335.8),(5 1604455.9),(6 2121861.5),(7 2642360.5),(8 3152259.8),(9 3639376.5),(10 4106317.8),(11 4537321.5),(12 4936671),(13 5300876),(14 5628779),(15 5934596),(16 6226456.5),(17 6487936.5),(18 6722252),(19 6937475.5),(20 7134948),(21 7279381),(22 7406036.5),(23 7505272),(24 7570037),(25 7604734),(26 7618171.5),(27 7627884.5),(28 7645673),(29 7626094.5),(30 7612191),(31 7590261),(32 7544212),(33 7468692),(34 7399580.5),(35 7343140),(36 7310441.5),(37 7304120),(38 7327724),(39 7374312.5),(40 7429675),(41 7488308),(42 7566320.5),(43 7667552),(44 7788658),(45 7902009.5),(46 7993599),(47 8037865.5),(48 8036185.5),(49 7994667.5),(50 7906395.5),(51 7773422),(52 7626973.5),(53 7489655),(54 7358169.5),(55 7245567),(56 7156022.5),(57 7085636.5),(58 7029979.5),(59 6998799),(60 6997169.5),(61 7020149.5),(62 7076135.5),(63 7147393),(64 7238821),(65 7315638),(66 7373327),(67 7421709),(68 7468000),(69 7529144.5),(70 7602226),(71 7681150.5),(72 7771572.5),(73 7839144),(74 7899121),(75 7941243.5),(76 7953662),(77 7978102.5),(78 7988724),(79 8030052),
