1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,
(1 1.3184034),(2 2.7943776),(3 2.8192656),(4 4.412211),(5 8.22454),(6 9.242119),(7 9.24974),(8 10.591933),(9 12.759401),(10 13.327619),(11 13.334782),(12 14.138587),(13 15.5733385),(14 16.135227),(15 16.135307),(16 16.975523),(17 18.42096),(18 19.048632),(19 19.055532),(20 19.365017),(21 19.521059),(22 20.54195),(23 20.542982),(24 20.637077),(25 21.129887),(26 21.75969),(27 21.783943),(28 22.389242),(29 24.323324),(30 25.201532),(31 25.201235),(32 25.57255),(33 26.343267),(34 26.593657),(35 26.596376),(36 26.803755),(37 27.691647),(38 28.442015),(39 28.423508),(40 28.505337),(41 29.96617),(42 30.030338),(43 30.048773),(44 30.266298),(45 30.20426),(46 30.016903),
(1 1.2265419),(2 2.42679),(3 2.4471743),(4 3.8718016),(5 6.92255),(6 7.7178144),(7 7.7119403),(8 8.908915),(9 11.011616),(10 11.613631),(11 11.6260805),(12 12.401758),(13 14.463663),(14 15.187765),(15 15.191715),(16 15.73072),(17 16.502537),(18 16.99063),(19 16.993515),(20 17.350582),(21 17.643248),(22 18.914124),(23 18.914097),(24 19.56812),(25 20.532743),(26 21.381918),(27 21.438484),(28 22.050924),(29 23.30429),(30 23.632565),(31 23.633438),(32 23.750725),(33 24.185411),(34 24.535776),(35 24.525309),(36 24.746372),(37 24.963348),(38 25.675001),(39 25.713142),(40 25.970987),(41 26.583569),(42 26.628105),(43 26.644972),(44 26.660122),(45 26.633444),(46 26.514374),
(1 1.3064351),(2 2.3898356),(3 2.404335),(4 3.5119648),(5 6.4372888),(6 7.379215),(7 7.3817654),(8 8.563984),(9 10.668164),(10 11.344694),(11 11.350746),(12 12.402552),(13 14.384358),(14 14.927089),(15 14.92585),(16 15.248628),(17 15.849953),(18 16.13924),(19 16.154772),(20 16.224016),(21 16.46436),(22 17.606564),(23 17.605577),(24 18.106382),(25 19.284983),(26 20.042608),(27 20.070738),(28 20.61868),(29 21.572384),(30 21.877745),(31 21.8786),(32 22.216124),(33 22.807241),(34 23.287174),(35 23.296595),(36 23.644945),(37 23.963358),(38 24.26826),(39 24.277447),(40 24.104912),(41 24.153427),(42 24.496607),(43 24.521158),(44 24.631191),(45 25.135696),(46 25.314947),
(1 1.4011943),(2 2.5584788),(3 2.5824308),(4 3.609215),(5 5.9477935),(6 6.7369547),(7 6.741842),(8 7.567786),(9 9.26155),(10 10.155275),(11 10.154131),(12 11.00582),(13 12.567331),(14 13.1130295),(15 13.113831),(16 13.742005),(17 14.411249),(18 14.58929),(19 14.578639),(20 14.655902),(21 15.151992),(22 16.024395),(23 16.02403),(24 16.1431),(25 16.352314),(26 16.699322),(27 16.695654),(28 16.978807),(29 18.089384),(30 18.702765),(31 18.702833),(32 19.152746),(33 19.474613),(34 19.793453),(35 19.786507),(36 20.235477),(37 21.210428),(38 21.473953),(39 21.481783),(40 21.540257),(41 21.783215),(42 21.602217),(43 21.630907),(44 21.623072),(45 21.940174),(46 22.094973),
(1 1.3611134),(2 2.4975142),(3 2.5154095),(4 3.4553397),(5 5.6526914),(6 6.3468986),(7 6.350171),(8 7.0910554),(9 9.021129),(10 9.725929),(11 9.748146),(12 10.645781),(13 11.540279),(14 12.049056),(15 12.047201),(16 12.424862),(17 13.085977),(18 13.479153),(19 13.475205),(20 13.842002),(21 14.078756),(22 15.046305),(23 15.048369),(24 15.409831),(25 15.847577),(26 16.155825),(27 16.21554),(28 16.34323),(29 16.488407),(30 16.872213),(31 16.875145),(32 17.245577),(33 18.0431),(34 18.451399),(35 18.468145),(36 18.861143),(37 19.65141),(38 19.875738),(39 19.903728),(40 19.812857),(41 19.812723),(42 20.055567),(43 20.087719),(44 20.26867),(45 20.807991),(46 20.793602),
(1 1.3353354),(2 2.37829),(3 2.3931403),(4 3.336877),(5 5.3189373),(6 5.858128),(7 5.8725395),(8 6.547812),(9 8.367045),(10 9.052055),(11 9.069742),(12 9.668265),(13 10.732294),(14 11.104696),(15 11.106673),(16 11.358917),(17 12.089139),(18 12.6491),(19 12.660623),(20 13.142322),(21 13.879855),(22 15.286093),(23 15.287157),(24 15.486105),(25 16.102741),(26 16.37958),(27 16.4121),(28 16.615065),(29 16.666206),(30 16.587437),(31 16.589186),(32 16.679646),(33 17.643925),(34 18.04362),(35 18.055948),(36 18.343927),(37 18.021313),(38 18.157907),(39 18.178122),(40 18.43773),(41 19.036777),(42 19.10871),(43 19.137663),(44 19.41595),(45 19.5478),(46 19.499853),
(1 1.2170193),(2 2.206213),(3 2.2380226),(4 3.1904244),(5 5.364964),(6 6.034283),(7 6.0364585),(8 6.82694),(9 8.417038),(10 8.903411),(11 8.918693),(12 9.564202),(13 10.361155),(14 10.822941),(15 10.821683),(16 11.184974),(17 12.087755),(18 12.497941),(19 12.519879),(20 12.669577),(21 13.076619),(22 13.781284),(23 13.781654),(24 14.099087),(25 14.825914),(26 15.175682),(27 15.18984),(28 15.311394),(29 15.4551935),(30 15.7967415),(31 15.802303),(32 15.978341),(33 16.61527),(34 16.814157),(35 16.816618),(36 16.832682),(37 17.004877),(38 17.241121),(39 17.254015),(40 17.562284),(41 17.791555),(42 17.925655),(43 17.918503),(44 18.113375),(45 17.983973),(46 18.119984),
(1 1.247022),(2 2.1583815),(3 2.166845),(4 2.9819498),(5 4.8600483),(6 5.489857),(7 5.491648),(8 6.309734),(9 7.626119),(10 8.028216),(11 8.050814),(12 8.582986),(13 9.628023),(14 10.292343),(15 10.293411),(16 10.613206),(17 11.165359),(18 11.468296),(19 11.479293),(20 11.732945),(21 11.883398),(22 12.999032),(23 12.998609),(24 13.260068),(25 13.316868),(26 13.366075),(27 13.394812),(28 13.491966),(29 13.997632),(30 14.129025),(31 14.1322),(32 14.144565),(33 14.643356),(34 14.856947),(35 14.898657),(36 15.278527),(37 15.782054),(38 16.14213),(39 16.14124),(40 16.397158),(41 16.571527),(42 16.749905),(43 16.747553),(44 17.104313),(45 17.272106),(46 17.25369),
(1 1.0965762),(2 2.0770407),(3 2.0873337),(4 2.905136),(5 4.5441656),(6 5.1545806),(7 5.1620784),(8 5.749468),(9 7.258837),(10 7.94456),(11 7.959336),(12 8.2723675),(13 8.79653),(14 9.3557415),(15 9.354491),(16 9.6734915),(17 10.478652),(18 10.922705),(19 10.913321),(20 11.582999),(21 12.116606),(22 13.025242),(23 13.025335),(24 13.075096),(25 13.337657),(26 13.694053),(27 13.718227),(28 14.0212345),(29 14.245744),(30 14.143313),(31 14.144089),(32 13.993131),(33 13.923388),(34 13.942728),(35 13.955258),(36 14.035932),(37 14.800291),(38 15.183338),(39 15.204323),(40 15.216734),(41 15.567349),(42 15.568135),(43 15.567572),(44 15.752779),(45 15.566752),(46 15.418812),
(1 1.2664865),(2 2.1882818),(3 2.200964),(4 2.9752703),(5 4.871112),(6 5.3156524),(7 5.316862),(8 6.037079),(9 7.6499567),(10 8.172764),(11 8.192823),(12 8.629032),(13 8.942316),(14 9.357695),(15 9.356386),(16 9.751362),(17 10.401781),(18 10.660885),(19 10.669407),(20 11.018402),(21 11.405808),(22 12.345432),(23 12.345599),(24 12.419596),(25 12.787257),(26 12.995582),(27 13.041686),(28 13.395943),(29 14.05106),(30 14.356205),(31 14.357337),(32 14.326641),(33 14.301176),(34 14.230213),(35 14.25068),(36 14.155571),(37 14.425187),(38 14.695196),(39 14.685682),(40 14.805128),(41 15.025137),(42 15.042907),(43 15.037571),(44 15.128686),(45 14.939969),(46 14.827916),
