(1 2.0356796),(2 4.3859715),(3 4.434773),(4 6.9295),(5 13.657408),(6 16.094084),(7 16.089018),(8 20.599995),(9 30.4515),(10 34.37193),(11 34.349247),(12 38.85265),(13 45.580997),(14 50.689377),(15 50.69363),(16 55.499954),(17 65.42807),(18 70.43601),(19 70.4519),(20 74.60762),(21 82.55635),(22 88.78911),(23 88.78937),(24 92.771126),(25 101.56942),(26 103.25793),(27 103.182495),(28 104.730934),(29 107.84676),(30 109.02757),(31 109.00762),(32 109.86425),(33 115.60333),(34 116.86775),(35 116.885826),(36 118.94924),(37 123.724),(38 125.46845),(39 125.617004),(40 127.07561),(41 131.83148),(42 135.00868),(43 134.79211),(44 135.27516),(45 138.67262),(46 138.29555),
(1 2.0494475),(2 4.3975697),(3 4.475519),(4 6.9509172),(5 14.496794),(6 18.09881),(7 18.06925),(8 23.625298),(9 34.61723),(10 37.910053),(11 37.961536),(12 41.330677),(13 47.581215),(14 51.05563),(15 51.05629),(16 54.344776),(17 62.91278),(18 66.81566),(19 66.78706),(20 70.71377),(21 76.43393),(22 81.41863),(23 81.39932),(24 83.78343),(25 90.90846),(26 93.42928),(27 93.46521),(28 94.77259),(29 97.57966),(30 98.51506),(31 98.50872),(32 99.14347),(33 101.68092),(34 103.94731),(35 104.09254),(36 105.95022),(37 111.58029),(38 115.65702),(39 115.73771),(40 120.25145),(41 131.94673),(42 136.78473),(43 136.6936),(44 140.28673),(45 145.54913),(46 148.31592),
(1 2.1934962),(2 4.838186),(3 4.8841634),(4 7.7925043),(5 15.609294),(6 18.729027),(7 18.697824),(8 23.705585),(9 33.608913),(10 37.585682),(11 37.575066),(12 42.98599),(13 53.13666),(14 57.831455),(15 57.85023),(16 61.73958),(17 69.997734),(18 73.70933),(19 73.813576),(20 76.67787),(21 80.89032),(22 85.62371),(23 85.62112),(24 87.27359),(25 92.23647),(26 92.87831),(27 92.96639),(28 94.01651),(29 97.738556),(30 99.39473),(31 99.399254),(32 99.95486),(33 104.58536),(34 108.579605),(35 108.58755),(36 112.1262),(37 116.86172),(38 119.01302),(39 118.87392),(40 122.28007),(41 127.181946),(42 128.19528),(43 128.02861),(44 129.4331),(45 130.17505),(46 130.984),
(1 2.074346),(2 4.625031),(3 4.6851535),(4 7.5638833),(5 16.103176),(6 19.33433),(7 19.318087),(8 23.338871),(9 30.801844),(10 34.104618),(11 34.183907),(12 38.287975),(13 44.741806),(14 48.540997),(15 48.547287),(16 52.04003),(17 58.27648),(18 61.3739),(19 61.492138),(20 64.072365),(21 67.266716),(22 72.061676),(23 72.06062),(24 73.15955),(25 77.15625),(26 79.68183),(27 79.65628),(28 82.37678),(29 88.44765),(30 91.06134),(31 91.04288),(32 91.97),(33 94.81866),(34 96.06833),(35 96.0917),(36 96.574165),(37 97.90372),(38 99.72026),(39 99.81348),(40 103.065506),(41 109.924904),(42 113.287254),(43 113.28592),(44 114.730606),(45 117.152275),(46 118.4497),
(1 2.6752172),(2 5.3148623),(3 5.3529696),(4 8.204107),(5 15.837881),(6 18.850748),(7 18.888832),(8 22.961958),(9 31.125885),(10 33.294113),(11 33.339066),(12 36.90942),(13 45.176964),(14 50.0338),(15 50.019962),(16 53.78217),(17 60.20152),(18 62.401367),(19 62.456135),(20 64.89473),(21 70.212425),(22 75.08072),(23 75.08603),(24 76.640884),(25 82.84816),(26 86.43676),(27 86.20102),(28 87.03121),(29 93.827805),(30 96.207306),(31 96.20771),(32 96.42485),(33 97.63278),(34 99.432106),(35 99.544685),(36 101.852646),(37 102.96542),(38 103.16113),(39 103.15841),(40 104.0529),(41 108.21209),(42 109.99899),(43 109.97591),(44 110.81106),(45 114.354355),(46 117.38787),
(1 2.6483817),(2 5.1925516),(3 5.2652655),(4 8.019981),(5 17.259022),(6 21.207914),(7 21.199764),(8 25.806234),(9 34.03975),(10 36.34022),(11 36.38587),(12 39.748417),(13 46.09658),(14 49.0514),(15 49.035885),(16 51.951378),(17 54.861294),(18 56.519398),(19 56.482967),(20 58.49761),(21 62.775986),(22 67.345795),(23 67.344826),(24 70.085236),(25 73.71776),(26 76.750656),(27 76.66151),(28 80.121),(29 87.609116),(30 90.16864),(31 90.16061),(32 91.26619),(33 94.91949),(34 97.03959),(35 97.09073),(36 99.551704),(37 100.47605),(38 100.552734),(39 100.56091),(40 100.76335),(41 102.95357),(42 104.779755),(43 104.628876),(44 105.335915),(45 108.86371),(46 109.736374),
(1 2.8151367),(2 5.5762663),(3 5.682513),(4 8.721444),(5 16.570549),(6 20.119162),(7 20.12636),(8 24.13789),(9 32.10506),(10 33.79201),(11 33.9162),(12 36.979053),(13 43.11197),(14 47.41296),(15 47.404522),(16 50.587986),(17 56.823677),(18 60.135746),(19 60.13999),(20 62.89299),(21 68.265236),(22 73.19612),(23 73.20426),(24 75.9758),(25 78.5631),(26 80.51997),(27 80.75491),(28 81.47968),(29 83.63724),(30 84.5189),(31 84.48204),(32 84.75971),(33 86.842926),(34 88.52429),(35 88.55378),(36 90.17138),(37 93.41539),(38 95.33717),(39 95.39258),(40 96.17626),(41 100.33151),(42 103.52004),(43 103.51822),(44 104.84315),(45 104.072876),(46 104.391975),
(1 3.0451896),(2 5.8742886),(3 5.989714),(4 9.541872),(5 19.087856),(6 22.472002),(7 22.455673),(8 26.373669),(9 32.078938),(10 34.956257),(11 34.90189),(12 38.384575),(13 44.482044),(14 48.95424),(15 48.943733),(16 52.539734),(17 58.590004),(18 60.732365),(19 60.75693),(20 63.38256),(21 68.048035),(22 71.94402),(23 71.95041),(24 73.33581),(25 73.216354),(26 73.80604),(27 74.020134),(28 76.15669),(29 81.0925),(30 83.105034),(31 83.0876),(32 83.974945),(33 85.524086),(34 88.757935),(35 88.73951),(36 90.45874),(37 94.157),(38 95.04717),(39 95.0734),(40 95.66711),(41 96.808014),(42 96.132034),(43 96.21455),(44 95.69482),(45 93.250145),(46 93.40569),
(1 3.4149644),(2 6.21872),(3 6.312639),(4 9.196059),(5 17.40834),(6 20.16629),(7 20.163637),(8 24.022135),(9 31.290096),(10 33.677654),(11 33.614597),(12 36.669968),(13 44.35255),(14 48.427174),(15 48.44106),(16 51.523647),(17 56.62991),(18 58.029003),(19 58.09767),(20 60.452423),(21 63.51508),(22 71.25839),(23 71.26252),(24 73.07196),(25 74.99222),(26 77.67303),(27 77.68709),(28 79.65255),(29 83.33006),(30 84.902794),(31 84.90849),(32 84.94072),(33 86.643875),(34 87.721146),(35 87.75493),(36 88.15201),(37 90.12567),(38 90.83563),(39 91.01393),(40 89.91134),(41 89.291336),(42 89.25579),(43 89.24334),(44 89.01271),(45 89.893005),(46 90.997185),
(1 3.7518017),(2 7.113386),(3 7.200686),(4 10.403606),(5 19.05782),(6 22.428003),(7 22.486732),(8 26.23068),(9 35.719666),(10 39.361164),(11 39.358166),(12 43.757282),(13 50.050236),(14 53.173992),(15 53.17899),(16 56.4665),(17 64.286964),(18 67.76138),(19 67.78413),(20 71.23761),(21 76.11252),(22 81.8044),(23 81.8072),(24 82.073235),(25 83.276985),(26 81.61833),(27 81.50832),(28 82.5357),(29 87.16949),(30 90.14669),(31 90.15508),(32 90.90288),(33 94.77502),(34 95.130455),(35 95.1355),(36 96.25032),(37 98.96708),(38 99.397766),(39 99.46745),(40 98.677246),(41 96.44472),(42 97.37527),(43 97.41769),(44 97.8751),(45 98.44525),(46 99.20035),
