(1 1.1900673),(2 2.353753),(3 2.3624973),(4 3.6177793),(5 6.8203015),(6 7.8217382),(7 7.805187),(8 9.503845),(9 12.157653),(10 13.452374),(11 13.503786),(12 15.131214),(13 17.918427),(14 18.989313),(15 18.987076),(16 19.855764),(17 21.573116),(18 22.390806),(19 22.421616),(20 23.751953),(21 25.332924),(22 27.009539),(23 27.013266),(24 27.964392),(25 30.05915),(26 31.106289),(27 31.08656),(28 32.203426),(29 34.37984),(30 35.40722),(31 35.40426),(32 35.526943),(33 37.355854),(34 38.462605),(35 38.518513),(36 39.991337),(37 41.503563),(38 42.201813),(39 42.221474),(40 42.590584),(41 44.0739),(42 45.444233),(43 45.454838),(44 46.690105),(45 49.33686),(46 50.302334),
(1 1.2003372),(2 2.5340044),(3 2.564066),(4 3.8507125),(5 7.4676023),(6 9.085359),(7 9.07555),(8 11.086954),(9 14.553553),(10 15.6289425),(11 15.689298),(12 16.764206),(13 19.98064),(14 22.508532),(15 22.507622),(16 24.049068),(17 25.691359),(18 26.226927),(19 26.190708),(20 27.279095),(21 29.04821),(22 30.099964),(23 30.104065),(24 30.919277),(25 32.30297),(26 33.276142),(27 33.33755),(28 34.32511),(29 36.19625),(30 37.04291),(31 37.03544),(32 37.67077),(33 40.77915),(34 42.660324),(35 42.651398),(36 44.09277),(37 46.377785),(38 46.7412),(39 46.804993),(40 47.091103),(41 48.941525),(42 50.47855),(43 50.436306),(44 51.305496),(45 52.14982),(46 52.158005),
(1 1.5074365),(2 2.831364),(3 2.874151),(4 4.4714985),(5 8.016578),(6 9.242668),(7 9.242388),(8 10.75215),(9 13.357993),(10 14.432912),(11 14.437511),(12 15.54924),(13 18.035341),(14 19.981127),(15 19.980564),(16 21.962713),(17 25.57555),(18 26.691797),(19 26.720572),(20 27.619097),(21 29.42498),(22 31.390488),(23 31.394794),(24 31.899063),(25 32.434296),(26 32.976223),(27 32.950855),(28 33.718834),(29 35.55096),(30 35.691418),(31 35.67604),(32 35.189728),(33 35.60187),(34 37.072895),(35 37.07515),(36 37.882164),(37 39.66791),(38 40.135277),(39 40.178066),(40 40.505802),(41 41.347813),(42 41.381317),(43 41.378017),(44 41.44858),(45 41.878033),(46 42.273827),
(1 1.8022771),(2 3.4083488),(3 3.4513993),(4 5.0571666),(5 8.714309),(6 9.821529),(7 9.841608),(8 11.810094),(9 15.854551),(10 17.510965),(11 17.505259),(12 19.008934),(13 21.478811),(14 22.357363),(15 22.3576),(16 23.415258),(17 24.557318),(18 24.808783),(19 24.818865),(20 25.709547),(21 26.678051),(22 29.288588),(23 29.291506),(24 29.982212),(25 30.720514),(26 30.904419),(27 30.86302),(28 31.512568),(29 33.1658),(30 33.751427),(31 33.757626),(32 33.78323),(33 34.84662),(34 35.524727),(35 35.55355),(36 36.09428),(37 37.779694),(38 38.055454),(39 38.032703),(40 38.33781),(41 38.375805),(42 38.626766),(43 38.628815),(44 38.11016),(45 36.6959),(46 36.22533),
(1 1.6945258),(2 3.4215362),(3 3.4510043),(4 5.273437),(5 9.823638),(6 11.006026),(7 11.035768),(8 12.890427),(9 16.59027),(10 18.364471),(11 18.387539),(12 20.56207),(13 23.32039),(14 24.757732),(15 24.757793),(16 25.209517),(17 26.278349),(18 26.625345),(19 26.628166),(20 27.595749),(21 29.249653),(22 30.919281),(23 30.918507),(24 31.50558),(25 31.82276),(26 31.76994),(27 31.747011),(28 32.117504),(29 33.37034),(30 34.419823),(31 34.417976),(32 34.359493),(33 35.07795),(34 35.662704),(35 35.58653),(36 35.86133),(37 37.553997),(38 37.99225),(39 38.041744),(40 38.64519),(41 39.206482),(42 39.69088),(43 39.75897),(44 40.11104),(45 40.731853),(46 41.62531),
(1 1.7084736),(2 3.7620475),(3 3.804839),(4 6.027936),(5 11.223134),(6 12.566509),(7 12.550836),(8 14.076703),(9 16.992641),(10 17.739029),(11 17.759062),(12 18.484106),(13 19.446299),(14 19.60199),(15 19.60225),(16 19.531761),(17 20.080513),(18 20.99461),(19 21.0191),(20 22.233967),(21 24.72221),(22 26.874685),(23 26.870367),(24 27.751299),(25 28.229017),(26 28.468185),(27 28.57172),(28 28.777937),(29 29.814962),(30 30.930992),(31 30.916449),(32 31.787897),(33 35.01476),(34 36.647873),(35 36.627857),(36 37.74293),(37 38.305748),(38 38.291958),(39 38.283115),(40 38.41816),(41 38.69011),(42 38.40983),(43 38.429348),(44 38.183006),(45 37.602615),(46 37.414734),
(1 1.6518953),(2 3.3891573),(3 3.426364),(4 5.1489215),(5 9.254527),(6 10.387867),(7 10.39488),(8 12.102138),(9 14.743819),(10 15.753577),(11 15.72439),(12 16.894196),(13 18.632126),(14 19.051836),(15 19.052853),(16 19.5413),(17 21.508085),(18 21.988895),(19 22.002544),(20 22.279661),(21 22.387833),(22 23.537146),(23 23.536655),(24 23.718636),(25 25.067738),(26 25.430328),(27 25.515654),(28 26.077314),(29 28.220812),(30 29.192429),(31 29.180561),(32 29.682056),(33 30.132975),(34 30.246943),(35 30.28305),(36 29.986097),(37 30.484726),(38 30.581442),(39 30.536057),(40 30.48015),(41 30.911884),(42 30.942621),(43 30.941),(44 31.246212),(45 32.920002),(46 33.86187),
(1 1.4052095),(2 3.1704547),(3 3.1853116),(4 4.830305),(5 8.915132),(6 10.159987),(7 10.146361),(8 11.736808),(9 15.225903),(10 16.643496),(11 16.639633),(12 17.780989),(13 19.271082),(14 20.155876),(15 20.157133),(16 20.976992),(17 23.90516),(18 24.867052),(19 24.872532),(20 25.37756),(21 26.273424),(22 27.339464),(23 27.343681),(24 27.850765),(25 26.84912),(26 26.795055),(27 26.783281),(28 26.762943),(29 27.679594),(30 29.045044),(31 29.038862),(32 29.908333),(33 31.826666),(34 32.483505),(35 32.49938),(36 32.9868),(37 34.510525),(38 35.26197),(39 35.31388),(40 35.470108),(41 36.38327),(42 36.606915),(43 36.588398),(44 37.188244),(45 37.496967),(46 37.444996),
(1 1.510626),(2 3.4479475),(3 3.4628618),(4 5.503853),(5 9.651535),(6 10.462121),(7 10.478434),(8 11.636296),(9 14.182122),(10 14.988201),(11 14.980493),(12 15.906047),(13 17.913843),(14 19.062654),(15 19.063622),(16 19.894701),(17 21.798124),(18 22.446348),(19 22.451803),(20 22.634056),(21 23.17524),(22 24.485664),(23 24.487434),(24 24.772112),(25 24.357162),(26 24.306429),(27 24.303009),(28 25.219517),(29 27.86279),(30 28.373562),(31 28.376152),(32 28.899313),(33 30.005623),(34 30.633717),(35 30.651827),(36 31.120941),(37 31.616995),(38 31.904886),(39 31.845457),(40 31.981083),(41 32.67599),(42 32.479588),(43 32.488228),(44 32.49442),(45 32.59654),(46 32.177124),
(1 1.5144305),(2 3.1736104),(3 3.19251),(4 4.931998),(5 8.552641),(6 9.512301),(7 9.512499),(8 11.075703),(9 13.16274),(10 14.337235),(11 14.352494),(12 15.427198),(13 17.238705),(14 18.285267),(15 18.28549),(16 19.443745),(17 21.315435),(18 22.555416),(19 22.581871),(20 23.685242),(21 24.10194),(22 25.017305),(23 25.01832),(24 24.974016),(25 24.61281),(26 25.42715),(27 25.530842),(28 26.439913),(29 29.127056),(30 30.208946),(31 30.215755),(32 30.51609),(33 30.534882),(34 30.661997),(35 30.667557),(36 30.513903),(37 31.283474),(38 32.186203),(39 32.16025),(40 32.29763),(41 32.69987),(42 32.599194),(43 32.643505),(44 32.34638),(45 32.353405),(46 32.604515),
(1 1.3116356),(2 2.7180386),(3 2.7247636),(4 4.179281),(5 7.0805607),(6 7.677265),(7 7.6690383),(8 8.970475),(9 10.802035),(10 11.974121),(11 11.995302),(12 13.58697),(13 16.537178),(14 17.946712),(15 17.948584),(16 18.570765),(17 18.191248),(18 18.384703),(19 18.385706),(20 18.508032),(21 18.567993),(22 20.015638),(23 20.015272),(24 20.719957),(25 22.57409),(26 23.460571),(27 23.495762),(28 24.447353),(29 25.861834),(30 26.550827),(31 26.54627),(32 26.92497),(33 26.113894),(34 25.542343),(35 25.524038),(36 25.282722),(37 25.367016),(38 25.939611),(39 25.944334),(40 26.190542),(41 27.146048),(42 27.74573),(43 27.76647),(44 27.935728),(45 27.51532),(46 27.65287),
(1 1.5023301),(2 2.9649737),(3 2.983957),(4 4.4258885),(5 7.05133),(6 7.574745),(7 7.567925),(8 8.874691),(9 11.22964),(10 12.1301565),(11 12.166896),(12 13.270782),(13 15.30928),(14 16.241915),(15 16.241234),(16 17.111137),(17 18.267206),(18 18.512161),(19 18.53058),(20 18.310488),(21 18.463882),(22 20.273682),(23 20.273481),(24 21.038584),(25 22.104258),(26 23.028503),(27 23.064047),(28 23.912413),(29 24.467693),(30 24.690674),(31 24.693773),(32 25.002693),(33 25.929348),(34 27.11678),(35 27.133991),(36 27.843605),(37 28.424166),(38 28.891163),(39 28.904295),(40 29.057589),(41 28.61266),(42 28.643955),(43 28.69256),(44 28.74509),(45 29.09902),(46 29.383577),
