1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,
(1 1.3574375),(2 2.4530034),(3 2.4761622),(4 3.3831606),(5 5.6807647),(6 6.3581853),(7 6.367588),(8 7.2227473),(9 9.158587),(10 10.015944),(11 10.049909),(12 10.84778),(13 11.87664),(14 12.426033),(15 12.425413),(16 13.142478),(17 14.065757),(18 14.575543),(19 14.590819),(20 14.884097),(21 15.2383),(22 16.410183),(23 16.412384),(24 16.568058),(25 17.332483),(26 17.877636),(27 17.906271),(28 18.173346),(29 18.472101),(30 18.594902),(31 18.596123),(32 18.692863),(33 19.10342),(34 19.465149),(35 19.484802),(36 19.854298),(37 20.383842),(38 20.58428),(39 20.597332),(40 20.760197),(41 21.185297),(42 21.2781),(43 21.308125),(44 21.409386),(45 21.578804),(46 21.636316),
(1 1.2244482),(2 2.212572),(3 2.2353718),(4 3.0825994),(5 5.22036),(6 5.9616475),(7 5.969506),(8 6.8546085),(9 8.921809),(10 9.456367),(11 9.470294),(12 10.034897),(13 11.023421),(14 11.5018835),(15 11.501382),(16 11.846685),(17 12.685455),(18 13.265239),(19 13.280927),(20 13.710001),(21 14.209076),(22 15.443222),(23 15.443144),(24 15.676223),(25 16.309458),(26 16.643618),(27 16.666094),(28 16.780556),(29 17.112032),(30 17.397207),(31 17.399797),(32 17.506832),(33 18.244629),(34 18.640343),(35 18.665947),(36 18.87086),(37 18.85269),(38 18.970318),(39 18.982601),(40 19.193285),(41 19.450432),(42 19.562805),(43 19.576185),(44 19.831749),(45 19.920816),(46 20.058987),
(1 1.1084801),(2 2.0126867),(3 2.0302162),(4 2.7214391),(5 4.6179867),(6 5.2859564),(7 5.2929335),(8 6.122946),(9 7.6510677),(10 8.129961),(11 8.162513),(12 8.698723),(13 9.696117),(14 10.30797),(15 10.307657),(16 10.6461935),(17 11.262043),(18 11.492102),(19 11.511925),(20 11.803124),(21 12.102065),(22 13.047298),(23 13.046334),(24 13.302057),(25 13.764062),(26 14.108462),(27 14.141402),(28 14.305938),(29 14.654007),(30 14.719998),(31 14.722268),(32 14.694609),(33 15.050991),(34 15.260066),(35 15.295952),(36 15.576687),(37 15.9424515),(38 16.15188),(39 16.153206),(40 16.14962),(41 16.377575),(42 16.63253),(43 16.628695),(44 16.948845),(45 17.123161),(46 17.076777),
(1 0.98328614),(2 1.7764953),(3 1.7942157),(4 2.4890122),(5 4.124638),(6 4.7616763),(7 4.7636857),(8 5.5720863),(9 7.0220404),(10 7.6138654),(11 7.634068),(12 8.103979),(13 8.84569),(14 9.411306),(15 9.410703),(16 9.924243),(17 10.583211),(18 10.924077),(19 10.930276),(20 11.270595),(21 11.676159),(22 12.810102),(23 12.808766),(24 13.038003),(25 13.297239),(26 13.504912),(27 13.516333),(28 13.75316),(29 14.265226),(30 14.341706),(31 14.340636),(32 14.311956),(33 14.339134),(34 14.321087),(35 14.33779),(36 14.495642),(37 14.876995),(38 15.110662),(39 15.114868),(40 15.231179),(41 15.6328535),(42 15.710495),(43 15.720667),(44 15.906553),(45 15.817228),(46 15.664895),
(1 1.0371264),(2 1.7891445),(3 1.8006176),(4 2.4044268),(5 4.07928),(6 4.554292),(7 4.562834),(8 5.145375),(9 6.6248784),(10 7.07686),(11 7.0913897),(12 7.495257),(13 7.8056936),(14 8.236461),(15 8.235657),(16 8.565045),(17 9.1901045),(18 9.356991),(19 9.368995),(20 9.671771),(21 10.112524),(22 10.891225),(23 10.890265),(24 10.8189535),(25 10.964843),(26 11.142725),(27 11.186267),(28 11.444795),(29 11.818309),(30 12.041778),(31 12.044537),(32 12.237741),(33 12.4522915),(34 12.497802),(35 12.512358),(36 12.650851),(37 12.893732),(38 13.14803),(39 13.15467),(40 13.283261),(41 13.260107),(42 13.274415),(43 13.270871),(44 13.2865305),(45 13.45897),(46 13.570155),
(1 0.9915404),(2 1.6929791),(3 1.7053632),(4 2.274137),(5 3.888505),(6 4.284125),(7 4.2967997),(8 4.9215927),(9 6.174836),(10 6.5986614),(11 6.605757),(12 7.0937953),(13 7.7138724),(14 8.203867),(15 8.203292),(16 8.5060005),(17 9.099632),(18 9.279765),(19 9.28102),(20 9.484314),(21 9.863708),(22 10.658889),(23 10.657874),(24 10.69056),(25 10.806671),(26 10.9320755),(27 10.974306),(28 11.181887),(29 11.613399),(30 11.824927),(31 11.826621),(32 11.8899555),(33 12.046718),(34 12.1614),(35 12.183187),(36 12.376246),(37 12.542041),(38 12.690454),(39 12.703165),(40 12.795702),(41 13.231843),(42 13.42205),(43 13.424523),(44 13.450773),(45 13.631067),(46 13.798874),
(1 0.95140094),(2 1.5870187),(3 1.5964891),(4 2.052669),(5 3.508507),(6 3.9343877),(7 3.9461038),(8 4.5510297),(9 5.5186934),(10 5.769584),(11 5.7773986),(12 6.1263604),(13 6.8647037),(14 7.4038553),(15 7.4034452),(16 7.79594),(17 8.361257),(18 8.660313),(19 8.667564),(20 8.839215),(21 8.955334),(22 9.583448),(23 9.583415),(24 9.66141),(25 9.897377),(26 10.090712),(27 10.1158495),(28 10.293135),(29 10.57827),(30 10.6661825),(31 10.667736),(32 10.749149),(33 11.120924),(34 11.466897),(35 11.477499),(36 11.75441),(37 11.90124),(38 12.060457),(39 12.066005),(40 12.14103),(41 12.307772),(42 12.227811),(43 12.244193),(44 12.216007),(45 12.20553),(46 12.184053),
(1 0.898784),(2 1.5302114),(3 1.5447228),(4 1.953918),(5 3.285417),(6 3.568333),(7 3.5765088),(8 4.1144757),(9 5.2137156),(10 5.484806),(11 5.4917006),(12 5.8618917),(13 6.3975186),(14 6.7604256),(15 6.761012),(16 6.9398465),(17 7.278055),(18 7.511242),(19 7.519442),(20 7.744692),(21 7.9584494),(22 8.906855),(23 8.906603),(24 9.104649),(25 9.571375),(26 9.658303),(27 9.700146),(28 9.753059),(29 10.093026),(30 10.211033),(31 10.208848),(32 10.303194),(33 10.521379),(34 10.64684),(35 10.651604),(36 10.706795),(37 10.936955),(38 11.058513),(39 11.075887),(40 11.145791),(41 11.101407),(42 11.102966),(43 11.102497),(44 11.137095),(45 10.938223),(46 10.883742),
(1 0.78136957),(2 1.3446671),(3 1.3521256),(4 1.7063655),(5 2.8685389),(6 3.1651204),(7 3.1711543),(8 3.5940156),(9 4.403954),(10 4.6262846),(11 4.6371217),(12 4.9509397),(13 5.5855265),(14 5.949263),(15 5.9503055),(16 6.16511),(17 6.410666),(18 6.639543),(19 6.6419516),(20 6.8514943),(21 7.1077538),(22 7.916259),(23 7.9161963),(24 8.097067),(25 8.455221),(26 8.538989),(27 8.583835),(28 8.524165),(29 8.417085),(30 8.481036),(31 8.479174),(32 8.538713),(33 8.789458),(34 8.9584),(35 8.960995),(36 9.148135),(37 9.271945),(38 9.274784),(39 9.283754),(40 9.3555975),(41 9.751262),(42 9.869799),(43 9.886941),(44 9.952777),(45 9.939518),(46 10.045345),
(1 0.88102424),(2 1.4012398),(3 1.4175867),(4 1.7687443),(5 3.0146918),(6 3.4041762),(7 3.418754),(8 3.9017663),(9 4.8246126),(10 5.0786004),(11 5.090915),(12 5.388844),(13 5.8112125),(14 6.140477),(15 6.139878),(16 6.342188),(17 6.5991273),(18 6.870945),(19 6.8828316),(20 7.098573),(21 7.2919035),(22 8.028768),(23 8.029474),(24 8.12498),(25 8.399243),(26 8.610657),(27 8.650834),(28 8.706142),(29 8.734436),(30 8.819662),(31 8.820207),(32 8.915717),(33 9.208737),(34 9.22195),(35 9.219849),(36 9.323668),(37 9.343909),(38 9.38087),(39 9.387411),(40 9.442192),(41 9.779624),(42 9.821071),(43 9.821309),(44 9.839462),(45 9.733368),(46 9.74007),
