1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 0.29657617),(2 0.6194712),(3 0.6303923),(4 0.9495925),(5 1.9632391),(6 2.3738072),(7 2.374424),(8 2.9331546),(9 4.049872),(10 4.55),(11 4.551789),(12 5.139756),(13 6.1957607),(14 6.810468),(15 6.810325),(16 7.338876),(17 8.157484),(18 8.5918865),(19 8.601155),(20 9.075029),(21 9.843836),(22 10.623288),(23 10.622795),(24 11.068435),(25 12.031909),(26 12.5241785),(27 12.531346),(28 12.952293),(29 13.921512),(30 14.398488),(31 14.398096),(32 14.703284),(33 15.440041),(34 15.798808),(35 15.80162),(36 16.102274),(37 16.692867),(38 17.01271),(39 17.018421),(40 17.324394),(41 18.047913),(42 18.406244),(43 18.403656),(44 18.646269),(45 19.197073),(46 19.397402),
(1 0.4678338),(2 0.9361553),(3 0.9475945),(4 1.4531666),(5 2.8931072),(6 3.409362),(7 3.4104874),(8 4.034904),(9 5.270261),(10 5.7581434),(11 5.7649803),(12 6.3508162),(13 7.373084),(14 7.9948254),(15 7.994895),(16 8.5156765),(17 9.523176),(18 9.933039),(19 9.941418),(20 10.336591),(21 10.940096),(22 11.703337),(23 11.703197),(24 11.986119),(25 12.50142),(26 12.760186),(27 12.771295),(28 12.978678),(29 13.683903),(30 13.989256),(31 13.988304),(32 14.141474),(33 14.702156),(34 15.024651),(35 15.030977),(36 15.313996),(37 15.818344),(38 16.003866),(39 16.007341),(40 16.146858),(41 16.621256),(42 16.81332),(43 16.807674),(44 16.866886),(45 16.980476),(46 17.124146),
(1 0.5319128),(2 1.0754963),(3 1.0851802),(4 1.6268463),(5 3.0037816),(6 3.4022706),(7 3.4046855),(8 3.915818),(9 4.9184914),(10 5.301211),(11 5.304427),(12 5.821066),(13 6.604862),(14 6.961888),(15 6.962005),(16 7.2105894),(17 7.755035),(18 8.022113),(19 8.032889),(20 8.311413),(21 8.779399),(22 9.4773035),(23 9.47693),(24 9.659992),(25 9.8883),(26 10.02208),(27 10.028937),(28 10.132292),(29 10.493957),(30 10.709079),(31 10.708171),(32 10.821191),(33 11.213499),(34 11.417695),(35 11.42565),(36 11.605535),(37 11.906677),(38 12.08407),(39 12.093007),(40 12.219206),(41 12.606141),(42 12.6656885),(43 12.668691),(44 12.720213),(45 12.8472395),(46 12.96645),
(1 0.6128542),(2 1.1567733),(3 1.1666944),(4 1.6533703),(5 2.8692837),(6 3.2470765),(7 3.2489889),(8 3.710157),(9 4.7315207),(10 5.098745),(11 5.107451),(12 5.518546),(13 6.385239),(14 6.708917),(15 6.7091146),(16 7.0037394),(17 7.507818),(18 7.7634945),(19 7.7667375),(20 7.900574),(21 8.136193),(22 8.743782),(23 8.744279),(24 8.881791),(25 9.222052),(26 9.461102),(27 9.47375),(28 9.607455),(29 9.920684),(30 10.10487),(31 10.104275),(32 10.191989),(33 10.421741),(34 10.616583),(35 10.6199875),(36 10.790455),(37 11.099666),(38 11.289884),(39 11.302829),(40 11.405391),(41 11.653837),(42 11.720134),(43 11.7328005),(44 11.805912),(45 11.933212),(46 11.95716),
(1 0.62875205),(2 1.1656319),(3 1.1755166),(4 1.5907894),(5 2.6294706),(6 2.974677),(7 2.9794312),(8 3.4116976),(9 4.3673587),(10 4.690347),(11 4.70213),(12 5.0107107),(13 5.5340447),(14 5.764857),(15 5.764493),(16 5.9631505),(17 6.442102),(18 6.6586018),(19 6.665943),(20 6.831462),(21 7.0216794),(22 7.5631304),(23 7.5632987),(24 7.6795635),(25 7.9915347),(26 8.155577),(27 8.168306),(28 8.285014),(29 8.480609),(30 8.614625),(31 8.615447),(32 8.67764),(33 8.8627825),(34 8.991242),(35 8.99639),(36 9.158153),(37 9.384337),(38 9.551475),(39 9.556137),(40 9.645597),(41 9.750956),(42 9.795863),(43 9.80194),(44 9.928556),(45 10.0682125),(46 10.128369),
(1 0.43186355),(2 0.77873594),(3 0.78637326),(4 1.0682602),(5 1.8151469),(6 2.05382),(7 2.055056),(8 2.355628),(9 2.9196634),(10 3.099881),(11 3.106917),(12 3.2798674),(13 3.567984),(14 3.7784364),(15 3.778279),(16 3.9206164),(17 4.210488),(18 4.311623),(19 4.3128247),(20 4.4241548),(21 4.5667424),(22 4.923533),(23 4.9234343),(24 4.9874206),(25 5.1702213),(26 5.2872834),(27 5.300256),(28 5.4088817),(29 5.5957904),(30 5.63674),(31 5.6376276),(32 5.62148),(33 5.655244),(34 5.677581),(35 5.6842504),(36 5.737257),(37 5.869731),(38 5.9622693),(39 5.9644713),(40 6.014049),(41 6.0514684),(42 6.04107),(43 6.041959),(44 6.079616),(45 6.17057),(46 6.1967893),
(1 0.42076397),(2 0.7067495),(3 0.71285975),(4 0.9244469),(5 1.6002393),(6 1.7749796),(7 1.7787365),(8 2.031459),(9 2.5313942),(10 2.6858692),(11 2.6893213),(12 2.8800602),(13 3.1469123),(14 3.3743832),(15 3.374286),(16 3.530963),(17 3.7677057),(18 3.8929615),(19 3.8938656),(20 3.9807463),(21 4.0355844),(22 4.398418),(23 4.398277),(24 4.432768),(25 4.514146),(26 4.5788856),(27 4.592764),(28 4.661471),(29 4.8380485),(30 4.8975134),(31 4.897459),(32 4.9249597),(33 5.0439076),(34 5.1490993),(35 5.1586347),(36 5.253656),(37 5.281015),(38 5.3055444),(39 5.3102245),(40 5.333218),(41 5.459617),(42 5.4843926),(43 5.4875517),(44 5.511178),(45 5.555739),(46 5.6059327),
(1 0.3976072),(2 0.664165),(3 0.67343783),(4 0.85188484),(5 1.4387028),(6 1.602103),(7 1.6060158),(8 1.8046172),(9 2.2005408),(10 2.3186748),(11 2.3227499),(12 2.4762316),(13 2.7247612),(14 2.8928273),(15 2.8929994),(16 3.0039628),(17 3.1158097),(18 3.2151482),(19 3.2185981),(20 3.3107753),(21 3.4005191),(22 3.7409546),(23 3.741154),(24 3.788817),(25 3.9501505),(26 4.0423484),(27 4.0581326),(28 4.064513),(29 4.1582227),(30 4.225033),(31 4.2253957),(32 4.2658935),(33 4.367652),(34 4.4284587),(35 4.4314284),(36 4.479995),(37 4.523319),(38 4.5307465),(39 4.5338182),(40 4.5644007),(41 4.618954),(42 4.6666603),(43 4.668917),(44 4.7243743),(45 4.7051067),(46 4.708496),
(1 0.37132922),(2 0.60653883),(3 0.6130056),(4 0.7362926),(5 1.2097151),(6 1.3502971),(7 1.3553122),(8 1.5177426),(9 1.844045),(10 1.9620695),(11 1.9681157),(12 2.0825107),(13 2.2778044),(14 2.4186714),(15 2.4187813),(16 2.4957917),(17 2.604661),(18 2.694935),(19 2.7008262),(20 2.754729),(21 2.8034928),(22 3.1302295),(23 3.130247),(24 3.1690865),(25 3.2800949),(26 3.3236856),(27 3.3354595),(28 3.3432925),(29 3.4172218),(30 3.4589345),(31 3.4584827),(32 3.4739542),(33 3.5321648),(34 3.57017),(35 3.5725055),(36 3.6071882),(37 3.641159),(38 3.6563723),(39 3.6596727),(40 3.6961699),(41 3.7389507),(42 3.76335),(43 3.7638605),(44 3.8049798),(45 3.8607013),(46 3.8817942),
(1 0.3211066),(2 0.5047611),(3 0.51118827),(4 0.6050794),(5 1.0227923),(6 1.1444542),(7 1.1488613),(8 1.2796671),(9 1.5566868),(10 1.6568899),(11 1.6603949),(12 1.742909),(13 1.8879045),(14 2.0051503),(15 2.0051088),(16 2.086714),(17 2.2045956),(18 2.303566),(19 2.3078725),(20 2.3928738),(21 2.4253135),(22 2.662461),(23 2.6624308),(24 2.6943154),(25 2.7526453),(26 2.7820752),(27 2.790686),(28 2.8043091),(29 2.899727),(30 2.9472957),(31 2.947797),(32 2.9518273),(33 3.014621),(34 3.0475366),(35 3.0497046),(36 3.0764744),(37 3.1266031),(38 3.1396515),(39 3.1420977),(40 3.1439705),(41 3.148344),(42 3.1577299),(43 3.1586292),(44 3.1729922),(45 3.2329247),(46 3.2373302),
