(1 2.630594),(2 5.844753),(3 5.919298),(4 8.27112),(5 17.250946),(6 20.575558),(7 20.607075),(8 25.669466),(9 40.67854),(10 48.895454),(11 48.66695),(12 58.26929),(13 76.56264),(14 89.202805),(15 89.213776),(16 100.01558),(17 111.66694),(18 115.94689),(19 116.477875),(20 123.02428),(21 132.6411),(22 148.45984),(23 148.44745),(24 154.31859),(25 163.05275),(26 168.38657),(27 168.28554),(28 173.5582),(29 187.40977),(30 198.70268),(31 198.71979),(32 203.048),(33 215.9273),(34 217.37328),(35 216.99568),(36 216.50116),(37 212.69429),(38 211.43744),(39 211.60098),(40 211.29802),(41 220.33575),(42 227.47781),(43 227.14418),(44 236.53842),(45 249.99176),(46 255.42319),
(1 2.0316193),(2 5.2144685),(3 5.358874),(4 8.463055),(5 18.36229),(6 22.920416),(7 23.015),(8 29.424515),(9 41.9484),(10 47.829437),(11 47.810932),(12 56.392986),(13 74.40822),(14 88.34452),(15 88.35445),(16 97.68887),(17 115.56461),(18 124.83723),(19 125.05103),(20 133.71747),(21 153.45459),(22 173.47324),(23 173.45163),(24 186.58722),(25 208.61357),(26 214.46928),(27 214.40569),(28 222.64243),(29 242.5525),(30 251.75143),(31 251.84193),(32 254.10385),(33 255.80276),(34 255.88109),(35 255.89499),(36 253.26297),(37 245.10167),(38 245.01366),(39 245.04973),(40 249.36609),(41 258.5742),(42 264.48834),(43 264.4509),(44 267.16876),(45 278.47455),(46 279.83456),
(1 2.9316113),(2 5.458688),(3 5.5891695),(4 7.3975034),(5 13.750129),(6 16.68487),(7 16.646763),(8 21.221498),(9 30.621105),(10 35.911217),(11 35.78445),(12 41.677826),(13 53.109367),(14 61.736362),(15 61.719364),(16 69.73891),(17 84.24775),(18 91.29022),(19 91.16371),(20 96.17115),(21 109.786545),(22 122.618645),(23 122.6025),(24 133.02751),(25 152.45259),(26 161.58926),(27 161.8731),(28 170.09602),(29 188.7021),(30 195.74675),(31 195.74637),(32 200.56276),(33 211.97878),(34 214.51692),(35 214.30385),(36 216.89493),(37 228.59427),(38 232.5943),(39 232.74026),(40 242.65611),(41 254.47853),(42 255.49721),(43 255.46906),(44 252.09251),(45 244.58774),(46 239.85292),
(1 3.0718973),(2 6.413736),(3 6.6034827),(4 8.665141),(5 14.448098),(6 16.956701),(7 17.044159),(8 20.186096),(9 28.436583),(10 32.457993),(11 32.434853),(12 39.262383),(13 53.352337),(14 61.998474),(15 61.996803),(16 70.08686),(17 82.512695),(18 86.79391),(19 86.920044),(20 94.05756),(21 107.18193),(22 115.82796),(23 115.81949),(24 123.3196),(25 134.31435),(26 143.44989),(27 143.6244),(28 146.94453),(29 155.09727),(30 157.83911),(31 157.85164),(32 160.95393),(33 174.23941),(34 182.26056),(35 182.24423),(36 187.82184),(37 190.45197),(38 192.428),(39 192.42339),(40 195.7796),(41 201.73204),(42 201.58516),(43 201.76552),(44 202.17368),(45 204.89467),(46 204.87164),
(1 3.5178514),(2 7.0580544),(3 7.278788),(4 8.9978895),(5 16.73222),(6 19.237413),(7 19.177393),(8 23.925983),(9 30.679165),(10 33.536377),(11 33.360126),(12 37.881535),(13 49.07563),(14 55.75323),(15 55.75561),(16 62.560783),(17 73.27752),(18 77.26685),(19 77.40202),(20 84.29803),(21 96.24365),(22 107.153305),(23 107.14896),(24 114.123375),(25 125.966545),(26 131.45235),(27 131.91563),(28 137.02298),(29 145.50589),(30 152.61652),(31 152.62337),(32 156.99173),(33 164.39328),(34 164.43669),(35 164.38795),(36 162.69492),(37 159.78474),(38 157.17056),(39 157.1978),(40 157.0025),(41 154.12326),(42 154.70703),(43 154.69197),(44 155.19868),(45 161.70978),(46 161.9796),
(1 3.1925464),(2 6.1681795),(3 6.1816998),(4 8.704279),(5 19.668226),(6 24.575161),(7 24.571526),(8 30.722734),(9 41.923992),(10 45.78855),(11 45.58041),(12 53.027657),(13 71.77088),(14 83.37937),(15 83.3611),(16 92.9991),(17 105.68503),(18 110.408005),(19 110.120255),(20 114.78208),(21 124.770325),(22 130.4678),(23 130.45085),(24 138.29301),(25 152.27092),(26 158.58691),(27 158.57556),(28 166.28255),(29 176.32826),(30 181.74135),(31 181.7391),(32 184.96764),(33 193.57855),(34 195.50212),(35 195.34396),(36 196.02228),(37 198.73158),(38 203.6951),(39 203.72899),(40 208.11845),(41 217.28406),(42 220.6581),(43 220.47586),(44 226.1847),(45 236.19331),(46 239.29332),
(1 4.441037),(2 8.511557),(3 8.796408),(4 13.143734),(5 26.79989),(6 31.996752),(7 31.997847),(8 37.58901),(9 50.513546),(10 60.408707),(11 60.526768),(12 71.30561),(13 90.05565),(14 100.34723),(15 100.35898),(16 108.73453),(17 118.83238),(18 124.038284),(19 123.97142),(20 127.824005),(21 128.21428),(22 127.794),(23 127.79047),(24 130.20802),(25 136.07843),(26 144.75403),(27 144.88998),(28 153.08838),(29 172.76022),(30 182.1928),(31 182.21568),(32 188.78654),(33 203.61583),(34 209.15202),(35 209.29991),(36 213.25606),(37 223.11908),(38 230.10812),(39 229.74794),(40 235.4287),(41 255.09717),(42 264.48273),(43 264.1285),(44 277.37177),(45 291.57782),(46 305.07974),
(1 4.073706),(2 7.8729324),(3 7.918306),(4 12.424545),(5 22.917236),(6 28.167398),(7 28.134666),(8 35.8762),(9 52.24052),(10 60.16756),(11 60.031586),(12 70.24023),(13 84.83594),(14 90.930885),(15 90.92991),(16 95.27597),(17 98.602135),(18 101.980286),(19 101.672485),(20 106.439156),(21 115.47652),(22 122.39385),(23 122.37005),(24 125.2867),(25 136.11832),(26 144.77075),(27 145.01782),(28 151.83472),(29 173.3942),(30 189.93759),(31 189.88919),(32 203.93175),(33 229.12865),(34 234.30705),(35 234.5121),(36 237.92972),(37 239.12053),(38 240.13797),(39 240.0734),(40 242.37497),(41 254.88918),(42 261.7194),(43 262.52902),(44 267.32135),(45 283.61752),(46 291.2925),
(1 4.3272843),(2 9.411016),(3 9.632236),(4 15.4737835),(5 28.412931),(6 33.054634),(7 32.9855),(8 39.372055),(9 54.68049),(10 63.41384),(11 63.428886),(12 72.84146),(13 89.842636),(14 97.326904),(15 97.316216),(16 102.20326),(17 107.818245),(18 116.22877),(19 116.32505),(20 122.30029),(21 132.09451),(22 146.51733),(23 146.50653),(24 150.44244),(25 168.89339),(26 179.09357),(27 179.22797),(28 188.21768),(29 209.52832),(30 222.97073),(31 222.96535),(32 235.9812),(33 255.06337),(34 263.36923),(35 263.31454),(36 269.75577),(37 275.69247),(38 278.6284),(39 279.19626),(40 281.73972),(41 295.81876),(42 296.5017),(43 296.10104),(44 301.8993),(45 307.98926),(46 311.2367),
(1 5.3482666),(2 10.8564625),(3 11.069464),(4 15.587709),(5 28.490673),(6 33.41811),(7 33.355164),(8 38.592632),(9 54.80992),(10 64.385),(11 64.41133),(12 75.71307),(13 99.90352),(14 113.810844),(15 113.80832),(16 124.57946),(17 137.09174),(18 144.39253),(19 145.03613),(20 153.06642),(21 164.00038),(22 174.33266),(23 174.31616),(24 178.85301),(25 193.29558),(26 204.63364),(27 204.19142),(28 214.32838),(29 234.4492),(30 247.67386),(31 247.64508),(32 257.93866),(33 272.14563),(34 283.9908),(35 284.0999),(36 292.51083),(37 310.3555),(38 315.75467),(39 316.67368),(40 321.61322),(41 327.3033),(42 326.80408),(43 327.38174),(44 330.64462),(45 324.14273),(46 326.47946),
