1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 8477.669),(2 18523.547),(3 25087.35),(4 30319.924),(5 34168.88),(6 37064.484),(7 40035.617),(8 42025.605),(9 43287.91),(10 44441.793),(11 44994.383),(12 45383.758),(13 46469.47),(14 47600.438),(15 48158.984),(16 48394.42),(17 48973.777),(18 49207.78),(19 49183.676),(20 48625.42),(21 48271.594),(22 48128.79),(23 47997.74),(24 48392.336),(25 49229.47),(26 48963.457),(27 48548.05),(28 48524.773),(29 47992.04),(30 47642.992),(31 48015.344),(32 47756.418),(33 47290.652),(34 47124.055),(35 47040.66),(36 46864.824),(37 46814.3),(38 47157.72),(39 47450.785),(40 47408.566),(41 47008.918),(42 47391.773),(43 47620.797),(44 47879.684),(45 47947.133),(46 47776.68),(47 47712.86),(48 48055.215),(49 48527.83),(50 48077.676),(51 48219.6),(52 48798.16),(53 49471.33),(54 49974.395),(55 50574.266),(56 50689.285),(57 50715.563),(58 50893.746),(59 50917.313),(60 51190.53),(61 50905.805),(62 50721.85),(63 50924.14),(64 51472.055),(65 51602.41),(66 52202.47),(67 52576.285),(68 52690.402),(69 52387.75),(70 52330.082),(71 52815.043),(72 53227.875),(73 53744.906),(74 53845.652),(75 53593.117),(76 53688.348),(77 54116.285),(78 54207.61),(79 54317.934),
(1 8142.421),(2 17864.068),(3 24595.945),(4 29615.844),(5 33710.043),(6 37035.977),(7 39369.28),(8 41175.625),(9 42517.195),(10 43726.32),(11 44287.926),(12 44441.934),(13 45237.36),(14 46131.1),(15 46625.42),(16 47277.035),(17 47856.07),(18 48004.18),(19 47291.77),(20 46493.145),(21 46221.664),(22 45812.543),(23 45794.08),(24 46409.08),(25 47507.98),(26 47772.066),(27 47835.266),(28 47977.082),(29 47909.605),(30 48008.223),(31 48560.496),(32 48380.83),(33 47875.49),(34 47097.125),(35 45885.945),(36 45232.57),(37 44933.26),(38 45086.957),(39 45068.566),(40 44808.164),(41 44470.25),(42 44605.797),(43 44966.09),(44 45295.594),(45 45523.383),(46 45343.426),(47 44979.836),(48 44592.35),(49 44760.734),(50 44753.668),(51 45354.5),(52 45506.652),(53 45368.18),(54 45807.2),(55 46926.42),(56 47180.867),(57 47187.227),(58 47213.87),(59 47177.543),(60 46891.273),(61 46528.004),(62 46869.63),(63 47452.797),(64 48278.098),(65 48490.848),(66 48563.02),(67 48633.53),(68 48910.34),(69 48637.383),(70 48963.316),(71 49457.26),(72 50031.184),(73 50370.152),(74 50405.035),(75 50422.36),(76 50584.555),(77 51157.77),(78 51348.094),(79 51287.254),
(1 8052.7236),(2 17590.209),(3 24210.2),(4 29613.227),(5 33842.6),(6 36931),(7 38823.62),(8 40361.89),(9 42032.438),(10 43283.31),(11 43587.684),(12 43142.07),(13 43102.234),(14 43331.43),(15 43707.637),(16 44277.855),(17 44908.813),(18 44629.707),(19 44080.875),(20 44179.07),(21 43969.363),(22 43521.625),(23 43571.047),(24 44059.71),(25 44377.246),(26 44235.02),(27 43902.004),(28 44035.547),(29 43993.77),(30 43874.125),(31 44224.16),(32 44119.863),(33 44061.766),(34 43747.17),(35 43027.85),(36 42696.586),(37 42696.65),(38 42481.85),(39 42365.04),(40 42576.32),(41 42470.53),(42 42832.477),(43 42700.32),(44 42539.098),(45 42854.81),(46 43223.96),(47 43407.773),(48 43592.81),(49 43797.945),(50 43923.8),(51 44485.61),(52 44981.89),(53 45172.01),(54 45478.766),(55 45754.113),(56 45408.04),(57 45339.383),(58 45246.32),(59 44874.207),(60 44575.754),(61 44581.69),(62 44438.29),(63 44640.137),(64 45401.086),(65 46141.08),(66 46612.348),(67 46827.68),(68 46689.375),(69 46855.69),(70 47277.71),(71 47749.918),(72 47786.137),(73 47722.85),(74 47328.188),(75 47340.492),(76 47855.113),(77 48382.46),(78 48764.81),(79 48821.563),
(1 7810.196),(2 17151.783),(3 23499.838),(4 28978.988),(5 33059.355),(6 35820.324),(7 38078.055),(8 40014.293),(9 41633.01),(10 43106.598),(11 43819.473),(12 43409.137),(13 43508.016),(14 44076.85),(15 44375.633),(16 44040.28),(17 44063.074),(18 43864.473),(19 43885.406),(20 44227.367),(21 44730.42),(22 45256.418),(23 45749.82),(24 45896.336),(25 46007.387),(26 45905.574),(27 45508.184),(28 45277.91),(29 45135.043),(30 44954.05),(31 44615.87),(32 44466.71),(33 44326.28),(34 43972.1),(35 43651.91),(36 43779.258),(37 43617.695),(38 43698.137),(39 43698.035),(40 43929.324),(41 43945.406),(42 44508.13),(43 45161.305),(44 45442.914),(45 45354.426),(46 45619.836),(47 46138.41),(48 46032.67),(49 46285.9),(50 46666.164),(51 46825.01),(52 46512.113),(53 46223.723),(54 46795.67),(55 47553.215),(56 47911.754),(57 47882.742),(58 48022.676),(59 47674.74),(60 47813.633),(61 48052.52),(62 47990.2),(63 48102.926),(64 48436.824),(65 48635.12),(66 48746.59),(67 48920.777),(68 49032.027),(69 49326.22),(70 49341.387),(71 49605.133),(72 50040.566),(73 50081.313),(74 49940.766),(75 50068.47),(76 50714.605),(77 51303.293),(78 51655.164),(79 51457.418),
(1 7647.528),(2 16668.992),(3 22438.691),(4 26884.068),(5 30473.402),(6 32768.137),(7 34811.473),(8 36800.363),(9 38392.87),(10 39823.86),(11 40319.41),(12 40202.58),(13 40558.766),(14 41499.79),(15 42030.594),(16 42488.45),(17 42449.56),(18 42203.324),(19 42075.8),(20 42791.637),(21 43665.137),(22 44486.305),(23 45072.176),(24 45165.902),(25 45404.125),(26 45346.11),(27 45079.93),(28 44699.93),(29 44080.81),(30 43328.875),(31 42629.703),(32 42406.883),(33 42558.07),(34 42846.73),(35 42632.465),(36 42378.17),(37 42154.68),(38 42160.63),(39 42138.484),(40 42315.363),(41 42435.293),(42 42775.523),(43 42983.387),(44 42795.547),(45 42402.563),(46 42426.53),(47 42389.203),(48 42373.816),(49 42931.688),(50 43155.336),(51 43245.86),(52 42929.883),(53 42676.723),(54 43094.617),(55 43506.05),(56 43267.945),(57 42881.918),(58 43140.73),(59 42783.984),(60 42564.563),(61 42677.637),(62 43401.402),(63 43863.402),(64 44259.133),(65 44627.746),(66 45034.08),(67 45652.363),(68 46165.094),(69 46766.28),(70 47540.73),(71 48301.598),(72 48772.426),(73 49231.83),(74 49740.12),(75 49798.664),(76 50150.77),(77 50290.316),(78 50724.652),(79 50879.816),
(1 7427.527),(2 16090.767),(3 21453.37),(4 26313.623),(5 30021.596),(6 32699.502),(7 34551.18),(8 36506.19),(9 38021.348),(10 39219.195),(11 39846.016),(12 39817.52),(13 40026.934),(14 40360.75),(15 40926.027),(16 41411.59),(17 41669.242),(18 41653.02),(19 41389.473),(20 41725.406),(21 42362.434),(22 43112.793),(23 43486.973),(24 43523.31),(25 43399.184),(26 42963.715),(27 42804.285),(28 42964.426),(29 42819.99),(30 42529.395),(31 42318.46),(32 42796.055),(33 43228.176),(34 43420.117),(35 42893.938),(36 42713.336),(37 42171.324),(38 41685.395),(39 41835.477),(40 42418.574),(41 42194.387),(42 42305.277),(43 42499.605),(44 42158.902),(45 41706.824),(46 41737.215),(47 42233.855),(48 42317.496),(49 42717.594),(50 43280.53),(51 43703.723),(52 44004.86),(53 43632.13),(54 43452.293),(55 43313.35),(56 43230.8),(57 43355.17),(58 43177.883),(59 42572.883),(60 42439.953),(61 42658.625),(62 42732.54),(63 42471.184),(64 42513.664),(65 42948.09),(66 43713.45),(67 44263.977),(68 44626.113),(69 44640.89),(70 45188.637),(71 45510.668),(72 46031.375),(73 46304.613),(74 46619.105),(75 46868.805),(76 47122.344),(77 47361.64),(78 47725.31),(79 48059.836),
(1 7213.1104),(2 15416.814),(3 20724.566),(4 25204.057),(5 28417.273),(6 30925.695),(7 32634.07),(8 34551.04),(9 36062.926),(10 37005.164),(11 37110.348),(12 36990.637),(13 37593.004),(14 38549.38),(15 39304.637),(16 39765.043),(17 40243.1),(18 40166.582),(19 40177.51),(20 40703.016),(21 41401.62),(22 41837.363),(23 42004.5),(24 41736.27),(25 42310.246),(26 42561.86),(27 42667.297),(28 43031.11),(29 43053.12),(30 42521.17),(31 41947.715),(32 41844.445),(33 41935.41),(34 41862.91),(35 41322.64),(36 40935.004),(37 40588.344),(38 40498.22),(39 40300.555),(40 40362.035),(41 40192.3),(42 40309.953),(43 40550.695),(44 40283.883),(45 40308.418),(46 40489.76),(47 40542.836),(48 40827.11),(49 40890.99),(50 41082.426),(51 41553.473),(52 41984.086),(53 42256.145),(54 42459.555),(55 42421.387),(56 42234.637),(57 42345.527),(58 42514.844),(59 42443.21),(60 42433.656),(61 42281.055),(62 41991.96),(63 41790.137),(64 41724.465),(65 41900.848),(66 42524.93),(67 43059.34),(68 43251.76),(69 43189.51),(70 43466.266),(71 43914.96),(72 44361.445),(73 44939.215),(74 45488.605),(75 45979.41),(76 46585.418),(77 47054.1),(78 47509.92),(79 47518.598),
(1 6905.498),(2 14735.736),(3 19957.447),(4 24349.248),(5 27969.03),(6 30227.428),(7 32113.973),(8 33628.563),(9 34656.164),(10 35348.855),(11 35473.563),(12 35377.61),(13 35810.152),(14 36515.242),(15 37170.33),(16 37798.4),(17 38330.465),(18 38530.11),(19 38907.69),(20 39651.17),(21 40573.918),(22 40916.844),(23 41325.473),(24 41280.145),(25 41311.85),(26 41312.406),(27 41311.875),(28 41754.73),(29 41770.79),(30 41127.617),(31 40887.645),(32 40521.855),(33 40618.152),(34 40579.227),(35 40158.652),(36 39969.836),(37 39745.203),(38 39823.12),(39 39843.535),(40 40112.547),(41 40286.746),(42 40491.098),(43 40633.043),(44 40382.05),(45 40504.22),(46 40681.992),(47 40248.574),(48 40206.75),(49 40134.39),(50 39970.703),(51 40163.504),(52 40575.223),(53 40877.098),(54 41134.78),(55 41022.855),(56 40783.88),(57 40848.51),(58 41067.688),(59 41051.12),(60 41431.21),(61 42104.402),(62 42188.465),(63 42258.195),(64 42341.27),(65 42399.92),(66 42878.645),(67 43240.258),(68 43252.887),(69 43619.063),(70 43581.586),(71 43553.113),(72 43621.61),(73 43924),(74 44513.7),(75 44875.72),(76 45364.7),(77 45528.89),(78 45418.88),(79 45457.402),
(1 6754.7847),(2 14394.455),(3 19671.215),(4 23844.842),(5 27215.07),(6 29131.557),(7 30662.807),(8 32006.645),(9 33363.914),(10 34355.56),(11 34813.504),(12 35229.168),(13 35935.223),(14 36454.168),(15 36823.46),(16 37146.887),(17 37135.27),(18 37076.504),(19 37340.54),(20 37947.023),(21 38561.742),(22 38828.51),(23 39269.734),(24 39252.168),(25 39459.18),(26 39568.523),(27 39821.504),(28 40542.668),(29 40557.07),(30 39992.793),(31 39780.86),(32 39629.6),(33 39843.492),(34 40337.758),(35 40624.957),(36 40644.49),(37 40460.594),(38 40293.977),(39 40029.434),(40 39836.85),(41 40149.75),(42 40472.387),(43 40452.496),(44 40265.797),(45 40403.727),(46 40625.633),(47 40488.285),(48 40659.746),(49 40546.62),(50 40584.215),(51 41005.906),(52 41375.645),(53 41429.16),(54 41065.035),(55 40764.52),(56 40583.457),(57 40659.324),(58 40780.395),(59 40518.43),(60 41132.695),(61 41668.93),(62 42014.504),(63 42196.383),(64 42220.703),(65 42150.473),(66 42089.89),(67 42059.387),(68 42214.313),(69 42672.82),(70 42787.293),(71 43096.305),(72 42891.54),(73 42902.85),(74 43348.434),(75 43642.906),(76 44224.99),(77 44605.793),(78 44587.418),(79 44517.707),
(1 6870.149),(2 14681.845),(3 19765.76),(4 24001.104),(5 27378.363),(6 29686.594),(7 31076.684),(8 32551.596),(9 33968.504),(10 35001.254),(11 35571.254),(12 36124.56),(13 36795.37),(14 37699.883),(15 38061.74),(16 38092.137),(17 38269.867),(18 38207.293),(19 37901.984),(20 38081.387),(21 38509.16),(22 38665.566),(23 38802.348),(24 38516.543),(25 38620.734),(26 38561.566),(27 38616.66),(28 38948.813),(29 38562.027),(30 38304.125),(31 38294.28),(32 38165.773),(33 37952.145),(34 38277.105),(35 38304.23),(36 38239.664),(37 38285.125),(38 38500.887),(39 38242.105),(40 38183.44),(41 38475.676),(42 38698.49),(43 38658.234),(44 38501.32),(45 38835.51),(46 39025.56),(47 38990.742),(48 38992.32),(49 39111.42),(50 39237.254),(51 39962.56),(52 40557.03),(53 40580.492),(54 40270.7),(55 40275.22),(56 40063.25),(57 40155.18),(58 40067.3),(59 39705.43),(60 40329.9),(61 41025.41),(62 41519.316),(63 41834.645),(64 41685.03),(65 41348.74),(66 41001.977),(67 40890.99),(68 40779.277),(69 40816.88),(70 41339.18),(71 41696.242),(72 41541.133),(73 41480.71),(74 41439.688),(75 41643.234),(76 42695.523),(77 42917.13),(78 43136.734),(79 43262.97),
(1 6636.914),(2 14149.521),(3 19073.744),(4 23365.629),(5 26405.006),(6 28341.795),(7 30073.549),(8 31681.738),(9 32654.787),(10 33605.563),(11 34658.355),(12 34973.652),(13 35291.8),(14 35880.977),(15 36095.473),(16 36132.547),(17 36555.074),(18 36462.1),(19 36496.414),(20 36688.92),(21 36970.426),(22 37095.04),(23 37447.285),(24 37419.47),(25 37615.137),(26 37353.156),(27 37400.89),(28 37222.418),(29 36397.684),(30 35862.574),(31 35734.56),(32 35643.258),(33 35224.68),(34 35154.4),(35 34970.96),(36 35065.484),(37 35307.188),(38 35435.98),(39 35780.82),(40 36066.742),(41 36109.074),(42 36487.418),(43 36834.773),(44 36580.875),(45 37024.152),(46 37326.76),(47 36955.066),(48 36605.766),(49 36970.605),(50 37013.887),(51 37067.953),(52 37265.3),(53 37215.97),(54 37315.246),(55 37552.504),(56 37330.066),(57 37090.15),(58 37090.227),(59 37275.234),(60 37590.98),(61 37930.34),(62 38329.383),(63 38599.965),(64 38741.8),(65 38718.234),(66 38663.043),(67 38712.453),(68 38920.184),(69 39629.523),(70 39838.03),(71 39898.35),(72 39982.58),(73 39903.387),(74 39602.313),(75 39694.766),(76 39681.91),(77 39531.848),(78 39240.57),(79 39461.152),
(1 6238.856),(2 13326.48),(3 18197.002),(4 21974.238),(5 25060.002),(6 27052.654),(7 28718.068),(8 30358.541),(9 31612.145),(10 32288.568),(11 33062.105),(12 33533.836),(13 34193.527),(14 34433.668),(15 34725.04),(16 34725.14),(17 34805.066),(18 34951.188),(19 35474.195),(20 35946.953),(21 36222.195),(22 36369.72),(23 36525.383),(24 36540.52),(25 36833.086),(26 36718.523),(27 36777.49),(28 36886.684),(29 36627.605),(30 36217.813),(31 36157.457),(32 36119.38),(33 35859.695),(34 35822.29),(35 35524.72),(36 35460.773),(37 35683.45),(38 35463.68),(39 35312.844),(40 35400.83),(41 35788.16),(42 35789.813),(43 36018.848),(44 36685.305),(45 37477.496),(46 37572.887),(47 37492.055),(48 37702.816),(49 37860.49),(50 37800.594),(51 37302.64),(52 37005.94),(53 36956.324),(54 36898.066),(55 36862.996),(56 36428.426),(57 36074.73),(58 36225.87),(59 36686.453),(60 37076.09),(61 37542.22),(62 37405.254),(63 37654.71),(64 37663.973),(65 37375.945),(66 37172.395),(67 37323.21),(68 37651.273),(69 38343.44),(70 38450.98),(71 38834.973),(72 39096.406),(73 39163.26),(74 39045.645),(75 39169.78),(76 39298.527),(77 39348.33),(78 39437.43),(79 39501.195),
(1 6142.9766),(2 13024.539),(3 17826.018),(4 21649.408),(5 24913.822),(6 26924.76),(7 28421.922),(8 29835.209),(9 30870.102),(10 31519.938),(11 32388.516),(12 32725.227),(13 33079.57),(14 33058.824),(15 33288.7),(16 33191.137),(17 33224.11),(18 33231.105),(19 33429.086),(20 33648.965),(21 33681.605),(22 33379.332),(23 33358.285),(24 33273.207),(25 33496.754),(26 33490.645),(27 33541.383),(28 34001.387),(29 34086.613),(30 34144.58),(31 34540.484),(32 34309.406),(33 34092.395),(34 34061.875),(35 33914.223),(36 34008.785),(37 34327.273),(38 34424.184),(39 34166.27),(40 34100.504),(41 34118.668),(42 33977.62),(43 34029.066),(44 34052.598),(45 34369.13),(46 34562.332),(47 34426.69),(48 34795.074),(49 35356.957),(50 35436.316),(51 35563.168),(52 35813.81),(53 35633.215),(54 35658.668),(55 35977.008),(56 35885.43),(57 35835.215),(58 35920.402),(59 35906.016),(60 36268.176),(61 36457.44),(62 36165.473),(63 36113.316),(64 36157.7),(65 35872.344),(66 35580.156),(67 35539.215),(68 35714.863),(69 36194.977),(70 36542.38),(71 37052.176),(72 37470.688),(73 38115.13),(74 38573.168),(75 38940.113),(76 39008.13),(77 39008.223),(78 39152.285),(79 39313.285),
(1 6190.287),(2 13184.75),(3 17826.89),(4 21802.836),(5 25058.686),(6 26989.8),(7 28471.871),(8 29973.143),(9 31169.701),(10 31916.588),(11 32625.15),(12 33012.17),(13 33298.535),(14 33608.42),(15 33614.98),(16 33491.14),(17 33505.03),(18 33233.957),(19 33373.85),(20 33190.336),(21 33152.984),(22 33262.055),(23 33218.79),(24 33426.773),(25 33716.504),(26 33939.438),(27 34039.95),(28 34381.61),(29 34388.906),(30 34292.094),(31 34207.746),(32 34271.51),(33 34270.758),(34 34181.55),(35 33659.42),(36 33636.816),(37 33959.56),(38 33602.508),(39 33625.99),(40 33806.086),(41 33519.066),(42 33406.01),(43 33392.777),(44 33370.184),(45 33760.473),(46 34120.297),(47 34307.246),(48 34573.402),(49 34982.813),(50 35568.332),(51 35665.47),(52 36124.02),(53 36357.324),(54 36648.594),(55 36877.84),(56 36710.496),(57 36880.055),(58 37148.59),(59 37370.582),(60 38097.81),(61 38558.57),(62 38261.727),(63 37795.414),(64 37605.81),(65 37525.105),(66 37387.027),(67 37344.668),(68 37538.97),(69 37301.676),(70 37426.46),(71 37458.586),(72 37718.984),(73 38357.93),(74 39108.117),(75 39478.11),(76 39462.402),(77 39476.35),(78 39435.996),(79 39489.97),
(1 6273.832),(2 13216.485),(3 17765.771),(4 21567.691),(5 24766.813),(6 26630.715),(7 28034.744),(8 29659.494),(9 30537.44),(10 31017.754),(11 31668.82),(12 32159.754),(13 32588.783),(14 33002.117),(15 33054.5),(16 32929.34),(17 32823.91),(18 32884.75),(19 33065.223),(20 33270.684),(21 33066.57),(22 33126.15),(23 33091.434),(24 33011.094),(25 33331.625),(26 33465.53),(27 33704.54),(28 33960.695),(29 33913.29),(30 33985.547),(31 33937.56),(32 33719.535),(33 33623.195),(34 33466.188),(35 33137.035),(36 33135.324),(37 33205.59),(38 33083.313),(39 33247.156),(40 33308.766),(41 33403.688),(42 33501.707),(43 33544.02),(44 33519.496),(45 33591.535),(46 34057.723),(47 34496.777),(48 34527.855),(49 34722.82),(50 34978.64),(51 35190.76),(52 35285.67),(53 35398.77),(54 35081.91),(55 34743.28),(56 34515.785),(57 34697.684),(58 34925.02),(59 34793.47),(60 35192.555),(61 35596.996),(62 35814.184),(63 36006.215),(64 36220.473),(65 36026.71),(66 36299.57),(67 36615.316),(68 36719.418),(69 36620.48),(70 36921.12),(71 36806.19),(72 37109.113),(73 37584.82),(74 38108.98),(75 38845.184),(76 39721.867),(77 40001.33),(78 39792.855),(79 39721.074),
(1 6005.2607),(2 12538.329),(3 17130.521),(4 20918.736),(5 23818.13),(6 25433.686),(7 26605.943),(8 27713.643),(9 28452.467),(10 29154.973),(11 29890.451),(12 30415.36),(13 30703.469),(14 30823.725),(15 30885.018),(16 31066.459),(17 31187.215),(18 31293.592),(19 31344.734),(20 31560.807),(21 31723.043),(22 31955.906),(23 32060.81),(24 32140.375),(25 32263.734),(26 32517.355),(27 32789.207),(28 32917.76),(29 32795.594),(30 32739.035),(31 32760.434),(32 32760.385),(33 33005.188),(34 33007.62),(35 33042.434),(36 33081.605),(37 33113.48),(38 32890.344),(39 32738.867),(40 32871.652),(41 32948.496),(42 32938.902),(43 33204.035),(44 33188.363),(45 33219.93),(46 33632.34),(47 34110.04),(48 34307.895),(49 34362.754),(50 34549.332),(51 34608.01),(52 34651.37),(53 34593.438),(54 34462.797),(55 34440.066),(56 34506.277),(57 34691.465),(58 34693.52),(59 34272.695),(60 34120.73),(61 34065.52),(62 34080.813),(63 34236.875),(64 34196.047),(65 33820.566),(66 33922.03),(67 34058.61),(68 33849.29),(69 33865.723),(70 33823.17),(71 34011.688),(72 34587.42),(73 34623.22),(74 34559.04),(75 35075.305),(76 36143.836),(77 36597.844),(78 36752.49),(79 36942.152),
(1 5707.8955),(2 11883.974),(3 16151.853),(4 19604.012),(5 22581.71),(6 23982.236),(7 24859.748),(8 25816.553),(9 26618.857),(10 27321.059),(11 28105.406),(12 28360.436),(13 28772.39),(14 28974.656),(15 28702.305),(16 28779.313),(17 28920.012),(18 29022.738),(19 28976.445),(20 29030.467),(21 28825.37),(22 28808.568),(23 29076.93),(24 29196.988),(25 29519.305),(26 29811.523),(27 30041.068),(28 30293.377),(29 30467.918),(30 30592.676),(31 30791.477),(32 30819.018),(33 30917.887),(34 30796.992),(35 30761.611),(36 30565.207),(37 30309.59),(38 30121.041),(39 29972.889),(40 30066.97),(41 29972.854),(42 30065.145),(43 30409.48),(44 30398.793),(45 30382.135),(46 30448.385),(47 30926.29),(48 31249.787),(49 31082.63),(50 31319.67),(51 31560.42),(52 31608.688),(53 31778.785),(54 31749.326),(55 31714.922),(56 31665.488),(57 31732.365),(58 31948.346),(59 31522.717),(60 31691.28),(61 31867.62),(62 31787.012),(63 31886.234),(64 31938.426),(65 31595.613),(66 31574.252),(67 31816.346),(68 31654.387),(69 31693.297),(70 31789.412),(71 31975.52),(72 32132.313),(73 32237.652),(74 32051.754),(75 32150.656),(76 32796.84),(77 33130.29),(78 33378.977),(79 33564.82),
(1 5781.4424),(2 11975.503),(3 16238.152),(4 19495.342),(5 22379.887),(6 23873.213),(7 25301.559),(8 26587.588),(9 27119.65),(10 27421.895),(11 28142.945),(12 28229.213),(13 28355.6),(14 28655.459),(15 28544.313),(16 28582.457),(17 28457.867),(18 28333.236),(19 28413.256),(20 28826.473),(21 28758.068),(22 28891.582),(23 28736.713),(24 28670.057),(25 28965.549),(26 29113.994),(27 29419.805),(28 29531.355),(29 29561.273),(30 29763.371),(31 29880.566),(32 29821.516),(33 29816.678),(34 29770.025),(35 29578.959),(36 29570.361),(37 29438.076),(38 29375.787),(39 29352.494),(40 29598.795),(41 29901.107),(42 29883.924),(43 29855.5),(44 29687.703),(45 29612.395),(46 29591.852),(47 30036.424),(48 30049.924),(49 29948.104),(50 30192.574),(51 30517.287),(52 30898.61),(53 31064.016),(54 30844.768),(55 30751.535),(56 30974.4),(57 30936.08),(58 31079.2),(59 31189.729),(60 31247.813),(61 31249.732),(62 31143.178),(63 31058.287),(64 30769.756),(65 30543.408),(66 30815.11),(67 31462.287),(68 31428.854),(69 31546.252),(70 32076.387),(71 32207.813),(72 32258.654),(73 32418.637),(74 32457.2),(75 32606.805),(76 33298.383),(77 33681.094),(78 33977.13),(79 34248.758),
