1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 8507.881),(2 23974.79),(3 39517.56),(4 51339.61),(5 60585.605),(6 67115.27),(7 73440.28),(8 78751.79),(9 84031.31),(10 89387.08),(11 94511.5),(12 99047.15),(13 102075.62),(14 104587.59),(15 106639.945),(16 109115.87),(17 111065.78),(18 112676.836),(19 114292.734),(20 114446.18),(21 115087.305),(22 115242.914),(23 113862.07),(24 112631.945),(25 111989.12),(26 111494.195),(27 112523.24),(28 113841.39),(29 113934.78),(30 113393.18),(31 111927.664),(32 110456.04),(33 110644.98),(34 110971.23),(35 111689.1),(36 113096.914),(37 113997.5),(38 114640.17),(39 115529.76),(40 116026.16),(41 116456.68),(42 116506.195),(43 115496.56),(44 115049.09),(45 115844.07),(46 116787.04),(47 117669.07),(48 119246.95),(49 120183.83),(50 121839.625),(51 122857.23),(52 122383.195),(53 122132.55),(54 121266.85),(55 120322.68),(56 119789.39),(57 119177.766),(58 118372.49),(59 119641.53),(60 120124.59),(61 120471.41),(62 121973.484),(63 122788.875),(64 123356.14),(65 123919.11),(66 124848.94),(67 126260.72),(68 127837.93),(69 128478.12),(70 129710.94),(71 131266.81),(72 132843.61),(73 134408.73),(74 135783.17),(75 136254.38),(76 137017.9),(77 137511.55),(78 137193.83),(79 137781.55),
(1 8727.899),(2 24951.06),(3 41219.457),(4 53452.734),(5 63047.703),(6 70270.74),(7 78022.99),(8 84837.3),(9 91046.57),(10 97042.555),(11 102612.766),(12 108132.734),(13 112706.69),(14 115351.04),(15 117196.34),(16 119048.016),(17 118900.06),(18 118627.766),(19 118466.28),(20 117605.12),(21 117418.35),(22 117326.24),(23 116942.85),(24 116759.23),(25 117682.79),(26 118665.12),(27 119836.23),(28 121331.42),(29 121283),(30 120452.21),(31 118913.28),(32 118284.88),(33 118029.76),(34 117743.57),(35 117740.195),(36 117983.18),(37 117687.83),(38 117200.664),(39 117551.4),(40 116953.85),(41 116754.25),(42 116658.05),(43 115788.97),(44 114757.164),(45 114078.63),(46 113408.555),(47 113429.21),(48 114154.586),(49 115360.37),(50 116677.63),(51 118369.21),(52 119655.06),(53 120454.39),(54 120450.734),(55 120300.32),(56 120794.64),(57 121870.234),(58 122599.19),(59 124045.31),(60 124172.164),(61 124634.32),(62 125371.77),(63 124683.9),(64 124895.516),(65 125578.31),(66 124904.21),(67 124464.87),(68 124161.14),(69 123130.52),(70 123036.97),(71 123515.85),(72 123805.14),(73 124706.664),(74 125610.57),(75 126077),(76 126617.086),(77 127012.016),(78 127350.23),(79 127862.15),
(1 8104.989),(2 22811.78),(3 37968.02),(4 49521.234),(5 58748.87),(6 65601.72),(7 71896.195),(8 77041.8),(9 81651.98),(10 85908.945),(11 89731.46),(12 93924.08),(13 97559.95),(14 100235.34),(15 102102.27),(16 103963.66),(17 103549.48),(18 102953.95),(19 103030.62),(20 102922.38),(21 103686.24),(22 104597.8),(23 104826.38),(24 105006.3),(25 106103.21),(26 107197.36),(27 109097.98),(28 111164.06),(29 112045.67),(30 112545.07),(31 112136.12),(32 111825.945),(33 111828.625),(34 110938.234),(35 111062.51),(36 111718.72),(37 112024.93),(38 112827.98),(39 113925.3),(40 114975.266),(41 115795.36),(42 115956.99),(43 115660.18),(44 115464.195),(45 115323.766),(46 115109.766),(47 115174.37),(48 115277.766),(49 115663.805),(50 115879.766),(51 116374.16),(52 116099.9),(53 115837.22),(54 115982.055),(55 115781.53),(56 115885.92),(57 115408.86),(58 115461.164),(59 115987.84),(60 114457.79),(61 113625.375),(62 113887.266),(63 113485.92),(64 113261.87),(65 112920.58),(66 112041.766),(67 111689.516),(68 111681.02),(69 111382.35),(70 111449.83),(71 111793.83),(72 111950.98),(73 112139.06),(74 111765.305),(75 111007.555),(76 110927.516),(77 111154.42),(78 111022.484),(79 110811.57),
(1 8160.5337),(2 23147.475),(3 38199.58),(4 50067.773),(5 60222.906),(6 67636.055),(7 74332.45),(8 79656.875),(9 83846.58),(10 87859.42),(11 91125.47),(12 94945.04),(13 98559.66),(14 101135.82),(15 103044.5),(16 105495.5),(17 106627.516),(18 106950.09),(19 107784.41),(20 108093.11),(21 108507.89),(22 109251.125),(23 108942.05),(24 108655.195),(25 109083.695),(26 109094.14),(27 110160.67),(28 111552.3),(29 111961.13),(30 113235.95),(31 113430.88),(32 113870.14),(33 114741.734),(34 114950.805),(35 115220.87),(36 114814.57),(37 113869.195),(38 114013.92),(39 114214.66),(40 114296.77),(41 114387.66),(42 114998.09),(43 114506.08),(44 114621.49),(45 115103.43),(46 115456.336),(47 116603.79),(48 117850.08),(49 118521.72),(50 119244.92),(51 120386.07),(52 120314.52),(53 119244.4),(54 118772.875),(55 119013.62),(56 119622.12),(57 119281.2),(58 118829.375),(59 119424.34),(60 119998.37),(61 120735.83),(62 122279.945),(63 123298.21),(64 123815.42),(65 123475.02),(66 122243.7),(67 121298.31),(68 120775.914),(69 120632.4),(70 120705.05),(71 121210.1),(72 122049.13),(73 123762.07),(74 125397.63),(75 126157.36),(76 126683.83),(77 127876.8),(78 128303.42),(79 128532.695),
(1 7832.6387),(2 21754.457),(3 35777.527),(4 46722.137),(5 56409.875),(6 63214.11),(7 70092.3),(8 76219.97),(9 81250.66),(10 85215.15),(11 87809.89),(12 90568.77),(13 93821.85),(14 97040.86),(15 99649.49),(16 102329.73),(17 103876.55),(18 104794.68),(19 105834.66),(20 105862.85),(21 106015.53),(22 106707.65),(23 106683.03),(24 106632.734),(25 106714.695),(26 106173.57),(27 106100.695),(28 106171.56),(29 105933.26),(30 106773.76),(31 107734.54),(32 109089.45),(33 110761.555),(34 111849.1),(35 112398.75),(36 112390.945),(37 111183.74),(38 110712.34),(39 110857.02),(40 110310.164),(41 109386.59),(42 108937.06),(43 107821.89),(44 107071.71),(45 107679.99),(46 108187.195),(47 108962.36),(48 110324.086),(49 111561.91),(50 112453.05),(51 113389.46),(52 113519.07),(53 113194.93),(54 113533.3),(55 114624.41),(56 116025.8),(57 116396.34),(58 116741.75),(59 118058.88),(60 118446.18),(61 119270.45),(62 120167.46),(63 120003.03),(64 119777.21),(65 119561.875),(66 119057.695),(67 118605.71),(68 118937.38),(69 119000.375),(70 119092.29),(71 119660.8),(72 120522.45),(73 121362.04),(74 122787.08),(75 122972.14),(76 122972.54),(77 122450.88),(78 121503.78),(79 120893.836),
(1 7543.381),(2 20851.252),(3 34656.043),(4 45679.316),(5 55741.195),(6 63058.17),(7 70334.16),(8 76254.195),(9 81411.484),(10 85721.74),(11 89354.336),(12 92380.14),(13 95803.125),(14 97898.89),(15 99460.47),(16 100690.47),(17 101430.57),(18 101620.19),(19 102233.53),(20 102958.18),(21 103659.914),(22 104327.49),(23 104731.734),(24 104528.414),(25 105095.75),(26 105066.26),(27 105535.22),(28 106737.99),(29 106860.36),(30 106449.71),(31 106779.65),(32 107576.05),(33 109047.42),(34 109893.53),(35 110272.92),(36 110130.34),(37 108746.99),(38 108226.51),(39 108224.89),(40 107285.76),(41 106704.62),(42 106558.055),(43 106013.83),(44 105210.04),(45 104575.66),(46 104566.04),(47 104699.96),(48 105347.13),(49 104586.36),(50 104226.19),(51 104743.39),(52 104412.16),(53 105091.016),(54 106225.96),(55 107011.36),(56 108379.58),(57 110002.47),(58 110436.48),(59 111134.875),(60 111340.82),(61 111092.164),(62 111566.13),(63 111612.33),(64 111666.38),(65 112184.1),(66 111952.8),(67 112881.83),(68 114270.62),(69 114827.59),(70 115836.6),(71 117120.29),(72 117674.45),(73 118106.586),(74 119639.18),(75 119947.2),(76 120016.71),(77 120107.26),(78 119900.97),(79 120113.25),
(1 7715.2686),(2 21247.277),(3 34950.605),(4 45481.547),(5 54745.594),(6 62217.992),(7 69009.55),(8 74817.27),(9 80332.375),(10 85609.05),(11 90442.49),(12 94133.2),(13 97641.414),(14 99475.766),(15 101391.43),(16 103138.305),(17 103535.22),(18 103379.375),(19 103462.31),(20 103319.13),(21 103130.89),(22 103154.29),(23 102461.37),(24 101966.07),(25 101991.54),(26 101957.375),(27 102228.34),(28 102845.11),(29 102382.27),(30 103009.7),(31 103588.67),(32 104273.97),(33 105441.6),(34 106205.8),(35 106772.695),(36 107095.48),(37 106883.7),(38 107237.25),(39 108544.6),(40 109163.4),(41 109902.57),(42 110207.6),(43 109595.87),(44 109221.555),(45 109448.27),(46 109809.695),(47 110379.14),(48 111258.34),(49 110910.33),(50 110532.195),(51 110113.5),(52 109588.71),(53 109984.58),(54 111081.55),(55 111479.37),(56 112423.06),(57 113845.63),(58 115160.98),(59 115673.414),(60 114980.55),(61 114370.55),(62 114315.73),(63 113825.71),(64 113568.28),(65 113316.22),(66 111958.9),(67 110700.45),(68 110182.98),(69 109303.766),(70 108904.45),(71 109009.8),(72 108693.87),(73 108439.1),(74 108797.74),(75 108756.89),(76 108403.086),(77 107669.18),(78 106713.34),(79 106017.58),
(1 7191.0015),(2 19703.225),(3 32296.807),(4 41966.652),(5 50361.684),(6 56993.633),(7 63016.156),(8 68346.836),(9 72933.17),(10 77340.164),(11 80811.28),(12 83849.64),(13 86878.695),(14 88751.65),(15 90633.91),(16 92649.86),(17 93103.18),(18 93493.21),(19 94086.78),(20 94151.4),(21 94146.36),(22 94857.09),(23 94341.24),(24 94275.6),(25 94481.58),(26 93591.19),(27 93012.67),(28 92696.87),(29 91939.58),(30 90952.48),(31 90288.06),(32 90083.8),(33 90045),(34 89415.68),(35 88828.09),(36 88965.06),(37 88627.68),(38 89131.99),(39 90077.07),(40 90313.61),(41 89877.055),(42 89697.65),(43 89011.28),(44 88459.164),(45 88634.82),(46 88835.29),(47 89043.29),(48 90252.484),(49 90820.22),(50 92056.5),(51 93692.39),(52 94139.484),(53 94441.79),(54 95463.13),(55 96759.48),(56 98389.67),(57 99075.8),(58 99433.2),(59 99559.91),(60 99116.016),(61 99656.34),(62 100507.54),(63 100820.67),(64 100796.32),(65 100942.54),(66 100305.586),(67 99799.68),(68 99572.71),(69 98443.2),(70 98324.84),(71 98991.62),(72 98845.03),(73 98445.055),(74 98057.04),(75 97685.86),(76 97801.3),(77 98158.85),(78 98117.93),(79 98219.4),
(1 6819.5366),(2 18682.361),(3 31025.545),(4 40677.832),(5 48804.875),(6 54891.527),(7 60615.82),(8 65378.535),(9 69892.414),(10 74465.37),(11 78243.3),(12 82001.97),(13 85461.21),(14 87943.36),(15 90052.555),(16 92110.664),(17 93208),(18 94356.64),(19 95800.05),(20 96302.62),(21 96733.984),(22 97556.48),(23 97365.77),(24 97011.38),(25 96876.71),(26 96249.984),(27 95868.05),(28 95550.234),(29 94394.8),(30 93878.64),(31 93770.04),(32 94458.45),(33 95530.53),(34 96349.305),(35 96863.914),(36 97653.81),(37 97396.85),(38 97665.21),(39 98473.18),(40 98380.19),(41 98380.18),(42 98607.13),(43 98172.03),(44 97951.83),(45 97867.21),(46 96871.09),(47 95773.98),(48 95778.8),(49 95773.29),(50 95627.6),(51 95994.97),(52 96201.96),(53 96539.82),(54 97428.51),(55 98477.86),(56 99937.63),(57 100556.73),(58 100968.05),(59 101888.05),(60 102409.26),(61 102553.875),(62 103198.78),(63 102788.055),(64 102992.59),(65 103580.93),(66 103367.305),(67 102997.8),(68 102652.586),(69 101907.52),(70 101417.2),(71 101410.89),(72 101126.53),(73 101304.85),(74 101283.125),(75 100272.48),(76 99591.734),(77 100227.91),(78 101239.5),(79 102183.65),
(1 6601.492),(2 18084.156),(3 29794.744),(4 39443.426),(5 48625.395),(6 55527.75),(7 61914.49),(8 67025.39),(9 70962.58),(10 74155.83),(11 76330.836),(12 78633.04),(13 80768.4),(14 82320.9),(15 84036.44),(16 85546.195),(17 86407.484),(18 87368.05),(19 88437.37),(20 88488.586),(21 88582.11),(22 88709.1),(23 87978.87),(24 87072.94),(25 86728.67),(26 85680.625),(27 85077.31),(28 84673.75),(29 84118.63),(30 85077.63),(31 85667.53),(32 86377.04),(33 87036.23),(34 87682.81),(35 88267.78),(36 88624.375),(37 88432.26),(38 88448.51),(39 89614.03),(40 90303.734),(41 91091.52),(42 91820.33),(43 91672.484),(44 91684.234),(45 92305.14),(46 92868.86),(47 93475.586),(48 94202.57),(49 93863.38),(50 93873.9),(51 94036.78),(52 93424.03),(53 93257.14),(54 93941.7),(55 94512.195),(56 94551.71),(57 93848.77),(58 93413.13),(59 93589.43),(60 93395.15),(61 93393.53),(62 94497.53),(63 94346.07),(64 94132.58),(65 94872.27),(66 95151.414),(67 95798.98),(68 95725.51),(69 94773.66),(70 94562.766),(71 95076.82),(72 95170.39),(73 95683.48),(74 96079.6),(75 95937.25),(76 95851.42),(77 95657.83),(78 95771.61),(79 96061.17),
(1 6416.693),(2 17057.322),(3 27806.77),(4 36478.42),(5 44754.88),(6 51255.953),(7 57526.203),(8 62496.25),(9 66631.36),(10 70477.03),(11 73626.664),(12 76110.14),(13 77913.875),(14 78832.76),(15 80489.38),(16 81981.64),(17 82668.15),(18 82967.47),(19 83752.49),(20 83845.94),(21 84856.55),(22 85667.08),(23 85510.39),(24 84876.86),(25 84629.63),(26 83328.38),(27 83282.9),(28 83566.79),(29 83367.81),(30 84116.664),(31 84676.42),(32 85608.28),(33 86668.78),(34 87496.76),(35 88309.1),(36 89100.695),(37 89039.08),(38 89225.5),(39 90014.555),(40 90035.47),(41 89941.21),(42 89721.914),(43 89377.66),(44 89342.14),(45 89947.15),(46 89643.09),(47 89275.92),(48 88817.836),(49 88278.18),(50 88136.445),(51 88827.88),(52 89001.47),(53 88949.22),(54 89062.45),(55 90399.31),(56 91311.6),(57 91870.86),(58 91712.266),(59 91615.586),(60 91848.695),(61 92156.6),(62 93131.055),(63 93734.875),(64 94396.99),(65 95174.11),(66 95174.336),(67 96286),(68 97100.73),(69 97505.586),(70 98097.15),(71 99676.16),(72 100798.41),(73 101516.63),(74 101587.88),(75 101527.01),(76 101896.99),(77 102197.7),(78 101958.93),(79 102051.305),
(1 6378.6094),(2 17196.13),(3 28183.3),(4 36638.996),(5 44449.734),(6 49987.313),(7 55014.457),(8 59127.11),(9 62749.445),(10 66570.266),(11 69245.414),(12 71478.94),(13 73926.414),(14 75288.99),(15 76646.49),(16 78174.055),(17 78823.62),(18 79732.66),(19 81072.36),(20 81774.97),(21 82836.1),(22 83397.484),(23 82917.25),(24 82442.02),(25 82542.93),(26 82427.336),(27 82966.16),(28 83406.99),(29 83111.42),(30 83747.586),(31 84144.61),(32 84974.516),(33 86191.445),(34 87087.07),(35 87793.6),(36 88700.59),(37 88502.23),(38 88812.34),(39 89020.25),(40 88602.336),(41 88656.51),(42 88892.76),(43 88128.21),(44 87312.55),(45 86745.91),(46 86329.555),(47 86266.664),(48 86194.06),(49 85647.88),(50 86075.22),(51 86337.336),(52 86826.21),(53 87827.055),(54 88533.79),(55 89529.07),(56 90231.84),(57 89840.5),(58 89619.05),(59 89974.016),(60 90364.08),(61 91013.4),(62 91765.28),(63 91942.27),(64 92656.81),(65 93821.56),(66 93720.88),(67 94250.82),(68 94155.055),(69 94436.164),(70 95052.42),(71 95716.125),(72 95692.66),(73 95521.7),(74 95404.95),(75 94891.09),(76 95628.43),(77 96819.67),(78 96813.875),(79 96712.66),
(1 6309.2905),(2 17065.678),(3 27599.145),(4 36199.53),(5 43662.652),(6 48840.06),(7 53554.625),(8 57661.324),(9 60737.21),(10 64223.934),(11 67034.06),(12 69497.41),(13 71545.09),(14 72306.96),(15 72956.08),(16 73814.664),(17 73832.484),(18 74115),(19 75508.77),(20 77048.586),(21 78368.29),(22 79488.15),(23 79525.125),(24 79797.875),(25 80532.445),(26 80854.8),(27 81251.51),(28 81865.914),(29 81774.14),(30 82412.37),(31 82895.43),(32 83419.83),(33 84354.8),(34 85437.4),(35 86137.3),(36 86987.47),(37 87001.875),(38 87170.6),(39 87007.445),(40 86438.88),(41 85721.56),(42 85037.61),(43 83822.56),(44 83929.05),(45 84490.85),(46 84637.95),(47 84450.25),(48 84364.07),(49 84251.8),(50 84927.18),(51 85990.6),(52 86196.72),(53 87178.805),(54 88085.36),(55 88868.9),(56 89639.84),(57 90070.68),(58 90426.53),(59 91448.13),(60 92219.99),(61 92741.84),(62 93585.25),(63 94196.164),(64 94803.19),(65 95246.6),(66 94657.8),(67 94428.516),(68 94684.18),(69 94184.37),(70 94086.01),(71 94149.055),(72 93979.38),(73 94055.47),(74 94195.836),(75 93671.6),(76 93330.83),(77 93707.87),(78 93570.03),(79 93470.21),
(1 6501.773),(2 17641.209),(3 28710.291),(4 37513.4),(5 45196.934),(6 50977.88),(7 56497.355),(8 60813.883),(9 64511.563),(10 67991.07),(11 70381.39),(12 72769.46),(13 74920.78),(14 76010.414),(15 77096.27),(16 78041.55),(17 78084.805),(18 78401.25),(19 79170.18),(20 79723.43),(21 79991.35),(22 80722.14),(23 80694.35),(24 80870.36),(25 81559.7),(26 82522.67),(27 83369.25),(28 84204.16),(29 84476.17),(30 84872.586),(31 84987.03),(32 85138.016),(33 85268),(34 85662.04),(35 86362.32),(36 86854.39),(37 86421.41),(38 86814.016),(39 87055.07),(40 86694.46),(41 86303.43),(42 85895.42),(43 85459.52),(44 86145.836),(45 87022.54),(46 87106.14),(47 87263.125),(48 87228.03),(49 86493.74),(50 86528.54),(51 86322.35),(52 85828.24),(53 85601.81),(54 85240.914),(55 85386.54),(56 85708.164),(57 85486.59),(58 85536.12),(59 86429.63),(60 86465.46),(61 87132.08),(62 88107.02),(63 88496.664),(64 89725.6),(65 91022.93),(66 91248.67),(67 90384.24),(68 90365.3),(69 90154.516),(70 90199.055),(71 90334.305),(72 89992.08),(73 89886.82),(74 90072.125),(75 90012.266),(76 90793.65),(77 91877.57),(78 91982.43),(79 92322.66),
(1 6235.4727),(2 16729.387),(3 27002.941),(4 35025.625),(5 42099.594),(6 47519.113),(7 52620.38),(8 56287.598),(9 59169.773),(10 61682.793),(11 63487.617),(12 65281.094),(13 67327.336),(14 68720.6),(15 69750.21),(16 70357.164),(17 69897.7),(18 70087.08),(19 71318.48),(20 72118.72),(21 72673.21),(22 73717.766),(23 74255.86),(24 74585.84),(25 75326.77),(26 75632.445),(27 76352.46),(28 77101.65),(29 77223.836),(30 77793.305),(31 78735.89),(32 79734.65),(33 80397.49),(34 80169.73),(35 79793.74),(36 79419.63),(37 78731.1),(38 78749.055),(39 79080.67),(40 78493.38),(41 77860.8),(42 77659.65),(43 77809.82),(44 78728.43),(45 80488.086),(46 81472.39),(47 81660.695),(48 81867.73),(49 82101.67),(50 82779.99),(51 83516.2),(52 84079.63),(53 84764.71),(54 85111.4),(55 85035.26),(56 85506.18),(57 85705.664),(58 85274.664),(59 85793.734),(60 86299.81),(61 86294.84),(62 87475.51),(63 88027.29),(64 88653.24),(65 88844.43),(66 88588.26),(67 88599.99),(68 88292.91),(69 87381.766),(70 86796.59),(71 86859.34),(72 87207.65),(73 88276.81),(74 89090.65),(75 89301.914),(76 90230.18),(77 91671.38),(78 92304.13),(79 92162.984),
(1 6153.6797),(2 16420.941),(3 26628.41),(4 34571.54),(5 41200.523),(6 45881.832),(7 50472.9),(8 54570.234),(9 58435.55),(10 62091.594),(11 64418.523),(12 66731.336),(13 69079.68),(14 70909.12),(15 72061.305),(16 72773.41),(17 72569.73),(18 72635.234),(19 73265.88),(20 74067.445),(21 75079.836),(22 76216.37),(23 76364.164),(24 76805.22),(25 77422.19),(26 78295.04),(27 79010.27),(28 79235.43),(29 78280.49),(30 77870.87),(31 77721.62),(32 78229.41),(33 78537.61),(34 78466.35),(35 79232.69),(36 80076.51),(37 80362.805),(38 81069.1),(39 82038.984),(40 82307.03),(41 82184),(42 82202.68),(43 82056.77),(44 82437.72),(45 83516.164),(46 83338.74),(47 82981.086),(48 82633.04),(49 82499.266),(50 82791.17),(51 82890.8),(52 82758.26),(53 82823.07),(54 82715.62),(55 82041.36),(56 81883.516),(57 81432.664),(58 81502.32),(59 81017.62),(60 80966.35),(61 81265.54),(62 82046.43),(63 82434.75),(64 83338.81),(65 84121.195),(66 83996.766),(67 84584.52),(68 85058.55),(69 84465.37),(70 84165.59),(71 84170.93),(72 84351.27),(73 84794.63),(74 85603.78),(75 86065.66),(76 86527.32),(77 87268.07),(78 87534.25),(79 87887.305),
(1 6223.244),(2 16733.42),(3 26874.604),(4 35195.207),(5 42315.5),(6 47349.992),(7 51804.473),(8 55874.094),(9 59421.734),(10 62954.492),(11 65191.504),(12 67607.336),(13 70271.15),(14 72109.79),(15 73834.984),(16 74903.13),(17 75008.63),(18 75356.58),(19 75868.08),(20 76038.27),(21 76279.07),(22 76216.72),(23 75493.81),(24 74723.63),(25 74604.65),(26 75109.37),(27 75795.59),(28 76517.08),(29 75635.13),(30 74771.664),(31 74645.82),(32 74781.664),(33 75322.85),(34 75730.96),(35 76279.34),(36 76917.445),(37 77496.18),(38 78480.54),(39 79506.7),(40 79644.766),(41 79839.68),(42 79952.88),(43 79889.27),(44 80157.516),(45 80845.11),(46 81537.99),(47 81934.28),(48 82713.57),(49 83845.336),(50 84830.83),(51 85020.55),(52 84940.336),(53 85256.82),(54 85700.23),(55 85019.52),(56 84307.47),(57 82829.41),(58 81930.945),(59 81511.33),(60 80835.05),(61 81009.95),(62 81561.664),(63 81229.9),(64 81611.21),(65 81771.11),(66 81232.78),(67 80463.83),(68 79760.37),(69 78216.95),(70 77179.18),(71 76973.03),(72 77126.24),(73 77514.25),(74 78136.305),(75 78760.234),(76 79790.72),(77 81264.82),(78 81934.5),(79 82109.555),
(1 5897.058),(2 15418.515),(3 24713.166),(4 32416.393),(5 39488.37),(6 44179.938),(7 48584.367),(8 52438.06),(9 55608.27),(10 59179.297),(11 61509.223),(12 63735.367),(13 66622.89),(14 68750.03),(15 70475.29),(16 71595.71),(17 71429.62),(18 71062.625),(19 71598.17),(20 71546.43),(21 71858.02),(22 72073.62),(23 71409.57),(24 70993.29),(25 71418.98),(26 72060.97),(27 73057.79),(28 73775.88),(29 73133.734),(30 73787.2),(31 74306.36),(32 74815.95),(33 75083.13),(34 74555.64),(35 74377.76),(36 74692.65),(37 74702.29),(38 75173.64),(39 75580.914),(40 75491.664),(41 75389.91),(42 76075.59),(43 75867.67),(44 76212.695),(45 76269.164),(46 76187.805),(47 76639.97),(48 77592.3),(49 77627.336),(50 77879.19),(51 77717.41),(52 77186.9),(53 77334.43),(54 78049.28),(55 78656.03),(56 79227.65),(57 79101.945),(58 79281.57),(59 80368.016),(60 80497.69),(61 80939.74),(62 82027.445),(63 82277.55),(64 82637.64),(65 82823.766),(66 82266.02),(67 82519),(68 82519.76),(69 81510.94),(70 81115.805),(71 81139.734),(72 81036.92),(73 80649.56),(74 80226.28),(75 79839.945),(76 79682.87),(77 79736.09),(78 79373.914),(79 79448.305),
