1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 331057.7),(2 1307203.6),(3 3094419),(4 5505536.5),(5 8609408),(6 12382443),(7 17006870),(8 22236926),(9 28154202),(10 34888060),(11 42282044),(12 50445196),(13 59243948),(14 68548504),(15 78299820),(16 88406890),(17 98979224),(18 110466264),(19 122207720),(20 134362380),(21 147353660),(22 160377900),(23 172281470),(24 182464110),(25 191848510),(26 200875280),(27 209165060),(28 216590270),(29 223549870),(30 229920720),(31 235040510),(32 239286190),(33 243803710),(34 247108560),(35 249907060),(36 252205650),(37 254065220),(38 255363540),(39 256188270),(40 256308350),(41 255723200),(42 254100180),(43 251927170),(44 249131890),(45 246273920),(46 243289040),(47 240226750),(48 237290670),(49 233766990),(50 230427310),(51 227168770),(52 224548350),(53 222956160),(54 221566800),(55 220451330),(56 219273860),(57 218288460),(58 217427400),(59 216776640),(60 216029010),(61 215708850),(62 215321170),(63 215721090),(64 215958910),(65 216656500),(66 218033730),(67 219742510),(68 221934860),(69 224624510),(70 227766400),(71 231245140),(72 234828370),(73 238281460),(74 241654540),(75 245028400),(76 248185780),(77 251144620),(78 254049200),(79 257411890),
(1 312028),(2 1227069),(3 2757149.5),(4 4885345.5),(5 7617796),(6 10911970),(7 14823258),(8 19313674),(9 24486236),(10 30233504),(11 36619988),(12 43602580),(13 51344390),(14 59789612),(15 68665550),(16 78322560),(17 88625280),(18 99780460),(19 111337450),(20 123201070),(21 135632030),(22 148056530),(23 160212670),(24 171254030),(25 181641700),(26 191218270),(27 200307840),(28 208635140),(29 216506420),(30 224326450),(31 230925700),(32 236890080),(33 242780580),(34 247385700),(35 251259420),(36 254561820),(37 257112880),(38 259049260),(39 260123950),(40 260725890),(41 260387020),(42 259322200),(43 257778430),(44 255888290),(45 254119780),(46 252519860),(47 251298400),(48 250217630),(49 249225650),(50 248750690),(51 247954080),(52 247239940),(53 246861150),(54 246522080),(55 246398770),(56 246320220),(57 246392450),(58 246161660),(59 246250160),(60 246421860),(61 246557950),(62 246701100),(63 247223800),(64 247797300),(65 248581680),(66 249309980),(67 250498140),(68 251970720),(69 253799000),(70 255864160),(71 258131230),(72 260541740),(73 263113220),(74 265811660),(75 268724300),(76 271013220),(77 273703500),(78 276593700),(79 279937400),
(1 401442),(2 1568887.4),(3 3520122.3),(4 6211712),(5 9654743),(6 13738629),(7 18613806),(8 24077862),(9 30097930),(10 36597332),(11 43600176),(12 50969744),(13 58784670),(14 66987920),(15 75404184),(16 84164110),(17 93139704),(18 102439940),(19 111962240),(20 121528250),(21 131233864),(22 140752240),(23 150034290),(24 158380480),(25 166306990),(26 173576430),(27 180537980),(28 186724030),(29 192613570),(30 198093520),(31 202901500),(32 207079340),(33 210420400),(34 212936500),(35 214780860),(36 216248850),(37 217249740),(38 217906130),(39 217717820),(40 217091470),(41 215669460),(42 213700240),(43 211507310),(44 209386060),(45 207699250),(46 206244350),(47 205451780),(48 204972460),(49 204941490),(50 205759060),(51 206604930),(52 207338830),(53 208167180),(54 209118670),(55 210109740),(56 211123330),(57 212289020),(58 213059900),(59 213872180),(60 214588500),(61 215152590),(62 215591860),(63 216135950),(64 216640590),(65 217034480),(66 217190140),(67 217572910),(68 218050240),(69 218574100),(70 219002830),(71 219168560),(72 219259700),(73 219622900),(74 220125500),(75 220745340),(76 221092800),(77 221768700),(78 222596480),(79 223556460),
(1 315890.34),(2 1228629.5),(3 2731989),(4 4734811.5),(5 7266930.5),(6 10247870),(7 13620727),(8 17463538),(9 21676774),(10 26307614),(11 31192000),(12 36448550),(13 42029950),(14 47862004),(15 53852436),(16 59972844),(17 66226860),(18 72574170),(19 78900536),(20 85108460),(21 91309000),(22 97364960),(23 103377370),(24 109176320),(25 114886240),(26 120538710),(27 125905064),(28 131141780),(29 136063860),(30 140593010),(31 144738460),(32 148459550),(33 151440130),(34 153710190),(35 155550530),(36 156972880),(37 158148670),(38 159030420),(39 159349000),(40 159034400),(41 158280620),(42 156964320),(43 155250320),(44 153171280),(45 150856220),(46 148143700),(47 145324830),(48 142248110),(49 139063150),(50 136004300),(51 133020120),(52 130233016),(53 127644120),(54 125227096),(55 123117610),(56 121348950),(57 119806776),(58 118360740),(59 117135310),(60 116089470),(61 115327380),(62 114771930),(63 114560200),(64 114396410),(65 114347704),(66 114330590),(67 114476320),(68 114671800),(69 114960350),(70 115295544),(71 115646820),(72 115999070),(73 116379750),(74 116881016),(75 117437520),(76 117928800),(77 118424060),(78 118827176),(79 119214500),
(1 243221.95),(2 947737.8),(3 2082494.1),(4 3602417),(5 5505906),(6 7700324.5),(7 10172422),(8 12906973),(9 15888346),(10 19103934),(11 22475404),(12 26065422),(13 29845438),(14 33812892),(15 37895904),(16 42126864),(17 46497870),(18 50868044),(19 55221876),(20 59489664),(21 63743292),(22 67812190),(23 71790800),(24 75574010),(25 79261500),(26 82844264),(27 86256620),(28 89543840),(29 92596700),(30 95484744),(31 97984050),(32 100158024),(33 101805384),(34 102998390),(35 103876680),(36 104299450),(37 104535810),(38 104450230),(39 104093900),(40 103228210),(41 102104930),(42 100629680),(43 98779880),(44 96637170),(45 94189300),(46 91466580),(47 88462410),(48 85332020),(49 82033910),(50 78672870),(51 75290136),(52 72112830),(53 69136120),(54 66336836),(55 63861390),(56 61671464),(57 59750630),(58 58088796),(59 56717148),(60 55617204),(61 54843344),(62 54325884),(63 54216470),(64 54311988),(65 54623108),(66 55213136),(67 56020480),(68 56958180),(69 58109864),(70 59393904),(71 60803536),(72 62279360),(73 63637350),(74 64981784),(75 66355984),(76 67658460),(77 68929580),(78 70257656),(79 71639800),
(1 218441.45),(2 848340.6),(3 1882589),(4 3292285.5),(5 5063796),(6 7104349.5),(7 9414511),(8 11847168),(9 14426930),(10 17120270),(11 19854126),(12 22655338),(13 25484944),(14 28326186),(15 31198912),(16 34088310),(17 36960524),(18 39817090),(19 42596172),(20 45253640),(21 47905396),(22 50383772),(23 52805428),(24 55029450),(25 57079840),(26 58842624),(27 60448180),(28 61896744),(29 63142370),(30 64332544),(31 65259628),(32 66058932),(33 66599970),(34 67026410),(35 67435650),(36 67703500),(37 68016850),(38 68184780),(39 68320820),(40 68415400),(41 68516910),(42 68567000),(43 68532140),(44 68292730),(45 67707950),(46 66934390),(47 65976810),(48 64931640),(49 63743372),(50 62555710),(51 61325824),(52 60162316),(53 59007564),(54 57891256),(55 56827330),(56 55714764),(57 54615256),(58 53392148),(59 52192390),(60 50917796),(61 49637044),(62 48316940),(63 46961990),(64 45598380),(65 44295396),(66 43224640),(67 42329830),(68 41675056),(69 41247704),(70 41058264),(71 41132784),(72 41425984),(73 41854950),(74 42426456),(75 43144684),(76 43909004),(77 44750150),(78 45636230),(79 46601544),
(1 194498.89),(2 744905.3),(3 1625998.9),(4 2799359),(5 4230150),(6 5858423.5),(7 7652282),(8 9491222),(9 11403966),(10 13352754),(11 15304487),(12 17315632),(13 19325276),(14 21342582),(15 23391652),(16 25423694),(17 27478422),(18 29522024),(19 31523564),(20 33403822),(21 35206576),(22 36860920),(23 38452590),(24 39903104),(25 41235260),(26 42369636),(27 43330256),(28 44127900),(29 44736016),(30 45182996),(31 45397956),(32 45493584),(33 45477210),(34 45356296),(35 45215892),(36 45038716),(37 44858172),(38 44632220),(39 44354436),(40 44154212),(41 44018364),(42 43864464),(43 43707400),(44 43517076),(45 43325720),(46 43151444),(47 43077530),(48 43050388),(49 43139644),(50 43341510),(51 43586620),(52 43815876),(53 44077316),(54 44374044),(55 44704830),(56 44935160),(57 45053490),(58 45016188),(59 44892720),(60 44557960),(61 44122830),(62 43494108),(63 42775084),(64 41955684),(65 41018536),(66 40036584),(67 39034560),(68 38034136),(69 37101948),(70 36254830),(71 35577436),(72 35016476),(73 34579976),(74 34276664),(75 34177004),(76 34160600),(77 34225852),(78 34316184),(79 34506230),
(1 237453.58),(2 901219.2),(3 1928008),(4 3228208),(5 4731435.5),(6 6339010),(7 7944814.5),(8 9472995),(9 10905538),(10 12243294),(11 13461907),(12 14619159),(13 15712885),(14 16801084),(15 17908530),(16 19080148),(17 20370368),(18 21830426),(19 23375674),(20 24970012),(21 26562088),(22 28061800),(23 29408794),(24 30514162),(25 31348834),(26 31918378),(27 32273716),(28 32447868),(29 32517846),(30 32493176),(31 32399748),(32 32178098),(33 32022462),(34 31923892),(35 31871578),(36 31920346),(37 31962286),(38 32000910),(39 32021164),(40 31996636),(41 31975108),(42 31900024),(43 31786730),(44 31618722),(45 31438112),(46 31266998),(47 31152648),(48 31099772),(49 31135194),(50 31300960),(51 31526674),(52 31885834),(53 32342408),(54 32853148),(55 33414050),(56 33979260),(57 34477816),(58 34919210),(59 35252584),(60 35427544),(61 35460930),(62 35305804),(63 35060236),(64 34798996),(65 34557700),(66 34359256),(67 34304910),(68 34326824),(69 34485944),(70 34788364),(71 35169204),(72 35650816),(73 36197670),(74 36732464),(75 37278410),(76 37771800),(77 38209668),(78 38572976),(79 38902990),
(1 273712.75),(2 1036132.4),(3 2213774),(4 3678530),(5 5329904),(6 7010997.5),(7 8658441),(8 10063745),(9 11262253),(10 12195013),(11 12902535),(12 13424615),(13 13824160),(14 14200413),(15 14627650),(16 15218111),(17 15943371),(18 16882280),(19 18001680),(20 19271192),(21 20684808),(22 22151940),(23 23590246),(24 24885572),(25 25974832),(26 26819572),(27 27490968),(28 27896048),(29 28144784),(30 28228724),(31 28244560),(32 28168480),(33 28137408),(34 28166172),(35 28239780),(36 28368144),(37 28441020),(38 28527472),(39 28524956),(40 28473276),(41 28325616),(42 28074176),(43 27749160),(44 27400304),(45 27126684),(46 26851832),(47 26648588),(48 26476576),(49 26363362),(50 26319606),(51 26317190),(52 26378928),(53 26501838),(54 26614290),(55 26676456),(56 26684342),(57 26544560),(58 26268376),(59 25827700),(60 25262494),(61 24520942),(62 23690912),(63 22822374),(64 21990472),(65 21299666),(66 20781028),(67 20531472),(68 20560082),(69 20887048),(70 21524514),(71 22389856),(72 23437034),(73 24511630),(74 25600304),(75 26601464),(76 27458538),(77 28118106),(78 28617368),(79 28910986),
(1 335003.03),(2 1289131.3),(3 2770268),(4 4633417.5),(5 6730539),(6 8858749),(7 10885006),(8 12580140),(9 13884809),(10 14743613),(11 15248023),(12 15423019),(13 15407605),(14 15292139),(15 15216731),(16 15303317),(17 15581968),(18 16128402),(19 16904648),(20 17847136),(21 18937800),(22 20082786),(23 21172296),(24 22136100),(25 22947036),(26 23539336),(27 23957226),(28 24150528),(29 24135076),(30 23972174),(31 23770518),(32 23605030),(33 23535306),(34 23576220),(35 23729638),(36 23976954),(37 24151350),(38 24305724),(39 24403166),(40 24488842),(41 24528442),(42 24483862),(43 24299016),(44 23996548),(45 23588776),(46 23074802),(47 22527574),(48 22021110),(49 21628088),(50 21434884),(51 21423728),(52 21547062),(53 21783392),(54 22092040),(55 22370568),(56 22618152),(57 22708720),(58 22664360),(59 22417358),(60 22010758),(61 21404148),(62 20661430),(63 19822114),(64 18964974),(65 18200600),(66 17598654),(67 17266976),(68 17239400),(69 17538138),(70 18150130),(71 19083488),(72 20214768),(73 21409984),(74 22629428),(75 23735314),(76 24685316),(77 25321230),(78 25697824),(79 25776634),
(1 385645.25),(2 1485740.3),(3 3205043.3),(4 5330403.5),(5 7683892),(6 10018677),(7 12136511),(8 13821323),(9 15026970),(10 15707780),(11 15912339),(12 15714391),(13 15293668),(14 14800250),(15 14369864),(16 14106721),(17 14089998),(18 14373573),(19 14950418),(20 15767959),(21 16763145),(22 17829684),(23 18901122),(24 19837650),(25 20567080),(26 21023140),(27 21241328),(28 21286184),(29 21265082),(30 21208830),(31 21198248),(32 21267158),(33 21444890),(34 21770822),(35 22233808),(36 22796330),(37 23383318),(38 23973998),(39 24474618),(40 24788084),(41 24879984),(42 24735130),(43 24402204),(44 23905938),(45 23345016),(46 22638802),(47 21884832),(48 21130698),(49 20459960),(50 19934336),(51 19595630),(52 19470806),(53 19516118),(54 19699080),(55 19940902),(56 20199556),(57 20398754),(58 20504720),(59 20461346),(60 20279064),(61 19914616),(62 19398374),(63 18786206),(64 18100294),(65 17434278),(66 16849750),(67 16436173),(68 16273988),(69 16402795),(70 16840904),(71 17563584),(72 18518710),(73 19584668),(74 20642342),(75 21586274),(76 22368548),(77 22862192),(78 23021978),(79 22898160),
