1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 714008.2),(2 1067991.6),(3 1471366.1),(4 1868544.9),(5 2252515.8),(6 2607683.8),(7 2981090.3),(8 3402714.8),(9 3809187.3),(10 3231053.8),(11 3255935.3),(12 3251681.3),(13 3313253.3),(14 3403047),(15 3511021.8),(16 3639858),(17 3768470.3),(18 3854801.8),(19 3904216),(20 3937774),(21 3968401),(22 3849005.3),(23 3703113),(24 3520479),(25 3295528),(26 3025407),(27 2747708.3),(28 2465193.8),(29 2226918.8),(30 1960258),(31 2007884.5),(32 2020715),(33 2067974.9),(34 2135062.5),(35 2135757),(36 2151480),(37 2138730.3),(38 2123256.8),(39 2101949.3),(40 2053366.6),(41 2074621.9),(42 2079447.4),(43 2087235.6),(44 2145567.3),(45 2220987.3),(46 2316557.3),(47 2377820.3),(48 2454106),(49 2543483.8),(50 2579086.8),(51 2610677),(52 2626969.3),(53 2631613.3),(54 2616912.3),(55 2598973.3),(56 2598991.3),(57 2605653.3),(58 2585702),(59 2582663.3),(60 2523892),(61 2492739.3),(62 2445736),(63 2420694.5),(64 2396454.3),(65 2374963),(66 2330044.8),(67 2282474.8),(68 2274682.8),(69 2291338.5),(70 2296390),(71 2335079.3),(72 2376932),(73 2454037.8),(74 2533252.8),(75 2615904.8),(76 2689193.3),(77 2778577.5),(78 2831087),(79 2876738.8),
(1 634481.6),(2 928863.3),(3 1285109.8),(4 1651936.6),(5 1996299.3),(6 2334167.5),(7 2673190.5),(8 3004393.5),(9 3328280.8),(10 2925241),(11 2979291.5),(12 3006351),(13 3102401.5),(14 3228617.5),(15 3359947.5),(16 3492315.3),(17 3624417.5),(18 3718791.3),(19 3800538.5),(20 3884504),(21 3982180),(22 3893078),(23 3801313.3),(24 3706702),(25 3583408.8),(26 3473092),(27 3376606.8),(28 3308966.8),(29 3250496.5),(30 3159689.3),(31 3335606.5),(32 3469620.8),(33 3639291.3),(34 3820770.5),(35 3941697.3),(36 4071664.8),(37 4117822.5),(38 4148775.3),(39 4159728.5),(40 4171107.3),(41 4228267.5),(42 4273347.5),(43 4340478.5),(44 4474253),(45 4563873),(46 4653896),(47 4777581),(48 4870024.5),(49 4986145.5),(50 5081543),(51 5154869),(52 5219193),(53 5316969.5),(54 5416941.5),(55 5495723),(56 5626939.5),(57 5703876.5),(58 5737677.5),(59 5820587.5),(60 5894294.5),(61 6015550.5),(62 6126873.5),(63 6199141),(64 6200533),(65 6206296),(66 6180907.5),(67 6150591),(68 6151879),(69 6173806),(70 6201086.5),(71 6221450),(72 6216329),(73 6202288.5),(74 6216802),(75 6245217),(76 6257217.5),(77 6260268),(78 6229759),(79 6233576),
(1 577665.7),(2 872297.8),(3 1196382.6),(4 1549939.6),(5 1896149.6),(6 2195889.3),(7 2455090.3),(8 2687442),(9 2873246),(10 2537131.8),(11 2548992.8),(12 2570402.3),(13 2622204.8),(14 2690634.8),(15 2782917.8),(16 2884482),(17 2999653.3),(18 3090606.8),(19 3184899.8),(20 3264963),(21 3349289.3),(22 3247529.3),(23 3151681.3),(24 3070840.3),(25 2981872.8),(26 2922637.8),(27 2899170.3),(28 2920945.3),(29 2939147.3),(30 2972967.3),(31 3207208),(32 3415599.3),(33 3608853),(34 3783937.8),(35 3905690.3),(36 3997407),(37 4058583.3),(38 4129177),(39 4200896),(40 4280702.5),(41 4403507),(42 4525864.5),(43 4664840.5),(44 4815606.5),(45 4947709),(46 5057579),(47 5186972),(48 5269546.5),(49 5338419.5),(50 5388045.5),(51 5441393.5),(52 5480011.5),(53 5551916.5),(54 5611810.5),(55 5695219.5),(56 5797707.5),(57 5925965.5),(58 6033870.5),(59 6126275.5),(60 6233291.5),(61 6312000.5),(62 6357280),(63 6369592.5),(64 6354557.5),(65 6341772),(66 6301593.5),(67 6263608),(68 6239782.5),(69 6231541.5),(70 6221565.5),(71 6231394.5),(72 6181067.5),(73 6125844),(74 6045737.5),(75 5939934.5),(76 5822712.5),(77 5678464.5),(78 5499966.5),(79 5312115),
(1 455326.1),(2 670128.56),(3 914913.25),(4 1145818.5),(5 1369808.8),(6 1576515.8),(7 1765996.6),(8 1945303.5),(9 2130430.8),(10 1829343.5),(11 1838700.4),(12 1865437.1),(13 1929882.9),(14 2014057.8),(15 2121429),(16 2226468.3),(17 2336106.5),(18 2425145.5),(19 2515905.3),(20 2588494.8),(21 2655313.5),(22 2638991),(23 2620059),(24 2598110.3),(25 2579881),(26 2584154.8),(27 2591082),(28 2637117.3),(29 2690240.8),(30 2755205),(31 2933314.8),(32 3104701),(33 3269188.3),(34 3422449.8),(35 3569960.3),(36 3700941.5),(37 3813131.5),(38 3924073.8),(39 4014108.5),(40 4104785.8),(41 4195797.5),(42 4297175.5),(43 4368923),(44 4447809),(45 4522188),(46 4629731.5),(47 4717784.5),(48 4813662),(49 4887575),(50 4921245.5),(51 4940660),(52 4965554),(53 4994069.5),(54 5040337),(55 5122557.5),(56 5227290.5),(57 5341072),(58 5455699),(59 5565765.5),(60 5690180.5),(61 5795602),(62 5875769.5),(63 5939958),(64 5992122.5),(65 6033482.5),(66 6055290),(67 6052893.5),(68 6073647),(69 6078646.5),(70 6111062),(71 6149282.5),(72 6168666),(73 6184619),(74 6225693.5),(75 6255657),(76 6312463),(77 6359338.5),(78 6395323),(79 6435913.5),
(1 370541.47),(2 549407),(3 765156.06),(4 977608.56),(5 1193024),(6 1390375.5),(7 1585621.1),(8 1763749.6),(9 1942267.3),(10 1864419.6),(11 1961990.5),(12 2066532.8),(13 2198982.3),(14 2335262.5),(15 2487365.8),(16 2645435.3),(17 2811427.3),(18 2975763),(19 3157711),(20 3324385.5),(21 3483686.3),(22 3583668),(23 3672684.3),(24 3759665.8),(25 3835371.8),(26 3930512.3),(27 4025158.5),(28 4139057.5),(29 4276374),(30 4435275.5),(31 4661846),(32 4898327.5),(33 5141684.5),(34 5435373),(35 5703607),(36 5955038),(37 6172476.5),(38 6384275),(39 6595805),(40 6793488),(41 7007779),(42 7222007.5),(43 7420168),(44 7609001.5),(45 7785828.5),(46 7980354),(47 8172518),(48 8365414),(49 8566817),(50 8732095),(51 8842729),(52 8926681),(53 8991834),(54 9043959),(55 9040485),(56 9037670),(57 9054130),(58 9069335),(59 9108454),(60 9157853),(61 9228289),(62 9297630),(63 9311841),(64 9334936),(65 9356639),(66 9369441),(67 9382699),(68 9426300),(69 9471604),(70 9508775),(71 9551743),(72 9598148),(73 9638247),(74 9705515),(75 9758831),(76 9829335),(77 9863956),(78 9931815),(79 9987356),
(1 318862.1),(2 523357.4),(3 774974.9),(4 1045775),(5 1351060.6),(6 1665404.1),(7 1997051),(8 2325349.5),(9 2662877.3),(10 2702008.5),(11 2951983),(12 3204197),(13 3458360.8),(14 3703462),(15 3953658.8),(16 4181197.5),(17 4411756),(18 4627727),(19 4817449),(20 4995588),(21 5179302.5),(22 5241396),(23 5288663),(24 5350184),(25 5404300.5),(26 5460032),(27 5490785),(28 5521077),(29 5578932),(30 5623143),(31 5834563),(32 6028944),(33 6236075.5),(34 6449278.5),(35 6656245.5),(36 6858733),(37 7046787),(38 7244640),(39 7430384),(40 7619719),(41 7807785),(42 7974651),(43 8091933),(44 8227344),(45 8333997),(46 8394099),(47 8434938),(48 8473822),(49 8514559),(50 8580879),(51 8657314),(52 8733239),(53 8844016),(54 8919598),(55 9000086),(56 9082567),(57 9171075),(58 9266250),(59 9358683),(60 9484722),(61 9589426),(62 9708011),(63 9804373),(64 9913883),(65 10037666),(66 10172496),(67 10350666),(68 10574301),(69 10817763),(70 11039434),(71 11241187),(72 11432696),(73 11619238),(74 11810688),(75 11980061),(76 12190629),(77 12390411),(78 12608549),(79 12846582),
(1 231608.86),(2 397743.06),(3 596468.75),(4 823803.7),(5 1066311.9),(6 1322592.5),(7 1570537.9),(8 1817008),(9 2074922),(10 2199468),(11 2401357.8),(12 2598486.3),(13 2798256.5),(14 3010351.5),(15 3234762.8),(16 3457732.3),(17 3660606.3),(18 3852275),(19 4014887.5),(20 4175861.5),(21 4326263.5),(22 4450789.5),(23 4552376.5),(24 4665974),(25 4798701),(26 4960066),(27 5150097.5),(28 5372349),(29 5612263.5),(30 5836683),(31 6080326),(32 6285582),(33 6516976.5),(34 6765027.5),(35 6995229.5),(36 7249796.5),(37 7462645.5),(38 7704705),(39 7943328.5),(40 8165768.5),(41 8408238),(42 8663855),(43 8908182),(44 9156972),(45 9414555),(46 9667525),(47 9915722),(48 10187442),(49 10409647),(50 10650097),(51 10875090),(52 11080498),(53 11322534),(54 11595285),(55 11851746),(56 12097980),(57 12367344),(58 12621447),(59 12833425),(60 13028121),(61 13182818),(62 13358644),(63 13523778),(64 13668741),(65 13800321),(66 13917719),(67 14080865),(68 14245071),(69 14424090),(70 14562462),(71 14655761),(72 14710457),(73 14810767),(74 14897673),(75 15001647),(76 15038548),(77 15082214),(78 15080555),(79 15088747),
(1 185592.27),(2 324758.44),(3 495166.1),(4 686996.9),(5 894939.94),(6 1108000.5),(7 1314389.9),(8 1519252),(9 1741504),(10 1876731.4),(11 2101176.3),(12 2339329),(13 2606054.5),(14 2898140.5),(15 3183563.8),(16 3482715.5),(17 3769062.8),(18 4075006.8),(19 4345522),(20 4602564.5),(21 4836260.5),(22 5023839),(23 5197368.5),(24 5378779.5),(25 5551768),(26 5756084.5),(27 5970567),(28 6195705),(29 6389769.5),(30 6592870.5),(31 6812071.5),(32 7001316.5),(33 7149887),(34 7273931.5),(35 7381227.5),(36 7501972.5),(37 7579445),(38 7664933.5),(39 7743666.5),(40 7824311.5),(41 7913731),(42 7997191.5),(43 8107922),(44 8223234),(45 8345999),(46 8488429),(47 8621396),(48 8757824),(49 8862431),(50 8973859),(51 9064352),(52 9146284),(53 9233050),(54 9333475),(55 9467851),(56 9611389),(57 9763166),(58 9923404),(59 10085099),(60 10231462),(61 10364342),(62 10509877),(63 10630906),(64 10748069),(65 10857065),(66 10962257),(67 11085037),(68 11223938),(69 11357422),(70 11512572),(71 11672308),(72 11819650),(73 11972326),(74 12110927),(75 12255733),(76 12366477),(77 12466738),(78 12556599),(79 12616222),
(1 136818.97),(2 270975.25),(3 443998.06),(4 638772.8),(5 839702.7),(6 1041680.7),(7 1224171.3),(8 1385639.4),(9 1556444.6),(10 1654826.6),(11 1835966.4),(12 2048402.9),(13 2283434.3),(14 2537513.3),(15 2786799.5),(16 3023246.5),(17 3235644.3),(18 3446765.8),(19 3641107.5),(20 3820486.8),(21 4000509.3),(22 4171418.3),(23 4333634.5),(24 4505640.5),(25 4689333.5),(26 4880419.5),(27 5079020),(28 5275088.5),(29 5495429.5),(30 5700284),(31 5931897),(32 6158589.5),(33 6372329.5),(34 6614133),(35 6836393.5),(36 7046976),(37 7235389),(38 7451980.5),(39 7667753.5),(40 7892395.5),(41 8124039.5),(42 8341524.5),(43 8571943),(44 8800111),(45 9009507),(46 9225432),(47 9424038),(48 9635136),(49 9835066),(50 9979979),(51 10091841),(52 10215254),(53 10299278),(54 10339330),(55 10407688),(56 10470586),(57 10540399),(58 10647187),(59 10756207),(60 10876857),(61 11005457),(62 11137257),(63 11259754),(64 11379837),(65 11507850),(66 11635348),(67 11775177),(68 11923032),(69 12083944),(70 12274933),(71 12525068),(72 12788238),(73 13055160),(74 13326835),(75 13626990),(76 13916311),(77 14227103),(78 14538261),(79 14834369),
(1 109076.555),(2 223823.36),(3 378925.66),(4 549553.75),(5 730226.4),(6 907883),(7 1069851),(8 1225082.9),(9 1372276.3),(10 1487772.6),(11 1644324.4),(12 1814048.5),(13 1997907.5),(14 2198376.5),(15 2404486.5),(16 2613440.8),(17 2818035.5),(18 3037065.8),(19 3252911),(20 3469054.8),(21 3691687.8),(22 3937345.8),(23 4186383.5),(24 4452268.5),(25 4724928.5),(26 5008532),(27 5301229),(28 5604418),(29 5931036),(30 6246793),(31 6553556.5),(32 6836961),(33 7100242),(34 7353800.5),(35 7565598),(36 7763526),(37 7919236.5),(38 8061559),(39 8183891.5),(40 8305248),(41 8428324),(42 8526284),(43 8620916),(44 8714399),(45 8796757),(46 8862952),(47 8934482),(48 9005280),(49 9076484),(50 9135456),(51 9170976),(52 9215979),(53 9266028),(54 9302376),(55 9362213),(56 9423316),(57 9536216),(58 9702317),(59 9889433),(60 10095935),(61 10314845),(62 10517833),(63 10723191),(64 10904364),(65 11090008),(66 11254704),(67 11390028),(68 11521152),(69 11657801),(70 11814342),(71 11997556),(72 12190245),(73 12355344),(74 12505831),(75 12653797),(76 12771962),(77 12868130),(78 12954523),(79 13040355),
(1 98598.35),(2 223917.73),(3 399075.2),(4 603732.8),(5 819734.5),(6 1028776.5),(7 1227290.6),(8 1419760.3),(9 1604810.9),(10 1769649.1),(11 1956868.4),(12 2151002.8),(13 2360767),(14 2576785),(15 2806403.8),(16 3042949.3),(17 3273316.8),(18 3524329.3),(19 3757640.5),(20 3992223),(21 4214462),(22 4420756),(23 4601542.5),(24 4766684),(25 4901727),(26 5035450.5),(27 5165447),(28 5313916),(29 5479152),(30 5660527.5),(31 5877085),(32 6129362),(33 6375301.5),(34 6626299),(35 6847849),(36 7047832.5),(37 7231084.5),(38 7394121.5),(39 7551885.5),(40 7712148),(41 7882039.5),(42 8051331),(43 8211667),(44 8362272),(45 8502232),(46 8657349),(47 8799138),(48 8920955),(49 9047554),(50 9186840),(51 9283608),(52 9385633),(53 9481929),(54 9556685),(55 9616698),(56 9668189),(57 9742872),(58 9801651),(59 9871022),(60 9966985),(61 10049597),(62 10122125),(63 10180060),(64 10228143),(65 10308919),(66 10368661),(67 10435539),(68 10497377),(69 10579098),(70 10689386),(71 10791173),(72 10902270),(73 11023409),(74 11174969),(75 11333896),(76 11494512),(77 11653816),(78 11800968),(79 11933909),
