1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 9459.519),(2 10196.144),(3 9869.144),(4 10483.706),(5 10438.953),(6 10526.797),(7 10253.233),(8 11177.039),(9 11730.671),(10 11604.137),(11 12227.329),(12 12673.26),(13 12833.023),(14 13349.799),(15 13612.66),(16 14239.841),(17 14309.715),(18 14951.887),(19 15529.357),(20 15448.032),(21 15727.992),(22 15725.578),(23 16414.912),(24 16459.912),(25 16354.507),(26 16759.059),(27 16709.498),(28 17095.594),(29 17023.203),(30 16960.412),(31 17214.941),(32 17091.318),(33 17009.055),(34 17030.46),(35 16985.438),(36 16877.885),(37 16617.219),(38 16932.785),(39 16678.45),(40 16814.127),(41 16218.474),(42 16597.652),(43 16450.068),(44 16327.262),(45 16871.89),(46 16271.471),(47 16732.68),(48 15982.218),(49 15896.125),(50 16038.535),(51 15758.283),(52 15888.867),(53 15385.178),(54 15718.663),(55 15330.129),(56 15111.21),(57 15184.285),(58 14917.637),(59 14640.829),(60 14661.967),(61 14207.873),(62 14240.334),(63 14231.413),(64 14084.783),(65 14051.386),(66 14212.524),(67 13888.824),(68 13978.606),(69 14070.614),(70 14129.716),(71 14134.908),(72 14683.717),(73 14809.723),(74 15192.641),(75 15098.786),(76 15047.389),(77 15705.459),(78 15418.944),(79 15860.93),
(1 8985.819),(2 9664.079),(3 9483.807),(4 9882.353),(5 10199.191),(6 9984.67),(7 9808.088),(8 10833.171),(9 11080.456),(10 11158.34),(11 11794.588),(12 12294.027),(13 12444.954),(14 12845.241),(15 13138.572),(16 13808.415),(17 13978.264),(18 14671.449),(19 14617.1045),(20 15127.725),(21 14903.178),(22 15374.036),(23 16079.711),(24 15918.817),(25 16008.338),(26 15978.349),(27 16168.713),(28 16199.275),(29 16373.397),(30 16346.754),(31 16356.815),(32 16231.396),(33 16403.555),(34 16388.303),(35 16155.754),(36 15970.503),(37 15838.911),(38 16126.986),(39 15731.706),(40 15841.784),(41 15657.067),(42 15613.768),(43 15471.056),(44 15440.185),(45 15762.642),(46 15564.227),(47 15363.683),(48 15148.1875),(49 15302.076),(50 14780.574),(51 14861.495),(52 14993.116),(53 14382.744),(54 14403.643),(55 14330.801),(56 14056.531),(57 13896.536),(58 13598.138),(59 13401.409),(60 13434.867),(61 13055.905),(62 12972.265),(63 12904.298),(64 12984.58),(65 12825.647),(66 13251.077),(67 12834.113),(68 13215.562),(69 13079.123),(70 13146.326),(71 13313.156),(72 13629.911),(73 13782.048),(74 14287.571),(75 14307.863),(76 14459.796),(77 14983.714),(78 15005.165),(79 15165.456),
(1 8890.916),(2 9523.145),(3 9179.856),(4 9758.381),(5 10043.232),(6 9613.552),(7 9772.756),(8 10586.73),(9 11016.137),(10 11135.925),(11 11525.626),(12 12019.016),(13 12083.749),(14 12602.368),(15 12790.634),(16 13341.495),(17 13583.239),(18 14260.354),(19 14151.914),(20 14707.718),(21 14374.099),(22 14885.252),(23 15428.227),(24 15731.385),(25 15636.333),(26 15891.111),(27 15814.09),(28 15964.126),(29 16053.258),(30 16053.023),(31 16179.156),(32 16010.395),(33 16263.904),(34 16380.559),(35 16003.94),(36 16325.1455),(37 15970.18),(38 16138.493),(39 16091.825),(40 15692.95),(41 15572.98),(42 15596.813),(43 15542.021),(44 15632.7705),(45 15402.765),(46 15394.119),(47 15141.634),(48 15255.327),(49 15191.9),(50 14712.954),(51 14934.757),(52 14673.445),(53 14573.386),(54 14576.113),(55 14184.635),(56 14319.772),(57 13878.946),(58 14004.151),(59 13718.642),(60 13726.237),(61 13357.235),(62 13457.393),(63 13377.175),(64 13474.219),(65 13339.767),(66 13127.87),(67 13330.811),(68 13355.832),(69 13154.287),(70 13435.365),(71 13364.134),(72 13505.22),(73 13960.94),(74 14227.174),(75 14192.104),(76 14408.245),(77 14642.677),(78 14782.497),(79 14799.324),
(1 9034.183),(2 9229.421),(3 9299.206),(4 9821.33),(5 10069.9),(6 9769.269),(7 9728.594),(8 10588.494),(9 11016.405),(10 11382.066),(11 11602.236),(12 12076.392),(13 12090.869),(14 12610.835),(15 12774.324),(16 13597.361),(17 13725.082),(18 14464.441),(19 14178.73),(20 14755.415),(21 14573.464),(22 15132.004),(23 15404.694),(24 15753.252),(25 15552.983),(26 16000.098),(27 16108.34),(28 15696.595),(29 16099.77),(30 15979.617),(31 15781.289),(32 16060.255),(33 16028.655),(34 16016.519),(35 15817.548),(36 15779.148),(37 15670.257),(38 15774.42),(39 15767.658),(40 15628.923),(41 15432.425),(42 15363.279),(43 15031.242),(44 15121.818),(45 15041.289),(46 15080.652),(47 14944.985),(48 15020.92),(49 14894.288),(50 14576.777),(51 14568.039),(52 14387.563),(53 14259.507),(54 14026.201),(55 13623.985),(56 13797.88),(57 13348.417),(58 13552.054),(59 13104.217),(60 13405.704),(61 12677.3125),(62 12787.821),(63 12933.47),(64 12789.202),(65 12678.956),(66 12906.165),(67 12966.531),(68 13037.967),(69 12907.137),(70 13252.532),(71 13124.33),(72 13555.454),(73 13785.212),(74 13947.974),(75 14228.917),(76 14236.398),(77 14607.932),(78 14502.702),(79 14823.321),
(1 9184.873),(2 9124.273),(3 9196.717),(4 9755.418),(5 9763.807),(6 9677.565),(7 9434.022),(8 10535.566),(9 10721.634),(10 10798.378),(11 11542.464),(12 11641.561),(13 11866.984),(14 12180.033),(15 12565.237),(16 13019.524),(17 12947.288),(18 13805.346),(19 13817.393),(20 14101.239),(21 13889.811),(22 14588.155),(23 14839.732),(24 14718.986),(25 14886.748),(26 15054.898),(27 14986.026),(28 14936.454),(29 15088.342),(30 15289.615),(31 15122.843),(32 15363.229),(33 15189.384),(34 15323.005),(35 15213.748),(36 14812.353),(37 15257.011),(38 15089.512),(39 15121.476),(40 14843.582),(41 14937.397),(42 14814.183),(43 14749.789),(44 14621.925),(45 14658.175),(46 14849.007),(47 14534.241),(48 14480.384),(49 14564.104),(50 14315.781),(51 14295.725),(52 14184.345),(53 13960.785),(54 13737.336),(55 13498.512),(56 13836.426),(57 13345.473),(58 13107.277),(59 13048.552),(60 12797.913),(61 12715.374),(62 12604.107),(63 12521.217),(64 12313.248),(65 12236.271),(66 12301.971),(67 12415.756),(68 12603.271),(69 12522.352),(70 12713.432),(71 12481.333),(72 12847.536),(73 13051.358),(74 13318.354),(75 13600.718),(76 13524.232),(77 13492.306),(78 13997.299),(79 14007.823),
(1 8675.442),(2 8775.785),(3 9014.322),(4 9282.009),(5 9454.313),(6 9367.874),(7 9166.946),(8 9908.877),(9 10112.738),(10 10526.627),(11 10807.934),(12 11114.071),(13 11210.732),(14 11235.525),(15 11953.457),(16 12287.647),(17 12308.704),(18 13039.387),(19 12985.635),(20 13051.879),(21 13032.861),(22 13411.275),(23 13773.007),(24 13559.45),(25 13815.467),(26 14026.387),(27 13665.741),(28 13777.387),(29 13923.134),(30 14112.425),(31 13854.583),(32 14244.481),(33 13847.857),(34 14160.267),(35 13870.102),(36 14011.037),(37 13826.936),(38 13840.791),(39 13732.023),(40 13798.999),(41 13768.194),(42 13683.8),(43 13818.649),(44 13538.473),(45 13539.574),(46 13559.7705),(47 13518.483),(48 13403.14),(49 13466.045),(50 13186.8545),(51 13292.303),(52 12993.532),(53 12774.276),(54 12752.518),(55 12393.36),(56 12626.902),(57 12388.246),(58 12231.869),(59 12383.341),(60 12031.22),(61 11981.565),(62 11610.815),(63 11936.904),(64 11894.005),(65 11842.113),(66 11798.406),(67 11951.121),(68 12181.98),(69 12284.09),(70 12238.472),(71 12616.197),(72 12777.302),(73 12814.607),(74 13010.316),(75 13435.13),(76 13356.309),(77 13470.832),(78 13498.363),(79 13458.359),
(1 8432.588),(2 8506.938),(3 8819.171),(4 9049.971),(5 9119.3),(6 8904.075),(7 9277.006),(8 9787.289),(9 10162.061),(10 10691.6045),(11 11058.162),(12 11072.674),(13 11512.32),(14 11567.405),(15 12324.8545),(16 12701.852),(17 12852.163),(18 13316.286),(19 13489.305),(20 13326.706),(21 13683.694),(22 14020.357),(23 14211.6045),(24 14362.529),(25 14384.601),(26 14771.183),(27 14436.78),(28 14592.269),(29 14791.975),(30 14610.236),(31 14689.681),(32 14683.719),(33 14706.763),(34 14355.174),(35 14702.937),(36 14379.017),(37 14311.97),(38 14373.912),(39 14157.817),(40 14004.299),(41 14128.65),(42 14147.626),(43 14175.532),(44 13953.665),(45 13806.087),(46 13881.25),(47 13938.165),(48 13796.767),(49 13576.062),(50 13515.749),(51 13450.682),(52 13382.684),(53 13068.43),(54 12790.057),(55 12671.883),(56 12609.532),(57 12241.884),(58 11983.823),(59 12068.523),(60 11607.351),(61 11618.32),(62 11403.724),(63 11547.207),(64 11419.759),(65 11535.566),(66 11661.048),(67 11776.143),(68 11839.301),(69 11896.432),(70 12148.29),(71 12351.732),(72 12634.567),(73 12810.471),(74 12987.273),(75 13482.367),(76 13190.792),(77 13435.625),(78 13553.987),(79 13671.88),
(1 8444.743),(2 8150.153),(3 8329.929),(4 8921.941),(5 8540.106),(6 8729.846),(7 8746.297),(8 9508.615),(9 9894.769),(10 10223.753),(11 10640.457),(12 10636.687),(13 11035.761),(14 11259.313),(15 11708.041),(16 12175.627),(17 12114.824),(18 12858.298),(19 13006.475),(20 13151.145),(21 13235.797),(22 13628.881),(23 13744.485),(24 13764.651),(25 13991.5205),(26 14379.331),(27 13822.842),(28 14247.105),(29 14331.04),(30 14095.025),(31 14196.35),(32 14201.0625),(33 14226.378),(34 13998.06),(35 14200.216),(36 14133.854),(37 14121.623),(38 14024.633),(39 13897.763),(40 13847.385),(41 13727.529),(42 13707.919),(43 13918.847),(44 13599.299),(45 13626.987),(46 13534.221),(47 13578.566),(48 13638.339),(49 13254.278),(50 13171.261),(51 13370.617),(52 12898.633),(53 12991.173),(54 12711.915),(55 12619.41),(56 12420.114),(57 12279.963),(58 12110.278),(59 12090.959),(60 11979.392),(61 11565.056),(62 11583.793),(63 11737.304),(64 11507.392),(65 11553.179),(66 11595.48),(67 11685.296),(68 11841.062),(69 11973.817),(70 11818.803),(71 12038.984),(72 12165.047),(73 12167.507),(74 12323.963),(75 12591.541),(76 12509.802),(77 12911.928),(78 12675.099),(79 13067.462),
(1 7936.9395),(2 7718.9277),(3 8267.138),(4 8607.171),(5 8320.87),(6 8634.098),(7 8465.983),(8 9322.099),(9 9634.684),(10 10109.772),(11 10531.265),(12 10275.968),(13 10961.234),(14 11115.445),(15 11690.615),(16 12172.549),(17 12172.775),(18 12821.129),(19 12697.343),(20 13180.251),(21 13312.887),(22 13589.825),(23 13626.59),(24 13801.716),(25 13552.147),(26 13933.531),(27 13514.384),(28 13981.596),(29 14096.271),(30 13852.912),(31 13967.374),(32 13728.796),(33 13626.863),(34 13706.817),(35 13596.432),(36 13564.788),(37 13755.339),(38 13456.612),(39 13317.783),(40 13524.259),(41 13438.33),(42 13491.792),(43 13570.778),(44 13275.545),(45 13451.917),(46 13257.553),(47 13296.681),(48 13358.515),(49 13130.126),(50 12927.765),(51 12921.854),(52 12654.231),(53 12468.525),(54 12335.925),(55 11946.947),(56 11862.108),(57 11374.437),(58 11260.424),(59 11265.691),(60 11049.476),(61 11014.257),(62 10622.726),(63 10821.779),(64 10711.124),(65 11018.183),(66 10867.669),(67 10937.873),(68 11267.126),(69 11333.047),(70 11509.999),(71 11559.197),(72 11945.148),(73 12060.459),(74 12300.412),(75 12301.282),(76 12531.931),(77 12569.648),(78 12671.923),(79 13072.376),
(1 7556.076),(2 7448.7617),(3 7828.9014),(4 8253.899),(5 8044.967),(6 8115.879),(7 8290.294),(8 8949.203),(9 9292.095),(10 9699.93),(11 10197.949),(12 9935.881),(13 10203.197),(14 10978.762),(15 11255.215),(16 11726.506),(17 11793.2705),(18 12182.507),(19 12281.617),(20 12561.084),(21 12902.457),(22 13297.017),(23 12989.54),(24 13390.416),(25 13300.089),(26 13294.883),(27 13291.288),(28 13579.898),(29 13557.48),(30 13461.766),(31 13589.183),(32 13338.21),(33 13155.757),(34 13280.957),(35 13100.264),(36 12995.928),(37 12749.108),(38 13032.894),(39 12775.543),(40 12735.588),(41 12699.174),(42 12671.815),(43 12595.795),(44 12621.322),(45 12445.844),(46 12568.075),(47 12672.313),(48 12469.986),(49 12307.022),(50 12312.861),(51 11987.292),(52 11915.398),(53 11778.804),(54 11884.594),(55 11565.413),(56 11612.645),(57 11325.709),(58 11150.235),(59 10994.906),(60 11055.112),(61 10881.399),(62 10770.379),(63 10708.95),(64 10705.181),(65 10733.265),(66 10828.54),(67 10609.94),(68 10855.752),(69 10935.865),(70 10914.633),(71 11060.623),(72 11167.108),(73 11413.362),(74 11565.773),(75 11820.698),(76 11790.456),(77 11870.719),(78 11795.055),(79 12203.826),
(1 7934.269),(2 7450.2476),(3 8110.535),(4 8360.817),(5 8288.294),(6 8181.3),(7 8330.211),(8 9177.029),(9 9280.658),(10 9809.952),(11 9862.053),(12 10145.414),(13 10202.274),(14 10969.73),(15 11277.677),(16 11730.755),(17 11818.398),(18 12295.256),(19 12341.36),(20 12444.124),(21 12897.227),(22 13082.661),(23 12890.905),(24 13323.38),(25 12790.327),(26 13133.373),(27 13050.883),(28 13119.613),(29 13191.177),(30 12940.456),(31 13245.001),(32 12908.478),(33 12970.014),(34 12993.394),(35 13045.88),(36 12765.294),(37 12691.692),(38 12671.114),(39 12649.449),(40 12487.314),(41 12819.343),(42 12727.797),(43 12668.693),(44 12436.988),(45 12213.055),(46 12444.908),(47 12588.473),(48 12288.745),(49 12317.192),(50 12071.585),(51 12110.294),(52 11743.833),(53 11722.945),(54 11429.114),(55 11483.103),(56 11185.195),(57 11064.166),(58 10752.945),(59 10665.489),(60 10789.038),(61 10484.155),(62 10544.635),(63 10392.527),(64 10162.462),(65 10620.15),(66 10357.469),(67 10608.604),(68 10712.62),(69 10945.331),(70 11085.874),(71 11041.587),(72 11270.052),(73 11456.011),(74 11577.961),(75 11812.32),(76 11892.758),(77 12004.399),(78 11874.928),(79 12193.382),
(1 7604.2676),(2 7302.128),(3 8034.9927),(4 8025.129),(5 8045.853),(6 8066.177),(7 8419.893),(8 8907.944),(9 9395.983),(10 9664.085),(11 9919.831),(12 10093.601),(13 10293.438),(14 10893.873),(15 11454.415),(16 11742.468),(17 12137.46),(18 12316.693),(19 12309.661),(20 12626.887),(21 12997.553),(22 13233.398),(23 13014.571),(24 13268.868),(25 13087.302),(26 13235.321),(27 13218.278),(28 13256.314),(29 13377.236),(30 12985.511),(31 13322.368),(32 12760.246),(33 12954.611),(34 12836.259),(35 12697.509),(36 12724.368),(37 12664.342),(38 12478.363),(39 12508.128),(40 12347.729),(41 12419.449),(42 12331.563),(43 12329.49),(44 12209.319),(45 12153.518),(46 12196.961),(47 11918.67),(48 12021.603),(49 11909.904),(50 11798.857),(51 11704.482),(52 11465.597),(53 11350.37),(54 11222.544),(55 11071.094),(56 11027.622),(57 10677.439),(58 10483.258),(59 10483.582),(60 10244.353),(61 10145.957),(62 10209.175),(63 10218.598),(64 10004.66),(65 10148.91),(66 10239.555),(67 10388.363),(68 10460.213),(69 10452.608),(70 10609.622),(71 10633.329),(72 10922.953),(73 11032.461),(74 11197.252),(75 11419.437),(76 11511.236),(77 11600.685),(78 11738.006),(79 11890.617),
(1 7785.835),(2 7163.599),(3 7998.188),(4 7927.4517),(5 7783.14),(6 7879.4775),(7 8075.8955),(8 8692.344),(9 9203.653),(10 9286.206),(11 9562.181),(12 9739.328),(13 10110.765),(14 10574.644),(15 11065.029),(16 11519.43),(17 11781.795),(18 11948.766),(19 12111.489),(20 12298.99),(21 12831.997),(22 12826.198),(23 12952.674),(24 13193.404),(25 12807.728),(26 13182.628),(27 13085.899),(28 13457.081),(29 13276.462),(30 13065.938),(31 13323.921),(32 12829.483),(33 13018.646),(34 12909.137),(35 12621.091),(36 12699.728),(37 12605.139),(38 12464.094),(39 12412.339),(40 12296.917),(41 12289.205),(42 12523.482),(43 12365.825),(44 12154.291),(45 12221.608),(46 12075.663),(47 11868.886),(48 11831.326),(49 11770.023),(50 11853.237),(51 11581.885),(52 11702.4),(53 11408.177),(54 11395.225),(55 11275.609),(56 10959.191),(57 10920.281),(58 10350.655),(59 10501.591),(60 10147.056),(61 10253.025),(62 10229.63),(63 10082.682),(64 10071.485),(65 9880.425),(66 10100.181),(67 10195.552),(68 10282.174),(69 10404.118),(70 10595.395),(71 10540.357),(72 10825.713),(73 10967.351),(74 11277.587),(75 11433.147),(76 11399.838),(77 11533.852),(78 11663.312),(79 11578.131),
(1 7311.005),(2 6989.126),(3 7655.8086),(4 7624.8447),(5 7589.8496),(6 7757.6206),(7 8119.2563),(8 8581.328),(9 9017.721),(10 9312.374),(11 9589.604),(12 9883.813),(13 10213.85),(14 10955.325),(15 11187.707),(16 11765.869),(17 11892.654),(18 11920.821),(19 12253.152),(20 12501.309),(21 12924.618),(22 12948.839),(23 13177.541),(24 13086.509),(25 13150.733),(26 13119.475),(27 13040.724),(28 13087.369),(29 13030.644),(30 13095.278),(31 12982.39),(32 12627.934),(33 12905.045),(34 12802.782),(35 12563.477),(36 12478.504),(37 12404.02),(38 12340.378),(39 12521.691),(40 12273.292),(41 12455.385),(42 12398.443),(43 12229.869),(44 12229.243),(45 12159.856),(46 12070.434),(47 11930.948),(48 11805.093),(49 11776.043),(50 11822.946),(51 11430.967),(52 11449.355),(53 11111.964),(54 11185.035),(55 10951.746),(56 10710.699),(57 10810.865),(58 10265.769),(59 10278),(60 10095.542),(61 10002.818),(62 10062.431),(63 9958.027),(64 9941.018),(65 9778.649),(66 10077.705),(67 10174.869),(68 10333.34),(69 10371.443),(70 10571.295),(71 10740.757),(72 10970.329),(73 10976.679),(74 11412.667),(75 11584.252),(76 11649.196),(77 11667.779),(78 11686.843),(79 11864.675),
(1 7114.342),(2 6739.428),(3 7412.983),(4 7454.0835),(5 7428.9014),(6 7416.2646),(7 7967.6245),(8 8264.894),(9 8809.976),(10 9099.598),(11 9207.491),(12 9442.866),(13 9778.439),(14 10416.931),(15 10772.266),(16 11208.104),(17 11524.722),(18 11460.278),(19 11810.966),(20 12187.907),(21 12334.83),(22 12531.118),(23 12821.849),(24 12680.416),(25 12737.852),(26 12909.299),(27 12776.76),(28 12952.127),(29 12837.352),(30 12959.523),(31 12660.227),(32 12569.583),(33 12593.48),(34 12640.9375),(35 12378.341),(36 12301.777),(37 12186.152),(38 12061.417),(39 11915.63),(40 12029.2),(41 12078.997),(42 11907.377),(43 11866.073),(44 11859.939),(45 11810.288),(46 11426.443),(47 11486.526),(48 11612.228),(49 11369.836),(50 11547.759),(51 11274.793),(52 11185.04),(53 10925.581),(54 10881.41),(55 10706.134),(56 10642.816),(57 10562.763),(58 10142.413),(59 10098.901),(60 9935.917),(61 9810.619),(62 9708.448),(63 9810.387),(64 9621.752),(65 9433.731),(66 9790.861),(67 9761.309),(68 9997.281),(69 10067.933),(70 10265.14),(71 10238.174),(72 10454.342),(73 10606.151),(74 10737.486),(75 10897.391),(76 11045.476),(77 11344.123),(78 11154.313),(79 11492.782),
(1 6863.1997),(2 6600.968),(3 7279.0586),(4 7205.0938),(5 7270.68),(6 7135.809),(7 7772.269),(8 8087.192),(9 8584.943),(10 8920.591),(11 9062.495),(12 9360.588),(13 9707.313),(14 10333.879),(15 10851.9795),(16 11119.435),(17 11645.811),(18 11508.769),(19 11911.12),(20 12250.933),(21 12392.429),(22 12576.374),(23 12881.093),(24 12629.527),(25 12647.723),(26 12673.646),(27 12760.978),(28 12795.055),(29 12740.638),(30 12678.418),(31 12514.843),(32 12258.243),(33 12389.593),(34 12427.852),(35 12053.029),(36 12152.169),(37 11957.177),(38 11797.606),(39 11556.678),(40 11840.17),(41 11561.683),(42 11674.251),(43 11542.963),(44 11367.012),(45 11377.344),(46 11155.321),(47 11251.113),(48 11079.26),(49 11241.805),(50 11380.184),(51 11047.321),(52 10879.428),(53 10906.316),(54 10727.702),(55 10354.452),(56 10325.128),(57 10125.183),(58 10004.23),(59 9626.459),(60 9677.199),(61 9497.016),(62 9254.893),(63 9467.413),(64 9208.138),(65 9162.996),(66 9365.76),(67 9307.945),(68 9609.851),(69 9560.602),(70 9693.216),(71 9757.637),(72 9825.22),(73 10054.934),(74 10250.056),(75 10384.548),(76 10655.654),(77 10658.588),(78 10890.486),(79 11016.4375),
(1 6856.689),(2 6365.6997),(3 7193.633),(4 6933.958),(5 7103.3657),(6 6902.755),(7 7484.381),(8 7721.9546),(9 8083.405),(10 8449.663),(11 8667.28),(12 8927.868),(13 9469.987),(14 9917.324),(15 10280.712),(16 10639.182),(17 10888.3545),(18 10741.249),(19 11276.029),(20 11340.621),(21 11576.414),(22 11610.171),(23 11902.674),(24 11647.703),(25 11730.515),(26 11688.77),(27 11760.374),(28 11816.633),(29 11822.015),(30 11877.88),(31 11457.485),(32 11467.968),(33 11502.499),(34 11386.45),(35 11234.111),(36 11248.956),(37 11124.531),(38 11082.471),(39 10805.165),(40 11004.327),(41 10825.366),(42 10741.138),(43 10884.432),(44 10718.217),(45 10640.751),(46 10503.871),(47 10542.386),(48 10475.93),(49 10482.124),(50 10558.195),(51 10385.338),(52 10255.506),(53 10265.833),(54 10070.194),(55 9818.579),(56 9696.522),(57 9592.746),(58 9479.118),(59 9195.061),(60 9314.536),(61 9421.915),(62 9062.769),(63 9236.219),(64 9191.339),(65 9196.304),(66 9407.38),(67 9300.201),(68 9417.102),(69 9533.865),(70 9630.884),(71 9678.035),(72 9635.876),(73 9902.015),(74 10082.753),(75 10159.839),(76 10365.709),(77 10358.207),(78 10633.623),(79 10675.549),
(1 6743.48),(2 6216.238),(3 7050.339),(4 6854.5483),(5 6897.301),(6 6979.4204),(7 7421.626),(8 7889.727),(9 8121.818),(10 8412.966),(11 8687.173),(12 8930.922),(13 9436.923),(14 9922.248),(15 10143.304),(16 10778.972),(17 10839.252),(18 10945.75),(19 11305.168),(20 11544.802),(21 11699.474),(22 11845.158),(23 12091.788),(24 12026.875),(25 11915.669),(26 11947.144),(27 12100.027),(28 12015.463),(29 11998.764),(30 12055.524),(31 11877.198),(32 11659.42),(33 11692.889),(34 11531.219),(35 11386.07),(36 11442.749),(37 11228.903),(38 11237.758),(39 11166.962),(40 11133.454),(41 11025.643),(42 10904.676),(43 11085.747),(44 10970.026),(45 10873.795),(46 10538.469),(47 10698.568),(48 10405.957),(49 10807.99),(50 10499.331),(51 10547.277),(52 10356.646),(53 10078.209),(54 10130.08),(55 9933.223),(56 9703.735),(57 9738.107),(58 9376.712),(59 9352.713),(60 9250.466),(61 9330.42),(62 9093.337),(63 9204.232),(64 9120.958),(65 9038.917),(66 9100.318),(67 9160.518),(68 9306.761),(69 9503.225),(70 9528.128),(71 9656.585),(72 9812.29),(73 9899.877),(74 10108.12),(75 10246.369),(76 10186.988),(77 10592.251),(78 10509.064),(79 10795.639),
