1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 125462.445),(2 321048.4),(3 578234.5),(4 792892.06),(5 972583.75),(6 1075489.5),(7 1129777.9),(8 1184534.9),(9 1244091.4),(10 1318152.5),(11 1401288.1),(12 1578033),(13 1795823.4),(14 1993231.6),(15 2224850.8),(16 2394041.3),(17 2481464),(18 2544651.8),(19 2542898.3),(20 2529923.5),(21 2609949),(22 2757215.3),(23 2940562.8),(24 3165610.3),(25 3367151.8),(26 3474293.3),(27 3328171.8),(28 3268541.3),(29 3193056.8),(30 3117259.3),(31 3068676),(32 3130629),(33 3255203.8),(34 3544880.8),(35 3694840),(36 3754534),(37 3710283.8),(38 3565009.8),(39 3368935.3),(40 3152915.3),(41 2954947.8),(42 2870225),(43 2830822.3),(44 2807473.3),(45 2845730.3),(46 2837194),(47 2840235.3),(48 2854041.8),(49 2865780.8),(50 2872362.3),(51 2905374),(52 2936568.8),(53 2964906.3),(54 2993417.8),(55 3002146.3),(56 3037523.8),(57 3069757),(58 3043038.3),(59 3055297.3),(60 3105234.8),(61 3150295.3),(62 3183334),(63 3236827),(64 3336143.3),(65 3444642),(66 3523611),(67 3581698.8),(68 3704045.8),(69 3799491),(70 3810265),(71 3727769.3),(72 3694290.3),(73 3633607.3),(74 3625989.3),(75 3625089.3),(76 3616254.8),(77 3562490),(78 3502652.3),(79 3471499.8),
(1 161321.7),(2 409462.06),(3 699680.9),(4 948141.4),(5 1097559.3),(6 1201013.6),(7 1246738.9),(8 1284504.8),(9 1319474.8),(10 1439933),(11 1643796.5),(12 1896327.3),(13 2226240.3),(14 2507406.8),(15 2766491.5),(16 2955956.8),(17 3092633.8),(18 3174162),(19 3255995.8),(20 3353921.3),(21 3532174.5),(22 3690221.5),(23 3935112),(24 4202986),(25 4402149.5),(26 4526941),(27 4512574),(28 4559220),(29 4531552),(30 4534732),(31 4506542.5),(32 4504277.5),(33 4552088.5),(34 4735967),(35 4859599),(36 4963707),(37 5003307),(38 5010676),(39 4948593),(40 4781513.5),(41 4653004),(42 4626190.5),(43 4654938.5),(44 4741200.5),(45 4791533),(46 4852058.5),(47 4932893),(48 5084348),(49 5264261),(50 5361652),(51 5472273),(52 5490198.5),(53 5548890.5),(54 5588508.5),(55 5637095),(56 5741696),(57 5901686.5),(58 5949737.5),(59 6087103.5),(60 6287339),(61 6459557),(62 6477095),(63 6435653),(64 6508202),(65 6571140),(66 6618081),(67 6648821.5),(68 6739653.5),(69 6687885.5),(70 6590449),(71 6446102.5),(72 6202630.5),(73 6009107),(74 5859762),(75 5798333),(76 5756331),(77 5693827.5),(78 5639835),(79 5559622.5),
(1 144607.8),(2 374561.03),(3 630095.8),(4 901168),(5 1109176),(6 1269134.9),(7 1379787.5),(8 1442269.4),(9 1513300.4),(10 1686726.4),(11 1937941.9),(12 2254103.3),(13 2594314.3),(14 2882966),(15 3131651),(16 3314788.3),(17 3427574.3),(18 3485574.3),(19 3557062.8),(20 3636285),(21 3753996.8),(22 3905662.8),(23 4115578),(24 4445399.5),(25 4605889.5),(26 4700425.5),(27 4607765.5),(28 4547572.5),(29 4450380),(30 4401298.5),(31 4339876.5),(32 4287233),(33 4266247.5),(34 4313236.5),(35 4349318.5),(36 4377681.5),(37 4386917.5),(38 4364871),(39 4312299.5),(40 4190796),(41 4083691.3),(42 4020412),(43 4027756.8),(44 4084442.3),(45 4063151.3),(46 3995455.3),(47 3994335),(48 4054127.3),(49 4111989),(50 4118602.8),(51 4173393),(52 4221330.5),(53 4210992.5),(54 4219726),(55 4276146),(56 4422829),(57 4554606.5),(58 4661106),(59 4779616.5),(60 4821089.5),(61 4832838.5),(62 4784878.5),(63 4732299.5),(64 4708919),(65 4722395),(66 4766216.5),(67 4855301.5),(68 4968831),(69 5005081),(70 5033385.5),(71 4939663.5),(72 4776554),(73 4649587.5),(74 4595054),(75 4537206.5),(76 4566686.5),(77 4613867.5),(78 4579284.5),(79 4536554.5),
(1 134815.36),(2 346371.66),(3 590843.44),(4 834416.1),(5 1016747.7),(6 1157849.9),(7 1233140.3),(8 1300335.8),(9 1350318.9),(10 1463048.9),(11 1630853.4),(12 1861647.3),(13 2120673.8),(14 2371328.3),(15 2603011),(16 2800149),(17 2995766.5),(18 3168650.3),(19 3285468.3),(20 3416690),(21 3500211.8),(22 3674688.3),(23 3861069),(24 4141313),(25 4305647),(26 4437425.5),(27 4410279.5),(28 4433712),(29 4387738.5),(30 4350816),(31 4316370),(32 4264287.5),(33 4227131),(34 4213319.5),(35 4210055),(36 4188933.8),(37 4142378.3),(38 4050231),(39 3936472),(40 3787085.3),(41 3638915.5),(42 3529449),(43 3437824.5),(44 3412857.3),(45 3416131.5),(46 3412831),(47 3393302.3),(48 3387149.5),(49 3378904),(50 3342945.3),(51 3355240),(52 3384737.3),(53 3432965),(54 3496466),(55 3527481),(56 3589612),(57 3636397),(58 3641290),(59 3652655.5),(60 3665885.3),(61 3657101.5),(62 3601934.3),(63 3582709.8),(64 3657350.8),(65 3779067.5),(66 3851837.3),(67 3939890.8),(68 4019329.8),(69 4104537),(70 4197977.5),(71 4234178.5),(72 4269520),(73 4297032),(74 4397056.5),(75 4513520),(76 4646755.5),(77 4768202),(78 4888129),(79 5011444.5),
(1 130115.73),(2 339446.8),(3 579941.75),(4 794782),(5 954298.94),(6 1060716),(7 1116756.1),(8 1176633.6),(9 1270217.3),(10 1426356.3),(11 1627871.3),(12 1847531.6),(13 2051410.8),(14 2219172.5),(15 2373891.5),(16 2527877.8),(17 2642413.3),(18 2722762.8),(19 2775453),(20 2799926.3),(21 2831506.3),(22 2937851.8),(23 3056986.5),(24 3217863.8),(25 3321587.8),(26 3385979),(27 3367494.5),(28 3363195.8),(29 3369587.3),(30 3360434.5),(31 3346715.8),(32 3314636.8),(33 3319896.8),(34 3379775.3),(35 3423837.8),(36 3422262.3),(37 3379808.8),(38 3306328),(39 3222305),(40 3120093.5),(41 3056894.5),(42 3015571),(43 3007613),(44 3040304.8),(45 3074651.8),(46 3069535.3),(47 3022396),(48 2992975.8),(49 2990822.5),(50 2956136),(51 2944624.5),(52 2965164.8),(53 2973883.5),(54 2999873.8),(55 3023043),(56 3086875.8),(57 3109615.3),(58 3108264.3),(59 3116028.3),(60 3148207.3),(61 3181399.8),(62 3155444),(63 3185104.3),(64 3252611.8),(65 3328706.3),(66 3404951.3),(67 3498454.5),(68 3630942.5),(69 3700987.3),(70 3744461.5),(71 3794131.8),(72 3808764),(73 3815458.3),(74 3877808),(75 3985234.3),(76 4103243),(77 4231132.5),(78 4339922),(79 4430291),
(1 129475.914),(2 337072.63),(3 585003.7),(4 823582.8),(5 1051474.6),(6 1226907.6),(7 1342467.8),(8 1430926.4),(9 1517969.9),(10 1648435.1),(11 1828812.4),(12 2067423.6),(13 2311343.5),(14 2555208),(15 2789614.8),(16 2945228),(17 3021601.5),(18 3048886.8),(19 3075055.8),(20 3176004.5),(21 3276010.8),(22 3404953.5),(23 3611960),(24 3895024.8),(25 4118830),(26 4258838.5),(27 4225035.5),(28 4195984),(29 4134230.8),(30 4118166),(31 4176297.3),(32 4260728),(33 4327075),(34 4380202.5),(35 4365269.5),(36 4326904),(37 4247849.5),(38 4176953.5),(39 4066805.5),(40 3977304),(41 3860765.3),(42 3724301.5),(43 3629604),(44 3589305.5),(45 3564166),(46 3512006.5),(47 3406853.3),(48 3363619.3),(49 3329844),(50 3297867.5),(51 3332421.5),(52 3354495.8),(53 3372644),(54 3381881.5),(55 3330864),(56 3326145.5),(57 3284449.5),(58 3205878.5),(59 3096197),(60 3001745.3),(61 2895023.3),(62 2807668.8),(63 2743793.5),(64 2710404.3),(65 2702564.5),(66 2670953.3),(67 2663653),(68 2652747.5),(69 2630450),(70 2625916),(71 2644571.5),(72 2665832.5),(73 2666674.5),(74 2740781.3),(75 2848892.8),(76 2967565.5),(77 3048746.5),(78 3077571.3),(79 3076720),
(1 138048.94),(2 343808.34),(3 598518.1),(4 872524.1),(5 1138232.5),(6 1383233.8),(7 1594606),(8 1762787.5),(9 1954702.1),(10 2159543.5),(11 2382558.5),(12 2675023),(13 2997154.8),(14 3308394.5),(15 3637230.3),(16 3883644.5),(17 4086683),(18 4211013),(19 4282184.5),(20 4361335.5),(21 4454261),(22 4545421.5),(23 4634626),(24 4800665.5),(25 4853217),(26 4865702),(27 4789841),(28 4689172),(29 4591836.5),(30 4504987),(31 4446500.5),(32 4402892.5),(33 4413946),(34 4402349.5),(35 4377070),(36 4354126),(37 4353225),(38 4379477),(39 4414495.5),(40 4399185.5),(41 4379823.5),(42 4323166),(43 4270325),(44 4221141),(45 4238146),(46 4262936.5),(47 4285628),(48 4315525.5),(49 4326637),(50 4316903.5),(51 4281620),(52 4272353),(53 4280683.5),(54 4316964.5),(55 4309037),(56 4318555.5),(57 4296391),(58 4273019),(59 4250627),(60 4240146.5),(61 4237709),(62 4250067.5),(63 4256151.5),(64 4309858),(65 4330924.5),(66 4349781),(67 4365179),(68 4350890),(69 4327821.5),(70 4332232),(71 4364351),(72 4361827.5),(73 4348461),(74 4361044.5),(75 4399190.5),(76 4424827),(77 4441300),(78 4436133.5),(79 4405491.5),
(1 124324.99),(2 322051.8),(3 552416.4),(4 784427),(5 993954.2),(6 1163584.6),(7 1280386.4),(8 1380123.1),(9 1485766),(10 1629819.5),(11 1817094.9),(12 2051712),(13 2306619.8),(14 2527169.5),(15 2737012.8),(16 2881799.8),(17 3025201.5),(18 3089490.5),(19 3121391),(20 3126912.5),(21 3155045.5),(22 3237240),(23 3364509.8),(24 3521812),(25 3602854.3),(26 3643478.3),(27 3588034.3),(28 3523978.3),(29 3490532.5),(30 3471065.5),(31 3505601.5),(32 3546195.3),(33 3619204.8),(34 3643079.8),(35 3676477.3),(36 3694118.5),(37 3685291.3),(38 3701611.3),(39 3716025),(40 3724516.8),(41 3776583.5),(42 3856491.8),(43 3943391.5),(44 4040866.8),(45 4108612.8),(46 4166225),(47 4158898.8),(48 4162594.8),(49 4236467.5),(50 4272197.5),(51 4310507),(52 4334988.5),(53 4385885),(54 4438528.5),(55 4484543.5),(56 4505283),(57 4513784),(58 4501803.5),(59 4523514.5),(60 4538212.5),(61 4526434),(62 4509747.5),(63 4469718.5),(64 4445905),(65 4408285),(66 4367560.5),(67 4339961),(68 4292327),(69 4229772.5),(70 4173531.8),(71 4109384.5),(72 4004417),(73 3912068),(74 3851852.8),(75 3811413.8),(76 3772314.8),(77 3785602.8),(78 3815920.8),(79 3851655.8),
(1 128547.13),(2 323616.06),(3 550454.06),(4 765862.3),(5 936911.75),(6 1071412.1),(7 1181458.9),(8 1304802.4),(9 1415653.9),(10 1536016),(11 1695677.5),(12 1886207.3),(13 2109247.5),(14 2324234),(15 2510704.5),(16 2666324.3),(17 2781251.3),(18 2829683.3),(19 2869028.3),(20 2922523.8),(21 2991227.3),(22 3076842.3),(23 3192323.5),(24 3326576),(25 3411000.5),(26 3463844.8),(27 3444907.3),(28 3395761.5),(29 3342582.3),(30 3314873),(31 3275614.8),(32 3255331),(33 3288109.5),(34 3332594),(35 3399605.3),(36 3445262.5),(37 3418280),(38 3351440),(39 3291772.8),(40 3251419.5),(41 3209362.8),(42 3199888.5),(43 3224188.8),(44 3274881.5),(45 3277154),(46 3264810),(47 3259611),(48 3268862.8),(49 3245397.3),(50 3211612.8),(51 3171124.8),(52 3199496.5),(53 3239708.3),(54 3271767),(55 3329392),(56 3397262.5),(57 3445830.5),(58 3467709.3),(59 3485106.8),(60 3512578),(61 3515926),(62 3486312),(63 3466351.5),(64 3521647.3),(65 3524292.8),(66 3548892.5),(67 3610247.8),(68 3658725.8),(69 3675692.8),(70 3698563.8),(71 3683239),(72 3641083.8),(73 3604779.8),(74 3555754.3),(75 3538486.5),(76 3536196),(77 3559020),(78 3583332.8),(79 3613043.3),
(1 133770.03),(2 330778.63),(3 560459.44),(4 775700.56),(5 968535.75),(6 1116000.4),(7 1212805.8),(8 1331946.9),(9 1431784.5),(10 1560227.6),(11 1719354.6),(12 1883112.3),(13 2066873.8),(14 2243749.8),(15 2404193),(16 2510834.8),(17 2635475.5),(18 2689480),(19 2746693.5),(20 2793594.3),(21 2837310.8),(22 2953109.8),(23 3105996),(24 3286206.8),(25 3419478.3),(26 3520808),(27 3584947),(28 3651868.8),(29 3695530),(30 3764079),(31 3801057),(32 3859057.8),(33 3968743.5),(34 4068801),(35 4108156),(36 4083478.3),(37 4045751),(38 3963200),(39 3894818.8),(40 3827739.5),(41 3737599),(42 3683541.8),(43 3711462),(44 3760692.5),(45 3790255),(46 3822809.3),(47 3843805.3),(48 3848142.3),(49 3833042.3),(50 3824814.3),(51 3857026.3),(52 3888869.3),(53 3927641.3),(54 3938874.8),(55 3966369.8),(56 3966527.5),(57 3962365),(58 3976601.3),(59 3976434.8),(60 3980356.5),(61 3974775.5),(62 3924633.3),(63 3856069),(64 3834299.5),(65 3805474.3),(66 3812441.3),(67 3832020.5),(68 3869953.8),(69 3920252),(70 3953326.8),(71 3934232.5),(72 3902700),(73 3871477.3),(74 3879260.5),(75 3878608),(76 3878753.3),(77 3886820),(78 3899341),(79 3875777),
(1 132145.53),(2 330414.72),(3 565495.75),(4 808479.44),(5 1023665.9),(6 1237902.3),(7 1413121),(8 1551996),(9 1687275.5),(10 1841291.8),(11 2042901.9),(12 2269082.5),(13 2518587.3),(14 2761697.3),(15 2985572.8),(16 3178306.5),(17 3369635.8),(18 3508057),(19 3595727),(20 3637603.8),(21 3664697),(22 3708263.8),(23 3798299),(24 3931178),(25 4029967.5),(26 4102313.5),(27 4134272),(28 4175535),(29 4202137),(30 4254918.5),(31 4255572.5),(32 4263350.5),(33 4262189),(34 4266713),(35 4290963),(36 4303017.5),(37 4288478),(38 4220958.5),(39 4127506),(40 4004637.3),(41 3913137.5),(42 3863139.3),(43 3874961),(44 3888600.5),(45 3872152),(46 3869626),(47 3852163),(48 3822887.5),(49 3769461.8),(50 3714142.5),(51 3664598.3),(52 3661734.3),(53 3684689),(54 3683301.3),(55 3671558.5),(56 3672357.8),(57 3662322.5),(58 3630813.8),(59 3629647),(60 3643039.5),(61 3648187.8),(62 3660416),(63 3697756.8),(64 3745493.5),(65 3805666.3),(66 3870313.3),(67 3951528.5),(68 4023571.8),(69 4099754.8),(70 4180696.5),(71 4217575.5),(72 4275202),(73 4332326.5),(74 4360539.5),(75 4416964.5),(76 4454099),(77 4519524),(78 4562658),(79 4603755.5),
