1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 15748.656),(2 52085.008),(3 106176.57),(4 163848.06),(5 221299.27),(6 273012.16),(7 317366.6),(8 353152.56),(9 380115.78),(10 401419.6),(11 418345.78),(12 429850.63),(13 438849.44),(14 445717.8),(15 450523.13),(16 452772.38),(17 452285.97),(18 450904),(19 446463.88),(20 445874.56),(21 446099.22),(22 447559.2),(23 448824.9),(24 449854.9),(25 450244.22),(26 449319.8),(27 447177.25),(28 448408.16),(29 452048.34),(30 456943.16),(31 462677.22),(32 469474.53),(33 474971.4),(34 478459.2),(35 480329.75),(36 481805),(37 482870.7),(38 480737.75),(39 479048.88),(40 477954.4),(41 478071.88),(42 477975.94),(43 480494.47),(44 485350.34),(45 493141.7),(46 501454.53),(47 510412.5),(48 519228.13),(49 527802.3),(50 533812.2),(51 538261.1),(52 539243.8),(53 533908.25),(54 528369.9),(55 521068.44),(56 514309.47),(57 507755.22),(58 502723.84),(59 498281.47),(60 493890.97),(61 489931.66),(62 487202.75),(63 484573.9),(64 482681.1),(65 481907.4),(66 482073.97),(67 482915.4),(68 484445.6),(69 489013.8),(70 494735.66),(71 500868.06),(72 506134.1),(73 509835.56),(74 510641.44),(75 511831.5),(76 513612.06),(77 513423.63),(78 515108.28),(79 517093.6),
(1 14924.9795),(2 47453.48),(3 94602.445),(4 145214.48),(5 197021.39),(6 243926.11),(7 284704.56),(8 315804.75),(9 339324.88),(10 356484.28),(11 368827.38),(12 376167.75),(13 380556.25),(14 383192.5),(15 384190.72),(16 383600),(17 383887.78),(18 386088.78),(19 389001.25),(20 393386.9),(21 397326.2),(22 399930.6),(23 399832.66),(24 399120.56),(25 398089.63),(26 396300.38),(27 395001.78),(28 396937.44),(29 401806.28),(30 407243.28),(31 413604.72),(32 420062.63),(33 427225.97),(34 436790.88),(35 443164),(36 446573.03),(37 448063),(38 448612.88),(39 447009.16),(40 446774.13),(41 447315.84),(42 451710.44),(43 457342.38),(44 462926.6),(45 471699.84),(46 479496.88),(47 486934.63),(48 489977.88),(49 491790.06),(50 489431.78),(51 488870),(52 487569.56),(53 487054.56),(54 486442),(55 485317.88),(56 485474.94),(57 486342.38),(58 488249.06),(59 490751.5),(60 492226.22),(61 495403.63),(62 494100.28),(63 490503.72),(64 486649),(65 483551.44),(66 480185.84),(67 479901.88),(68 476960.56),(69 475639.34),(70 475082.78),(71 475512.63),(72 476065.88),(73 473381.22),(74 470136.72),(75 466486.56),(76 463275.06),(77 462032.38),(78 465375.97),(79 468687.63),
(1 14328.591),(2 45652.855),(3 91531.32),(4 138959.03),(5 186892),(6 229929.5),(7 266485.84),(8 296238.56),(9 319327.75),(10 335944.7),(11 346872.2),(12 354324.78),(13 361742.47),(14 369009.47),(15 376814.56),(16 384540.34),(17 392901.4),(18 402034.25),(19 408776.75),(20 416188.44),(21 421003.78),(22 425984.1),(23 428190.72),(24 428208.53),(25 428073.2),(26 428926.78),(27 431339.53),(28 433285.47),(29 438464.78),(30 444553),(31 451962.7),(32 459627.2),(33 467038.1),(34 474558.66),(35 481241),(36 486395.66),(37 490490.56),(38 490027.2),(39 488874.03),(40 486526.16),(41 481167.25),(42 478305.56),(43 475821.84),(44 474370.1),(45 475336.8),(46 478303.38),(47 480998.7),(48 482137.16),(49 483617.25),(50 483034.88),(51 481639.38),(52 478624.22),(53 477441.3),(54 476047.88),(55 475557),(56 476411.94),(57 475602.34),(58 475558.97),(59 474578.4),(60 471414.47),(61 468245.28),(62 464886.78),(63 461449.34),(64 460838.63),(65 462285.03),(66 463603.72),(67 465938.78),(68 467358.5),(69 470785.1),(70 473338.38),(71 477396.84),(72 481516.3),(73 483600.47),(74 484796.16),(75 485160.6),(76 485072.7),(77 486728.75),(78 488981.75),(79 490134.56),
(1 14804.708),(2 47867.46),(3 95998.04),(4 146132.38),(5 194647.2),(6 236891.97),(7 271518.34),(8 298944.3),(9 320115.9),(10 334633.28),(11 343424.28),(12 349744.8),(13 354272.2),(14 358289.38),(15 359059.66),(16 360864.5),(17 364387),(18 368785.2),(19 375708.7),(20 381305.2),(21 386034.84),(22 391756.34),(23 395417.8),(24 396818.88),(25 396043.97),(26 394838.63),(27 395961.06),(28 397944.03),(29 399954.78),(30 403873.72),(31 408818.25),(32 414917.5),(33 420290.94),(34 426621.53),(35 429827.7),(36 431237.13),(37 432218.22),(38 430996.8),(39 431091.53),(40 431948.13),(41 433829.34),(42 438495.28),(43 445140.9),(44 451949.53),(45 458604.8),(46 465302.4),(47 468055.47),(48 468510.25),(49 467561.88),(50 466000.28),(51 463563.25),(52 458116.06),(53 452340.38),(54 447380.9),(55 440915.16),(56 436008.8),(57 430953.16),(58 426311.38),(59 422440.1),(60 419288.1),(61 416768.8),(62 414488.94),(63 413584.06),(64 414195.2),(65 416057.88),(66 419625.9),(67 421786.7),(68 422873.44),(69 423956.8),(70 423599.03),(71 423632.53),(72 425294.8),(73 427678.47),(74 429454.1),(75 430875.72),(76 432727.84),(77 435514.16),(78 439849.34),(79 444802),
(1 13825.111),(2 44136.36),(3 86395.52),(4 130119.77),(5 171992.84),(6 208081.88),(7 237697.19),(8 260896.92),(9 278325.97),(10 292433.5),(11 302693.63),(12 310916.06),(13 317639.78),(14 325005.5),(15 330701.28),(16 336308.28),(17 343740.38),(18 350877.5),(19 357122.38),(20 363875.06),(21 368438.28),(22 374630.06),(23 379643.78),(24 383677.1),(25 388224.3),(26 393145.7),(27 398415.6),(28 403123.78),(29 407974.1),(30 413805.72),(31 418794.78),(32 423612.34),(33 428171.94),(34 433464.8),(35 436428.6),(36 437283.9),(37 435685.66),(38 434626.25),(39 435780.47),(40 439362.2),(41 444793.22),(42 450723.8),(43 455192.88),(44 457215.25),(45 458178.5),(46 455740.5),(47 452003.03),(48 448179.7),(49 444501.5),(50 444131.7),(51 444755),(52 444566.25),(53 445498.97),(54 447085.3),(55 447440.7),(56 446307.94),(57 443790.06),(58 443224.06),(59 442901.4),(60 442823.4),(61 442736.8),(62 441427.7),(63 440984.1),(64 440205.8),(65 438239.9),(66 436301.5),(67 432220.7),(68 426958.97),(69 422053.44),(70 417279.22),(71 411471.3),(72 405310.38),(73 399737.25),(74 394884.25),(75 392530.28),(76 389971.13),(77 389893.28),(78 392018.8),(79 393253.25),
(1 13400.982),(2 43386.375),(3 86737.96),(4 131986.81),(5 176885.3),(6 217566.13),(7 250405.06),(8 275803.28),(9 293914.78),(10 306664.25),(11 314261.22),(12 318944.38),(13 323370.13),(14 326204.53),(15 327982),(16 330428.03),(17 333301.6),(18 337198.25),(19 341786.1),(20 347640.2),(21 352990.8),(22 358526.06),(23 363372.56),(24 367377),(25 374280.72),(26 379675.06),(27 384386.66),(28 388941.03),(29 394469.75),(30 399720.5),(31 405933.7),(32 410036.22),(33 412029.47),(34 413075),(35 411385.75),(36 408957.88),(37 407125.03),(38 406933.28),(39 408975.47),(40 412762.84),(41 416749.34),(42 422351.2),(43 427333.38),(44 431436.66),(45 435430.2),(46 438058.06),(47 440250.6),(48 443241.66),(49 445975.4),(50 447765.97),(51 448599.66),(52 449018.53),(53 447793.22),(54 448501),(55 449582.72),(56 449175.84),(57 448320.8),(58 447745.97),(59 446563.13),(60 443483.4),(61 440839.66),(62 438405.56),(63 437056.75),(64 437706.63),(65 438396.34),(66 438677.38),(67 438583.8),(68 438055.44),(69 434870.38),(70 431362.03),(71 426994.88),(72 421841.22),(73 417340.28),(74 412575.75),(75 409479.06),(76 406197),(77 403863.4),(78 399359.53),(79 395128.8),
(1 14364.176),(2 45754.74),(3 90123.07),(4 136285.36),(5 180527.19),(6 218573.31),(7 248504.6),(8 270887.34),(9 286839.2),(10 298092.06),(11 306806.22),(12 314505.88),(13 320910.6),(14 326445.8),(15 330999.56),(16 334762.75),(17 338385.72),(18 343464.5),(19 349296.5),(20 353769.38),(21 358143.28),(22 359039.94),(23 358284.66),(24 356032.3),(25 354745.6),(26 353657.63),(27 353542.75),(28 354227.3),(29 355919.34),(30 358500.9),(31 362509.84),(32 364748.9),(33 367141.13),(34 368172.6),(35 368199.1),(36 368824.56),(37 369935.66),(38 372251.56),(39 376009.66),(40 379748.4),(41 383101.9),(42 386865.28),(43 390267.47),(44 394107.9),(45 396940.06),(46 398647.66),(47 398985.13),(48 400040.6),(49 399312.22),(50 399582.84),(51 401791.3),(52 405262.9),(53 411248.5),(54 418175.9),(55 425725.34),(56 430273.97),(57 435026.75),(58 435959.66),(59 435562.03),(60 432406.06),(61 428920.4),(62 425925.44),(63 424275.47),(64 424413.78),(65 425456.28),(66 426136.7),(67 428851.56),(68 430562.2),(69 430219.66),(70 427611.75),(71 423912.88),(72 420254.72),(73 416416.25),(74 413672.78),(75 412625.56),(76 410859.03),(77 410728.88),(78 409264.3),(79 409128.13),
(1 13975.781),(2 44599.42),(3 86518.016),(4 128374.46),(5 167377.98),(6 200284.34),(7 225066.1),(8 242952.97),(9 255617.98),(10 264580.8),(11 270714.56),(12 274649),(13 278294.84),(14 283202.47),(15 287805),(16 295092.3),(17 303906.97),(18 313582.56),(19 322765.97),(20 331014.53),(21 336834.4),(22 340701.78),(23 342842.56),(24 341603.7),(25 340668.66),(26 341773.3),(27 344506.66),(28 346988.5),(29 348110.66),(30 349030.9),(31 350435),(32 352535.2),(33 353399.97),(34 357742.34),(35 359846.66),(36 363144.97),(37 366798.75),(38 371953.7),(39 376490.56),(40 381669.53),(41 384745.7),(42 386582.13),(43 387554.56),(44 386919),(45 386837),(46 387520.56),(47 386592.75),(48 384102.94),(49 382162.88),(50 381195.6),(51 381453.97),(52 382144.66),(53 383865.6),(54 385778.66),(55 388257.84),(56 389985.25),(57 392476.22),(58 393087),(59 391282.75),(60 388478.4),(61 386335.25),(62 383621.9),(63 381919.9),(64 381573.63),(65 380941.78),(66 379628.2),(67 378928.4),(68 378906.03),(69 378692.3),(70 378819.84),(71 378513.4),(72 377945.06),(73 377113.16),(74 375221.88),(75 373883.88),(76 371182.9),(77 368527.53),(78 367695.16),(79 366727.2),
(1 13568.389),(2 42539.992),(3 82712.37),(4 122599.84),(5 159391.66),(6 190207.22),(7 214796.63),(8 232796.36),(9 246023.97),(10 253477.31),(11 257715.58),(12 259339.5),(13 264443.78),(14 271886.4),(15 280817.6),(16 292466),(17 305354.63),(18 317171.2),(19 326664.5),(20 334091.44),(21 340112.7),(22 344659.34),(23 348177.84),(24 348678.75),(25 348796.84),(26 347887.56),(27 345990.47),(28 344656.56),(29 343407.66),(30 342702.2),(31 342235.78),(32 341194.34),(33 339425.63),(34 341118.97),(35 343449.84),(36 348198.25),(37 354433.4),(38 360112.16),(39 365885.78),(40 371563.1),(41 375537),(42 379764.94),(43 383145.34),(44 383692.84),(45 383057.9),(46 382117.25),(47 379048.94),(48 376511.1),(49 374943.34),(50 372037.75),(51 369503.88),(52 367410.16),(53 365768.13),(54 365761.5),(55 365388.38),(56 364541.53),(57 363261.44),(58 361875.66),(59 360479.53),(60 359816.72),(61 360447.4),(62 361757.16),(63 363454.3),(64 365354.34),(65 367712.2),(66 370555.75),(67 375310.28),(68 377878.84),(69 381145.9),(70 383431.75),(71 384017.97),(72 385466),(73 385844.9),(74 385174.66),(75 385705.94),(76 385540.56),(77 384505.78),(78 383804.4),(79 383233.66),
(1 13641.548),(2 42966.625),(3 84249.03),(4 124831.555),(5 161285.75),(6 191105.72),(7 214663.4),(8 232401.4),(9 244627.9),(10 252918.44),(11 258839.88),(12 263927.16),(13 270633.1),(14 280450.56),(15 290863.75),(16 302049.38),(17 313633.25),(18 324106.84),(19 332369.47),(20 338006.66),(21 342098.75),(22 343569.3),(23 344262.3),(24 342976.38),(25 342112.13),(26 341014.06),(27 338960.56),(28 338211.06),(29 338434.28),(30 337759.5),(31 336791.6),(32 334536.03),(33 331386.28),(34 328390.75),(35 325263.6),(36 323793.22),(37 324768.7),(38 326366.56),(39 326945.66),(40 327795.75),(41 327158.94),(42 325147),(43 324490.38),(44 322319.34),(45 320081.44),(46 316931.72),(47 316145.72),(48 318132.53),(49 321297.56),(50 324980.66),(51 330017.38),(52 334141.66),(53 338204.06),(54 342084.34),(55 345085.47),(56 346257.03),(57 345996.78),(58 346965.66),(59 346853.94),(60 347939.72),(61 350102.94),(62 354236.28),(63 357083.34),(64 360921.3),(65 364746.88),(66 366984.84),(67 370909.22),(68 372645.34),(69 374074.84),(70 374622.63),(71 373818.28),(72 374276.16),(73 373528.3),(74 372763.5),(75 371607.38),(76 369604.75),(77 366689.06),(78 363411.34),(79 360442.3),
(1 13263.461),(2 41550.125),(3 80721.07),(4 118561.25),(5 152613.6),(6 180481.75),(7 202642.44),(8 219322.55),(9 230497.95),(10 238599.22),(11 243973.5),(12 248912.1),(13 254179.2),(14 262270.63),(15 268958.66),(16 276004.84),(17 283583.1),(18 288562.22),(19 291774.75),(20 293352.3),(21 294079.2),(22 293597.22),(23 293556.4),(24 294058.84),(25 295733.44),(26 297132.78),(27 299259.97),(28 300799.63),(29 302752.66),(30 303065.28),(31 303461.38),(32 303774.06),(33 304370.34),(34 305544.78),(35 305728.47),(36 307851.25),(37 310448.2),(38 311946.75),(39 314554.94),(40 316829.47),(41 317263.7),(42 317394.8),(43 317741.34),(44 318009.84),(45 318250.66),(46 317390.16),(47 318016.44),(48 320015.7),(49 322717.1),(50 326175.88),(51 329892.38),(52 331491.22),(53 332436.75),(54 332931.5),(55 331587.6),(56 329409.13),(57 326409.94),(58 323939.3),(59 320709),(60 319619.1),(61 319336.22),(62 320185.34),(63 323090.06),(64 325472.3),(65 326660.38),(66 327592.4),(67 329316.03),(68 329950.5),(69 331167.6),(70 331985.88),(71 331434.2),(72 332431.25),(73 333794.34),(74 335120.1),(75 336215.88),(76 337048.03),(77 337921.94),(78 338087.47),(79 339142.84),
(1 13292.114),(2 41382.19),(3 80146.31),(4 117225.63),(5 150123.03),(6 175982.11),(7 196147.72),(8 211322.28),(9 222380.6),(10 232091.23),(11 240711.63),(12 248658.23),(13 256524.58),(14 265969.06),(15 275583.75),(16 285470),(17 296334.72),(18 303925.66),(19 309633.94),(20 313934.5),(21 317297.66),(22 315074.84),(23 312247.94),(24 309780.84),(25 309649.53),(26 310352.1),(27 311754.56),(28 313421.8),(29 314571.84),(30 315813.44),(31 316035.2),(32 316491.94),(33 315663.13),(34 314730.66),(35 313916.63),(36 315035.16),(37 318798.38),(38 322069.06),(39 325844.63),(40 331346.3),(41 334618.47),(42 337821.53),(43 340558.56),(44 342497.53),(45 344478.63),(46 346636.1),(47 347763.25),(48 350808.34),(49 355279.16),(50 358207.9),(51 361783),(52 362694.38),(53 362634.94),(54 361941.5),(55 360457.72),(56 357145.4),(57 354282.28),(58 349777.56),(59 344682.84),(60 340663.72),(61 336043.8),(62 331112.3),(63 328253.56),(64 325166.5),(65 322215.56),(66 320646.9),(67 317520.53),(68 314913.13),(69 313054.38),(70 311821.2),(71 309792.44),(72 309612.72),(73 310954.22),(74 313816.06),(75 317282.1),(76 321024.25),(77 325802.56),(78 328296.63),(79 331869.66),
(1 12962.966),(2 40564.215),(3 77939.52),(4 114174.2),(5 145968.44),(6 171415.7),(7 191694.42),(8 205962.55),(9 216400.47),(10 223771.5),(11 229945.86),(12 234048.48),(13 239264.44),(14 245309.11),(15 251486.5),(16 258391.45),(17 267054.63),(18 273175.28),(19 278330.53),(20 282527.88),(21 286562.44),(22 289159.2),(23 290408.7),(24 290490.56),(25 291505.06),(26 292593.94),(27 294270.2),(28 294570.4),(29 294848),(30 294111.4),(31 291939.6),(32 288705.2),(33 285248.38),(34 282611.66),(35 280540.6),(36 281563.3),(37 284756.75),(38 287812.4),(39 290484.56),(40 291529.1),(41 289575),(42 287328.34),(43 285732.13),(44 283595.9),(45 282651.88),(46 282696.63),(47 283437.2),(48 285200),(49 287268.22),(50 288495.53),(51 289396.44),(52 290112.94),(53 291228.6),(54 293432.75),(55 296442.8),(56 298769.25),(57 301028.75),(58 302289.03),(59 301921.16),(60 301138.78),(61 299705.56),(62 297274.47),(63 294975.28),(64 293069.3),(65 291217.9),(66 289888.06),(67 287659.72),(68 285243.84),(69 283463.28),(70 281495),(71 279922.03),(72 279100.34),(73 279081.44),(74 279026.75),(75 278258.44),(76 278814.22),(77 279263.7),(78 279945.72),(79 282904.03),
(1 12013.124),(2 37074.215),(3 71444.28),(4 104583.01),(5 133956.17),(6 158495.77),(7 177960.97),(8 193190.53),(9 203704.2),(10 210714.8),(11 217246.48),(12 222666.83),(13 229166.64),(14 234121.9),(15 238492.89),(16 242198.67),(17 246298.58),(18 249854.6),(19 252044.23),(20 253721.11),(21 254763.06),(22 255740.64),(23 258421.06),(24 260225.55),(25 261394.98),(26 261855.28),(27 262789.75),(28 264813.34),(29 266321.5),(30 268136.3),(31 269251.25),(32 268438.9),(33 266998.06),(34 265925.97),(35 265035.88),(36 266165.03),(37 267912.13),(38 268774.34),(39 270642.13),(40 271180.38),(41 270832.88),(42 272450.03),(43 274515.75),(44 276393.9),(45 277018.4),(46 277668.63),(47 278082.94),(48 278237.4),(49 278506.13),(50 276702.4),(51 274559.7),(52 270530.47),(53 266131.7),(54 263931.5),(55 262102.1),(56 261389.8),(57 261187.67),(58 262217.25),(59 262922.03),(60 264088.2),(61 265639.2),(62 266956.47),(63 269771.53),(64 272290.66),(65 274552.44),(66 276849.94),(67 277815.2),(68 276785.22),(69 275861.72),(70 273756.22),(71 271656.6),(72 270232.03),(73 269487.97),(74 269223),(75 268468.9),(76 268988.28),(77 268643.94),(78 268320.22),(79 267991.75),
(1 12099.767),(2 37477.004),(3 72025.91),(4 105434.09),(5 134704.8),(6 158324.05),(7 176591.3),(8 189805.72),(9 200276.61),(10 209017.47),(11 215611.94),(12 221898.33),(13 229611.22),(14 238262.84),(15 246832.23),(16 255055.2),(17 262612.06),(18 268901.97),(19 272473.97),(20 275657.63),(21 277495.47),(22 278871.8),(23 279894.78),(24 281636.25),(25 282679.63),(26 283000.6),(27 283081.75),(28 281547.44),(29 280088.78),(30 278609.66),(31 276691.3),(32 274536.8),(33 272037.66),(34 271601.47),(35 272458.88),(36 274683.22),(37 277409.66),(38 278748.94),(39 281011.28),(40 282282.4),(41 282578.78),(42 282955.03),(43 281572.03),(44 280257.75),(45 280084.72),(46 281789.34),(47 283426.6),(48 285095.56),(49 285944.94),(50 287402.6),(51 288307.47),(52 289108.9),(53 289971.53),(54 291287.56),(55 292339.44),(56 292135.4),(57 293684.88),(58 295280.38),(59 295998.72),(60 296004),(61 294989.9),(62 293167.03),(63 292412.3),(64 291027.3),(65 289828.03),(66 288026.1),(67 286229.03),(68 283536.34),(69 282652.03),(70 281546),(71 280621.4),(72 281954.5),(73 285817.53),(74 290517.97),(75 293267.63),(76 294113.03),(77 294262.44),(78 294444.44),(79 293882.94),
(1 12541.514),(2 39224.066),(3 76141.4),(4 111310.164),(5 142329.02),(6 166782.58),(7 185742.9),(8 200636.13),(9 211824.34),(10 220220.05),(11 227685.33),(12 234955.44),(13 244152.02),(14 255413.27),(15 266699.25),(16 276952.16),(17 284703.97),(18 288313.3),(19 290398.28),(20 291668.06),(21 290963.75),(22 288940.97),(23 285533.13),(24 283770.94),(25 283065.6),(26 283721.06),(27 286573.1),(28 287763.72),(29 287914.1),(30 287769),(31 286600.6),(32 284408.3),(33 282262.9),(34 279726.1),(35 278019.75),(36 278400.56),(37 280152.63),(38 281079.47),(39 282961.44),(40 283999.7),(41 286883.97),(42 290019.44),(43 292474.3),(44 295238.38),(45 298870.6),(46 301142.6),(47 302560.13),(48 302252.88),(49 301296.3),(50 300230.8),(51 299507.63),(52 298975.3),(53 299209.78),(54 299244.53),(55 299118.13),(56 298312.2),(57 296758.16),(58 296360.53),(59 296699.56),(60 296915.25),(61 298070.03),(62 298770.63),(63 299312.97),(64 299268.3),(65 298357.38),(66 296595.2),(67 294214.06),(68 291377),(69 290022.5),(70 289663.88),(71 290100.47),(72 292167.3),(73 295649.97),(74 298209.78),(75 297874.2),(76 295323.4),(77 290805.1),(78 287543.97),(79 285117.03),
(1 12074.56),(2 37138.484),(3 70818.29),(4 102860.93),(5 130492.086),(6 153328.63),(7 171539.23),(8 186488.34),(9 197373.88),(10 206159.4),(11 213195.16),(12 218852.8),(13 226325.86),(14 235682.13),(15 244927.17),(16 253850.67),(17 262141.17),(18 267446.53),(19 271763.8),(20 274016.7),(21 273045.13),(22 271774.97),(23 268080.28),(24 264874.7),(25 262271.97),(26 262468.53),(27 264327.5),(28 265870.28),(29 267366.1),(30 269919.4),(31 271732.4),(32 273374.16),(33 275041.66),(34 276410.3),(35 277510.47),(36 279607.34),(37 282522.63),(38 285148.25),(39 286385.8),(40 286199.72),(41 286493.84),(42 288263.47),(43 292083.06),(44 295878.88),(45 299979.94),(46 304730.53),(47 308813.47),(48 311196.13),(49 313109.7),(50 312638.8),(51 312499.6),(52 311615.38),(53 309508.1),(54 308874.66),(55 308784.16),(56 307564.5),(57 305109.75),(58 302193.06),(59 297149.78),(60 292524.63),(61 288505.38),(62 285285.44),(63 283968.38),(64 282662.2),(65 281649.47),(66 281905.4),(67 282367.25),(68 280933.88),(69 281585),(70 281409.38),(71 282403.03),(72 283848.22),(73 285274.7),(74 288251.25),(75 290144.03),(76 291436.16),(77 290619.38),(78 289483.25),(79 288069.13),
(1 12333.948),(2 37917.234),(3 71792.31),(4 103208.77),(5 129463.96),(6 149028.48),(7 163509.63),(8 173846),(9 181921.11),(10 188686.28),(11 194573.1),(12 201010.5),(13 208658.81),(14 218257.64),(15 227030.75),(16 235848.2),(17 243712.69),(18 248410.9),(19 251132.98),(20 252001.4),(21 251683.25),(22 251512.55),(23 249524.75),(24 247415.4),(25 246523.34),(26 246735.75),(27 246976.8),(28 246247.83),(29 246323.5),(30 246970.25),(31 248655.92),(32 252213.19),(33 255378.98),(34 259359.56),(35 263253.44),(36 267298.56),(37 271563),(38 273542.78),(39 274123),(40 273524.34),(41 271667.6),(42 270689.53),(43 271148.63),(44 271239.38),(45 272680.1),(46 274039.97),(47 274648.84),(48 274312.13),(49 273797.3),(50 272724.28),(51 272696.53),(52 272906.6),(53 271094.4),(54 270742.34),(55 269626.25),(56 268538.72),(57 267187.53),(58 266049.8),(59 264554.63),(60 263847.06),(61 262065.42),(62 261473.58),(63 262174.63),(64 263766.03),(65 264607.06),(66 266598.72),(67 269131.03),(68 270040.7),(69 272078.94),(70 273799.53),(71 276505.53),(72 279183.1),(73 281791.9),(74 284472.1),(75 286370.38),(76 288095.22),(77 288141.44),(78 288642.28),(79 288404),
(1 12576.279),(2 38281.203),(3 72694.42),(4 103746.89),(5 129910.02),(6 149638.58),(7 163945.27),(8 175129.19),(9 183654.25),(10 191480.81),(11 198981.88),(12 205691.34),(13 213426.47),(14 221105.06),(15 228560.48),(16 236047.95),(17 241604.42),(18 246399.25),(19 250826.4),(20 253937.58),(21 254992.02),(22 255574.8),(23 255630.45),(24 255008.66),(25 254852.73),(26 255200.06),(27 255808.72),(28 255877.19),(29 254965.08),(30 254601.16),(31 254337.55),(32 253878.19),(33 255054.89),(34 257466.53),(35 259901.88),(36 262988.5),(37 265432.84),(38 266355.7),(39 265317.4),(40 264069.88),(41 260933.34),(42 258997.06),(43 258603.13),(44 257313.16),(45 257843.02),(46 258398.94),(47 258996.05),(48 257758.98),(49 257054.38),(50 256267.27),(51 256679.11),(52 256387.45),(53 255899.95),(54 257007.61),(55 257093.48),(56 257626),(57 259082.58),(58 260679.45),(59 260956.42),(60 260943.81),(61 260302.61),(62 260474.14),(63 261361.52),(64 264365.9),(65 267683.28),(66 270554.16),(67 273291.63),(68 274307.1),(69 276999.3),(70 278921.66),(71 280758.97),(72 280841.88),(73 280679.72),(74 281716.34),(75 281666.53),(76 282328.7),(77 282919.4),(78 283532),(79 283943.13),
