1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 507835.16),(2 1966437.1),(3 4327107.5),(4 7500580.5),(5 11447340),(6 16143283),(7 21517614),(8 27769528),(9 34654428),(10 42361490),(11 50726980),(12 60004908),(13 69776190),(14 79831160),(15 90092000),(16 100534210),(17 111057060),(18 121684580),(19 132401576),(20 143550200),(21 155068180),(22 166576020),(23 178859600),(24 191033780),(25 203573120),(26 216531890),(27 229542860),(28 242681470),(29 255834940),(30 268747700),(31 281504320),(32 294117500),(33 306618850),(34 318941570),(35 331341120),(36 343876000),(37 356694660),(38 370037980),(39 383551330),(40 397294880),(41 411304220),(42 424798880),(43 438362750),(44 451531940),(45 463871500),(46 475619300),(47 486386700),(48 496780060),(49 506776600),(50 515548300),(51 524129440),(52 532445820),(53 541450800),(54 549448600),(55 557223300),(56 564793300),(57 572518000),(58 580025400),(59 586979700),(60 593559600),(61 599725760),(62 605035900),(63 609801860),(64 613437000),(65 616712200),(66 619978300),(67 622952200),(68 626506430),(69 629462300),(70 632374600),(71 636003900),(72 640090500),(73 644643900),(74 648834800),(75 652917700),(76 656687900),(77 659674560),(78 661482430),(79 662679000),
(1 289009.1),(2 1097470.9),(3 2386546.8),(4 4100698.5),(5 6265588),(6 8853406),(7 11891880),(8 15401914),(9 19388838),(10 23744512),(11 28386812),(12 33515044),(13 38956236),(14 44482376),(15 50020496),(16 55454144),(17 60799510),(18 66106010),(19 71341940),(20 76793180),(21 82342420),(22 87748540),(23 93444880),(24 99156370),(25 104921220),(26 110754800),(27 116471976),(28 121969370),(29 127250770),(30 132131200),(31 136799310),(32 141302560),(33 145673060),(34 149907170),(35 153966380),(36 158306350),(37 162922020),(38 167900180),(39 173039420),(40 178609700),(41 184459600),(42 190327360),(43 196274830),(44 202534190),(45 208602340),(46 214164530),(47 219390460),(48 224416800),(49 229002030),(50 233126060),(51 236970460),(52 240785620),(53 244736900),(54 248444620),(55 252279400),(56 256171040),(57 259851300),(58 263471870),(59 266864380),(60 270198200),(61 273128640),(62 275424860),(63 277335900),(64 278444130),(65 278860130),(66 278909500),(67 278643870),(68 278333600),(69 277756930),(70 277302880),(71 277085400),(72 277088450),(73 277433470),(74 277682000),(75 277520300),(76 277014880),(77 276040860),(78 274395330),(79 272146200),
(1 248449.8),(2 936695.06),(3 2034520.4),(4 3496373.8),(5 5309612),(6 7408252),(7 9892541),(8 12667495),(9 15738972),(10 19029798),(11 22510166),(12 26199842),(13 30035790),(14 34062430),(15 38314380),(16 42502804),(17 46665540),(18 50799740),(19 54818220),(20 58909324),(21 62890560),(22 66589940),(23 70405680),(24 74111830),(25 77731080),(26 81209880),(27 84450776),(28 87396344),(29 89932130),(30 92024056),(31 93819704),(32 95233000),(33 96318880),(34 96944024),(35 97295450),(36 97378410),(37 97436376),(38 97566020),(39 97400000),(40 97205290),(41 96960680),(42 96670020),(43 96404890),(44 96107910),(45 95781944),(46 95263040),(47 94727010),(48 94172984),(49 93582310),(50 92910400),(51 92231050),(52 91707830),(53 91336870),(54 91134824),(55 91168136),(56 91245670),(57 91230710),(58 91140696),(59 91059840),(60 91063336),(61 90979670),(62 90710440),(63 90502170),(64 90135620),(65 89630936),(66 89009060),(67 88324900),(68 87611610),(69 86947130),(70 86382500),(71 85944700),(72 85512330),(73 85150584),(74 84672536),(75 84119464),(76 83346240),(77 82529176),(78 81652560),(79 80647560),
(1 340170),(2 1319344.1),(3 2900471.8),(4 5054244.5),(5 7702699.5),(6 10840859),(7 14479035),(8 18507876),(9 23047724),(10 27988416),(11 33257800),(12 38810424),(13 44508424),(14 50321260),(15 56352336),(16 62314964),(17 68183304),(18 73699990),(19 79004090),(20 84076376),(21 88923300),(22 93402780),(23 97748264),(24 101734210),(25 105335340),(26 108531784),(27 111152990),(28 113261270),(29 114744370),(30 115508860),(31 115779220),(32 115589360),(33 115326360),(34 114568790),(35 113461416),(36 111862180),(37 110073250),(38 108151256),(39 106044376),(40 103697570),(41 101191590),(42 98552360),(43 95903670),(44 93171700),(45 90534170),(46 87954050),(47 85475030),(48 83145240),(49 80832800),(50 78748800),(51 76832370),(52 74987240),(53 73153260),(54 71425256),(55 69815480),(56 68329430),(57 67011970),(58 65754936),(59 64690532),(60 63703316),(61 62791470),(62 62003640),(63 61341924),(64 60756052),(65 60084764),(66 59388730),(67 58803844),(68 58244400),(69 57629576),(70 57048080),(71 56513668),(72 55894676),(73 55297424),(74 54684068),(75 54014250),(76 53476900),(77 52967870),(78 52655636),(79 52321650),
(1 376226.16),(2 1454207),(3 3190562.5),(4 5526578),(5 8412298),(6 11826879),(7 15767398),(8 20093298),(9 24816652),(10 29888366),(11 35162456),(12 40705710),(13 46371440),(14 52031412),(15 57833404),(16 63533890),(17 69251210),(18 74796980),(19 80123256),(20 85268740),(21 90117290),(22 94527820),(23 98696610),(24 102429770),(25 105693640),(26 108386920),(27 110382360),(28 111757290),(29 112473380),(30 112510590),(31 112054880),(32 111253730),(33 110190540),(34 108743096),(35 107009540),(36 104990440),(37 102932150),(38 100673670),(39 98314080),(40 95860600),(41 93236090),(42 90645090),(43 88135710),(44 85747896),(45 83579416),(46 81529896),(47 79794840),(48 78371040),(49 77240050),(50 76440120),(51 75908100),(52 75515330),(53 75241450),(54 75140920),(55 75172060),(56 75282360),(57 75409160),(58 75512680),(59 75785350),(60 76127480),(61 76404190),(62 76822800),(63 77324280),(64 77833220),(65 78285660),(66 78709144),(67 79132650),(68 79336880),(69 79389310),(70 79348450),(71 78979336),(72 78372540),(73 77611464),(74 76697600),(75 75705160),(76 74704610),(77 73634480),(78 72709320),(79 71788520),
(1 337546.53),(2 1278869.4),(3 2763319.3),(4 4731246.5),(5 7114079),(6 9841910),(7 12931058),(8 16355822),(9 19940868),(10 23726522),(11 27651044),(12 31677226),(13 35662796),(14 39458836),(15 43110372),(16 46474970),(17 49551270),(18 52398212),(19 54978550),(20 57356120),(21 59557016),(22 61538370),(23 63294230),(24 64843520),(25 66145730),(26 67105920),(27 67826200),(28 68293230),(29 68428264),(30 68342220),(31 68046220),(32 67626830),(33 67161040),(34 66605132),(35 65950772),(36 65211080),(37 64425332),(38 63770196),(39 63094124),(40 62565850),(41 62017830),(42 61518708),(43 61265548),(44 61142380),(45 61218664),(46 61551456),(47 62103576),(48 62828130),(49 63678456),(50 64671930),(51 65834484),(52 67076890),(53 68519870),(54 70026950),(55 71598590),(56 73172370),(57 74621140),(58 76015590),(59 77324630),(60 78404210),(61 79212400),(62 79927140),(63 80391960),(64 80588184),(65 80506730),(66 80271120),(67 79875880),(68 79349784),(69 78745980),(70 78026900),(71 77009620),(72 75861144),(73 74658100),(74 73483480),(75 72268120),(76 71053380),(77 69894100),(78 68693390),(79 67597610),
(1 354239.28),(2 1356284.5),(3 2950706.5),(4 5079603),(5 7692888.5),(6 10703818),(7 14154495),(8 17983294),(9 22109592),(10 26478218),(11 31024328),(12 35609092),(13 40029010),(14 44123644),(15 48057090),(16 51501852),(17 54578668),(18 57358424),(19 59779108),(20 61984196),(21 63893340),(22 65503036),(23 66801340),(24 67890290),(25 68713930),(26 69244460),(27 69569500),(28 69780700),(29 69785070),(30 69700520),(31 69483110),(32 69174970),(33 68961900),(34 68863690),(35 68760930),(36 68685670),(37 68635640),(38 68642230),(39 68633680),(40 68583340),(41 68446344),(42 68168090),(43 67974780),(44 67662630),(45 67365370),(46 67088130),(47 66756188),(48 66365816),(49 65875824),(50 65257850),(51 64612456),(52 63868736),(53 63176420),(54 62466236),(55 61782810),(56 61133456),(57 60438468),(58 59776572),(59 59240680),(60 58918984),(61 58776696),(62 58839548),(63 59129616),(64 59630170),(65 60318544),(66 61208520),(67 62294930),(68 63339970),(69 64384348),(70 65514204),(71 66555410),(72 67569440),(73 68578740),(74 69615160),(75 70613576),(76 71690890),(77 72712670),(78 73690040),(79 74638540),
(1 279107.2),(2 1055392.5),(3 2252563.8),(4 3818914.8),(5 5677197),(6 7807658),(7 10185782),(8 12765395),(9 15560047),(10 18409076),(11 21286980),(12 24137006),(13 26809006),(14 29276100),(15 31644904),(16 33782456),(17 35681600),(18 37364610),(19 38838484),(20 40063564),(21 41128744),(22 42062852),(23 42961856),(24 43872536),(25 44773572),(26 45648372),(27 46564172),(28 47433350),(29 48281536),(30 49134172),(31 50040530),(32 50963416),(33 51977388),(34 53019140),(35 54060570),(36 55204156),(37 56395930),(38 57468468),(39 58450508),(40 59215400),(41 59886244),(42 60495216),(43 61008496),(44 61415224),(45 61755148),(46 61948950),(47 62123930),(48 62252836),(49 62288620),(50 62283150),(51 62244268),(52 62167336),(53 61990010),(54 61669268),(55 61269420),(56 60628340),(57 59840250),(58 58904016),(59 57926892),(60 57007480),(61 56079590),(62 55225836),(63 54526670),(64 53899930),(65 53282224),(66 52823932),(67 52574212),(68 52312204),(69 52127020),(70 52080250),(71 52050160),(72 52180504),(73 52404744),(74 52689812),(75 53155020),(76 53771540),(77 54478080),(78 55247144),(79 55897556),
(1 292550.75),(2 1091139.9),(3 2290153.5),(4 3814495.5),(5 5571966),(6 7524826.5),(7 9617874),(8 11823680),(9 14109201),(10 16426684),(11 18690208),(12 20904432),(13 22995678),(14 24921350),(15 26704384),(16 28287116),(17 29654924),(18 30829132),(19 31827020),(20 32647288),(21 33317832),(22 33818748),(23 34212840),(24 34425412),(25 34499868),(26 34448476),(27 34353716),(28 34166492),(29 34060876),(30 34026732),(31 34124300),(32 34410060),(33 34859244),(34 35470190),(35 36149470),(36 36913640),(37 37743730),(38 38698576),(39 39667710),(40 40569890),(41 41375770),(42 41964944),(43 42352364),(44 42448852),(45 42338612),(46 42081012),(47 41645620),(48 41055360),(49 40374840),(50 39655350),(51 38878148),(52 38129600),(53 37411110),(54 36717440),(55 36098300),(56 35616612),(57 35267530),(58 35059990),(59 34968572),(60 34973690),(61 35061470),(62 35201860),(63 35501710),(64 35801590),(65 36056010),(66 36286000),(67 36529460),(68 36694332),(69 36742290),(70 36722910),(71 36646304),(72 36542620),(73 36410776),(74 36228324),(75 36033920),(76 35840990),(77 35691370),(78 35549076),(79 35415316),
(1 275067.56),(2 1028854),(3 2161649),(4 3606043),(5 5276426),(6 7108162.5),(7 9059694),(8 11057142),(9 13078160),(10 15062219),(11 17008148),(12 18844250),(13 20486594),(14 21926702),(15 23224952),(16 24383582),(17 25452908),(18 26492718),(19 27567858),(20 28605614),(21 29647882),(22 30590272),(23 31508808),(24 32416000),(25 33221934),(26 33989884),(27 34653836),(28 35186384),(29 35658616),(30 36060396),(31 36460260),(32 36956544),(33 37401424),(34 37881610),(35 38391640),(36 38883810),(37 39354384),(38 39817344),(39 40335276),(40 40805170),(41 41283216),(42 41750790),(43 42212400),(44 42656504),(45 42962304),(46 43179924),(47 43341936),(48 43419450),(49 43441870),(50 43474560),(51 43459470),(52 43425764),(53 43277880),(54 43151036),(55 42972080),(56 42732376),(57 42514184),(58 42278030),(59 42071544),(60 41883696),(61 41676180),(62 41493012),(63 41313210),(64 41060240),(65 40727710),(66 40357704),(67 39950548),(68 39428092),(69 38786800),(70 38107176),(71 37386990),(72 36657896),(73 35921324),(74 35240170),(75 34614244),(76 34012490),(77 33487274),(78 33040320),(79 32634748),
(1 188790.47),(2 689897.06),(3 1432978),(4 2356146),(5 3388918.8),(6 4503712.5),(7 5639356),(8 6781824),(9 7928552.5),(10 9011710),(11 10065860),(12 11054002),(13 11956945),(14 12727148),(15 13383746),(16 14018355),(17 14553299),(18 15096697),(19 15664513),(20 16175859),(21 16702526),(22 17202166),(23 17707236),(24 18140178),(25 18534924),(26 18825552),(27 19059984),(28 19237406),(29 19324898),(30 19299886),(31 19185648),(32 18970768),(33 18723252),(34 18439692),(35 18176670),(36 17967920),(37 17778286),(38 17624312),(39 17508438),(40 17470594),(41 17520288),(42 17617340),(43 17760072),(44 17981624),(45 18233160),(46 18501178),(47 18806790),(48 19083858),(49 19320368),(50 19523686),(51 19683396),(52 19740070),(53 19692480),(54 19570850),(55 19411146),(56 19215048),(57 19048466),(58 18880056),(59 18747996),(60 18705780),(61 18682568),(62 18703044),(63 18779478),(64 18860322),(65 18904658),(66 18917896),(67 18893696),(68 18833468),(69 18721454),(70 18618538),(71 18468550),(72 18298692),(73 18090640),(74 17909042),(75 17771592),(76 17667552),(77 17648956),(78 17688726),(79 17799088),
