1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,
(1 3.615409),(2 6.3046255),(3 6.3066273),(4 9.396574),(5 16.938065),(6 20.48787),(7 20.493595),(8 24.329185),(9 29.982674),(10 31.182074),(11 31.172838),(12 31.913609),(13 33.012455),(14 34.43968),(15 34.44499),(16 36.214176),(17 40.61355),(18 42.850113),(19 42.871567),(20 44.82328),(21 46.913887),(22 47.8151),(23 47.86397),(24 48.40934),(25 50.17789),(26 51.427177),(27 51.419975),(28 52.27874),(29 53.720013),(30 54.059994),(31 54.055733),(32 54.680923),(33 55.95545),(34 56.74469),(35 56.778458),(36 58.026073),(37 58.52314),(38 58.41973),(39 58.433838),(40 57.981483),(41 58.467518),(42 58.791862),
(1 3.4907587),(2 6.179991),(3 6.182138),(4 9.173469),(5 15.866304),(6 19.048445),(7 19.06798),(8 21.989279),(9 25.9006),(10 26.543447),(11 26.561472),(12 27.088068),(13 28.982862),(14 30.758303),(15 30.769226),(16 32.7585),(17 36.18505),(18 37.739902),(19 37.766827),(20 39.392406),(21 41.345985),(22 41.867306),(23 41.9027),(24 42.86451),(25 44.381065),(26 45.233288),(27 45.234154),(28 45.513466),(29 46.82107),(30 47.542465),(31 47.533783),(32 48.08298),(33 49.074078),(34 49.75918),(35 49.740646),(36 50.414307),(37 51.51289),(38 51.86143),(39 51.89299),(40 52.079082),(41 52.238686),(42 52.993073),
(1 3.5764022),(2 6.2302837),(3 6.231116),(4 9.2267),(5 15.902431),(6 18.747282),(7 18.749622),(8 21.566376),(9 24.196743),(10 24.283352),(11 24.29122),(12 24.533663),(13 26.010363),(14 27.838552),(15 27.859438),(16 29.834227),(17 33.071007),(18 34.31073),(19 34.325653),(20 34.99722),(21 35.961506),(22 36.60104),(23 36.625416),(24 37.607674),(25 39.535664),(26 40.8176),(27 40.82557),(28 41.75574),(29 43.397583),(30 43.95822),(31 43.95598),(32 44.24165),(33 44.259094),(34 44.67221),(35 44.67168),(36 45.211723),(37 45.970688),(38 46.176),(39 46.20462),(40 46.067318),(41 45.98923),(42 45.857815),
(1 3.061557),(2 5.37851),(3 5.377959),(4 8.044065),(5 14.277792),(6 16.964819),(7 16.963608),(8 19.37113),(9 21.312752),(10 21.375212),(11 21.379482),(12 21.938656),(13 24.500286),(14 26.207836),(15 26.223488),(16 27.715118),(17 29.492046),(18 30.006466),(19 30.024069),(20 30.622126),(21 31.693914),(22 32.718945),(23 32.75816),(24 33.65363),(25 35.60864),(26 36.620922),(27 36.629467),(28 37.632885),(29 39.407814),(30 39.82343),(31 39.81806),(32 39.86602),(33 39.404255),(34 39.45789),(35 39.446434),(36 40.139194),(37 40.568897),(38 41.14046),(39 41.15965),(40 41.440563),(41 42.389137),(42 42.731804),
(1 3.1107044),(2 5.4216027),(3 5.421626),(4 7.72767),(5 12.844185),(6 15.24583),(7 15.261331),(8 17.359737),(9 19.843685),(10 20.475157),(11 20.479626),(12 21.050415),(13 23.096312),(14 24.611586),(15 24.598864),(16 25.818897),(17 27.507528),(18 27.740774),(19 27.775173),(20 28.409235),(21 29.30706),(22 30.1376),(23 30.17241),(24 31.090351),(25 32.783516),(26 33.707226),(27 33.718864),(28 34.307667),(29 35.323326),(30 35.68525),(31 35.683327),(32 36.078903),(33 36.753345),(34 36.836372),(35 36.835823),(36 37.36696),(37 38.480553),(38 38.62853),(39 38.661213),(40 38.69262),(41 38.685635),(42 38.560173),
(1 3.124205),(2 5.440254),(3 5.4400744),(4 7.8371644),(5 13.405563),(6 15.415625),(7 15.4220085),(8 16.889616),(9 18.515461),(10 19.26327),(11 19.270872),(12 20.366684),(13 22.85718),(14 24.255),(15 24.271624),(16 25.291857),(17 26.525612),(18 26.859371),(19 26.86599),(20 27.166773),(21 28.534119),(22 29.494238),(23 29.519447),(24 30.318678),(25 31.364843),(26 31.979303),(27 31.99424),(28 32.54165),(29 33.503677),(30 33.694195),(31 33.695137),(32 33.753998),(33 34.240273),(34 34.726475),(35 34.730232),(36 35.22589),(37 35.959263),(38 36.448814),(39 36.456787),(40 36.62938),(41 36.88888),(42 36.661636),
(1 2.8638382),(2 4.929787),(3 4.9276314),(4 7.3340125),(5 12.254874),(6 14.004284),(7 14.008418),(8 15.403958),(9 17.588314),(10 18.696945),(11 18.714157),(12 19.924313),(13 22.24568),(14 23.220377),(15 23.228739),(16 23.72182),(17 24.884615),(18 25.448168),(19 25.466248),(20 25.944147),(21 27.04743),(22 27.737234),(23 27.7822),(24 28.34656),(25 28.798105),(26 28.981455),(27 28.983368),(28 29.333979),(29 30.11746),(30 30.679287),(31 30.675043),(32 31.192045),(33 32.64478),(34 33.519444),(35 33.524143),(36 34.407967),(37 35.529522),(38 35.804672),(39 35.81873),(40 35.68771),(41 35.904503),(42 35.648457),
(1 2.7856352),(2 4.62955),(3 4.6291337),(4 6.6781187),(5 11.474132),(6 13.205796),(7 13.23455),(8 14.502043),(9 16.138247),(10 17.220764),(11 17.227741),(12 18.510658),(13 20.000937),(14 20.446468),(15 20.449783),(16 20.88971),(17 21.907108),(18 22.783403),(19 22.819273),(20 23.998438),(21 25.505335),(22 25.934996),(23 25.957655),(24 26.40713),(25 26.40764),(26 26.816734),(27 26.822811),(28 26.896196),(29 27.670666),(30 28.019325),(31 28.01909),(32 28.455564),(33 28.873869),(34 29.38081),(35 29.40562),(36 29.769875),(37 31.251314),(38 31.806389),(39 31.816038),(40 31.85199),(41 32.144676),(42 31.821737),
(1 2.6671987),(2 4.2804766),(3 4.2817464),(4 6.092897),(5 10.288594),(6 11.640825),(7 11.656885),(8 12.7427),(9 14.362338),(10 15.254062),(11 15.263613),(12 16.273125),(13 17.322363),(14 17.749245),(15 17.751122),(16 18.311617),(17 19.744165),(18 20.506405),(19 20.50904),(20 21.23917),(21 22.558569),(22 22.824219),(23 22.835123),(24 23.197989),(25 23.836473),(26 24.302725),(27 24.309761),(28 24.526695),(29 24.90805),(30 25.412045),(31 25.409307),(32 25.406916),(33 25.918549),(34 26.179941),(35 26.205946),(36 26.369146),(37 27.116816),(38 27.57608),(39 27.578142),(40 27.784508),(41 28.522673),(42 28.462343),
(1 2.74374),(2 4.522303),(3 4.524774),(4 6.4167438),(5 10.32339),(6 11.695764),(7 11.719238),(8 12.827103),(9 14.681236),(10 15.682291),(11 15.702273),(12 16.80132),(13 17.78811),(14 18.335472),(15 18.354952),(16 18.960754),(17 20.59765),(18 21.157991),(19 21.174404),(20 21.634241),(21 22.480314),(22 22.839075),(23 22.862408),(24 23.271347),(25 24.069384),(26 24.59121),(27 24.588432),(28 24.813326),(29 25.385935),(30 25.692278),(31 25.693043),(32 25.644701),(33 26.1993),(34 26.573254),(35 26.60321),(36 27.18403),(37 28.532742),(38 28.614464),(39 28.637945),(40 28.548061),(41 29.066263),(42 29.055862),
