1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,
(1 0.5481077),(2 0.9575905),(3 0.95798767),(4 1.422016),(5 2.8354354),(6 3.5824313),(7 3.586417),(8 4.4802103),(9 6.3415174),(10 7.1783648),(11 7.182758),(12 8.00202),(13 9.595791),(14 10.278719),(15 10.287896),(16 10.933866),(17 12.195419),(18 12.825373),(19 12.830846),(20 13.477787),(21 14.64547),(22 15.201609),(23 15.206129),(24 15.773514),(25 16.72518),(26 17.287064),(27 17.294987),(28 17.871414),(29 19.107174),(30 19.702826),(31 19.701519),(32 20.357637),(33 21.27397),(34 21.580341),(35 21.580788),(36 21.869175),(37 22.34133),(38 22.56882),(39 22.559086),(40 22.825268),(41 23.193806),(42 23.146505),
(1 0.82514566),(2 1.4524955),(3 1.4527533),(4 2.2068899),(5 4.28604),(6 5.478694),(7 5.4856915),(8 6.788824),(9 9.260279),(10 10.288118),(11 10.292083),(12 11.17245),(13 12.786504),(14 13.566816),(15 13.576346),(16 14.336832),(17 16.166332),(18 17.082052),(19 17.095816),(20 17.904333),(21 19.147707),(22 19.842285),(23 19.852856),(24 20.55333),(25 21.45798),(26 21.956999),(27 21.967894),(28 22.37265),(29 23.484259),(30 24.092049),(31 24.089655),(32 24.810492),(33 25.889154),(34 26.310553),(35 26.311703),(36 26.707558),(37 27.152653),(38 27.3261),(39 27.32669),(40 27.459541),(41 27.419775),(42 27.39184),
(1 0.9268897),(2 1.6101393),(3 1.6103319),(4 2.3877983),(5 4.2770066),(6 5.185481),(7 5.191319),(8 6.1835184),(9 8.0711155),(10 8.787356),(11 8.793048),(12 9.397238),(13 10.369614),(14 10.789162),(15 10.79646),(16 11.258747),(17 12.453025),(18 13.136624),(19 13.146108),(20 13.699491),(21 14.636364),(22 15.011152),(23 15.022473),(24 15.449239),(25 16.186472),(26 16.561787),(27 16.568802),(28 16.865965),(29 17.62891),(30 17.953812),(31 17.953505),(32 18.29221),(33 18.69983),(34 18.849737),(35 18.84395),(36 19.077599),(37 19.361406),(38 19.50282),(39 19.506332),(40 19.57974),(41 19.68133),(42 19.762325),
(1 1.1843545),(2 2.070205),(3 2.070534),(4 3.0485184),(5 5.339071),(6 6.4350457),(7 6.4378457),(8 7.5974693),(9 9.37991),(10 9.900986),(11 9.906784),(12 10.350079),(13 11.168204),(14 11.584798),(15 11.591046),(16 12.055419),(17 12.9984665),(18 13.451886),(19 13.461484),(20 13.8893385),(21 14.620589),(22 14.944818),(23 14.954857),(24 15.268051),(25 15.778817),(26 16.133379),(27 16.135801),(28 16.423286),(29 17.129375),(30 17.40855),(31 17.407095),(32 17.633524),(33 18.129206),(34 18.42554),(35 18.433868),(36 18.812592),(37 19.33241),(38 19.512445),(39 19.517197),(40 19.56154),(41 19.596025),(42 19.639875),
(1 1.2017109),(2 2.0687814),(3 2.0689352),(4 2.9952621),(5 5.1030335),(6 6.024735),(7 6.0292478),(8 6.8835473),(9 8.119861),(10 8.535097),(11 8.537961),(12 8.9181),(13 9.584129),(14 10.068807),(15 10.078181),(16 10.51087),(17 11.381875),(18 11.801604),(19 11.81491),(20 12.292496),(21 12.924177),(22 13.186909),(23 13.200363),(24 13.538474),(25 13.9654255),(26 14.237181),(27 14.240417),(28 14.356016),(29 14.836195),(30 14.96698),(31 14.96597),(32 15.114492),(33 15.373777),(34 15.58408),(35 15.588133),(36 15.882546),(37 16.210245),(38 16.387571),(39 16.394644),(40 16.384192),(41 16.484953),(42 16.538277),
(1 0.9030164),(2 1.5092853),(3 1.5095754),(4 2.16958),(5 3.6393209),(6 4.162533),(7 4.168504),(8 4.6106706),(9 5.218632),(10 5.484481),(11 5.4904084),(12 5.7896395),(13 6.2765217),(14 6.55526),(15 6.5563455),(16 6.8394194),(17 7.359459),(18 7.5724916),(19 7.578807),(20 7.81993),(21 8.150253),(22 8.332894),(23 8.338018),(24 8.489951),(25 8.830844),(26 9.058056),(27 9.059229),(28 9.245817),(29 9.563551),(30 9.634316),(31 9.633793),(32 9.620283),(33 9.772262),(34 9.90078),(35 9.900938),(36 10.056149),(37 10.356916),(38 10.472334),(39 10.474674),(40 10.538788),(41 10.681882),(42 10.704984),
(1 0.9222186),(2 1.5287657),(3 1.5289053),(4 2.1901824),(5 3.6196988),(6 4.091665),(7 4.0962396),(8 4.398081),(9 5.041847),(10 5.3839865),(11 5.388003),(12 5.6910563),(13 6.1429005),(14 6.4688497),(15 6.4731464),(16 6.7286725),(17 7.0792384),(18 7.238386),(19 7.242181),(20 7.415457),(21 7.730376),(22 7.8812423),(23 7.8874636),(24 8.063456),(25 8.274424),(26 8.364367),(27 8.366304),(28 8.37192),(29 8.514252),(30 8.669556),(31 8.669259),(32 8.775774),(33 9.021139),(34 9.137867),(35 9.144143),(36 9.282828),(37 9.500648),(38 9.557333),(39 9.561651),(40 9.537573),(41 9.631168),(42 9.628438),
(1 0.8641813),(2 1.3814571),(3 1.3815964),(4 1.9246318),(5 3.0555913),(6 3.3609393),(7 3.3664312),(8 3.5883448),(9 4.2501664),(10 4.581307),(11 4.5862875),(12 4.843135),(13 5.1839094),(14 5.403224),(15 5.4067855),(16 5.560913),(17 5.854665),(18 5.9948025),(19 5.997743),(20 6.155986),(21 6.3963003),(22 6.507036),(23 6.5124683),(24 6.6571546),(25 6.9545836),(26 7.1024117),(27 7.1036205),(28 7.1654143),(29 7.2958374),(30 7.4195843),(31 7.4200373),(32 7.505304),(33 7.710425),(34 7.7920604),(35 7.7974887),(36 7.9104877),(37 8.059044),(38 8.103331),(39 8.106877),(40 8.126603),(41 8.140847),(42 8.089867),
(1 0.8022699),(2 1.2575897),(3 1.2578074),(4 1.7409345),(5 2.6934173),(6 2.9177628),(7 2.9247365),(8 3.0640051),(9 3.6231985),(10 3.8778896),(11 3.88344),(12 4.052543),(13 4.338676),(14 4.4701014),(15 4.4782543),(16 4.595133),(17 4.8704586),(18 4.985494),(19 4.9883933),(20 5.084917),(21 5.276263),(22 5.385685),(23 5.3895903),(24 5.529535),(25 5.725489),(26 5.8077526),(27 5.8107615),(28 5.803856),(29 5.8643436),(30 5.9572687),(31 5.956692),(32 6.0161276),(33 6.213132),(34 6.3119707),(35 6.314143),(36 6.403051),(37 6.4809117),(38 6.469188),(39 6.468097),(40 6.45451),(41 6.486286),(42 6.500344),
(1 0.7347924),(2 1.1408837),(3 1.1408671),(4 1.5654888),(5 2.3228235),(6 2.4712622),(7 2.475228),(8 2.5967987),(9 3.0823097),(10 3.2591498),(11 3.2667503),(12 3.390337),(13 3.6110952),(14 3.7469163),(15 3.7525349),(16 3.8675358),(17 4.034485),(18 4.1246347),(19 4.1299157),(20 4.2211423),(21 4.4059258),(22 4.4853287),(23 4.490512),(24 4.5789943),(25 4.688829),(26 4.780331),(27 4.7871647),(28 4.8156543),(29 4.8503),(30 4.9470735),(31 4.946943),(32 5.0246234),(33 5.16053),(34 5.2177362),(35 5.221633),(36 5.2694154),(37 5.362222),(38 5.422028),(39 5.423162),(40 5.4718294),(41 5.489158),(42 5.468453),
(1 0.5837285),(2 0.89314824),(3 0.89320856),(4 1.2067739),(5 1.7789483),(6 1.885289),(7 1.8908533),(8 1.9866853),(9 2.3397336),(10 2.4535575),(11 2.4581366),(12 2.5691607),(13 2.7844248),(14 2.8355074),(15 2.8392403),(16 2.897051),(17 3.064729),(18 3.159581),(19 3.1641421),(20 3.2256553),(21 3.29725),(22 3.3514981),(23 3.3541832),(24 3.4255471),(25 3.5554743),(26 3.6365237),(27 3.640401),(28 3.6740935),(29 3.7381222),(30 3.8011198),(31 3.8008394),(32 3.8576624),(33 3.928454),(34 3.988166),(35 3.9927084),(36 4.078856),(37 4.1443896),(38 4.144006),(39 4.144485),(40 4.131114),(41 4.138479),(42 4.15132),
