(1 3.3185537),(2 5.6040707),(3 5.6042128),(4 7.933433),(5 14.565151),(6 17.886818),(7 17.902994),(8 21.222525),(9 28.240702),(10 31.593115),(11 31.634232),(12 34.010693),(13 38.480614),(14 40.789764),(15 40.841835),(16 43.115204),(17 47.672462),(18 49.949066),(19 50.0328),(20 52.25725),(21 56.313694),(22 58.154427),(23 58.16761),(24 61.352337),(25 65.566124),(26 66.69771),(27 66.684746),(28 67.307526),(29 69.77557),(30 70.47029),(31 70.48752),(32 71.85422),(33 75.14891),(34 76.72499),(35 76.64218),(36 78.114365),(37 78.354416),(38 78.50052),(39 78.48547),(40 77.80757),(41 76.768555),(42 76.79584),
(1 3.5476239),(2 6.2137012),(3 6.2125573),(4 8.617716),(5 15.037129),(6 18.257559),(7 18.299046),(8 22.19143),(9 29.631714),(10 32.49107),(11 32.502026),(12 34.46782),(13 39.615376),(14 42.03463),(15 42.105927),(16 43.901848),(17 48.390495),(18 50.64678),(19 50.71082),(20 52.43925),(21 55.644104),(22 56.892338),(23 56.942406),(24 58.664677),(25 58.24199),(26 57.55001),(27 57.602604),(28 57.282543),(29 59.378265),(30 61.27157),(31 61.281403),(32 63.52741),(33 68.903114),(34 70.87854),(35 70.88518),(36 72.34032),(37 73.20711),(38 73.61712),(39 73.67274),(40 73.59031),(41 73.13568),(42 73.90076),
(1 3.7002978),(2 6.455492),(3 6.454605),(4 9.038115),(5 15.997156),(6 19.246887),(7 19.249498),(8 23.033327),(9 30.768509),(10 34.344936),(11 34.422028),(12 36.831226),(13 41.133835),(14 42.874653),(15 42.952553),(16 44.32484),(17 48.30273),(18 49.945152),(19 49.985424),(20 51.332027),(21 54.86045),(22 56.375145),(23 56.431137),(24 57.634613),(25 59.004894),(26 59.14837),(27 59.13743),(28 59.739902),(29 62.14578),(30 63.96102),(31 63.97286),(32 66.79211),(33 71.4205),(34 73.87887),(35 73.82769),(36 77.31096),(37 81.34275),(38 81.97769),(39 81.972046),(40 82.14712),(41 83.42184),(42 84.10593),
(1 3.6153321),(2 6.3043294),(3 6.3054166),(4 8.849926),(5 14.838628),(6 17.894497),(7 17.923815),(8 21.28637),(9 27.18329),(10 29.263931),(11 29.341764),(12 31.532602),(13 35.797634),(14 37.072636),(15 37.074966),(16 37.96792),(17 41.282772),(18 43.745003),(19 43.80333),(20 46.609665),(21 51.527634),(22 53.081837),(23 53.156975),(24 54.90656),(25 57.115494),(26 57.634388),(27 57.60007),(28 57.89528),(29 60.820797),(30 62.253475),(31 62.254288),(32 63.93318),(33 65.84716),(34 67.67884),(35 67.644424),(36 69.39963),(37 71.76089),(38 72.577156),(39 72.562164),(40 72.91457),(41 72.94484),(42 73.1077),
(1 3.4548788),(2 6.246831),(3 6.2466993),(4 9.056452),(5 16.389578),(6 19.863955),(7 19.892843),(8 22.724092),(9 28.376825),(10 30.536016),(11 30.59626),(12 32.463787),(13 36.29031),(14 38.39049),(15 38.351845),(16 40.313507),(17 44.23748),(18 46.476856),(19 46.49839),(20 48.05374),(21 50.034225),(22 50.80561),(23 50.824215),(24 51.034443),(25 51.052696),(26 52.288765),(27 52.334053),(28 53.679073),(29 56.631577),(30 58.357967),(31 58.355236),(32 59.864773),(33 61.395897),(34 63.04389),(35 63.05417),(36 65.26571),(37 67.36727),(38 68.11501),(39 68.10328),(40 68.49813),(41 69.13414),(42 70.349045),
(1 3.5997832),(2 6.3676505),(3 6.370163),(4 9.360418),(5 16.457468),(6 19.460058),(7 19.486736),(8 22.88909),(9 29.778385),(10 31.84044),(11 31.885252),(12 33.30556),(13 35.422237),(14 36.486156),(15 36.50393),(16 37.62685),(17 41.619812),(18 44.153545),(19 44.117943),(20 46.259052),(21 50.636326),(22 52.8604),(23 52.89477),(24 54.53798),(25 56.991768),(26 58.569267),(27 58.577957),(28 59.885067),(29 62.82846),(30 64.031),(31 64.01375),(32 65.40059),(33 67.224014),(34 68.05907),(35 68.158554),(36 69.72936),(37 72.5374),(38 72.43217),(39 72.3881),(40 71.46086),(41 72.161514),(42 72.486275),
(1 3.9578269),(2 6.763761),(3 6.765779),(4 9.909262),(5 16.901842),(6 20.302576),(7 20.353819),(8 23.324821),(9 28.472132),(10 30.085802),(11 30.127615),(12 31.290955),(13 34.679356),(14 36.059387),(15 36.042973),(16 37.76435),(17 40.829403),(18 42.531464),(19 42.53081),(20 44.87752),(21 47.693455),(22 49.29932),(23 49.342136),(24 51.25161),(25 53.046528),(26 54.122066),(27 54.14938),(28 54.466156),(29 56.9105),(30 58.396996),(31 58.388172),(32 59.50823),(33 61.497837),(34 63.36247),(35 63.33299),(36 65.27768),(37 67.70964),(38 68.21625),(39 68.21193),(40 68.04537),(41 67.84879),(42 68.03808),
(1 3.7606742),(2 6.335094),(3 6.336064),(4 9.389841),(5 16.799025),(6 19.664616),(7 19.692799),(8 22.760178),(9 28.153074),(10 29.923838),(11 29.96133),(12 31.581331),(13 33.590935),(14 34.739758),(15 34.726),(16 36.381836),(17 40.05929),(18 42.62349),(19 42.67724),(20 45.060295),(21 48.967457),(22 50.30902),(23 50.31936),(24 52.33902),(25 54.235012),(26 54.585003),(27 54.68336),(28 55.087242),(29 56.134007),(30 56.57203),(31 56.57062),(32 57.647156),(33 60.48344),(34 61.25524),(35 61.248875),(36 62.78234),(37 63.25116),(38 63.674774),(39 63.663677),(40 63.462967),(41 64.105415),(42 64.896355),
(1 4.1803393),(2 7.0772176),(3 7.0783334),(4 10.268857),(5 16.826471),(6 19.355692),(7 19.369171),(8 22.024267),(9 27.086573),(10 28.545036),(11 28.52372),(12 29.506346),(13 31.692057),(14 33.073814),(15 33.113087),(16 34.49154),(17 38.92718),(18 41.12379),(19 41.157593),(20 43.139145),(21 44.839485),(22 45.780525),(23 45.840935),(24 47.10563),(25 48.215126),(26 49.563717),(27 49.534565),(28 50.743916),(29 52.665382),(30 53.4965),(31 53.49215),(32 54.65432),(33 57.568035),(34 59.205597),(35 59.21703),(36 61.08029),(37 61.835743),(38 62.29538),(39 62.302616),(40 62.353466),(41 61.84547),(42 61.881905),
(1 4.3970647),(2 7.561523),(3 7.559413),(4 11.182557),(5 18.228527),(6 21.044258),(7 21.058613),(8 23.694727),(9 28.191154),(10 29.229448),(11 29.241179),(12 31.018036),(13 34.182987),(14 35.761078),(15 35.759842),(16 37.01807),(17 40.0888),(18 42.184235),(19 42.212646),(20 43.67974),(21 46.524734),(22 47.807785),(23 47.85445),(24 49.604725),(25 52.544655),(26 53.445545),(27 53.491642),(28 53.67808),(29 54.58087),(30 55.023968),(31 55.027485),(32 56.662395),(33 59.776703),(34 61.27451),(35 61.347225),(36 63.003544),(37 64.61874),(38 64.91157),(39 64.96241),(40 64.84411),(41 65.10242),(42 64.72324),
