1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 0.7778461),(2 1.3660096),(3 1.3658152),(4 1.9721736),(5 3.6377316),(6 4.624294),(7 4.6291566),(8 5.82903),(9 8.205216),(10 9.346552),(11 9.35222),(12 10.361553),(13 12.024227),(14 12.712202),(15 12.727575),(16 13.397005),(17 14.726979),(18 15.485267),(19 15.488833),(20 16.15807),(21 17.22083),(22 17.623726),(23 17.628422),(24 18.018005),(25 18.82468),(26 19.361433),(27 19.373129),(28 19.847424),(29 20.84883),(30 21.371075),(31 21.36905),(32 21.90507),(33 22.802868),(34 23.21032),(35 23.208763),(36 23.615604),(37 23.968756),(38 24.110527),(39 24.10981),(40 24.25914),(41 24.500648),(42 24.484568),
(1 0.96153516),(2 1.6464661),(3 1.6467034),(4 2.363872),(5 4.310679),(6 5.421614),(7 5.4291973),(8 6.569787),(9 8.725482),(10 9.5926485),(11 9.5978),(12 10.214787),(13 11.052113),(14 11.458823),(15 11.464226),(16 12.004456),(17 13.345885),(18 14.063543),(19 14.072067),(20 14.683824),(21 15.813955),(22 16.207647),(23 16.222466),(24 16.488243),(25 17.095167),(26 17.424385),(27 17.431217),(28 17.772844),(29 18.65654),(30 19.086246),(31 19.084742),(32 19.498747),(33 20.218105),(34 20.469955),(35 20.464775),(36 20.785204),(37 21.148088),(38 21.223042),(39 21.218338),(40 21.144491),(41 21.091837),(42 21.133993),
(1 0.9761985),(2 1.6774384),(3 1.6781228),(4 2.4857628),(5 4.330122),(6 5.2165065),(7 5.2180085),(8 5.958483),(9 7.0035114),(10 7.282045),(11 7.2891917),(12 7.532358),(13 8.085599),(14 8.543257),(15 8.549457),(16 9.086564),(17 10.200931),(18 10.683941),(19 10.691371),(20 11.162943),(21 11.792272),(22 12.126656),(23 12.136244),(24 12.454716),(25 12.9316225),(26 13.252921),(27 13.25845),(28 13.416282),(29 13.895989),(30 14.083781),(31 14.083287),(32 14.286967),(33 14.581559),(34 14.760951),(35 14.766342),(36 14.997327),(37 15.120677),(38 15.142692),(39 15.146276),(40 15.068073),(41 15.078212),(42 15.09413),
(1 1.0504365),(2 1.7506739),(3 1.750612),(4 2.5436027),(5 4.3551407),(6 5.0734763),(7 5.0763946),(8 5.728006),(9 6.4595),(10 6.63019),(11 6.633142),(12 6.8697443),(13 7.6648235),(14 8.110263),(15 8.112625),(16 8.499497),(17 9.066841),(18 9.272998),(19 9.281369),(20 9.520637),(21 10.026838),(22 10.258722),(23 10.263046),(24 10.515442),(25 11.04699),(26 11.3019495),(27 11.297768),(28 11.479547),(29 12.018048),(30 12.189931),(31 12.189868),(32 12.303724),(33 12.397534),(34 12.512309),(35 12.515255),(36 12.690318),(37 13.1172),(38 13.259257),(39 13.265717),(40 13.301585),(41 13.361285),(42 13.278563),
(1 0.9502534),(2 1.5614717),(3 1.561558),(4 2.2041628),(5 3.6611965),(6 4.177865),(7 4.1865635),(8 4.599171),(9 5.2052264),(10 5.5635386),(11 5.565506),(12 5.9428163),(13 6.5026093),(14 6.757762),(15 6.7590985),(16 7.0004187),(17 7.419075),(18 7.624004),(19 7.6275973),(20 7.832037),(21 8.193735),(22 8.345474),(23 8.353836),(24 8.513085),(25 8.681978),(26 8.835911),(27 8.83155),(28 8.92185),(29 9.033922),(30 9.163511),(31 9.162972),(32 9.317895),(33 9.586987),(34 9.721401),(35 9.730882),(36 9.911229),(37 10.23671),(38 10.337912),(39 10.33914),(40 10.356699),(41 10.4838505),(42 10.468006),
(1 0.72934365),(2 1.1518754),(3 1.1522286),(4 1.5960715),(5 2.4695604),(6 2.7419791),(7 2.7460015),(8 2.9627259),(9 3.3236637),(10 3.566417),(11 3.5690882),(12 3.8225036),(13 4.029416),(14 4.2091017),(15 4.2132297),(16 4.403703),(17 4.7016096),(18 4.7731404),(19 4.7759967),(20 4.8562155),(21 5.0442843),(22 5.1673613),(23 5.168557),(24 5.3312564),(25 5.592344),(26 5.6966205),(27 5.70081),(28 5.7217956),(29 5.7929716),(30 5.8737345),(31 5.8737917),(32 5.970372),(33 6.097957),(34 6.113672),(35 6.118609),(36 6.213995),(37 6.3334947),(38 6.394984),(39 6.3975797),(40 6.3995504),(41 6.424234),(42 6.418346),
(1 0.75024164),(2 1.1473255),(3 1.1471611),(4 1.5335938),(5 2.2776086),(6 2.4632661),(7 2.4676998),(8 2.625325),(9 3.149016),(10 3.3636034),(11 3.3701344),(12 3.5369246),(13 3.8020797),(14 3.9474936),(15 3.9514189),(16 4.006494),(17 4.141113),(18 4.243052),(19 4.2454495),(20 4.3533034),(21 4.513341),(22 4.5784626),(23 4.5822005),(24 4.6679287),(25 4.8524976),(26 4.971927),(27 4.9730496),(28 5.011931),(29 5.142348),(30 5.197783),(31 5.1979647),(32 5.2651496),(33 5.41447),(34 5.5039167),(35 5.5083756),(36 5.574731),(37 5.609571),(38 5.655431),(39 5.659456),(40 5.673889),(41 5.6742673),(42 5.659006),
(1 0.6502434),(2 0.9846534),(3 0.9848161),(4 1.3136681),(5 1.9462541),(6 2.0623972),(7 2.0677893),(8 2.1519973),(9 2.656729),(10 2.767025),(11 2.7738876),(12 2.8130062),(13 3.0775037),(14 3.1605897),(15 3.1667933),(16 3.2180893),(17 3.4569407),(18 3.5141184),(19 3.5167656),(20 3.563657),(21 3.6594121),(22 3.7141511),(23 3.719502),(24 3.7970295),(25 3.948103),(26 4.017871),(27 4.02152),(28 4.0529037),(29 4.0967245),(30 4.1754475),(31 4.1751356),(32 4.2486897),(33 4.352937),(34 4.4144874),(35 4.4207163),(36 4.4891644),(37 4.511132),(38 4.531237),(39 4.529898),(40 4.547257),(41 4.5703616),(42 4.572575),
(1 0.56313115),(2 0.8259197),(3 0.8259008),(4 1.0899503),(5 1.5606548),(6 1.6976846),(7 1.7018024),(8 1.8102942),(9 2.0906065),(10 2.2098582),(11 2.2156756),(12 2.3550692),(13 2.5309935),(14 2.6057088),(15 2.6101556),(16 2.6734426),(17 2.811848),(18 2.8524282),(19 2.8576913),(20 2.8988855),(21 2.9636664),(22 3.0021565),(23 3.0059226),(24 3.047348),(25 3.1559281),(26 3.2334573),(27 3.239984),(28 3.2897654),(29 3.3661864),(30 3.433709),(31 3.4335566),(32 3.4918082),(33 3.5394912),(34 3.580803),(35 3.586467),(36 3.6302326),(37 3.7398057),(38 3.768172),(39 3.7691326),(40 3.787001),(41 3.7765596),(42 3.8073087),
(1 0.48408538),(2 0.7132907),(3 0.71329576),(4 0.91410196),(5 1.2697376),(6 1.3813686),(7 1.3847423),(8 1.4835931),(9 1.6958492),(10 1.8072786),(11 1.8112657),(12 1.9242787),(13 2.066805),(14 2.124976),(15 2.1285374),(16 2.1561928),(17 2.3002226),(18 2.3715117),(19 2.3744612),(20 2.3979328),(21 2.4163556),(22 2.469607),(23 2.4738562),(24 2.5310364),(25 2.6068406),(26 2.6419907),(27 2.6481721),(28 2.6838698),(29 2.7510893),(30 2.7928956),(31 2.7926242),(32 2.8265095),(33 2.8499343),(34 2.8835967),(35 2.8849332),(36 2.906375),(37 2.9533322),(38 2.9568622),(39 2.9579098),(40 2.9632022),(41 2.960375),(42 2.9986777),
(1 0.37482563),(2 0.54916346),(3 0.5492963),(4 0.6850577),(5 0.9336431),(6 1.0302902),(7 1.0329866),(8 1.1180723),(9 1.3041086),(10 1.3581443),(11 1.3623337),(12 1.4301112),(13 1.5451152),(14 1.5736727),(15 1.5760503),(16 1.6129482),(17 1.7191863),(18 1.7709423),(19 1.7751955),(20 1.8130051),(21 1.847638),(22 1.870904),(23 1.8733076),(24 1.9059099),(25 1.945263),(26 1.9887989),(27 1.9895134),(28 1.9978904),(29 2.0428314),(30 2.0715718),(31 2.0716815),(32 2.0843728),(33 2.150593),(34 2.1717937),(35 2.1777072),(36 2.2071598),(37 2.2137353),(38 2.2144518),(39 2.2145684),(40 2.223823),(41 2.2305267),(42 2.2299924),
