1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 0.5981605),(2 1.2713078),(3 1.2658329),(4 2.2955418),(5 6.498158),(6 8.861229),(7 8.905837),(8 10.926858),(9 13.770974),(10 14.587253),(11 14.501496),(12 14.935689),(13 16.167109),(14 14.929672),(15 14.855472),(16 13.844118),(17 11.528815),(18 11.348652),(19 11.415663),(20 12.7009),(21 16.373592),(22 17.564245),(23 17.66785),(24 17.728416),(25 17.060457),(26 16.6774),(27 16.610586),(28 17.35066),(29 21.022665),(30 22.56749),(31 22.55436),(32 24.249315),(33 29.468744),(34 32.011116),(35 32.179028),(36 33.583107),(37 34.581104),(38 36.05641),(39 36.283684),(40 37.879704),(41 42.822746),(42 46.121708),
(1 1.4338923),(2 2.687009),(3 2.6898947),(4 4.276778),(5 10.560732),(6 13.157633),(7 13.198854),(8 17.076204),(9 23.563929),(10 25.471466),(11 25.394691),(12 25.944891),(13 28.982225),(14 28.840916),(15 28.681522),(16 28.640097),(17 27.758062),(18 26.346851),(19 26.374252),(20 27.582178),(21 30.636883),(22 32.120243),(23 32.03987),(24 34.096138),(25 35.45885),(26 36.66523),(27 36.69346),(28 39.91095),(29 47.19775),(30 50.67606),(31 50.67846),(32 54.771645),(33 61.63297),(34 63.734028),(35 64.030174),(36 64.100266),(37 66.02733),(38 68.79402),(39 68.664856),(40 71.19086),(41 76.95509),(42 76.294205),
(1 1.4429163),(2 2.580613),(3 2.5861585),(4 3.5574286),(5 6.481882),(6 7.7744823),(7 7.682311),(8 8.647251),(9 10.912218),(10 11.562863),(11 11.54831),(12 11.584156),(13 17.453686),(14 20.439695),(15 20.732977),(16 23.095518),(17 29.642342),(18 31.908777),(19 31.982628),(20 34.77019),(21 33.468567),(22 35.489197),(23 35.287407),(24 35.209007),(25 29.281454),(26 28.963722),(27 29.013144),(28 32.572598),(29 46.333263),(30 53.681446),(31 53.636276),(32 61.344986),(33 69.22885),(34 69.584564),(35 69.304565),(36 68.47983),(37 66.195786),(38 67.91372),(39 67.80689),(40 69.25538),(41 68.33084),(42 66.99911),
(1 2.1661892),(2 3.8384588),(3 3.8456023),(4 5.8388124),(5 11.820364),(6 14.898249),(7 14.932385),(8 17.81199),(9 23.58182),(10 25.273064),(11 25.464348),(12 26.956509),(13 32.863297),(14 34.82954),(15 34.982685),(16 37.019512),(17 42.46122),(18 45.08024),(19 44.982216),(20 49.797234),(21 56.40815),(22 62.429028),(23 62.426697),(24 68.167114),(25 74.50102),(26 78.99577),(27 78.95044),(28 83.036476),(29 94.56669),(30 97.83268),(31 97.70435),(32 103.093765),(33 111.851906),(34 114.04725),(35 113.80969),(36 118.499695),(37 125.0213),(38 128.7352),(39 128.66968),(40 134.28487),(41 138.39258),(42 142.79164),
(1 3.8234382),(2 5.9181957),(3 5.9159307),(4 7.901052),(5 14.120158),(6 15.226073),(7 15.2514925),(8 17.502539),(9 22.579823),(10 25.076614),(11 25.149565),(12 29.154747),(13 41.294174),(14 46.204548),(15 46.0653),(16 51.259388),(17 61.23069),(18 65.8897),(19 66.13182),(20 71.292114),(21 78.82768),(22 85.398926),(23 85.20196),(24 93.03254),(25 99.73686),(26 106.391884),(27 106.39785),(28 108.56826),(29 121.487274),(30 127.598274),(31 127.49474),(32 139.22824),(33 157.17181),(34 163.33533),(35 163.12927),(36 166.61165),(37 167.19969),(38 172.82516),(39 172.73523),(40 179.62997),(41 179.46417),(42 178.27386),
(1 3.4719586),(2 5.452466),(3 5.4446607),(4 8.406059),(5 16.719362),(6 21.405804),(7 21.381495),(8 28.359493),(9 40.61969),(10 48.109676),(11 48.393784),(12 54.29648),(13 67.5311),(14 71.617775),(15 71.46845),(16 74.86464),(17 83.92942),(18 86.082504),(19 86.37844),(20 87.817215),(21 90.682816),(22 89.96678),(23 89.978966),(24 90.63376),(25 90.70158),(26 91.02252),(27 91.00075),(28 90.42576),(29 94.05265),(30 95.96633),(31 95.91622),(32 102.047844),(33 113.92983),(34 119.26045),(35 119.66977),(36 123.448074),(37 120.818535),(38 121.78549),(39 121.63587),(40 124.61587),(41 125.10053),(42 123.15512),
(1 3.2440672),(2 5.541299),(3 5.5368266),(4 8.836684),(5 16.938295),(6 21.073338),(7 21.12564),(8 27.421654),(9 39.587864),(10 47.32617),(11 47.41328),(12 57.503582),(13 71.35792),(14 77.90632),(15 77.98665),(16 84.133064),(17 100.08968),(18 107.13653),(19 107.167046),(20 112.58825),(21 116.69223),(22 120.513374),(23 120.676895),(24 128.0878),(25 137.48576),(26 145.4152),(27 145.37737),(28 150.9055),(29 161.48969),(30 168.29713),(31 168.21684),(32 174.27954),(33 179.4082),(34 182.45135),(35 181.75873),(36 186.34831),(37 194.56744),(38 200.99779),(39 201.17014),(40 209.37402),(41 212.68602),(42 208.3526),
(1 3.5483232),(2 5.665172),(3 5.6609683),(4 8.277636),(5 15.695703),(6 19.991793),(7 20.081478),(8 27.349562),(9 38.698288),(10 45.41221),(11 45.538654),(12 51.892883),(13 62.338074),(14 68.329796),(15 68.28156),(16 71.77489),(17 75.62839),(18 77.13827),(19 77.11625),(20 78.255394),(21 74.967),(22 78.0468),(23 77.75886),(24 83.617226),(25 100.18445),(26 111.0377),(27 111.367226),(28 115.584564),(29 128.43535),(30 135.12556),(31 135.06233),(32 140.72958),(33 145.25296),(34 146.29776),(35 146.22249),(36 144.81847),(37 152.7656),(38 159.37383),(39 159.74825),(40 165.83868),(41 174.66243),(42 180.34688),
(1 5.2391915),(2 9.023188),(3 9.029615),(4 14.044447),(5 31.488173),(6 38.17151),(7 38.324944),(8 45.44116),(9 62.85215),(10 75.984886),(11 75.967224),(12 88.98894),(13 106.104034),(14 110.87074),(15 111.0979),(16 115.82321),(17 129.33444),(18 134.21135),(19 134.33516),(20 138.73492),(21 151.09148),(22 157.5709),(23 157.42526),(24 165.43506),(25 186.16821),(26 195.89545),(27 196.03177),(28 205.2964),(29 239.70744),(30 254.56819),(31 254.51283),(32 268.8427),(33 296.36572),(34 311.19424),(35 310.9928),(36 324.7279),(37 345.30322),(38 350.39816),(39 350.4901),(40 364.00467),(41 373.02264),(42 371.1202),
(1 2.9775403),(2 4.891286),(3 4.879465),(4 7.8747454),(5 15.620796),(6 20.190704),(7 20.218435),(8 28.77814),(9 51.666035),(10 68.38324),(11 68.34298),(12 88.04484),(13 122.41383),(14 139.25938),(15 139.4222),(16 154.60341),(17 186.45293),(18 206.98042),(19 207.05214),(20 227.76505),(21 246.42778),(22 255.36995),(23 254.85565),(24 262.81006),(25 278.45798),(26 282.33887),(27 282.57578),(28 288.4078),(29 298.84705),(30 305.23236),(31 305.1745),(32 309.77783),(33 308.36926),(34 310.57645),(35 310.11337),(36 314.10526),(37 325.21936),(38 331.14856),(39 331.35876),(40 340.12326),(41 358.2446),(42 362.67737),
(1 5.3266506),(2 9.804481),(3 9.807527),(4 14.741945),(5 28.961308),(6 36.998768),(7 37.115337),(8 47.130806),(9 69.31643),(10 82.71347),(11 82.933),(12 98.16127),(13 116.879486),(14 125.28261),(15 125.40495),(16 139.04141),(17 164.84784),(18 177.53503),(19 177.76797),(20 189.10033),(21 192.13588),(22 194.86981),(23 195.54454),(24 192.63437),(25 200.85085),(26 209.01653),(27 208.62152),(28 210.02798),(29 215.17274),(30 226.09784),(31 225.97308),(32 239.29599),(33 246.72043),(34 253.02518),(35 253.97827),(36 253.99954),(37 249.65097),(38 247.71252),(39 247.54153),(40 249.49176),(41 248.8355),(42 245.0972),
