1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,
(1 3.0358768),(2 5.3073816),(3 5.3085313),(4 7.850784),(5 14.038333),(6 16.629736),(7 16.662146),(8 19.031366),(9 23.471039),(10 25.46172),(11 25.512297),(12 27.397808),(13 30.527115),(14 31.90054),(15 31.899141),(16 33.464577),(17 36.601604),(18 38.115467),(19 38.139816),(20 39.854923),(21 42.803543),(22 44.081345),(23 44.139748),(24 45.387512),(25 46.272694),(26 47.107018),(27 47.126328),(28 47.7122),(29 50.45796),(30 51.834656),(31 51.822617),(32 52.70215),(33 54.005463),(34 55.306076),(35 55.336792),(36 57.382626),(37 59.43854),(38 59.95881),(39 59.959736),(40 59.170277),(41 59.692142),(42 60.12817),
(1 3.0624523),(2 5.29368),(3 5.2949123),(4 7.9472203),(5 14.2446165),(6 17.057123),(7 17.075932),(8 19.761003),(9 24.961626),(10 26.47545),(11 26.489325),(12 27.362967),(13 28.5527),(14 29.317667),(15 29.316574),(16 30.661737),(17 34.62283),(18 37.062164),(19 37.07271),(20 39.13838),(21 41.73997),(22 43.017494),(23 43.03349),(24 44.557587),(25 46.382782),(26 46.90737),(27 46.92697),(28 47.07076),(29 48.024433),(30 48.961292),(31 48.96165),(32 49.85358),(33 51.833908),(34 52.716923),(35 52.749798),(36 53.68445),(37 53.399193),(38 53.257587),(39 53.22713),(40 53.18064),(41 53.2547),(42 53.05552),
(1 3.2979038),(2 5.686288),(3 5.686856),(4 8.201811),(5 13.11817),(6 15.065422),(7 15.075781),(8 17.185913),(9 21.158836),(10 22.0986),(11 22.092327),(12 22.898241),(13 24.648268),(14 25.555538),(15 25.568766),(16 26.9678),(17 30.292578),(18 31.563066),(19 31.583807),(20 32.95977),(21 35.99181),(22 36.94301),(23 36.96463),(24 38.282833),(25 39.50443),(26 40.267902),(27 40.31369),(28 41.020344),(29 43.092106),(30 43.758358),(31 43.744823),(32 44.563004),(33 46.82),(34 47.717674),(35 47.674908),(36 49.129704),(37 50.831997),(38 51.481037),(39 51.474346),(40 51.93783),(41 52.531914),(42 53.07802),
(1 3.145901),(2 5.429968),(3 5.4285064),(4 7.9805503),(5 13.354347),(6 15.3348675),(7 15.350472),(8 16.858702),(9 19.912336),(10 21.006968),(11 21.004921),(12 22.288534),(13 23.61967),(14 24.71815),(15 24.748323),(16 25.771095),(17 27.9854),(18 29.457884),(19 29.468664),(20 30.75737),(21 31.580664),(22 31.979748),(23 32.028526),(24 32.578266),(25 33.327423),(26 33.954407),(27 33.978016),(28 34.74284),(29 36.049374),(30 36.350372),(31 36.34889),(32 36.915195),(33 39.3861),(34 40.24003),(35 40.2661),(36 41.413715),(37 42.404503),(38 42.44805),(39 42.483692),(40 42.710083),(41 43.50317),(42 43.76961),
(1 3.1756089),(2 5.6639214),(3 5.6633906),(4 8.413446),(5 12.98464),(6 14.800664),(7 14.804938),(8 16.55477),(9 19.185236),(10 20.075535),(11 20.097364),(12 20.942308),(13 22.228752),(14 22.695213),(15 22.724947),(16 23.31899),(17 26.091612),(18 27.55873),(19 27.583757),(20 29.110958),(21 30.174397),(22 30.274408),(23 30.303152),(24 30.71358),(25 31.865522),(26 32.75061),(27 32.745018),(28 33.365875),(29 34.97748),(30 34.896725),(31 34.905293),(32 35.106743),(33 35.70696),(34 36.278),(35 36.30305),(36 36.782764),(37 38.554337),(38 39.056625),(39 39.070484),(40 39.150406),(41 39.608696),(42 39.860558),
(1 3.3992949),(2 5.799379),(3 5.7983537),(4 8.536979),(5 13.990252),(6 15.878539),(7 15.891757),(8 17.483948),(9 20.246672),(10 21.279785),(11 21.276802),(12 22.011526),(13 23.253752),(14 24.255875),(15 24.285654),(16 25.369846),(17 28.418829),(18 29.894737),(19 29.874712),(20 30.817091),(21 32.710526),(22 33.942757),(23 34.001926),(24 34.881886),(25 35.829464),(26 36.53635),(27 36.517723),(28 37.219494),(29 38.952217),(30 40.159897),(31 40.157845),(32 40.54092),(33 39.903023),(34 40.19623),(35 40.126507),(36 41.429867),(37 41.580173),(38 41.783634),(39 41.779434),(40 41.926487),(41 42.959637),(42 42.88076),
(1 3.230415),(2 5.5235357),(3 5.5239725),(4 7.616866),(5 11.791804),(6 13.523987),(7 13.549093),(8 15.188554),(9 17.876625),(10 18.71764),(11 18.714352),(12 19.732927),(13 20.985958),(14 21.680513),(15 21.686821),(16 22.81301),(17 25.668108),(18 26.327862),(19 26.34484),(20 27.384663),(21 29.198719),(22 30.023716),(23 29.992369),(24 30.630838),(25 31.895784),(26 32.35433),(27 32.35269),(28 32.57678),(29 34.624268),(30 35.615097),(31 35.60449),(32 36.02534),(33 37.303295),(34 37.931274),(35 37.941223),(36 38.720448),(37 40.40554),(38 41.517895),(39 41.566788),(40 42.325302),(41 42.48819),(42 42.151707),
(1 3.0647526),(2 5.411552),(3 5.4113894),(4 7.81454),(5 11.90191),(6 13.01575),(7 13.02302),(8 14.452127),(9 16.693933),(10 18.04176),(11 18.058086),(12 19.399439),(13 21.325018),(14 22.189537),(15 22.190382),(16 22.695187),(17 24.548481),(18 25.253998),(19 25.290817),(20 25.57923),(21 26.434763),(22 26.932184),(23 26.945526),(24 27.821165),(25 29.789104),(26 30.575102),(27 30.600283),(28 31.188936),(29 33.04216),(30 33.235523),(31 33.24351),(32 33.206303),(33 33.33432),(34 33.49172),(35 33.478043),(36 34.14436),(37 35.06128),(38 35.070816),(39 35.091434),(40 35.448444),(41 35.58638),(42 34.937054),
(1 2.5545099),(2 4.3809466),(3 4.3803053),(4 6.392729),(5 10.552606),(6 11.905219),(7 11.922804),(8 13.086233),(9 15.52083),(10 16.633257),(11 16.644718),(12 17.533983),(13 18.556133),(14 19.143263),(15 19.147842),(16 19.628916),(17 21.277609),(18 22.348143),(19 22.379107),(20 23.10929),(21 23.459827),(22 23.764135),(23 23.791037),(24 24.624619),(25 25.278265),(26 25.881516),(27 25.880117),(28 26.435364),(29 27.692633),(30 28.154188),(31 28.148237),(32 28.5765),(33 29.082617),(34 29.160048),(35 29.149668),(36 29.977522),(37 31.043928),(38 31.59269),(39 31.587261),(40 31.924858),(41 33.40448),(42 33.40486),
(1 2.721443),(2 4.718001),(3 4.7157006),(4 6.6264696),(5 10.895539),(6 12.2104645),(7 12.2033205),(8 13.473173),(9 15.932517),(10 17.265923),(11 17.2802),(12 18.550318),(13 20.235126),(14 21.121647),(15 21.106453),(16 21.689632),(17 23.171215),(18 23.99201),(19 24.01717),(20 24.995535),(21 25.522194),(22 26.081419),(23 26.116549),(24 26.90702),(25 27.21526),(26 27.976084),(27 27.993929),(28 28.641392),(29 29.550585),(30 30.138191),(31 30.135752),(32 31.0555),(33 31.578636),(34 32.180725),(35 32.177025),(36 32.26494),(37 33.139442),(38 33.743614),(39 33.738102),(40 34.115997),(41 34.99739),(42 34.349163),
