1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 0.69713867),(2 1.1727091),(3 1.1670084),(4 1.7921411),(5 4.1085453),(6 4.7078447),(7 4.720035),(8 4.9460945),(9 5.1116314),(10 5.109763),(11 4.990525),(12 4.788533),(13 5.1926584),(14 4.423556),(15 4.459965),(16 4.08133),(17 4.648263),(18 5.5490413),(19 5.623493),(20 7.130197),(21 9.744784),(22 10.46603),(23 10.5333),(24 11.359826),(25 13.917184),(26 15.837524),(27 15.744733),(28 18.633066),(29 24.119175),(30 25.64796),(31 25.64172),(32 27.552475),(33 29.424261),(34 29.908884),(35 29.97608),(36 27.516434),(37 24.838003),(38 24.625202),(39 24.70402),(40 24.94544),(41 25.268625),(42 24.362673),
(1 0.5012058),(2 0.93361276),(3 0.9376677),(4 1.5646796),(5 3.3986106),(6 4.2384644),(7 4.2645903),(8 5.0114026),(9 6.9407563),(10 9.014949),(11 9.010096),(12 10.404191),(13 15.052533),(14 17.080236),(15 17.118755),(16 19.922615),(17 27.13251),(18 28.017702),(19 28.024954),(20 29.544344),(21 30.070698),(22 30.208746),(23 30.108679),(24 30.82247),(25 35.734486),(26 39.132114),(27 39.089306),(28 42.991188),(29 53.32392),(30 57.50094),(31 57.470547),(32 62.473213),(33 69.79286),(34 69.675476),(35 69.66092),(36 69.00908),(37 65.60957),(38 66.881294),(39 66.846756),(40 69.92532),(41 76.15613),(42 77.12759),
(1 1.2601871),(2 1.8460785),(3 1.8460096),(4 2.6766162),(5 6.0839205),(6 7.4904003),(7 7.467809),(8 8.072611),(9 9.789616),(10 10.182139),(11 10.269282),(12 11.04585),(13 14.770712),(14 15.982523),(15 16.040049),(16 16.516724),(17 22.786781),(18 25.242378),(19 25.274149),(20 27.867977),(21 28.404118),(22 30.629313),(23 30.677639),(24 32.986465),(25 35.650265),(26 38.583824),(27 38.424355),(28 40.27964),(29 43.038673),(30 46.53909),(31 46.481285),(32 50.292496),(33 55.403843),(34 57.87871),(35 57.67802),(36 59.80973),(37 66.65379),(38 71.139015),(39 70.9751),(40 75.81253),(41 83.80943),(42 89.12235),
(1 2.1853676),(2 3.163672),(3 3.160824),(4 4.5072002),(5 10.320219),(6 12.621654),(7 12.6267185),(8 15.57814),(9 21.83903),(10 24.513208),(11 24.625576),(12 27.933054),(13 38.025322),(14 41.988125),(15 41.83664),(16 44.986336),(17 51.3415),(18 53.0872),(19 52.971226),(20 53.572315),(21 52.34808),(22 54.26412),(23 54.353527),(24 57.77873),(25 61.18498),(26 66.70656),(27 67.05666),(28 69.77828),(29 74.54443),(30 76.84003),(31 76.76871),(32 81.74454),(33 89.83088),(34 93.17985),(35 93.15498),(36 93.43944),(37 91.21038),(38 93.71571),(39 93.75168),(40 98.33963),(41 101.9864),(42 101.96881),
(1 3.051935),(2 4.6114798),(3 4.606932),(4 7.4593077),(5 15.375851),(6 19.625595),(7 19.597767),(8 24.283123),(9 32.561115),(10 36.503723),(11 36.63728),(12 40.609814),(13 50.438213),(14 53.78769),(15 53.63706),(16 57.767616),(17 71.12607),(18 74.951935),(19 75.06456),(20 75.60205),(21 75.82016),(22 73.10574),(23 72.991104),(24 73.04761),(25 70.31831),(26 70.81676),(27 70.55792),(28 71.451324),(29 74.4247),(30 77.07651),(31 77.02935),(32 80.0172),(33 87.907234),(34 92.52695),(35 92.93648),(36 93.50729),(37 91.24262),(38 94.6209),(39 94.5732),(40 98.35465),(41 96.76261),(42 94.07302),
(1 2.7136023),(2 4.6768165),(3 4.674132),(4 7.7895737),(5 15.721093),(6 18.253319),(7 18.40072),(8 22.433094),(9 30.034529),(10 32.65057),(11 32.637577),(12 35.12947),(13 40.92022),(14 44.32567),(15 44.264896),(16 45.827255),(17 50.675232),(18 52.776417),(19 53.01187),(20 55.497814),(21 56.627068),(22 59.084194),(23 58.771397),(24 62.606808),(25 64.193954),(26 66.978065),(27 66.99337),(28 68.04021),(29 74.54043),(30 77.899445),(31 77.85346),(32 82.46603),(33 90.30695),(34 93.73556),(35 93.75227),(36 96.14138),(37 104.40505),(38 110.811295),(39 111.1613),(40 118.42767),(41 121.33624),(42 119.47087),
(1 2.9161294),(2 4.4169517),(3 4.417097),(4 7.5918765),(5 17.435808),(6 21.152517),(7 21.26558),(8 24.826588),(9 30.444265),(10 32.949116),(11 32.74436),(12 34.86692),(13 41.473087),(14 44.032623),(15 44.056763),(16 46.22481),(17 52.114124),(18 56.824436),(19 57.192474),(20 60.934505),(21 66.74384),(22 70.91838),(23 70.93152),(24 74.669624),(25 85.9816),(26 94.22404),(27 94.67655),(28 103.12967),(29 125.76557),(30 134.4373),(31 134.37473),(32 140.61043),(33 155.30502),(34 165.89209),(35 165.48744),(36 175.01624),(37 188.90532),(38 193.10579),(39 192.94327),(40 202.6458),(41 211.18527),(42 209.89822),
(1 3.6240323),(2 6.2059946),(3 6.2082405),(4 10.390228),(5 21.428627),(6 27.684458),(7 27.930208),(8 33.13124),(9 42.149426),(10 45.126465),(11 45.262756),(12 50.694176),(13 62.70694),(14 68.890686),(15 69.0206),(16 78.66244),(17 91.78291),(18 101.83459),(19 102.18718),(20 110.1766),(21 123.31117),(22 128.17201),(23 128.3184),(24 130.29692),(25 133.13608),(26 137.3846),(27 137.17564),(28 138.59236),(29 143.4349),(30 149.77072),(31 149.70952),(32 154.60272),(33 150.43054),(34 154.86922),(35 154.81345),(36 157.81732),(37 156.75519),(38 152.77878),(39 152.84229),(40 154.4358),(41 151.9756),(42 148.36414),
(1 5.0297294),(2 9.580141),(3 9.56824),(4 15.570575),(5 31.737995),(6 39.911495),(7 39.941593),(8 49.171017),(9 65.005104),(10 71.4138),(11 71.51349),(12 79.479095),(13 96.04846),(14 102.86446),(15 103.00496),(16 109.88087),(17 123.51226),(18 132.78224),(19 133.03253),(20 141.57806),(21 152.64621),(22 157.11664),(23 157.7247),(24 160.55762),(25 177.03183),(26 190.92902),(27 190.82597),(28 197.92651),(29 219.7248),(30 232.819),(31 232.72957),(32 247.03891),(33 269.65256),(34 279.63623),(35 280.51297),(36 290.33713),(37 289.1168),(38 285.04874),(39 285.4427),(40 285.1203),(41 281.03528),(42 272.43768),
(1 3.9652772),(2 7.723273),(3 7.732622),(4 13.130815),(5 27.62241),(6 33.434555),(7 33.58235),(8 40.75993),(9 53.811916),(10 62.238197),(11 62.38168),(12 70.712326),(13 83.7235),(14 91.60236),(15 92.020325),(16 98.36057),(17 101.238266),(18 104.60548),(19 104.849785),(20 106.21741),(21 111.99278),(22 111.3625),(23 111.21661),(24 110.74938),(25 112.14974),(26 117.92055),(27 117.89235),(28 125.016754),(29 144.5974),(30 156.71742),(31 156.68268),(32 170.26262),(33 186.26709),(34 193.61119),(35 193.56535),(36 195.12695),(37 198.74792),(38 195.77025),(39 195.74564),(40 194.97159),(41 197.65396),(42 200.20436),
(1 4.1459455),(2 8.429435),(3 8.422964),(4 12.934667),(5 24.457947),(6 27.97928),(7 28.117666),(8 33.073048),(9 40.320797),(10 42.71191),(11 42.81404),(12 45.90203),(13 51.5514),(14 55.017895),(15 54.846004),(16 58.381138),(17 63.750267),(18 70.11069),(19 70.17291),(20 77.40379),(21 91.772575),(22 101.26437),(23 101.57114),(24 108.283066),(25 134.57127),(26 147.01921),(27 147.29532),(28 157.17938),(29 171.18164),(30 177.49892),(31 177.50787),(32 181.81631),(33 187.98926),(34 188.3216),(35 188.73491),(36 186.09282),(37 169.73717),(38 163.80936),(39 163.18367),(40 163.90202),(41 166.1996),(42 169.68973),
