1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 0.6767006),(2 1.0088338),(3 1.0058749),(4 1.4439816),(5 3.6125274),(6 4.0445642),(7 4.0784388),(8 4.346005),(9 5.1349163),(10 5.1163664),(11 5.012023),(12 5.231334),(13 7.058982),(14 7.3899517),(15 7.385265),(16 7.328792),(17 8.6208),(18 8.901991),(19 8.863318),(20 9.062342),(21 9.7163105),(22 9.937709),(23 9.948717),(24 9.928402),(25 10.881422),(26 12.141811),(27 12.060999),(28 13.34866),(29 17.52037),(30 18.187323),(31 18.180227),(32 18.873665),(33 20.546179),(34 20.245945),(35 20.18526),(36 19.61815),(37 19.454514),(38 18.769907),(39 18.638247),(40 19.098957),(41 19.734837),(42 20.745657),
(1 1.3475622),(2 2.044895),(3 2.0374362),(4 2.8490515),(5 7.116487),(6 8.620819),(7 8.657537),(8 10.316965),(9 14.130197),(10 15.305283),(11 15.308959),(12 16.031755),(13 20.082186),(14 21.787613),(15 21.791298),(16 22.505165),(17 26.658043),(18 28.888218),(19 28.935759),(20 30.459484),(21 30.134378),(22 30.0478),(23 30.004417),(24 30.339449),(25 31.721376),(26 32.875374),(27 32.950344),(28 33.893887),(29 35.93984),(30 38.308357),(31 38.27786),(32 40.215992),(33 45.709187),(34 49.234158),(35 49.149376),(36 53.113758),(37 56.01593),(38 58.22036),(39 58.17455),(40 60.148384),(41 61.742157),(42 61.584618),
(1 1.0833449),(2 1.6403534),(3 1.6405935),(4 2.5821972),(5 5.6871095),(6 7.2988563),(7 7.297718),(8 9.156351),(9 13.638767),(10 15.981521),(11 16.031303),(12 18.771912),(13 28.753948),(14 34.41633),(15 34.46865),(16 39.989338),(17 53.287373),(18 57.99994),(19 58.1045),(20 60.806564),(21 59.19698),(22 57.904156),(23 57.88745),(24 57.326324),(25 56.599644),(26 57.47555),(27 57.590225),(28 57.617435),(29 60.819393),(30 64.36012),(31 64.32373),(32 69.308395),(33 74.88018),(34 74.26114),(35 74.40065),(36 74.59199),(37 72.19573),(38 75.06374),(39 74.776726),(40 78.24848),(41 80.94665),(42 79.92561),
(1 2.2474236),(2 3.666949),(3 3.6710575),(4 5.879314),(5 12.546481),(6 15.254952),(7 15.318214),(8 18.29959),(9 22.785002),(10 23.466253),(11 23.455729),(12 25.43561),(13 32.551548),(14 34.77648),(15 34.74246),(16 37.917767),(17 45.754314),(18 47.310284),(19 47.466694),(20 47.919945),(21 47.82522),(22 49.56032),(23 49.461147),(24 52.808556),(25 57.285637),(26 62.592735),(27 62.686516),(28 66.95303),(29 75.12041),(30 77.9154),(31 77.84164),(32 82.12587),(33 87.848),(34 89.3351),(35 89.095955),(36 89.10917),(37 92.80136),(38 96.55636),(39 96.691986),(40 100.026184),(41 101.72116),(42 101.94211),
(1 3.0170236),(2 5.2665224),(3 5.2576494),(4 8.40769),(5 18.086288),(6 22.17964),(7 22.173939),(8 28.458122),(9 38.94452),(10 41.35525),(11 41.449512),(12 42.17737),(13 50.304443),(14 54.435635),(15 54.381584),(16 57.691963),(17 68.05507),(18 72.30165),(19 72.51696),(20 76.48968),(21 79.654335),(22 81.53583),(23 81.43398),(24 83.65019),(25 85.857735),(26 88.93355),(27 89.100365),(28 92.2869),(29 102.36617),(30 109.17847),(31 109.11952),(32 115.62091),(33 127.236534),(34 131.57425),(35 131.72046),(36 135.04308),(37 138.00449),(38 144.4492),(39 144.42044),(40 149.70456),(41 148.88626),(42 144.39725),
(1 2.9346528),(2 5.200016),(3 5.2034173),(4 9.437343),(5 20.160051),(6 24.44369),(7 24.576471),(8 28.039223),(9 33.9498),(10 37.331215),(11 37.23585),(12 41.54081),(13 51.567337),(14 56.2271),(15 56.31877),(16 60.864784),(17 68.88753),(18 73.99057),(19 74.00107),(20 75.23409),(21 75.48624),(22 74.531296),(23 74.561386),(24 74.47644),(25 75.74912),(26 78.86759),(27 78.87625),(28 82.51721),(29 88.19068),(30 91.046585),(31 90.99896),(32 93.9855),(33 98.81959),(34 102.44952),(35 102.3521),(36 107.32421),(37 111.001785),(38 111.493385),(39 111.50449),(40 115.78184),(41 115.57974),(42 112.984344),
(1 3.733074),(2 6.8025556),(3 6.795182),(4 11.727432),(5 25.242083),(6 32.340313),(7 32.451233),(8 40.18685),(9 52.40921),(10 57.734585),(11 57.702236),(12 60.776066),(13 69.76035),(14 72.950676),(15 73.21275),(16 77.56482),(17 88.31389),(18 95.255066),(19 95.3312),(20 100.92605),(21 108.552666),(22 111.94462),(23 112.12079),(24 115.35832),(25 125.06157),(26 130.43195),(27 130.40755),(28 135.85425),(29 152.8096),(30 161.52951),(31 161.48949),(32 171.04749),(33 186.34346),(34 192.00522),(35 191.9924),(36 195.06497),(37 197.33244),(38 198.84416),(39 198.99799),(40 204.89607),(41 209.85881),(42 208.06963),
(1 3.9556932),(2 7.4325676),(3 7.4323792),(4 11.986074),(5 23.457823),(6 27.991879),(7 28.167086),(8 34.70351),(9 45.822178),(10 50.565582),(11 50.690514),(12 56.47054),(13 69.504074),(14 76.1646),(15 76.15352),(16 81.98086),(17 92.836296),(18 99.99008),(19 100.27192),(20 106.45295),(21 116.78944),(22 120.66171),(23 120.701744),(24 122.832825),(25 130.51848),(26 138.4988),(27 138.60567),(28 144.72888),(29 154.16359),(30 158.34155),(31 158.28494),(32 161.00534),(33 164.21167),(34 169.20676),(35 168.9054),(36 171.93964),(37 173.01385),(38 169.6117),(39 169.37823),(40 169.92406),(41 171.90398),(42 171.30823),
(1 4.3346243),(2 8.299998),(3 8.290872),(4 13.178616),(5 26.326488),(6 30.944855),(7 31.08403),(8 37.360332),(9 49.649548),(10 55.47943),(11 55.536873),(12 62.8694),(13 78.27619),(14 86.392624),(15 86.446335),(16 93.782974),(17 103.2615),(18 110.96117),(19 111.28054),(20 118.168594),(21 131.86925),(22 138.23619),(23 138.40453),(24 140.67354),(25 158.03285),(26 168.55647),(27 168.50298),(28 175.47926),(29 187.79901),(30 197.91084),(31 197.86874),(32 209.36226),(33 218.76686),(34 222.19463),(35 222.5387),(36 220.12721),(37 204.08838),(38 200.58632),(39 200.53119),(40 203.8902),(41 203.626),(42 202.03207),
(1 6.187652),(2 11.627225),(3 11.630506),(4 18.780832),(5 33.896725),(6 40.639866),(7 40.868374),(8 47.44131),(9 60.88812),(10 68.20689),(11 68.268364),(12 75.842514),(13 90.200165),(14 99.625206),(15 99.691635),(16 107.646996),(17 117.20591),(18 125.146736),(19 125.06927),(20 129.70076),(21 140.83554),(22 144.02936),(23 144.5058),(24 147.39667),(25 158.28833),(26 167.30911),(27 167.37482),(28 174.31091),(29 188.02681),(30 195.22119),(31 195.14966),(32 201.88284),(33 212.52905),(34 219.03545),(35 218.84975),(36 224.74126),(37 226.86113),(38 226.26813),(39 226.38792),(40 227.312),(41 236.39438),(42 241.166),
(1 5.3894606),(2 9.430379),(3 9.43088),(4 14.447018),(5 26.513063),(6 32.35992),(7 32.353428),(8 39.147453),(9 52.011196),(10 58.741978),(11 58.858288),(12 65.63118),(13 84.72614),(14 95.952705),(15 96.1824),(16 106.00235),(17 122.13989),(18 133.31703),(19 133.33014),(20 143.50327),(21 156.53996),(22 163.52031),(23 163.59235),(24 169.33458),(25 180.90633),(26 190.3655),(27 190.63235),(28 198.60117),(29 211.06451),(30 214.66168),(31 214.682),(32 214.84314),(33 219.61584),(34 221.92906),(35 222.69884),(36 222.64313),(37 219.36562),(38 213.48473),(39 213.2094),(40 211.79266),(41 209.70016),(42 209.24962),
