1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 4729.842),(2 11488.401),(3 14543.7705),(4 14859.2),(5 15079.71),(6 15673.784),(7 16147.768),(8 15976.8125),(9 15894.226),(10 16156.721),(11 16882.162),(12 17303.578),(13 17218.94),(14 16996.61),(15 17176.607),(16 17315.635),(17 17162.084),(18 16627.906),(19 16103.002),(20 16099.324),(21 16536.098),(22 16680.674),(23 16633.78),(24 16517.418),(25 16542.674),(26 16722.783),(27 17000.186),(28 17003.357),(29 17260.82),(30 17389.465),(31 17292.953),(32 17428.95),(33 17423.121),(34 17311.693),(35 16959.154),(36 16809.05),(37 16755.57),(38 16804.967),(39 17122.387),(40 17018.209),(41 16631.61),(42 16262.522),(43 16400.902),(44 16683.816),(45 16974.57),(46 16683.078),(47 16340.71),(48 16467.697),(49 16767.486),(50 16716.836),(51 16504.807),(52 16434.588),(53 16411.584),(54 16459.766),(55 16460.89),(56 16537.238),(57 16608.64),(58 16818.4),(59 16971.652),(60 17019.688),(61 17042),(62 16971.594),(63 16812.916),(64 16631.762),(65 16660.844),(66 16961.914),(67 17158.717),(68 17128.885),(69 16930.459),(70 17077.29),(71 17277.857),(72 17216.896),(73 16952.883),(74 16786.496),(75 16789.922),(76 16956.857),(77 16911.355),(78 16795.104),(79 16623.021),
(1 4623.9478),(2 11304.275),(3 14027.8545),(4 14193.05),(5 14568.879),(6 15241.894),(7 15591.954),(8 15350.118),(9 15232.053),(10 15802.962),(11 16508.951),(12 16659.416),(13 16679.37),(14 16819.742),(15 16841.625),(16 16646.166),(17 16426.408),(18 16308.941),(19 16177.7),(20 16380.788),(21 16747.873),(22 16670.99),(23 16538.287),(24 16414.799),(25 16327.916),(26 16353.921),(27 16179.445),(28 16025.407),(29 16238.234),(30 16427.576),(31 16576.666),(32 16811.979),(33 16853.256),(34 16763.844),(35 16455.89),(36 16034.85),(37 15782.454),(38 15908.432),(39 16093.656),(40 16151.018),(41 16092.732),(42 15789.716),(43 15695.9795),(44 15944.425),(45 16155.859),(46 16003.565),(47 15793.2),(48 15844.032),(49 16228.75),(50 16418.924),(51 16259.195),(52 16092.598),(53 16119.493),(54 16110.041),(55 15924.149),(56 15879.695),(57 15833.438),(58 16147.356),(59 16547.545),(60 16536.71),(61 16327.1),(62 15999.114),(63 15828.693),(64 15738.432),(65 15684.45),(66 15536.705),(67 15595.9795),(68 15848.0205),(69 15928.141),(70 15891.219),(71 15658.329),(72 15481.982),(73 15409.993),(74 15470.579),(75 15680.856),(76 16180.654),(77 16419.7),(78 16446.71),(79 16382.33),
(1 4527.342),(2 10930.954),(3 13513.796),(4 13821.267),(5 14393.852),(6 15006.456),(7 15105.34),(8 14531.3545),(9 14331.48),(10 14862.257),(11 15600.559),(12 15746.719),(13 15518.59),(14 15476.559),(15 15726.946),(16 15657.366),(17 15553.136),(18 15529.085),(19 15642.743),(20 15908.114),(21 16032.333),(22 15870.268),(23 15746.471),(24 15928.689),(25 16167.678),(26 16074.317),(27 15767.876),(28 15496.204),(29 15689.173),(30 15801.223),(31 15791.102),(32 15733.015),(33 15711.716),(34 16031.512),(35 16251.342),(36 16023.842),(37 15869.757),(38 15760.228),(39 15662),(40 15518.624),(41 15346.418),(42 15458.403),(43 15706.772),(44 16022.328),(45 16072.827),(46 16035.823),(47 16132.029),(48 16317.643),(49 16366.995),(50 16374.883),(51 16332.682),(52 16233.106),(53 16390.55),(54 16250.507),(55 15942.457),(56 15678.636),(57 15801.454),(58 16216.531),(59 16208.82),(60 16093.371),(61 16045.76),(62 16501.783),(63 16966.486),(64 16715.06),(65 16245.954),(66 15945.799),(67 16052.822),(68 15971.762),(69 16007.732),(70 16087.758),(71 16020.446),(72 16071.216),(73 16234.987),(74 15987.827),(75 15958.077),(76 16356.209),(77 16778.379),(78 16492.344),(79 16131.199),
(1 4391.285),(2 10536.644),(3 13243.335),(4 13414.498),(5 13580.188),(6 14015.477),(7 14260.949),(8 14154.9795),(9 14242.08),(10 14533.173),(11 14830.401),(12 14824.616),(13 14892.665),(14 15292.918),(15 15705.484),(16 15471.93),(17 14955.245),(18 14787.11),(19 15179.651),(20 15546.3125),(21 15654.619),(22 15752.5205),(23 15582.772),(24 15470.57),(25 15428.377),(26 14996.789),(27 14853.877),(28 14889.835),(29 15149.196),(30 15361.574),(31 15410.807),(32 15351.072),(33 15262.863),(34 15376.31),(35 15440.159),(36 15358.978),(37 15341.108),(38 15356.449),(39 15339.873),(40 15180.137),(41 15050.173),(42 15180.152),(43 15246.093),(44 15123.317),(45 14988.766),(46 15155.794),(47 15229.297),(48 15321.335),(49 15614.725),(50 15720.387),(51 15727.075),(52 15614.595),(53 15644.667),(54 15654.619),(55 15626.856),(56 15445.783),(57 15195.89),(58 15347.681),(59 15482.067),(60 15564.595),(61 15708.923),(62 15917.75),(63 15958.539),(64 15751.799),(65 15642.948),(66 15729.399),(67 15758.986),(68 15868.341),(69 15718.436),(70 15579.78),(71 15693.974),(72 15816.209),(73 15863.126),(74 15769.889),(75 15805.799),(76 15766.752),(77 15984.819),(78 15833.256),(79 15484.445),
(1 4197.485),(2 9959.971),(3 12374.495),(4 12614.466),(5 12737.561),(6 13128.281),(7 13381.933),(8 13339.662),(9 13529.004),(10 13969.619),(11 14324.592),(12 14630.73),(13 15120.427),(14 15286.446),(15 15277.323),(16 14943.748),(17 14796.15),(18 14561.718),(19 14484.971),(20 14835.063),(21 15359.639),(22 15580.567),(23 15441.4375),(24 15278.549),(25 15238.675),(26 15019.641),(27 14625.644),(28 14078.469),(29 14024.641),(30 13845.223),(31 14145.237),(32 14644.338),(33 14747.393),(34 14635.328),(35 14356.517),(36 14341.835),(37 14386.806),(38 14485.781),(39 14698.82),(40 14667.124),(41 14576.391),(42 14445.933),(43 14526),(44 14695.141),(45 14813.007),(46 15141.667),(47 15439.352),(48 15140.27),(49 14885.505),(50 14807.752),(51 14895.206),(52 15128.27),(53 15409.232),(54 15405.91),(55 15300.237),(56 15384.147),(57 15185.629),(58 14934.078),(59 15138.454),(60 15456.992),(61 15655.872),(62 15639.464),(63 15565.345),(64 15476.84),(65 15378.065),(66 15334.6045),(67 15271.201),(68 15341.291),(69 15611.308),(70 15633.691),(71 15640.413),(72 15455.265),(73 15506.317),(74 15661.352),(75 15956.435),(76 15862.277),(77 15708.386),(78 15443.01),(79 15390.226),
(1 4129.867),(2 9480.837),(3 11342.903),(4 11406.335),(5 11578.156),(6 11919.486),(7 12327.4),(8 12382.288),(9 12309.4),(10 12539.332),(11 12761.259),(12 13049.567),(13 13561.209),(14 13874.181),(15 13810.897),(16 13599.942),(17 13403.172),(18 13232.355),(19 13161.998),(20 13300.601),(21 13521.114),(22 13953.061),(23 14104.686),(24 13970.133),(25 13980.625),(26 13892.37),(27 13668.008),(28 13278.784),(29 13209.949),(30 13283.953),(31 13440.175),(32 13608.294),(33 13714.566),(34 13689.906),(35 13449.373),(36 13359.261),(37 13291.728),(38 13154.978),(39 13261.128),(40 13272.594),(41 13349.455),(42 13519.3),(43 13752.642),(44 13804.462),(45 13727.378),(46 13547.525),(47 13507.942),(48 13426.616),(49 13428.27),(50 13586.123),(51 13680.461),(52 13819.676),(53 14102.295),(54 14007.676),(55 13925.015),(56 13865.199),(57 13831.156),(58 13833.211),(59 13973.542),(60 13915.181),(61 13795.43),(62 13841.319),(63 13804.834),(64 13640.178),(65 13664.825),(66 13625.659),(67 13558.592),(68 13478.161),(69 13632.731),(70 13778.723),(71 13843.2),(72 13928.036),(73 13924.386),(74 13743.828),(75 13662.47),(76 13636.792),(77 13686.756),(78 13575.137),(79 13568.633),
(1 4199.1934),(2 9606.622),(3 11512.192),(4 11532.282),(5 11656.66),(6 12085.711),(7 12425.558),(8 12549.505),(9 12628.483),(10 12921.127),(11 13077.058),(12 12954.332),(13 13200.623),(14 13584.292),(15 13835.512),(16 13566.832),(17 13378.708),(18 13292.452),(19 13524.74),(20 13754.642),(21 14046.035),(22 14240.892),(23 14052.077),(24 13745.312),(25 13601.614),(26 13585.28),(27 13487.426),(28 13214.163),(29 13212.594),(30 13361.066),(31 13566.529),(32 13552.896),(33 13541.066),(34 13808.655),(35 13800.248),(36 13684.436),(37 13539.468),(38 13558.324),(39 13611.376),(40 13449.282),(41 13544.619),(42 13588.118),(43 13745.708),(44 13773.421),(45 13888.408),(46 14165.094),(47 14257.859),(48 14211.549),(49 14083.376),(50 13666.31),(51 13580.525),(52 13726.695),(53 14094.537),(54 14157.305),(55 13906.064),(56 13593.733),(57 13341.071),(58 13659.864),(59 13974.284),(60 13972.94),(61 14051.757),(62 14214.458),(63 14188.7705),(64 13948.339),(65 13841.114),(66 13769.126),(67 13803.292),(68 13784.775),(69 13538.387),(70 13582.6875),(71 13972.148),(72 14178.898),(73 14161.661),(74 13952.116),(75 13994.003),(76 13814.816),(77 13769.468),(78 13795.255),(79 13857.629),
(1 4162.605),(2 9522.721),(3 11086.88),(4 10834.753),(5 10719.755),(6 11036.395),(7 11431.74),(8 11492.818),(9 11586.244),(10 11949.288),(11 11900.003),(12 11885.895),(13 12252.892),(14 12572.083),(15 12733.003),(16 12455.706),(17 12138.117),(18 12105.3),(19 12331.317),(20 12612.612),(21 12999.646),(22 13106.2705),(23 12987.018),(24 12969.052),(25 13185.531),(26 13025.437),(27 12722.654),(28 12578.657),(29 12557.781),(30 12686.77),(31 12735.416),(32 12999.478),(33 13191.837),(34 13282.212),(35 13405.308),(36 13358.117),(37 13099.974),(38 13160.358),(39 12994.839),(40 12712.877),(41 12842.943),(42 12876.307),(43 12833.755),(44 12926.084),(45 12918.034),(46 12816.41),(47 12609.4375),(48 12383.09),(49 12334.69),(50 12388.791),(51 12414.176),(52 12571.892),(53 12856.373),(54 12839.892),(55 12968.557),(56 12941.253),(57 12714.639),(58 12585.015),(59 12689.396),(60 12784.703),(61 13011.948),(62 13075.166),(63 13198.02),(64 13264.505),(65 13437.225),(66 13417.949),(67 13354.526),(68 13284.772),(69 13397.325),(70 13378.256),(71 13253.8125),(72 13175.069),(73 13110.37),(74 12982.003),(75 13104.709),(76 12916.08),(77 12848.233),(78 12685.394),(79 12618.883),
(1 4004.792),(2 9237.936),(3 10941.107),(4 10904.471),(5 10974.625),(6 11101.746),(7 11407.086),(8 11531.273),(9 11814.539),(10 11989.432),(11 11863.61),(12 11847.585),(13 12111.203),(14 12158.507),(15 12093.335),(16 11878.6455),(17 11628.479),(18 11719.148),(19 12068.13),(20 12146.732),(21 12127.394),(22 12150.321),(23 12276.188),(24 12541.417),(25 12696.438),(26 12337.286),(27 12262.2705),(28 12457.428),(29 12562.498),(30 12438.05),(31 12213.042),(32 12320.695),(33 12767.641),(34 12945.954),(35 12917.955),(36 12809.023),(37 12629.417),(38 12444.099),(39 12625.205),(40 12649.334),(41 12732.641),(42 12701.963),(43 12412.782),(44 12285.214),(45 12389.221),(46 12348.258),(47 12385.15),(48 12429.227),(49 12273.636),(50 12453.064),(51 12646.2295),(52 12576.948),(53 12538.248),(54 12598.704),(55 12730.882),(56 12970.943),(57 12853.404),(58 12655.221),(59 12904.744),(60 13028.414),(61 13110.75),(62 13078.814),(63 13039.303),(64 12772.176),(65 12641.912),(66 12703.144),(67 12821.924),(68 12735.602),(69 12709.892),(70 12767.276),(71 12859.816),(72 12904.723),(73 12694.506),(74 12463.289),(75 12530.4795),(76 12538.526),(77 12727.961),(78 13007.644),(79 12895.351),
(1 3856.092),(2 8628.511),(3 10212.472),(4 10298.193),(5 10553.2705),(6 10972.359),(7 11290.535),(8 11254.067),(9 11440.283),(10 11753.861),(11 11799.106),(12 11925.26),(13 11994.744),(14 11852.829),(15 11849.542),(16 11645.118),(17 11460.216),(18 11527.397),(19 11846.772),(20 11996.316),(21 12008.772),(22 11990.159),(23 11894.841),(24 11918.969),(25 12044.002),(26 11896.055),(27 11876.367),(28 11955.22),(29 11928.966),(30 11682.294),(31 11637.184),(32 11883.714),(33 12122.325),(34 12107.195),(35 12092.566),(36 11940.625),(37 11718.207),(38 11803.288),(39 12148.32),(40 12167.053),(41 12161.124),(42 12212.22),(43 12027.093),(44 12018.705),(45 11854.513),(46 11716.449),(47 11689.676),(48 11752.077),(49 11843.231),(50 11834.1875),(51 12018.544),(52 12067.954),(53 12035.059),(54 12132.443),(55 12189.728),(56 12063.333),(57 11962.318),(58 12131.726),(59 12397.291),(60 12391.84),(61 12399.013),(62 12371.844),(63 12345.752),(64 12166.809),(65 12120.8545),(66 12289.928),(67 12536.901),(68 12500.168),(69 12202.057),(70 11965.417),(71 12063.861),(72 12330.959),(73 12365.645),(74 12248.481),(75 12051.132),(76 11991.534),(77 12146.863),(78 12331.681),(79 12304.459),
(1 3693.8428),(2 8261.342),(3 9832.449),(4 9736.763),(5 9876.9375),(6 10377.949),(7 10658.109),(8 10755.414),(9 10966.953),(10 11040.939),(11 11037.44),(12 11287.295),(13 11432.896),(14 11346.461),(15 11160.547),(16 10845.089),(17 10739.385),(18 10734.348),(19 10870.853),(20 10984.294),(21 11255.179),(22 11454.649),(23 11370.574),(24 11243.947),(25 11230.217),(26 11178.172),(27 11167.709),(28 11083.715),(29 11070.801),(30 11025.202),(31 11013.174),(32 11072.898),(33 11193.429),(34 11277.382),(35 11499.97),(36 11589.367),(37 11379.036),(38 11034.056),(39 11139.4375),(40 11305.43),(41 11394.31),(42 11364.797),(43 11227.714),(44 11285.199),(45 11335.243),(46 11272.82),(47 11392.979),(48 11612.51),(49 11733.71),(50 11694.411),(51 11714.318),(52 11704.447),(53 11780.133),(54 11987.504),(55 12125.22),(56 12118.034),(57 11946.297),(58 11834.45),(59 11770.452),(60 11903.379),(61 12093.367),(62 12174.715),(63 12081.776),(64 11813.729),(65 11784.438),(66 11705.938),(67 11722.902),(68 11909.1455),(69 12026.294),(70 11780.902),(71 11541.11),(72 11501.988),(73 11493.62),(74 11416.054),(75 11437.142),(76 11491.824),(77 11818.052),(78 11992.532),(79 11883.897),
(1 3604.2813),(2 8127.744),(3 9725.559),(4 9689.757),(5 9884.76),(6 10417.392),(7 10802.16),(8 10851.922),(9 11028.689),(10 11257.948),(11 11341.021),(12 11543.109),(13 11630.764),(14 11461.332),(15 11567.074),(16 11571.6),(17 11507.999),(18 11545.626),(19 11635.915),(20 11858.661),(21 12108.468),(22 11992.454),(23 11857.338),(24 11664.332),(25 11566.797),(26 11465.973),(27 11554.984),(28 11507.12),(29 11598.324),(30 11697.252),(31 11478.922),(32 11184.871),(33 11268.895),(34 11425.54),(35 11386.634),(36 11335.123),(37 11258.165),(38 11166.679),(39 11324.637),(40 11342.555),(41 11352.707),(42 11400.724),(43 11559.909),(44 11448.749),(45 11343.04),(46 11187.012),(47 10958.436),(48 10991.402),(49 11042.378),(50 11132.345),(51 11216.293),(52 11257.407),(53 11477.058),(54 11715.901),(55 11784.136),(56 11738.193),(57 11646.471),(58 11539.149),(59 11683.651),(60 12035.127),(61 12395.928),(62 12400.833),(63 12092.581),(64 11959.125),(65 11983.491),(66 11918.925),(67 11888.449),(68 11912.656),(69 11953.874),(70 11808.574),(71 11667.322),(72 11646.437),(73 11502.536),(74 11424.911),(75 11552.154),(76 11637.311),(77 11842.408),(78 11906.189),(79 11748.836),
(1 3641.0718),(2 7989.014),(3 9210.549),(4 9124.638),(5 9346.486),(6 9850.1045),(7 10328.061),(8 10416.352),(9 10488.983),(10 10642.262),(11 10597.885),(12 10826.21),(13 10977.75),(14 10757.25),(15 10632.393),(16 10457.856),(17 10481.451),(18 10592.1045),(19 10626.976),(20 10724.461),(21 10908.235),(22 10893.574),(23 10778.24),(24 10641.727),(25 10474.007),(26 10407.777),(27 10600.26),(28 10614.834),(29 10599.239),(30 10584.5625),(31 10730.829),(32 10874.707),(33 10942.923),(34 10879.344),(35 10833.694),(36 10604.028),(37 10424.515),(38 10203.028),(39 10229.905),(40 10318.726),(41 10292.183),(42 10352.137),(43 10538.929),(44 10498.008),(45 10520.899),(46 10640.846),(47 10763.242),(48 10934.007),(49 11079.424),(50 10855.907),(51 10712.07),(52 10642.625),(53 10814.125),(54 11062.728),(55 11031.041),(56 11071.721),(57 11112.306),(58 11188.662),(59 11300.065),(60 11456.81),(61 11671.008),(62 11724.641),(63 11724.565),(64 11566.375),(65 11592.285),(66 11615.99),(67 11585.393),(68 11538.982),(69 11606.376),(70 11497.467),(71 11382.74),(72 11357.043),(73 11192.489),(74 10977.271),(75 11034.239),(76 11118.635),(77 11159.5625),(78 11001.831),(79 10865.161),
(1 3555.6416),(2 7726.8105),(3 8844.365),(4 8894.058),(5 9149.264),(6 9581.823),(7 9911.511),(8 10032.093),(9 10237.829),(10 10231.755),(11 10092.883),(12 10178.971),(13 10352.657),(14 10207.777),(15 10015.178),(16 9874.185),(17 10086.779),(18 10296.941),(19 10347.724),(20 10448.1875),(21 10589.002),(22 10546.666),(23 10434.081),(24 10344.719),(25 10215.489),(26 10232.664),(27 10336.989),(28 10312.241),(29 10328.837),(30 10415.1875),(31 10404.21),(32 10464.116),(33 10528.457),(34 10578.553),(35 10656.903),(36 10569.383),(37 10408.36),(38 10212.866),(39 10195.267),(40 10362.924),(41 10582.978),(42 10630.433),(43 10519.989),(44 10440.967),(45 10433.026),(46 10455.876),(47 10405.494),(48 10420.563),(49 10466.42),(50 10376.204),(51 10368.946),(52 10596.808),(53 10635.858),(54 10609.297),(55 10564.41),(56 10636.35),(57 10772.41),(58 10901.089),(59 10900.983),(60 10917.579),(61 11066.622),(62 11146.62),(63 11207.705),(64 10902.054),(65 10848.173),(66 11064.282),(67 11144.448),(68 11032.458),(69 11099.502),(70 11095.108),(71 11063.3545),(72 10994.416),(73 10770.811),(74 10696.283),(75 11038.202),(76 11132.844),(77 11184.288),(78 11020.212),(79 10903.618),
(1 3345.878),(2 7164.5703),(3 8195.436),(4 8157.3706),(5 8322.268),(6 8768.682),(7 9083.657),(8 9031.061),(9 8974.563),(10 9015.438),(11 9015.784),(12 9206.345),(13 9353.172),(14 9234.965),(15 9097.819),(16 9059.164),(17 9284.806),(18 9539.19),(19 9492.456),(20 9465.481),(21 9573.745),(22 9586.531),(23 9514.235),(24 9315.313),(25 9194.644),(26 9323.613),(27 9435.926),(28 9366.308),(29 9501.958),(30 9725.057),(31 9665.093),(32 9607.6875),(33 9716.994),(34 9782.664),(35 9950.054),(36 9882.205),(37 9691.9795),(38 9615.242),(39 9753.485),(40 9669.528),(41 9575.68),(42 9539.65),(43 9480.818),(44 9529.356),(45 9692.917),(46 9997.205),(47 10057.008),(48 9926.144),(49 10032.687),(50 9741.277),(51 9419.062),(52 9493.125),(53 9789.038),(54 9835.505),(55 9891.867),(56 10016.386),(57 10204.008),(58 10403.893),(59 10545.939),(60 10605.861),(61 10647.08),(62 10615.603),(63 10764.133),(64 10663.942),(65 10578.926),(66 10545.759),(67 10522.362),(68 10434.668),(69 10381.627),(70 10307.718),(71 10487.259),(72 10466.931),(73 10240.928),(74 9985.941),(75 9946.136),(76 9963.853),(77 10210.657),(78 10302.657),(79 10312.598),
(1 3313.6807),(2 7106.857),(3 8118.54),(4 8070.4956),(5 8319.466),(6 8832.202),(7 9304.518),(8 9449.734),(9 9625.781),(10 9664.452),(11 9553.112),(12 9513.077),(13 9485.7),(14 9416.78),(15 9354.003),(16 9297.059),(17 9574.126),(18 9778.702),(19 9589.03),(20 9423.14),(21 9537.178),(22 9612.254),(23 9701.024),(24 9595.697),(25 9347.607),(26 9319.215),(27 9332.905),(28 9199.958),(29 9119.453),(30 9147.441),(31 9199.93),(32 9197.937),(33 9261.412),(34 9487.322),(35 9462.74),(36 9301.852),(37 9081.776),(38 9013.504),(39 9152.189),(40 9104.066),(41 9261.954),(42 9520.755),(43 9585.339),(44 9557.618),(45 9403.02),(46 9575.822),(47 9609.923),(48 9581.249),(49 9635.537),(50 9459.072),(51 9320.684),(52 9447.369),(53 9471.967),(54 9427.777),(55 9558.402),(56 9556.947),(57 9632.626),(58 9744.678),(59 9721.625),(60 9804.148),(61 9917.802),(62 9784.223),(63 9795.461),(64 9768.893),(65 9797.398),(66 9811.326),(67 9651.51),(68 9747.104),(69 9907.167),(70 9907.158),(71 9769.139),(72 9590.921),(73 9625.561),(74 9669.529),(75 9742.031),(76 9826.692),(77 9937.443),(78 9844.432),(79 9870.489),
(1 3217.108),(2 7038.7974),(3 8149.425),(4 8060.5205),(5 8080.335),(6 8506.138),(7 8893.04),(8 9000.441),(9 9115),(10 9271.573),(11 9222.004),(12 9210.506),(13 9136.351),(14 9054.501),(15 9140.096),(16 9237.511),(17 9606.26),(18 9698.648),(19 9570.106),(20 9520.121),(21 9445.499),(22 9419.435),(23 9550.257),(24 9478.331),(25 9447.39),(26 9324.067),(27 9180.028),(28 9051.407),(29 8991.581),(30 9019.263),(31 9288.19),(32 9448.964),(33 9591.845),(34 9631.183),(35 9619.244),(36 9483.89),(37 9453.833),(38 9329.177),(39 9283.885),(40 9272.49),(41 9176.71),(42 9165.203),(43 9152.206),(44 9147.732),(45 9164.277),(46 9366.776),(47 9399.012),(48 9377.086),(49 9374.8955),(50 9253.224),(51 9364.036),(52 9430.81),(53 9453.43),(54 9523.388),(55 9449.228),(56 9476.3955),(57 9633.132),(58 9774.1),(59 9955.258),(60 10135.548),(61 10074.467),(62 9989.476),(63 10264.028),(64 10247.5625),(65 10082.055),(66 9903.658),(67 9732.907),(68 9858.485),(69 10062.985),(70 10161.657),(71 10108.245),(72 9958.613),(73 9976.6455),(74 9972.379),(75 9940.824),(76 9912.102),(77 9940.019),(78 10111.286),(79 10170.78),
(1 3140.357),(2 6754.7905),(3 7706.2505),(4 7651.2637),(5 7757.1978),(6 8250.875),(7 8408.086),(8 8214.308),(9 8402.436),(10 8523.807),(11 8531.97),(12 8651.904),(13 8509.641),(14 8379.405),(15 8466.196),(16 8474.1045),(17 8694.884),(18 8769.71),(19 8875.482),(20 8868.899),(21 8819.362),(22 8871.686),(23 9046.249),(24 9053.268),(25 9002.36),(26 8860.583),(27 8682.439),(28 8578.919),(29 8645.054),(30 8721.536),(31 8765.031),(32 8666.213),(33 8694.883),(34 8848.9375),(35 8868.2705),(36 8721.455),(37 8618.907),(38 8604.931),(39 8644.254),(40 8610.314),(41 8700.254),(42 8917.934),(43 8770.504),(44 8735.292),(45 8694.614),(46 8784.351),(47 8845.567),(48 8842.488),(49 8761.343),(50 8649.803),(51 8758.084),(52 8938.914),(53 9056.684),(54 9022.807),(55 8973.14),(56 9020.339),(57 9085.34),(58 9103.896),(59 9222.649),(60 9368.388),(61 9438.381),(62 9360.911),(63 9373.116),(64 9466.479),(65 9488.508),(66 9393.5),(67 9380.94),(68 9362.595),(69 9379.022),(70 9510.56),(71 9525.786),(72 9501.9),(73 9388.569),(74 9327.357),(75 9287.82),(76 9136.775),(77 9216.307),(78 9431.144),(79 9465.063),
