1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 47926.79),(2 134291.67),(3 192802.2),(4 210185.6),(5 210468.89),(6 220516.06),(7 240806.19),(8 254183.95),(9 260376.16),(10 266648.75),(11 272810.94),(12 275830.56),(13 280429.4),(14 282815.22),(15 277172.47),(16 273018.34),(17 279114.8),(18 288488.6),(19 297841.63),(20 306791.2),(21 316807.3),(22 330106.53),(23 338795.53),(24 334170.2),(25 330345.97),(26 332281.06),(27 336818.1),(28 342588.38),(29 349567.78),(30 349959.72),(31 347786.1),(32 350064.66),(33 357815.2),(34 357936.28),(35 354502.6),(36 350817.97),(37 348171.2),(38 347922.56),(39 349219.5),(40 352850.25),(41 351574.5),(42 348292.4),(43 341528.13),(44 338254.16),(45 336189.47),(46 333598.2),(47 332045.66),(48 332239.25),(49 340124.38),(50 346180.06),(51 348955.13),(52 346133.63),(53 344359.44),(54 344226.75),(55 346594.97),(56 348719.97),(57 348818.6),(58 346372.8),(59 343083.1),(60 338864.97),(61 335696.16),(62 336196.5),(63 335054.94),(64 337704.13),(65 341147),(66 340415.25),(67 340468.47),(68 339374.4),(69 343751.5),(70 350324.8),(71 351398.88),(72 346957.28),(73 338695.3),(74 329140.94),(75 321875.53),(76 325218.56),(77 328526.47),(78 328439.53),(79 334444.03),
(1 46636.46),(2 130014.34),(3 188021.7),(4 205191.03),(5 206246.3),(6 214244.11),(7 230746.7),(8 245393.47),(9 253124.8),(10 261807.02),(11 267687.28),(12 269222.75),(13 269469.94),(14 268697.3),(15 266171.75),(16 262847.7),(17 264975.22),(18 273340.06),(19 282866.16),(20 293764.66),(21 309004.72),(22 326209.63),(23 334287.63),(24 334300.25),(25 334388.94),(26 335259.28),(27 337999.9),(28 343968.72),(29 349646.63),(30 353411.78),(31 352843.06),(32 354164.53),(33 358328.53),(34 358310.78),(35 354883.75),(36 351770.66),(37 351125.3),(38 349347.3),(39 351342.25),(40 356479.9),(41 358163.34),(42 353833.25),(43 350157.7),(44 350700.5),(45 348294.1),(46 340428.97),(47 332945.72),(48 333499.56),(49 343679.7),(50 351573),(51 350707.63),(52 345867.53),(53 344105.38),(54 346625.7),(55 348864.06),(56 349584.63),(57 348358.75),(58 347807.06),(59 349024.56),(60 348454.1),(61 343896.4),(62 338451.34),(63 337960.75),(64 337774.38),(65 337998.56),(66 337483.63),(67 341372.44),(68 346026.63),(69 345267.9),(70 341708.3),(71 341368.34),(72 338460.22),(73 333642.78),(74 331581),(75 328623.8),(76 329032.44),(77 334262.72),(78 339158.38),(79 340839.7),
(1 46277.676),(2 127099.15),(3 182775.48),(4 198203.55),(5 200382.67),(6 212345.77),(7 228766.55),(8 244592.56),(9 251370.95),(10 255133.55),(11 259637.44),(12 263405.56),(13 265689.3),(14 265018.03),(15 266110.2),(16 266291.3),(17 267285.63),(18 269032.1),(19 274276.8),(20 281214.75),(21 292317.75),(22 305444.7),(23 310657.8),(24 311712.13),(25 316377.03),(26 318041.7),(27 316542.44),(28 322641.53),(29 330700.47),(30 335122.7),(31 338519.3),(32 340072.6),(33 339945.28),(34 337800.7),(35 337063.8),(36 336204.06),(37 333211.6),(38 333391.9),(39 341010.66),(40 347142.1),(41 346759.56),(42 338018.97),(43 331785.4),(44 331003.75),(45 328065.4),(46 320667.34),(47 311668.47),(48 309680.22),(49 313256),(50 318286.16),(51 319100.97),(52 314238.03),(53 311991.28),(54 316969.22),(55 320334.47),(56 321137.3),(57 319409.13),(58 319995.28),(59 323797.4),(60 325227.97),(61 323390.97),(62 320774.7),(63 317421.34),(64 318010.44),(65 321058.75),(66 326005.34),(67 330392.8),(68 334473.47),(69 337585.3),(70 331948.75),(71 328469.6),(72 327873.3),(73 324366.97),(74 318484.78),(75 313796.28),(76 318416.1),(77 325279.8),(78 327739.06),(79 332342.56),
(1 44047.895),(2 120567.49),(3 172773.05),(4 188786.47),(5 189656.08),(6 201886.02),(7 218689.94),(8 230090.05),(9 234231.23),(10 234227.66),(11 230552.84),(12 231801.16),(13 238349.6),(14 243389.56),(15 243040.48),(16 241495.31),(17 242359.16),(18 246707.58),(19 252703.44),(20 260309.64),(21 270618.94),(22 281391.25),(23 286386.03),(24 289928.4),(25 294204.8),(26 299346.34),(27 299372.28),(28 299355.16),(29 304428.38),(30 311015.84),(31 312876.3),(32 311128.88),(33 308170.56),(34 307516.22),(35 309575.88),(36 310735.53),(37 312321.13),(38 318858.44),(39 328415.53),(40 338098.22),(41 335307.4),(42 328420.7),(43 323860.72),(44 323184),(45 313922.16),(46 303025.8),(47 294773.25),(48 297219.28),(49 301356.44),(50 300219.03),(51 298556.63),(52 297403.53),(53 300589.7),(54 308483.25),(55 311218.03),(56 308054.84),(57 306839.47),(58 310619.8),(59 313393.47),(60 312745.7),(61 309536.22),(62 305283.53),(63 298068.63),(64 294550.06),(65 296683),(66 302249.22),(67 309824.03),(68 314529.97),(69 318634.25),(70 317877.8),(71 314742.03),(72 310881.9),(73 307191.06),(74 306185.75),(75 304021.75),(76 302636.1),(77 305694.4),(78 312469.53),(79 315453.84),
(1 42486.832),(2 115147.74),(3 161609.6),(4 172589.75),(5 174731.8),(6 187687.64),(7 206718.9),(8 220463.58),(9 221133.78),(10 218722.8),(11 217470.02),(12 217293.4),(13 220245.1),(14 222888.53),(15 223910.53),(16 223351.83),(17 220727.17),(18 221033.78),(19 225810.52),(20 234339.8),(21 245796.05),(22 256413.28),(23 259740.72),(24 262004.72),(25 265981.75),(26 268991.5),(27 269349.88),(28 271497.66),(29 273660.3),(30 279096.94),(31 284946.9),(32 289509.56),(33 289046.7),(34 286907.03),(35 285625.3),(36 285109.7),(37 288339.16),(38 293341.8),(39 302608.28),(40 310309.16),(41 310177.1),(42 306613.47),(43 302610.2),(44 300319.9),(45 293969.7),(46 284859.66),(47 280884.06),(48 282239.66),(49 285871.6),(50 284281.94),(51 280851.5),(52 282377.16),(53 289677.13),(54 293063.03),(55 293186.78),(56 293688.9),(57 294122.06),(58 296168.56),(59 298328.7),(60 299347.1),(61 298623.75),(62 294928.34),(63 289818.56),(64 285528.56),(65 286531.84),(66 293060.38),(67 299236.28),(68 301280.06),(69 303603.2),(70 305631.06),(71 306186.88),(72 304189.1),(73 300500.63),(74 296481.22),(75 294463.94),(76 297895.03),(77 300424.78),(78 300635.22),(79 305109.75),
(1 42795.598),(2 115156.57),(3 160654.25),(4 168874.66),(5 169771.7),(6 185517.02),(7 206093.94),(8 220379.67),(9 222076.6),(10 218760.11),(11 220641.66),(12 225231.58),(13 227675.02),(14 226579.92),(15 223526.95),(16 221719.84),(17 220792.13),(18 220552.19),(19 223334.63),(20 231325.22),(21 245809.98),(22 259770.53),(23 268671.38),(24 271845.56),(25 272845.5),(26 271399.5),(27 266211.84),(28 265739.22),(29 269677.5),(30 274824.9),(31 277003.3),(32 275798.97),(33 274906.97),(34 273633.06),(35 273586.34),(36 276258.38),(37 278414.22),(38 282713.44),(39 290469.28),(40 293720.03),(41 289157.72),(42 286472.3),(43 287451.28),(44 288469.44),(45 281452.16),(46 274581.38),(47 273004.97),(48 276829.8),(49 279137.97),(50 277625.1),(51 277327.63),(52 280023.2),(53 285468.5),(54 285022.25),(55 282373.13),(56 284492.7),(57 289124.22),(58 291424.25),(59 289639.34),(60 290078),(61 292347),(62 290288.97),(63 281916.3),(64 274814.22),(65 274821.66),(66 277888.06),(67 283407.44),(68 288938.53),(69 290802.78),(70 287812.3),(71 286847.66),(72 283079.1),(73 279967.7),(74 281178.75),(75 281534.84),(76 282359.75),(77 287014.2),(78 293041.63),(79 299840.84),
(1 41675.855),(2 110656.805),(3 155201.33),(4 163919.02),(5 163645.16),(6 175482.7),(7 196587.73),(8 212107.94),(9 212532.5),(10 210755.78),(11 210166.78),(12 217127.31),(13 224567.05),(14 225378.75),(15 223146.19),(16 219730.33),(17 215965.05),(18 217246.89),(19 220383.45),(20 224559.03),(21 232066.7),(22 243210.39),(23 253852.81),(24 254808.67),(25 250693.64),(26 249736.75),(27 245777.44),(28 244941.66),(29 248219.9),(30 256667.03),(31 266814.2),(32 268683.47),(33 265643.34),(34 263944.66),(35 266132.97),(36 269542.78),(37 273683.8),(38 281360.78),(39 287626.72),(40 287390.3),(41 281827.5),(42 277823.06),(43 278140.8),(44 281426.78),(45 279688.8),(46 272547.44),(47 266669.13),(48 269737.34),(49 273044.25),(50 273241.13),(51 271085.8),(52 271339.8),(53 278630.16),(54 280376.53),(55 277905.1),(56 278749.25),(57 281720.16),(58 284340),(59 286392.78),(60 288044.66),(61 286872.13),(62 282258.75),(63 276465.28),(64 275716.66),(65 276214.5),(66 278894.9),(67 281897.22),(68 282804.44),(69 283529.06),(70 284977),(71 282987.53),(72 277220.66),(73 274489.25),(74 271862.5),(75 270880.6),(76 272927.13),(77 275799.06),(78 281730.22),(79 287087.1),
(1 41539.03),(2 108788.89),(3 147547.42),(4 154186.86),(5 155956.39),(6 166296.17),(7 181785.63),(8 194883.36),(9 197285.03),(10 197781.83),(11 204188.5),(12 208657.48),(13 213324.55),(14 214758.02),(15 214329.56),(16 214938.17),(17 216780.61),(18 220127.39),(19 224094.13),(20 226305.58),(21 233528.08),(22 242722.69),(23 255356.73),(24 262621.5),(25 259432.67),(26 252253.61),(27 250921.78),(28 252695.88),(29 256381.69),(30 261978.77),(31 268897.53),(32 272949.97),(33 271540.7),(34 269329.66),(35 273233.16),(36 276413.03),(37 280613.8),(38 290042.47),(39 295221.38),(40 293919.6),(41 287719.97),(42 283959.22),(43 282445.75),(44 282036.66),(45 277429.06),(46 272867.16),(47 271910.38),(48 276899.9),(49 279544.3),(50 277737.4),(51 277464.72),(52 278749.28),(53 281861.53),(54 283465.84),(55 284567.53),(56 282169.25),(57 279041.9),(58 276685),(59 273873.88),(60 273559.63),(61 272674.63),(62 269112.1),(63 266591.66),(64 266776.25),(65 270825.03),(66 271578.6),(67 272433.56),(68 272104.94),(69 271644.4),(70 269024.63),(71 268042.47),(72 264646.78),(73 261416.13),(74 263669.9),(75 264685.2),(76 265137.97),(77 269081.47),(78 275288.97),(79 284298.2),
(1 40773.773),(2 108456.63),(3 146729.08),(4 152215.88),(5 153805.67),(6 163333.55),(7 174618.38),(8 182882.83),(9 184186.13),(10 187508.56),(11 194768.64),(12 202043.56),(13 207378.22),(14 206992.67),(15 205462.7),(16 208374.72),(17 214576.56),(18 222149.84),(19 224212.7),(20 223317.63),(21 227457.8),(22 238162.3),(23 250076.64),(24 255032.97),(25 250753.47),(26 245286.13),(27 240383.78),(28 243927.61),(29 250877.2),(30 255373.67),(31 257590.63),(32 258843.48),(33 260404.2),(34 260172.58),(35 259709.45),(36 263374.13),(37 267600.97),(38 272369.22),(39 274851.6),(40 271388.25),(41 264019.88),(42 259863.75),(43 261817.1),(44 261591.9),(45 251662.17),(46 241331.61),(47 242304.36),(48 251034.17),(49 254210.39),(50 250203.03),(51 247172.38),(52 250219.19),(53 254367.03),(54 254511.16),(55 253563.78),(56 256490.13),(57 256577.16),(58 254792.39),(59 254264.94),(60 253711.63),(61 249800.67),(62 245503.42),(63 242781),(64 245948.34),(65 247697.33),(66 248665.66),(67 255840.45),(68 261591.16),(69 263032.06),(70 260895.25),(71 255463.28),(72 250371.88),(73 250143.36),(74 249695.88),(75 248142.64),(76 249387.75),(77 256292.7),(78 263407.78),(79 269867.2),
(1 39651.92),(2 102500.54),(3 139351.78),(4 146611.25),(5 148854.52),(6 157653.56),(7 167661.66),(8 171558.92),(9 172963.47),(10 175049.58),(11 183493.86),(12 193114.08),(13 198605.94),(14 198516.36),(15 196699.22),(16 198928.33),(17 203705.06),(18 210678.97),(19 212107.17),(20 211024.95),(21 213934.56),(22 223204.02),(23 238362.39),(24 245105.16),(25 239982.23),(26 232583.5),(27 229982.78),(28 232327.64),(29 238658.7),(30 247384.52),(31 255797.4),(32 259331.64),(33 260516.53),(34 260410.88),(35 259678.81),(36 261744.7),(37 265927.6),(38 270581.28),(39 270102.16),(40 264910.84),(41 263279.66),(42 263226.6),(43 264578.34),(44 262146.8),(45 253855.1),(46 247206.63),(47 246015.22),(48 249752.02),(49 252582.33),(50 250886.14),(51 250730.31),(52 253822.22),(53 257062.95),(54 256194.98),(55 256444.08),(56 258414.06),(57 257374.73),(58 255634.36),(59 253958.94),(60 252710.83),(61 248800.94),(62 242429.08),(63 241202.61),(64 240715.27),(65 243867.7),(66 245347.98),(67 248309.47),(68 251502.73),(69 256941.5),(70 257796.66),(71 253575.36),(72 248293.14),(73 244670.2),(74 244206.45),(75 242141.22),(76 240844.64),(77 245666.66),(78 251694.73),(79 256393.34),
(1 42119.03),(2 105329.95),(3 136199.28),(4 139742.31),(5 143967.63),(6 152878.47),(7 160327.02),(8 162973.75),(9 163871.39),(10 168749.98),(11 178111.64),(12 184448.2),(13 187897.64),(14 183592.52),(15 180570.61),(16 185565.06),(17 192452.6),(18 198082.94),(19 196985.55),(20 194913.28),(21 199817.4),(22 209871.31),(23 224267.27),(24 231174.31),(25 230659.5),(26 222868.6),(27 213653.53),(28 215206),(29 219383.55),(30 224031.05),(31 233427.7),(32 242407.5),(33 247640.8),(34 244270.52),(35 244503.77),(36 245004.89),(37 248840.23),(38 252074.58),(39 249583.9),(40 245282.23),(41 238126.08),(42 237049.19),(43 235430.23),(44 233299.5),(45 227022.17),(46 223132.31),(47 224562.05),(48 230010.55),(49 228836.06),(50 224840.5),(51 226860.5),(52 230486.44),(53 231191.1),(54 228327.9),(55 228924.61),(56 231803.13),(57 231077.66),(58 228415.27),(59 228612.55),(60 229343.4),(61 226332.02),(62 220734.69),(63 219215.77),(64 220776.94),(65 221965.66),(66 222376),(67 226480.95),(68 230074.61),(69 231285.66),(70 232977.11),(71 233436.53),(72 232553.47),(73 229180.72),(74 227703.56),(75 230177.5),(76 233107.19),(77 237701.16),(78 242533.11),(79 248558.08),
(1 40540.57),(2 101190.055),(3 126926.72),(4 127582.54),(5 132386.11),(6 143959.61),(7 151025.86),(8 152173.38),(9 154541.19),(10 161882.61),(11 172873.8),(12 177743.81),(13 173745.8),(14 169365.45),(15 166502.95),(16 171845.86),(17 181431.03),(18 190011.47),(19 191428.1),(20 187414.34),(21 190135.4),(22 198360.55),(23 210760.14),(24 217010.88),(25 213448.3),(26 206521.39),(27 202375.3),(28 203847.03),(29 207288.72),(30 212402.17),(31 218343.67),(32 222795.36),(33 224442.08),(34 224934.23),(35 225587.5),(36 226037.48),(37 230243.23),(38 232849.94),(39 230940.4),(40 225235.45),(41 221652),(42 220340.48),(43 219832.73),(44 216935.4),(45 212653.5),(46 209976.39),(47 211774.02),(48 215336.52),(49 214334.6),(50 211707.23),(51 212788.81),(52 217709.72),(53 220073.16),(54 221837.78),(55 225672.34),(56 228264.03),(57 227550.83),(58 223890.3),(59 224526.42),(60 223566.42),(61 219127.05),(62 215750.86),(63 215650.13),(64 215249.81),(65 216712.34),(66 219057.3),(67 222694.67),(68 226904.52),(69 229601.61),(70 231404),(71 228507.28),(72 227524.11),(73 228799.6),(74 227254.45),(75 225410.92),(76 227711.47),(77 233464.73),(78 234972.2),(79 238737.66),
(1 39627.71),(2 97836.87),(3 122536.64),(4 121501.2),(5 126146.27),(6 136418.31),(7 142451.53),(8 143744.05),(9 147231.44),(10 155199.97),(11 166839.7),(12 171131.56),(13 165892.39),(14 158272.52),(15 156184.39),(16 158873.66),(17 165563.7),(18 175012.88),(19 174272.55),(20 171358.7),(21 173192.48),(22 181919.97),(23 191388.14),(24 196143.1),(25 194585.38),(26 190522.02),(27 188306.1),(28 190615.75),(29 195716.11),(30 200800.02),(31 207162.55),(32 214184.94),(33 215182.28),(34 211877.52),(35 210659.14),(36 213278.9),(37 218472.45),(38 224753.48),(39 225850.06),(40 221358.11),(41 213493.61),(42 210064.11),(43 208884.47),(44 205779.2),(45 200421.52),(46 197704.27),(47 201156.67),(48 203147),(49 200890.27),(50 198028.19),(51 199331.89),(52 203280.63),(53 203708.63),(54 206805.14),(55 211745.88),(56 214410.81),(57 213659.25),(58 213653.13),(59 213841.11),(60 213734.94),(61 207605.75),(62 203466.55),(63 205601.75),(64 207388.9),(65 205372.84),(66 206194.84),(67 209549.1),(68 212673.06),(69 214499.75),(70 216341.98),(71 217217.2),(72 213946.05),(73 209933.2),(74 211359.14),(75 215039.55),(76 213850.06),(77 215761.2),(78 220197.05),(79 223861.31),
(1 40210.625),(2 97071.25),(3 118110.33),(4 118690.914),(5 127213.27),(6 137541.73),(7 140370.28),(8 139687.2),(9 144673.33),(10 156667.8),(11 169189.89),(12 171585.27),(13 167985.05),(14 162448.83),(15 157467.17),(16 161262.2),(17 169122.06),(18 175806.06),(19 177092.47),(20 173145.81),(21 174311.56),(22 181064.55),(23 188390.98),(24 192688.88),(25 192710.2),(26 193823.81),(27 191537.81),(28 194606.56),(29 199155.11),(30 203581.84),(31 208073.33),(32 210938.27),(33 211597.34),(34 208556.58),(35 205655.73),(36 206195.56),(37 212088.1),(38 218566.39),(39 221868.34),(40 218744.11),(41 212987.89),(42 209956.86),(43 208618.28),(44 207175.16),(45 203157.92),(46 201882.6),(47 202382.67),(48 202743.16),(49 199234.47),(50 198159.39),(51 199000.22),(52 204318.67),(53 208623.22),(54 212597.11),(55 220246.58),(56 224474.55),(57 223580.11),(58 222340.89),(59 224330.45),(60 222842.27),(61 217261.66),(62 214322.22),(63 213060.28),(64 213772.95),(65 212671.33),(66 213145.3),(67 216652.61),(68 217640.92),(69 217244.7),(70 220558.83),(71 220560.27),(72 217720.6),(73 215079.6),(74 212285.83),(75 211395.13),(76 214427.83),(77 217680.17),(78 219055.64),(79 227146.56),
(1 39092.04),(2 95708.016),(3 116185.38),(4 113950.55),(5 122695.195),(6 134401.08),(7 136297.28),(8 134014.9),(9 137712.14),(10 150036.5),(11 160754.08),(12 161925.03),(13 157036.84),(14 153461.7),(15 153007.47),(16 154134.14),(17 161208.94),(18 169629.52),(19 170733.63),(20 167449.63),(21 167438.67),(22 170922.83),(23 173653.1),(24 175806.14),(25 178023.83),(26 179643.52),(27 179478.63),(28 179830.3),(29 184440.3),(30 190786.98),(31 197607.33),(32 200195.55),(33 198909.73),(34 197009.19),(35 198459.89),(36 200077.73),(37 203323.45),(38 208540.64),(39 210474.89),(40 208712.97),(41 202687.89),(42 201759.45),(43 200358.7),(44 199184.4),(45 197798.83),(46 196545.17),(47 195750.64),(48 193149.6),(49 188506.31),(50 185458.5),(51 188158.52),(52 189502.84),(53 190598.48),(54 194342.23),(55 201822.05),(56 205486),(57 205467.39),(58 205592.5),(59 208176.17),(60 208980.63),(61 207023.19),(62 206347.66),(63 205940.67),(64 204428.23),(65 204172.56),(66 208266.7),(67 210904.77),(68 211162.75),(69 210957.6),(70 212355.36),(71 213149.02),(72 214812.81),(73 209685.81),(74 209202.72),(75 210530.75),(76 207926.1),(77 205813.02),(78 211230.84),(79 217245.16),
(1 39492.14),(2 95220.31),(3 116455.766),(4 115633.16),(5 123158.1),(6 133247.83),(7 135190.17),(8 135606.42),(9 142336.92),(10 155918.27),(11 166861.63),(12 167130.6),(13 162384.61),(14 157299.83),(15 154500.4),(16 154389.67),(17 157443.5),(18 165060.52),(19 168568.58),(20 165387.47),(21 166008.52),(22 169928.88),(23 170663.03),(24 170692.19),(25 171996.22),(26 174246.9),(27 173666.83),(28 177207.1),(29 181590.14),(30 187460.81),(31 192674.06),(32 195761.1),(33 197746.97),(34 197348.63),(35 197265.03),(36 197998.9),(37 199694.7),(38 204163.38),(39 206116.88),(40 202914.22),(41 198908.89),(42 198436.36),(43 198719.97),(44 199402.89),(45 200100.52),(46 199101.36),(47 198087.06),(48 195105.58),(49 190089.63),(50 187716),(51 188197.77),(52 189463.88),(53 189125.39),(54 189720.63),(55 194114.98),(56 196811.28),(57 197955.8),(58 198655.8),(59 201552.89),(60 201467.64),(61 199170.36),(62 200867.44),(63 200372.1),(64 197461.23),(65 196256.42),(66 197713.52),(67 200922.69),(68 200057.3),(69 199929.72),(70 201759.58),(71 197896.14),(72 196917.78),(73 196525.63),(74 195331.4),(75 195038.64),(76 196256.36),(77 196645.83),(78 193693.03),(79 199339.19),
(1 38344.367),(2 89666.09),(3 105996.266),(4 107387.11),(5 117499.03),(6 125982.84),(7 125920.27),(8 124457.164),(9 132984.92),(10 145142.63),(11 154315.83),(12 154557.48),(13 151527.75),(14 149780.78),(15 146345.58),(16 143767.25),(17 147502.16),(18 154892.05),(19 156682.33),(20 155825.38),(21 155603.14),(22 158448.08),(23 161182.77),(24 160275.61),(25 157857.11),(26 158458.5),(27 160873.2),(28 164106.27),(29 171501.06),(30 178643.45),(31 181974.77),(32 182555.97),(33 183876.45),(34 186848.19),(35 188618.86),(36 188170.94),(37 189238.19),(38 195199.67),(39 198249.95),(40 195266.44),(41 192506.63),(42 191934.34),(43 193470.14),(44 193227.2),(45 193943.5),(46 193573.5),(47 192430.22),(48 188482.78),(49 183710.72),(50 181150.05),(51 184266.7),(52 185007.78),(53 184213.88),(54 187732.38),(55 191096.33),(56 190925.28),(57 190943.11),(58 193807.08),(59 194420.03),(60 192877.63),(61 191821.28),(62 193780.8),(63 193588.02),(64 190758.8),(65 188430.08),(66 192413.13),(67 196913.58),(68 196225.45),(69 195610.67),(70 195793.42),(71 193488.98),(72 191048.17),(73 189246.7),(74 188968.48),(75 192336.75),(76 194456.38),(77 192881.48),(78 194665.42),(79 198742.66),
(1 38943.945),(2 91913.02),(3 104931.16),(4 103771.66),(5 113419.12),(6 122504.734),(7 121845.625),(8 119783.8),(9 126167.484),(10 140076.7),(11 148854.22),(12 150096.03),(13 148849.7),(14 146840),(15 142431.52),(16 139929.28),(17 142872.13),(18 150226.47),(19 152513.78),(20 151070.7),(21 151589.97),(22 155429.84),(23 157786.72),(24 156685.14),(25 155158.83),(26 155978.45),(27 156671.28),(28 160031.03),(29 165375.97),(30 170852.53),(31 172295.61),(32 173270.61),(33 171526.02),(34 169081.75),(35 171956.5),(36 176394.58),(37 179238.08),(38 184357.5),(39 186040.72),(40 183108.88),(41 182092.19),(42 183360.36),(43 181311.75),(44 182367.36),(45 183330.27),(46 184352.47),(47 183655.1),(48 179282.3),(49 172441.3),(50 172222.34),(51 175515.39),(52 177749.34),(53 176012.47),(54 178688.63),(55 182986.66),(56 181740.06),(57 181098.2),(58 183195.64),(59 185897.34),(60 183795.94),(61 184106.67),(62 186387.39),(63 185755.77),(64 183230.45),(65 183495.56),(66 185221.23),(67 189665.53),(68 191137.19),(69 189768.14),(70 188191.45),(71 186834.6),(72 186273.3),(73 185844.3),(74 186191.9),(75 185750.9),(76 188543.75),(77 189526.28),(78 186158.13),(79 188599.23),
(1 37849.91),(2 87432.625),(3 100156.445),(4 99887.48),(5 110551.68),(6 118982.43),(7 121159.1),(8 120282.914),(9 127971.82),(10 139893.45),(11 148000.7),(12 150161.13),(13 150097.39),(14 149641.22),(15 146402.77),(16 143906.22),(17 145696.48),(18 149834.38),(19 150860.94),(20 150386.16),(21 147706.22),(22 151096.1),(23 153774.47),(24 149727.17),(25 147241.94),(26 149094.11),(27 149484.3),(28 150197.47),(29 155502.98),(30 160526.81),(31 164694.4),(32 165246.52),(33 164889.34),(34 164849.47),(35 164603.02),(36 164646.73),(37 166691.05),(38 171606.97),(39 172784.48),(40 170558.75),(41 169896.33),(42 170614.02),(43 171813.47),(44 174245.9),(45 176584.05),(46 177097.69),(47 176820.02),(48 173710.58),(49 170051.45),(50 169760.44),(51 174359.7),(52 176632.06),(53 179262.4),(54 181727.55),(55 183588.6),(56 181663.48),(57 181082.2),(58 184297.44),(59 182688),(60 181597.17),(61 182772.03),(62 186301.8),(63 184482.94),(64 181517.22),(65 181861.92),(66 184502.17),(67 188101.08),(68 189867.47),(69 190263.52),(70 189253.27),(71 187463.75),(72 187629.5),(73 188940.69),(74 190045.98),(75 191641.33),(76 191759.44),(77 191189.6),(78 191795.48),(79 192491.42),
