1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 8121.2466),(2 21311.377),(3 34689.92),(4 44694.926),(5 52187.094),(6 57681.035),(7 62865.992),(8 67111.88),(9 69863.68),(10 71857.88),(11 73106.35),(12 73850.33),(13 75190.8),(14 77772.78),(15 80630.68),(16 83318.28),(17 84445.75),(18 84825.87),(19 84900.5),(20 85691.125),(21 86943.55),(22 88140.766),(23 89117.28),(24 90323.34),(25 91180.57),(26 90941.28),(27 90650.22),(28 90861.29),(29 90768.266),(30 90092.54),(31 90074.66),(32 90245.195),(33 91066.91),(34 91898.37),(35 91874.9),(36 91475.555),(37 90273.99),(38 88886.53),(39 88555.055),(40 89101.65),(41 90204.24),(42 90998.78),(43 91685.76),(44 92311.125),(45 93249.69),(46 94609.195),(47 95190.88),(48 95325.7),(49 95065.51),(50 94401.97),(51 94039.234),(52 94408.38),(53 95021.5),(54 96099.59),(55 96633.95),(56 96854.38),(57 96831.734),(58 96158.766),(59 95690.695),(60 95700.83),(61 95917.72),(62 96328.41),(63 95964.53),(64 94095.04),(65 92796.57),(66 92754.61),(67 92416.945),(68 91786.445),(69 91086.06),(70 90265.06),(71 90619.53),(72 91467.33),(73 91828.84),(74 92983.6),(75 94033.625),(76 94627.84),(77 94860.42),(78 95161.11),(79 95207.05),
(1 8174.9854),(2 21641.771),(3 35714.66),(4 46087.14),(5 53157.676),(6 58741.324),(7 64021.63),(8 68643.46),(9 72172.84),(10 75446.27),(11 77526.36),(12 78854.19),(13 80649.03),(14 81873.99),(15 83302.82),(16 84758.695),(17 85209.35),(18 85163.13),(19 85165.336),(20 84784.73),(21 85191.336),(22 86068.78),(23 86807.56),(24 87778.66),(25 87645.02),(26 86833.42),(27 86323.85),(28 85686.4),(29 84941.63),(30 83760.62),(31 83276.39),(32 82661.3),(33 82296.56),(34 81858.9),(35 81042.484),(36 80691.92),(37 81120.4),(38 81747.87),(39 82453.01),(40 83352.58),(41 84514.44),(42 85668.836),(43 87914.664),(44 89756.32),(45 91722.59),(46 92832.96),(47 92491.67),(48 91835.836),(49 91146.55),(50 91623.086),(51 92822.56),(52 94570.945),(53 95655.29),(54 96399.59),(55 96230.25),(56 96303.99),(57 95049.55),(58 93414.04),(59 93022.96),(60 93145.12),(61 93118.57),(62 93921.13),(63 94125.62),(64 93068.88),(65 92123.32),(66 91978.51),(67 91668.54),(68 91681.48),(69 92019.17),(70 92535.45),(71 93099.31),(72 93934.984),(73 93907.41),(74 94308.41),(75 95447.74),(76 96093.625),(77 96245.195),(78 97159.016),(79 97883.56),
(1 8216.339),(2 21747.99),(3 35237.97),(4 44725.33),(5 51191.08),(6 56980.766),(7 63011.355),(8 67678.055),(9 71245.53),(10 73949.41),(11 75430.47),(12 76373.055),(13 77862.74),(14 78616.555),(15 79537.016),(16 79928.76),(17 79494.945),(18 79746.43),(19 80277.125),(20 81191.445),(21 82649.14),(22 84527.805),(23 85031.63),(24 85686.25),(25 85835.56),(26 85502.37),(27 84467.305),(28 83761.14),(29 83496.445),(30 83241.33),(31 83393.76),(32 83246.2),(33 83519.42),(34 84461.32),(35 84997.25),(36 85187.81),(37 85917.64),(38 86461.18),(39 87648.45),(40 89139.93),(41 90445.14),(42 91710.64),(43 93139.65),(44 93943.58),(45 94496.48),(46 95133.91),(47 95189.37),(48 95108.9),(49 95150.53),(50 95141.71),(51 95507.984),(52 96361.484),(53 96016.195),(54 95762.96),(55 95278.48),(56 94777.41),(57 94695.45),(58 94607.13),(59 95238.55),(60 96138.68),(61 96355.875),(62 96913.125),(63 97597.52),(64 98091.875),(65 98668.75),(66 99058.586),(67 99158.2),(68 99633.586),(69 100253.695),(70 99513.9),(71 98567.02),(72 97376.47),(73 96674.805),(74 96047.3),(75 95692.47),(76 94896.984),(77 94487.516),(78 94268.375),(79 95003.33),
(1 8098.4126),(2 20686.873),(3 33585.707),(4 43100.44),(5 48874.81),(6 53216.414),(7 57586.68),(8 61421.008),(9 64836.3),(10 68524.445),(11 71248.67),(12 73200.42),(13 75342.3),(14 76025.39),(15 77210.04),(16 78359.05),(17 78647.6),(18 79416.016),(19 80449.03),(20 80941.31),(21 81406.3),(22 81753.63),(23 82194.83),(24 83189.45),(25 84157.89),(26 84825.93),(27 85189.08),(28 85276.805),(29 84854.805),(30 84162),(31 84518.22),(32 85041.12),(33 85977.375),(34 87036.52),(35 87677.38),(36 87667.89),(37 88272.86),(38 88900.625),(39 89481.6),(40 89696.555),(41 89995.445),(42 90665.96),(43 91876.83),(44 92892.484),(45 93582.39),(46 94312.555),(47 94691.04),(48 94949.234),(49 94981.086),(50 94885.3),(51 94790.07),(52 94710.01),(53 93865.99),(54 92916.4),(55 91829.16),(56 91292.17),(57 91271.34),(58 90880.64),(59 90963.336),(60 91203),(61 91577.81),(62 92503.43),(63 93466.98),(64 94207.01),(65 95270.836),(66 96916.29),(67 97967.44),(68 98536.66),(69 99060.47),(70 98209.19),(71 97487.875),(72 96876.22),(73 96149.08),(74 95497.29),(75 94882.13),(76 94104.08),(77 93103.1),(78 92668.51),(79 92217.516),
(1 7764.353),(2 19821.662),(3 32766.162),(4 41944.89),(5 48048.93),(6 52339.082),(7 56116.902),(8 58986.38),(9 61838.75),(10 64885.76),(11 66752.91),(12 67871.586),(13 68823.984),(14 69511.57),(15 70282.555),(16 71116.234),(17 70854.37),(18 70410.3),(19 70421.336),(20 70507.484),(21 72021.78),(22 73778.805),(23 74965.38),(24 76528.48),(25 78269.75),(26 79169.75),(27 78991.37),(28 78490.19),(29 78378.31),(30 78588.1),(31 79282.77),(32 79909.61),(33 80008.68),(34 80194.93),(35 80629.13),(36 81035.68),(37 81756.76),(38 82417.89),(39 82833.17),(40 83433.19),(41 83992.164),(42 84530.27),(43 85561.15),(44 86339.266),(45 86976.87),(46 87018.695),(47 86872.22),(48 87181.05),(49 87839.305),(50 88519.71),(51 88715.54),(52 88705.56),(53 87730.69),(54 87247.57),(55 87162.016),(56 86883.19),(57 86576.03),(58 86169.13),(59 86152.836),(60 86176.39),(61 86003.984),(62 86497.92),(63 87526.734),(64 88083.9),(65 88745.516),(66 89750.13),(67 90662.984),(68 91371.14),(69 91739.016),(70 91370.75),(71 90939.98),(72 90294.516),(73 89267.54),(74 88127.125),(75 87908.055),(76 88126.91),(77 88458.14),(78 89218.45),(79 90044.56),
(1 7657.1987),(2 19565.063),(3 31398.441),(4 39321.234),(5 44835.3),(6 48994.02),(7 53347.984),(8 56611.223),(9 59335.574),(10 61430.445),(11 62790.754),(12 63719.953),(13 65417.234),(14 66693),(15 67569.3),(16 67485.055),(17 66297.945),(18 65410.254),(19 66423.03),(20 67687.39),(21 69952.44),(22 72273.305),(23 73812.19),(24 74724.945),(25 74853.086),(26 74816.836),(27 74285.53),(28 73735.14),(29 73538.805),(30 73343.28),(31 73450.11),(32 73566.64),(33 73982.1),(34 74245.72),(35 74427.19),(36 74475.47),(37 75137.72),(38 75293.29),(39 76143.62),(40 77250.29),(41 77987.48),(42 78907.04),(43 79383.7),(44 79566.53),(45 79761.16),(46 80009.93),(47 80467.85),(48 81116.9),(49 82221.05),(50 83048.19),(51 83718.46),(52 84324.914),(53 84582.04),(54 84954.484),(55 84549.14),(56 83791.66),(57 83208.7),(58 82519.46),(59 82839.63),(60 83739.44),(61 83960.48),(62 84637.42),(63 86046.63),(64 86250.53),(65 86569.45),(66 87045.38),(67 87368.43),(68 87617.18),(69 88277.445),(70 88289.555),(71 88495.63),(72 88038.516),(73 87144.8),(74 86319.97),(75 85770.58),(76 85399.875),(77 85519.76),(78 86404.07),(79 86505.88),
(1 7450.2524),(2 19459.145),(3 31737.69),(4 40495.47),(5 46763.97),(6 51010.617),(7 54357.445),(8 56677.15),(9 58729.53),(10 60910.29),(11 62200.98),(12 63062.21),(13 64008.29),(14 64961.53),(15 65227.164),(16 65366.105),(17 65163.6),(18 65997.6),(19 67773.16),(20 69068.48),(21 70538.07),(22 71035.99),(23 71033.32),(24 71144.086),(25 70884.54),(26 70417.62),(27 69659.95),(28 69273.99),(29 69470.8),(30 69527.75),(31 70548.46),(32 71140.26),(33 72042.336),(34 72470.64),(35 72234.086),(36 71597.9),(37 71411.61),(38 71504.37),(39 72236.7),(40 73421.22),(41 74466.56),(42 75238.54),(43 75551.13),(44 75513.41),(45 75246.445),(46 75419.164),(47 76160.27),(48 77004.14),(49 78563.77),(50 79528.86),(51 80324.16),(52 80817.01),(53 81217.06),(54 82085.56),(55 81914.54),(56 81666.46),(57 81304.34),(58 80669.1),(59 80250.5),(60 80820.77),(61 81445.17),(62 82525.83),(63 84011.57),(64 84316.14),(65 84648.336),(66 85106.45),(67 85430.67),(68 86016.66),(69 86462.54),(70 86237.21),(71 85442.13),(72 85006.05),(73 84426.195),(74 84031.83),(75 84277.31),(76 84408.01),(77 85098.82),(78 86466.48),(79 87234.78),
(1 7463.866),(2 19464.076),(3 31474.262),(4 40054.72),(5 46228.11),(6 51052.46),(7 55067.496),(8 57562.527),(9 59594.113),(10 61817.203),(11 63867.734),(12 65681.164),(13 67463.89),(14 68972.32),(15 69514.42),(16 69126.46),(17 68473.94),(18 68551.75),(19 69212.945),(20 70021.58),(21 71336.15),(22 72903.586),(23 74063.83),(24 74177.37),(25 73167.73),(26 71817.44),(27 71041.84),(28 71701.88),(29 72472.76),(30 73292.33),(31 74542.04),(32 75500.26),(33 75853.84),(34 75669.95),(35 75404.3),(36 75790.984),(37 76507.33),(38 76863.164),(39 77270.13),(40 77727.12),(41 78768.7),(42 79714.34),(43 81212.31),(44 81688.54),(45 82063.016),(46 82314.28),(47 83212.695),(48 84790.28),(49 86072.47),(50 86448.555),(51 86647.375),(52 86719.914),(53 87174.016),(54 87536.695),(55 86961.055),(56 86330.27),(57 86185.12),(58 85752.85),(59 86009.68),(60 86923.64),(61 87023.41),(62 86451.6),(63 86260.5),(64 85293.445),(65 84376.17),(66 83909.91),(67 83830.625),(68 84042.96),(69 84830.08),(70 85726.71),(71 85934.16),(72 85708.625),(73 84621.52),(74 83833.58),(75 83601.42),(76 83575.125),(77 84754.09),(78 86456.53),(79 87360.805),
(1 7323.313),(2 18905.07),(3 31099.35),(4 39416.06),(5 45132.06),(6 49630.324),(7 53884.668),(8 57202.484),(9 59793.74),(10 62281.08),(11 64014.668),(12 65580.82),(13 67276.38),(14 68713.44),(15 69957.93),(16 71052.62),(17 71269.39),(18 71646.01),(19 72630.66),(20 73666.99),(21 74802.92),(22 76032.77),(23 76500.47),(24 76230.53),(25 75961.38),(26 75351.38),(27 75028.32),(28 75311.766),(29 76034.82),(30 76762.78),(31 77757.09),(32 77987.28),(33 78400.625),(34 78502.89),(35 78260.13),(36 78702.414),(37 79241.7),(38 79795.59),(39 81128.18),(40 81719.55),(41 82046.38),(42 81874.8),(43 81344.46),(44 81038.016),(45 80924.05),(46 80864.01),(47 80921.34),(48 81080.41),(49 81477.22),(50 81376.62),(51 81535.625),(52 81934.71),(53 82416.65),(54 82393.055),(55 81439.34),(56 81327.83),(57 81802.37),(58 82310.62),(59 82890.04),(60 83189.17),(61 82923.26),(62 83089.46),(63 83035.89),(64 82451.82),(65 81998.3),(66 81513.336),(67 80872.46),(68 80674.11),(69 81216.53),(70 81422.04),(71 82299.59),(72 83231.38),(73 83767.83),(74 84133.28),(75 84541.12),(76 85161.66),(77 86326.34),(78 87369.58),(79 87403.945),
(1 7318.928),(2 18599.389),(3 30114.318),(4 38262.03),(5 43953.664),(6 47868.418),(7 51577.32),(8 54879.875),(9 57426.51),(10 59993.277),(11 60998.53),(12 61847.523),(13 63669.28),(14 65339.81),(15 66281.85),(16 66998.61),(17 66986.56),(18 67452.57),(19 68090.03),(20 68796.305),(21 69741.305),(22 69899.305),(23 69729.02),(24 69091.94),(25 68245.18),(26 67778.12),(27 67725.21),(28 68244.46),(29 69116.73),(30 69506.234),(31 70059.46),(32 70327.12),(33 70909.91),(34 71613.19),(35 72332.59),(36 73182.836),(37 73786.25),(38 74267.3),(39 75149.766),(40 75888.625),(41 76539.46),(42 76869.44),(43 77148.414),(44 77103.984),(45 77036.8),(46 77051.92),(47 77146.78),(48 77461.16),(49 77989.83),(50 77992.04),(51 78170.516),(52 78231.36),(53 78300.625),(54 78073.766),(55 76719.1),(56 75982.88),(57 76215.87),(58 76456.4),(59 77022.86),(60 77035.555),(61 76217.29),(62 75683.58),(63 75670.02),(64 75402.3),(65 75366.62),(66 75508.32),(67 75351.305),(68 75793.305),(69 76039.83),(70 75838.055),(71 75827.805),(72 76067.71),(73 76393.016),(74 76719.07),(75 77067.38),(76 76569.86),(77 76425.33),(78 76986.984),(79 77073.375),
(1 7452.529),(2 18603.084),(3 30702.059),(4 38749.223),(5 44344.848),(6 48566.81),(7 52281.11),(8 55185.215),(9 57230.85),(10 59212.69),(11 60468.01),(12 61338.258),(13 62761.574),(14 64798.137),(15 65886.44),(16 67033.5),(17 67325.84),(18 67747.68),(19 68635.35),(20 69412.63),(21 70379.46),(22 70602.86),(23 70227.5),(24 70275.805),(25 70102.87),(26 69387.72),(27 68384.26),(28 67597.28),(29 67291.88),(30 68028.95),(31 69340.43),(32 70231),(33 70489.33),(34 71100.63),(35 71858.06),(36 72787.86),(37 74222.82),(38 75113.58),(39 75545.88),(40 75815.68),(41 75897.35),(42 75675.61),(43 75770.11),(44 75782.81),(45 76042.555),(46 75968.195),(47 76631.35),(48 77344.79),(49 77681.03),(50 77400.04),(51 77226.83),(52 76819.97),(53 76205.39),(54 75846.79),(55 74830.13),(56 74092.29),(57 74062.41),(58 73200.72),(59 72921.87),(60 72776.28),(61 72186.09),(62 71988.97),(63 71985.414),(64 71588.32),(65 71742.67),(66 72392.35),(67 72923.23),(68 73318.414),(69 73811.22),(70 73734.42),(71 73694.91),(72 73945.42),(73 74067.98),(74 74778.87),(75 75975.42),(76 76496.195),(77 77370.305),(78 76992.91),(79 76825.52),
(1 6607.114),(2 16756.436),(3 27539.686),(4 34373.168),(5 39354.582),(6 43224.582),(7 46981.645),(8 49909),(9 52310.023),(10 54390.53),(11 55961.26),(12 57304.47),(13 59292.06),(14 60805.797),(15 61678.254),(16 62306.945),(17 62763.723),(18 64050.805),(19 66005.66),(20 66888.33),(21 67742.9),(22 68497.8),(23 68249.24),(24 68119.94),(25 67829.33),(26 67209.58),(27 66528.1),(28 65863.1),(29 65538.48),(30 65134.727),(31 65658.79),(32 65900.96),(33 66664.74),(34 67623.38),(35 68295.74),(36 69003.125),(37 69669.52),(38 70320.39),(39 71250.28),(40 71843.28),(41 71877.79),(42 71657.7),(43 71604.59),(44 71671.484),(45 71893.13),(46 71946.99),(47 72010.13),(48 71847.33),(49 72060.24),(50 72224.63),(51 72555.8),(52 72409.08),(53 72302.766),(54 72189.16),(55 71335.45),(56 70681.11),(57 70944.51),(58 70800.32),(59 70221.086),(60 69840.61),(61 69128.14),(62 69036.57),(63 69014.65),(64 68201.84),(65 67564.96),(66 67102.945),(67 66196.914),(68 65377.797),(69 65529.14),(70 65380.082),(71 65716.29),(72 66390.39),(73 66517.28),(74 67160.05),(75 68089.84),(76 68356.87),(77 68958.266),(78 69186.336),(79 68952.65),
(1 6893.3906),(2 17461.523),(3 28374.754),(4 35474.29),(5 40997.848),(6 45279.875),(7 48987.844),(8 50985.05),(9 52098.71),(10 52903.95),(11 53918.863),(12 55222.16),(13 57286.48),(14 59042.906),(15 60097.766),(16 60794.05),(17 61369.977),(18 62480.656),(19 64220.7),(20 65574.93),(21 66568.66),(22 66994.445),(23 66514.63),(24 66030.22),(25 65671.266),(26 65589.05),(27 65180.727),(28 64649.184),(29 64115.035),(30 63842.87),(31 64449.81),(32 64959.48),(33 65753.26),(34 66534.02),(35 66386.984),(36 66363.05),(37 66861.375),(38 67509.07),(39 68252.234),(40 68917.38),(41 68906.03),(42 68561.28),(43 68545.945),(44 68539.1),(45 68954.64),(46 69151.63),(47 69125.49),(48 69187.78),(49 69821.25),(50 70320.22),(51 70231.664),(52 69923.09),(53 70224.4),(54 70420.984),(55 69908.17),(56 69883.01),(57 70149.4),(58 69838.34),(59 69781.05),(60 69991.17),(61 69824.99),(62 69944.766),(63 69615.36),(64 68970.766),(65 68799.27),(66 69064.07),(67 69659.016),(68 69810.234),(69 69857.125),(70 69390.7),(71 68952.55),(72 68912.484),(73 68874.516),(74 68995.43),(75 68728.95),(76 68435.79),(77 68675.45),(78 69185.49),(79 68966.62),
(1 6545.7974),(2 16244.639),(3 26467.598),(4 33329.375),(5 38619.71),(6 43153.074),(7 47056.426),(8 50076.414),(9 52130.402),(10 53362.35),(11 54352.168),(12 55605.75),(13 57368.24),(14 58895.297),(15 59690.684),(16 59979.863),(17 59635.723),(18 60495.832),(19 61704.44),(20 62397.64),(21 62933.484),(22 63149.76),(23 62513.27),(24 61999.105),(25 61563.043),(26 61288.395),(27 61723.926),(28 62121.176),(29 62356.316),(30 63071.668),(31 64090.277),(32 64277.547),(33 64611.04),(34 64609.152),(35 64436.766),(36 64351.32),(37 64715.734),(38 65164.78),(39 66125.18),(40 67006.59),(41 67563.27),(42 68413.26),(43 69273.2),(44 69848.3),(45 70719.29),(46 71628.09),(47 72528.875),(48 73013.32),(49 73935.74),(50 74456.08),(51 74673.95),(52 74884.43),(53 74764.695),(54 75102.984),(55 74974.234),(56 74927.516),(57 75088.016),(58 74445.05),(59 73722.336),(60 73814.99),(61 73281.055),(62 73087.69),(63 73088.03),(64 72953.47),(65 72825.06),(66 73007.836),(67 73087.96),(68 72636.59),(69 72432.18),(70 72158.73),(71 72096.125),(72 72060.5),(73 72310.47),(74 72892.2),(75 73393.14),(76 73409.734),(77 73845.18),(78 74201.734),(79 73733.586),
(1 6460.3354),(2 16008.415),(3 26283.77),(4 32920.95),(5 37999.563),(6 42089.473),(7 45510.72),(8 48176.68),(9 49768.625),(10 50937.75),(11 51923.426),(12 53020.484),(13 54262.133),(14 55323.45),(15 55885.105),(16 56371.586),(17 56126.11),(18 56564.47),(19 57158.777),(20 57393.176),(21 58094.68),(22 58278.8),(23 57939.984),(24 57611.918),(25 57546.496),(26 57892.75),(27 58369.082),(28 59500.88),(29 60547.895),(30 61831.06),(31 63413.035),(32 64260.66),(33 64759.516),(34 64538.34),(35 63778.316),(36 63517.99),(37 63879.86),(38 64182.363),(39 64528.39),(40 65124.164),(41 65505.6),(42 65890.92),(43 66302.93),(44 67013.27),(45 67643.48),(46 68044.41),(47 68274.336),(48 69108.84),(49 70236.99),(50 70860.8),(51 71222.33),(52 71114.1),(53 70962.35),(54 71156.03),(55 71188.81),(56 71470.58),(57 72313.88),(58 72451.55),(59 72509.27),(60 72582.48),(61 72205.56),(62 72128.98),(63 71975.016),(64 71450.195),(65 71570.36),(66 71930.74),(67 71806.43),(68 71480.664),(69 71427.766),(70 70812.16),(71 70761.49),(72 71319.38),(73 71854.61),(74 72422.92),(75 73110.45),(76 73233.44),(77 73351.164),(78 73168.66),(79 72321.875),
(1 6413.0654),(2 15940.032),(3 25568.885),(4 32519.996),(5 37850.926),(6 41783.94),(7 45014.906),(8 47373.45),(9 49465.355),(10 51472.42),(11 53007.688),(12 54927.285),(13 56854.164),(14 58036.574),(15 58478.047),(16 58316.813),(17 57414.883),(18 57477.414),(19 57878.42),(20 58716.28),(21 59953.84),(22 60291.367),(23 59494.926),(24 59199.465),(25 59349.055),(26 59936.855),(27 59890.87),(28 59897.676),(29 59614.42),(30 60356.336),(31 61270.336),(32 61655.043),(33 61801.508),(34 61732.28),(35 61364.48),(36 61812.773),(37 62314),(38 62802.87),(39 63048.188),(40 62998.883),(41 63305.395),(42 63514.813),(43 63827.438),(44 64069.797),(45 64561.58),(46 64763.688),(47 64590.934),(48 64747.098),(49 65082.883),(50 65179.426),(51 65151.867),(52 64910.78),(53 64734.035),(54 65132.445),(55 65005.574),(56 64958.605),(57 65243.84),(58 65014.645),(59 65303.273),(60 65951.1),(61 65902.75),(62 66444.27),(63 67407.375),(64 67264.83),(65 67203.625),(66 67081.28),(67 66345.91),(68 65908.664),(69 65768.805),(70 65840.21),(71 66126.07),(72 66341.75),(73 66889.46),(74 67559.914),(75 67587.52),(76 67150.95),(77 66993.96),(78 66521.32),(79 66008.67),
(1 6338.8228),(2 15758.987),(3 25429.525),(4 31961.697),(5 36811.92),(6 40292.53),(7 43279.36),(8 45543.758),(9 47562.977),(10 49556.074),(11 50714.9),(12 51831.914),(13 52783.195),(14 52936.305),(15 52887.848),(16 52843.902),(17 53008.547),(18 54051.867),(19 55288.688),(20 55953.11),(21 56416.336),(22 56391.84),(23 56128.27),(24 56014.914),(25 56002.836),(26 56052.086),(27 56123.42),(28 56357.79),(29 56097.484),(30 56603.383),(31 57392.06),(32 57493.234),(33 57646.36),(34 57774.17),(35 58132.867),(36 58585.664),(37 59544.44),(38 59832.96),(39 60409.04),(40 60506.566),(41 60719.676),(42 60762.023),(43 61213.887),(44 61078.816),(45 60835.293),(46 60696.777),(47 60822.977),(48 60608.324),(49 60204.855),(50 59895.324),(51 60167.473),(52 60327.62),(53 60823.875),(54 61203.06),(55 61354.473),(56 61909.938),(57 63035.742),(58 63914.418),(59 65109.05),(60 65985.61),(61 66003.03),(62 66058.71),(63 66556.71),(64 66632.84),(65 67125.14),(66 67211.89),(67 67071.23),(68 67065.45),(69 67138.82),(70 66575.484),(71 67001.414),(72 67982.5),(73 68442.69),(74 68319.54),(75 68047.11),(76 67365.31),(77 66969.53),(78 66861.95),(79 66509.84),
(1 6553.4453),(2 16254.535),(3 26030.094),(4 32490.332),(5 37414.418),(6 40541.03),(7 43014.81),(8 44806.484),(9 46532.535),(10 47823.875),(11 49125.313),(12 50743.055),(13 52247.39),(14 52475.652),(15 52650.773),(16 52865.496),(17 53256.492),(18 54060.184),(19 55241.332),(20 55872.203),(21 56311.105),(22 56564.31),(23 56507.06),(24 56379.313),(25 57016.395),(26 57331.297),(27 57675.07),(28 58059.207),(29 58167.188),(30 58568.566),(31 59113.082),(32 58717.332),(33 58260.55),(34 58246.508),(35 58778.188),(36 59700.457),(37 60257.277),(38 60148.48),(39 60345.816),(40 60456.9),(41 60581.402),(42 60911.08),(43 60970.39),(44 60449.785),(45 59802.836),(46 59076.367),(47 58432.3),(48 58338.297),(49 58419.992),(50 58473.875),(51 59010.438),(52 59399.285),(53 60477.055),(54 61396.438),(55 62080.36),(56 63064.59),(57 64445.62),(58 65221.848),(59 66109.03),(60 66908.26),(61 66702.516),(62 66703.36),(63 67014.375),(64 66739.086),(65 66481.33),(66 66539.12),(67 66502.75),(68 67061.89),(69 67550.4),(70 67836.86),(71 68315.01),(72 68813.13),(73 68992.734),(74 68610.14),(75 68391.695),(76 68539.51),(77 68258.56),(78 68593.984),(79 68652.57),
