1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 2318.941),(2 4780.8975),(3 6954.2637),(4 8554.923),(5 9863.795),(6 10913.905),(7 11706.976),(8 12300.807),(9 12798.205),(10 13187.7),(11 13469.289),(12 13770.973),(13 14112.78),(14 14573.794),(15 14959.579),(16 15259.849),(17 15344.658),(18 15333.645),(19 15277.786),(20 15257.127),(21 15201.695),(22 15270.596),(23 15419.624),(24 15488.624),(25 15525.733),(26 15619.718),(27 15642.583),(28 15734.238),(29 15728.814),(30 15711.627),(31 15797.036),(32 15951.349),(33 16120.4375),(34 16250.749),(35 16265.623),(36 16230.289),(37 16150.344),(38 16169.032),(39 16260.093),(40 16267.774),(41 16191.804),(42 16118.483),(43 16080.15),(44 16051.853),(45 16193.636),(46 16350.671),(47 16499.594),(48 16670.564),(49 16844.164),(50 17008.803),(51 17141.555),(52 17081.309),(53 17004.87),(54 16906.105),(55 16841.54),(56 16709.64),(57 16649.479),(58 16692.24),(59 16735.215),(60 16768.723),(61 16681.68),(62 16674.512),(63 16771.37),(64 16771.857),(65 16753.57),(66 16784.82),(67 16639.643),(68 16554.002),(69 16498.441),(70 16524.521),(71 16440.813),(72 16577.986),(73 16650.434),(74 16824.604),(75 16917.936),(76 16909.172),(77 16968.701),(78 17134.678),(79 17132.121),
(1 2228.8188),(2 4543.784),(3 6568.402),(4 8260.856),(5 9519.148),(6 10544.904),(7 11194.8545),(8 11700.123),(9 12131.371),(10 12523.254),(11 12816.133),(12 13029.43),(13 13322.142),(14 13595.554),(15 13769.352),(16 13916.035),(17 14023.639),(18 14260.735),(19 14434.737),(20 14499.164),(21 14644.1),(22 14740.631),(23 14731.904),(24 14727.747),(25 14716.206),(26 14745.268),(27 14795.511),(28 14978.806),(29 15007.445),(30 15156.741),(31 15200.235),(32 15242.887),(33 15274.324),(34 15321.868),(35 15332.075),(36 15330.101),(37 15284.611),(38 15212.049),(39 15135.393),(40 15071.243),(41 15048.885),(42 15122.063),(43 15220.839),(44 15297.769),(45 15463.684),(46 15563.263),(47 15679.593),(48 15954.643),(49 16186.918),(50 16327.342),(51 16559.625),(52 16547.135),(53 16641.816),(54 16731.186),(55 16810.072),(56 16853.447),(57 16863.816),(58 16872.154),(59 16927.914),(60 17099.264),(61 17138.06),(62 17211.947),(63 17235.275),(64 17024.826),(65 17056.518),(66 17175.09),(67 17115.414),(68 17147.686),(69 17042.576),(70 16958.043),(71 16761.08),(72 16542.563),(73 16439.799),(74 16346.663),(75 16333.221),(76 16315.56),(77 16393.607),(78 16542.146),(79 16601.93),
(1 2127.0784),(2 4345.2456),(3 6273.937),(4 7843.6567),(5 9044.003),(6 10121.454),(7 10880.309),(8 11498.905),(9 12022.043),(10 12392.203),(11 12671.162),(12 12884.077),(13 13068.847),(14 13311.655),(15 13484.567),(16 13659.427),(17 13716.992),(18 13819.515),(19 13931.082),(20 14019.546),(21 14051.174),(22 14148.33),(23 14324.718),(24 14506.492),(25 14612.1),(26 14694.644),(27 14851.63),(28 14914.967),(29 14889.358),(30 14892.326),(31 14882.29),(32 14822.032),(33 14784.948),(34 14838.495),(35 14898.07),(36 14859.648),(37 14723.66),(38 14757.29),(39 14864.447),(40 14910.54),(41 15024.215),(42 15051.217),(43 15178.372),(44 15236.207),(45 15375.626),(46 15436.295),(47 15593.435),(48 15668.903),(49 15785.736),(50 15870.335),(51 16125.303),(52 16276.846),(53 16428.42),(54 16541.639),(55 16696.914),(56 16799.56),(57 16782.62),(58 16801.625),(59 16853.615),(60 16883.908),(61 16759.164),(62 16658.82),(63 16675.027),(64 16641.268),(65 16678.969),(66 16682.307),(67 16679.99),(68 16603.041),(69 16425.518),(70 16402.91),(71 16263.83),(72 16198.417),(73 16142.302),(74 16021.23),(75 16009.588),(76 15876.295),(77 15842.782),(78 16104.057),(79 16144.355),
(1 2151.4104),(2 4289.0464),(3 6102.499),(4 7484.82),(5 8615.358),(6 9542.49),(7 10299.218),(8 10887.038),(9 11342.978),(10 11748.189),(11 12069.032),(12 12298.923),(13 12561.164),(14 12761.008),(15 12941.604),(16 13007.919),(17 13135.097),(18 13227.16),(19 13256.325),(20 13404.813),(21 13635.743),(22 13719.352),(23 13705.998),(24 13797.095),(25 13924.419),(26 13991.735),(27 14140.245),(28 14264.088),(29 14329.695),(30 14361.79),(31 14408.121),(32 14346.924),(33 14338.658),(34 14335.52),(35 14238.122),(36 14379.205),(37 14338.796),(38 14402.367),(39 14409.413),(40 14376.59),(41 14366.471),(42 14403.009),(43 14465.437),(44 14570.982),(45 14714.206),(46 14812.119),(47 14875.617),(48 14916.905),(49 14931.416),(50 15019.563),(51 15133.695),(52 15260.971),(53 15326.871),(54 15561.538),(55 15708.673),(56 15848.71),(57 15883.078),(58 15949.367),(59 15882.597),(60 15905.212),(61 15908.269),(62 15883.422),(63 15897.476),(64 15812.606),(65 15688.554),(66 15621.966),(67 15552.999),(68 15423.196),(69 15287.264),(70 15224.881),(71 15147.223),(72 14972.051),(73 14861.989),(74 14809.675),(75 14881.673),(76 14859.361),(77 14752.087),(78 14959.514),(79 14989.313),
(1 2133.9502),(2 4309.031),(3 6169.9634),(4 7508.534),(5 8622.966),(6 9503.788),(7 10123.281),(8 10653.519),(9 10952.136),(10 11254.994),(11 11552.705),(12 11768.885),(13 11958.46),(14 12159.091),(15 12411.605),(16 12604.192),(17 12788.602),(18 12949.668),(19 12933.71),(20 12990.708),(21 13172.203),(22 13289.13),(23 13349.156),(24 13347.509),(25 13464.55),(26 13518.578),(27 13463.086),(28 13471.058),(29 13533.29),(30 13511.994),(31 13656.149),(32 13827.219),(33 13875.128),(34 13951.798),(35 14030.934),(36 14064.927),(37 13957.756),(38 14033.382),(39 14199.657),(40 14344.261),(41 14458.073),(42 14623.965),(43 14703.177),(44 14821.475),(45 14896.1),(46 14981.988),(47 14907.903),(48 14894.124),(49 14787.058),(50 14782.916),(51 14898.356),(52 15062.462),(53 15127.239),(54 15226.02),(55 15196.998),(56 15202.126),(57 15236),(58 15254.148),(59 15301.063),(60 15394.672),(61 15415.38),(62 15477.038),(63 15544.811),(64 15536.915),(65 15426.81),(66 15387.455),(67 15283.893),(68 15202.967),(69 15172.936),(70 15156.632),(71 15121.644),(72 15096.266),(73 15071.718),(74 15112.48),(75 15146.822),(76 15181.007),(77 15172.161),(78 15204.576),(79 15147.57),
(1 2080.0967),(2 4241.8267),(3 6041.6094),(4 7433.2676),(5 8433.381),(6 9267.182),(7 9845.032),(8 10317.494),(9 10659.932),(10 11045.578),(11 11347.607),(12 11673.356),(13 11952.438),(14 12163.198),(15 12380.945),(16 12530.919),(17 12720.563),(18 12893.504),(19 12983.269),(20 13034.057),(21 13170.036),(22 13254.709),(23 13203.602),(24 13192.446),(25 13114.667),(26 12968.455),(27 12904.987),(28 12894.131),(29 12898.746),(30 12992.6),(31 13085.513),(32 13240.425),(33 13467.074),(34 13571.097),(35 13604.571),(36 13667.302),(37 13520.113),(38 13591),(39 13670.629),(40 13678.604),(41 13659.633),(42 13764.227),(43 13858.092),(44 13913.407),(45 13959.827),(46 13964.55),(47 13983.302),(48 14037.374),(49 14029.413),(50 14093.925),(51 14226.476),(52 14272.809),(53 14329.397),(54 14498.779),(55 14552.267),(56 14587.935),(57 14626.816),(58 14617.537),(59 14560.591),(60 14530.114),(61 14517.969),(62 14592.937),(63 14590.78),(64 14585.011),(65 14596.264),(66 14684.616),(67 14770.741),(68 14738.051),(69 14716.577),(70 14717.654),(71 14783),(72 14865.324),(73 15006.214),(74 15021.101),(75 15081.503),(76 14983.937),(77 14938.501),(78 15022.708),(79 14908.961),
(1 2013.3815),(2 4020.5464),(3 5824.2554),(4 7208.5435),(5 8277.489),(6 9266.071),(7 9908.436),(8 10435.058),(9 10843.109),(10 11192.342),(11 11477.863),(12 11691.99),(13 11851.202),(14 11930.907),(15 12062.068),(16 12175.964),(17 12308.9375),(18 12476.136),(19 12603.814),(20 12749.544),(21 12893.345),(22 12945.417),(23 12934.843),(24 12965.634),(25 12951.39),(26 12792.956),(27 12644.14),(28 12472.352),(29 12477.893),(30 12541.076),(31 12569.979),(32 12641.448),(33 12779.534),(34 12973.671),(35 12966.074),(36 12988.534),(37 12940.087),(38 13059.042),(39 13235.201),(40 13240.711),(41 13219.232),(42 13314.356),(43 13320.181),(44 13301.064),(45 13270.807),(46 13145.137),(47 13043.218),(48 13037.244),(49 13109.144),(50 13109.784),(51 13166.613),(52 13192.143),(53 13258.443),(54 13426.104),(55 13517.242),(56 13613.762),(57 13678.098),(58 13630.258),(59 13590.271),(60 13608.806),(61 13631.038),(62 13641.726),(63 13678.543),(64 13551.617),(65 13558.284),(66 13519.07),(67 13496.106),(68 13437.03),(69 13412.719),(70 13453.534),(71 13466.503),(72 13575.563),(73 13647.248),(74 13785.377),(75 13909.15),(76 13946.815),(77 13941.201),(78 14058.769),(79 14015.476),
(1 2000.895),(2 4007.7046),(3 5794.9897),(4 7116.0356),(5 8130.676),(6 9053.675),(7 9762.657),(8 10297.213),(9 10583.015),(10 10896.501),(11 11078.473),(12 11217.321),(13 11306.428),(14 11369.565),(15 11515.345),(16 11553.546),(17 11641.143),(18 11747.184),(19 11694.253),(20 11675.564),(21 11751.4795),(22 11860.017),(23 11900.258),(24 12025.902),(25 12120.99),(26 12062.062),(27 12022.931),(28 12020.472),(29 11978.548),(30 12106.707),(31 12188.024),(32 12308.893),(33 12438.517),(34 12675.196),(35 12782.955),(36 12857.702),(37 12770.874),(38 12753.845),(39 12890.408),(40 12994.991),(41 13047.193),(42 13078.188),(43 13024.154),(44 13039.918),(45 13061.615),(46 13043.591),(47 12963.251),(48 12874.467),(49 12859.586),(50 12857.887),(51 12888.766),(52 12952.494),(53 12920.447),(54 13028.6875),(55 12986.124),(56 12981.443),(57 12991.575),(58 13094.254),(59 13110.3125),(60 13061.999),(61 12951.548),(62 12863.837),(63 12879.179),(64 12744.09),(65 12734.872),(66 12745.711),(67 12818.89),(68 12832.468),(69 12898.983),(70 12876.186),(71 12834.589),(72 12773.848),(73 12801.128),(74 12885.485),(75 13077.666),(76 12996.432),(77 13022.017),(78 13200.354),(79 13319.323),
(1 2008.523),(2 3932.9573),(3 5593.4634),(4 6845.7617),(5 7808.5146),(6 8601.265),(7 9138.357),(8 9627.794),(9 9951.194),(10 10252.147),(11 10474.119),(12 10662.206),(13 10860.623),(14 11016.874),(15 11260.876),(16 11362.781),(17 11580.628),(18 11684.163),(19 11744.053),(20 11701.312),(21 11729.821),(22 11891.824),(23 11926.751),(24 11895.883),(25 11941.3955),(26 11890.386),(27 11903.987),(28 11940.014),(29 11971.781),(30 12056.206),(31 12154.926),(32 12326.781),(33 12502.07),(34 12667.786),(35 12738.851),(36 12717.346),(37 12637.746),(38 12575.989),(39 12583.97),(40 12623.843),(41 12722.593),(42 12809.536),(43 12809.477),(44 12763.878),(45 12736.001),(46 12756.71),(47 12783.356),(48 12805.567),(49 12833.718),(50 12839.29),(51 13038.798),(52 13201.41),(53 13308.893),(54 13234.339),(55 13157.35),(56 13151.628),(57 13155.474),(58 13230.914),(59 13284.457),(60 13314.383),(61 13288.767),(62 13280.614),(63 13333.348),(64 13224.36),(65 13222.25),(66 13228.57),(67 13268.494),(68 13199.799),(69 13198.854),(70 13241.23),(71 13239.81),(72 13250.526),(73 13144.073),(74 13133.041),(75 13185.754),(76 13116.368),(77 13081.934),(78 13057.972),(79 13086.087),
(1 1937.1432),(2 3857.0366),(3 5390.319),(4 6620.587),(5 7648.867),(6 8525.04),(7 9084.156),(8 9540.774),(9 9878.044),(10 10125.589),(11 10298.494),(12 10428.795),(13 10574.06),(14 10665.082),(15 10793.071),(16 10844.98),(17 11044.398),(18 11296.5625),(19 11545.522),(20 11687.891),(21 11810.302),(22 12046.791),(23 12109.146),(24 12111.556),(25 12097.836),(26 11964.783),(27 11887.998),(28 11792.834),(29 11781.896),(30 11814.177),(31 11842.062),(32 11870.133),(33 11964.806),(34 12070.33),(35 12255.869),(36 12276.324),(37 12340.448),(38 12388.304),(39 12383.956),(40 12352.055),(41 12362.979),(42 12376.645),(43 12427.747),(44 12529.906),(45 12661.414),(46 12744.631),(47 12876.638),(48 12846.971),(49 12859.97),(50 12827.449),(51 12997.584),(52 13143.448),(53 13237.348),(54 13217.006),(55 13166.806),(56 13137.117),(57 13125.498),(58 13124.393),(59 13147.398),(60 13136.115),(61 13153.207),(62 13166.803),(63 13312.363),(64 13329.871),(65 13344.897),(66 13314.887),(67 13223.133),(68 13234.482),(69 13210.1),(70 13131.005),(71 13044.024),(72 12956.307),(73 12901.743),(74 12843.75),(75 12864.754),(76 12871.98),(77 12899.553),(78 12927.238),(79 12959.545),
(1 1901.5754),(2 3678.3362),(3 5180.5854),(4 6362.1484),(5 7242.1855),(6 8054.4175),(7 8594.8125),(8 8964.157),(9 9236.439),(10 9374.037),(11 9512.653),(12 9623.063),(13 9748.67),(14 9783.149),(15 9851.549),(16 9923.398),(17 10018.48),(18 10174.879),(19 10216.216),(20 10315.355),(21 10337.887),(22 10447.52),(23 10599.414),(24 10597.421),(25 10584.2295),(26 10564.495),(27 10537.576),(28 10433.143),(29 10440.0205),(30 10491.433),(31 10529.053),(32 10537.341),(33 10636.47),(34 10704.38),(35 10727.049),(36 10704.909),(37 10773.576),(38 10883.332),(39 10942.026),(40 10987.566),(41 11013.492),(42 11077.502),(43 11092.052),(44 11178.037),(45 11326.3545),(46 11428.209),(47 11573.94),(48 11531.848),(49 11481.08),(50 11392.843),(51 11504.539),(52 11534.616),(53 11586.549),(54 11615.42),(55 11644.324),(56 11758.812),(57 11809.352),(58 11821.189),(59 11814.982),(60 11793.55),(61 11781.389),(62 11782.782),(63 11949.05),(64 11971.038),(65 12025.323),(66 12040.652),(67 11986.023),(68 11944.112),(69 11843.707),(70 11799.53),(71 11801.964),(72 11773.821),(73 11761.123),(74 11751.584),(75 11766.837),(76 11806.222),(77 11882.155),(78 11881),(79 11911.751),
(1 1884.4799),(2 3613.8076),(3 5088.796),(4 6177.4087),(5 7016.138),(6 7751.397),(7 8344.512),(8 8737.48),(9 9059.905),(10 9247.633),(11 9437.005),(12 9587.408),(13 9670.557),(14 9805.188),(15 9826.57),(16 9830.273),(17 9895.287),(18 10083.146),(19 10193.571),(20 10264.552),(21 10382.029),(22 10497.544),(23 10579.286),(24 10590.359),(25 10534.641),(26 10516.609),(27 10592.808),(28 10606.527),(29 10599.823),(30 10626.565),(31 10578.724),(32 10506.121),(33 10541.653),(34 10529.613),(35 10569.057),(36 10591.653),(37 10618.563),(38 10639.077),(39 10780.904),(40 10837.351),(41 10834.639),(42 10861.102),(43 10884.513),(44 10947.242),(45 10985.446),(46 10961.906),(47 10899.824),(48 10757.422),(49 10693.069),(50 10729.258),(51 10862.449),(52 10809.143),(53 10753.279),(54 10731.323),(55 10785.573),(56 10788.404),(57 10881.078),(58 10853.58),(59 10917.707),(60 10934.108),(61 10937.072),(62 10931.797),(63 10983.497),(64 11060.986),(65 11061.146),(66 11262.189),(67 11325.83),(68 11383.602),(69 11380.648),(70 11357.95),(71 11367.296),(72 11255.288),(73 11243.255),(74 11186.67),(75 11251.814),(76 11234.449),(77 11256.358),(78 11344.434),(79 11344.362),
(1 1841.0175),(2 3491.3396),(3 4940.4507),(4 5983.488),(5 6836.549),(6 7606.059),(7 8178.218),(8 8577.693),(9 8874.548),(10 9030.452),(11 9212.712),(12 9298.698),(13 9386.383),(14 9492.089),(15 9589.923),(16 9573.39),(17 9570.116),(18 9666.238),(19 9700.744),(20 9737.081),(21 9808.771),(22 9912.537),(23 10072.446),(24 10197.461),(25 10232.887),(26 10327.182),(27 10422.512),(28 10427.167),(29 10463.1875),(30 10568.241),(31 10585.079),(32 10558.258),(33 10508.797),(34 10553.127),(35 10612.454),(36 10678.989),(37 10664.94),(38 10701.18),(39 10763.903),(40 10679.737),(41 10634.46),(42 10611.166),(43 10645.239),(44 10689.501),(45 10653.123),(46 10572.192),(47 10550.661),(48 10482.981),(49 10427.052),(50 10437.609),(51 10461.809),(52 10326.1455),(53 10299.578),(54 10343.061),(55 10348.312),(56 10392.322),(57 10428.439),(58 10433.744),(59 10431.937),(60 10413.574),(61 10406.933),(62 10475.472),(63 10566.604),(64 10572.801),(65 10619.728),(66 10710.839),(67 10795.592),(68 10758.382),(69 10678.273),(70 10645.521),(71 10667.829),(72 10572.766),(73 10547.919),(74 10460.108),(75 10522.083),(76 10443.1875),(77 10482.222),(78 10664.364),(79 10756.633),
(1 1772.577),(2 3370.589),(3 4720.588),(4 5708.9834),(5 6551.279),(6 7279.777),(7 7730.342),(8 8137.485),(9 8388.275),(10 8577.827),(11 8681.386),(12 8786.089),(13 8895.549),(14 8995.491),(15 9137.297),(16 9170.908),(17 9220.275),(18 9318.847),(19 9386.172),(20 9484.116),(21 9616.258),(22 9687.276),(23 9885.336),(24 9956.827),(25 9944.344),(26 10012.422),(27 10092.544),(28 10150.528),(29 10294.898),(30 10460.827),(31 10429.7705),(32 10446.268),(33 10386.858),(34 10332.428),(35 10296.392),(36 10253.2295),(37 10206.434),(38 10150.805),(39 10196.873),(40 10145.14),(41 10057.929),(42 10093.928),(43 10074.82),(44 10042.9),(45 9929.559),(46 9857.834),(47 9849.5),(48 9756.561),(49 9761.285),(50 9843.803),(51 9881.412),(52 9866.51),(53 9818.136),(54 9787.373),(55 9791.61),(56 9817.6455),(57 9895.049),(58 10001.581),(59 10016.901),(60 10064.684),(61 10103.85),(62 10220.936),(63 10320.52),(64 10385.637),(65 10454.7),(66 10520.915),(67 10574.608),(68 10577.083),(69 10567.247),(70 10515.122),(71 10512.827),(72 10525.983),(73 10566.384),(74 10526.184),(75 10526.397),(76 10484.266),(77 10524.166),(78 10664.111),(79 10736.165),
(1 1748.3591),(2 3303.6978),(3 4615.2754),(4 5612.267),(5 6397.931),(6 7114.405),(7 7539.4453),(8 7910.481),(9 8181.748),(10 8464.148),(11 8692.81),(12 8812.706),(13 8983.592),(14 9131.991),(15 9201.282),(16 9259.377),(17 9287.835),(18 9398.108),(19 9562.643),(20 9695.122),(21 9846.256),(22 9936.593),(23 9987.266),(24 10051.89),(25 10039.906),(26 10006.567),(27 10023.913),(28 10064.85),(29 10169.533),(30 10280.526),(31 10291.876),(32 10312.01),(33 10312.798),(34 10288.975),(35 10337.106),(36 10382.436),(37 10381.383),(38 10360.46),(39 10373.406),(40 10299.375),(41 10280.866),(42 10331.185),(43 10378.634),(44 10456.786),(45 10452.639),(46 10431.652),(47 10446.301),(48 10511.556),(49 10501.94),(50 10569.709),(51 10553.527),(52 10494.205),(53 10466.212),(54 10420.752),(55 10400.435),(56 10408.086),(57 10429.614),(58 10558.959),(59 10609.176),(60 10678.807),(61 10662.722),(62 10669.64),(63 10661.749),(64 10606.239),(65 10544.923),(66 10548.223),(67 10573.53),(68 10646.469),(69 10672.248),(70 10728.589),(71 10749.37),(72 10788.106),(73 10924.793),(74 10985.809),(75 10994.168),(76 11004.409),(77 11084.984),(78 11235.686),(79 11299.52),
(1 1695.0684),(2 3202.3496),(3 4492.914),(4 5469.3457),(5 6213.2188),(6 6824.06),(7 7191.87),(8 7532.0483),(9 7805.2017),(10 7942.5957),(11 8125.0986),(12 8193.217),(13 8329.4795),(14 8458.179),(15 8551.6455),(16 8586.064),(17 8694.992),(18 8886.112),(19 9053.214),(20 9149.299),(21 9206.4795),(22 9208.582),(23 9163.533),(24 9162.058),(25 9217.518),(26 9215.006),(27 9225.733),(28 9290.492),(29 9377.66),(30 9397.206),(31 9447.226),(32 9538.709),(33 9607.358),(34 9657.864),(35 9747.392),(36 9733.672),(37 9725.512),(38 9687.7),(39 9740.945),(40 9723.855),(41 9791.231),(42 9889.43),(43 9988.58),(44 10076.415),(45 10142.756),(46 10171.866),(47 10190.758),(48 10150.408),(49 10051.762),(50 10020.565),(51 10011.748),(52 10013.445),(53 9974.118),(54 9910.32),(55 9898.72),(56 9962.661),(57 10043.623),(58 10059.052),(59 10038.935),(60 10124.661),(61 10166.103),(62 10166.905),(63 10093.014),(64 9989.902),(65 9950.211),(66 9880.627),(67 9885.01),(68 9928.8125),(69 9915.709),(70 9854.217),(71 9847.836),(72 9853.363),(73 9858.495),(74 9866.992),(75 9964.325),(76 9964.606),(77 9996.752),(78 9999.743),(79 9972.634),
(1 1687.9948),(2 3152.5122),(3 4432.041),(4 5296.405),(5 5958.349),(6 6525.348),(7 6873.782),(8 7108.971),(9 7265.324),(10 7413.1836),(11 7545.846),(12 7647.312),(13 7788.2515),(14 7891.3545),(15 7987.2246),(16 8058.9644),(17 8148.7715),(18 8246.048),(19 8355.718),(20 8408.424),(21 8517.717),(22 8514.981),(23 8542.654),(24 8586.389),(25 8687.726),(26 8725.552),(27 8746.37),(28 8707.093),(29 8779.863),(30 8842.1),(31 8892.696),(32 9063.352),(33 9144.532),(34 9104.849),(35 9131.858),(36 9149.729),(37 9040.941),(38 9060.658),(39 9067.329),(40 9083.681),(41 9042.603),(42 9110.923),(43 9121.044),(44 9099.1),(45 9150.335),(46 9109.654),(47 9045.412),(48 8985.916),(49 8992.673),(50 9007.5),(51 9019.917),(52 9029.652),(53 9022.311),(54 9017.743),(55 9090.008),(56 9197.893),(57 9262.326),(58 9435.708),(59 9530.267),(60 9645.678),(61 9677.449),(62 9671.801),(63 9627.43),(64 9589.9),(65 9583.916),(66 9678.679),(67 9665.476),(68 9695.09),(69 9807.686),(70 9802.174),(71 9810.201),(72 9792.149),(73 9678.87),(74 9678.753),(75 9740.173),(76 9699.842),(77 9741.217),(78 9729.724),(79 9713.191),
(1 1653.6897),(2 3085.7937),(3 4303.004),(4 5188.9204),(5 5858.7954),(6 6412.155),(7 6794.21),(8 7061.966),(9 7237.367),(10 7385.232),(11 7507.0723),(12 7572.183),(13 7642.6265),(14 7719.1865),(15 7766.548),(16 7768.113),(17 7846.8784),(18 7950.9224),(19 8056.575),(20 8084.5117),(21 8178.953),(22 8319.9375),(23 8487.651),(24 8556.962),(25 8600.317),(26 8663.791),(27 8662.84),(28 8667.712),(29 8619.414),(30 8698.186),(31 8709.286),(32 8710.296),(33 8767.513),(34 8736.6875),(35 8742.732),(36 8746.485),(37 8653.773),(38 8632.984),(39 8620.867),(40 8631.341),(41 8597.574),(42 8664.67),(43 8671.847),(44 8659.007),(45 8662.809),(46 8667.912),(47 8635.977),(48 8643.748),(49 8663.873),(50 8681.026),(51 8712.507),(52 8720.44),(53 8707.694),(54 8765.745),(55 8790.047),(56 8865.723),(57 8985.4),(58 9053.011),(59 9114.687),(60 9165.386),(61 9195.825),(62 9211.018),(63 9265.855),(64 9271.168),(65 9294.496),(66 9349.074),(67 9362.82),(68 9289.421),(69 9264.368),(70 9225.127),(71 9187.433),(72 9179.923),(73 9156.06),(74 9150.966),(75 9137.647),(76 9076.475),(77 9097.473),(78 9211.169),(79 9227.358),
