1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 5961.311),(2 16857.693),(3 31795.281),(4 47788.06),(5 66183.29),(6 85849.875),(7 105640.15),(8 126123.35),(9 146261.88),(10 167213.63),(11 192444.23),(12 218201.08),(13 237527.73),(14 255165.89),(15 271576.34),(16 286466.97),(17 301259.16),(18 315892.13),(19 326739.9),(20 340322.25),(21 351651.9),(22 360513.25),(23 371968.16),(24 380161.88),(25 384526.84),(26 386650.78),(27 387796.78),(28 386648.38),(29 382989.97),(30 377595),(31 376205.53),(32 381216.6),(33 380668.6),(34 384886.47),(35 396625.16),(36 405586.4),(37 416415.38),(38 430795.34),(39 445734.38),(40 466112.9),(41 482324),(42 498180.84),(43 511705.88),(44 523742.16),(45 537091.3),(46 548712.7),(47 559648.56),(48 569105.8),(49 575333.8),(50 575568.06),(51 575823),(52 573615.06),(53 570043),(54 568396.06),(55 564777.4),(56 558027.44),(57 547184.06),(58 538374),(59 523885.4),(60 511006.25),(61 489646.6),(62 470769.84),(63 451655.9),(64 436048.88),(65 418766.1),(66 398706.4),(67 378224.4),(68 362539.9),(69 354766.34),(70 347954.16),(71 344025.03),(72 342975.66),(73 337462.38),(74 331885.16),(75 328141.9),(76 327870.63),(77 326140.3),(78 330261.6),(79 338120.9),
(1 5886.806),(2 16916.666),(3 32623.38),(4 49820.098),(5 69384.98),(6 89703.4),(7 111065.55),(8 134422.4),(9 157645.33),(10 180744.13),(11 206627.47),(12 232440.6),(13 254569.17),(14 276329.13),(15 301825.4),(16 329501.75),(17 356145.56),(18 389042),(19 415614.7),(20 438112),(21 458011.8),(22 476999.94),(23 502142.75),(24 521499.06),(25 538125.9),(26 548720.6),(27 559817.4),(28 571362.44),(29 580540.9),(30 586590.3),(31 596559.6),(32 610160.1),(33 615791.3),(34 623422.5),(35 633817.4),(36 642079.7),(37 649284.3),(38 661586.5),(39 673318.75),(40 684395.5),(41 692842.2),(42 699707),(43 705063.2),(44 703288.9),(45 701399.6),(46 698419.6),(47 695465.9),(48 693239.06),(49 686005.7),(50 673601.3),(51 667383.1),(52 658371.7),(53 653730.9),(54 647154.7),(55 643731.4),(56 639670.56),(57 631533.2),(58 625600.3),(59 618545.7),(60 607744.06),(61 590003.8),(62 578993.6),(63 571793.1),(64 566010.8),(65 559598.56),(66 552325.9),(67 544657.8),(68 543951.3),(69 547223.7),(70 552331.8),(71 558922.1),(72 564633.8),(73 568233.94),(74 569816.4),(75 577626),(76 586753.3),(77 594424),(78 607669.4),(79 627572.6),
(1 4652.4917),(2 13516.523),(3 25204.695),(4 36436.676),(5 46245.965),(6 57405.293),(7 69104.41),(8 82379.52),(9 96966.125),(10 113422),(11 130120.21),(12 144871.3),(13 157747.08),(14 173480.47),(15 192019.67),(16 210159.8),(17 231125.58),(18 256296.95),(19 275908.03),(20 289755.94),(21 305517.47),(22 324889.47),(23 346675.84),(24 363353.34),(25 378052.66),(26 391105.25),(27 407942.97),(28 427168),(29 442664.84),(30 457786.9),(31 479114.63),(32 502069.25),(33 522032.38),(34 541990.06),(35 564875.56),(36 586741.6),(37 605571.56),(38 626514.44),(39 644004.25),(40 659713.2),(41 673616.56),(42 686598.25),(43 697165.2),(44 699818),(45 704578.5),(46 708734.44),(47 711199.44),(48 716999.2),(49 720522.94),(50 720663.5),(51 724354.06),(52 723113.2),(53 723629.2),(54 727672),(55 734714.3),(56 738859.7),(57 736990.8),(58 736180.5),(59 739899),(60 739787.25),(61 744570),(62 754487.75),(63 770722.3),(64 787856.8),(65 807395),(66 828027.2),(67 851360.8),(68 879335.5),(69 909620.5),(70 940552),(71 980010.7),(72 1015867),(73 1054404.6),(74 1090454.9),(75 1126208.9),(76 1165645.9),(77 1208307.6),(78 1256853.1),(79 1300520.4),
(1 4752.126),(2 12861.239),(3 23499.664),(4 34370.36),(5 43901.582),(6 54830.805),(7 67879.71),(8 81610.36),(9 95124.336),(10 109604.7),(11 123546.914),(12 135731.5),(13 148336.73),(14 163186.8),(15 181660.56),(16 198913.52),(17 220349.28),(18 243851.44),(19 262141.28),(20 273549.28),(21 289327.56),(22 306760.22),(23 327104.44),(24 341434.7),(25 352404.75),(26 364080.34),(27 381576.22),(28 398454.44),(29 416504.84),(30 438374.88),(31 464597.63),(32 492923.34),(33 521088),(34 549159.8),(35 577814.25),(36 600316.8),(37 624175.7),(38 645353),(39 667146.94),(40 687432.4),(41 711370.25),(42 735798.44),(43 757429.75),(44 775672.25),(45 795585.7),(46 820684.56),(47 853372.44),(48 886898),(49 915456.8),(50 943451.3),(51 979237.56),(52 1005880.44),(53 1032780.44),(54 1067221.1),(55 1097379.6),(56 1121675.4),(57 1147763.4),(58 1176676.9),(59 1207385.5),(60 1239669.8),(61 1278695.6),(62 1316822.5),(63 1352512.5),(64 1391541.8),(65 1427834.3),(66 1470496.9),(67 1511977.8),(68 1555632),(69 1603579.5),(70 1652098.5),(71 1711149.1),(72 1763897.4),(73 1814583.8),(74 1873385.4),(75 1926060),(76 1987973.8),(77 2047384.9),(78 2107199),(79 2162187),
(1 4373.092),(2 12193.769),(3 22271.836),(4 32440.693),(5 42087.445),(6 52912.547),(7 65426.17),(8 77521.26),(9 89213.93),(10 101091.38),(11 112540.35),(12 123432.55),(13 134941.1),(14 147296.5),(15 160775.06),(16 173768.98),(17 187749.9),(18 203697.6),(19 216537.14),(20 225940.36),(21 237174.23),(22 248665.66),(23 261760.48),(24 273747.22),(25 283974.56),(26 294936.72),(27 306932.44),(28 318181.5),(29 330232.84),(30 345448.72),(31 361975.28),(32 380393.2),(33 398459.6),(34 418175.13),(35 437354.03),(36 455242.47),(37 476433.4),(38 496073.78),(39 517569.63),(40 537278.56),(41 560203.6),(42 584266.7),(43 609902.44),(44 634371.3),(45 656914.8),(46 678125),(47 707398.06),(48 735657.6),(49 762517),(50 790674.75),(51 821408),(52 842945.06),(53 859777.25),(54 880308.25),(55 896616),(56 910556.75),(57 921869.25),(58 931346.8),(59 944493.44),(60 956133.06),(61 969092.4),(62 981413),(63 993399),(64 1007641.44),(65 1018642.56),(66 1028570.2),(67 1039069.25),(68 1053310.4),(69 1070588.5),(70 1093986.4),(71 1117947.6),(72 1139358),(73 1159689.1),(74 1185746.6),(75 1216266.8),(76 1255242.1),(77 1297726.1),(78 1348767.9),(79 1405542.4),
(1 4352.5864),(2 13192.373),(3 24912.078),(4 38007.406),(5 52038.074),(6 68370.52),(7 86770.04),(8 105213.125),(9 123646.9),(10 143590.4),(11 163905.34),(12 182662.8),(13 201495.78),(14 219890.84),(15 237436.08),(16 254555.84),(17 271720.03),(18 290331.5),(19 308175.16),(20 324870.8),(21 338987.2),(22 353203.56),(23 366540.75),(24 381271.72),(25 397627.5),(26 413486.7),(27 428930.1),(28 444190.2),(29 457251.8),(30 469652.94),(31 479505.6),(32 490783),(33 501470.94),(34 512821.5),(35 527284.6),(36 540370.9),(37 556529.2),(38 572445.1),(39 589872.6),(40 606786.2),(41 623020.4),(42 640179.6),(43 657163.56),(44 674762.75),(45 690242.1),(46 699863.3),(47 716187.6),(48 734156.1),(49 748991.06),(50 763907.8),(51 777875.9),(52 789280.6),(53 798436.94),(54 808138.1),(55 815966.4),(56 821824.8),(57 826093.7),(58 828266.9),(59 829088.56),(60 828235.1),(61 823172.6),(62 819578.6),(63 814527.06),(64 809670.2),(65 802838.9),(66 796043.9),(67 793009.1),(68 792789.56),(69 793550.3),(70 798823.56),(71 802581.1),(72 808224.1),(73 812756.2),(74 822819.4),(75 833746.6),(76 847747.5),(77 870216),(78 902662.2),(79 935082.1),
(1 4409.8096),(2 12170.63),(3 22422.467),(4 33233.07),(5 46332.23),(6 61845.797),(7 80425.01),(8 99444.43),(9 119648.766),(10 143124.81),(11 167785.58),(12 190741),(13 217631.25),(14 247686.28),(15 275641.84),(16 303862.9),(17 331478.28),(18 359450.84),(19 388883.16),(20 418497.38),(21 445185.03),(22 470177.63),(23 492363.66),(24 513750.44),(25 534479.75),(26 554869.4),(27 574938.56),(28 594282.1),(29 609621.25),(30 620293.06),(31 628893.75),(32 637321.75),(33 642149.25),(34 646384.06),(35 647047.3),(36 645187.44),(37 643430.8),(38 640364.4),(39 638734.25),(40 637755.3),(41 635585.25),(42 637161.3),(43 640374.25),(44 648774.75),(45 655121.7),(46 664208.3),(47 678713.94),(48 695281.6),(49 713926.75),(50 732465.25),(51 746638.44),(52 759260),(53 773346.94),(54 792943.9),(55 812315.94),(56 830343.75),(57 846801.6),(58 865001.6),(59 878936.44),(60 892013.7),(61 902891.1),(62 910292.1),(63 917404.75),(64 926002.75),(65 930141.6),(66 935621.4),(67 941249.6),(68 947864.56),(69 957444.25),(70 967382.4),(71 976158.9),(72 985594.25),(73 993455.56),(74 1007085.7),(75 1018151),(76 1031049.06),(77 1048413.9),(78 1064352.9),(79 1078401.5),
(1 4146.975),(2 11421.132),(3 21823.844),(4 32144),(5 42088.355),(6 53882.85),(7 67983.7),(8 83836),(9 102217),(10 120927.79),(11 141345.98),(12 162215.27),(13 185459.86),(14 209256.02),(15 233195.72),(16 260669.89),(17 288992.2),(18 318917.38),(19 342855.78),(20 367238.53),(21 392592.22),(22 417001.94),(23 441797.94),(24 466373.53),(25 489376.53),(26 513512.22),(27 535881.8),(28 551494.25),(29 568654.3),(30 581505.56),(31 596588.4),(32 608187.3),(33 619580.1),(34 627283.75),(35 630888.44),(36 634456.4),(37 635860.25),(38 633380.4),(39 629876.75),(40 626270),(41 624794.2),(42 622695.56),(43 619208.6),(44 617623),(45 614478.9),(46 614294.56),(47 614909.8),(48 615580.8),(49 619665.9),(50 624225.9),(51 630754),(52 635399.06),(53 641910.3),(54 649638.56),(55 657906.3),(56 666369.44),(57 676529.3),(58 684495.8),(59 691057.56),(60 698752.6),(61 704726.7),(62 707886.3),(63 710958),(64 718383.3),(65 725189.56),(66 731884.1),(67 743141.56),(68 755975.56),(69 767559.7),(70 777338.2),(71 786626.75),(72 796422.1),(73 808393.4),(74 821450.44),(75 833088.25),(76 846805.2),(77 861221.8),(78 874153.8),(79 886008.6),
(1 4563.6914),(2 13063.9795),(3 24232.783),(4 35703.676),(5 47251.344),(6 60880.277),(7 76739.28),(8 93889.734),(9 112217.85),(10 131549.84),(11 152173.77),(12 173842.23),(13 197042.3),(14 221636.83),(15 246941.8),(16 276261.5),(17 306720.34),(18 339181),(19 368603.1),(20 397827.53),(21 426048.4),(22 454020.25),(23 481596.22),(24 505905.94),(25 527734.1),(26 552158.25),(27 576428.8),(28 600920.5),(29 623278.8),(30 647015.3),(31 672138.3),(32 698607.94),(33 724052.7),(34 745809.56),(35 764644.56),(36 786052),(37 804802),(38 823669.06),(39 842565.25),(40 858901.44),(41 875241.3),(42 892817.2),(43 907230.7),(44 922690.7),(45 940033.9),(46 960008.3),(47 981165.1),(48 1000876.1),(49 1019103.3),(50 1038820.1),(51 1061585.6),(52 1077793.1),(53 1099091),(54 1112371.8),(55 1127178.6),(56 1144751.4),(57 1159627),(58 1172421.9),(59 1185123.4),(60 1201117.1),(61 1213544.3),(62 1222200.3),(63 1229349),(64 1243488.4),(65 1256707.5),(66 1271118.4),(67 1289965.8),(68 1306132.8),(69 1326098.9),(70 1342170.3),(71 1358464.4),(72 1372371.3),(73 1391043.1),(74 1410094),(75 1432089.5),(76 1451696),(77 1468563.5),(78 1484828.5),(79 1503842.9),
(1 4804.028),(2 13780.281),(3 26383.684),(4 39811.23),(5 52726.71),(6 68363.57),(7 86177.09),(8 107372.664),(9 129845.75),(10 152228.97),(11 176230.31),(12 200959.94),(13 226790.56),(14 254537.36),(15 282072.94),(16 309036.38),(17 339310.2),(18 370958.13),(19 399001.88),(20 422950.5),(21 448544.38),(22 473308.5),(23 497362.84),(24 516573.88),(25 533283.25),(26 549431.44),(27 567346.25),(28 586436.8),(29 603626.7),(30 622752.3),(31 639900.7),(32 656754.5),(33 676733.56),(34 694992.9),(35 710397.75),(36 727500.75),(37 746369.56),(38 764265.44),(39 779969.56),(40 794097.25),(41 809214.1),(42 826904.75),(43 846154.25),(44 867057.56),(45 895139.44),(46 920602.9),(47 951875.44),(48 985706.44),(49 1015380.56),(50 1043478.9),(51 1073969.9),(52 1103554.5),(53 1132008.6),(54 1154100.5),(55 1173444.4),(56 1192893.9),(57 1210063.5),(58 1223434.3),(59 1237010.5),(60 1249886.6),(61 1264696.4),(62 1276307.8),(63 1292565.6),(64 1302517.3),(65 1312344.9),(66 1321981.5),(67 1333586),(68 1343532.5),(69 1350585.8),(70 1356506.9),(71 1361328.3),(72 1365730.3),(73 1370495.1),(74 1374972.8),(75 1379167.4),(76 1382711.8),(77 1384830.1),(78 1390781.1),(79 1399413),
(1 4179.056),(2 11794.68),(3 23226.328),(4 35065.367),(5 46917.332),(6 61663.2),(7 78561.63),(8 97589),(9 118049.34),(10 139296.88),(11 159917.4),(12 180372.63),(13 202179.67),(14 224373.97),(15 247907.17),(16 271498.8),(17 296171.9),(18 323410.97),(19 347897.75),(20 371051.9),(21 395511.1),(22 420457.25),(23 442127.8),(24 462732.84),(25 480849.25),(26 500058.94),(27 518682.88),(28 535279.5),(29 550784.56),(30 567607.06),(31 582514.1),(32 597825.7),(33 614355.6),(34 628926.4),(35 643917.9),(36 657901.44),(37 674459.4),(38 691074.75),(39 704945.94),(40 719190.6),(41 731339.75),(42 746333.7),(43 761104.56),(44 777291.9),(45 797939.44),(46 814414.7),(47 836467.44),(48 858098),(49 881291),(50 903971.44),(51 924753.7),(52 945629.56),(53 963120.7),(54 981475.9),(55 999885.6),(56 1015466.56),(57 1029942.1),(58 1041203.3),(59 1049692.3),(60 1059341.9),(61 1072603.1),(62 1082853.9),(63 1095785.6),(64 1099334.3),(65 1103624.9),(66 1105962.8),(67 1106297),(68 1103527.4),(69 1094920.3),(70 1088923.3),(71 1081955.3),(72 1078155.4),(73 1073159.5),(74 1066510.1),(75 1060114.5),(76 1057939),(77 1053893.1),(78 1055019),(79 1056890.6),
