1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 162898.16),(2 579186.4),(3 1244474.6),(4 2088664.1),(5 3137130.3),(6 4331427),(7 5693337.5),(8 7227796),(9 8806241),(10 10553437),(11 12464491),(12 14439635),(13 16562720),(14 18747754),(15 21054668),(16 23445864),(17 25987162),(18 28563954),(19 31184326),(20 33867360),(21 36689344),(22 39641636),(23 42746804),(24 45904372),(25 49105372),(26 52270640),(27 55640844),(28 58980290),(29 62401972),(30 65938676),(31 69633384),(32 73257510),(33 77065410),(34 80542570),(35 84261020),(36 87863720),(37 91729190),(38 95492904),(39 99449130),(40 103633496),(41 108032024),(42 112656150),(43 117465920),(44 122170720),(45 126805130),(46 131350660),(47 135907150),(48 140565360),(49 144701950),(50 148676000),(51 152800590),(52 156775060),(53 161107280),(54 165147140),(55 169472580),(56 173774980),(57 178228850),(58 182738690),(59 187589300),(60 192224210),(61 197296750),(62 202533500),(63 207940740),(64 212272300),(65 217339860),(66 222084740),(67 226933840),(68 231602110),(69 236277120),(70 240844180),(71 245637650),(72 250307650),(73 255028980),(74 259215020),(75 263425740),(76 267081520),(77 271387970),(78 275355620),(79 279307520),
(1 248744.45),(2 944051.6),(3 2073108),(4 3534378.5),(5 5358881.5),(6 7469074.5),(7 9902590),(8 12692093),(9 15717878),(10 19048252),(11 22774508),(12 26831188),(13 31154842),(14 35750024),(15 40565220),(16 45660440),(17 50855412),(18 56320056),(19 61847372),(20 67630090),(21 73479080),(22 79562240),(23 85763820),(24 91905240),(25 97996850),(26 103991470),(27 110145740),(28 116229070),(29 122339840),(30 128497490),(31 134556980),(32 140398800),(33 146040580),(34 151078770),(35 155938460),(36 160600200),(37 164862130),(38 168744220),(39 172271000),(40 175698780),(41 178981970),(42 182080050),(43 184899680),(44 187477120),(45 189672600),(46 191641570),(47 193410770),(48 195115220),(49 196438300),(50 197578800),(51 198449500),(52 199091740),(53 199761730),(54 200404640),(55 201343710),(56 202478720),(57 204080430),(58 205779920),(59 207867820),(60 210039570),(61 212428450),(62 214724320),(63 217171660),(64 219201020),(65 221314990),(66 223634080),(67 226166500),(68 228650660),(69 231271580),(70 233903740),(71 236690260),(72 239575650),(73 242486020),(74 245154530),(75 247798860),(76 249886600),(77 252036660),(78 254299440),(79 256440400),
(1 294113.44),(2 1124701.1),(3 2473596.8),(4 4259275.5),(5 6525560.5),(6 9185053),(7 12272949),(8 15735301),(9 19491024),(10 23532202),(11 27910262),(12 32558502),(13 37405470),(14 42502560),(15 47740364),(16 53228720),(17 58718164),(18 64421972),(19 70235976),(20 76170456),(21 82135740),(22 88139320),(23 94111870),(24 99902936),(25 105801120),(26 111656030),(27 117571460),(28 123476184),(29 129213820),(30 134983470),(31 140438480),(32 145630770),(33 150411420),(34 154276530),(35 157710740),(36 160753570),(37 163438130),(38 165668140),(39 167533800),(40 169130560),(41 170578130),(42 172205550),(43 173800270),(44 175296750),(45 176732420),(46 177633740),(47 177951180),(48 177736060),(49 176808540),(50 175738770),(51 174237180),(52 172310960),(53 170514670),(54 168459580),(55 166576780),(56 164871070),(57 163147260),(58 161251280),(59 159554450),(60 157523260),(61 155574130),(62 153620750),(63 151553400),(64 149026640),(65 146601920),(66 144121400),(67 141708340),(68 139321710),(69 137132480),(70 135144820),(71 133252696),(72 131498040),(73 129869470),(74 128285600),(75 126863110),(76 125430120),(77 124195780),(78 123223496),(79 122285210),
(1 299085.16),(2 1159631.5),(3 2551900),(4 4433058),(5 6761694),(6 9448831),(7 12506908),(8 15938873),(9 19625082),(10 23580646),(11 27793616),(12 32117468),(13 36598216),(14 41084588),(15 45499564),(16 49987652),(17 54472596),(18 58850330),(19 63160292),(20 67316640),(21 71219660),(22 74872440),(23 78268640),(24 81303260),(25 84177280),(26 86864470),(27 89422744),(28 91800280),(29 93985976),(30 96267800),(31 98438260),(32 100393270),(33 102045330),(34 103368104),(35 104736720),(36 106009240),(37 107318104),(38 108559870),(39 109839140),(40 111248380),(41 112829750),(42 114734730),(43 116676550),(44 118509336),(45 120251190),(46 121757610),(47 122788184),(48 123524990),(49 123819740),(50 123869400),(51 123663780),(52 123230850),(53 122695080),(54 122012130),(55 121290100),(56 120376630),(57 119169750),(58 117756120),(59 116048940),(60 113999360),(61 111982500),(62 109807200),(63 107504440),(64 104944710),(65 102468060),(66 100071810),(67 97879150),(68 95890140),(69 94080620),(70 92438190),(71 90899944),(72 89511940),(73 88256230),(74 87227784),(75 86424540),(76 85667340),(77 85163180),(78 84978690),(79 84916536),
(1 221943.48),(2 847013.06),(3 1823916.9),(4 3084765),(5 4599532.5),(6 6245004.5),(7 8064335.5),(8 10031511),(9 12081004),(10 14283399),(11 16563968),(12 18898822),(13 21238734),(14 23543358),(15 25748026),(16 27877922),(17 29947694),(18 31965534),(19 33924110),(20 35758096),(21 37411252),(22 38850360),(23 40008210),(24 40885160),(25 41619940),(26 42218320),(27 42677820),(28 42987176),(29 43246492),(30 43618852),(31 43923164),(32 44105396),(33 44182690),(34 44160244),(35 44105624),(36 44052644),(37 44151320),(38 44344510),(39 44720764),(40 45236476),(41 45888804),(42 46643240),(43 47455264),(44 48276650),(45 49117264),(46 49978548),(47 50758924),(48 51494830),(49 52060220),(50 52497220),(51 52820444),(52 53008380),(53 53161572),(54 53392036),(55 53643930),(56 53899736),(57 54212644),(58 54572572),(59 54877708),(60 55105596),(61 55390384),(62 55694092),(63 56002428),(64 56132620),(65 56407510),(66 56740656),(67 57221604),(68 57749516),(69 58239044),(70 58871228),(71 59722624),(72 60709068),(73 61785704),(74 62846196),(75 63992900),(76 65095332),(77 66166990),(78 67279650),(79 68308710),
(1 238225.28),(2 892273.1),(3 1921085.6),(4 3275918.5),(5 4947626),(6 6884836),(7 9046626),(8 11509334),(9 14136933),(10 16993242),(11 20069312),(12 23202310),(13 26466486),(14 29817914),(15 33008864),(16 36295256),(17 39514490),(18 42751916),(19 45841388),(20 48775176),(21 51497236),(22 53854836),(23 56136330),(24 58262668),(25 60321990),(26 62326910),(27 64341416),(28 66177950),(29 67820630),(30 69406984),(31 70676504),(32 71682910),(33 72457990),(34 73017304),(35 73490344),(36 74042040),(37 74615250),(38 75238150),(39 75922940),(40 76713280),(41 77595200),(42 78469710),(43 79344270),(44 80207450),(45 81022700),(46 81886000),(47 82758870),(48 83519860),(49 84260696),(50 85067144),(51 85789850),(52 86638180),(53 87556264),(54 88563020),(55 89641200),(56 90638250),(57 91657520),(58 92702200),(59 93627670),(60 94393680),(61 95008940),(62 95633384),(63 96242750),(64 96695020),(65 97102660),(66 97423340),(67 97541010),(68 97448460),(69 97361690),(70 97224136),(71 97156430),(72 97052960),(73 96871380),(74 96480424),(75 96060530),(76 95361420),(77 94462670),(78 93307310),(79 92077160),
(1 207402.64),(2 786934.94),(3 1711344),(4 2935644.3),(5 4446955.5),(6 6190656),(7 8131410.5),(8 10283030),(9 12557093),(10 14932719),(11 17402260),(12 19823364),(13 22349430),(14 24905164),(15 27443360),(16 30084526),(17 32685886),(18 35156548),(19 37465456),(20 39598292),(21 41555770),(22 43304996),(23 44982890),(24 46447228),(25 47807596),(26 49050950),(27 50275940),(28 51502420),(29 52725616),(30 53944136),(31 55152310),(32 56311450),(33 57458900),(34 58532464),(35 59677160),(36 60703216),(37 61587244),(38 62440696),(39 63232384),(40 64087550),(41 64864216),(42 65731960),(43 66646336),(44 67646880),(45 68678536),(46 69825120),(47 71080690),(48 72311220),(49 73641950),(50 75053070),(51 76371310),(52 77718200),(53 79020024),(54 80366130),(55 81718900),(56 82869540),(57 83748910),(58 84490700),(59 84986680),(60 85389704),(61 85587080),(62 85734950),(63 85703820),(64 85431920),(65 85070300),(66 84480590),(67 83682910),(68 82675290),(69 81539990),(70 80292530),(71 79041300),(72 77713250),(73 76448440),(74 75194630),(75 74025704),(76 72688930),(77 71395070),(78 69998530),(79 68773620),
(1 257157.33),(2 974028.3),(3 2104984.8),(4 3578925),(5 5364958.5),(6 7359506.5),(7 9516418),(8 11837506),(9 14143258),(10 16418383),(11 18616484),(12 20694806),(13 22718290),(14 24639606),(15 26446196),(16 28270836),(17 30066086),(18 31800774),(19 33348030),(20 34807736),(21 36217916),(22 37558628),(23 38978148),(24 40419600),(25 41897180),(26 43365784),(27 44871788),(28 46434810),(29 47974920),(30 49579516),(31 51141124),(32 52634904),(33 54037870),(34 55382600),(35 56572290),(36 57575110),(37 58418904),(38 59109490),(39 59537356),(40 59996844),(41 60492676),(42 61109616),(43 61739336),(44 62363536),(45 62856840),(46 63306730),(47 63627770),(48 63810170),(49 63839060),(50 63888240),(51 63833390),(52 63733268),(53 63480344),(54 63131384),(55 62639190),(56 61900212),(57 60971776),(58 59933310),(59 58733940),(60 57505340),(61 56151252),(62 54736776),(63 53186440),(64 51465236),(65 49744624),(66 48018670),(67 46427256),(68 44952116),(69 43687704),(70 42625412),(71 41706110),(72 40883900),(73 40191864),(74 39626996),(75 39160016),(76 38745624),(77 38533224),(78 38367948),(79 38271276),
(1 230566.88),(2 875587.06),(3 1867475),(4 3124513.5),(5 4592910),(6 6209117.5),(7 7902799),(8 9695042),(9 11493151),(10 13303268),(11 15055943),(12 16695104),(13 18346362),(14 19920114),(15 21328144),(16 22644506),(17 23881442),(18 24962288),(19 25858098),(20 26609208),(21 27216698),(22 27715096),(23 28129528),(24 28542088),(25 29004502),(26 29518972),(27 30057472),(28 30650406),(29 31220886),(30 31771346),(31 32201574),(32 32558576),(33 32772958),(34 32899216),(35 32950678),(36 32902156),(37 32725552),(38 32479608),(39 32184942),(40 31867798),(41 31585864),(42 31388216),(43 31259922),(44 31104528),(45 30961446),(46 30773228),(47 30541968),(48 30280796),(49 29912306),(50 29513668),(51 29050474),(52 28506474),(53 27915450),(54 27285240),(55 26645112),(56 26020256),(57 25386148),(58 24834402),(59 24341038),(60 23853068),(61 23419312),(62 22991048),(63 22518320),(64 22077330),(65 21682812),(66 21378012),(67 21179434),(68 21066634),(69 21092176),(70 21248128),(71 21540976),(72 21933148),(73 22372974),(74 22886672),(75 23396676),(76 23889732),(77 24428884),(78 24954086),(79 25418384),
(1 239482.64),(2 904374.7),(3 1921574.5),(4 3201766.3),(5 4678687.5),(6 6263565.5),(7 7918615),(8 9607717),(9 11265932),(10 12878734),(11 14444476),(12 15926247),(13 17379338),(14 18752836),(15 19995780),(16 21213984),(17 22453174),(18 23719368),(19 24959180),(20 26123616),(21 27222432),(22 28332632),(23 29385272),(24 30383466),(25 31358638),(26 32225304),(27 33033742),(28 33819844),(29 34499510),(30 35003908),(31 35340532),(32 35584116),(33 35678544),(34 35632890),(35 35524536),(36 35384440),(37 35267388),(38 35092556),(39 34833540),(40 34530396),(41 34192856),(42 33824520),(43 33397720),(44 32973554),(45 32551926),(46 32090422),(47 31550300),(48 30994076),(49 30405582),(50 29842966),(51 29316266),(52 28763404),(53 28199624),(54 27598134),(55 27025642),(56 26420334),(57 25799464),(58 25215480),(59 24685524),(60 24183592),(61 23748642),(62 23349488),(63 22976638),(64 22622704),(65 22344346),(66 22127780),(67 21962062),(68 21835562),(69 21829800),(70 21896064),(71 22079012),(72 22321092),(73 22591292),(74 22882694),(75 23194230),(76 23479594),(77 23791410),(78 24076028),(79 24279918),
(1 219481.05),(2 825383.25),(3 1724383.4),(4 2814971.5),(5 4060418.8),(6 5368987.5),(7 6785488.5),(8 8250283.5),(9 9695061),(10 11145966),(11 12571727),(12 13973918),(13 15375821),(14 16667140),(15 17843020),(16 18969324),(17 20019444),(18 20975076),(19 21777800),(20 22518404),(21 23213256),(22 23942480),(23 24648576),(24 25279624),(25 25850068),(26 26346150),(27 26716370),(28 26967590),(29 27101910),(30 27154100),(31 27173810),(32 27098858),(33 26945202),(34 26622566),(35 26225578),(36 25792286),(37 25341264),(38 24914642),(39 24455460),(40 24052194),(41 23758848),(42 23497740),(43 23257194),(44 23006244),(45 22770514),(46 22518284),(47 22270208),(48 22053832),(49 21849540),(50 21705870),(51 21608688),(52 21551304),(53 21508334),(54 21459348),(55 21453328),(56 21500176),(57 21573960),(58 21673166),(59 21794416),(60 21897812),(61 21989726),(62 22026298),(63 21980514),(64 21808116),(65 21629778),(66 21470158),(67 21360194),(68 21241650),(69 21168870),(70 21075140),(71 21029240),(72 20958170),(73 20856990),(74 20685066),(75 20473956),(76 20207764),(77 19946612),(78 19675536),(79 19403680),
