1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1584070),(2 5177892.5),(3 9787671),(4 14556464),(5 19109206),(6 23102944),(7 26984430),(8 31146832),(9 35292740),(10 39533044),(11 42422476),(12 44529148),(13 46157668),(14 48035076),(15 51586588),(16 56563170),(17 61698804),(18 64439904),(19 65063732),(20 64213076),(21 61739060),(22 59545810),(23 57548180),(24 54656852),(25 50158176),(26 44853376),(27 38582748),(28 32269944),(29 26197590),(30 21482100),(31 18389306),(32 18227612),(33 20944572),(34 25198776),(35 29890634),(36 32477062),(37 34047548),(38 35958750),(39 37635340),(40 39013764),(41 39706532),(42 39037230),(43 36510268),(44 32946288),(45 29761416),(46 27476798),(47 25695128),(48 24992638),(49 25369952),(50 26107850),(51 27371802),(52 28851242),(53 30612570),(54 31891584),(55 33158678),(56 34261904),(57 34463476),(58 33948584),(59 32449096),(60 31367872),(61 30884272),(62 30571450),(63 30026102),(64 29120506),(65 27997102),(66 26500664),(67 25091006),(68 24219414),(69 23577816),(70 23215246),(71 23761632),(72 24503496),(73 25323214),(74 26412662),(75 27399520),(76 28331024),(77 29160864),(78 29469832),(79 29281192),
(1 1570247.5),(2 5157517),(3 9620036),(4 14321576),(5 18648220),(6 22138716),(7 25030986),(8 27129306),(9 29538602),(10 32296998),(11 34225960),(12 35599532),(13 37824416),(14 40727570),(15 45062024),(16 49910390),(17 54316384),(18 56804940),(19 57595650),(20 57395670),(21 56450250),(22 55980390),(23 55602490),(24 54362612),(25 51451348),(26 47189030),(27 41502160),(28 35321924),(29 29078156),(30 23611268),(31 19192566),(32 17619856),(33 18576826),(34 20838276),(35 23428112),(36 24388070),(37 24698508),(38 25085782),(39 25385180),(40 25638042),(41 25547578),(42 24795878),(43 23029120),(44 20987412),(45 19469062),(46 18449424),(47 17901892),(48 18483186),(49 19891738),(50 21523946),(51 23541932),(52 25704054),(53 27500988),(54 28581376),(55 29590188),(56 30341780),(57 30426470),(58 30489926),(59 30136372),(60 30216212),(61 30820176),(62 31679846),(63 32382860),(64 32862826),(65 32665372),(66 31438506),(67 30045914),(68 28647564),(69 27118518),(70 26054102),(71 25698108),(72 25916532),(73 26395426),(74 27197482),(75 27531476),(76 27743188),(77 27558612),(78 27042836),(79 26282396),
(1 1576229),(2 5133755.5),(3 9274613),(4 13024616),(5 15739939),(6 17397906),(7 18143102),(8 17938500),(9 18097702),(10 18465612),(11 18974114),(12 19674632),(13 21031362),(14 22843538),(15 25097552),(16 27082966),(17 28477024),(18 28954422),(19 28582278),(20 27915670),(21 27244888),(22 27229754),(23 27430634),(24 27280738),(25 26492122),(26 24706630),(27 21976118),(28 18868528),(29 15845447),(30 13460253),(31 12132631),(32 13039133),(33 15476737),(34 17724154),(35 19200928),(36 18976290),(37 18048276),(38 17149064),(39 16662701),(40 16656989),(41 16798250),(42 16395265),(43 15327152),(44 13798035),(45 12492212),(46 11552803),(47 11266285),(48 11964045),(49 12857428),(50 13915747),(51 15471031),(52 17156926),(53 18354882),(54 18734094),(55 19150560),(56 19541318),(57 19572292),(58 19207104),(59 18584870),(60 18270584),(61 18585806),(62 19223966),(63 20038296),(64 20818664),(65 20889258),(66 20034014),(67 18756150),(68 17361084),(69 15692055),(70 14635571),(71 14328865),(72 14530300),(73 14829096),(74 15399332),(75 15841729),(76 16096800),(77 15968505),(78 15605736),(79 15152139),
(1 1441173.1),(2 4139013.3),(3 6976643.5),(4 9291303),(5 10561192),(6 11087806),(7 10959658),(8 10439753),(9 9713579),(10 9211518),(11 9212276),(12 9761047),(13 10812731),(14 11714591),(15 12260571),(16 12817330),(17 13426867),(18 13656939),(19 13704817),(20 13582356),(21 13193017),(22 12965084),(23 13078183),(24 13362650),(25 13482965),(26 12889450),(27 11754258),(28 10302644),(29 8847029),(30 7642544),(31 7165154),(32 7922157.5),(33 9427208),(34 10827783),(35 11777959),(36 11612290),(37 10515550),(38 9361308),(39 8792314),(40 9142810),(41 9863844),(42 9981748),(43 9528389),(44 8221610.5),(45 7239722.5),(46 6940051.5),(47 6958272),(48 7213199),(49 7470281),(50 7865596.5),(51 8459331),(52 9160297),(53 9266020),(54 9080093),(55 9349860),(56 10150117),(57 10498251),(58 9989606),(59 8911778),(60 8090303),(61 7869262),(62 7898304),(63 8318308.5),(64 8904463),(65 9223305),(66 9208043),(67 8895346),(68 8251786.5),(69 7477843.5),(70 7113022),(71 7405372.5),(72 7963129),(73 8297494),(74 8537678),(75 8791246),(76 8836340),(77 8631264),(78 8376855),(79 8014855),
(1 1324662.9),(2 3421956.3),(3 5294219),(4 6562176.5),(5 7020148.5),(6 7088903.5),(7 7041608.5),(8 6825290),(9 6222990.5),(10 5864328),(11 6354692.5),(12 7124568.5),(13 8391613),(14 9081241),(15 9339731),(16 9445520),(17 9493034),(18 9299655),(19 9390712),(20 9164346),(21 8714519),(22 8577460),(23 8830235),(24 9021135),(25 8992844),(26 8782048),(27 8092224),(28 7324427.5),(29 6702216),(30 6078692.5),(31 5659247.5),(32 5901325),(33 6693150.5),(34 7669552.5),(35 8417497),(36 8426132),(37 7769293),(38 7068389),(39 6661192.5),(40 6855182),(41 7421589),(42 7639165),(43 7044993.5),(44 6055497.5),(45 5724571),(46 5872413),(47 5972279.5),(48 6049736.5),(49 6160486),(50 6251117),(51 6475505.5),(52 6855029),(53 6455646.5),(54 5975235),(55 6243523),(56 7260099),(57 7742340.5),(58 7394323.5),(59 6493137.5),(60 5835462),(61 5545195),(62 5458706),(63 5665866.5),(64 6003250),(65 6339198.5),(66 6648382.5),(67 6844206),(68 6571563),(69 6179242),(70 6053684.5),(71 6293776.5),(72 6703390.5),(73 6922539.5),(74 7079901),(75 7234049.5),(76 7403301),(77 7457561.5),(78 7191339.5),(79 6622273.5),
(1 1269118),(2 2876371.8),(3 3892821.3),(4 4451108),(5 4491913.5),(6 4480602.5),(7 4679250.5),(8 4622259.5),(9 4341301),(10 4267875),(11 4847378),(12 5539895.5),(13 6410937.5),(14 6780489.5),(15 6916225),(16 6787285),(17 6505499),(18 6256819),(19 6445969),(20 6254896.5),(21 5889678.5),(22 6028317.5),(23 6267455),(24 6349342.5),(25 6401475),(26 6434597),(27 6057393),(28 5632726),(29 5530440.5),(30 5471413.5),(31 5051992),(32 4878603),(33 4996029),(34 5294295),(35 5904422.5),(36 6249287),(37 5947073),(38 5456783),(39 5224460),(40 5298443),(41 5617977.5),(42 5862772),(43 5246217.5),(44 4450282.5),(45 4332678.5),(46 4611331.5),(47 5056993),(48 5300778.5),(49 5294304),(50 5168027.5),(51 5445305),(52 5906940),(53 5448645.5),(54 4723739),(55 4576496),(56 5259822),(57 5662014.5),(58 5460425.5),(59 5011737.5),(60 4797404),(61 4776908),(62 4671574.5),(63 4643517),(64 4591397),(65 4772671),(66 5284584),(67 5946268),(68 5978253),(69 5569158.5),(70 5377757),(71 5394458.5),(72 5585647.5),(73 5456653),(74 5457967),(75 5618488.5),(76 5958075),(77 5997770),(78 5731867.5),(79 5370869.5),
(1 1340856.5),(2 2814633.3),(3 3511723),(4 3726765),(5 3734111),(6 4128166.5),(7 4466291),(8 4696827.5),(9 4728009),(10 4515252.5),(11 4437009),(12 4553026.5),(13 4753903),(14 4925075),(15 5089638),(16 5050915.5),(17 4972974),(18 4941686),(19 5178502),(20 5075699),(21 4834751),(22 4838475),(23 4807052),(24 4849526),(25 4839192),(26 4722084.5),(27 4427873.5),(28 4058182.3),(29 4161555.8),(30 4434663),(31 4375781),(32 4426113),(33 4313711.5),(34 4240556.5),(35 4444831.5),(36 4830223.5),(37 4670794),(38 4294757),(39 4113365),(40 4100339),(41 4322218),(42 4466464.5),(43 4219955),(44 3727460.3),(45 3556990.5),(46 3732232.3),(47 3998552.3),(48 4010458.5),(49 3850522.3),(50 3857014.5),(51 4388532.5),(52 4844215),(53 4609946.5),(54 4008810.8),(55 3566257),(56 4053429.3),(57 4459379.5),(58 4419223),(59 4124671.8),(60 4145619.8),(61 4463403.5),(62 4404027),(63 4254700),(64 3969561.3),(65 3910763.8),(66 4207422),(67 4582295),(68 4399414),(69 4067303),(70 3991319.5),(71 4321069),(72 4653981),(73 4628389.5),(74 4526369),(75 4503603.5),(76 4666587.5),(77 4511291.5),(78 4298325.5),(79 4241743.5),
(1 1426829.5),(2 2772652.3),(3 3227062.8),(4 3181659.3),(5 3044169.3),(6 3422835),(7 3851332.3),(8 4067075.5),(9 4337612),(10 4401754),(11 4033425),(12 3741045.8),(13 3631643.5),(14 3830963.5),(15 4137599.3),(16 4090121.3),(17 4036533.3),(18 3923720.5),(19 4095643.8),(20 4226015.5),(21 4073076.3),(22 3902461.3),(23 3943959),(24 4084829.8),(25 3847950.5),(26 3764789.3),(27 3695224),(28 3408111.8),(29 3420735.8),(30 3694184),(31 3829939.3),(32 3995979.3),(33 3888908.3),(34 3761319.8),(35 4077773.5),(36 4155535),(37 3805342.8),(38 3500746.3),(39 3469916.8),(40 3564001.5),(41 3644810.5),(42 3932941.5),(43 3646651.3),(44 3072985),(45 2824739),(46 3224680.8),(47 3590077.8),(48 3586494.3),(49 3167795.8),(50 2988469.8),(51 3333462.8),(52 3695543.8),(53 3581617.5),(54 3241533),(55 3056968.5),(56 3594625.8),(57 3815464.8),(58 3530424),(59 3168054.5),(60 3252911),(61 3522393),(62 3594907),(63 3549124.3),(64 3459868.8),(65 3428685),(66 3500615.3),(67 3730585),(68 3697541.8),(69 3402337),(70 3308092.5),(71 3498916.3),(72 3753413.8),(73 3826197.3),(74 3935271.5),(75 3885013.5),(76 3908444),(77 3673416.8),(78 3512538.8),(79 3449552.8),
(1 1501779.5),(2 2731850.3),(3 2939611.3),(4 2789173.8),(5 2542504.5),(6 2673885),(7 3001267.3),(8 3359446.5),(9 3811491.3),(10 3596944.8),(11 3289490),(12 3059036),(13 2862625),(14 3128355.5),(15 3425998),(16 3345203),(17 3195975.5),(18 2957719.5),(19 3067299),(20 3297234),(21 3317407),(22 3359721),(23 3349146),(24 3248192),(25 2914656),(26 3010036.3),(27 3178570.8),(28 3043922),(29 2836970.3),(30 3046484.5),(31 3148951.3),(32 3287214),(33 3328014.5),(34 3314957),(35 3509874),(36 3310432),(37 3088835.5),(38 3098735.3),(39 3245206),(40 3211613.3),(41 3398899.3),(42 3528854.5),(43 3199823.5),(44 2815630.8),(45 2846518),(46 3374210),(47 3560285.5),(48 3450398),(49 3048519.5),(50 2996475),(51 3187139.3),(52 3409347.8),(53 3164736.3),(54 2932614),(55 2830612.8),(56 3196239),(57 3445416),(58 3225636.5),(59 2881585.5),(60 2861721),(61 3079954.8),(62 3281057),(63 3370426),(64 3187927.8),(65 3130477.3),(66 3312456),(67 3503573.3),(68 3344542),(69 3085293.8),(70 2818005.3),(71 2977712.5),(72 3155234.5),(73 3011058.3),(74 3217090),(75 3305527.3),(76 3283403.8),(77 3172697.3),(78 2919165.8),(79 2877985.8),
(1 1502621.6),(2 2498799.8),(3 2608882.8),(4 2632269),(5 2408836.8),(6 2585024),(7 2767299.5),(8 3072834.8),(9 3475908.5),(10 3115277),(11 2919010.3),(12 2735073),(13 2421029.3),(14 2837337),(15 3027476.3),(16 2824534.8),(17 2775491.5),(18 2618508),(19 2613732.5),(20 2871178.8),(21 3019355.8),(22 3250523.5),(23 3036294.3),(24 2814982.3),(25 2640078.8),(26 2760777),(27 3045337.5),(28 2977445.8),(29 2583575.8),(30 2776173.3),(31 2774182),(32 2882617.3),(33 2938490.3),(34 3080727.5),(35 3120620.3),(36 2812423),(37 2855912.8),(38 2903954.3),(39 2929321.3),(40 2846081.3),(41 3199773),(42 3084505),(43 2813399.8),(44 2695727.5),(45 2771618),(46 3101840.8),(47 3249586.3),(48 3096127),(49 2635792.5),(50 2608711.3),(51 2819928.3),(52 3014390.3),(53 2658336.3),(54 2609635),(55 2495156),(56 2681818.8),(57 2909045.3),(58 2812772),(59 2718093),(60 2594144.8),(61 2810043),(62 2933942.8),(63 2960053),(64 2730859),(65 2649338.5),(66 2873065.8),(67 2864889.8),(68 2702075),(69 2679309.5),(70 2421369),(71 2692971),(72 2819225.3),(73 2445727),(74 2616512.5),(75 2599820.5),(76 2760013),(77 2745652.5),(78 2552057),(79 2546564.5),
(1 1481601.1),(2 2233260.3),(3 2272998),(4 2462511.3),(5 2229931.5),(6 2254679.5),(7 2352897.8),(8 2743080.8),(9 3046890.3),(10 2859839),(11 2641243.8),(12 2550857),(13 2143276),(14 2643198.3),(15 2751139.8),(16 2416784.3),(17 2498016.3),(18 2399515.3),(19 2223156.8),(20 2299926),(21 2536256.5),(22 2870985.8),(23 2476312.5),(24 2277134.5),(25 2278244.8),(26 2332180.3),(27 2615406),(28 2638364.3),(29 2361353.5),(30 2433680),(31 2370926),(32 2276380.3),(33 2541033.8),(34 2797976.5),(35 2741882.5),(36 2445446.3),(37 2495498.8),(38 2564445.8),(39 2463945),(40 2491981.8),(41 2832050.5),(42 2734882.5),(43 2608214.8),(44 2496025.8),(45 2574667.3),(46 2660248.8),(47 2792652.3),(48 2659316.8),(49 2421758.3),(50 2368339.5),(51 2498419.3),(52 2849170.8),(53 2480355.8),(54 2432634),(55 2340065.5),(56 2431639.5),(57 2460890.3),(58 2524520),(59 2520692),(60 2320725.5),(61 2405374),(62 2386051.8),(63 2520814),(64 2348578.5),(65 2293243.3),(66 2422196.5),(67 2349965.3),(68 2286890.3),(69 2410293.8),(70 2160770.8),(71 2519049),(72 2687982.8),(73 2067144.8),(74 2277095.5),(75 2307102),(76 2391038.3),(77 2422836.3),(78 2418427),(79 2413442.8),
