1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 26228.86),(2 52948.527),(3 77552.914),(4 141332.45),(5 195573.14),(6 255319.08),(7 363613.34),(8 470907),(9 591714.25),(10 759448.2),(11 895347.5),(12 1019971.06),(13 1185994),(14 1327261.4),(15 1476992.9),(16 1672933.4),(17 1883198.4),(18 2078582.4),(19 2324101.8),(20 2575799.8),(21 2828888.8),(22 3126508.8),(23 3423248.3),(24 3731554.8),(25 4087911.8),(26 4406404),(27 4683978.5),(28 4968781.5),(29 5209909),(30 5447856.5),(31 5735946),(32 6011569.5),(33 6301000),(34 6613760.5),(35 6932843.5),(36 7252310.5),(37 7578171.5),(38 7883507.5),(39 8207806),(40 8542255),(41 8992852),(42 9824504),(43 10925981),(44 12309291),(45 13300801),(46 14057496),(47 14925796),(48 15791615),(49 16612387),(50 17488594),(51 18420546),(52 19147066),(53 19906954),(54 20669504),(55 21351760),(56 22099408),(57 22899254),(58 23464018),(59 24052510),(60 24610518),(61 25041402),(62 25494784),(63 25881154),(64 25953970),(65 25930086),(66 25896430),(67 25780790),(68 25667728),(69 25658266),(70 25515974),(71 25471222),(72 25413898),(73 25358866),(74 25317554),(75 25401912),(76 25425338),(77 25577904),(78 25725686),(79 25894982),
(1 25942.012),(2 65003.574),(3 117032.15),(4 214111.66),(5 323364.7),(6 443792.94),(7 615938.2),(8 800404.9),(9 988051),(10 1241756.5),(11 1499333.5),(12 1769334.8),(13 2091005.8),(14 2415138),(15 2749725.8),(16 3138028.3),(17 3536323.5),(18 3932392),(19 4368201.5),(20 4815985.5),(21 5247786.5),(22 5716075),(23 6188845),(24 6636998.5),(25 7137960),(26 7605725),(27 8071871),(28 8558123),(29 9036517),(30 9507355),(31 10023786),(32 10512288),(33 10987912),(34 11478477),(35 11975500),(36 12472387),(37 13000937),(38 13516678),(39 14040750),(40 14593317),(41 15148934),(42 15743894),(43 16382195),(44 17150884),(45 17830762),(46 18507510),(47 19270652),(48 20026188),(49 20772630),(50 21581198),(51 22402144),(52 23143398),(53 23892404),(54 24571884),(55 25245360),(56 25925018),(57 26548502),(58 27132058),(59 27776180),(60 28411328),(61 28983252),(62 29571926),(63 30146996),(64 30644596),(65 31119194),(66 31583604),(67 32010224),(68 32408582),(69 32805318),(70 33131750),(71 33473972),(72 33776420),(73 34065320),(74 34369720),(75 34693980),(76 34799880),(77 35075692),(78 35408200),(79 35684550),
(1 24214.697),(2 73766.43),(3 144976.27),(4 249442.83),(5 375106.75),(6 514212.1),(7 686827.75),(8 876974.2),(9 1071378.1),(10 1290759.9),(11 1523588.6),(12 1768871.5),(13 2039396),(14 2330933.8),(15 2645120.3),(16 2982101.8),(17 3350670),(18 3724533.3),(19 4114402.8),(20 4530090.5),(21 4957668.5),(22 5403322),(23 5899575.5),(24 6396266.5),(25 6912685.5),(26 7468912),(27 8072826.5),(28 8668701),(29 9310227),(30 9968992),(31 10628657),(32 11328612),(33 12027269),(34 12705433),(35 13433952),(36 14178131),(37 14913185),(38 15683773),(39 16482573),(40 17277496),(41 18121610),(42 19051250),(43 19873150),(44 20715058),(45 21585638),(46 22405190),(47 23288736),(48 24217864),(49 25072042),(50 25909458),(51 26840318),(52 27685360),(53 28524794),(54 29395062),(55 30265734),(56 31144554),(57 32055210),(58 32887496),(59 33709244),(60 34585970),(61 35390556),(62 36155708),(63 36910196),(64 37605988),(65 38320588),(66 39041880),(67 39719680),(68 40381068),(69 41058748),(70 41724892),(71 42405052),(72 43111310),(73 43733436),(74 44403132),(75 45105868),(76 45803650),(77 46432132),(78 47100212),(79 47760256),
(1 23694.018),(2 80766.62),(3 169712.39),(4 291712.06),(5 439893.8),(6 611041.2),(7 811188.56),(8 1029570.56),(9 1267758.6),(10 1523062),(11 1784004.9),(12 2052176.6),(13 2340614.8),(14 2632550.8),(15 2934857),(16 3260321.5),(17 3587938.3),(18 3923544),(19 4280656),(20 4642002.5),(21 5010989.5),(22 5391389),(23 5782302),(24 6161186),(25 6552794),(26 6931437),(27 7301643.5),(28 7656669.5),(29 8026435.5),(30 8424224),(31 8860267),(32 9297492),(33 9728107),(34 10179226),(35 10646648),(36 11145566),(37 11649579),(38 12166476),(39 12685687),(40 13196197),(41 13728942),(42 14238750),(43 14786726),(44 15325177),(45 15869753),(46 16450448),(47 17069884),(48 17696676),(49 18350058),(50 19007268),(51 19677738),(52 20336020),(53 21014762),(54 21648178),(55 22280140),(56 22900206),(57 23489046),(58 24075030),(59 24714782),(60 25316484),(61 25918022),(62 26520312),(63 27102904),(64 27653636),(65 28264632),(66 28878580),(67 29498942),(68 30198980),(69 30861860),(70 31517494),(71 32235840),(72 32878346),(73 33498376),(74 34158892),(75 34793480),(76 35356972),(77 36014720),(78 36683956),(79 37358640),
(1 27013.139),(2 96974.28),(3 208632.64),(4 360063.56),(5 545525.94),(6 764879.8),(7 1022487.8),(8 1315619.3),(9 1642249.3),(10 1995022.1),(11 2356893.5),(12 2732352.3),(13 3133229.5),(14 3557516),(15 4012128),(16 4498403.5),(17 4994829),(18 5506738),(19 6036326),(20 6582358),(21 7141963.5),(22 7716581),(23 8316743.5),(24 8927571),(25 9572650),(26 10223727),(27 10882145),(28 11523188),(29 12180568),(30 12847088),(31 13554672),(32 14297034),(33 15042896),(34 15799055),(35 16577382),(36 17344432),(37 18109634),(38 18875702),(39 19626218),(40 20345956),(41 21113516),(42 21853464),(43 22635090),(44 23345214),(45 24042684),(46 24717452),(47 25407394),(48 26103636),(49 26769566),(50 27378022),(51 27983950),(52 28534284),(53 29036800),(54 29473832),(55 29862318),(56 30172242),(57 30467700),(58 30728308),(59 30966558),(60 31161440),(61 31353512),(62 31482030),(63 31587742),(64 31648222),(65 31705118),(66 31749280),(67 31801128),(68 31807144),(69 31819264),(70 31802944),(71 31802066),(72 31784046),(73 31762450),(74 31735808),(75 31754914),(76 31728120),(77 31748358),(78 31780754),(79 31819654),
(1 21732.121),(2 79390.484),(3 172682.98),(4 301961.2),(5 462986.9),(6 657670.2),(7 891412.4),(8 1161335.8),(9 1464105.6),(10 1799062.8),(11 2151758),(12 2527182.3),(13 2939760),(14 3371702),(15 3838280.8),(16 4347729),(17 4874297),(18 5425321),(19 6018868),(20 6622292.5),(21 7236162.5),(22 7876501.5),(23 8547017),(24 9210879),(25 9904519),(26 10615147),(27 11351406),(28 12113663),(29 12883387),(30 13650466),(31 14421040),(32 15191128),(33 15928349),(34 16653037),(35 17371290),(36 18067392),(37 18762732),(38 19434916),(39 20063350),(40 20666094),(41 21288160),(42 21894974),(43 22514496),(44 23098570),(45 23639076),(46 24153948),(47 24654982),(48 25097752),(49 25509124),(50 25873564),(51 26166476),(52 26454088),(53 26705754),(54 26907504),(55 27085228),(56 27196180),(57 27261622),(58 27284944),(59 27270900),(60 27211562),(61 27140352),(62 27021100),(63 26863546),(64 26673026),(65 26490710),(66 26283772),(67 26060940),(68 25836454),(69 25615420),(70 25413578),(71 25256808),(72 25110288),(73 24989876),(74 24874108),(75 24755340),(76 24646070),(77 24598276),(78 24569460),(79 24558288),
(1 27363.873),(2 101192.09),(3 221847.73),(4 384357.7),(5 586756.8),(6 833951.6),(7 1120097.1),(8 1447980.8),(9 1815297.9),(10 2220581.5),(11 2662296),(12 3139010.8),(13 3641930.3),(14 4161345.5),(15 4710219),(16 5275755.5),(17 5848461),(18 6441357),(19 7040555),(20 7651356.5),(21 8263634),(22 8871804),(23 9483070),(24 10101490),(25 10710871),(26 11295751),(27 11877541),(28 12451258),(29 13008988),(30 13550123),(31 14081403),(32 14608697),(33 15110567),(34 15585062),(35 16056613),(36 16516843),(37 16961070),(38 17388414),(39 17814968),(40 18211108),(41 18597650),(42 19011810),(43 19394502),(44 19795040),(45 20174256),(46 20542306),(47 20925330),(48 21297586),(49 21629326),(50 21939342),(51 22242784),(52 22485536),(53 22689128),(54 22849516),(55 22978176),(56 23074334),(57 23153556),(58 23227626),(59 23320598),(60 23427618),(61 23513910),(62 23591190),(63 23659778),(64 23702588),(65 23765490),(66 23839474),(67 23890824),(68 23922070),(69 23983918),(70 24028674),(71 24085662),(72 24152404),(73 24214492),(74 24302932),(75 24430258),(76 24539840),(77 24645938),(78 24774350),(79 24869110),
(1 28204.504),(2 107345.266),(3 235106.69),(4 413419.34),(5 637323.9),(6 905688.56),(7 1219695.5),(8 1578881.5),(9 1970993.4),(10 2399304.5),(11 2870626.3),(12 3365254.3),(13 3884893.3),(14 4424086.5),(15 4975545.5),(16 5552097.5),(17 6134466.5),(18 6727009),(19 7317150),(20 7906193),(21 8476577),(22 9040443),(23 9588644),(24 10125733),(25 10648307),(26 11135970),(27 11605054),(28 12053920),(29 12460485),(30 12829972),(31 13165643),(32 13467535),(33 13731443),(34 13950091),(35 14137953),(36 14289762),(37 14421271),(38 14513890),(39 14587739),(40 14629246),(41 14659199),(42 14686539),(43 14687834),(44 14679223),(45 14663898),(46 14654944),(47 14658250),(48 14681028),(49 14699119),(50 14730219),(51 14788100),(52 14859870),(53 14962688),(54 15082095),(55 15214430),(56 15349190),(57 15507813),(58 15625754),(59 15779132),(60 15925538),(61 16050352),(62 16165681),(63 16283890),(64 16388881),(65 16518270),(66 16628619),(67 16728001),(68 16836030),(69 16919368),(70 16988242),(71 17081416),(72 17140982),(73 17209648),(74 17310788),(75 17421672),(76 17549394),(77 17714236),(78 17903078),(79 18133452),
(1 25583.09),(2 96254.72),(3 207455.63),(4 356975.4),(5 540639.5),(6 759975.5),(7 1009998.94),(8 1296790.6),(9 1607831.4),(10 1933020.5),(11 2272392),(12 2621604.8),(13 2975836.8),(14 3330567),(15 3688613.5),(16 4045805.3),(17 4402259.5),(18 4758247.5),(19 5112937.5),(20 5463920.5),(21 5812555),(22 6156818),(23 6491159.5),(24 6826769),(25 7154192.5),(26 7478198.5),(27 7814788),(28 8147582),(29 8462620),(30 8775759),(31 9088525),(32 9399315),(33 9705576),(34 9988620),(35 10266001),(36 10533754),(37 10780142),(38 11000345),(39 11196818),(40 11362873),(41 11532072),(42 11677397),(43 11824199),(44 11947008),(45 12034196),(46 12098375),(47 12160457),(48 12215639),(49 12240594),(50 12251383),(51 12245801),(52 12233493),(53 12204898),(54 12158852),(55 12071614),(56 11967592),(57 11856993),(58 11715380),(59 11579231),(60 11436633),(61 11300446),(62 11174311),(63 11063893),(64 10956885),(65 10878759),(66 10800324),(67 10756542),(68 10733613),(69 10725148),(70 10741670),(71 10785722),(72 10818888),(73 10861717),(74 10923239),(75 10976728),(76 11037566),(77 11116315),(78 11199354),(79 11295892),
(1 22671.125),(2 85208.64),(3 183489.77),(4 315010.8),(5 477322.44),(6 668180.1),(7 887989.75),(8 1134606.6),(9 1404552.8),(10 1691417.4),(11 1994277.4),(12 2307409.8),(13 2627944.5),(14 2965964.5),(15 3322319.5),(16 3692817.3),(17 4068813.3),(18 4443842),(19 4824899.5),(20 5194455),(21 5563070),(22 5928696),(23 6288602.5),(24 6635743.5),(25 6969573),(26 7291628.5),(27 7617821.5),(28 7922818),(29 8207935),(30 8472319),(31 8734812),(32 8990716),(33 9240244),(34 9471936),(35 9708873),(36 9926523),(37 10129708),(38 10324526),(39 10503953),(40 10671550),(41 10874271),(42 11087873),(43 11290614),(44 11501614),(45 11698706),(46 11875772),(47 12050627),(48 12216459),(49 12367856),(50 12504904),(51 12644722),(52 12773616),(53 12924054),(54 13062452),(55 13186887),(56 13295349),(57 13393420),(58 13477637),(59 13566310),(60 13608343),(61 13638348),(62 13658154),(63 13657619),(64 13644581),(65 13659036),(66 13664080),(67 13669419),(68 13677922),(69 13693024),(70 13715259),(71 13749312),(72 13777532),(73 13807307),(74 13817176),(75 13820688),(76 13842572),(77 13849973),(78 13859785),(79 13857221),
(1 23320.709),(2 87515.766),(3 190473.86),(4 327900.53),(5 497696.25),(6 697735.1),(7 922986.1),(8 1171903),(9 1440978.1),(10 1730164.3),(11 2030916.8),(12 2340280),(13 2655296.5),(14 2969274.3),(15 3286152),(16 3603727.5),(17 3921827.8),(18 4239165),(19 4550574),(20 4852083.5),(21 5133434.5),(22 5407778),(23 5679369.5),(24 5938529),(25 6174222.5),(26 6385040),(27 6585766.5),(28 6775673.5),(29 6947332),(30 7108827),(31 7274568.5),(32 7433455),(33 7601458),(34 7759380),(35 7923906),(36 8086999.5),(37 8245439),(38 8402979),(39 8539976),(40 8662213),(41 8789625),(42 8915125),(43 9046894),(44 9140438),(45 9208737),(46 9268872),(47 9313178),(48 9340403),(49 9342328),(50 9334182),(51 9325418),(52 9303732),(53 9273619),(54 9233045),(55 9168861),(56 9092971),(57 9011149),(58 8930136),(59 8868345),(60 8830057),(61 8806928),(62 8808996),(63 8819561),(64 8839910),(65 8884804),(66 8953811),(67 8996282),(68 9034830),(69 9073176),(70 9098722),(71 9132290),(72 9158246),(73 9179285),(74 9202995),(75 9220369),(76 9237443),(77 9261416),(78 9280891),(79 9289124),
