1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 55807.098),(2 234004.11),(3 512866.28),(4 875149.8),(5 1369981.1),(6 1970798),(7 2688426.3),(8 3463521.3),(9 4350168.5),(10 5270167.5),(11 6234834.5),(12 7281378),(13 8282425.5),(14 9412445),(15 10557404),(16 11811053),(17 13093293),(18 14408119),(19 15708771),(20 16959704),(21 18102714),(22 19212688),(23 20171482),(24 21052922),(25 21833458),(26 22519888),(27 23062176),(28 23487018),(29 23807750),(30 24012848),(31 24149034),(32 24198310),(33 24200954),(34 24167834),(35 24100096),(36 24013210),(37 23791942),(38 23564424),(39 23266592),(40 22992000),(41 22662762),(42 22430098),(43 22257560),(44 22188158),(45 22107874),(46 22041506),(47 21886642),(48 21783190),(49 21761978),(50 21822370),(51 21898654),(52 22060790),(53 22258764),(54 22569222),(55 22841198),(56 23016062),(57 23119494),(58 23265962),(59 23390142),(60 23639602),(61 23876914),(62 24145042),(63 24500742),(64 24865424),(65 25234246),(66 25596488),(67 25928046),(68 26217864),(69 26501110),(70 26752778),(71 26977624),(72 27208486),(73 27463024),(74 27767562),(75 28010760),(76 28246288),(77 28460262),(78 28659046),(79 28827018),
(1 75947.234),(2 308407.53),(3 684153.9),(4 1203151.3),(5 1869670.8),(6 2689465.3),(7 3607804),(8 4633418.5),(9 5774539),(10 7020696),(11 8341133),(12 9766115),(13 11084656),(14 12609210),(15 14179808),(16 15857901),(17 17524334),(18 19162764),(19 20747904),(20 22275462),(21 23732986),(22 25142450),(23 26391568),(24 27565690),(25 28662726),(26 29674602),(27 30592198),(28 31342694),(29 32033392),(30 32663844),(31 33213158),(32 33705670),(33 34123252),(34 34521176),(35 34841700),(36 35165656),(37 35257190),(38 35406984),(39 35500012),(40 35553036),(41 35605436),(42 35654330),(43 35753304),(44 35862856),(45 35901780),(46 35906452),(47 35822092),(48 35686988),(49 35602304),(50 35561012),(51 35568996),(52 35659376),(53 35805376),(54 36029708),(55 36254308),(56 36346870),(57 36403656),(58 36462204),(59 36504810),(60 36595868),(61 36713964),(62 36775036),(63 36947030),(64 37254856),(65 37553850),(66 37950696),(67 38284268),(68 38699136),(69 39065000),(70 39443828),(71 39708496),(72 40012390),(73 40267084),(74 40606676),(75 40767520),(76 40933524),(77 40953564),(78 41008936),(79 41005320),
(1 97813.805),(2 397464.16),(3 892928.56),(4 1559859.1),(5 2384237),(6 3355665),(7 4452194.5),(8 5685849.5),(9 7091982),(10 8607368),(11 10238174),(12 11994889),(13 13567227),(14 15452168),(15 17452242),(16 19594434),(17 21777074),(18 23931726),(19 26019546),(20 28097710),(21 30135078),(22 32152120),(23 34059924),(24 35868612),(25 37677920),(26 39522036),(27 41337012),(28 43107584),(29 44788240),(30 46387524),(31 47864400),(32 49203156),(33 50454180),(34 51629456),(35 52668510),(36 53571380),(37 54247764),(38 54888412),(39 55374092),(40 55744884),(41 56045332),(42 56300690),(43 56575020),(44 56760268),(45 56819268),(46 56782784),(47 56647024),(48 56390812),(49 56019572),(50 55645628),(51 55272020),(52 54964896),(53 54613404),(54 54252820),(55 53907892),(56 53413988),(57 52843476),(58 52191440),(59 51516404),(60 50831890),(61 50136500),(62 49538530),(63 48870324),(64 48273196),(65 47653732),(66 47181984),(67 46732684),(68 46339076),(69 45946772),(70 45698796),(71 45427916),(72 45267070),(73 45078380),(74 44886892),(75 44574290),(76 44138580),(77 43596700),(78 43124764),(79 42721220),
(1 142680.39),(2 569206.06),(3 1250445.3),(4 2150093),(5 3229393.3),(6 4451593.5),(7 5802026.5),(8 7262818),(9 8897493),(10 10595209),(11 12350203),(12 14170668),(13 15852716),(14 17712858),(15 19617310),(16 21613184),(17 23599528),(18 25553804),(19 27404702),(20 29178716),(21 30863204),(22 32459442),(23 33980220),(24 35463744),(25 36938964),(26 38469184),(27 40041144),(28 41588430),(29 43027970),(30 44381136),(31 45625616),(32 46782990),(33 47893356),(34 48992156),(35 50049616),(36 51087890),(37 51853028),(38 52679376),(39 53377360),(40 53939270),(41 54362840),(42 54644320),(43 54791828),(44 54770404),(45 54625428),(46 54481904),(47 54260450),(48 53953140),(49 53526612),(50 53051984),(51 52566436),(52 52045616),(53 51480176),(54 50865656),(55 50251656),(56 49650348),(57 49045744),(58 48420304),(59 47803640),(60 47106230),(61 46375410),(62 45733370),(63 45056916),(64 44441316),(65 43860452),(66 43368176),(67 42902292),(68 42496900),(69 42069548),(70 41760420),(71 41406240),(72 41085012),(73 40719024),(74 40254212),(75 39714452),(76 39160596),(77 38547210),(78 37909104),(79 37230670),
(1 151352.6),(2 585293.56),(3 1263899.9),(4 2150681),(5 3198133.8),(6 4362199.5),(7 5619186),(8 6929979.5),(9 8381082),(10 9883231),(11 11422173),(12 12976177),(13 14382531),(14 15902292),(15 17437544),(16 19019106),(17 20573934),(18 22119508),(19 23609096),(20 25005024),(21 26306530),(22 27530066),(23 28670342),(24 29763636),(25 30814176),(26 31811624),(27 32832696),(28 33813444),(29 34747430),(30 35612364),(31 36417940),(32 37149840),(33 37794350),(34 38377700),(35 38913372),(36 39430296),(37 39729296),(38 40061160),(39 40324720),(40 40480180),(41 40531930),(42 40479150),(43 40324070),(44 40082596),(45 39780824),(46 39502400),(47 39239932),(48 39008172),(49 38849536),(50 38768044),(51 38776308),(52 38824916),(53 38916380),(54 39053812),(55 39266828),(56 39522164),(57 39831492),(58 40094148),(59 40339010),(60 40497556),(61 40597016),(62 40729070),(63 40788956),(64 40871908),(65 40884116),(66 40895132),(67 40865130),(68 40844220),(69 40738852),(70 40659220),(71 40444276),(72 40200996),(73 39878630),(74 39462816),(75 38992170),(76 38503570),(77 37951996),(78 37386676),(79 36754868),
(1 124670.125),(2 487416.9),(3 1063636.4),(4 1793867.4),(5 2633702.8),(6 3552560.8),(7 4491399.5),(8 5438781.5),(9 6437579),(10 7425400),(11 8341567),(12 9166854),(13 9857516),(14 10496982),(15 11089602),(16 11667184),(17 12233854),(18 12813299),(19 13389990),(20 13950426),(21 14498189),(22 15012864),(23 15507546),(24 16020622),(25 16552522),(26 17138252),(27 17794618),(28 18495780),(29 19220276),(30 19941064),(31 20652674),(32 21375614),(33 22097482),(34 22838078),(35 23590842),(36 24319186),(37 24967674),(38 25608712),(39 26166022),(40 26661856),(41 27129594),(42 27524108),(43 27842784),(44 28095312),(45 28278388),(46 28445286),(47 28553834),(48 28617386),(49 28644006),(50 28627302),(51 28530214),(52 28380224),(53 28150796),(54 27899798),(55 27621094),(56 27330010),(57 27001476),(58 26634348),(59 26240566),(60 25866916),(61 25533508),(62 25163642),(63 24829452),(64 24552452),(65 24243984),(66 23966054),(67 23682440),(68 23425884),(69 23172514),(70 22991656),(71 22819400),(72 22741846),(73 22708074),(74 22744822),(75 22834614),(76 23001008),(77 23189306),(78 23340166),(79 23424722),
(1 136208.08),(2 532778),(3 1146541.9),(4 1922677.8),(5 2813809.3),(6 3781237),(7 4830917),(8 5933774),(9 7124327),(10 8323718),(11 9472402),(12 10557831),(13 11429868),(14 12348156),(15 13234454),(16 14080359),(17 14835350),(18 15501877),(19 16071903),(20 16583278),(21 17037118),(22 17436358),(23 17820830),(24 18213618),(25 18654106),(26 19143034),(27 19686156),(28 20249596),(29 20793150),(30 21303274),(31 21758006),(32 22183656),(33 22603748),(34 23004542),(35 23402776),(36 23776354),(37 24079576),(38 24328334),(39 24487160),(40 24567164),(41 24570642),(42 24447712),(43 24230464),(44 23947464),(45 23639432),(46 23287956),(47 22919460),(48 22525144),(49 22070088),(50 21578924),(51 21126932),(52 20710944),(53 20324594),(54 19993528),(55 19713876),(56 19461954),(57 19248856),(58 19073758),(59 18934100),(60 18829644),(61 18791740),(62 18712298),(63 18724280),(64 18817074),(65 18936316),(66 19095306),(67 19249078),(68 19438228),(69 19596696),(70 19768948),(71 19921630),(72 20029384),(73 20095124),(74 20093378),(75 20060382),(76 19982584),(77 19875078),(78 19761392),(79 19626516),
(1 153246.72),(2 584011.9),(3 1251904.6),(4 2109436.5),(5 3117863.8),(6 4245401.5),(7 5438680),(8 6672439.5),(9 7979020.5),(10 9250815),(11 10449293),(12 11555271),(13 12462517),(14 13358429),(15 14207185),(16 15000267),(17 15730393),(18 16377212),(19 16919084),(20 17398020),(21 17794706),(22 18104386),(23 18367138),(24 18583534),(25 18792362),(26 19008214),(27 19228726),(28 19447366),(29 19622618),(30 19746924),(31 19819306),(32 19847672),(33 19844126),(34 19855694),(35 19850882),(36 19847412),(37 19888900),(38 19883466),(39 19853908),(40 19781262),(41 19695752),(42 19587710),(43 19509112),(44 19438370),(45 19379838),(46 19338870),(47 19326620),(48 19355102),(49 19426354),(50 19567522),(51 19761962),(52 19984324),(53 20194410),(54 20409000),(55 20615898),(56 20791078),(57 20931830),(58 21029658),(59 21076796),(60 21103428),(61 21110738),(62 21086588),(63 21053606),(64 21006174),(65 20938586),(66 20872126),(67 20755310),(68 20579750),(69 20337144),(70 20026908),(71 19674840),(72 19277632),(73 18893454),(74 18536672),(75 18263002),(76 18082666),(77 17992864),(78 17948350),(79 17925484),
(1 140684.83),(2 532000.56),(3 1134113.8),(4 1913745.3),(5 2830898),(6 3846098.3),(7 4918674.5),(8 6035011),(9 7227723),(10 8410440),(11 9548472),(12 10621011),(13 11476265),(14 12337402),(15 13139571),(16 13864502),(17 14506875),(18 15043577),(19 15451199),(20 15769630),(21 15984851),(22 16075262),(23 16075806),(24 15999369),(25 15848433),(26 15642836),(27 15390078),(28 15060851),(29 14669769),(30 14231496),(31 13752385),(32 13249506),(33 12745453),(34 12267633),(35 11840619),(36 11494238),(37 11242227),(38 11038155),(39 10900648),(40 10845096),(41 10910806),(42 11086276),(43 11366364),(44 11708597),(45 12104836),(46 12545961),(47 13009850),(48 13495794),(49 13971167),(50 14418340),(51 14814079),(52 15162700),(53 15444467),(54 15689243),(55 15910729),(56 16087688),(57 16197679),(58 16260952),(59 16260408),(60 16194095),(61 16066157),(62 15914714),(63 15691801),(64 15462695),(65 15197008),(66 14918724),(67 14611836),(68 14299315),(69 13959872),(70 13621581),(71 13291354),(72 12991272),(73 12729895),(74 12524303),(75 12374720),(76 12287236),(77 12228000),(78 12188062),(79 12162439),
(1 113793.6),(2 430717.94),(3 905021.44),(4 1493411.5),(5 2169117),(6 2914816.5),(7 3714283.5),(8 4546447),(9 5443270),(10 6343946.5),(11 7237959),(12 8110229.5),(13 8822912),(14 9571525),(15 10266245),(16 10906434),(17 11463556),(18 11948293),(19 12356967),(20 12692194),(21 12971102),(22 13181414),(23 13323180),(24 13400771),(25 13410228),(26 13361892),(27 13246300),(28 13064342),(29 12813992),(30 12513941),(31 12171104),(32 11815474),(33 11444725),(34 11061964),(35 10723788),(36 10447306),(37 10224537),(38 10041339),(39 9915389),(40 9842861),(41 9841480),(42 9882677),(43 9973233),(44 10092331),(45 10236962),(46 10411599),(47 10597221),(48 10788624),(49 10958096),(50 11107108),(51 11257403),(52 11379731),(53 11478911),(54 11570699),(55 11637433),(56 11652519),(57 11635486),(58 11589136),(59 11535520),(60 11438792),(61 11320100),(62 11171848),(63 10999271),(64 10831879),(65 10652215),(66 10491709),(67 10343639),(68 10232204),(69 10152779),(70 10114217),(71 10084151),(72 10075303),(73 10066951),(74 10050343),(75 10008351),(76 9956592),(77 9880586),(78 9779116),(79 9668219),
(1 102220.555),(2 383645.47),(3 801186.5),(4 1309663.1),(5 1882449),(6 2493974.5),(7 3122281.3),(8 3745580.5),(9 4390832),(10 5015391),(11 5611212),(12 6177367.5),(13 6590330.5),(14 7043046.5),(15 7446712.5),(16 7803274),(17 8086227),(18 8315751.5),(19 8497487),(20 8635490),(21 8750342),(22 8841532),(23 8929397),(24 9024979),(25 9108284),(26 9191729),(27 9263826),(28 9327544),(29 9372866),(30 9409453),(31 9456187),(32 9504799),(33 9531646),(34 9548877),(35 9553908),(36 9558036),(37 9499659),(38 9488621),(39 9497607),(40 9488857),(41 9475339),(42 9432298),(43 9382923),(44 9340045),(45 9289065),(46 9250763),(47 9214586),(48 9211501),(49 9252375),(50 9334999),(51 9445320),(52 9582513),(53 9741244),(54 9912233),(55 10108546),(56 10300128),(57 10487942),(58 10682498),(59 10873931),(60 11033818),(61 11169325),(62 11238816),(63 11278241),(64 11285957),(65 11265221),(66 11226377),(67 11142274),(68 11054334),(69 10940857),(70 10800272),(71 10662229),(72 10521847),(73 10367258),(74 10215182),(75 10037101),(76 9838948),(77 9613105),(78 9405759),(79 9213602),
