1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 46687.23),(2 149804.8),(3 279786.9),(4 419611.78),(5 566404.2),(6 708056.5),(7 853714.56),(8 1028839.44),(9 1229043.4),(10 1461704.9),(11 1700223.4),(12 1982257.6),(13 2298247.5),(14 2624305.8),(15 2946527.3),(16 3269242.3),(17 3586318),(18 3908954.3),(19 4204434),(20 4492245.5),(21 4853613.5),(22 5274897.5),(23 5786781.5),(24 6360954.5),(25 6928202.5),(26 7458757.5),(27 8020489.5),(28 8606711),(29 9168779),(30 9626471),(31 10135313),(32 10607572),(33 11081071),(34 11542692),(35 12030627),(36 12503597),(37 12981804),(38 13470141),(39 14009812),(40 14541108),(41 15104248),(42 15590608),(43 16110847),(44 16595680),(45 17177386),(46 17753718),(47 18360958),(48 18936112),(49 19530646),(50 20087020),(51 20723118),(52 21337832),(53 22051824),(54 22827682),(55 23616360),(56 24393626),(57 25198944),(58 25983174),(59 26741128),(60 27433792),(61 28139174),(62 28918752),(63 29782496),(64 30660074),(65 31568114),(66 32262478),(67 32962882),(68 33608200),(69 34322050),(70 35114316),(71 36027284),(72 36844828),(73 37612170),(74 38184340),(75 38796820),(76 39297732),(77 39834256),(78 40194500),(79 40618700),
(1 52264.65),(2 170947.42),(3 333542.72),(4 520728.3),(5 744406.8),(6 988817.3),(7 1254968.6),(8 1537524.3),(9 1844077.3),(10 2158254.5),(11 2484701.5),(12 2834366.5),(13 3242516.5),(14 3658264),(15 4115486.8),(16 4549561.5),(17 4968499),(18 5369496),(19 5755229),(20 6122935.5),(21 6513103),(22 6888055),(23 7281577.5),(24 7626528),(25 7968900),(26 8299215),(27 8660045),(28 8999829),(29 9329666),(30 9615069),(31 9922258),(32 10211552),(33 10526057),(34 10834438),(35 11136882),(36 11451138),(37 11757266),(38 12082612),(39 12428678),(40 12793219),(41 13180068),(42 13558016),(43 13958496),(44 14333707),(45 14771898),(46 15257659),(47 15773960),(48 16243781),(49 16709693),(50 17153878),(51 17663396),(52 18162316),(53 18653750),(54 19165468),(55 19665562),(56 20177830),(57 20657212),(58 21187296),(59 21703540),(60 22246812),(61 22744800),(62 23326842),(63 23984260),(64 24658216),(65 25389848),(66 26091114),(67 26729552),(68 27269152),(69 27776794),(70 28399324),(71 28993974),(72 29522682),(73 29988538),(74 30451780),(75 30903700),(76 31293140),(77 31688506),(78 32071994),(79 32384122),
(1 55248.543),(2 183025.2),(3 356997),(4 568325.44),(5 814086),(6 1076061.6),(7 1368261),(8 1682259.6),(9 2014341.4),(10 2352258.3),(11 2703756.5),(12 3081716.8),(13 3481078),(14 3891321.3),(15 4312876),(16 4737989.5),(17 5164700.5),(18 5607020),(19 6045356),(20 6476102.5),(21 6922110.5),(22 7335892),(23 7754345.5),(24 8136897.5),(25 8501641),(26 8887559),(27 9298009),(28 9731345),(29 10135846),(30 10510998),(31 10873996),(32 11231085),(33 11563003),(34 11877500),(35 12169111),(36 12465896),(37 12752339),(38 13078811),(39 13401885),(40 13727368),(41 14059547),(42 14383807),(43 14674933),(44 14962244),(45 15260899),(46 15584475),(47 15905053),(48 16175675),(49 16425605),(50 16644517),(51 16909886),(52 17152050),(53 17373008),(54 17551446),(55 17670434),(56 17779532),(57 17928918),(58 18107734),(59 18262312),(60 18415238),(61 18546234),(62 18707066),(63 18920742),(64 19131368),(65 19386942),(66 19620882),(67 19806402),(68 19951160),(69 20065538),(70 20197634),(71 20337798),(72 20371512),(73 20369312),(74 20337970),(75 20319642),(76 20270078),(77 20218626),(78 20084750),(79 19956058),
(1 65519.11),(2 222627.14),(3 439813.63),(4 697079.75),(5 981375.1),(6 1280762.3),(7 1590518.6),(8 1916409.4),(9 2245376.5),(10 2578436.5),(11 2914903.5),(12 3242401.3),(13 3570092),(14 3891781.8),(15 4200719),(16 4449427.5),(17 4670262),(18 4850176),(19 5020880),(20 5180219.5),(21 5372742),(22 5556250),(23 5742511),(24 5916013.5),(25 6081242.5),(26 6256082),(27 6470132.5),(28 6691326),(29 6947083),(30 7211506),(31 7454385),(32 7718021.5),(33 7988552),(34 8254511),(35 8508044),(36 8787861),(37 9088468),(38 9428049),(39 9790438),(40 10153616),(41 10510081),(42 10840901),(43 11189042),(44 11554839),(45 11900950),(46 12274539),(47 12675179),(48 13004789),(49 13291625),(50 13541539),(51 13789414),(52 14001817),(53 14183385),(54 14323335),(55 14404288),(56 14433237),(57 14410788),(58 14351232),(59 14284496),(60 14217867),(61 14154180),(62 14067916),(63 14015863),(64 13949238),(65 13897556),(66 13860107),(67 13828490),(68 13787660),(69 13747113),(70 13711932),(71 13656464),(72 13587220),(73 13509534),(74 13452133),(75 13427312),(76 13409514),(77 13392894),(78 13342628),(79 13325572),
(1 58143.79),(2 207107.81),(3 417572.53),(4 672290.5),(5 968780.6),(6 1294514.1),(7 1635720.8),(8 1982130.5),(9 2338843),(10 2696357.8),(11 3070942.5),(12 3457627.3),(13 3863940.3),(14 4290956.5),(15 4710081.5),(16 5098362.5),(17 5465964),(18 5808943.5),(19 6133635.5),(20 6438385.5),(21 6754212.5),(22 7049562),(23 7313940.5),(24 7566730),(25 7808496),(26 8031115.5),(27 8260955.5),(28 8482695),(29 8712801),(30 8906964),(31 9087181),(32 9250672),(33 9422166),(34 9556961),(35 9670641),(36 9791364),(37 9922233),(38 10055081),(39 10217092),(40 10376167),(41 10543775),(42 10697210),(43 10865513),(44 11024805),(45 11215411),(46 11381200),(47 11591489),(48 11735473),(49 11874803),(50 11959193),(51 12081953),(52 12200825),(53 12337679),(54 12431338),(55 12509674),(56 12581971),(57 12686385),(58 12759101),(59 12836934),(60 12917568),(61 13021721),(62 13107305),(63 13198839),(64 13276730),(65 13374134),(66 13477357),(67 13605817),(68 13703649),(69 13811040),(70 13913809),(71 14013478),(72 14091501),(73 14148615),(74 14193693),(75 14228559),(76 14275881),(77 14315370),(78 14303466),(79 14287482),
(1 66005.3),(2 232033.1),(3 479338.6),(4 780889.5),(5 1113359),(6 1468863.4),(7 1821274),(8 2165404.8),(9 2502827.8),(10 2811102.5),(11 3099644.3),(12 3397340.8),(13 3705684.8),(14 4023221.5),(15 4313864.5),(16 4600469),(17 4866284.5),(18 5131983.5),(19 5391662),(20 5678611.5),(21 5988475.5),(22 6326264),(23 6653698),(24 6983936),(25 7327045.5),(26 7670572),(27 8008395),(28 8349904),(29 8658754),(30 8963010),(31 9238184),(32 9537942),(33 9840496),(34 10115808),(35 10401851),(36 10668341),(37 10941702),(38 11195280),(39 11434029),(40 11667966),(41 11867154),(42 12017187),(43 12124314),(44 12192371),(45 12256934),(46 12300213),(47 12312837),(48 12269341),(49 12196822),(50 12141045),(51 12103485),(52 12066922),(53 12022971),(54 11995683),(55 11986046),(56 11957538),(57 11932122),(58 11907402),(59 11886664),(60 11853370),(61 11817389),(62 11773968),(63 11755714),(64 11746112),(65 11756710),(66 11760621),(67 11740150),(68 11679235),(69 11620498),(70 11573226),(71 11507845),(72 11389067),(73 11260874),(74 11127982),(75 10999805),(76 10845445),(77 10708846),(78 10548834),(79 10388836),
(1 81148.53),(2 292999.94),(3 617049.4),(4 1027052.06),(5 1501755.3),(6 2001280),(7 2501762),(8 2967770.8),(9 3404535.5),(10 3796189.5),(11 4153356.5),(12 4483463.5),(13 4805436),(14 5100546.5),(15 5352997),(16 5564809),(17 5731853.5),(18 5863995),(19 5961082),(20 6063962.5),(21 6174987.5),(22 6271605.5),(23 6375676.5),(24 6462888.5),(25 6583251.5),(26 6693009),(27 6809344.5),(28 6891035.5),(29 6974114),(30 7022010.5),(31 7091077.5),(32 7131383),(33 7153450.5),(34 7149643),(35 7184322.5),(36 7196261),(37 7238041),(38 7275128),(39 7351073),(40 7400552.5),(41 7472941),(42 7527718),(43 7622275.5),(44 7729855),(45 7854523),(46 7964038),(47 8073922.5),(48 8168661),(49 8292216),(50 8414980),(51 8579060),(52 8761678),(53 8960820),(54 9193645),(55 9434364),(56 9630919),(57 9817575),(58 9973820),(59 10114186),(60 10221873),(61 10306166),(62 10356377),(63 10419359),(64 10465372),(65 10510471),(66 10534329),(67 10542305),(68 10539641),(69 10544297),(70 10539927),(71 10550187),(72 10542479),(73 10506458),(74 10457177),(75 10412036),(76 10338207),(77 10267658),(78 10142775),(79 10020339),
(1 76588.87),(2 270842.8),(3 563290.9),(4 929804),(5 1358554.1),(6 1812430.3),(7 2278314.5),(8 2731658.8),(9 3186425.8),(10 3603349),(11 4007223.5),(12 4385202),(13 4749017.5),(14 5092095),(15 5384024.5),(16 5627236.5),(17 5842206),(18 6030227),(19 6169135.5),(20 6300646),(21 6434848),(22 6555449),(23 6639555.5),(24 6715771.5),(25 6825754.5),(26 6984606),(27 7187001.5),(28 7427126),(29 7686614.5),(30 7944512),(31 8208461),(32 8436400),(33 8604481),(34 8723561),(35 8816187),(36 8862270),(37 8896214),(38 8889199),(39 8851180),(40 8749708),(41 8638210),(42 8518212),(43 8403860),(44 8276032),(45 8164161.5),(46 8048531.5),(47 7918866.5),(48 7762930.5),(49 7602478),(50 7433074.5),(51 7274952),(52 7122969.5),(53 6986425.5),(54 6883327),(55 6797267),(56 6722018),(57 6663738.5),(58 6595678.5),(59 6531792),(60 6448914),(61 6392330),(62 6342471.5),(63 6319585),(64 6314023),(65 6341697.5),(66 6397857),(67 6468938.5),(68 6573016),(69 6700422),(70 6846935.5),(71 7020014),(72 7205614.5),(73 7399731),(74 7608590),(75 7831443.5),(76 8058522.5),(77 8293366.5),(78 8512649),(79 8736603),
(1 68202.85),(2 240575.67),(3 501694.8),(4 821882.94),(5 1175079.3),(6 1544785.3),(7 1922484.8),(8 2288935.5),(9 2656273.5),(10 2989061.5),(11 3298659),(12 3590446.8),(13 3862492.3),(14 4118154.3),(15 4349287.5),(16 4556622),(17 4749292),(18 4941240.5),(19 5120238),(20 5308139.5),(21 5488434),(22 5650568.5),(23 5785549.5),(24 5874276.5),(25 5947340),(26 6014323.5),(27 6082277.5),(28 6137993),(29 6177493.5),(30 6182551.5),(31 6188298.5),(32 6137868),(33 6058399),(34 5943850.5),(35 5839529.5),(36 5715022),(37 5584657.5),(38 5433687.5),(39 5282990.5),(40 5124134.5),(41 4992052),(42 4859362.5),(43 4747660),(44 4661152),(45 4606473),(46 4566206),(47 4531593.5),(48 4502196),(49 4468177),(50 4436515),(51 4409366),(52 4387022.5),(53 4368045),(54 4369618),(55 4378652.5),(56 4374613.5),(57 4368666),(58 4366044),(59 4367112.5),(60 4378742),(61 4404814),(62 4441028.5),(63 4489682.5),(64 4567800),(65 4666248.5),(66 4779902),(67 4891241),(68 5013807),(69 5124591.5),(70 5252304.5),(71 5351462.5),(72 5457795.5),(73 5548265.5),(74 5661851.5),(75 5779363),(76 5916961),(77 6059064),(78 6201024),(79 6332120.5),
(1 76616.89),(2 266899.6),(3 547227.3),(4 887404.9),(5 1270061),(6 1667570.9),(7 2067616.5),(8 2447545),(9 2793985),(10 3089270.3),(11 3327846.3),(12 3514268.5),(13 3641977.3),(14 3721932.3),(15 3752869.3),(16 3779964),(17 3800346.3),(18 3847975.5),(19 3917613.3),(20 4035949.3),(21 4181153.3),(22 4333155.5),(23 4476977),(24 4588728.5),(25 4675698),(26 4733048.5),(27 4757585.5),(28 4729975.5),(29 4657790),(30 4541226),(31 4391192),(32 4208915),(33 4005998.3),(34 3792691.5),(35 3582130),(36 3378470.3),(37 3207680.8),(38 3087349),(39 3017321.3),(40 2999401),(41 3025405.3),(42 3098353.8),(43 3208293.5),(44 3335669),(45 3494566.8),(46 3667805.8),(47 3848842.8),(48 4033369),(49 4218053.5),(50 4390234.5),(51 4540253.5),(52 4671261.5),(53 4779574),(54 4880650.5),(55 4975733.5),(56 5066811.5),(57 5139665),(58 5202632),(59 5245178.5),(60 5259157.5),(61 5254892.5),(62 5230284),(63 5190931.5),(64 5145962.5),(65 5110957.5),(66 5061781.5),(67 5015388.5),(68 4958738.5),(69 4912510.5),(70 4858469.5),(71 4812983.5),(72 4775606),(73 4752415.5),(74 4739155.5),(75 4746738),(76 4757068.5),(77 4783079),(78 4806353.5),(79 4843322),
(1 77427.03),(2 272353.25),(3 547417.2),(4 870217.94),(5 1205879.8),(6 1554165.4),(7 1892196.3),(8 2229028.5),(9 2542049.5),(10 2817700),(11 3030172.3),(12 3199901.8),(13 3305683.8),(14 3351720.8),(15 3349095.5),(16 3323185),(17 3283701),(18 3242622.8),(19 3214016.3),(20 3204252),(21 3200673),(22 3216497.5),(23 3244872),(24 3265802.3),(25 3291445.3),(26 3332121.5),(27 3399110.5),(28 3456807),(29 3497231.8),(30 3503086.5),(31 3493155),(32 3463707.3),(33 3415639.5),(34 3362714.3),(35 3312655),(36 3272611.3),(37 3252228.3),(38 3256786.8),(39 3292762.3),(40 3351871.3),(41 3415807),(42 3478657),(43 3535811.3),(44 3594560),(45 3645681.5),(46 3694924.8),(47 3736326.5),(48 3777302.3),(49 3804386.8),(50 3817666.3),(51 3833856.8),(52 3853090),(53 3872191.5),(54 3914721),(55 3950756.8),(56 3984294.5),(57 4039910.5),(58 4084344.5),(59 4126489),(60 4157493.8),(61 4188839.5),(62 4216966.5),(63 4242651),(64 4270769),(65 4307375.5),(66 4322772),(67 4339352),(68 4336132),(69 4331572),(70 4315375.5),(71 4318681.5),(72 4305044),(73 4294629),(74 4281824),(75 4273126.5),(76 4256860.5),(77 4254459.5),(78 4244320),(79 4252028),
