1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 851950.8),(2 2612508.5),(3 5173231.5),(4 8064836),(5 11304085),(6 14863387),(7 18604594),(8 22510158),(9 26780106),(10 31469190),(11 36437390),(12 41222564),(13 45981504),(14 51205076),(15 55834092),(16 60477980),(17 66278860),(18 73542504),(19 80658120),(20 88796900),(21 98746090),(22 109486840),(23 121445080),(24 135982530),(25 150837570),(26 167518110),(27 185953340),(28 206201220),(29 227793650),(30 251110160),(31 276036770),(32 302439420),(33 331431680),(34 360873300),(35 391285150),(36 423004770),(37 456099870),(38 490105060),(39 523698980),(40 553752300),(41 582189760),(42 609511230),(43 634973630),(44 659282240),(45 681421760),(46 701664450),(47 719671500),(48 736645800),(49 750633500),(50 762831040),(51 773761000),(52 783188740),(53 790006800),(54 794392770),(55 796399100),(56 797055040),(57 796279040),(58 794488300),(59 791500860),(60 791029760),(61 789037400),(62 785592000),(63 782585600),(64 777705500),(65 771763140),(66 765192700),(67 756856770),(68 746890750),(69 734333900),(70 721624900),(71 707359740),(72 692715200),(73 677913300),(74 662654300),(75 648039000),(76 633844400),(77 620621000),(78 606363500),(79 594744100),
(1 497073.4),(2 1827516.3),(3 3856181.3),(4 6450533.5),(5 9501694),(6 12890401),(7 16611925),(8 20544700),(9 24736628),(10 29198796),(11 33952120),(12 38812120),(13 43991240),(14 49646628),(15 55415020),(16 61581772),(17 68627740),(18 76298000),(19 84284110),(20 92832344),(21 102693910),(22 113359784),(23 124793200),(24 137575380),(25 150609970),(26 164445600),(27 179002240),(28 194357040),(29 209417800),(30 224403710),(31 239094350),(32 253415890),(33 267933520),(34 281875230),(35 295251330),(36 308076130),(37 320245020),(38 331554080),(39 341853280),(40 351118340),(41 359467140),(42 366907550),(43 373381820),(44 378962200),(45 383544900),(46 387303870),(47 390477470),(48 393987550),(49 396471740),(50 398646500),(51 400887260),(52 403149000),(53 405204160),(54 407334600),(55 409776060),(56 412384830),(57 414844000),(58 417191600),(59 419459700),(60 422269820),(61 424199700),(62 425192130),(63 425477800),(64 425199170),(65 424302800),(66 422856000),(67 420744580),(68 418498340),(69 415645540),(70 412914750),(71 410060600),(72 407134620),(73 404146720),(74 401226850),(75 398385300),(76 395309730),(77 392281800),(78 389544220),(79 386508830),
(1 413278.03),(2 1524535),(3 3210092.8),(4 5303843.5),(5 7690650.5),(6 10269696),(7 13042677),(8 15851877),(9 18795422),(10 21952334),(11 25359896),(12 28938362),(13 32929594),(14 37606364),(15 42602908),(16 48168956),(17 54379092),(18 60965420),(19 68026550),(20 75521260),(21 83521120),(22 91801470),(23 100379430),(24 109789784),(25 118785496),(26 127755580),(27 136644660),(28 145616340),(29 154765040),(30 163737300),(31 172565570),(32 180939000),(33 188995580),(34 196324400),(35 202757300),(36 208463250),(37 213239940),(38 217157300),(39 220399620),(40 222720300),(41 224071860),(42 224418560),(43 223883140),(44 222373060),(45 219722880),(46 216436940),(47 212759180),(48 208986610),(49 205037650),(50 201090750),(51 197001020),(52 192915780),(53 188896300),(54 185161040),(55 181570690),(56 178195070),(57 174963700),(58 171931280),(59 168937620),(60 166347200),(61 163725230),(62 161135410),(63 158869700),(64 156752910),(65 154943630),(66 153400910),(67 152261330),(68 151693800),(69 151571220),(70 151996100),(71 153137840),(72 154824690),(73 157021580),(74 159732480),(75 162597550),(76 165834460),(77 169159120),(78 172617520),(79 175877700),
(1 374676.13),(2 1382759.5),(3 2899675.5),(4 4779475.5),(5 6868004),(6 9082476),(7 11373195),(8 13653465),(9 15960206),(10 18269948),(11 20626794),(12 22996614),(13 25467310),(14 28052302),(15 30740466),(16 33531464),(17 36365670),(18 39149576),(19 41880440),(20 44565740),(21 47113040),(22 49393780),(23 51387964),(24 53195924),(25 54629932),(26 55931364),(27 57127376),(28 58314540),(29 59211976),(30 60073350),(31 61036900),(32 62142812),(33 63517484),(34 65032530),(35 66629960),(36 68330080),(37 70013096),(38 71596470),(39 73093430),(40 74248940),(41 75055064),(42 75438060),(43 75337510),(44 74784620),(45 73730860),(46 72276904),(47 70609576),(48 68884530),(49 67020800),(50 65292336),(51 63660820),(52 62121936),(53 60575360),(54 59047120),(55 57614732),(56 56300164),(57 55004588),(58 53786030),(59 52655788),(60 51887624),(61 51081840),(62 50251724),(63 49549950),(64 48981090),(65 48567676),(66 48280016),(67 48140944),(68 48144988),(69 48247710),(70 48590750),(71 49119344),(72 49766124),(73 50599508),(74 51607900),(75 52653016),(76 53770300),(77 54945980),(78 56193740),(79 57793596),
(1 432490),(2 1613194.9),(3 3381433.8),(4 5549157),(5 7916801.5),(6 10357251),(7 12812438),(8 15158745),(9 17412270),(10 19552242),(11 21625034),(12 23632034),(13 25673146),(14 27824872),(15 30019450),(16 32110376),(17 34182376),(18 36029052),(19 37638190),(20 38998812),(21 40165404),(22 41029184),(23 41558684),(24 41872624),(25 41830104),(26 41623420),(27 41391530),(28 41146236),(29 40628376),(30 40065180),(31 39554020),(32 39205188),(33 39308492),(34 39858830),(35 40867370),(36 42312984),(37 44061988),(38 45881104),(39 47691440),(40 49483844),(41 51021464),(42 52165004),(43 52744228),(44 52728870),(45 52076544),(46 50877136),(47 49291508),(48 47575050),(49 45678716),(50 43959628),(51 42517436),(52 41357670),(53 40435130),(54 39683896),(55 39025948),(56 38323636),(57 37460420),(58 36477132),(59 35410908),(60 34360948),(61 33376890),(62 32478874),(63 31770682),(64 31307052),(65 31179218),(66 31361928),(67 31894136),(68 32720948),(69 33793548),(70 35128332),(71 36660092),(72 38292924),(73 40023268),(74 41818124),(75 43541452),(76 45078276),(77 46419584),(78 47582956),(79 48605256),
(1 502672.3),(2 1862153.6),(3 3852596),(4 6215718),(5 8715734),(6 11175762),(7 13538006),(8 15753886),(9 17882108),(10 20003246),(11 22205860),(12 24560680),(13 27042502),(14 29763786),(15 32523468),(16 35118348),(17 37526320),(18 39692204),(19 41581504),(20 43150196),(21 44421836),(22 45405730),(23 46166010),(24 46785896),(25 47200212),(26 47394240),(27 47515624),(28 47683176),(29 48133776),(30 48671480),(31 49270824),(32 49867520),(33 50536816),(34 51261404),(35 52127736),(36 53162388),(37 54385524),(38 55778636),(39 57423960),(40 59109172),(41 60561030),(42 61612170),(43 62026184),(44 61695476),(45 60573836),(46 58711284),(47 56371096),(48 53813024),(49 51203970),(50 48767976),(51 46649090),(52 44971770),(53 43775060),(54 43002264),(55 42428224),(56 41856944),(57 41181616),(58 40353420),(59 39416390),(60 38592710),(61 37797388),(62 37187148),(63 36928170),(64 37034292),(65 37606250),(66 38567020),(67 39815484),(68 41460976),(69 43245470),(70 45306644),(71 47395576),(72 49483716),(73 51487092),(74 53305216),(75 54838476),(76 56099148),(77 57056780),(78 57588490),(79 57962720),
(1 482050.88),(2 1765595.9),(3 3593525),(4 5678556.5),(5 7771125.5),(6 9697698),(7 11403783),(8 12925012),(9 14316922),(10 15712489),(11 17194722),(12 18732080),(13 20361042),(14 21980418),(15 23421002),(16 24693788),(17 25810750),(18 26759892),(19 27609906),(20 28400866),(21 29181760),(22 29971122),(23 30778812),(24 31763556),(25 32733970),(26 33771930),(27 34840268),(28 35888440),(29 36907132),(30 37749764),(31 38373930),(32 38716956),(33 38880772),(34 39037230),(35 39208508),(36 39526080),(37 40034268),(38 40822284),(39 41894210),(40 42826052),(41 43618680),(42 44147610),(43 44255268),(44 43851344),(45 42855000),(46 41355520),(47 39556540),(48 37685612),(49 35936388),(50 34512270),(51 33513430),(52 32946830),(53 32719084),(54 32633792),(55 32487776),(56 32141666),(57 31562132),(58 30895646),(59 30255252),(60 29845106),(61 29566258),(62 29502100),(63 29742556),(64 30250678),(65 31006510),(66 31947452),(67 32964628),(68 34090050),(69 35191090),(70 36374230),(71 37490290),(72 38556220),(73 39506130),(74 40285264),(75 40909370),(76 41426884),(77 41804184),(78 42031460),(79 42194404),
(1 531984.1),(2 1960169.1),(3 3985849),(4 6258546),(5 8488316),(6 10472266),(7 12144173),(8 13509223),(9 14633195),(10 15582205),(11 16424342),(12 17139032),(13 17731146),(14 18177150),(15 18433112),(16 18554798),(17 18601240),(18 18582144),(19 18551838),(20 18548352),(21 18654246),(22 18931506),(23 19417220),(24 20196664),(25 21164868),(26 22335252),(27 23661122),(28 24977300),(29 26214430),(30 27335736),(31 28198978),(32 28737484),(33 28961192),(34 28925686),(35 28691240),(36 28405934),(37 28201194),(38 28242594),(39 28612488),(40 29166008),(41 29841464),(42 30498502),(43 30949742),(44 30999684),(45 30557570),(46 29671142),(47 28496402),(48 27197216),(49 25912700),(50 24807762),(51 23939892),(52 23363748),(53 23026482),(54 22874578),(55 22804074),(56 22774028),(57 22735630),(58 22763470),(59 22825014),(60 22993298),(61 23172868),(62 23442970),(63 23894232),(64 24407890),(65 24998394),(66 25598584),(67 26222284),(68 26801006),(69 27392256),(70 27999018),(71 28588288),(72 29130714),(73 29600640),(74 29987356),(75 30224200),(76 30337120),(77 30365326),(78 30299918),(79 30110092),
(1 518689.8),(2 1904266.5),(3 3831345.5),(4 5916303.5),(5 7855337.5),(6 9437539),(7 10623227),(8 11468312),(9 12081704),(10 12588006),(11 13071711),(12 13553689),(13 13962513),(14 14294443),(15 14513369),(16 14652469),(17 14762218),(18 14810217),(19 14836286),(20 14877540),(21 14983595),(22 15176386),(23 15489234),(24 15974974),(25 16609487),(26 17409844),(27 18335936),(28 19283546),(29 20112966),(30 20770196),(31 21281454),(32 21594394),(33 21741346),(34 21730172),(35 21476742),(36 20949488),(37 20181412),(38 19335946),(39 18642490),(40 18302610),(41 18306912),(42 18585686),(43 18961152),(44 19214806),(45 19174656),(46 18772736),(47 18103272),(48 17319160),(49 16589636),(50 16064567),(51 15830253),(52 15878084),(53 16141739),(54 16539213),(55 17010684),(56 17478170),(57 17925830),(58 18367658),(59 18813500),(60 19313984),(61 19713136),(62 20023938),(63 20283430),(64 20529092),(65 20815766),(66 21145540),(67 21526746),(68 21952256),(69 22392414),(70 22784600),(71 23074668),(72 23311680),(73 23491492),(74 23617270),(75 23646292),(76 23576392),(77 23368606),(78 23086960),(79 22780340),
(1 507435),(2 1835564.5),(3 3620098),(4 5461931.5),(5 7054022),(6 8225954.5),(7 8994076),(8 9501912),(9 9902837),(10 10335357),(11 10847923),(12 11366235),(13 11858898),(14 12284195),(15 12591799),(16 12845899),(17 13117997),(18 13352556),(19 13516608),(20 13600076),(21 13669291),(22 13722204),(23 13743232),(24 13759222),(25 13769064),(26 13820412),(27 13938414),(28 14161221),(29 14444727),(30 14867600),(31 15418734),(32 15947568),(33 16397154),(34 16688388),(35 16707698),(36 16409490),(37 15904142),(38 15385447),(39 15081015),(40 15026306),(41 15282028),(42 15821328),(43 16468953),(44 16991164),(45 17189700),(46 16949770),(47 16356743),(48 15628800),(49 14977525),(50 14566781),(51 14433097),(52 14508525),(53 14661596),(54 14782668),(55 14811085),(56 14772068),(57 14733908),(58 14724653),(59 14740302),(60 14755205),(61 14652505),(62 14462189),(63 14276577),(64 14133305),(65 14056064),(66 14067886),(67 14220468),(68 14507662),(69 14979970),(70 15587580),(71 16192581),(72 16785632),(73 17299290),(74 17702856),(75 17928790),(76 18021258),(77 18007752),(78 17928064),(79 17868564),
(1 517708.66),(2 1847630.4),(3 3563103),(4 5240662),(5 6599575),(6 7555419.5),(7 8206724),(8 8733931),(9 9268354),(10 9821453),(11 10358302),(12 10777737),(13 11058083),(14 11290824),(15 11571712),(16 11908856),(17 12261638),(18 12605388),(19 12967565),(20 13316528),(21 13620616),(22 13859210),(23 14022396),(24 14104567),(25 14110380),(26 14035810),(27 13944274),(28 13922991),(29 13983215),(30 14214252),(31 14592472),(32 14992550),(33 15345418),(34 15615095),(35 15653192),(36 15386491),(37 14878044),(38 14258280),(39 13687243),(40 13364439),(41 13474566),(42 14019829),(43 14859532),(44 15650758),(45 16132472),(46 16139546),(47 15760294),(48 15247143),(49 14817886),(50 14675737),(51 14803557),(52 15081331),(53 15327029),(54 15464676),(55 15494356),(56 15511406),(57 15602684),(58 15784990),(59 16003063),(60 16189018),(61 16218366),(62 16114193),(63 15949336),(64 15814016),(65 15787352),(66 15806398),(67 15896806),(68 16084173),(69 16313175),(70 16601815),(71 16876528),(72 17076478),(73 17096370),(74 16950614),(75 16639155),(76 16224087),(77 15752887),(78 15301432),(79 14915720),
