1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 41411.168),(2 83145.31),(3 159794.36),(4 240187.02),(5 347079.34),(6 481402.1),(7 632350.75),(8 790483.44),(9 961354.7),(10 1151021),(11 1346749.1),(12 1542847.6),(13 1756165),(14 1954430.1),(15 2179733.8),(16 2403836.8),(17 2636627.8),(18 2840831.3),(19 3048512),(20 3284992.8),(21 3525082.3),(22 3790431.8),(23 4061067),(24 4357568),(25 4686451.5),(26 5066600),(27 5485778),(28 5903065.5),(29 6310624),(30 6739277.5),(31 7140824),(32 7671886.5),(33 8278331.5),(34 8828337),(35 9366854),(36 9933931),(37 10495457),(38 11123331),(39 11777407),(40 12415968),(41 13066888),(42 13711088),(43 14372781),(44 15036121),(45 15664696),(46 16334761),(47 16987382),(48 17684714),(49 18316202),(50 18991178),(51 19725368),(52 20521630),(53 21361248),(54 22194394),(55 22990530),(56 23720496),(57 24413046),(58 25087648),(59 25708746),(60 26361570),(61 27048294),(62 27746154),(63 28541802),(64 29303354),(65 30092736),(66 30887528),(67 31721558),(68 32571302),(69 33400384),(70 34353676),(71 35251800),(72 36095708),(73 36913084),(74 37614610),(75 38406476),(76 39152004),(77 39928176),(78 40756440),(79 41746776),
(1 27171.287),(2 90596.11),(3 196487.16),(4 331123.16),(5 493851.2),(6 679760.6),(7 909934.5),(8 1172260.8),(9 1479248.3),(10 1824768.4),(11 2197034),(12 2602290.5),(13 3022566.5),(14 3471455.3),(15 3983570.5),(16 4478238),(17 5012300),(18 5539645),(19 6078490),(20 6633179),(21 7215344),(22 7802185),(23 8396189),(24 9021565),(25 9666976),(26 10359107),(27 11112954),(28 11914543),(29 12780751),(30 13654565),(31 14529277),(32 15491858),(33 16546330),(34 17571290),(35 18626556),(36 19645008),(37 20717996),(38 21828854),(39 22957496),(40 24055220),(41 25093334),(42 26176636),(43 27342944),(44 28611580),(45 29901126),(46 31280454),(47 32734886),(48 34270268),(49 35663420),(50 37072564),(51 38476732),(52 39889044),(53 41289700),(54 42678720),(55 44061520),(56 45355700),(57 46611640),(58 47848376),(59 48985224),(60 50097030),(61 51177576),(62 52179190),(63 53175212),(64 54168440),(65 55116230),(66 55945944),(67 56576824),(68 57039176),(69 57495656),(70 58016680),(71 58399450),(72 58671770),(73 58878616),(74 58961664),(75 59029750),(76 59025716),(77 58914252),(78 58691500),(79 58547148),
(1 49663.613),(2 187716.05),(3 427222.88),(4 751218.7),(5 1162821.6),(6 1660382.6),(7 2247386.3),(8 2929482),(9 3694360),(10 4554672.5),(11 5490504.5),(12 6504588),(13 7579820),(14 8714781),(15 9926585),(16 11162144),(17 12449436),(18 13839504),(19 15265571),(20 16717135),(21 18241070),(22 19774768),(23 21354392),(24 22995752),(25 24680864),(26 26383602),(27 28141414),(28 29951942),(29 31858282),(30 33789020),(31 35708420),(32 37785668),(33 40052224),(34 42344076),(35 44682236),(36 46999668),(37 49334964),(38 51669600),(39 54043956),(40 56351388),(41 58528924),(42 60766732),(43 63072468),(44 65454836),(45 67852220),(46 70375050),(47 73043480),(48 75733370),(49 78272680),(50 80709576),(51 83238490),(52 85853910),(53 88454920),(54 91040700),(55 93547620),(56 95927384),(57 98217280),(58 100477890),(59 102669270),(60 104824840),(61 107029910),(62 109074024),(63 111147530),(64 113282344),(65 115372360),(66 117390104),(67 119152450),(68 120725400),(69 122349570),(70 123995800),(71 125370344),(72 126674940),(73 127816060),(74 128993410),(75 130164840),(76 131168580),(77 131998090),(78 132648490),(79 133208280),
(1 66231.34),(2 247879.17),(3 540281.25),(4 915622.56),(5 1377386.5),(6 1925772.3),(7 2554031.3),(8 3243030.8),(9 3966540.5),(10 4729700),(11 5528170.5),(12 6361069),(13 7191304),(14 8017044.5),(15 8860727),(16 9703208),(17 10515749),(18 11327778),(19 12106780),(20 12855644),(21 13576072),(22 14283965),(23 15007273),(24 15737829),(25 16514080),(26 17284448),(27 18089334),(28 18900374),(29 19724954),(30 20534038),(31 21331592),(32 22145352),(33 23017850),(34 23852484),(35 24662856),(36 25431410),(37 26156508),(38 26804432),(39 27372880),(40 27848680),(41 28248462),(42 28651266),(43 29023128),(44 29376234),(45 29683556),(46 30010802),(47 30337138),(48 30571768),(49 30752612),(50 30893518),(51 31067918),(52 31263560),(53 31477134),(54 31747848),(55 32040942),(56 32384648),(57 32724434),(58 33144074),(59 33656220),(60 34234492),(61 34832750),(62 35481188),(63 36085616),(64 36645524),(65 37219500),(66 37805620),(67 38424956),(68 39007624),(69 39580996),(70 40234060),(71 40893228),(72 41564396),(73 42179744),(74 42782012),(75 43381604),(76 43967780),(77 44530496),(78 45006800),(79 45519290),
(1 49148.66),(2 177322.44),(3 376352.4),(4 629320.56),(5 937542.4),(6 1293277.3),(7 1688872.8),(8 2131719),(9 2620422.5),(10 3158692.3),(11 3733936),(12 4315613.5),(13 4908694.5),(14 5527137),(15 6171755),(16 6827128.5),(17 7477246.5),(18 8165980.5),(19 8871600),(20 9598473),(21 10332956),(22 11082990),(23 11866890),(24 12664800),(25 13479005),(26 14320119),(27 15211223),(28 16130927),(29 17073428),(30 18010924),(31 18908110),(32 19821950),(33 20763016),(34 21691818),(35 22583962),(36 23420638),(37 24223034),(38 24970142),(39 25605306),(40 26176786),(41 26709830),(42 27201666),(43 27652352),(44 28068206),(45 28438708),(46 28841402),(47 29292322),(48 29675834),(49 29992948),(50 30288602),(51 30500256),(52 30695680),(53 30913582),(54 31160594),(55 31434462),(56 31713310),(57 32000192),(58 32329030),(59 32687380),(60 33044754),(61 33410714),(62 33746136),(63 34018224),(64 34228668),(65 34416388),(66 34616130),(67 34802876),(68 34857092),(69 34912176),(70 35040380),(71 35146500),(72 35280148),(73 35397340),(74 35455860),(75 35530720),(76 35615948),(77 35692668),(78 35747652),(79 35807170),
(1 45089.805),(2 162470.05),(3 341514.56),(4 570995.4),(5 847591.8),(6 1157982.3),(7 1503532.3),(8 1876061.6),(9 2270348.3),(10 2699540.8),(11 3142461.5),(12 3579726.5),(13 4009060.8),(14 4452513),(15 4920071),(16 5410844.5),(17 5924996),(18 6493635),(19 7083016),(20 7667126.5),(21 8250817.5),(22 8842434),(23 9445807),(24 10065965),(25 10657448),(26 11234080),(27 11870509),(28 12540358),(29 13238624),(30 13922757),(31 14614298),(32 15311954),(33 16055862),(34 16785940),(35 17520914),(36 18224500),(37 18886516),(38 19508694),(39 20067156),(40 20563142),(41 20989690),(42 21428250),(43 21836162),(44 22196100),(45 22464694),(46 22726684),(47 23033060),(48 23306656),(49 23485532),(50 23676158),(51 23755764),(52 23760416),(53 23782332),(54 23811538),(55 23875988),(56 23990022),(57 24158492),(58 24364876),(59 24597008),(60 24855932),(61 25139228),(62 25450022),(63 25803846),(64 26159178),(65 26580730),(66 27082144),(67 27641300),(68 28231440),(69 28886388),(70 29681728),(71 30557068),(72 31525820),(73 32599152),(74 33785250),(75 35077708),(76 36395610),(77 37773744),(78 39173544),(79 40505504),
(1 58519.75),(2 211165.61),(3 446994.94),(4 739074.56),(5 1084530.3),(6 1487936.1),(7 1944751.4),(8 2434648.5),(9 2951482.5),(10 3504062.5),(11 4071198.8),(12 4655169),(13 5271247),(14 5900149.5),(15 6556442),(16 7227015.5),(17 7936912.5),(18 8632505),(19 9305481),(20 10021936),(21 10714987),(22 11403422),(23 12090823),(24 12793168),(25 13495717),(26 14193868),(27 14947834),(28 15727705),(29 16585431),(30 17461870),(31 18369364),(32 19304384),(33 20256380),(34 21173792),(35 22035228),(36 22856600),(37 23652284),(38 24407364),(39 25099862),(40 25736044),(41 26330318),(42 26903762),(43 27449780),(44 27958450),(45 28403350),(46 28847476),(47 29281784),(48 29658838),(49 29920204),(50 30179324),(51 30324886),(52 30368992),(53 30401942),(54 30369652),(55 30348428),(56 30342834),(57 30373464),(58 30394462),(59 30409164),(60 30424510),(61 30434888),(62 30439460),(63 30524348),(64 30629474),(65 30743498),(66 30869568),(67 31027748),(68 31208056),(69 31386860),(70 31649768),(71 31949182),(72 32290786),(73 32705084),(74 33127094),(75 33662652),(76 34240536),(77 34844230),(78 35435452),(79 36007240),
(1 60232.008),(2 219510.86),(3 465808.94),(4 775960.06),(5 1139122.4),(6 1550433.6),(7 2003308.3),(8 2492537),(9 2996484.8),(10 3519745),(11 4040949.8),(12 4564379.5),(13 5085174),(14 5593826.5),(15 6086802.5),(16 6559605.5),(17 7018711.5),(18 7455259.5),(19 7871890),(20 8288815.5),(21 8693794),(22 9089435),(23 9481475),(24 9867761),(25 10279835),(26 10702498),(27 11179613),(28 11691328),(29 12190223),(30 12693886),(31 13204830),(32 13764443),(33 14327434),(34 14860457),(35 15416422),(36 15968461),(37 16521604),(38 17032578),(39 17521850),(40 17996382),(41 18474144),(42 18931882),(43 19370338),(44 19785322),(45 20129362),(46 20441148),(47 20713014),(48 20966770),(49 21165254),(50 21379498),(51 21612126),(52 21849186),(53 22072072),(54 22271678),(55 22465010),(56 22629602),(57 22758500),(58 22886746),(59 22995730),(60 23082584),(61 23165636),(62 23278520),(63 23440600),(64 23613538),(65 23823228),(66 24050972),(67 24274018),(68 24528444),(69 24775160),(70 25013596),(71 25227964),(72 25402386),(73 25557332),(74 25680360),(75 25812962),(76 25930186),(77 26035734),(78 26120870),(79 26211222),
(1 46112.125),(2 168403.7),(3 357588),(4 601919.06),(5 905152.25),(6 1257955),(7 1654538.6),(8 2084852.3),(9 2539155.3),(10 3013487.5),(11 3501832),(12 3992398),(13 4484276),(14 4961759),(15 5436846),(16 5893797.5),(17 6342487),(18 6778285.5),(19 7188276),(20 7578011.5),(21 7947206.5),(22 8277893.5),(23 8608465),(24 8917080),(25 9209022),(26 9486221),(27 9799048),(28 10120975),(29 10426601),(30 10744434),(31 11063377),(32 11384499),(33 11745714),(34 12097144),(35 12469888),(36 12847556),(37 13230202),(38 13620329),(39 14000843),(40 14352690),(41 14710712),(42 15059302),(43 15402650),(44 15719508),(45 16029231),(46 16361427),(47 16725918),(48 17124012),(49 17525522),(50 17954270),(51 18398096),(52 18866718),(53 19358464),(54 19814826),(55 20225134),(56 20620472),(57 20976912),(58 21283546),(59 21521040),(60 21702338),(61 21873062),(62 22034402),(63 22162252),(64 22256832),(65 22367692),(66 22460792),(67 22499422),(68 22507222),(69 22458188),(70 22350928),(71 22228216),(72 22069086),(73 21894574),(74 21711200),(75 21548208),(76 21393576),(77 21226270),(78 21074438),(79 20953340),
(1 43214.668),(2 151785.8),(3 312709.5),(4 516950.44),(5 764847.56),(6 1043369),(7 1354468.4),(8 1685426),(9 2030612),(10 2392444.8),(11 2765167),(12 3141527),(13 3527857.3),(14 3924957.8),(15 4323662),(16 4708304),(17 5096123.5),(18 5493806),(19 5889226.5),(20 6303083.5),(21 6711585.5),(22 7107082),(23 7514999),(24 7947218.5),(25 8389356),(26 8841414),(27 9337418),(28 9876296),(29 10480852),(30 11098763),(31 11713013),(32 12367602),(33 13084555),(34 13814263),(35 14540161),(36 15255520),(37 16005269),(38 16773915),(39 17539626),(40 18309060),(41 19079570),(42 19845742),(43 20622290),(44 21342338),(45 22053324),(46 22771384),(47 23468322),(48 24154958),(49 24788212),(50 25402424),(51 25939282),(52 26430434),(53 26858414),(54 27192416),(55 27417284),(56 27548308),(57 27599914),(58 27574898),(59 27458184),(60 27292114),(61 27088326),(62 26831928),(63 26509560),(64 26142092),(65 25745472),(66 25320914),(67 24875208),(68 24388866),(69 23865472),(70 23362862),(71 22841648),(72 22345070),(73 21864502),(74 21410752),(75 21015374),(76 20692430),(77 20448696),(78 20295608),(79 20214734),
(1 49047.715),(2 177792.4),(3 375769.1),(4 629018.94),(5 933418.4),(6 1288264.8),(7 1693783),(8 2129726),(9 2581864.5),(10 3064336.5),(11 3566584),(12 4077496.5),(13 4598538.5),(14 5120593),(15 5648263.5),(16 6147413),(17 6663228),(18 7170281),(19 7670028.5),(20 8190590),(21 8674953),(22 9138601),(23 9582854),(24 10008214),(25 10379503),(26 10695576),(27 11033840),(28 11334751),(29 11594726),(30 11817536),(31 12018884),(32 12217114),(33 12410455),(34 12609882),(35 12836764),(36 13037555),(37 13277284),(38 13524280),(39 13784130),(40 14057575),(41 14350372),(42 14662864),(43 15030340),(44 15422762),(45 15889329),(46 16389557),(47 16914914),(48 17435218),(49 18010460),(50 18634454),(51 19254734),(52 19857540),(53 20436030),(54 20981538),(55 21505700),(56 21992988),(57 22442114),(58 22871842),(59 23278486),(60 23680400),(61 24068706),(62 24449428),(63 24759172),(64 25051596),(65 25274282),(66 25482634),(67 25650666),(68 25745840),(69 25789564),(70 25814796),(71 25796706),(72 25697716),(73 25519296),(74 25309862),(75 25126170),(76 24935184),(77 24794420),(78 24666998),(79 24565408),
