1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 64354),(2 199728.61),(3 424289.9),(4 737001.3),(5 1125724),(6 1600681.6),(7 2175078.8),(8 2790770.3),(9 3467397),(10 4199146.5),(11 4962874.5),(12 5775506.5),(13 6652462.5),(14 7617696),(15 8604471),(16 9692388),(17 10807944),(18 12084757),(19 13447115),(20 14974432),(21 16711649),(22 18523774),(23 20518132),(24 22544632),(25 24436864),(26 26307038),(27 27960554),(28 29690142),(29 31373848),(30 33035098),(31 34691824),(32 36527916),(33 38461810),(34 40404820),(35 42368292),(36 44424644),(37 46489988),(38 48772124),(39 50859892),(40 52835180),(41 54762076),(42 56564464),(43 58237724),(44 59693852),(45 60969940),(46 62310656),(47 63582188),(48 65160780),(49 66881744),(50 68539770),(51 70675896),(52 72774616),(53 74787240),(54 77025590),(55 79061150),(56 81022920),(57 82801544),(58 84949896),(59 86904790),(60 88843280),(61 90723416),(62 92584900),(63 94337210),(64 96092930),(65 98047320),(66 100092936),(67 102243110),(68 104567130),(69 106607944),(70 108765180),(71 111103360),(72 113407670),(73 115478720),(74 117871544),(75 120266300),(76 122755080),(77 125287464),(78 128245560),(79 131177690),
(1 47659.13),(2 151613.11),(3 323270.75),(4 559373.8),(5 849272.6),(6 1191133.8),(7 1574702.9),(8 1974870.8),(9 2409176.8),(10 2876109.3),(11 3370448.8),(12 3900421.5),(13 4478200),(14 5095732),(15 5763233),(16 6432199),(17 7140371),(18 7882117),(19 8679002),(20 9516672),(21 10491473),(22 11491518),(23 12603045),(24 13787976),(25 14982880),(26 16140574),(27 17233860),(28 18374492),(29 19537868),(30 20669908),(31 21872716),(32 23123476),(33 24485368),(34 25803124),(35 27176820),(36 28654458),(37 30228288),(38 31834842),(39 33502256),(40 35117940),(41 36827412),(42 38413876),(43 39938376),(44 41394856),(45 42773988),(46 44089896),(47 45362744),(48 46730244),(49 48158950),(50 49437828),(51 50924496),(52 52314676),(53 53672750),(54 55051550),(55 56330764),(56 57481780),(57 58501344),(58 59502068),(59 60413030),(60 61218292),(61 61986060),(62 62601304),(63 63122970),(64 63502860),(65 63876500),(66 64112510),(67 64307530),(68 64446516),(69 64683864),(70 64836980),(71 65135590),(72 65425304),(73 65660236),(74 65994790),(75 66160148),(76 66344896),(77 66506790),(78 66740584),(79 66947270),
(1 52963.56),(2 188588.38),(3 391222.34),(4 653425.94),(5 969560.75),(6 1322319.9),(7 1703554.6),(8 2107034),(9 2541703.8),(10 3005522.8),(11 3490342.3),(12 3991563.3),(13 4498786),(14 5036625.5),(15 5623804.5),(16 6247339.5),(17 6895845.5),(18 7574150),(19 8278105.5),(20 9043903),(21 9832840),(22 10619924),(23 11423767),(24 12262728),(25 13146735),(26 14047531),(27 14962499),(28 15929459),(29 16937414),(30 17969614),(31 19037552),(32 20148814),(33 21354738),(34 22689386),(35 24143822),(36 25667674),(37 27315712),(38 28972510),(39 30736632),(40 32489186),(41 34273810),(42 36011244),(43 37775500),(44 39513828),(45 41315500),(46 43154260),(47 45043212),(48 46993044),(49 48955524),(50 50773744),(51 52738164),(52 54662880),(53 56484864),(54 58437652),(55 60200940),(56 61772388),(57 63113740),(58 64464532),(59 65610124),(60 66655148),(61 67550590),(62 68325310),(63 68912024),(64 69405656),(65 69796630),(66 70058040),(67 70117690),(68 70140730),(69 70081860),(70 69868390),(71 69668744),(72 69318890),(73 68780330),(74 68188260),(75 67486984),(76 66776908),(77 65705556),(78 64863412),(79 63896876),
(1 98920.96),(2 368784.38),(3 800084.75),(4 1397712.5),(5 2140337.3),(6 3016637),(7 4023845),(8 5140002),(9 6382338.5),(10 7734546.5),(11 9195470),(12 10749571),(13 12316056),(14 13942648),(15 15547744),(16 17195762),(17 18835812),(18 20521090),(19 22212054),(20 23909442),(21 25622346),(22 27280968),(23 28950340),(24 30559214),(25 32107534),(26 33575184),(27 34908664),(28 36174216),(29 37391660),(30 38559904),(31 39670444),(32 40727972),(33 41770348),(34 42907600),(35 44091660),(36 45294436),(37 46571804),(38 47840064),(39 49149704),(40 50453240),(41 51743450),(42 52980760),(43 54242360),(44 55419410),(45 56660384),(46 57974500),(47 59376616),(48 60837384),(49 62330824),(50 63780920),(51 65368250),(52 66943930),(53 68461130),(54 70087350),(55 71642530),(56 72978856),(57 74132820),(58 75280184),(59 76274190),(60 77121170),(61 77888290),(62 78603830),(63 79105390),(64 79466950),(65 79723940),(66 79837384),(67 79761380),(68 79684296),(69 79611740),(70 79389464),(71 79132744),(72 78696360),(73 78200360),(74 77587416),(75 76880240),(76 76162700),(77 75055330),(78 74389100),(79 73571544),
(1 106462.82),(2 402933.38),(3 876335.6),(4 1528209.6),(5 2355921.8),(6 3340735.3),(7 4485334),(8 5754533),(9 7167370),(10 8676567),(11 10315272),(12 12072920),(13 13850519),(14 15717121),(15 17571314),(16 19510382),(17 21409822),(18 23341368),(19 25295814),(20 27249250),(21 29235672),(22 31166312),(23 33113638),(24 35061436),(25 36965100),(26 38776836),(27 40371504),(28 41886230),(29 43362596),(30 44792988),(31 46246412),(32 47630096),(33 49019610),(34 50426216),(35 51851788),(36 53339588),(37 54814000),(38 56308696),(39 57834024),(40 59404476),(41 60955252),(42 62444700),(43 63969308),(44 65439080),(45 66926628),(46 68413790),(47 69854920),(48 71258870),(49 72719290),(50 74131320),(51 75630590),(52 76980780),(53 78114160),(54 79250120),(55 80164710),(56 80956424),(57 81651020),(58 82402744),(59 82982990),(60 83549430),(61 83954350),(62 84092870),(63 84091410),(64 83928970),(65 83547210),(66 82970580),(67 82378130),(68 81595320),(69 80608280),(70 79606170),(71 78626460),(72 77471850),(73 76146350),(74 74815880),(75 73315420),(76 71800660),(77 70571870),(78 68908104),(79 67407336),
(1 129764),(2 491210.4),(3 1077433.8),(4 1894338),(5 2942325.3),(6 4186953.3),(7 5640917),(8 7229912),(9 8965797),(10 10786482),(11 12689378),(12 14647718),(13 16588152),(14 18569916),(15 20556876),(16 22624492),(17 24639786),(18 26657060),(19 28685350),(20 30694314),(21 32720236),(22 34620510),(23 36530436),(24 38370430),(25 40120084),(26 41790220),(27 43301004),(28 44664172),(29 45913950),(30 47025468),(31 48131270),(32 49214656),(33 50325276),(34 51494900),(35 52654624),(36 53840896),(37 55108610),(38 56424268),(39 57857410),(40 59203520),(41 60537536),(42 61788852),(43 62967880),(44 64055384),(45 65019224),(46 65927016),(47 66692980),(48 67387470),(49 68007720),(50 68392030),(51 68806660),(52 69055780),(53 69128216),(54 69175770),(55 69027416),(56 68814410),(57 68525740),(58 68286800),(59 67955380),(60 67516370),(61 66998824),(62 66300332),(63 65553576),(64 64734228),(65 63887744),(66 62973224),(67 62002840),(68 61041816),(69 59924596),(70 58854344),(71 57819436),(72 56787188),(73 55766890),(74 54823296),(75 53971584),(76 53124556),(77 52606216),(78 51900710),(79 51359990),
(1 141496.44),(2 538482.6),(3 1180511.5),(4 2054615.5),(5 3146112.3),(6 4405136),(7 5813890.5),(8 7315263),(9 8923373),(10 10570842),(11 12281178),(12 14022080),(13 15737216),(14 17412204),(15 19100430),(16 20728414),(17 22265422),(18 23730048),(19 25096896),(20 26396478),(21 27595294),(22 28638216),(23 29615860),(24 30394036),(25 31028578),(26 31569660),(27 32021442),(28 32352728),(29 32595850),(30 32749080),(31 32929962),(32 33119164),(33 33326840),(34 33602244),(35 33962140),(36 34413316),(37 34937212),(38 35560344),(39 36186620),(40 36766724),(41 37350856),(42 37952640),(43 38553064),(44 39174840),(45 39809616),(46 40442516),(47 41078916),(48 41693020),(49 42297210),(50 42838524),(51 43395620),(52 43918930),(53 44362500),(54 44878720),(55 45359110),(56 45730260),(57 46071190),(58 46392184),(59 46687256),(60 46899310),(61 47087624),(62 47261188),(63 47392212),(64 47541776),(65 47691644),(66 47828316),(67 47966936),(68 48093360),(69 48208788),(70 48353304),(71 48558950),(72 48786480),(73 49006340),(74 49222936),(75 49320190),(76 49315130),(77 49388470),(78 49354130),(79 49392904),
(1 139954),(2 530257.3),(3 1149793.8),(4 1985204.1),(5 3007049.5),(6 4189039.8),(7 5518438),(8 6933772.5),(9 8418812),(10 9925427),(11 11453583),(12 13025545),(13 14568714),(14 16076828),(15 17489620),(16 18871284),(17 20155928),(18 21380314),(19 22529454),(20 23645798),(21 24695858),(22 25574894),(23 26324838),(24 26928196),(25 27449766),(26 27928892),(27 28259558),(28 28460758),(29 28592788),(30 28612876),(31 28570134),(32 28520620),(33 28436202),(34 28316428),(35 28192980),(36 28024682),(37 27862414),(38 27732684),(39 27639692),(40 27515520),(41 27323704),(42 27116198),(43 26902180),(44 26658816),(45 26445694),(46 26265442),(47 26103924),(48 25980900),(49 25923878),(50 25849830),(51 25843722),(52 25857774),(53 25829208),(54 25834052),(55 25764756),(56 25682794),(57 25624244),(58 25629788),(59 25678656),(60 25750414),(61 25816722),(62 25865800),(63 25984284),(64 26136874),(65 26331818),(66 26607768),(67 26997206),(68 27451118),(69 27904578),(70 28426926),(71 28980612),(72 29530862),(73 30093064),(74 30666794),(75 31182082),(76 31692518),(77 32388408),(78 32986114),(79 33605230),
(1 148008.38),(2 559830),(3 1213262.6),(4 2094732.8),(5 3156100.5),(6 4364792.5),(7 5712870.5),(8 7139867),(9 8650018),(10 10195763),(11 11779617),(12 13368536),(13 14915816),(14 16413941),(15 17807504),(16 19137572),(17 20344272),(18 21469940),(19 22464826),(20 23348694),(21 24135096),(22 24815380),(23 25386662),(24 25851520),(25 26186064),(26 26464538),(27 26623288),(28 26672370),(29 26676690),(30 26613058),(31 26515592),(32 26399902),(33 26243364),(34 26060016),(35 25849198),(36 25643376),(37 25413978),(38 25193544),(39 25013994),(40 24837122),(41 24637152),(42 24467088),(43 24314490),(44 24223224),(45 24195310),(46 24240938),(47 24356754),(48 24548374),(49 24802198),(50 25060070),(51 25370352),(52 25671760),(53 25944334),(54 26245990),(55 26530114),(56 26850492),(57 27176982),(58 27569674),(59 27977634),(60 28377848),(61 28757914),(62 29126096),(63 29473680),(64 29846062),(65 30266448),(66 30758298),(67 31313532),(68 31905156),(69 32632516),(70 33372792),(71 34148590),(72 34958690),(73 35805290),(74 36704530),(75 37620404),(76 38543964),(77 39505800),(78 40470880),(79 41417336),
(1 119853.57),(2 452367.72),(3 984961.1),(4 1712056.3),(5 2613819),(6 3647125),(7 4821696),(8 6073691.5),(9 7407374),(10 8765611),(11 10123062),(12 11492361),(13 12813902),(14 14082949),(15 15255339),(16 16402249),(17 17455546),(18 18421010),(19 19279040),(20 20035842),(21 20686030),(22 21280512),(23 21828178),(24 22289182),(25 22677080),(26 23042212),(27 23382382),(28 23637784),(29 23862692),(30 24073536),(31 24239920),(32 24427736),(33 24615794),(34 24801532),(35 25032638),(36 25334792),(37 25691904),(38 26119900),(39 26569208),(40 27025572),(41 27501222),(42 28041554),(43 28597314),(44 29176652),(45 29800680),(46 30450492),(47 31113960),(48 31783240),(49 32420416),(50 33019684),(51 33589068),(52 34064576),(53 34482360),(54 34902770),(55 35234788),(56 35554916),(57 35789136),(58 35941668),(59 36045584),(60 36108068),(61 36122450),(62 36062356),(63 36001870),(64 35903430),(65 35762436),(66 35603812),(67 35443824),(68 35286976),(69 35047508),(70 34884996),(71 34826664),(72 34790892),(73 34741524),(74 34719216),(75 34656620),(76 34545040),(77 34541520),(78 34452460),(79 34398492),
(1 153290.48),(2 583199.75),(3 1264375.6),(4 2172850.3),(5 3267834.8),(6 4479529.5),(7 5801641.5),(8 7151919.5),(9 8529092),(10 9813932),(11 11023773),(12 12146034),(13 13107304),(14 13925668),(15 14631098),(16 15161210),(17 15529704),(18 15739718),(19 15806483),(20 15735199),(21 15535803),(22 15252973),(23 14927864),(24 14526985),(25 14112604),(26 13718858),(27 13392314),(28 13114965),(29 12927639),(30 12805779),(31 12718993),(32 12694189),(33 12711611),(34 12785488),(35 12913253),(36 13081410),(37 13322638),(38 13632741),(39 13975178),(40 14374696),(41 14770001),(42 15166951),(43 15549658),(44 15912241),(45 16311010),(46 16718509),(47 17133156),(48 17567702),(49 18044492),(50 18572426),(51 19176914),(52 19770654),(53 20359706),(54 20997110),(55 21618504),(56 22213652),(57 22743220),(58 23270992),(59 23711170),(60 24090474),(61 24397200),(62 24663396),(63 24859334),(64 25014590),(65 25154908),(66 25260386),(67 25300300),(68 25275576),(69 25192522),(70 24998452),(71 24752516),(72 24447804),(73 24121072),(74 23751570),(75 23348830),(76 22937824),(77 22539306),(78 22119914),(79 21696884),
