1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 42611.33),(2 152481.08),(3 331447),(4 570750.44),(5 862734.5),(6 1199642.3),(7 1589821.4),(8 2037098.5),(9 2439309.8),(10 2834958.8),(11 3215639),(12 3587766),(13 3956514),(14 4282105.5),(15 4581404.5),(16 4857129.5),(17 5098765.5),(18 5360585.5),(19 5612566.5),(20 5864004.5),(21 6120026.5),(22 6366212),(23 6628169.5),(24 6855410.5),(25 7058902),(26 7238155.5),(27 7412186),(28 7543448),(29 7632901.5),(30 7714183.5),(31 7821576.5),(32 7912129.5),(33 7990794),(34 8056834.5),(35 8110555.5),(36 8182371.5),(37 8265905.5),(38 8378173.5),(39 8484129),(40 8576789),(41 8663435),(42 8749552),(43 8837339),(44 8921824),(45 9019118),(46 9125651),(47 9261045),(48 9385691),(49 9479891),(50 9590031),(51 9709287),(52 9815499),(53 9935544),(54 10063925),(55 10182703),(56 10294311),(57 10388243),(58 10445551),(59 10466478),(60 10460636),(61 10476990),(62 10499401),(63 10553481),(64 10593099),(65 10641004),(66 10671091),(67 10698131),(68 10694245),(69 10675788),(70 10644111),(71 10623083),(72 10589457),(73 10507450),(74 10391472),(75 10261127),(76 10076737),(77 9880427),(78 9657988),(79 9483186),
(1 37732.105),(2 133562.67),(3 287285.44),(4 475406.8),(5 695909.3),(6 942806.6),(7 1223792.3),(8 1514924.4),(9 1774055.3),(10 2033352.8),(11 2284739.5),(12 2521434.5),(13 2757905.5),(14 2966978.8),(15 3153241.5),(16 3332668.8),(17 3491786),(18 3655690),(19 3812488),(20 3939374.5),(21 4081196.8),(22 4226743),(23 4383095),(24 4538569),(25 4681761),(26 4827568),(27 4988115),(28 5160138),(29 5338287),(30 5486725),(31 5662944.5),(32 5830641),(33 6004459),(34 6174149),(35 6328457),(36 6489921.5),(37 6635060),(38 6803879),(39 6962015),(40 7116973),(41 7285312),(42 7459391),(43 7654057.5),(44 7877613),(45 8122929.5),(46 8387101),(47 8672442),(48 8947882),(49 9207764),(50 9456362),(51 9716330),(52 9977006),(53 10240634),(54 10531728),(55 10813035),(56 11087237),(57 11350817),(58 11578768),(59 11794672),(60 11961538),(61 12215430),(62 12492819),(63 12790599),(64 13057173),(65 13307666),(66 13547107),(67 13769810),(68 13968120),(69 14127800),(70 14240624),(71 14338038),(72 14407139),(73 14423728),(74 14415805),(75 14370739),(76 14279686),(77 14173757),(78 14035614),(79 13938603),
(1 38183.72),(2 133913),(3 283695.34),(4 467009.4),(5 679578.94),(6 912227.06),(7 1169847.9),(8 1428159.5),(9 1666195.9),(10 1887400.4),(11 2109642.8),(12 2322636),(13 2532520.8),(14 2716296.3),(15 2883869.3),(16 3030696.8),(17 3168166),(18 3302132.8),(19 3429902),(20 3546152.3),(21 3670636.8),(22 3789154.8),(23 3907330),(24 4000092.3),(25 4071228.8),(26 4125025.3),(27 4167636),(28 4181429.3),(29 4188109.3),(30 4200126),(31 4232032),(32 4285336.5),(33 4358189.5),(34 4424436),(35 4503937),(36 4588994.5),(37 4674719),(38 4778838.5),(39 4888924.5),(40 5022466.5),(41 5141538),(42 5254149.5),(43 5383466.5),(44 5539614.5),(45 5716489.5),(46 5907386.5),(47 6116118.5),(48 6321156.5),(49 6557072),(50 6818236),(51 7066770.5),(52 7282505.5),(53 7469196),(54 7642886.5),(55 7794972),(56 7938181.5),(57 8086160.5),(58 8233442.5),(59 8406229),(60 8567721),(61 8727315),(62 8916675),(63 9090791),(64 9243905),(65 9370058),(66 9487612),(67 9581278),(68 9622251),(69 9641699),(70 9649121),(71 9635377),(72 9594889),(73 9578060),(74 9581516),(75 9581903),(76 9581675),(77 9583281),(78 9609003),(79 9661809),
(1 36792.82),(2 126652.25),(3 264194.22),(4 433450.66),(5 626283.1),(6 828143.56),(7 1045902),(8 1265018.8),(9 1461782.4),(10 1641082.5),(11 1815483.3),(12 1980663.8),(13 2153725.3),(14 2306672.5),(15 2451975),(16 2584254.5),(17 2706194.8),(18 2826761),(19 2945660.8),(20 3062523),(21 3179003.8),(22 3297571.8),(23 3408667.3),(24 3524577.3),(25 3632073.8),(26 3744057.8),(27 3852831),(28 3960104.5),(29 4056172.5),(30 4157207),(31 4247869.5),(32 4358144),(33 4460487),(34 4572803),(35 4678634),(36 4815118),(37 4937810),(38 5085806),(39 5211248.5),(40 5365683.5),(41 5492177),(42 5644989),(43 5798305),(44 5986741.5),(45 6200451.5),(46 6449091.5),(47 6694854),(48 6964839),(49 7245613),(50 7539594.5),(51 7842427.5),(52 8127941.5),(53 8399606),(54 8667083),(55 8917248),(56 9178615),(57 9427751),(58 9676529),(59 9919844),(60 10157118),(61 10365916),(62 10661722),(63 10939520),(64 11217461),(65 11458118),(66 11710229),(67 11916558),(68 12075541),(69 12183348),(70 12288269),(71 12342425),(72 12380128),(73 12410549),(74 12483347),(75 12545120),(76 12615005),(77 12689513),(78 12797369),(79 12907193),
(1 39869.715),(2 137410.4),(3 285863.78),(4 466132.8),(5 666482.4),(6 875111.06),(7 1102557.4),(8 1331058.5),(9 1536299.9),(10 1735505.9),(11 1937432),(12 2142127.3),(13 2365063),(14 2576153.8),(15 2786094.5),(16 2991869),(17 3195192.8),(18 3403484),(19 3608609.8),(20 3819562.3),(21 4035857.5),(22 4247869),(23 4454296.5),(24 4658094.5),(25 4846346),(26 5024395),(27 5192822.5),(28 5358396),(29 5496814.5),(30 5633057.5),(31 5755570),(32 5871323.5),(33 5970489),(34 6065523),(35 6146769.5),(36 6243035.5),(37 6318951.5),(38 6396182),(39 6446500.5),(40 6510590.5),(41 6535811.5),(42 6564542),(43 6572654.5),(44 6592230.5),(45 6599092.5),(46 6611800.5),(47 6615151.5),(48 6626971),(49 6626391.5),(50 6635805),(51 6641258),(52 6623873.5),(53 6606935.5),(54 6582371),(55 6562286.5),(56 6561087.5),(57 6557984),(58 6550696.5),(59 6544062.5),(60 6521803.5),(61 6470782),(62 6457610),(63 6431294.5),(64 6424285),(65 6409750),(66 6400854),(67 6393856.5),(68 6377427.5),(69 6344325),(70 6317942),(71 6290113.5),(72 6267456.5),(73 6245192.5),(74 6264019.5),(75 6300448.5),(76 6342730),(77 6386446.5),(78 6445473.5),(79 6505211),
(1 41160.55),(2 140350.1),(3 286956.3),(4 461376.3),(5 655039.6),(6 863357),(7 1080010),(8 1304135),(9 1519218.6),(10 1734783.8),(11 1948062.6),(12 2170871.5),(13 2397131.5),(14 2618726.8),(15 2832495.8),(16 3054821.5),(17 3264765.3),(18 3492132.5),(19 3703917.5),(20 3926880.8),(21 4136770.8),(22 4356859),(23 4553421),(24 4753842.5),(25 4931471.5),(26 5102801.5),(27 5258270.5),(28 5435459),(29 5595051.5),(30 5728845.5),(31 5852279),(32 5966761),(33 6061898.5),(34 6153349.5),(35 6242013.5),(36 6348919.5),(37 6448628),(38 6552693.5),(39 6625080),(40 6689093),(41 6731317),(42 6787690.5),(43 6844240),(44 6907001.5),(45 6962395),(46 7024425.5),(47 7089560),(48 7162691),(49 7225682.5),(50 7268702.5),(51 7315320),(52 7361869),(53 7411484),(54 7463622.5),(55 7521718.5),(56 7591709),(57 7647445.5),(58 7685241),(59 7701294.5),(60 7729509),(61 7735254.5),(62 7735660),(63 7727019),(64 7743798.5),(65 7737584),(66 7740899),(67 7746854.5),(68 7764085),(69 7759269.5),(70 7749190.5),(71 7738665.5),(72 7749905.5),(73 7755555),(74 7779931),(75 7806783),(76 7832541),(77 7878841.5),(78 7941486.5),(79 8025629.5),
(1 36210.723),(2 124589.91),(3 257945.02),(4 423638.5),(5 607715.8),(6 806671.4),(7 1013276),(8 1221634.1),(9 1426646.3),(10 1618640.3),(11 1811059.5),(12 2008795.3),(13 2209833.5),(14 2400010.3),(15 2579409),(16 2747514.8),(17 2906961.3),(18 3062743.5),(19 3208896),(20 3345512.5),(21 3467698.3),(22 3578738.5),(23 3691877),(24 3779880.3),(25 3860645.8),(26 3931004.5),(27 3997937),(28 4050803.8),(29 4101913.5),(30 4147688),(31 4187328.3),(32 4224264.5),(33 4260679.5),(34 4286778),(35 4328455.5),(36 4378684),(37 4458087.5),(38 4550827),(39 4628204),(40 4707877),(41 4783647),(42 4876206),(43 4984104),(44 5102965),(45 5218840.5),(46 5337613.5),(47 5457855.5),(48 5576147.5),(49 5699616),(50 5815324.5),(51 5915230),(52 6009431),(53 6104202),(54 6198882.5),(55 6305951.5),(56 6413756.5),(57 6508606),(58 6564537),(59 6599805.5),(60 6619174),(61 6611371.5),(62 6606408),(63 6593263),(64 6566824),(65 6530893.5),(66 6492259.5),(67 6461367),(68 6436718),(69 6394407.5),(70 6354512),(71 6320789.5),(72 6309879),(73 6322239),(74 6327934),(75 6347610),(76 6353757.5),(77 6349499.5),(78 6322447.5),(79 6302744.5),
(1 35408.453),(2 121354.64),(3 250056.33),(4 407051.3),(5 583159.3),(6 778421.2),(7 986154.3),(8 1191591.5),(9 1386311.8),(10 1572469.5),(11 1752918.1),(12 1940088),(13 2138534.3),(14 2320410.8),(15 2485547.8),(16 2639484),(17 2786100.8),(18 2916373.8),(19 3035947.8),(20 3142236.8),(21 3222360.5),(22 3284910.5),(23 3331399),(24 3363155),(25 3375715.3),(26 3373329.5),(27 3357217.3),(28 3323815.5),(29 3272785.5),(30 3216913.3),(31 3149636),(32 3074187.5),(33 2993697),(34 2900984.8),(35 2815738.5),(36 2744689.8),(37 2690979.8),(38 2651930.5),(39 2625421.3),(40 2616393.5),(41 2620361.5),(42 2656141.8),(43 2712690.5),(44 2782343),(45 2871627.8),(46 2976217.3),(47 3098833.5),(48 3227031.5),(49 3372085.5),(50 3518860.3),(51 3660171),(52 3797578.8),(53 3925037.5),(54 4040728.3),(55 4152749),(56 4264402),(57 4375316),(58 4462201.5),(59 4530997),(60 4599620.5),(61 4638575.5),(62 4710213),(63 4759435.5),(64 4800544),(65 4830262.5),(66 4844697),(67 4852044.5),(68 4846946.5),(69 4837853),(70 4834686),(71 4822369),(72 4809018.5),(73 4803424),(74 4794683),(75 4789702.5),(76 4774366),(77 4746294.5),(78 4707154),(79 4672172.5),
(1 35076.316),(2 119939.266),(3 250307.23),(4 412267.28),(5 599307.3),(6 807892.06),(7 1025418.56),(8 1244689.4),(9 1441751.8),(10 1631096),(11 1809639.1),(12 1987469.1),(13 2171276.8),(14 2336822),(15 2496212.8),(16 2630769.5),(17 2753445.5),(18 2868946.5),(19 2969086.5),(20 3057251.3),(21 3131405),(22 3179217.8),(23 3221337),(24 3244109.8),(25 3247827.3),(26 3240430.8),(27 3221710.3),(28 3189504.3),(29 3143496.5),(30 3087446),(31 3038102.5),(32 2996429.8),(33 2952947.8),(34 2910136.5),(35 2868819.3),(36 2830265.5),(37 2809984.5),(38 2803144.5),(39 2799935.3),(40 2806818),(41 2819003.8),(42 2846757.8),(43 2881218),(44 2923566.3),(45 2973732.3),(46 3044071),(47 3117110),(48 3197162),(49 3280442.5),(50 3369235.5),(51 3455692.3),(52 3539176.5),(53 3624443),(54 3719905.5),(55 3819060),(56 3921212.8),(57 4017716.3),(58 4116253.3),(59 4211498),(60 4319251),(61 4441225.5),(62 4556199.5),(63 4660746.5),(64 4757500.5),(65 4843970),(66 4917584.5),(67 4986394.5),(68 5047788),(69 5107904.5),(70 5162627.5),(71 5215235),(72 5257717.5),(73 5296958.5),(74 5325468),(75 5340132.5),(76 5337460.5),(77 5309263.5),(78 5264976),(79 5212582),
(1 35837.668),(2 124715.61),(3 261068.06),(4 425438.78),(5 609211.7),(6 807017.44),(7 1009794.75),(8 1207971),(9 1385869.5),(10 1565181.3),(11 1731956.9),(12 1898695.1),(13 2061044.6),(14 2215332.3),(15 2363593.3),(16 2498335),(17 2627204),(18 2742022),(19 2843259.5),(20 2933664.5),(21 3016026.3),(22 3088007),(23 3150025.8),(24 3203635.5),(25 3237092),(26 3259292.3),(27 3265618.3),(28 3270057.5),(29 3246872.3),(30 3231608.3),(31 3212931.3),(32 3211286.8),(33 3215611),(34 3235825.3),(35 3252393),(36 3273796.3),(37 3305264.8),(38 3338811),(39 3372051.5),(40 3414811.3),(41 3458285.8),(42 3506623.5),(43 3558376.3),(44 3622393.3),(45 3685328),(46 3768808.5),(47 3854466.3),(48 3944469.3),(49 4033355.5),(50 4126141),(51 4229851),(52 4343050.5),(53 4462154.5),(54 4595137),(55 4727259.5),(56 4859710),(57 4979571),(58 5088115.5),(59 5183550),(60 5282862.5),(61 5379059),(62 5463396.5),(63 5523793),(64 5580566),(65 5614071.5),(66 5642802.5),(67 5661994.5),(68 5677217),(69 5677156),(70 5671913),(71 5666755),(72 5649764.5),(73 5618477),(74 5572689.5),(75 5500826),(76 5423118.5),(77 5327874),(78 5229075.5),(79 5128663),
(1 34831.81),(2 122505.48),(3 258353.73),(4 421778.1),(5 606898.3),(6 800577.06),(7 1000361.2),(8 1197292.6),(9 1383992.5),(10 1558149.4),(11 1720999.3),(12 1886795.1),(13 2052157.1),(14 2201568.8),(15 2336758.5),(16 2446824.3),(17 2553340.3),(18 2646648),(19 2724034.3),(20 2790498.3),(21 2845480.5),(22 2887132.8),(23 2920043.3),(24 2933094.3),(25 2930593.8),(26 2919448),(27 2899004),(28 2867121.3),(29 2826877.3),(30 2795817.5),(31 2766258.5),(32 2744434.8),(33 2739264.3),(34 2738682.8),(35 2745699.3),(36 2766255.3),(37 2814571),(38 2890025),(39 2988758),(40 3093662.3),(41 3228458.3),(42 3373097.8),(43 3537067.3),(44 3706681.3),(45 3887023.8),(46 4082495.5),(47 4285226),(48 4476133.5),(49 4664639.5),(50 4852120.5),(51 5039828),(52 5221300),(53 5400197),(54 5569446.5),(55 5727111),(56 5878505.5),(57 6022971.5),(58 6150259),(59 6260772.5),(60 6351502.5),(61 6424025),(62 6482806.5),(63 6514716),(64 6522776.5),(65 6513592),(66 6491434),(67 6462881),(68 6424745.5),(69 6379780),(70 6322698.5),(71 6267583),(72 6201972.5),(73 6137039.5),(74 6071671.5),(75 6003401),(76 5932775),(77 5857387.5),(78 5776299.5),(79 5690490.5),
