1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 23301.19),(2 45635.793),(3 53494.52),(4 55620.055),(5 59151.934),(6 60222.402),(7 59675.523),(8 61294.086),(9 63259.88),(10 63461.676),(11 63659.074),(12 65745.07),(13 65584.78),(14 65347.707),(15 65927.28),(16 68589.625),(17 69935.875),(18 70036.35),(19 69874.59),(20 68799.625),(21 68700.83),(22 68603.48),(23 67813.85),(24 67840.97),(25 68412.125),(26 68404.414),(27 68189.65),(28 68766.08),(29 70488.54),(30 69433.88),(31 67417.6),(32 66113.29),(33 65545.836),(34 63046.336),(35 62119.11),(36 61747.13),(37 61515.535),(38 62625.313),(39 63647.47),(40 63933.34),(41 65409.813),(42 65859.34),(43 65160.703),(44 66790.16),(45 69785.77),(46 70425.16),(47 70563.445),(48 71329.91),(49 72505.586),(50 73063.65),(51 74513.984),(52 76196.03),(53 76597.49),(54 76754.84),(55 78301.586),(56 79261.016),(57 80539.83),(58 82779.96),(59 84681.875),(60 84521.414),(61 84557.586),(62 86239.23),(63 86474.12),(64 87240.914),(65 88754.516),(66 88553.37),(67 89672.88),(68 89588.336),(69 89850.57),(70 90248.58),(71 89993.54),(72 89492.336),(73 88692.375),(74 87845.305),(75 89343.195),(76 90492.31),(77 89439.16),(78 89119),(79 89387.74),
(1 22325.828),(2 43786.15),(3 50503.297),(4 52478.125),(5 56628.17),(6 57422.44),(7 57218.83),(8 57669.184),(9 59164.715),(10 60653.31),(11 62913.613),(12 65180.594),(13 66083.36),(14 66446.32),(15 66990.8),(16 69166.78),(17 70451.27),(18 69799.5),(19 68954.98),(20 68066.84),(21 68359.945),(22 68239.086),(23 67109.92),(24 67004.73),(25 67672.16),(26 66927.84),(27 66450.6),(28 65835.54),(29 65118.336),(30 65090.09),(31 65009.188),(32 65135.063),(33 65036.492),(34 63848.113),(35 62475.83),(36 61020.145),(37 61535.668),(38 62570.688),(39 62763.258),(40 63101.145),(41 62900.21),(42 62663.867),(43 63233.566),(44 64778.01),(45 66901.734),(46 67264.07),(47 68693.93),(48 69998.19),(49 71014.305),(50 72936.914),(51 74922.18),(52 75481.12),(53 74989.2),(54 76216.14),(55 77651.48),(56 79112.305),(57 80812.67),(58 82067.45),(59 83067.8),(60 84091.12),(61 85177.45),(62 86051.234),(63 85621.54),(64 85556.41),(65 85613.57),(66 85481.29),(67 85197.71),(68 85456.34),(69 86652.68),(70 87122.4),(71 88777.39),(72 89715.234),(73 89870.97),(74 90009.36),(75 89168.46),(76 88096.5),(77 88803.3),(78 88061.66),(79 87632.59),
(1 21103.506),(2 41392.93),(3 48620.867),(4 51752.207),(5 55731.367),(6 56523.78),(7 56968.875),(8 57844.734),(9 59619.48),(10 61269.934),(11 63335.75),(12 64846.633),(13 63467.15),(14 64118.37),(15 66200.3),(16 67626.52),(17 68151.38),(18 68863.43),(19 69023.086),(20 68658.29),(21 67216.62),(22 65736.1),(23 66207.016),(24 66380.48),(25 66313.266),(26 65250.207),(27 65496.008),(28 66359.12),(29 66373.52),(30 66006.49),(31 65306.48),(32 63750.023),(33 63440.676),(34 62903.03),(35 60994.69),(36 59559.945),(37 60671.527),(38 61056.918),(39 61167.918),(40 61806.574),(41 61500.26),(42 61030.31),(43 62693.195),(44 63779.32),(45 65461.47),(46 65995.81),(47 67667.94),(48 68978.52),(49 69506.76),(50 70271.78),(51 70322.33),(52 70512.36),(53 71651.78),(54 72989.17),(55 75230.99),(56 77325.74),(57 79389.55),(58 80598.17),(59 81414.55),(60 82723.86),(61 84527.984),(62 85897.29),(63 85423.2),(64 84775.92),(65 85411.46),(66 85471.68),(67 85674.25),(68 85220.16),(69 84577.99),(70 84967.125),(71 86171.375),(72 87244.67),(73 86786.805),(74 88093.99),(75 88085.77),(76 87567.36),(77 87466.68),(78 86493.35),(79 87092.92),
(1 21859.75),(2 41955.105),(3 48445.637),(4 50512.574),(5 54657.15),(6 55264.273),(7 54885.03),(8 55967.496),(9 57329.41),(10 57460.355),(11 58343.98),(12 59056.297),(13 59129.043),(14 60008.273),(15 60487.59),(16 59948.953),(17 59815.496),(18 60784.69),(19 60473.605),(20 60067.887),(21 59199.08),(22 57975.9),(23 58924.367),(24 60885.9),(25 61413.773),(26 59966.06),(27 59527.824),(28 60711.426),(29 61262.85),(30 59593.99),(31 58070.17),(32 58332.26),(33 58713.62),(34 57844.426),(35 57480.863),(36 57166.605),(37 57951.42),(38 58244.37),(39 58416.598),(40 58947.277),(41 58825.324),(42 58823.383),(43 60564.723),(44 63083.008),(45 64540.59),(46 64028.3),(47 64816.85),(48 66075.28),(49 65420.37),(50 65187.617),(51 64997.61),(52 65295.574),(53 66008.66),(54 67404.67),(55 68709.33),(56 70081.516),(57 71328.24),(58 72717.2),(59 73214.664),(60 74119.9),(61 74793.39),(62 74957.086),(63 74196.11),(64 73988.78),(65 74161.87),(66 74515),(67 75676.56),(68 75346.91),(69 74953.086),(70 76407.26),(71 77260.14),(72 77479.484),(73 77885.625),(74 77462.84),(75 76845.48),(76 75966.42),(77 75897.086),(78 76718.164),(79 77248.5),
(1 21276.459),(2 40659.06),(3 46642.094),(4 48741.887),(5 51446.586),(6 51863.62),(7 52096.582),(8 53474.645),(9 54637.594),(10 55942.598),(11 59181.027),(12 60310.83),(13 60869.387),(14 61316.344),(15 61914.38),(16 62444.086),(17 62019.734),(18 62378.563),(19 62170.984),(20 61845.125),(21 60740.133),(22 60087.918),(23 59913.77),(24 60643.207),(25 60136.426),(26 58533.984),(27 58364.1),(28 58768.305),(29 58502.016),(30 56716.293),(31 55329.234),(32 55965.758),(33 56976.984),(34 56251.32),(35 54776.12),(36 54840.844),(37 55151.89),(38 55697.305),(39 55771.207),(40 55272.125),(41 55388.6),(42 56159.55),(43 57999.12),(44 59126.33),(45 61384.816),(46 62449.67),(47 63408.594),(48 63659.195),(49 64257.137),(50 65505.45),(51 65818.69),(52 66523.58),(53 67930.836),(54 69031.836),(55 69745.45),(56 70398.375),(57 71228.19),(58 70217.195),(59 71982.484),(60 74161.414),(61 74519.05),(62 74076.83),(63 74634.05),(64 75138.016),(65 76285.03),(66 77094.55),(67 77268.27),(68 76390.914),(69 75943.19),(70 76817.53),(71 77809.805),(72 78175.164),(73 78605.66),(74 79045.03),(75 78501.51),(76 78594.86),(77 79517.23),(78 79283.77),(79 79182.555),
(1 20600.445),(2 39329.54),(3 45111.79),(4 47100.063),(5 50710.273),(6 50771.914),(7 50526.457),(8 53419.83),(9 54554.23),(10 54233.12),(11 54545.555),(12 55858.887),(13 56456.996),(14 57117.83),(15 58426.63),(16 59374.742),(17 58728.46),(18 58423.867),(19 58345.887),(20 57673.8),(21 58046.36),(22 58796.355),(23 59608.902),(24 60246.973),(25 58615.164),(26 55948.652),(27 55838.06),(28 56876.664),(29 57238.72),(30 56758.344),(31 56409.83),(32 56340.605),(33 56137.336),(34 56000.43),(35 56481.145),(36 56891.63),(37 57221.15),(38 57820.984),(39 57011.742),(40 55761.113),(41 56222.207),(42 56269.273),(43 57312.004),(44 59522.492),(45 60962.984),(46 60877.07),(47 62042.53),(48 61947.324),(49 62115.63),(50 63107.44),(51 63402.914),(52 63334.293),(53 63605.75),(54 64518.4),(55 66279.97),(56 68447.234),(57 70347.76),(58 70851.805),(59 71564.266),(60 71552.2),(61 71554.445),(62 71574.62),(63 71160.95),(64 71718.305),(65 71984.48),(66 72537.74),(67 73791.46),(68 74232.54),(69 74928.09),(70 75375.29),(71 75102.4),(72 76442.57),(73 77517.875),(74 76443.266),(75 75482.984),(76 75132.79),(77 74306.29),(78 74852.16),(79 75802.75),
(1 19672.947),(2 37781.45),(3 42199.145),(4 44326.645),(5 47351.45),(6 47569.09),(7 47987.703),(8 49357.05),(9 50501.164),(10 50061.438),(11 51166.21),(12 53367.574),(13 55233.96),(14 56706.164),(15 56854.098),(16 55863.71),(17 55362.195),(18 56761.758),(19 56828.637),(20 55875.508),(21 56300.516),(22 56672.188),(23 56394.023),(24 56987.215),(25 57563.36),(26 57157.336),(27 56777.574),(28 56168.836),(29 55508.984),(30 55542.63),(31 55393.934),(32 54508.094),(33 53652.723),(34 52272.79),(35 51282.2),(36 51857.4),(37 52408.902),(38 52850.938),(39 53601.016),(40 53602.188),(41 53614.156),(42 53904.07),(43 55179.277),(44 55358.016),(45 56999.6),(46 57684.48),(47 58371.004),(48 59287.957),(49 61124.516),(50 62668.477),(51 64069.816),(52 64347.61),(53 64554.676),(54 65858.086),(55 66657.65),(56 67765.125),(57 69757.18),(58 70902.54),(59 71586.44),(60 71363.42),(61 71276.27),(62 71928.195),(63 72145.445),(64 71835.06),(65 71637.086),(66 70971.37),(67 70715.37),(68 72857.68),(69 74594.19),(70 73939.6),(71 73815.67),(72 74109.06),(73 74713.836),(74 76289.82),(75 76699.11),(76 75997.58),(77 75212.69),(78 75264.24),(79 75080.46),
(1 19082.902),(2 36661.094),(3 42208.547),(4 44796.766),(5 47569.844),(6 47617.215),(7 48111.875),(8 50456.676),(9 51474.797),(10 51899.176),(11 54370.31),(12 55947.32),(13 56356.695),(14 56997.64),(15 57990.336),(16 56939.293),(17 57153.496),(18 58429.344),(19 58687.883),(20 58539.55),(21 58287.258),(22 58307.207),(23 58414.27),(24 58036.516),(25 56305.227),(26 55649.09),(27 57181.96),(28 56946.105),(29 55306.977),(30 53744.145),(31 53298.816),(32 53633.1),(33 53364.82),(34 52748.695),(35 51944.516),(36 52126.773),(37 52790.863),(38 53534.227),(39 53880.01),(40 53340.18),(41 52862.426),(42 53609.285),(43 55443.316),(44 56605.09),(45 57383.094),(46 58416.785),(47 58994.438),(48 59984.234),(49 61163.855),(50 61549.227),(51 61663.855),(52 63027.742),(53 63781.883),(54 65123.58),(55 65833.17),(56 67208.18),(57 68830.234),(58 69417.76),(59 70174.4),(60 70684.07),(61 72141.25),(62 73833.63),(63 74001.37),(64 73974.41),(65 74061.45),(66 73439.54),(67 73598.83),(68 75515.79),(69 76196.875),(70 75815.17),(71 75797.37),(72 76475.516),(73 77006.44),(74 77339.22),(75 77248.13),(76 77021.875),(77 77500.17),(78 76236.35),(79 75394.2),
(1 19206.5),(2 35902.082),(3 40414.71),(4 42489.805),(5 45030.62),(6 44488.938),(7 45508.863),(8 48969.96),(9 49867.313),(10 49297.426),(11 50247.035),(12 51000.76),(13 51420.996),(14 52832.406),(15 53146.9),(16 51919.184),(17 52438.76),(18 53859.832),(19 54378.273),(20 54422.555),(21 54309.074),(22 53597.156),(23 53535.367),(24 53263.742),(25 51582.152),(26 51328.367),(27 52091.348),(28 52445.99),(29 51357.43),(30 50964.492),(31 50377.938),(32 50154.25),(33 49484.96),(34 48636.957),(35 48528.848),(36 48758.848),(37 48627.184),(38 48379.094),(39 48480.984),(40 48538.04),(41 49511.82),(42 50993.484),(43 52908.184),(44 53956.934),(45 55573.906),(46 56171.17),(47 55911.887),(48 56443.01),(49 57177.906),(50 57877.08),(51 57612.715),(52 57820.453),(53 58568.027),(54 59618.906),(55 60024.86),(56 61221.906),(57 62986.38),(58 63454.625),(59 64125.504),(60 65103.4),(61 66360),(62 66356.05),(63 66348.2),(64 65662.19),(65 65030.652),(66 65249.984),(67 67158.64),(68 68172.15),(69 68166.55),(70 68407.93),(71 69158.56),(72 69677.73),(73 70135.15),(74 71102.2),(75 71323),(76 71365.35),(77 70909.76),(78 69509.73),(79 68768.62),
(1 18796.031),(2 35469.73),(3 39544.848),(4 41088.594),(5 43737.793),(6 44205.29),(7 44668.92),(8 45832.855),(9 46165.668),(10 47123.45),(11 48150.047),(12 48878.254),(13 49382.42),(14 50712.063),(15 52126.61),(16 52282.97),(17 53534.402),(18 53948.88),(19 52711.98),(20 51719.727),(21 52270.598),(22 53480.906),(23 54630.063),(24 53945.344),(25 53350.58),(26 54455.164),(27 54045.01),(28 52295.535),(29 52026.414),(30 51230.8),(31 50391.973),(32 50252.273),(33 49868.85),(34 50340.688),(35 49557.52),(36 48827.254),(37 49009.01),(38 49503.69),(39 49493.535),(40 49910.453),(41 50908.73),(42 50939.64),(43 52022.48),(44 52559.55),(45 55412.453),(46 56644.207),(47 56557.848),(48 57649.938),(49 57920.273),(50 58027.37),(51 57892.273),(52 58406.02),(53 60427.79),(54 61770.668),(55 61628.49),(56 63586.434),(57 65450.973),(58 66494.695),(59 67501.875),(60 68001.6),(61 69618.88),(62 71183.11),(63 71410.14),(64 72144.85),(65 72896.65),(66 73436.22),(67 73823.67),(68 73546.734),(69 74057.25),(70 74860.73),(71 74975.91),(72 74609.82),(73 75296.29),(74 76192.92),(75 76183.79),(76 75460.01),(77 75096.83),(78 75104.31),(79 74101.55),
(1 17363.42),(2 32442.176),(3 36710.305),(4 38321.65),(5 40889.45),(6 41754.55),(7 41790.758),(8 42942.508),(9 44030.344),(10 45252.473),(11 46753.023),(12 46388.086),(13 46680.633),(14 48167.65),(15 49220.902),(16 47986.82),(17 47897.805),(18 48516.59),(19 48794.47),(20 48906.6),(21 49480.125),(22 49712.12),(23 50000.03),(24 49895.45),(25 49882.133),(26 50766.26),(27 50432.887),(28 48880.656),(29 47727.574),(30 46967.96),(31 46760.504),(32 47484.45),(33 47981.605),(34 48112.742),(35 48561.66),(36 48513.77),(37 48568),(38 47713.016),(39 47056.996),(40 47169.65),(41 48247.004),(42 48103.305),(43 48573.85),(44 50911.29),(45 52786.48),(46 52798.535),(47 54075.023),(48 55731.535),(49 56785.08),(50 56908.934),(51 56015.617),(52 56426.152),(53 58341.066),(54 58143.37),(55 58761.195),(56 61205.38),(57 62704.895),(58 62298.54),(59 64133.492),(60 64673.97),(61 65209.848),(62 66491.484),(63 66855.05),(64 67255.08),(65 67733.266),(66 67810.47),(67 68911.9),(68 69481.35),(69 70510.76),(70 70838.21),(71 69711.59),(72 69508.94),(73 68513.94),(74 69701.87),(75 69992.625),(76 69845.28),(77 70390.07),(78 69951.266),(79 69588.58),
(1 17693.965),(2 33130.03),(3 37993.53),(4 39825.45),(5 41892.16),(6 42022.355),(7 43052.098),(8 44742.273),(9 45513.08),(10 45578.91),(11 46843.906),(12 47162.797),(13 48107.16),(14 50259.27),(15 51726.902),(16 50565.145),(17 49249.99),(18 48557.266),(19 48443.434),(20 49143.67),(21 51117.824),(22 52370.715),(23 51848.133),(24 50217.94),(25 50461.125),(26 51556.688),(27 50721.688),(28 49224.637),(29 48928.67),(30 48607.8),(31 48753.91),(32 48751.902),(33 48517.38),(34 48595.11),(35 48340.297),(36 47087.91),(37 45922.902),(38 46101.12),(39 45763.99),(40 46640.043),(41 47733.652),(42 48462.297),(43 49095.715),(44 50196.746),(45 52243.605),(46 52855.69),(47 54282),(48 56111.875),(49 57787.766),(50 58108.727),(51 58211.92),(52 57834.555),(53 57504.15),(54 58306.47),(55 60542.313),(56 62201.3),(57 62646.54),(58 62675.16),(59 64760.402),(60 66479.09),(61 66444.67),(62 67389.68),(63 67945.234),(64 69138.81),(65 69606.4),(66 70236.94),(67 70629.6),(68 70584.34),(69 71635.13),(70 70758.7),(71 70633.54),(72 70748.82),(73 69495.02),(74 69823.19),(75 69728.89),(76 70055.79),(77 69766.47),(78 68910.79),(79 69334.53),
(1 17388.951),(2 32863.594),(3 38973.496),(4 41756.4),(5 44068.895),(6 43787.277),(7 43930.066),(8 45162.656),(9 46092.492),(10 46144.56),(11 47460.156),(12 48731.96),(13 50078.47),(14 52249.688),(15 54022.418),(16 53584.645),(17 52109.96),(18 51212.496),(19 50271.855),(20 50180.523),(21 51580.766),(22 53914.043),(23 54589.816),(24 53908.977),(25 53210.574),(26 52684.1),(27 52239.094),(28 51318.676),(29 50190.113),(30 48649.523),(31 48794.004),(32 49452.703),(33 49143.55),(34 48715.535),(35 48185.977),(36 47107.137),(37 47451.58),(38 47980.297),(39 48073.688),(40 49185.125),(41 49359.164),(42 49625.492),(43 49343.688),(44 50733.24),(45 52976.48),(46 53051.04),(47 54516.676),(48 56261.18),(49 57978.94),(50 58507.395),(51 58126.813),(52 58151.816),(53 58858.496),(54 59108.594),(55 60594.56),(56 61453.582),(57 61716.164),(58 62192.4),(59 63644.617),(60 64891.816),(61 66247.28),(62 66481.914),(63 66176.95),(64 67316.164),(65 68414.66),(66 69578),(67 69559.17),(68 69637.6),(69 69724),(70 70471.62),(71 70883.766),(72 70844.516),(73 71182.1),(74 70608.9),(75 69436.48),(76 69391.695),(77 69201.77),(78 69063.95),(79 69112.6),
(1 16480.486),(2 31222.3),(3 36606.75),(4 38605.805),(5 40314.242),(6 40627.973),(7 41063.063),(8 41729.773),(9 41972.02),(10 41889.84),(11 43518.83),(12 44311.766),(13 45413.496),(14 47318.02),(15 47781.816),(16 47308.305),(17 46887.33),(18 46164.6),(19 46302.38),(20 47564.242),(21 48329.152),(22 48289.45),(23 47827),(24 47903.063),(25 47842.69),(26 48283.33),(27 48105.656),(28 47537.227),(29 46547.367),(30 45944.83),(31 46432.926),(32 45863.664),(33 45011.99),(34 44818.043),(35 44427.99),(36 44106.418),(37 44708.758),(38 44080.195),(39 44140.918),(40 45673.043),(41 45825.355),(42 45716.95),(43 45825.426),(44 46688.305),(45 48715.324),(46 48562.734),(47 49241.293),(48 51244.188),(49 52836.246),(50 52341.645),(51 52136.555),(52 53046.85),(53 53367.457),(54 54709.277),(55 56548.477),(56 57559.86),(57 57756.973),(58 58644.836),(59 58794.313),(60 59033.043),(61 59794.094),(62 59627.926),(63 59233.477),(64 59979.598),(65 60698.598),(66 60806.074),(67 60841.51),(68 60912.656),(69 60624.816),(70 60692.82),(71 60939.848),(72 61526.645),(73 61695.527),(74 61174.414),(75 60359.52),(76 59914.305),(77 59783.266),(78 59606.28),(79 58689.8),
(1 15762.649),(2 28965.563),(3 33354.1),(4 35184.395),(5 36638.176),(6 36416.05),(7 36694.11),(8 38031.87),(9 39842.78),(10 40889.34),(11 41816.61),(12 41664.94),(13 43124.707),(14 43782.426),(15 43689.39),(16 44281.688),(17 44600.05),(18 44085.082),(19 43315.31),(20 43803.125),(21 44579.457),(22 44680.543),(23 44538.83),(24 44465.83),(25 45311.188),(26 45128.715),(27 45062.457),(28 44555.504),(29 43874.12),(30 42633.527),(31 42590.344),(32 42834.08),(33 42389.094),(34 41935.586),(35 41685.645),(36 40509.22),(37 39961.895),(38 39938.996),(39 39917.62),(40 40405.875),(41 40357.824),(42 41208.91),(43 42043.434),(44 43213.2),(45 43971.887),(46 44333.73),(47 45795.234),(48 46728.168),(49 47638.668),(50 47741.047),(51 48539.766),(52 48873.72),(53 49259.3),(54 49891.527),(55 51159.895),(56 52324.395),(57 53363.63),(58 54005.605),(59 54236.875),(60 55329.74),(61 55771.27),(62 56162.78),(63 56037.22),(64 55854.08),(65 55551.254),(66 55760.145),(67 56163.766),(68 56053.938),(69 56232.844),(70 57011.465),(71 57052.39),(72 57924.31),(73 58795.215),(74 59058.97),(75 58764.074),(76 57932.76),(77 56550.363),(78 54573.72),(79 54689.625),
(1 15586.693),(2 27804.207),(3 31964.402),(4 34221.56),(5 35694),(6 36564.38),(7 37479.176),(8 39007.75),(9 40121.676),(10 41478.625),(11 42833.9),(12 42895.07),(13 43308.734),(14 43425.766),(15 43706.344),(16 43916.516),(17 43975.164),(18 44018.01),(19 43967.594),(20 44974.6),(21 45764.28),(22 45407.598),(23 44236.73),(24 43948.965),(25 44328.926),(26 45433.348),(27 45756.176),(28 44008.773),(29 42443.22),(30 41532.254),(31 41308.51),(32 41370.273),(33 41338.87),(34 42027.637),(35 41577.08),(36 40698.094),(37 40079.316),(38 39725.645),(39 40692.805),(40 41149.875),(41 41832.66),(42 42372.24),(43 43385.555),(44 44292.7),(45 44220.223),(46 44207.035),(47 45868.66),(48 47101.19),(49 47924),(50 48025.48),(51 48005.195),(52 47745.105),(53 48303.184),(54 49167.152),(55 49366.227),(56 50412.387),(57 51264.22),(58 51234.227),(59 52237.91),(60 52867.152),(61 52451.363),(62 53128.766),(63 54652.66),(64 55227.51),(65 55565.938),(66 55751.957),(67 55853.1),(68 55191.08),(69 54898.445),(70 54591.87),(71 55152.746),(72 56097.09),(73 55771.957),(74 54925.406),(75 54703.508),(76 54231.79),(77 54378.637),(78 54187.594),(79 54609.64),
(1 15428.815),(2 27724.969),(3 31362.16),(4 32376.139),(5 32698.553),(6 33150.816),(7 34381.49),(8 36107.71),(9 36644.94),(10 36346.297),(11 37458.586),(12 38058.082),(13 39029.215),(14 39534.93),(15 40153.406),(16 40160.582),(17 40398.52),(18 40559.156),(19 40804.91),(20 41809.176),(21 42784.02),(22 42167.207),(23 41631.813),(24 41230.36),(25 41084.8),(26 40364.86),(27 40077.78),(28 39435.664),(29 39164.188),(30 39365.17),(31 38861.938),(32 39017.625),(33 38905.137),(34 39282.332),(35 39459.113),(36 39368.617),(37 38815.965),(38 38472.49),(39 38778.883),(40 39626.15),(41 39970.496),(42 40048.375),(43 41675.258),(44 42413.043),(45 42663.13),(46 43359.75),(47 45268.926),(48 46212.62),(49 46138.754),(50 46337.504),(51 46705.215),(52 46745.35),(53 47081.54),(54 47468.367),(55 47204.816),(56 48040.293),(57 48452.48),(58 48690.61),(59 49402.344),(60 50346.45),(61 50961.01),(62 51395.3),(63 51351.02),(64 51695.97),(65 52455.54),(66 53031.22),(67 52449.77),(68 51939.918),(69 51708.17),(70 51581.754),(71 52741.098),(72 53143.69),(73 53433.445),(74 53444.84),(75 52923.887),(76 52638.156),(77 53015.945),(78 52375.766),(79 52058.105),
(1 16058.789),(2 28692.639),(3 32536.639),(4 34350.824),(5 35642.297),(6 35791.754),(7 37072.984),(8 38074.15),(9 38129.33),(10 38779.363),(11 39936.715),(12 40485.02),(13 40676.96),(14 40639.598),(15 41133.2),(16 41719.965),(17 42718.082),(18 42540.684),(19 41844.47),(20 41916.25),(21 42719.64),(22 43515.906),(23 43977.9),(24 43573.332),(25 43827.266),(26 43711.355),(27 42734.957),(28 42113.063),(29 41660.887),(30 40949.387),(31 40973.18),(32 40701.055),(33 40321.758),(34 40221.79),(35 39940.914),(36 40431.13),(37 39491.848),(38 38921.37),(39 40225.98),(40 41707.355),(41 41843.063),(42 41583.293),(43 41917.44),(44 42704.094),(45 43351.223),(46 43326.863),(47 43612.27),(48 44362.613),(49 45099.633),(50 45736.945),(51 46195.85),(52 46946.063),(53 47755.863),(54 48360.082),(55 48706.25),(56 49502.813),(57 50235.156),(58 50024.516),(59 50237.117),(60 51316.555),(61 51900.223),(62 51847.504),(63 51634.71),(64 51708.285),(65 52200.49),(66 52726.766),(67 52715.6),(68 52898.434),(69 52670.76),(70 52633.563),(71 53117.53),(72 52869.27),(73 52612.703),(74 52177.434),(75 51494.24),(76 51530.28),(77 51076.51),(78 51223.52),(79 51111.313),
