1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1283028.4),(2 1563248.4),(3 576805.44),(4 2167921.8),(5 2713113.3),(6 1768585),(7 3511879.3),(8 4278501),(9 3405531.8),(10 5211541.5),(11 6275086.5),(12 5514569.5),(13 7500734.5),(14 8893720),(15 8231968),(16 10490421),(17 12231883),(18 11445931),(19 13924336),(20 15757255),(21 15120407),(22 17490108),(23 19429942),(24 18839714),(25 21246854),(26 23376528),(27 22870480),(28 25143530),(29 27388998),(30 26619186),(31 28759166),(32 30821238),(33 29858408),(34 31801944),(35 34000930),(36 33187008),(37 34694656),(38 36563108),(39 35597572),(40 36662108),(41 38388180),(42 37369990),(43 38401844),(44 40173576),(45 39126372),(46 39960730),(47 41493700),(48 40188220),(49 40942940),(50 42420284),(51 41187204),(52 41840700),(53 43715160),(54 42622370),(55 43229556),(56 45136320),(57 44053052),(58 44570020),(59 46508596),(60 45451424),(61 45746284),(62 47527776),(63 46176532),(64 46472796),(65 48570964),(66 47734988),(67 48282828),(68 50748284),(69 50249292),(70 50825052),(71 53499330),(72 53053908),(73 53446212),(74 56010268),(75 55305984),(76 55389908),(77 58159124),(78 57653684),(79 57919104),
(1 653781.94),(2 898644.5),(3 618872.3),(4 1667329.5),(5 2234901.5),(6 2175529.5),(7 3451850.5),(8 4212108),(9 4279608),(10 5655726.5),(11 6610386.5),(12 6774968),(13 8332969),(14 9437273),(15 9711694),(16 11380618),(17 12641600),(18 12800370),(19 14486141),(20 15693834),(21 15893746),(22 17507998),(23 18839340),(24 19056486),(25 20619716),(26 21971854),(27 22203070),(28 23662672),(29 24993738),(30 25068522),(31 26338156),(32 27421146),(33 27351994),(34 28437610),(35 29643322),(36 29627700),(37 30624020),(38 31646828),(39 31582060),(40 32329884),(41 33322746),(42 33308256),(43 34143412),(44 35298590),(45 35446148),(46 36387770),(47 37575148),(48 37868756),(49 38903464),(50 40173292),(51 40464770),(52 41419110),(53 42833080),(54 43215424),(55 44380680),(56 45959100),(57 46435944),(58 47588772),(59 49267520),(60 49581556),(61 50370504),(62 51703500),(63 51896350),(64 52726024),(65 54275944),(66 54715948),(67 55845416),(68 57591540),(69 58107020),(70 59152340),(71 60912564),(72 61338828),(73 62348980),(74 64134496),(75 64306970),(76 64967670),(77 66743450),(78 67067956),(79 67798616),
(1 213737.58),(2 440408.34),(3 638151.9),(4 1217882.8),(5 1801710.6),(6 2276432.8),(7 3108689.3),(8 3934032.8),(9 4595953.5),(10 5636680),(11 6700525.5),(12 7560000),(13 8804774),(14 9985858),(15 10983483),(16 12333195),(17 13618859),(18 14609843),(19 15933093),(20 17093600),(21 18002298),(22 19207366),(23 20315964),(24 21187190),(25 22322738),(26 23365000),(27 24186110),(28 25228750),(29 26086720),(30 26708720),(31 27524906),(32 28107638),(33 28464154),(34 29090566),(35 29551874),(36 29746362),(37 30220770),(38 30449304),(39 30596250),(40 30956942),(41 31223376),(42 31300560),(43 31710032),(44 31914646),(45 32094408),(46 32465216),(47 32755370),(48 32907584),(49 33305202),(50 33585436),(51 33709276),(52 34023116),(53 34326024),(54 34543556),(55 35022464),(56 35539656),(57 35983732),(58 36590180),(59 37317020),(60 37807876),(61 38506444),(62 39312864),(63 40055884),(64 40962196),(65 41965424),(66 42769340),(67 43836216),(68 44927360),(69 45847860),(70 46977452),(71 48121904),(72 49022480),(73 50164064),(74 51407604),(75 52299040),(76 53429250),(77 54604292),(78 55241388),(79 56143780),
(1 212570.25),(2 622145.8),(3 1179112),(4 2054959.1),(5 3031786.3),(6 4082291.5),(7 5411188.5),(8 6865013.5),(9 8337873),(10 10067147),(11 11857019),(12 13589956),(13 15508373),(14 17377536),(15 19135896),(16 21023054),(17 22876054),(18 24599128),(19 26431712),(20 28226922),(21 29927730),(22 31709980),(23 33439836),(24 35064640),(25 36707356),(26 38317096),(27 39815470),(28 41260916),(29 42473060),(30 43569876),(31 44649452),(32 45376092),(33 45997750),(34 46691410),(35 47159900),(36 47540210),(37 48076010),(38 48340044),(39 48601420),(40 49039664),(41 49277584),(42 49365324),(43 49632944),(44 49622216),(45 49591396),(46 49626944),(47 49458210),(48 49145412),(49 49070384),(50 48828240),(51 48453760),(52 48249052),(53 48004344),(54 47645864),(55 47529790),(56 47348588),(57 47068370),(58 46912710),(59 46734044),(60 46441230),(61 46278160),(62 46069910),(63 45754490),(64 45560200),(65 45305844),(66 44898950),(67 44758736),(68 44451364),(69 44086600),(70 43838960),(71 43552464),(72 43172780),(73 43000080),(74 42751092),(75 42382210),(76 42180636),(77 42020908),(78 41712960),(79 41678284),
(1 184235.45),(2 615772.3),(3 1242212.4),(4 2131538.5),(5 3197305),(6 4393574.5),(7 5773221.5),(8 7325931),(9 8980337),(10 10788470),(11 12716759),(12 14620774),(13 16663805),(14 18690922),(15 20646040),(16 22676846),(17 24694162),(18 26617304),(19 28594552),(20 30520652),(21 32352034),(22 34266372),(23 36141360),(24 37836148),(25 39590692),(26 41301910),(27 42894028),(28 44561880),(29 45978692),(30 47381124),(31 48854016),(32 49935424),(33 50830910),(34 51621556),(35 52300200),(36 53008720),(37 53746096),(38 54386444),(39 54981604),(40 55619396),(41 56089200),(42 56407092),(43 56750830),(44 56909892),(45 57072588),(46 57199884),(47 57211700),(48 57113356),(49 56964548),(50 56818224),(51 56634320),(52 56356932),(53 56102284),(54 55737750),(55 55501260),(56 55326464),(57 55178256),(58 55064332),(59 54973172),(60 54857750),(61 54780996),(62 54802212),(63 54851776),(64 54887016),(65 55014760),(66 55154840),(67 55473500),(68 55855564),(69 56224372),(70 56645990),(71 57036788),(72 57193052),(73 57350960),(74 57607400),(75 57841100),(76 58075076),(77 58268440),(78 58294340),(79 58380720),
(1 187604.34),(2 655633.2),(3 1377557.5),(4 2364836.8),(5 3596828),(6 4991901.5),(7 6630223),(8 8486910),(9 10523387),(10 12796965),(11 15303379),(12 17879312),(13 20549626),(14 23278412),(15 26002104),(16 28770308),(17 31683836),(18 34531540),(19 37416904),(20 40244704),(21 42929750),(22 45599892),(23 48122824),(24 50376532),(25 52378076),(26 54200564),(27 55785470),(28 57242068),(29 58456744),(30 59468184),(31 60244268),(32 60732800),(33 61050530),(34 61083380),(35 60999710),(36 60839530),(37 60485900),(38 59975576),(39 59392684),(40 58705844),(41 58139350),(42 57505932),(43 56929356),(44 56399000),(45 56054388),(46 55799104),(47 55776564),(48 55866390),(49 56001612),(50 56318068),(51 56645130),(52 57019148),(53 57581930),(54 58015704),(55 58564990),(56 59258880),(57 59839308),(58 60470324),(59 61223788),(60 61921292),(61 62635860),(62 63403508),(63 64033780),(64 64498630),(65 64900550),(66 65133812),(67 65261400),(68 65366400),(69 65119430),(70 64739650),(71 64335530),(72 63736052),(73 62992972),(74 62282520),(75 61415960),(76 60380876),(77 59456820),(78 58447550),(79 57324264),
(1 201819.1),(2 715560.56),(3 1514156.9),(4 2610313),(5 3958196.5),(6 5479945),(7 7232699.5),(8 9149633),(9 11189056),(10 13389202),(11 15677584),(12 17900636),(13 20143480),(14 22314782),(15 24355362),(16 26420066),(17 28379284),(18 30196636),(19 31969508),(20 33632932),(21 35016624),(22 36287670),(23 37487900),(24 38434588),(25 39265864),(26 40043684),(27 40561348),(28 40990884),(29 41395364),(30 41567184),(31 41649324),(32 41767616),(33 41666536),(34 41699820),(35 41870584),(36 42034924),(37 42185916),(38 42444004),(39 42669844),(40 43027590),(41 43543228),(42 44044380),(43 44653524),(44 45384540),(45 46113636),(46 46785948),(47 47492424),(48 48178540),(49 48859868),(50 49518950),(51 50147000),(52 50784256),(53 51404804),(54 51855870),(55 52279916),(56 52605020),(57 52802856),(58 52841560),(59 52751084),(60 52604496),(61 52383360),(62 52067530),(63 51667784),(64 51191336),(65 50708430),(66 50215236),(67 49669904),(68 49103510),(69 48475576),(70 47760310),(71 47003228),(72 46193212),(73 45312988),(74 44505560),(75 43731732),(76 42936730),(77 42251200),(78 41650264),(79 41075300),
(1 147648.2),(2 517404.34),(3 1108010.9),(4 1918598.6),(5 2874567),(6 3965736.3),(7 5171877.5),(8 6450711.5),(9 7821868.5),(10 9245961),(11 10685775),(12 12124020),(13 13561350),(14 14964622),(15 16307857),(16 17607314),(17 18880712),(18 20127048),(19 21255552),(20 22392554),(21 23498812),(22 24539882),(23 25563126),(24 26538874),(25 27403434),(26 28137916),(27 28823756),(28 29384146),(29 29941128),(30 30378718),(31 30741118),(32 31132412),(33 31455292),(34 31682782),(35 31910238),(36 32114994),(37 32232030),(38 32371916),(39 32497254),(40 32559374),(41 32648434),(42 32651032),(43 32633742),(44 32614890),(45 32561076),(46 32315060),(47 32117090),(48 31982172),(49 31835848),(50 31782648),(51 31735624),(52 31716202),(53 31767548),(54 31795272),(55 31815884),(56 31898670),(57 31998974),(58 32052152),(59 32166818),(60 32307862),(61 32435638),(62 32688658),(63 32973736),(64 33156020),(65 33375040),(66 33616060),(67 33880300),(68 34153736),(69 34392252),(70 34575412),(71 34706724),(72 34799670),(73 34830084),(74 34820370),(75 34828820),(76 34826050),(77 34897844),(78 34896836),(79 34900404),
(1 139282.33),(2 491744.8),(3 1051781.1),(4 1811621.8),(5 2728519.5),(6 3773545.3),(7 4940371.5),(8 6229177.5),(9 7605550),(10 9063898),(11 10579005),(12 12068383),(13 13601406),(14 15118149),(15 16612418),(16 18089292),(17 19547532),(18 20887720),(19 22190216),(20 23423918),(21 24464878),(22 25470132),(23 26353650),(24 27017288),(25 27592282),(26 27989630),(27 28234408),(28 28349648),(29 28395900),(30 28288122),(31 28112422),(32 27859926),(33 27575500),(34 27222526),(35 26845408),(36 26430038),(37 25990880),(38 25499516),(39 25037236),(40 24549438),(41 24095390),(42 23653320),(43 23254926),(44 22896034),(45 22623594),(46 22443668),(47 22351756),(48 22363862),(49 22440436),(50 22582772),(51 22812712),(52 23126170),(53 23475872),(54 23858926),(55 24269606),(56 24705242),(57 25118208),(58 25575580),(59 26063202),(60 26557764),(61 27106988),(62 27667880),(63 28184994),(64 28670554),(65 29125960),(66 29559912),(67 29979680),(68 30365872),(69 30705836),(70 31013154),(71 31315734),(72 31563468),(73 31753170),(74 31905302),(75 32042440),(76 32147562),(77 32216564),(78 32312278),(79 32375312),
(1 176358.31),(2 637554.56),(3 1375831.8),(4 2375665.8),(5 3589321.8),(6 4964355.5),(7 6461053),(8 8083746),(9 9769202),(10 11515090),(11 13308188),(12 15077973),(13 16863098),(14 18621764),(15 20341454),(16 22002248),(17 23599534),(18 24990784),(19 26272508),(20 27452118),(21 28416014),(22 29298130),(23 30035356),(24 30565074),(25 30863794),(26 30892896),(27 30734698),(28 30474538),(29 29976242),(30 29422706),(31 28818560),(32 28064202),(33 27360956),(34 26591854),(35 25808122),(36 25056022),(37 24287990),(38 23506624),(39 22767408),(40 22108952),(41 21514108),(42 20972974),(43 20522418),(44 20178766),(45 19946300),(46 19791580),(47 19739764),(48 19794680),(49 19878784),(50 20021050),(51 20192758),(52 20364136),(53 20554858),(54 20774900),(55 21000380),(56 21279206),(57 21563100),(58 21857102),(59 22115702),(60 22321248),(61 22484960),(62 22623260),(63 22764320),(64 22878702),(65 22926756),(66 22917084),(67 22885304),(68 22838382),(69 22810528),(70 22779724),(71 22745686),(72 22770222),(73 22808248),(74 22864746),(75 22939200),(76 23062376),(77 23190126),(78 23346278),(79 23504444),
(1 149894.19),(2 533268.5),(3 1126505.1),(4 1916895.5),(5 2851458.8),(6 3915024.5),(7 5073018.5),(8 6296207),(9 7577276.5),(10 8857434),(11 10152205),(12 11424550),(13 12658577),(14 13887234),(15 15056059),(16 16166968),(17 17193112),(18 18128426),(19 18947538),(20 19603452),(21 20150644),(22 20573972),(23 20839588),(24 20971670),(25 21025200),(26 20936008),(27 20775952),(28 20547248),(29 20236370),(30 19869068),(31 19512340),(32 19158096),(33 18811150),(34 18505564),(35 18169966),(36 17857890),(37 17584240),(38 17368754),(39 17265460),(40 17249676),(41 17291378),(42 17406254),(43 17597872),(44 17825334),(45 18131238),(46 18423022),(47 18794368),(48 19173174),(49 19537728),(50 19912252),(51 20268506),(52 20627474),(53 20901886),(54 21145254),(55 21338888),(56 21533422),(57 21689834),(58 21827990),(59 21944484),(60 22016298),(61 22072378),(62 22098376),(63 22136686),(64 22138170),(65 22206500),(66 22269666),(67 22403448),(68 22547704),(69 22739546),(70 22895882),(71 22996608),(72 23100408),(73 23175098),(74 23253466),(75 23310502),(76 23373514),(77 23467904),(78 23519284),(79 23557232),
