1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 79536.01),(2 282891.63),(3 592443.8),(4 968519.3),(5 1388657.1),(6 1802003.4),(7 2212640),(8 2600696.8),(9 2937166.8),(10 3220376),(11 3444015),(12 3595228),(13 3681372.3),(14 3699900),(15 3706602),(16 3726112),(17 3718508),(18 3760019.8),(19 3913669.3),(20 4166115),(21 4486752.5),(22 4901677.5),(23 5382964.5),(24 5957830.5),(25 6583076.5),(26 7310844),(27 8180611.5),(28 9219488),(29 10386760),(30 11699080),(31 13107420),(32 14484901),(33 15966563),(34 17542190),(35 19128684),(36 20761946),(37 22454432),(38 24183194),(39 25918838),(40 27644602),(41 29361592),(42 31099306),(43 32740834),(44 34274170),(45 35678620),(46 37074130),(47 38194412),(48 39141292),(49 39904764),(50 40448696),(51 40673890),(52 40792188),(53 40662932),(54 40402790),(55 40038310),(56 39689600),(57 39332444),(58 38906224),(59 38330156),(60 37700316),(61 36977932),(62 36187852),(63 35282440),(64 34391684),(65 33515018),(66 32692472),(67 31777768),(68 30858174),(69 29964290),(70 29092942),(71 28265168),(72 27550688),(73 26889498),(74 26337592),(75 25848178),(76 25510950),(77 25289728),(78 25084256),(79 24979920),
(1 55835.836),(2 196942.6),(3 413171.16),(4 690324.06),(5 1015643.3),(6 1371976.4),(7 1775696.4),(8 2184897.5),(9 2590845.5),(10 2982752.8),(11 3355818.5),(12 3706235.5),(13 4023005.5),(14 4301008),(15 4567994.5),(16 4817501),(17 5048024),(18 5250336),(19 5453646.5),(20 5659596),(21 5921380),(22 6245939.5),(23 6613560),(24 7050031),(25 7520774.5),(26 8038971),(27 8639753),(28 9284014),(29 9967449),(30 10714025),(31 11547002),(32 12523416),(33 13612363),(34 14839725),(35 16162200),(36 17611208),(37 19227606),(38 20919568),(39 22726532),(40 24578314),(41 26434756),(42 28400176),(43 30289184),(44 32152262),(45 33900390),(46 35640276),(47 37276556),(48 38768492),(49 40247810),(50 41717516),(51 42978280),(52 44187696),(53 45159350),(54 45933256),(55 46498556),(56 47027110),(57 47457224),(58 47850164),(59 48142984),(60 48165644),(61 48041240),(62 47821890),(63 47419700),(64 46969416),(65 46491980),(66 45876396),(67 45138064),(68 44372476),(69 43637736),(70 42952810),(71 42334220),(72 41870176),(73 41557464),(74 41400428),(75 41390376),(76 41593270),(77 41988176),(78 42516230),(79 43072630),
(1 72003.15),(2 269159),(3 571514.7),(4 972362.3),(5 1446913.1),(6 1970694.6),(7 2530923.3),(8 3104924.8),(9 3681162.3),(10 4255201.5),(11 4798224.5),(12 5304608.5),(13 5760150.5),(14 6161097.5),(15 6548410.5),(16 6897339.5),(17 7196341.5),(18 7427440),(19 7631237.5),(20 7817948.5),(21 8019680),(22 8190815.5),(23 8369400),(24 8593986),(25 8857119),(26 9154533),(27 9438544),(28 9781618),(29 10176547),(30 10625941),(31 11139436),(32 11711683),(33 12352720),(34 13107471),(35 13897757),(36 14688141),(37 15514369),(38 16316861),(39 17102112),(40 17827386),(41 18560112),(42 19384104),(43 20214032),(44 21073142),(45 21880274),(46 22665440),(47 23452478),(48 24242250),(49 25072206),(50 25949584),(51 26830480),(52 27716718),(53 28574894),(54 29373882),(55 30130584),(56 30838866),(57 31584088),(58 32321712),(59 33087178),(60 33758468),(61 34372756),(62 34993620),(63 35558004),(64 36055668),(65 36558560),(66 36970020),(67 37357292),(68 37756724),(69 38128220),(70 38487730),(71 38842372),(72 39089932),(73 39281340),(74 39476220),(75 39579892),(76 39654180),(77 39655664),(78 39672148),(79 39676080),
(1 74836.586),(2 279013.34),(3 591114.75),(4 996014.7),(5 1454571.4),(6 1943953.4),(7 2455716),(8 2984976),(9 3520201.3),(10 4057898.3),(11 4590277),(12 5116944),(13 5643370),(14 6157871),(15 6673538.5),(16 7188733),(17 7722361),(18 8279152),(19 8847372),(20 9446206),(21 10097828),(22 10815833),(23 11578900),(24 12352144),(25 13157700),(26 13975964),(27 14748517),(28 15509849),(29 16307396),(30 17157344),(31 18042912),(32 18937466),(33 19879838),(34 20884892),(35 21915766),(36 22935020),(37 23915528),(38 24823836),(39 25666358),(40 26445134),(41 27163428),(42 27858478),(43 28514968),(44 29101918),(45 29629208),(46 30112566),(47 30542954),(48 30972152),(49 31461390),(50 32030784),(51 32602372),(52 33187382),(53 33757816),(54 34314140),(55 34852444),(56 35269268),(57 35651796),(58 36008600),(59 36408356),(60 36780380),(61 37107370),(62 37428736),(63 37746956),(64 38063316),(65 38406824),(66 38816456),(67 39224364),(68 39625720),(69 39936750),(70 40246096),(71 40487612),(72 40642236),(73 40713656),(74 40720284),(75 40635370),(76 40458570),(77 40214116),(78 39973404),(79 39745612),
(1 69379.57),(2 258711.75),(3 548879.25),(4 913373.56),(5 1313029.5),(6 1724819.9),(7 2139185.5),(8 2544533.8),(9 2940489),(10 3332767.3),(11 3705739),(12 4085340.3),(13 4468973),(14 4860306),(15 5258029),(16 5670761.5),(17 6098574),(18 6564215.5),(19 7049057.5),(20 7571385.5),(21 8132567.5),(22 8757785),(23 9384324),(24 10032464),(25 10714240),(26 11403388),(27 12083536),(28 12777887),(29 13508244),(30 14300077),(31 15111593),(32 15940419),(33 16768497),(34 17626062),(35 18484834),(36 19390906),(37 20288306),(38 21149030),(39 21927070),(40 22647806),(41 23308666),(42 23968096),(43 24598342),(44 25161384),(45 25626184),(46 26048314),(47 26410280),(48 26720372),(49 27064954),(50 27493748),(51 27906526),(52 28346926),(53 28711736),(54 29020830),(55 29352710),(56 29581580),(57 29689460),(58 29817018),(59 29981934),(60 30114682),(61 30215218),(62 30356916),(63 30465426),(64 30589876),(65 30691578),(66 30855948),(67 31043352),(68 31262470),(69 31473952),(70 31692194),(71 31872546),(72 32047288),(73 32163358),(74 32270216),(75 32305446),(76 32296902),(77 32247582),(78 32241542),(79 32249432),
(1 67580.46),(2 249878.55),(3 531278.25),(4 891616.7),(5 1312735.3),(6 1774326.8),(7 2261973.5),(8 2760077.5),(9 3254010.5),(10 3742900.8),(11 4213881),(12 4673185.5),(13 5107293.5),(14 5495201),(15 5844796),(16 6162105),(17 6484929),(18 6828509),(19 7193781.5),(20 7564483),(21 7985073.5),(22 8427131),(23 8899004),(24 9414595),(25 9981238),(26 10594621),(27 11218250),(28 11875103),(29 12572323),(30 13312888),(31 14071872),(32 14852325),(33 15621786),(34 16360494),(35 17088910),(36 17803524),(37 18471520),(38 19056204),(39 19548892),(40 19968404),(41 20327022),(42 20651066),(43 20915588),(44 21104876),(45 21255816),(46 21400980),(47 21528448),(48 21637066),(49 21782160),(50 21951132),(51 22091952),(52 22251448),(53 22361082),(54 22442052),(55 22532092),(56 22563742),(57 22519320),(58 22441766),(59 22385088),(60 22305804),(61 22191886),(62 22088950),(63 21974902),(64 21869716),(65 21758112),(66 21652640),(67 21529050),(68 21380656),(69 21222508),(70 21069786),(71 20936796),(72 20816158),(73 20705680),(74 20609476),(75 20481286),(76 20334682),(77 20187812),(78 20119420),(79 20087768),
(1 80493.32),(2 297237.97),(3 627529.6),(4 1047925.6),(5 1531283.9),(6 2045614),(7 2565630.3),(8 3080821.8),(9 3578067),(10 4047707),(11 4483589),(12 4896777),(13 5292624.5),(14 5656072),(15 5995469.5),(16 6329001),(17 6694821.5),(18 7118837.5),(19 7599069.5),(20 8116387.5),(21 8701391),(22 9335735),(23 10002519),(24 10711772),(25 11491472),(26 12275255),(27 13024233),(28 13763518),(29 14493265),(30 15216583),(31 15920678),(32 16611019),(33 17240378),(34 17823416),(35 18367150),(36 18822682),(37 19181710),(38 19422254),(39 19521802),(40 19499970),(41 19370784),(42 19204176),(43 19006906),(44 18763812),(45 18536650),(46 18324180),(47 18144286),(48 18034990),(49 18010086),(50 18113294),(51 18292598),(52 18550094),(53 18800194),(54 19018750),(55 19207912),(56 19345458),(57 19471454),(58 19513372),(59 19484230),(60 19383266),(61 19254414),(62 19128884),(63 19002650),(64 18873656),(65 18726028),(66 18561168),(67 18433544),(68 18365644),(69 18348620),(70 18350746),(71 18394754),(72 18463310),(73 18530820),(74 18619900),(75 18735946),(76 18841058),(77 18932888),(78 19020194),(79 19089346),
(1 86225.984),(2 315462.47),(3 654371.56),(4 1082141.3),(5 1577684),(6 2121792.8),(7 2698907.8),(8 3294852),(9 3897143),(10 4491555),(11 5068009.5),(12 5629699),(13 6169269.5),(14 6689264),(15 7197245),(16 7703179.5),(17 8223602.5),(18 8766207),(19 9318374),(20 9864887),(21 10382487),(22 10858115),(23 11295993),(24 11738547),(25 12179029),(26 12597158),(27 12993948),(28 13401170),(29 13780887),(30 14129975),(31 14444562),(32 14747244),(33 15065841),(34 15362602),(35 15666639),(36 15960994),(37 16205220),(38 16371955),(39 16467725),(40 16499072),(41 16481986),(42 16495930),(43 16529316),(44 16589826),(45 16659132),(46 16765990),(47 16883544),(48 17026280),(49 17194812),(50 17440798),(51 17762480),(52 18160692),(53 18538606),(54 18883036),(55 19195448),(56 19530600),(57 19924162),(58 20294346),(59 20620092),(60 20971950),(61 21321236),(62 21687862),(63 22034274),(64 22374604),(65 22687074),(66 22955062),(67 23213730),(68 23439526),(69 23657888),(70 23873498),(71 24076786),(72 24264734),(73 24404062),(74 24523042),(75 24644060),(76 24753330),(77 24844510),(78 24904458),(79 24912982),
(1 55574.375),(2 201625.13),(3 418216.56),(4 691998.75),(5 1012281.2),(6 1363787.4),(7 1743777.6),(8 2153851.3),(9 2579032.3),(10 3026124),(11 3464418.3),(12 3922212.3),(13 4378760),(14 4826617),(15 5264266.5),(16 5668665),(17 6072133.5),(18 6483443.5),(19 6903712.5),(20 7299795),(21 7645192.5),(22 7932233.5),(23 8169785.5),(24 8378112),(25 8555986),(26 8711167),(27 8862302),(28 9020885),(29 9162342),(30 9323727),(31 9520164),(32 9756566),(33 10018827),(34 10319324),(35 10660864),(36 11029192),(37 11439432),(38 11861329),(39 12283120),(40 12689038),(41 13088087),(42 13509385),(43 13914396),(44 14330516),(45 14724516),(46 15074278),(47 15369819),(48 15673219),(49 15932205),(50 16222750),(51 16520535),(52 16806236),(53 17059062),(54 17267264),(55 17440216),(56 17608284),(57 17749232),(58 17873452),(59 18028506),(60 18179704),(61 18319876),(62 18423818),(63 18512388),(64 18600926),(65 18646404),(66 18652764),(67 18656818),(68 18703450),(69 18791530),(70 18918168),(71 19072290),(72 19205778),(73 19293808),(74 19344116),(75 19355664),(76 19338314),(77 19280470),(78 19192432),(79 19080956),
(1 55031.95),(2 203161.81),(3 427611.44),(4 715560.75),(5 1059438.5),(6 1444774.3),(7 1860234.6),(8 2298815.5),(9 2746516.3),(10 3193408),(11 3642491),(12 4093424),(13 4529925.5),(14 4954885.5),(15 5367983),(16 5747411.5),(17 6106647),(18 6443589.5),(19 6774371.5),(20 7098008),(21 7412433),(22 7708449),(23 7998027.5),(24 8293070),(25 8566816),(26 8819529),(27 9047914),(28 9243911),(29 9434108),(30 9622110),(31 9813972),(32 10014381),(33 10212716),(34 10427040),(35 10653297),(36 10862052),(37 11060752),(38 11273326),(39 11502166),(40 11724852),(41 11934357),(42 12151166),(43 12376139),(44 12612341),(45 12845652),(46 13035828),(47 13205941),(48 13374877),(49 13540067),(50 13727484),(51 13941604),(52 14177141),(53 14420646),(54 14656754),(55 14870302),(56 15092772),(57 15290766),(58 15466432),(59 15627116),(60 15750101),(61 15831628),(62 15878672),(63 15876482),(64 15867065),(65 15833799),(66 15764754),(67 15716155),(68 15697419),(69 15700071),(70 15739698),(71 15826786),(72 15934629),(73 16069708),(74 16233020),(75 16397353),(76 16609888),(77 16785526),(78 16969864),(79 17125006),
(1 55642.336),(2 203259.52),(3 426538.03),(4 709486.2),(5 1038764.7),(6 1399811),(7 1781025.1),(8 2179431.5),(9 2588914.3),(10 3009754),(11 3427414),(12 3840240.3),(13 4244699),(14 4624165),(15 4982389.5),(16 5295423),(17 5583069),(18 5844539.5),(19 6088333),(20 6325985),(21 6578502.5),(22 6845679.5),(23 7147980),(24 7476803),(25 7815905),(26 8156419),(27 8478447),(28 8776779),(29 9106488),(30 9450510),(31 9802869),(32 10154341),(33 10479750),(34 10762256),(35 11045571),(36 11322629),(37 11582404),(38 11824077),(39 12058554),(40 12284875),(41 12499460),(42 12681026),(43 12864080),(44 13023693),(45 13139944),(46 13188049),(47 13194950),(48 13180613),(49 13156651),(50 13124190),(51 13099191),(52 13112414),(53 13135771),(54 13141557),(55 13143605),(56 13170348),(57 13197794),(58 13207550),(59 13202285),(60 13186805),(61 13152860),(62 13110278),(63 13058676),(64 12999109),(65 12934283),(66 12870521),(67 12856224),(68 12886112),(69 12929688),(70 13031512),(71 13133612),(72 13264382),(73 13410839),(74 13569981),(75 13776779),(76 14018589),(77 14256862),(78 14537937),(79 14803153),
