1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 107753.164),(2 381777.9),(3 790978.7),(4 1308021.1),(5 1911924),(6 2571432),(7 3281298),(8 3999480.8),(9 4707892),(10 5381842.5),(11 6039045.5),(12 6688770),(13 7348641.5),(14 8066492),(15 8820223),(16 9621199),(17 10515011),(18 11401632),(19 12352816),(20 13293339),(21 14223340),(22 15198772),(23 16218181),(24 17259614),(25 18295214),(26 19277454),(27 20358168),(28 21516392),(29 22785730),(30 24098064),(31 25476606),(32 26859326),(33 28292970),(34 29918888),(35 31652912),(36 33436680),(37 35319790),(38 37213020),(39 38935330),(40 40660370),(41 42393790),(42 44247860),(43 46013036),(44 47787170),(45 49613468),(46 51397664),(47 53485760),(48 55671230),(49 57936428),(50 60077790),(51 62206690),(52 64162948),(53 65946160),(54 67947030),(55 69875460),(56 71799030),(57 73452216),(58 75062750),(59 76737544),(60 78541750),(61 80336640),(62 82037280),(63 83657496),(64 85236040),(65 86864170),(66 88328870),(67 89890560),(68 91440860),(69 93509290),(70 95287304),(71 97295100),(72 99356200),(73 101611390),(74 103988800),(75 106288840),(76 108539720),(77 110549464),(78 112479030),(79 113831624),
(1 94177.45),(2 334925.66),(3 689029.25),(4 1128205.4),(5 1663044),(6 2238148.5),(7 2871030.3),(8 3518297.5),(9 4165612.8),(10 4765324.5),(11 5367285),(12 5947979),(13 6596976.5),(14 7357315),(15 8226200),(16 9243128),(17 10441826),(18 11646830),(19 12976205),(20 14340819),(21 15694859),(22 17085818),(23 18457842),(24 19787238),(25 20982618),(26 22016372),(27 23109312),(28 24215020),(29 25272034),(30 26321464),(31 27400064),(32 28512010),(33 29636884),(34 30848486),(35 32084010),(36 33304000),(37 34466090),(38 35575724),(39 36402344),(40 37113320),(41 37728024),(42 38419030),(43 39058540),(44 39687156),(45 40335664),(46 41067640),(47 41787704),(48 42598480),(49 43402868),(50 44103532),(51 44857884),(52 45392320),(53 45896004),(54 46399960),(55 46969996),(56 47613120),(57 48097080),(58 48502376),(59 48854276),(60 49351016),(61 49833868),(62 50327424),(63 50711936),(64 51050916),(65 51407612),(66 51701028),(67 52052980),(68 52459468),(69 53057716),(70 53431930),(71 53831948),(72 54167704),(73 54621030),(74 55202764),(75 55796776),(76 56396190),(77 56919060),(78 57458790),(79 57840256),
(1 101810.336),(2 367747.72),(3 782512.8),(4 1310220.9),(5 1935109),(6 2612806.8),(7 3349280.8),(8 4105288.8),(9 4881116),(10 5621662),(11 6367930),(12 7104784),(13 7893994.5),(14 8755877),(15 9672565),(16 10674084),(17 11777987),(18 12917331),(19 14164421),(20 15430164),(21 16670256),(22 17942384),(23 19171524),(24 20328674),(25 21364652),(26 22178244),(27 22948704),(28 23650742),(29 24280136),(30 24855878),(31 25427432),(32 25977446),(33 26516672),(34 27074754),(35 27590630),(36 28083238),(37 28553792),(38 28996352),(39 29242944),(40 29364266),(41 29428064),(42 29549714),(43 29665226),(44 29795126),(45 29886362),(46 29926934),(47 30044400),(48 30184086),(49 30319192),(50 30514446),(51 30679526),(52 30885782),(53 31072926),(54 31059194),(55 31114880),(56 31210266),(57 31281494),(58 31318470),(59 31293942),(60 31296378),(61 31206058),(62 31171336),(63 31058298),(64 30870422),(65 30669360),(66 30433034),(67 30283978),(68 30161746),(69 30164570),(70 30092918),(71 30019958),(72 29979270),(73 29988710),(74 30082298),(75 30187402),(76 30224240),(77 30223530),(78 30309514),(79 30371622),
(1 109111.34),(2 400395.22),(3 859400.44),(4 1451613.3),(5 2159901.5),(6 2938038.3),(7 3770016),(8 4652155),(9 5544192),(10 6424912.5),(11 7292071),(12 8130649),(13 8977932),(14 9784023),(15 10614473),(16 11379744),(17 12164118),(18 12924740),(19 13705559),(20 14431751),(21 15124850),(22 15767061),(23 16377966),(24 16890172),(25 17335594),(26 17640492),(27 17877092),(28 17997254),(29 18002584),(30 17931810),(31 17849366),(32 17782698),(33 17770088),(34 17790854),(35 17802254),(36 17812974),(37 17879736),(38 17957166),(39 18027392),(40 18117568),(41 18224100),(42 18335988),(43 18454670),(44 18546268),(45 18594846),(46 18613590),(47 18582888),(48 18543968),(49 18540406),(50 18631734),(51 18729018),(52 18936384),(53 19105974),(54 19100712),(55 19101436),(56 19117984),(57 19150748),(58 19130538),(59 19029414),(60 18947640),(61 18835502),(62 18757178),(63 18669834),(64 18556038),(65 18463132),(66 18373840),(67 18339524),(68 18278958),(69 18313276),(70 18270118),(71 18219366),(72 18182598),(73 18201038),(74 18217532),(75 18264416),(76 18243850),(77 18224314),(78 18163770),(79 18129146),
(1 121310.27),(2 450144.6),(3 985039.4),(4 1706252.1),(5 2620613.5),(6 3686837),(7 4863961),(8 6150856),(9 7477342.5),(10 8837505),(11 10209585),(12 11638673),(13 13109213),(14 14534182),(15 15946586),(16 17255250),(17 18480678),(18 19647022),(19 20818210),(20 21753646),(21 22510686),(22 23070970),(23 23523156),(24 23834180),(25 24067250),(26 24100044),(27 23995706),(28 23814932),(29 23576602),(30 23270078),(31 22976914),(32 22691094),(33 22365592),(34 22015112),(35 21635246),(36 21288396),(37 21048186),(38 20820574),(39 20652330),(40 20547264),(41 20523736),(42 20572242),(43 20665950),(44 20773338),(45 20896874),(46 20959302),(47 20954566),(48 20917160),(49 20875486),(50 20815928),(51 20701442),(52 20550494),(53 20344494),(54 20026438),(55 19714390),(56 19455518),(57 19221128),(58 18971422),(59 18735502),(60 18494674),(61 18274078),(62 18095144),(63 17930232),(64 17763858),(65 17659710),(66 17525146),(67 17412282),(68 17364698),(69 17359422),(70 17260906),(71 17191016),(72 17191820),(73 17275016),(74 17375934),(75 17497648),(76 17668326),(77 17894444),(78 18134162),(79 18342010),
(1 122441.75),(2 452430.7),(3 982212.4),(4 1689091.4),(5 2558239.3),(6 3567782.8),(7 4693165.5),(8 5903141.5),(9 7094228),(10 8275801.5),(11 9439611),(12 10593958),(13 11725306),(14 12756062),(15 13696352),(16 14495434),(17 15129437),(18 15653310),(19 16079931),(20 16206397),(21 16042822),(22 15729197),(23 15289624),(24 14763645),(25 14188338),(26 13530272),(27 12857048),(28 12238085),(29 11649766),(30 11165944),(31 10824198),(32 10620406),(33 10557621),(34 10655681),(35 10896586),(36 11237285),(37 11814994),(38 12497757),(39 13392682),(40 14357949),(41 15374026),(42 16468957),(43 17634368),(44 18760028),(45 19725000),(46 20598468),(47 21370900),(48 22060490),(49 22584576),(50 22991820),(51 23354620),(52 23646758),(53 23793962),(54 23807580),(55 23761876),(56 23641868),(57 23419622),(58 23105908),(59 22719916),(60 22291320),(61 21849584),(62 21407092),(63 20891662),(64 20378108),(65 19925770),(66 19493814),(67 19113142),(68 18737014),(69 18497476),(70 18321700),(71 18223808),(72 18208858),(73 18319296),(74 18465348),(75 18653820),(76 18922564),(77 19278176),(78 19777892),(79 20323284),
(1 136117.14),(2 514239.56),(3 1109537.1),(4 1896386.9),(5 2828955.8),(6 3862864),(7 4936192.5),(8 6049343),(9 7150014),(10 8193419),(11 9164642),(12 9995758),(13 10740140),(14 11390165),(15 11918191),(16 12344681),(17 12668622),(18 12906633),(19 13064105),(20 13098532),(21 13036629),(22 12919007),(23 12798247),(24 12674631),(25 12573847),(26 12500790),(27 12480073),(28 12555797),(29 12748331),(30 13079351),(31 13511163),(32 13987206),(33 14520169),(34 15153858),(35 15749567),(36 16316430),(37 16873630),(38 17395790),(39 17854698),(40 18253476),(41 18548402),(42 18779472),(43 18928482),(44 19035470),(45 19013378),(46 18999668),(47 18863282),(48 18698028),(49 18517974),(50 18298962),(51 18075898),(52 17896942),(53 17733832),(54 17585238),(55 17479402),(56 17483032),(57 17577008),(58 17764318),(59 18030824),(60 18360136),(61 18725974),(62 19103822),(63 19425288),(64 19663424),(65 19822168),(66 19818264),(67 19734004),(68 19524920),(69 19310274),(70 18946036),(71 18500980),(72 17992460),(73 17420070),(74 16873908),(75 16348261),(76 15825418),(77 15293010),(78 14779551),(79 14301509),
(1 182359.06),(2 682347.2),(3 1441579.3),(4 2411215.3),(5 3534925.8),(6 4757274.5),(7 6033972.5),(8 7313090),(9 8570828),(10 9791533),(11 10967200),(12 12094576),(13 13206400),(14 14263796),(15 15272992),(16 16163916),(17 16890934),(18 17444770),(19 17891800),(20 18159450),(21 18189394),(22 18051718),(23 17770708),(24 17366190),(25 16891576),(26 16368145),(27 15833807),(28 15315426),(29 14831727),(30 14438075),(31 14083153),(32 13830965),(33 13642955),(34 13559135),(35 13550060),(36 13593548),(37 13765745),(38 14028143),(39 14422581),(40 14897088),(41 15378384),(42 15931847),(43 16559916),(44 17108642),(45 17512956),(46 17861870),(47 17990994),(48 17973496),(49 17862370),(50 17600898),(51 17224310),(52 16828754),(53 16337937),(54 15822242),(55 15311501),(56 14885382),(57 14565884),(58 14389834),(59 14376141),(60 14505542),(61 14732197),(62 15043711),(63 15416947),(64 15842308),(65 16352134),(66 16850802),(67 17377886),(68 17915710),(69 18517436),(70 19032142),(71 19521730),(72 19976244),(73 20327902),(74 20626586),(75 20843348),(76 20937378),(77 20861924),(78 20630802),(79 20307982),
(1 139209),(2 524177.53),(3 1104664.3),(4 1857801.1),(5 2741231.5),(6 3731254),(7 4830227),(8 5985868.5),(9 7161665.5),(10 8311616),(11 9435030),(12 10528151),(13 11592024),(14 12539588),(15 13406741),(16 14085786),(17 14580211),(18 14835272),(19 14856650),(20 14649346),(21 14264910),(22 13720843),(23 13099659),(24 12360769),(25 11604031),(26 10874247),(27 10180700),(28 9573730),(29 9107960),(30 8822200),(31 8750142),(32 8808703),(33 8997299),(34 9297192),(35 9664979),(36 10034628),(37 10488661),(38 10924014),(39 11339287),(40 11712235),(41 12037987),(42 12308023),(43 12512474),(44 12561517),(45 12462520),(46 12272520),(47 11966462),(48 11604937),(49 11194720),(50 10732230),(51 10250394),(52 9754231),(53 9284538),(54 8890149),(55 8559756),(56 8318599.5),(57 8203045.5),(58 8200000),(59 8321474),(60 8576719),(61 8943080),(62 9330172),(63 9756498),(64 10191902),(65 10692322),(66 11244183),(67 11824321),(68 12356127),(69 12871209),(70 13270616),(71 13609975),(72 13853686),(73 13987753),(74 14013200),(75 13900090),(76 13648219),(77 13282257),(78 12816184),(79 12370035),
(1 173504.17),(2 651838.75),(3 1369243),(4 2282592.5),(5 3313270),(6 4368064),(7 5395828.5),(8 6337626),(9 7181553),(10 7877300.5),(11 8419463),(12 8831659),(13 9087607),(14 9188094),(15 9234930),(16 9204368),(17 9141325),(18 9028382),(19 8871836),(20 8665998),(21 8408290),(22 8099778),(23 7732914.5),(24 7317431),(25 6845820.5),(26 6378729),(27 5929173.5),(28 5500588.5),(29 5129314),(30 4900640),(31 4777676.5),(32 4818233),(33 4994066.5),(34 5279545.5),(35 5673133.5),(36 6161530.5),(37 6730833),(38 7306120.5),(39 7842156.5),(40 8307910),(41 8639797),(42 8825449),(43 8850546),(44 8672103),(45 8394316),(46 7999322),(47 7544320),(48 7071859),(49 6617849.5),(50 6201344),(51 5855846),(52 5636830),(53 5542661.5),(54 5593538),(55 5767958.5),(56 6075475.5),(57 6481484.5),(58 6921474.5),(59 7383086),(60 7853597.5),(61 8304589.5),(62 8682934),(63 8983788),(64 9200585),(65 9346569),(66 9403470),(67 9399870),(68 9299076),(69 9146172),(70 8926748),(71 8689412),(72 8436918),(73 8155951),(74 7871315.5),(75 7573769),(76 7271102),(77 7034810.5),(78 6872982),(79 6812093.5),
(1 278087.75),(2 1064761.9),(3 2271127),(4 3802524.3),(5 5531358),(6 7269016.5),(7 8897582),(8 10305180),(9 11468646),(10 12274878),(11 12721952),(12 12819068),(13 12584932),(14 12075238),(15 11451672),(16 10742607),(17 10057197),(18 9320848),(19 8607710),(20 8010010.5),(21 7517836.5),(22 7082080),(23 6689892.5),(24 6325666),(25 5992833.5),(26 5700245),(27 5464333),(28 5337844),(29 5339476),(30 5527680),(31 5886788),(32 6379889),(33 7012672.5),(34 7750415.5),(35 8565227),(36 9324646),(37 9941835),(38 10355545),(39 10554303),(40 10532145),(41 10276171),(42 9784177),(43 9164042),(44 8455900),(45 7759748),(46 7112630.5),(47 6630719.5),(48 6367576),(49 6338116),(50 6511030.5),(51 6853796),(52 7321199.5),(53 7866910),(54 8472200),(55 9101858),(56 9721896),(57 10321129),(58 10849835),(59 11344544),(60 11799727),(61 12191168),(62 12489621),(63 12683034),(64 12740516),(65 12656574),(66 12380127),(67 12015110),(68 11555671),(69 11014884),(70 10417956),(71 9835155),(72 9312216),(73 8936450),(74 8714163),(75 8668840),(76 8774065),(77 9018334),(78 9337908),(79 9713906),
(1 314153.97),(2 1199813.9),(3 2534803),(4 4169877.5),(5 5921768.5),(6 7551664.5),(7 8903572),(8 9909705),(9 10543576),(10 10751231),(11 10534945),(12 9953355),(13 9097377),(14 8117784.5),(15 7143783),(16 6285338.5),(17 5662773),(18 5300342.5),(19 5172366),(20 5262951.5),(21 5496803.5),(22 5824858),(23 6181548.5),(24 6495332),(25 6741064.5),(26 6863171.5),(27 6900076),(28 6915148.5),(29 6924296.5),(30 6944668.5),(31 7003203),(32 7104438.5),(33 7271759.5),(34 7411349),(35 7495737),(36 7534222.5),(37 7510036),(38 7380068),(39 7206697.5),(40 6968395),(41 6703953.5),(42 6435837),(43 6226983.5),(44 6101372),(45 6071087.5),(46 6200012),(47 6468616.5),(48 6817653),(49 7196037.5),(50 7540894.5),(51 7811532.5),(52 7996524.5),(53 8060876.5),(54 8007820),(55 7947456),(56 7904101.5),(57 7890752),(58 7891969.5),(59 7960490.5),(60 8026995.5),(61 8095641),(62 8204332.5),(63 8334461),(64 8442258),(65 8562617),(66 8649025),(67 8751897),(68 8828968),(69 8889004),(70 8962994),(71 9058793),(72 9204151),(73 9354298),(74 9488661),(75 9526866),(76 9461262),(77 9303186),(78 9073405),(79 8837656),
(1 300559.25),(2 1137856.1),(3 2379875.5),(4 3835625.3),(5 5307677.5),(6 6590508.5),(7 7586964),(8 8221596),(9 8490802),(10 8413367),(11 8031654.5),(12 7443959.5),(13 6769248),(14 6135181.5),(15 5603124),(16 5245207.5),(17 5096556.5),(18 5109586),(19 5278549.5),(20 5563972.5),(21 5888276.5),(22 6201028.5),(23 6464978),(24 6655750),(25 6782552),(26 6819252),(27 6849678.5),(28 6897058.5),(29 6956873.5),(30 7008442),(31 7067269.5),(32 7131196),(33 7165013.5),(34 7111584),(35 6953887.5),(36 6710354.5),(37 6414958.5),(38 6085368),(39 5782822),(40 5527304),(41 5368834.5),(42 5324529.5),(43 5389576.5),(44 5543246.5),(45 5731580),(46 5990526.5),(47 6303284),(48 6599640),(49 6827544),(50 6958508),(51 7007648),(52 6984820.5),(53 6916338.5),(54 6838160.5),(55 6782997.5),(56 6741966.5),(57 6692593.5),(58 6654692),(59 6656398),(60 6682928),(61 6765428),(62 6861537.5),(63 6991702.5),(64 7108796),(65 7225162),(66 7346012),(67 7454981.5),(68 7548692),(69 7624981.5),(70 7712882.5),(71 7783412),(72 7806142.5),(73 7741270.5),(74 7600629.5),(75 7401546),(76 7121780),(77 6784325.5),(78 6482824),(79 6312309.5),
(1 237147.7),(2 896700.56),(3 1876610.8),(4 3027962.5),(5 4175675),(6 5205515),(7 6054918.5),(8 6631379),(9 6929924),(10 6952994.5),(11 6739041.5),(12 6348197),(13 5837961.5),(14 5324356.5),(15 4879563.5),(16 4547957),(17 4372611),(18 4327990),(19 4399500.5),(20 4540479.5),(21 4699407),(22 4839471.5),(23 4949208),(24 5018769.5),(25 5036405),(26 5004135),(27 4979631.5),(28 4948533),(29 4919111.5),(30 4907495),(31 4939818),(32 4991192.5),(33 5064881.5),(34 5135837.5),(35 5180214.5),(36 5185630.5),(37 5182139.5),(38 5133501),(39 5079565),(40 5018476),(41 4956349),(42 4939291),(43 4957462.5),(44 4998059),(45 5101873),(46 5256531),(47 5491741.5),(48 5766558.5),(49 6065282.5),(50 6389261),(51 6722841.5),(52 7045312),(53 7276769.5),(54 7370989),(55 7348622),(56 7185037.5),(57 6913235),(58 6553572),(59 6167378),(60 5786428),(61 5458843),(62 5206851.5),(63 5051674.5),(64 5042920.5),(65 5203750.5),(66 5529335.5),(67 5981617.5),(68 6516953.5),(69 7048827),(70 7465987),(71 7746797),(72 7873204.5),(73 7817098),(74 7597821),(75 7264295.5),(76 6883342),(77 6547117),(78 6325298.5),(79 6235035.5),
(1 164805.9),(2 605162.5),(3 1244186.1),(4 1990536.6),(5 2745805.5),(6 3449924.3),(7 4047800.3),(8 4496795),(9 4789146.5),(10 4902380),(11 4861246),(12 4690966),(13 4472493.5),(14 4275522.5),(15 4137612.3),(16 4081943.8),(17 4107819.3),(18 4143909.5),(19 4183663.3),(20 4197618.5),(21 4215446),(22 4217297.5),(23 4207513.5),(24 4162354.3),(25 4104409.5),(26 4046171),(27 4013169),(28 3986842),(29 3975396.3),(30 4000733.8),(31 4076461.5),(32 4186072.8),(33 4330560.5),(34 4475645),(35 4613035.5),(36 4727217),(37 4823520.5),(38 4881131.5),(39 4951726.5),(40 5006863.5),(41 5034841),(42 5051310),(43 5048683),(44 5036144),(45 5020916),(46 4950102),(47 4817224.5),(48 4683272.5),(49 4540947),(50 4408694.5),(51 4312823),(52 4285715),(53 4321662.5),(54 4366393.5),(55 4427806.5),(56 4509018),(57 4613883.5),(58 4693181.5),(59 4730403),(60 4700294),(61 4628782.5),(62 4534772),(63 4452859),(64 4428835),(65 4481433),(66 4601148),(67 4796512),(68 5062594),(69 5362204),(70 5637266),(71 5926011),(72 6194572),(73 6388754.5),(74 6482925.5),(75 6489623.5),(76 6442971.5),(77 6382492),(78 6288706.5),(79 6154784),
