1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 2432.0173),(2 3900.343),(3 4299.0156),(4 4437.5205),(5 4629.989),(6 4830.524),(7 4938.8247),(8 4891.812),(9 4819.3276),(10 4824.476),(11 4798.8613),(12 4810.8203),(13 4775.28),(14 4853.938),(15 4876.8374),(16 4899.46),(17 5003.622),(18 5057.3804),(19 4984.0874),(20 5020.8286),(21 5150.3267),(22 5141.1167),(23 5051.3774),(24 4948.396),(25 4875.851),(26 4889.5415),(27 4900.7314),(28 4891.4326),(29 4899.2793),(30 4842.3237),(31 4850.285),(32 4803.786),(33 4791.989),(34 4795.4526),(35 4880.8887),(36 4913.086),(37 4909.3896),(38 4980.1826),(39 4989.617),(40 4901.959),(41 4725.0674),(42 4730.4834),(43 4757.1416),(44 4822.8403),(45 4885.999),(46 4959.9624),(47 5053.2393),(48 5062.7275),(49 4977.7754),(50 4946.947),(51 4887.409),(52 4991.3364),(53 5110.4976),(54 5119.8086),(55 5037.907),(56 4968.359),(57 4923.769),(58 4875.8213),(59 4823.21),(60 4885.2905),(61 5004.3086),(62 5111.494),(63 5122.856),(64 5145.1777),(65 5114.8857),(66 5061.5557),(67 5006.331),(68 4897.5864),(69 4876.503),(70 4786.183),(71 4774.773),(72 4792.2124),(73 4754.719),(74 4759.025),(75 4819.979),(76 4887.518),(77 4937.73),(78 4943.3857),(79 4923.793),
(1 2440.052),(2 3945.7344),(3 4411.968),(4 4591.65),(5 4875.5713),(6 5031.428),(7 4988.772),(8 4898.157),(9 4809.1865),(10 4790.537),(11 4791.537),(12 4895.411),(13 4837.89),(14 4925.249),(15 4918.677),(16 4970.16),(17 5077.741),(18 5078.6987),(19 5065.4014),(20 5156.4136),(21 5248.5444),(22 5268.751),(23 5167.256),(24 5077.782),(25 4976.183),(26 4985.223),(27 4960.7695),(28 4869.1016),(29 4943.448),(30 4881.8145),(31 4888.4253),(32 4880.0093),(33 4975.771),(34 5033.248),(35 5152.954),(36 5172.437),(37 5218.4355),(38 5201.2705),(39 5164.91),(40 5048.0254),(41 4875.039),(42 4951.027),(43 5007.3857),(44 5031.141),(45 5065.131),(46 5103.032),(47 5098.6265),(48 5061.7217),(49 4976.1343),(50 4872.261),(51 4831.6094),(52 4948.501),(53 5011.7153),(54 5062.0396),(55 5047.1187),(56 4961.091),(57 4952.041),(58 5003.875),(59 5007.4004),(60 5124.6934),(61 5160.55),(62 5131.094),(63 5117.4),(64 5091.4087),(65 5027.527),(66 5003.821),(67 5037.051),(68 4900.9004),(69 4870.5635),(70 4824.249),(71 4796.251),(72 4762.4155),(73 4797.7495),(74 4861.011),(75 4900.8784),(76 4947.1597),(77 5057.689),(78 5070.9253),(79 5031.424),
(1 2283.027),(2 3638.1772),(3 4067.8208),(4 4238.4966),(5 4374.9546),(6 4532.871),(7 4521.335),(8 4497.111),(9 4489.448),(10 4528.7236),(11 4564.8),(12 4584.6157),(13 4519.272),(14 4639.183),(15 4659.4785),(16 4749.672),(17 4812.84),(18 4781.998),(19 4685.4346),(20 4731.5254),(21 4772.58),(22 4818.6045),(23 4777.351),(24 4675.536),(25 4554.245),(26 4597.1455),(27 4637.791),(28 4685.429),(29 4690.568),(30 4651.8193),(31 4644.6924),(32 4595.698),(33 4654.7725),(34 4648.664),(35 4746.2534),(36 4754.7764),(37 4786.41),(38 4838.429),(39 4823.327),(40 4708.096),(41 4625.234),(42 4710.599),(43 4659.4424),(44 4663.3027),(45 4637.5127),(46 4629.2993),(47 4623.692),(48 4660.211),(49 4616.2695),(50 4538.3896),(51 4462.656),(52 4525.8037),(53 4511.9287),(54 4524.367),(55 4525.8115),(56 4623.0825),(57 4659.309),(58 4656.07),(59 4705.853),(60 4742.671),(61 4690.256),(62 4735.6),(63 4718.306),(64 4690.515),(65 4621.9697),(66 4629.314),(67 4659.662),(68 4632.9155),(69 4630.3286),(70 4575.642),(71 4599.0293),(72 4537.653),(73 4619.72),(74 4659.928),(75 4578.616),(76 4490.8296),(77 4645.4233),(78 4641.688),(79 4625.755),
(1 2235.2683),(2 3538.9307),(3 3950.4785),(4 4097.848),(5 4286.6274),(6 4516.0625),(7 4479.173),(8 4393.9775),(9 4375.6475),(10 4377.826),(11 4432.814),(12 4468.6416),(13 4520.3804),(14 4696.0684),(15 4719.709),(16 4765.4946),(17 4800.2393),(18 4725.6943),(19 4679.241),(20 4662.1333),(21 4672.335),(22 4734.53),(23 4698.85),(24 4630.5933),(25 4546.586),(26 4636.4077),(27 4632.0825),(28 4692.3037),(29 4680.167),(30 4660.8066),(31 4676.276),(32 4648.149),(33 4625.1396),(34 4631.9165),(35 4747.102),(36 4744.877),(37 4742.0796),(38 4736.9316),(39 4717.7153),(40 4618.2783),(41 4638.0283),(42 4607.8003),(43 4557.02),(44 4524.2573),(45 4511.1616),(46 4530.1167),(47 4514.878),(48 4511.272),(49 4484.376),(50 4511.21),(51 4457.302),(52 4526.619),(53 4672.547),(54 4635.2056),(55 4625.5996),(56 4679.081),(57 4719.4946),(58 4686.8657),(59 4712.764),(60 4711.2427),(61 4670.9336),(62 4679.237),(63 4678.7573),(64 4674.453),(65 4648.1396),(66 4622.0547),(67 4575.7646),(68 4535.517),(69 4540.305),(70 4487.812),(71 4488.4106),(72 4446.589),(73 4515.271),(74 4527.418),(75 4468.1733),(76 4411.4375),(77 4427.726),(78 4321.8496),(79 4329.8813),
(1 2196.1958),(2 3442.753),(3 3758.7869),(4 3914.626),(5 4075.7559),(6 4355.6665),(7 4387.64),(8 4319.2095),(9 4289.6577),(10 4243.4146),(11 4267.0063),(12 4341.179),(13 4416.4917),(14 4576.2417),(15 4570.2695),(16 4537.792),(17 4505.692),(18 4443.772),(19 4452.7544),(20 4448.937),(21 4483.368),(22 4564.4277),(23 4548.1035),(24 4462.7227),(25 4402.277),(26 4441.72),(27 4450.2363),(28 4558.9893),(29 4539.964),(30 4521.904),(31 4527.124),(32 4485.959),(33 4498.515),(34 4479.9194),(35 4462.198),(36 4430.293),(37 4425.4834),(38 4393.13),(39 4362.2476),(40 4300.295),(41 4306.107),(42 4340.091),(43 4368.687),(44 4419.652),(45 4399.6147),(46 4386.016),(47 4347.963),(48 4315.87),(49 4243.8296),(50 4266.9106),(51 4245.161),(52 4288.995),(53 4370.1143),(54 4400.1797),(55 4412.3027),(56 4444.459),(57 4435.0386),(58 4433.6514),(59 4374.491),(60 4338.7446),(61 4374.421),(62 4462.6514),(63 4451.3203),(64 4418.084),(65 4397.6543),(66 4373.886),(67 4381.04),(68 4405.825),(69 4335.612),(70 4301.2104),(71 4305.443),(72 4222.168),(73 4234.0264),(74 4206.5547),(75 4172.408),(76 4197.0127),(77 4244.451),(78 4203.6196),(79 4296.9277),
(1 2095.8604),(2 3306.4968),(3 3618.025),(4 3756.851),(5 3888.1934),(6 4092.0925),(7 4098.17),(8 4111.121),(9 4101.9697),(10 4083.695),(11 4088.9465),(12 4162.9214),(13 4189.682),(14 4369.78),(15 4396.8765),(16 4367.9824),(17 4368.1255),(18 4355.0327),(19 4294.0107),(20 4230.9785),(21 4304.6914),(22 4325.486),(23 4332.639),(24 4263.6343),(25 4235.342),(26 4237.008),(27 4245.668),(28 4258.2607),(29 4214.562),(30 4177.1294),(31 4153.6953),(32 4121.748),(33 4125.5327),(34 4254.037),(35 4280.5015),(36 4261.0435),(37 4226.322),(38 4142.012),(39 4110.6704),(40 4038.1628),(41 4050.7344),(42 4135.415),(43 4185.091),(44 4246.8936),(45 4312.87),(46 4319.4985),(47 4286.723),(48 4209.8403),(49 4140.6333),(50 4118.918),(51 4164.0444),(52 4180.683),(53 4218.352),(54 4273.8677),(55 4336.8774),(56 4369.8457),(57 4348.955),(58 4354.885),(59 4285.0977),(60 4288.4624),(61 4315.2686),(62 4425.978),(63 4435.604),(64 4394.9014),(65 4376.8755),(66 4312.218),(67 4307.5005),(68 4341.5654),(69 4310.4067),(70 4263.909),(71 4226.7314),(72 4170.84),(73 4076.1685),(74 4021.4507),(75 4043.6821),(76 4070.427),(77 4074.39),(78 4147.496),(79 4221.677),
(1 2016.3774),(2 3107.623),(3 3427.0613),(4 3548.3218),(5 3692.1545),(6 3804.6697),(7 3808.4924),(8 3906.9495),(9 3817.6619),(10 3847.3796),(11 3891.951),(12 3987.2495),(13 3988.1858),(14 4132.6387),(15 4173.239),(16 4183.092),(17 4223.8394),(18 4215.872),(19 4137.0786),(20 4101.851),(21 4104.3623),(22 4049.6438),(23 4012.6592),(24 3976.2268),(25 4054.058),(26 4073.8203),(27 4132.908),(28 4111.781),(29 4109.3394),(30 4027.914),(31 3920.0496),(32 3874.221),(33 3867.7622),(34 4003.8455),(35 4065.2246),(36 4034.9346),(37 4049.356),(38 4050.7556),(39 4028.5198),(40 3999.7976),(41 4026.0408),(42 4052.7578),(43 4056.9324),(44 4055.6272),(45 4079.298),(46 4151.39),(47 4090.6794),(48 3979.5735),(49 3938.3052),(50 3952.0024),(51 4009.5664),(52 4071.1387),(53 4095.7004),(54 4134.939),(55 4194.466),(56 4212.2573),(57 4223.3994),(58 4170.4644),(59 4134.8647),(60 4135.596),(61 4116.5405),(62 4207.6523),(63 4180.7813),(64 4138.4097),(65 4128.4453),(66 4104.156),(67 4050.342),(68 4063.815),(69 4051.835),(70 4066.5308),(71 3973.5334),(72 3995.4946),(73 3925.1382),(74 3899.6526),(75 3974.2847),(76 3942.1172),(77 3930.0676),(78 3960.0527),(79 3971.971),
(1 1980.6963),(2 3043.7676),(3 3355.1555),(4 3429.8418),(5 3513.2603),(6 3622.3945),(7 3618.3525),(8 3698.624),(9 3705.796),(10 3731.053),(11 3761.4106),(12 3776.139),(13 3769.1057),(14 3920.755),(15 3969.844),(16 3978.2449),(17 3952.0132),(18 3874.685),(19 3884.3699),(20 3876.975),(21 3885.4941),(22 3871.6926),(23 3874.8618),(24 3920.981),(25 4009.1787),(26 3989.6255),(27 4008.329),(28 4052.36),(29 4106.862),(30 4010.8794),(31 3905.7578),(32 3802.4587),(33 3775.8115),(34 3817.2878),(35 3833.2188),(36 3793.3467),(37 3862.7485),(38 3926.6306),(39 3927.4136),(40 3904.0796),(41 3898.1362),(42 3917.9785),(43 3915.7007),(44 3930.8052),(45 3930.087),(46 3954.3083),(47 3993.7634),(48 3928.989),(49 3874.4968),(50 3843.9736),(51 3829.9639),(52 3858.246),(53 3873.499),(54 3926.0615),(55 3981.1865),(56 4017.9038),(57 3983.1377),(58 3954.0737),(59 3953.9204),(60 3941.026),(61 3910.8428),(62 3994.085),(63 3909.7896),(64 3865.734),(65 3835.8762),(66 3833.725),(67 3832.0608),(68 3842.7578),(69 3864.6787),(70 3898.9258),(71 3857.2754),(72 3921.8918),(73 3868.821),(74 3817.285),(75 3838.3325),(76 3768.7874),(77 3740.309),(78 3730.6895),(79 3739.8835),
(1 1894.9734),(2 2914.8413),(3 3196.8584),(4 3253.8992),(5 3318.8271),(6 3425.5774),(7 3427.8447),(8 3501.115),(9 3528.9126),(10 3578.9778),(11 3668.7417),(12 3602.3442),(13 3596.0337),(14 3747.498),(15 3811.8162),(16 3806.6582),(17 3779.697),(18 3690.1328),(19 3720.9712),(20 3662.4893),(21 3696.7688),(22 3679.8308),(23 3767.941),(24 3812.2095),(25 3847.567),(26 3844.9229),(27 3859.8682),(28 3885.1733),(29 3889.9473),(30 3855.9526),(31 3835.6963),(32 3753.7222),(33 3751.3042),(34 3758.1218),(35 3729.0117),(36 3665.4565),(37 3717.7659),(38 3745),(39 3747.4172),(40 3734.3184),(41 3730.494),(42 3759.6885),(43 3772.3247),(44 3826.1528),(45 3837.0803),(46 3886.2307),(47 3907.8796),(48 3802.5146),(49 3719.6162),(50 3737.416),(51 3714.9875),(52 3665.8057),(53 3636.6016),(54 3690.9517),(55 3766.9656),(56 3803.091),(57 3779.699),(58 3825.5776),(59 3836.9275),(60 3766.2317),(61 3688.1423),(62 3788.6294),(63 3747.8616),(64 3704.1575),(65 3695.3247),(66 3731.0674),(67 3759.9575),(68 3680.2114),(69 3669.633),(70 3735.1633),(71 3772.3076),(72 3791.2996),(73 3773.4773),(74 3755.3467),(75 3726.5994),(76 3647.823),(77 3532.1968),(78 3538.201),(79 3547.3044),
(1 1809.2809),(2 2771.6084),(3 3087.773),(4 3218.4739),(5 3236.8464),(6 3299.0237),(7 3307.1658),(8 3355.564),(9 3386.1428),(10 3381.637),(11 3471.9521),(12 3467.098),(13 3499.9265),(14 3612.2563),(15 3697.523),(16 3688.8054),(17 3686.0203),(18 3624.609),(19 3651.0613),(20 3593.9753),(21 3530.8313),(22 3506.8228),(23 3580.545),(24 3650.9739),(25 3688.9353),(26 3682.8794),(27 3747.362),(28 3675.1458),(29 3649.6487),(30 3637.1763),(31 3635.1174),(32 3586.6384),(33 3590.7756),(34 3560.8533),(35 3543.6912),(36 3522.2925),(37 3556.3591),(38 3598.428),(39 3656.1167),(40 3628.416),(41 3633.4866),(42 3653.7588),(43 3615.3796),(44 3671.133),(45 3655.92),(46 3658.4915),(47 3661.886),(48 3618.3262),(49 3591.9749),(50 3605.0022),(51 3557.66),(52 3549.475),(53 3541.1096),(54 3587.3586),(55 3604.568),(56 3628.905),(57 3652.8105),(58 3681.8833),(59 3670.513),(60 3601.636),(61 3513.9514),(62 3562.335),(63 3592.9436),(64 3633.8494),(65 3682.1892),(66 3701.4697),(67 3664.708),(68 3584.722),(69 3535.2627),(70 3558.3247),(71 3620.4763),(72 3601.6704),(73 3584.127),(74 3583.8044),(75 3544.6887),(76 3464.3904),(77 3480.1936),(78 3499.3975),(79 3532.896),
(1 1745.9341),(2 2711.079),(3 2993.5151),(4 3089.2913),(5 3106.525),(6 3169.2036),(7 3205.602),(8 3273.9846),(9 3258.9473),(10 3256.2537),(11 3290.337),(12 3239.1736),(13 3241.875),(14 3393.5842),(15 3510.8418),(16 3482.024),(17 3451.5977),(18 3387.6846),(19 3412.587),(20 3389.3315),(21 3406.3667),(22 3425.9763),(23 3470.6963),(24 3485.8225),(25 3496.1265),(26 3509.3),(27 3595.826),(28 3560.882),(29 3542.5269),(30 3506.3904),(31 3487.2146),(32 3448.808),(33 3416.6155),(34 3449.1304),(35 3478.9163),(36 3455.9692),(37 3472.6042),(38 3510.5337),(39 3573.2053),(40 3557.9563),(41 3578.4353),(42 3589.7659),(43 3545.8552),(44 3561.791),(45 3537.3596),(46 3509.4746),(47 3501.1755),(48 3462.9875),(49 3505.0686),(50 3510.88),(51 3448.4436),(52 3433.7708),(53 3451.8616),(54 3480.479),(55 3545.4976),(56 3576.1658),(57 3627.133),(58 3574.2612),(59 3545.322),(60 3511.4072),(61 3464.5488),(62 3436.9094),(63 3490.75),(64 3531.607),(65 3575.2732),(66 3591.8857),(67 3610.2227),(68 3528.3342),(69 3517.9875),(70 3544.93),(71 3579.1533),(72 3549.1697),(73 3509.8877),(74 3472.504),(75 3458.4595),(76 3461.17),(77 3504.4917),(78 3521.4517),(79 3530.2139),
(1 1652.6981),(2 2522.977),(3 2803.318),(4 2927.6296),(5 2987.1882),(6 3032.9624),(7 3126.9697),(8 3142.2236),(9 3048.0618),(10 3080.7734),(11 3116.2703),(12 3154.7546),(13 3167.3115),(14 3303.9348),(15 3375.7256),(16 3361.9165),(17 3346.0383),(18 3336.5945),(19 3343.7844),(20 3283.1213),(21 3295.0999),(22 3303.907),(23 3327.2114),(24 3383.3823),(25 3413.4822),(26 3434.3835),(27 3475.7485),(28 3433.802),(29 3441.2212),(30 3400.976),(31 3433.2744),(32 3406.8174),(33 3366.7827),(34 3354.7512),(35 3412.1375),(36 3391.1812),(37 3388.6355),(38 3408.5967),(39 3409.8638),(40 3408.839),(41 3384.1665),(42 3337.0518),(43 3350.0232),(44 3326.3872),(45 3310.756),(46 3365.1575),(47 3371.5046),(48 3370.6985),(49 3370.1782),(50 3347.411),(51 3329.6636),(52 3335.2378),(53 3351.749),(54 3387.8599),(55 3430.8142),(56 3437.9211),(57 3452.9656),(58 3460.914),(59 3473.6946),(60 3403.4392),(61 3357.8364),(62 3351.527),(63 3399.8794),(64 3428.1538),(65 3433.3525),(66 3417.6458),(67 3411.8098),(68 3387.477),(69 3388.301),(70 3401.6777),(71 3437.1812),(72 3441.9937),(73 3448.7957),(74 3390.1567),(75 3310.3923),(76 3258.1882),(77 3256.298),(78 3260.936),(79 3271.049),
(1 1568.119),(2 2396.9355),(3 2640.2646),(4 2763.8752),(5 2828.0234),(6 2866.6277),(7 2934.6702),(8 3012.9622),(9 2970.7524),(10 3059.341),(11 3053.7456),(12 3088.5583),(13 3082.5015),(14 3184.502),(15 3264.925),(16 3283.8645),(17 3319.1292),(18 3345.304),(19 3298.0234),(20 3268.704),(21 3286.1118),(22 3298.1956),(23 3316.9563),(24 3247.524),(25 3251.2446),(26 3248.31),(27 3300.8887),(28 3351.0261),(29 3359.7896),(30 3326.3281),(31 3354.303),(32 3352.9902),(33 3304.389),(34 3284.3894),(35 3283.7544),(36 3235.1758),(37 3228.1018),(38 3164.33),(39 3141.2288),(40 3203.7676),(41 3155.7637),(42 3159.4697),(43 3143.016),(44 3140.5054),(45 3176.5535),(46 3232.4517),(47 3249.4902),(48 3277.52),(49 3294.8364),(50 3310.7092),(51 3323.011),(52 3323.006),(53 3315.6382),(54 3251.0205),(55 3216.3767),(56 3215.5674),(57 3257.413),(58 3251.4143),(59 3227.0054),(60 3202.668),(61 3148.5427),(62 3145.1382),(63 3256.0334),(64 3287.7986),(65 3290.827),(66 3250.181),(67 3280.8613),(68 3299.379),(69 3329.284),(70 3307.6765),(71 3301.1458),(72 3296.522),(73 3307.8586),(74 3253.4011),(75 3208.821),(76 3206.5642),(77 3175.9646),(78 3181.3276),(79 3180.857),
(1 1502.2754),(2 2277.1482),(3 2462.9805),(4 2561.2896),(5 2660.4104),(6 2745.553),(7 2837.003),(8 2920.802),(9 2909.35),(10 2927.1301),(11 2906.5232),(12 2942.5146),(13 2970.1719),(14 3014.6125),(15 3105.4338),(16 3130.624),(17 3160.6248),(18 3170.647),(19 3137.7854),(20 3044.7107),(21 3064.566),(22 3088.178),(23 3093.8594),(24 3104.8005),(25 3160.9277),(26 3239.349),(27 3293.9863),(28 3222.7253),(29 3239.0085),(30 3201.9346),(31 3231.7605),(32 3220.5195),(33 3236.254),(34 3205.7273),(35 3187.149),(36 3102.9473),(37 3087.026),(38 3055.7412),(39 3055.4421),(40 3036.1184),(41 2978.6675),(42 3009.655),(43 2987.3706),(44 3016.4014),(45 3042.8),(46 3084.4165),(47 3086.3582),(48 3076.1438),(49 3130.512),(50 3145.4915),(51 3188.6194),(52 3202.2205),(53 3212.2153),(54 3164.9163),(55 3168.9248),(56 3193.5115),(57 3157.8628),(58 3104.609),(59 3087.051),(60 3071.1367),(61 3008.353),(62 3025.5137),(63 3085.2732),(64 3080.7612),(65 3058.7036),(66 3040.5708),(67 3086.22),(68 3143.471),(69 3152.9543),(70 3117.56),(71 3108.3528),(72 3094.0613),(73 3092.4934),(74 3078.3647),(75 3081.3186),(76 3056.5283),(77 3084.5452),(78 3059.5374),(79 3017.9175),
(1 1491.7206),(2 2239.2458),(3 2416.2288),(4 2511.5178),(5 2654.2515),(6 2756.7126),(7 2837.5444),(8 2914.8325),(9 2906.08),(10 2958.9648),(11 2966.7122),(12 2975.095),(13 2956.7214),(14 2977.0664),(15 3051.8208),(16 3059.8433),(17 3038.0583),(18 3068.132),(19 3028.2917),(20 2975.2695),(21 2985.0808),(22 2981.317),(23 3013.8833),(24 3068.812),(25 3134.8591),(26 3205.0637),(27 3246.3635),(28 3191.2278),(29 3145.0562),(30 3102.8638),(31 3106.036),(32 3056.5947),(33 3051.6545),(34 3045.535),(35 3070.9973),(36 2999.8596),(37 2925.4802),(38 2913.8635),(39 2920.4006),(40 2903.554),(41 2911.0967),(42 2928.1077),(43 2910.26),(44 2916.408),(45 2898.1975),(46 2918.4126),(47 2933.8057),(48 2935.504),(49 2960.6074),(50 2981.5195),(51 2960.8396),(52 2995.6968),(53 3034.8215),(54 3025.825),(55 3052.63),(56 3073.9795),(57 3030.8367),(58 2991.3357),(59 3000.3071),(60 2994.345),(61 2942.7017),(62 2972.1685),(63 3021.5862),(64 2999.0002),(65 2994.9648),(66 3020.215),(67 3061.8862),(68 3068.1545),(69 3083.3545),(70 3087.2458),(71 3105.552),(72 3088.4023),(73 3060.3464),(74 3046.6997),(75 3029.855),(76 2974.6943),(77 3013.0134),(78 3014.0693),(79 3016.1094),
(1 1433.5338),(2 2154.9739),(3 2329.741),(4 2464.4658),(5 2593.9795),(6 2637.4268),(7 2658.7905),(8 2714.5452),(9 2687.278),(10 2754.6118),(11 2806.3127),(12 2811.9563),(13 2802.248),(14 2884.4304),(15 2971.3774),(16 3002.8225),(17 2984.666),(18 2972.3108),(19 2938.2468),(20 2928.3237),(21 2948.5154),(22 2909.522),(23 2950.095),(24 2983.621),(25 3037.7087),(26 3054.3623),(27 3069.627),(28 3037.8987),(29 3033.0522),(30 2993.9304),(31 2992.4316),(32 2969.3682),(33 2927.7283),(34 2883.3057),(35 2902.0388),(36 2832.6963),(37 2815.6653),(38 2839.103),(39 2846.557),(40 2848.0737),(41 2840.2827),(42 2852.2622),(43 2851.6038),(44 2858.0771),(45 2808.8699),(46 2845.7332),(47 2809.3389),(48 2794.8267),(49 2819.6758),(50 2883.055),(51 2838.468),(52 2854.9312),(53 2871.1582),(54 2883.5864),(55 2933.583),(56 2950.6467),(57 2939.5747),(58 2965.3591),(59 2973.3752),(60 2972.1145),(61 2910.6445),(62 2925.8816),(63 2953.0327),(64 2952.01),(65 2964.1736),(66 2957.1409),(67 2958.0186),(68 2966.584),(69 3005.7964),(70 3006.5552),(71 3000.0085),(72 2983.1145),(73 2951.904),(74 2934.4985),(75 2945.5073),(76 2882.3977),(77 2892.236),(78 2875.1643),(79 2907.4697),
(1 1365.8075),(2 2008.414),(3 2211.898),(4 2316.6301),(5 2406.8635),(6 2482.8035),(7 2523.62),(8 2537.582),(9 2563.599),(10 2598.5679),(11 2596.861),(12 2620.9321),(13 2658.9695),(14 2711.7693),(15 2827.4714),(16 2894.8193),(17 2894.8403),(18 2918.2085),(19 2898.4978),(20 2908.6226),(21 2882.954),(22 2832.0295),(23 2875.8445),(24 2893.4807),(25 2902.4436),(26 2904.6406),(27 2861.461),(28 2834.7788),(29 2851.9766),(30 2831.258),(31 2893.2183),(32 2889.0308),(33 2849.7285),(34 2811.069),(35 2860.7688),(36 2787.6494),(37 2801.9),(38 2808.5913),(39 2800.6255),(40 2804.7031),(41 2815.436),(42 2823.927),(43 2822.2227),(44 2819.2402),(45 2754.5347),(46 2789.261),(47 2687.942),(48 2666.929),(49 2639.1067),(50 2697.0383),(51 2691.7769),(52 2722.9702),(53 2744.1755),(54 2738.4143),(55 2741.036),(56 2802.5408),(57 2805.3833),(58 2857.1711),(59 2874.051),(60 2809.489),(61 2757.199),(62 2754.141),(63 2792.4385),(64 2801.449),(65 2810.4587),(66 2748.387),(67 2717.278),(68 2754.722),(69 2772.6506),(70 2759.2053),(71 2721.437),(72 2710.1423),(73 2730.9045),(74 2725.7146),(75 2743.503),(76 2680.8794),(77 2722.022),(78 2745.7815),(79 2778.238),
