1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 98929.31),(2 175696.88),(3 179070.39),(4 370665.72),(5 546388.3),(6 618307.2),(7 878761.3),(8 1121797.4),(9 1248442.1),(10 1556484.6),(11 1859105.9),(12 2036394.6),(13 2402938.8),(14 2789540.8),(15 3041900.8),(16 3504452.8),(17 4014474),(18 4354541),(19 4909367),(20 5495757.5),(21 5891613.5),(22 6504763.5),(23 7224536.5),(24 7676736),(25 8383912),(26 9151975),(27 9716160),(28 10527325),(29 11461568),(30 12160568),(31 13155380),(32 14294231),(33 15184099),(34 16282605),(35 17524954),(36 18472272),(37 19657778),(38 21040984),(39 22104910),(40 23374590),(41 24881734),(42 26046832),(43 27425482),(44 28991744),(45 30171128),(46 31472854),(47 32986922),(48 34259588),(49 35610396),(50 37185720),(51 38450692),(52 39821276),(53 41377116),(54 42647684),(55 43966240),(56 45545164),(57 46819788),(58 48145708),(59 49699244),(60 50914572),(61 52228576),(62 53753950),(63 55053428),(64 56247636),(65 57752990),(66 58899360),(67 60175620),(68 61733836),(69 62873044),(70 63990804),(71 65514652),(72 66649844),(73 67641896),(74 68859270),(75 69561180),(76 70103030),(77 71097520),(78 71683650),(79 72205560),
(1 53994.227),(2 120351.19),(3 187400.42),(4 347223.94),(5 530153.5),(6 691405.7),(7 940361.8),(8 1208540.1),(9 1459123.4),(10 1785164.8),(11 2125754.5),(12 2436468.8),(13 2823463.3),(14 3218620),(15 3604698.5),(16 4039470),(17 4517198),(18 4986373),(19 5506320.5),(20 6049666.5),(21 6579359),(22 7182389),(23 7836724),(24 8425518),(25 9095763),(26 9787537),(27 10479694),(28 11227260),(29 12039239),(30 12823646),(31 13703478),(32 14647222),(33 15638645),(34 16631254),(35 17674418),(36 18697028),(37 19841702),(38 21059228),(39 22253882),(40 23506698),(41 24873580),(42 26223940),(43 27631820),(44 29138368),(45 30609050),(46 32124448),(47 33781988),(48 35404410),(49 37023064),(50 38649124),(51 40238070),(52 41832020),(53 43477332),(54 45098456),(55 46691200),(56 48415110),(57 50104250),(58 51762476),(59 53515510),(60 55179316),(61 56870388),(62 58678104),(63 60498016),(64 62186572),(65 63934476),(66 65648588),(67 67350210),(68 69155560),(69 70860960),(70 72458370),(71 74259950),(72 76017160),(73 77610870),(74 79246700),(75 80751860),(76 82122500),(77 83694060),(78 85179260),(79 86539980),
(1 39028.24),(2 106817.23),(3 190295.73),(4 351188.63),(5 549885.2),(6 766011.25),(7 1061944.9),(8 1409336.6),(9 1782753.6),(10 2235164.8),(11 2737137.3),(12 3238495.3),(13 3841131.3),(14 4479449.5),(15 5129770.5),(16 5831902.5),(17 6602746.5),(18 7414522.5),(19 8298628),(20 9229000),(21 10187645),(22 11219387),(23 12313891),(24 13448876),(25 14632936),(26 15842285),(27 17050842),(28 18295698),(29 19589042),(30 20856578),(31 22173638),(32 23514554),(33 24892328),(34 26311926),(35 27813166),(36 29313734),(37 30904550),(38 32549274),(39 34166470),(40 35803696),(41 37452660),(42 39107948),(43 40768324),(44 42463932),(45 44113756),(46 45765760),(47 47373868),(48 49092628),(49 50761132),(50 52472400),(51 54137300),(52 55818388),(53 57585120),(54 59300450),(55 60947852),(56 62671456),(57 64297620),(58 65865236),(59 67439560),(60 68862856),(61 70242376),(62 71534600),(63 73021230),(64 74354570),(65 75773710),(66 77162020),(67 78495336),(68 79910760),(69 81241256),(70 82492456),(71 83825500),(72 85076040),(73 86192880),(74 87184536),(75 88045336),(76 88806056),(77 89602110),(78 90398340),(79 91106730),
(1 36554.39),(2 119621.555),(3 246345.31),(4 432865.84),(5 664560.4),(6 938834.9),(7 1269304.5),(8 1634868.5),(9 2053233.4),(10 2525019.5),(11 3029071.8),(12 3576084.3),(13 4193128.5),(14 4839406),(15 5541503.5),(16 6279594.5),(17 7050728),(18 7871531.5),(19 8732445),(20 9634460),(21 10586583),(22 11570061),(23 12594706),(24 13658763),(25 14737164),(26 15857764),(27 17026974),(28 18222230),(29 19434096),(30 20685440),(31 21959430),(32 23246808),(33 24561626),(34 25868476),(35 27208132),(36 28539176),(37 29895488),(38 31275950),(39 32609358),(40 33936910),(41 35265350),(42 36570480),(43 37840890),(44 39098976),(45 40297656),(46 41400308),(47 42472130),(48 43536210),(49 44510960),(50 45518170),(51 46464816),(52 47367880),(53 48275732),(54 49096880),(55 49854572),(56 50636132),(57 51363244),(58 52009084),(59 52636612),(60 53177040),(61 53667280),(62 54098908),(63 54592270),(64 54908300),(65 55322236),(66 55642916),(67 55903200),(68 56228900),(69 56484144),(70 56646064),(71 56891090),(72 57042744),(73 57065476),(74 57101164),(75 57037790),(76 56874430),(77 56765900),(78 56578164),(79 56338496),
(1 51566.35),(2 185563.77),(3 399036.8),(4 698940.75),(5 1077618.1),(6 1526799.3),(7 2056130.1),(8 2650998.3),(9 3314825.5),(10 4060762.3),(11 4860714),(12 5700672),(13 6602452.5),(14 7557201.5),(15 8561732),(16 9606997),(17 10676813),(18 11793923),(19 12915773),(20 14080250),(21 15289553),(22 16515689),(23 17766584),(24 19087538),(25 20404786),(26 21777560),(27 23172792),(28 24589848),(29 26019206),(30 27458708),(31 28884486),(32 30339468),(33 31786798),(34 33210912),(35 34680740),(36 36134056),(37 37587570),(38 39085628),(39 40522600),(40 41933132),(41 43355304),(42 44723696),(43 46047364),(44 47365916),(45 48594788),(46 49722736),(47 50812224),(48 51902372),(49 52874892),(50 53865668),(51 54755250),(52 55608190),(53 56434780),(54 57162428),(55 57826356),(56 58447044),(57 59003570),(58 59465468),(59 59854500),(60 60163108),(61 60450268),(62 60655564),(63 60886080),(64 60978356),(65 61083290),(66 61042456),(67 60970930),(68 60897636),(69 60711676),(70 60451690),(71 60184924),(72 59840960),(73 59392384),(74 58915700),(75 58385944),(76 57839164),(77 57277180),(78 56599190),(79 55941828),
(1 45213.676),(2 161993.56),(3 341171.9),(4 587588.3),(5 890853.5),(6 1242272.6),(7 1652236.9),(8 2104793.5),(9 2600564.5),(10 3151965.5),(11 3754027.5),(12 4378855),(13 5074232),(14 5807194.5),(15 6578099),(16 7386804),(17 8231273.5),(18 9092184),(19 9964450),(20 10856166),(21 11768121),(22 12706517),(23 13678546),(24 14658534),(25 15663477),(26 16705402),(27 17741056),(28 18797746),(29 19890682),(30 21008320),(31 22113788),(32 23222448),(33 24324096),(34 25395484),(35 26483998),(36 27554598),(37 28605008),(38 29680726),(39 30737354),(40 31767756),(41 32819284),(42 33817300),(43 34798444),(44 35747052),(45 36601584),(46 37374216),(47 38107640),(48 38827316),(49 39461504),(50 40048524),(51 40515056),(52 40934212),(53 41306470),(54 41576544),(55 41816000),(56 41996120),(57 42083176),(58 42123790),(59 42111284),(60 41957650),(61 41769460),(62 41532640),(63 41217612),(64 40805960),(65 40343056),(66 39764736),(67 39143916),(68 38502944),(69 37755584),(70 36944604),(71 36165270),(72 35311572),(73 34423480),(74 33528404),(75 32587866),(76 31643188),(77 30737366),(78 29776540),(79 28848522),
(1 64242.73),(2 242414.58),(3 526541.06),(4 916294.44),(5 1401068.6),(6 1962728.6),(7 2610009),(8 3321523.8),(9 4090090.3),(10 4917084.5),(11 5797414),(12 6696803.5),(13 7634480),(14 8621322),(15 9609350),(16 10616369),(17 11634618),(18 12635082),(19 13638405),(20 14609717),(21 15571514),(22 16530154),(23 17442812),(24 18395880),(25 19314324),(26 20202138),(27 21072330),(28 21887638),(29 22690210),(30 23477976),(31 24236728),(32 24947136),(33 25665110),(34 26332086),(35 26943522),(36 27490680),(37 27976760),(38 28421674),(39 28839018),(40 29191946),(41 29467986),(42 29700446),(43 29890210),(44 30018044),(45 30084210),(46 30074972),(47 29987574),(48 29886496),(49 29722008),(50 29487730),(51 29218280),(52 28901994),(53 28526500),(54 28120440),(55 27699062),(56 27235916),(57 26783978),(58 26343062),(59 25890510),(60 25443890),(61 25043966),(62 24650254),(63 24319954),(64 23990404),(65 23679158),(66 23392162),(67 23163416),(68 22966254),(69 22787676),(70 22640498),(71 22524380),(72 22449592),(73 22378336),(74 22299138),(75 22247100),(76 22229394),(77 22235252),(78 22284606),(79 22348222),
(1 54585.57),(2 207133.47),(3 453216.63),(4 791934.9),(5 1215959.9),(6 1727306.5),(7 2318048),(8 2981186.8),(9 3711448.8),(10 4497334.5),(11 5333736),(12 6221337.5),(13 7150763),(14 8123478.5),(15 9127106),(16 10142656),(17 11177971),(18 12227027),(19 13269495),(20 14314285),(21 15353648),(22 16362277),(23 17340640),(24 18327034),(25 19271388),(26 20184722),(27 21078088),(28 21903104),(29 22685734),(30 23433972),(31 24137518),(32 24786594),(33 25384934),(34 25945138),(35 26453972),(36 26897066),(37 27292958),(38 27631328),(39 27911300),(40 28116422),(41 28256064),(42 28336508),(43 28374278),(44 28355630),(45 28284544),(46 28154558),(47 27992410),(48 27828920),(49 27638220),(50 27433384),(51 27205162),(52 26942088),(53 26705586),(54 26452314),(55 26193802),(56 25955108),(57 25737548),(58 25519698),(59 25353814),(60 25214588),(61 25113642),(62 25058098),(63 25083174),(64 25088428),(65 25173432),(66 25285434),(67 25431736),(68 25625124),(69 25833698),(70 26040388),(71 26291612),(72 26580024),(73 26879852),(74 27191668),(75 27509184),(76 27818372),(77 28151268),(78 28449980),(79 28743594),
(1 40938.992),(2 153335.38),(3 327465.13),(4 564416.5),(5 859313.94),(6 1204596.5),(7 1599312.1),(8 2037497),(9 2519771.3),(10 3046750),(11 3611902.5),(12 4211092.5),(13 4855868.5),(14 5558137.5),(15 6288854.5),(16 7050382),(17 7846036.5),(18 8674889),(19 9531475),(20 10430724),(21 11330786),(22 12234158),(23 13111518),(24 14002690),(25 14854583),(26 15680352),(27 16459908),(28 17205662),(29 17936084),(30 18616640),(31 19260466),(32 19858586),(33 20407504),(34 20926426),(35 21408828),(36 21834444),(37 22195788),(38 22510962),(39 22768380),(40 22954286),(41 23082384),(42 23155650),(43 23182682),(44 23184624),(45 23162594),(46 23115768),(47 23059914),(48 23027156),(49 23000814),(50 22981752),(51 22972626),(52 22970242),(53 22972130),(54 23002294),(55 23031766),(56 23076306),(57 23136676),(58 23196544),(59 23271308),(60 23364624),(61 23494720),(62 23615112),(63 23775284),(64 23937140),(65 24141842),(66 24332540),(67 24544098),(68 24740812),(69 24914402),(70 25058168),(71 25172336),(72 25226646),(73 25258316),(74 25243252),(75 25217166),(76 25171064),(77 25101470),(78 24983776),(79 24884522),
(1 49078.535),(2 185856.66),(3 400871.06),(4 686653.1),(5 1038892),(6 1447521),(7 1903691.1),(8 2405231.5),(9 2944479),(10 3512493.3),(11 4097657.8),(12 4685183.5),(13 5280249),(14 5885741),(15 6480201.5),(16 7070241),(17 7649391),(18 8219794),(19 8781136),(20 9334743),(21 9875490),(22 10389234),(23 10860791),(24 11334635),(25 11784104),(26 12205020),(27 12594947),(28 12961897),(29 13296544),(30 13601117),(31 13903166),(32 14164384),(33 14394468),(34 14612840),(35 14788661),(36 14945060),(37 15082048),(38 15199680),(39 15297470),(40 15363673),(41 15390876),(42 15384644),(43 15364405),(44 15330656),(45 15276921),(46 15211792),(47 15124885),(48 15058912),(49 14976444),(50 14887385),(51 14796452),(52 14706274),(53 14624582),(54 14533619),(55 14435558),(56 14337636),(57 14249130),(58 14157812),(59 14065040),(60 13972386),(61 13876304),(62 13779826),(63 13693649),(64 13628636),(65 13580836),(66 13523262),(67 13467190),(68 13431796),(69 13392188),(70 13371096),(71 13370792),(72 13376261),(73 13391015),(74 13422098),(75 13486900),(76 13582010),(77 13729084),(78 13909496),(79 14128050),
(1 56230.195),(2 215422.1),(3 470052.75),(4 813230.5),(5 1238399.3),(6 1731475),(7 2279974),(8 2874600),(9 3501128.3),(10 4150505.5),(11 4809024.5),(12 5459952),(13 6096688),(14 6720824),(15 7321845.5),(16 7889071),(17 8405982),(18 8880834),(19 9315992),(20 9707136),(21 10055579),(22 10358064),(23 10606103),(24 10819725),(25 10999307),(26 11144461),(27 11259959),(28 11333156),(29 11393380),(30 11448736),(31 11522396),(32 11579580),(33 11634637),(34 11702549),(35 11779159),(36 11880619),(37 11994790),(38 12129952),(39 12297591),(40 12491845),(41 12706938),(42 12934517),(43 13178304),(44 13431706),(45 13694781),(46 13966259),(47 14239769),(48 14516050),(49 14790604),(50 15054792),(51 15298025),(52 15520809),(53 15717033),(54 15890831),(55 16025858),(56 16129984),(57 16200928),(58 16245205),(59 16252087),(60 16234846),(61 16186893),(62 16104774),(63 16017833),(64 15899742),(65 15764542),(66 15629569),(67 15483215),(68 15310068),(69 15122915),(70 14928257),(71 14710981),(72 14473022),(73 14227458),(74 13964790),(75 13674088),(76 13381021),(77 13086722),(78 12799010),(79 12515146),
