1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 39298.08),(2 77627.66),(3 97609.98),(4 105353.14),(5 115572.29),(6 125861.9),(7 132188.98),(8 136202.63),(9 137316.28),(10 141052.06),(11 145839.36),(12 152326.8),(13 153862.31),(14 157623.63),(15 159221.08),(16 158332.61),(17 156307.98),(18 153741.81),(19 151689.56),(20 151356.88),(21 152178.22),(22 155268.56),(23 159638.11),(24 163502.9),(25 165406.69),(26 164086.55),(27 163285.48),(28 165090.66),(29 168780.53),(30 171934.16),(31 172554.42),(32 173005.42),(33 172800.97),(34 172500.63),(35 173538.1),(36 177111.42),(37 182027.44),(38 186638.16),(39 186890.03),(40 186357.6),(41 186799.88),(42 186191.55),(43 187499.16),(44 191248.77),(45 192179.28),(46 190197.39),(47 190566.78),(48 192927.36),(49 193526.33),(50 191434.28),(51 187288.08),(52 183416.77),(53 181946.88),(54 183028.45),(55 184532.94),(56 185114.69),(57 184572.23),(58 180993.95),(59 179369.48),(60 180884.1),(61 181704.8),(62 178945.72),(63 176350.6),(64 174673.55),(65 173529.06),(66 174162.05),(67 173520.11),(68 172680.63),(69 168059.11),(70 161730.98),(71 159051.84),(72 161341.02),(73 164011.38),(74 168197.88),(75 171899.06),(76 175278.56),(77 176415),(78 175912.98),(79 173832.8),
(1 38724.957),(2 75743.59),(3 96952.63),(4 107773.516),(5 121979.68),(6 133468.56),(7 141542.75),(8 148908.16),(9 152883.3),(10 158812.69),(11 163783.36),(12 167530.52),(13 166801.36),(14 168050.58),(15 169420.47),(16 169702.55),(17 165882.13),(18 161207.78),(19 160211.78),(20 163341.16),(21 166051.08),(22 168812.2),(23 172221.98),(24 177124.19),(25 179913.94),(26 180344.36),(27 179685.28),(28 182127.31),(29 184492.56),(30 184120.67),(31 182001.53),(32 179489.58),(33 176438.42),(34 175989.2),(35 177462.08),(36 179977.56),(37 181752.61),(38 181084.05),(39 179604.36),(40 180735.22),(41 182470.95),(42 181961.13),(43 180206.47),(44 180646.36),(45 179657.27),(46 179259.53),(47 179540.58),(48 180699.38),(49 180173.8),(50 178733.36),(51 176705.16),(52 173088.3),(53 171821.3),(54 171161),(55 174399.52),(56 178314.52),(57 177641.9),(58 177226.7),(59 177116.08),(60 178288.16),(61 179944.73),(62 177841.78),(63 176488.1),(64 180032.64),(65 183802.84),(66 183996.67),(67 183497.19),(68 182617.6),(69 180546.3),(70 175328.22),(71 173275.92),(72 175195.05),(73 175965.92),(74 177470.4),(75 177490.22),(76 178083.88),(77 179530.61),(78 179753.02),(79 180375.81),
(1 36144.03),(2 70313.88),(3 89587.55),(4 100883.69),(5 110606.49),(6 119919.305),(7 124933.6),(8 128730.89),(9 131243.6),(10 135556.44),(11 140574.72),(12 146474.34),(13 150967.53),(14 153219.8),(15 154058.98),(16 155453.02),(17 155766.98),(18 153297.3),(19 152248.27),(20 155176.4),(21 157234.92),(22 164310.2),(23 168028.95),(24 171355.22),(25 171916.22),(26 169678.36),(27 168792.3),(28 169765.16),(29 171740.13),(30 171738.9),(31 169686.77),(32 167106.61),(33 165103.48),(34 165295.67),(35 165595.38),(36 168624.69),(37 170247.77),(38 169385.6),(39 168890.61),(40 170658.77),(41 170111.42),(42 169420.48),(43 165758.66),(44 164303.6),(45 161598.06),(46 160626.75),(47 159860.88),(48 159822.73),(49 157659.67),(50 154853.95),(51 152218.63),(52 149687.25),(53 149750.98),(54 151217.23),(55 153946.17),(56 157895.36),(57 159836.95),(58 158587.5),(59 157744.39),(60 158609.6),(61 160681.64),(62 159732.6),(63 157627.98),(64 157925.66),(65 161065.31),(66 160616.08),(67 159863.5),(68 162007.13),(69 160608.5),(70 157949.48),(71 157342.98),(72 159011.05),(73 159728.13),(74 161897.6),(75 163205.88),(76 165830.55),(77 165592.86),(78 164535.95),(79 163859.13),
(1 34564.32),(2 67678.84),(3 87276.914),(4 99821.14),(5 112045.414),(6 121848.17),(7 127833.52),(8 133198.63),(9 133994.6),(10 134883.81),(11 137876.05),(12 142881.78),(13 146582.53),(14 150762.11),(15 150793.13),(16 150116.28),(17 148265.11),(18 147073.63),(19 148133.25),(20 153609.81),(21 157377.47),(22 160299.39),(23 162913.69),(24 167301.64),(25 169609.95),(26 169525.66),(27 168205.17),(28 166629.63),(29 165478.56),(30 164152.5),(31 162265.16),(32 160687.19),(33 161051.77),(34 159977.94),(35 159101.69),(36 160860.89),(37 164014.7),(38 165942.38),(39 166286.86),(40 167387.81),(41 168794.06),(42 170023.73),(43 168743.16),(44 167208.05),(45 164465.02),(46 164134.42),(47 163696.42),(48 163529.6),(49 160727.44),(50 157123.92),(51 155915.17),(52 155538.94),(53 155811.02),(54 154172.75),(55 154970.97),(56 158699.64),(57 162216.53),(58 164827.83),(59 164026.89),(60 163193.08),(61 164188.11),(62 163094.7),(63 161204.6),(64 159940.02),(65 160045.05),(66 157003.47),(67 155055.47),(68 155565.28),(69 153241.4),(70 150532.72),(71 148715.1),(72 150035.19),(73 151805.08),(74 152278.67),(75 152730.72),(76 154406.95),(77 157233.58),(78 157745.94),(79 158864.4),
(1 32951.33),(2 64985.01),(3 85815.11),(4 100231.68),(5 114222.336),(6 124489.55),(7 132529.11),(8 138798.2),(9 141397.72),(10 142972.98),(11 145521.84),(12 148841.48),(13 152263.55),(14 155861.55),(15 158430.36),(16 162202.23),(17 162229.36),(18 159606.7),(19 160661.17),(20 163743.75),(21 169198.61),(22 175013.31),(23 177304.06),(24 180793.8),(25 180607.31),(26 179620.97),(27 179395.02),(28 181276.23),(29 181232.2),(30 177176.17),(31 172918.88),(32 169362.6),(33 168025.27),(34 166547.25),(35 166385.88),(36 166682.14),(37 167469.78),(38 168028.75),(39 169908.73),(40 173392.67),(41 176216.08),(42 177248.16),(43 174228.05),(44 172353.23),(45 169825.1),(46 169623.36),(47 167941.78),(48 165075.75),(49 160705.14),(50 156175.53),(51 155687.72),(52 156278.1),(53 158213.47),(54 157864.75),(55 159003.66),(56 164134.1),(57 170167.25),(58 173640.13),(59 174847.7),(60 175101.98),(61 173320.14),(62 169586.52),(63 165869.77),(64 160966.89),(65 159419.66),(66 155416.22),(67 153760.66),(68 153811.94),(69 152823.2),(70 151468.5),(71 152156.53),(72 156175.36),(73 159222.05),(74 163008.44),(75 164401.28),(76 165291.83),(77 166128.2),(78 167032.66),(79 169264.95),
(1 31097.057),(2 61863.418),(3 82660.234),(4 97840.44),(5 113387.234),(6 126264.03),(7 135324),(8 141780.39),(9 146049.34),(10 148706.13),(11 152387.2),(12 155997.31),(13 159335.39),(14 160642.11),(15 161952.73),(16 165492.75),(17 168333.27),(18 168138.25),(19 169560.67),(20 172119.86),(21 174824.38),(22 179827.92),(23 183811.8),(24 186999.13),(25 186574.16),(26 184484.67),(27 180752.78),(28 177201.52),(29 173705.78),(30 170239.44),(31 166516.19),(32 164025.75),(33 162579.33),(34 161509.84),(35 162077.25),(36 163265.34),(37 163967.69),(38 165286.92),(39 166108.83),(40 168555.11),(41 170286.53),(42 172692.2),(43 171893.84),(44 170960.75),(45 167777),(46 164647.98),(47 161615.22),(48 159353.78),(49 156578.06),(50 155699.98),(51 156852.48),(52 159779.9),(53 161867.27),(54 160813.28),(55 160497.75),(56 164260.58),(57 169679.08),(58 170950.8),(59 171289.66),(60 171181.81),(61 171553.63),(62 168645.97),(63 164242.19),(64 159868.81),(65 159056.48),(66 157360.48),(67 156284.9),(68 155933.75),(69 156676.6),(70 158783.22),(71 160651.34),(72 163445.38),(73 168545.34),(74 169977.88),(75 172668.53),(76 175842.73),(77 178605.08),(78 177952.55),(79 179212),
(1 29678.74),(2 59401.91),(3 77939.375),(4 91724.03),(5 107573.56),(6 121677.14),(7 131644.84),(8 139501.86),(9 145269.33),(10 146749.73),(11 148094.66),(12 151205.5),(13 155451.81),(14 161044.3),(15 162587.69),(16 162893.55),(17 162705.22),(18 165171.61),(19 166614.25),(20 167608.03),(21 167720.05),(22 169696.27),(23 171891.67),(24 174250.19),(25 174149.8),(26 172466.95),(27 169951.36),(28 167772.5),(29 165742.16),(30 161690.88),(31 157088.16),(32 154448.3),(33 154075.73),(34 153452.33),(35 153120.22),(36 154187.16),(37 157309.81),(38 160905.7),(39 162535.81),(40 164003.19),(41 165935.2),(42 168986.13),(43 170009.66),(44 171894.83),(45 171376.95),(46 168885.14),(47 166705.73),(48 163278.06),(49 160261.55),(50 158020.84),(51 156398.39),(52 156298.56),(53 157923.39),(54 155242.27),(55 156508.73),(56 160906.44),(57 165217.36),(58 166810.4),(59 164896.14),(60 163778.22),(61 164543.44),(62 161539.61),(63 157672.88),(64 154482.53),(65 153114.95),(66 149485.47),(67 147096.02),(68 146701.83),(69 146442.1),(70 148241),(71 149970.2),(72 154082.47),(73 158253.3),(74 160586.66),(75 162034.94),(76 162261.52),(77 161506.66),(78 161547.28),(79 162509.92),
(1 27829.639),(2 55530.207),(3 72349.82),(4 84375.98),(5 100777.99),(6 114321.484),(7 124918.586),(8 132530.84),(9 138537.8),(10 144026.1),(11 148048.2),(12 151921.16),(13 157017.64),(14 161444.84),(15 162020.98),(16 162659.95),(17 162351.34),(18 163330.13),(19 165001.48),(20 167112.38),(21 168425.03),(22 170511.33),(23 171744.08),(24 173809.66),(25 174028.36),(26 173971.4),(27 173821.06),(28 173736.64),(29 173102.13),(30 171665.61),(31 170357.47),(32 169312.97),(33 168207.1),(34 167693.55),(35 166688.81),(36 168848.98),(37 172157.42),(38 173095.8),(39 174863.7),(40 177632.44),(41 177436.31),(42 177451.63),(43 176182.84),(44 176799.05),(45 176722.2),(46 175877.36),(47 173469.47),(48 170641.34),(49 167570.22),(50 164191.2),(51 161467.28),(52 158685.7),(53 157216.36),(54 155229.75),(55 154917.84),(56 156545.34),(57 159020.34),(58 159186.34),(59 158623.83),(60 158450.52),(61 158769.88),(62 156712.05),(63 154998.02),(64 153734.53),(65 153052.66),(66 149449.39),(67 146852.44),(68 146058.69),(69 148729.47),(70 151108.8),(71 152723.45),(72 154804.38),(73 156739.22),(74 157732.98),(75 159225.83),(76 161760.6),(77 163542.72),(78 164289.36),(79 166567.33),
(1 26816.428),(2 53803.89),(3 69729.55),(4 79700.91),(5 91292.484),(6 101902.36),(7 109706.086),(8 116480.625),(9 121312.72),(10 124480.23),(11 126644.96),(12 130054.99),(13 134317.14),(14 138533.3),(15 138757.44),(16 138952.13),(17 143058.88),(18 149392.61),(19 153109.92),(20 155810.47),(21 156269.42),(22 159473.28),(23 162016.84),(24 164365.08),(25 165169.28),(26 166385.47),(27 166558.9),(28 167319.58),(29 168505.25),(30 170657.84),(31 170805.98),(32 170519.89),(33 170927.75),(34 170786.08),(35 170020.28),(36 170791.66),(37 172628.42),(38 172546.7),(39 172725.16),(40 174172.36),(41 173697.61),(42 175150.53),(43 174933.45),(44 175211.67),(45 174565.06),(46 172976.7),(47 168875.7),(48 164019.66),(49 158223.08),(50 155394.63),(51 153899.83),(52 153117.52),(53 151689.13),(54 150738.27),(55 149796.17),(56 150724.95),(57 153069.8),(58 154628.08),(59 154115.56),(60 153268.66),(61 154272.06),(62 152967.77),(63 150450.1),(64 147599.78),(65 144300.45),(66 138758.05),(67 136183.97),(68 135847.55),(69 135941.47),(70 136800.92),(71 137482.02),(72 138562.64),(73 141157.1),(74 142084.47),(75 142533.92),(76 143494.67),(77 144886.8),(78 145843.6),(79 146806.61),
(1 25558.424),(2 50407.24),(3 64089.082),(4 73215.96),(5 85648.28),(6 95232.42),(7 102606.85),(8 109135.78),(9 116685.16),(10 121967.18),(11 125439.97),(12 127549.836),(13 129898.73),(14 134321.9),(15 137004.7),(16 139626.22),(17 141005.17),(18 142974.5),(19 145113.86),(20 147239.5),(21 147801.9),(22 149792.88),(23 151451.02),(24 154354.78),(25 158050.02),(26 161565.56),(27 163246.22),(28 163728.63),(29 164631.98),(30 166689.28),(31 168257.8),(32 169106.28),(33 169643.4),(34 170346.78),(35 169868.88),(36 170313.5),(37 170909.45),(38 171100),(39 172013.08),(40 174145.48),(41 176413.48),(42 176968.66),(43 175376),(44 174539.7),(45 173747.55),(46 168983.69),(47 163597.69),(48 159362.78),(49 156929.97),(50 152580.55),(51 149184.36),(52 146479.45),(53 144361.72),(54 142399.61),(55 141520),(56 143632.94),(57 144254.47),(58 145067.5),(59 144193.55),(60 143374.77),(61 143461.11),(62 141285.02),(63 138134),(64 134779.19),(65 131330.8),(66 127372.78),(67 125703.8),(68 125586.85),(69 126102.27),(70 124442.164),(71 124524.055),(72 126661.09),(73 129734.41),(74 129812.414),(75 130521.7),(76 132980.53),(77 134470.83),(78 135518.66),(79 136815.77),
(1 26951.568),(2 53403.18),(3 67323.62),(4 75715.36),(5 87021.03),(6 97289.08),(7 104968.66),(8 112759.73),(9 122499.22),(10 132501.78),(11 137745.64),(12 142274.34),(13 145977.64),(14 148394.33),(15 149154.98),(16 150647.88),(17 154121.2),(18 155647.47),(19 155434.22),(20 156020.1),(21 158791.78),(22 163859.66),(23 166841.17),(24 169241.11),(25 169308.58),(26 172188.94),(27 175494.73),(28 178258.73),(29 179990.55),(30 178983.13),(31 178161.33),(32 177482.52),(33 178375.95),(34 181858.06),(35 183994.02),(36 186286.05),(37 185779.92),(38 186546.97),(39 188671.9),(40 191763.66),(41 193095.2),(42 193170.17),(43 192977.48),(44 193432.13),(45 195288.53),(46 192157.1),(47 189124.58),(48 186507.77),(49 181621.5),(50 176089.98),(51 171730.08),(52 168910.66),(53 166363.17),(54 162337.02),(55 158583.17),(56 157090.28),(57 156266.1),(58 156058.39),(59 155025.98),(60 154899.2),(61 156003.97),(62 155404.64),(63 153558.2),(64 151029.33),(65 147936.8),(66 146376.42),(67 144275.67),(68 143797.9),(69 143701.42),(70 143244.48),(71 142700.89),(72 142717.8),(73 144954.75),(74 144843.6),(75 145462.3),(76 147180.3),(77 147036.1),(78 145897.34),(79 145829.72),
(1 25567.295),(2 50265.605),(3 64253.113),(4 73573.05),(5 85320.55),(6 95010.39),(7 103390.38),(8 111924.44),(9 122931.36),(10 131042.45),(11 136436.36),(12 140973.16),(13 146296.06),(14 151047.52),(15 152402.19),(16 153930.28),(17 156673.1),(18 160798.94),(19 163058.6),(20 165975.48),(21 165135.83),(22 166287.92),(23 166643.4),(24 167566.75),(25 168487.48),(26 170754.34),(27 172706.78),(28 175223.58),(29 176349.06),(30 176459.23),(31 176382.84),(32 177467.6),(33 178764.55),(34 179814.83),(35 179332.23),(36 179999.16),(37 179325.92),(38 180211.55),(39 180941.97),(40 182664.53),(41 185750.52),(42 188527.89),(43 189440.73),(44 189455.9),(45 189940.3),(46 190227.36),(47 189194.36),(48 188326.77),(49 184335.67),(50 180529.14),(51 177563.69),(52 176000.56),(53 174353.34),(54 171426.7),(55 169217.61),(56 167726.13),(57 165551.94),(58 163437.55),(59 162525.22),(60 162562.7),(61 161240.56),(62 157533.4),(63 154006.48),(64 150354.64),(65 146527.72),(66 144655.38),(67 141973.52),(68 140579.19),(69 137776.58),(70 136513.28),(71 136975.52),(72 138022.31),(73 139876.5),(74 140211.5),(75 140942.28),(76 142258.19),(77 143275.95),(78 145120.94),(79 147170.55),
(1 25303.807),(2 50359.2),(3 63737.215),(4 71553.98),(5 84521.45),(6 94755.484),(7 101968.62),(8 110092.08),(9 119374.99),(10 129958.44),(11 133257.14),(12 135107.1),(13 137171.39),(14 138783.56),(15 139859.58),(16 141995.6),(17 143245.33),(18 144057.69),(19 144602.1),(20 146866.55),(21 149381.53),(22 151109.44),(23 151625.66),(24 152069.7),(25 153783),(26 155630.34),(27 156052.34),(28 156100.73),(29 156186.56),(30 156044.34),(31 156773.86),(32 157708.2),(33 158169.77),(34 155587.19),(35 153596),(36 153363.05),(37 155113.14),(38 158697.16),(39 160849.69),(40 162335.05),(41 163351.34),(42 165886.28),(43 168420.17),(44 170879.19),(45 172598.7),(46 174324.94),(47 174189.05),(48 173056.27),(49 170971.8),(50 165620.2),(51 160318.2),(52 156930.02),(53 154368.86),(54 152958.48),(55 150676.81),(56 147718.73),(57 144357.83),(58 142286.03),(59 141078.13),(60 141544.33),(61 143053.45),(62 143626.38),(63 143717.3),(64 143583.39),(65 141702.23),(66 139218.3),(67 137100.81),(68 136543.05),(69 137362.05),(70 138307.72),(71 139087.3),(72 140095.8),(73 141748.8),(74 142408.13),(75 142731.7),(76 142507.34),(77 141920.67),(78 142147.25),(79 143056.75),
(1 25798.523),(2 50323.617),(3 63416.746),(4 71838.39),(5 83065.49),(6 92936.91),(7 100386.71),(8 109171.945),(9 117315.85),(10 123925.74),(11 127769.94),(12 130534.195),(13 133412),(14 136899.61),(15 139029.92),(16 141429.08),(17 144229.22),(18 144369.94),(19 144136.16),(20 144809.27),(21 145184.64),(22 144204.8),(23 144174.6),(24 145285.02),(25 148205.48),(26 149251.16),(27 149483.23),(28 150707.14),(29 150052.61),(30 147572.19),(31 145555.69),(32 145644.95),(33 146530.69),(34 145250.53),(35 143146.13),(36 143123.98),(37 144270.45),(38 147210.4),(39 149059.3),(40 151913.23),(41 154444.02),(42 155876.7),(43 157062.84),(44 158942.89),(45 160236.92),(46 160823.31),(47 160597.7),(48 160354.58),(49 158821.69),(50 157460.84),(51 155728.53),(52 154099.89),(53 151815.52),(54 150926.8),(55 148873.69),(56 146409.08),(57 144259.64),(58 145509.83),(59 143351.94),(60 141125.25),(61 138876.23),(62 138397.89),(63 138969.61),(64 138852.08),(65 135761.22),(66 133222.44),(67 130642.94),(68 129300.875),(69 129440.695),(70 131016.305),(71 132356.94),(72 134452.9),(73 135797.13),(74 136051.02),(75 135968.86),(76 137241.73),(77 138203.69),(78 137932.81),(79 137896.27),
(1 25906.918),(2 49571.84),(3 61613.88),(4 69420.68),(5 82693.945),(6 91727.42),(7 97283.74),(8 103763.19),(9 113974.71),(10 121640.54),(11 125142.27),(12 128390.95),(13 131018.11),(14 133996.55),(15 135454.1),(16 137125.4),(17 138468.98),(18 138756.9),(19 139162.73),(20 141644.58),(21 143081.63),(22 143246.03),(23 144422.11),(24 145846.6),(25 146939.25),(26 148052.56),(27 146792.66),(28 145025.63),(29 142841.64),(30 139633.47),(31 137755.64),(32 138438.69),(33 140600.19),(34 139588.2),(35 137972.27),(36 136483.92),(37 136631.75),(38 137394.63),(39 137845.92),(40 138795.61),(41 140691.67),(42 142848.38),(43 144281.83),(44 146306.69),(45 146722.27),(46 147212.77),(47 147185.23),(48 147666.02),(49 146038.75),(50 144367.73),(51 142583.16),(52 141005.1),(53 139698.7),(54 137606.66),(55 135265.64),(56 132619.39),(57 129631.95),(58 129362.52),(59 128396.73),(60 126801.61),(61 126617.44),(62 126197.875),(63 126168.59),(64 126198.305),(65 125431.2),(66 124706.46),(67 123402.67),(68 123351.18),(69 123926.336),(70 124491.42),(71 125549.96),(72 126996.61),(73 129351.48),(74 129565.76),(75 129574.125),(76 130420.8),(77 131457.03),(78 131223.98),(79 130203.81),
(1 25968.46),(2 51318.453),(3 65846.36),(4 76031.68),(5 90114.69),(6 99777.88),(7 108052.04),(8 117172.805),(9 126112.1),(10 133536.08),(11 136718.84),(12 139890.78),(13 140694.98),(14 142246.89),(15 141574.16),(16 143019.56),(17 142754.3),(18 139670.72),(19 137379.23),(20 137122.16),(21 136081.89),(22 135620.83),(23 135607.73),(24 135776.5),(25 137101.72),(26 137311.11),(27 136770.58),(28 135942.38),(29 132714.88),(30 129515.055),(31 127547.47),(32 128673.914),(33 131528.36),(34 132186.27),(35 130280.81),(36 128730.07),(37 127916.97),(38 127801.695),(39 127812.89),(40 129151.69),(41 131124.83),(42 133010.78),(43 134275.58),(44 135978.19),(45 136918.05),(46 136720.38),(47 136747.69),(48 138450.77),(49 139071.61),(50 138603.9),(51 136265.89),(52 133806.67),(53 132235.23),(54 131103.58),(55 128278.09),(56 125894.37),(57 124716.46),(58 124871.51),(59 122980.22),(60 121138.26),(61 120188.555),(62 120149.29),(63 120401.34),(64 121291.57),(65 122393.15),(66 123247.37),(67 124104.47),(68 125543.586),(69 126818.3),(70 126822.6),(71 127831.41),(72 128707.28),(73 131227.39),(74 131291.06),(75 130339.74),(76 129813.086),(77 129089.35),(78 128372.305),(79 127665.5),
(1 24255.793),(2 47382.367),(3 59483.305),(4 67117.125),(5 78893.305),(6 86741.164),(7 92511.26),(8 99412.75),(9 107235.516),(10 113250.086),(11 116674.14),(12 120086.234),(13 123167.52),(14 123744.89),(15 122155.555),(16 121070.75),(17 121691.805),(18 120623.31),(19 118840.195),(20 118618.67),(21 117906.56),(22 118602.79),(23 119151.51),(24 120059.83),(25 120930.875),(26 119470.586),(27 117383.19),(28 115569.84),(29 112987.88),(30 112080.83),(31 110854.375),(32 111427.2),(33 112176.36),(34 111393.41),(35 109418.914),(36 107957.43),(37 107318.234),(38 108279.71),(39 108562.59),(40 108786.87),(41 110413.27),(42 113205.29),(43 113322.52),(44 113669.98),(45 115124.12),(46 115639.01),(47 115153.21),(48 114478.33),(49 113048.59),(50 113116.01),(51 112616.664),(52 111811.36),(53 111989.75),(54 111496.56),(55 110662.164),(56 110004.85),(57 109459.68),(58 109420.47),(59 107437.65),(60 106077.57),(61 106193.46),(62 107464.336),(63 110216.45),(64 113205.2),(65 115462.14),(66 116224.87),(67 117389.484),(68 118179.61),(69 117688.16),(70 118061.23),(71 119530.89),(72 121224),(73 123433.78),(74 123153.19),(75 123330.24),(76 123399.51),(77 122418.21),(78 121473.69),(79 120572.21),
(1 23889.525),(2 47766.227),(3 59958.74),(4 65750.55),(5 75160.52),(6 83119.266),(7 87878.1),(8 92788.305),(9 98784.31),(10 104422.26),(11 105882.97),(12 107069.91),(13 109002.59),(14 111262.516),(15 112538.336),(16 114463.445),(17 116410.47),(18 116245.53),(19 115197.46),(20 115597.02),(21 115496.79),(22 116012.586),(23 116752.91),(24 117434.41),(25 118599.94),(26 116158.695),(27 114378.586),(28 113235.4),(29 111014.08),(30 109692.92),(31 109073.98),(32 110891.05),(33 112442.94),(34 113836.2),(35 114146.9),(36 114418.414),(37 114798.266),(38 114979.7),(39 114453.16),(40 114650.14),(41 115797.46),(42 115137.234),(43 113680.67),(44 112775.68),(45 112922.36),(46 113374.87),(47 112487.26),(48 110653.16),(49 107761.664),(50 108388.17),(51 108347.78),(52 108355.97),(53 107696.92),(54 107247.89),(55 107835.58),(56 109107.234),(57 109132.82),(58 107362.43),(59 105004.83),(60 105244.54),(61 107378.375),(62 108037.89),(63 109103.82),(64 110325.44),(65 113488.89),(66 114017.18),(67 113444.03),(68 112782.48),(69 112688.305),(70 113519.63),(71 115015.4),(72 116570.695),(73 118631.54),(74 119645.03),(75 119291.68),(76 119219.84),(77 117783.16),(78 116096.38),(79 115466.54),
(1 23352.295),(2 46004.113),(3 58207.563),(4 65340.645),(5 74600.4),(6 81256.56),(7 85679.266),(8 90282.484),(9 96002.31),(10 99298.445),(11 101112.84),(12 103096.98),(13 105424.66),(14 106906.62),(15 106162.16),(16 106399.92),(17 107024.516),(18 105560.19),(19 104684.586),(20 104882.83),(21 106814.75),(22 107522.984),(23 106558.086),(24 105368.016),(25 103299.09),(26 101668.195),(27 100697.914),(28 101173.67),(29 100236.85),(30 100100.695),(31 100373.86),(32 103143.29),(33 105219.89),(34 106505.44),(35 106148.43),(36 105316.4),(37 104469.836),(38 105553.664),(39 106022.445),(40 106406.47),(41 106425.914),(42 104741.76),(43 102359.94),(44 101857.42),(45 103574.016),(46 103292.35),(47 101491.82),(48 99929.625),(49 99230.664),(50 100236.98),(51 100955.55),(52 102367.33),(53 102030.56),(54 102256.25),(55 102139.47),(56 101894.65),(57 100527.39),(58 99942.484),(59 98098.43),(60 98535.195),(61 99697.17),(62 101451.95),(63 103470.98),(64 105533.14),(65 106746.125),(66 106980.016),(67 106723.87),(68 107345.02),(69 107433.73),(70 107388.78),(71 108558.67),(72 110819.91),(73 113991.6),(74 115662),(75 116340.99),(76 117837.484),(77 117911.89),(78 118420.29),(79 118733.266),
