1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 335571.97),(2 1219810.4),(3 2578668.3),(4 4396136.5),(5 6627820),(6 9161965),(7 12072756),(8 15444064),(9 19133334),(10 23135742),(11 27485722),(12 32138234),(13 37043616),(14 42018540),(15 47021244),(16 51969070),(17 56875684),(18 61684670),(19 66355324),(20 70924650),(21 75095690),(22 78914400),(23 82263176),(24 85434184),(25 88111770),(26 90511350),(27 92485820),(28 93927704),(29 94728510),(30 95057430),(31 95029430),(32 94480650),(33 93136610),(34 91512220),(35 89687300),(36 87531880),(37 85297620),(38 82839530),(39 80376696),(40 77914720),(41 75524870),(42 73224550),(43 71018664),(44 68572650),(45 65841580),(46 63175188),(47 60540204),(48 58033812),(49 56000020),(50 54246290),(51 52811260),(52 51823390),(53 50986240),(54 50076220),(55 49349580),(56 48892396),(57 48611044),(58 48249108),(59 47960460),(60 47869316),(61 48071920),(62 48388148),(63 49059456),(64 49701676),(65 50831684),(66 52255650),(67 53938252),(68 55929070),(69 58139860),(70 60526852),(71 62938772),(72 65410196),(73 67804660),(74 70133110),(75 72434790),(76 74788720),(77 77134710),(78 79341790),(79 81476520),
(1 457135.84),(2 1755356.8),(3 3837757.5),(4 6665025),(5 10207146),(6 14333558),(7 19074624),(8 24345086),(9 30209600),(10 36508444),(11 43264764),(12 50324670),(13 57496588),(14 64756610),(15 72052450),(16 79234380),(17 86159050),(18 92757950),(19 98996200),(20 104785060),(21 109975490),(22 114624410),(23 118811750),(24 122500184),(25 125713830),(26 128453800),(27 130830610),(28 132740980),(29 134166140),(30 135114530),(31 135803600),(32 136169980),(33 136164750),(34 135988050),(35 135700770),(36 135067970),(37 134272420),(38 133524220),(39 132596050),(40 131714920),(41 130807704),(42 129951790),(43 129051096),(44 127756570),(45 125899060),(46 123883310),(47 121731380),(48 119593510),(49 117649070),(50 115908824),(51 114371070),(52 113055850),(53 111829976),(54 110563330),(55 109637970),(56 109048140),(57 108679300),(58 108342060),(59 108174230),(60 108280600),(61 108608664),(62 109282330),(63 110266750),(64 111552050),(65 113042710),(66 114745860),(67 116590800),(68 118495860),(69 120345940),(70 122379340),(71 124628504),(72 126971880),(73 129449750),(74 132002216),(75 134615800),(76 137234260),(77 139652770),(78 142064220),(79 144160500),
(1 487014.1),(2 1932151.1),(3 4306549.5),(4 7608025.5),(5 11838905),(6 16945962),(7 23019154),(8 29885336),(9 37687364),(10 46303732),(11 55798240),(12 65851156),(13 76263550),(14 87016560),(15 98020670),(16 109068190),(17 119932320),(18 130474870),(19 140655570),(20 150224820),(21 159124000),(22 167285570),(23 174752900),(24 181462460),(25 187363890),(26 192344830),(27 196710420),(28 200322940),(29 203103230),(30 205328960),(31 206829970),(32 207745200),(33 207990830),(34 208094700),(35 207845710),(36 206946860),(37 205708880),(38 204313090),(39 202609300),(40 200569860),(41 198277970),(42 195766190),(43 192957380),(44 189440530),(45 184689660),(46 179473020),(47 173830080),(48 168068940),(49 162448180),(50 157038320),(51 151770620),(52 146904590),(53 142043460),(54 137009140),(55 132109590),(56 127450024),(57 122898470),(58 118375580),(59 114114210),(60 110353660),(61 107191624),(62 104849944),(63 103406550),(64 103164890),(65 103996070),(66 105895976),(67 108709736),(68 112309544),(69 116315780),(70 120945544),(71 126031850),(72 131184104),(73 136628100),(74 142251120),(75 148064080),(76 153910990),(77 159732860),(78 165494910),(79 170987000),
(1 381435.75),(2 1501280.6),(3 3327380.5),(4 5876348.5),(5 9098628),(6 12969297),(7 17522824),(8 22700530),(9 28527928),(10 34998236),(11 42049600),(12 49534400),(13 57352944),(14 65398700),(15 73714630),(16 82041710),(17 90386400),(18 98491704),(19 106275680),(20 113619040),(21 120660130),(22 127132840),(23 133120910),(24 138547280),(25 143410380),(26 147660530),(27 151456910),(28 154750100),(29 157428590),(30 159575330),(31 161334270),(32 162694850),(33 163767630),(34 164964780),(35 166029310),(36 166726720),(37 167293010),(38 167688900),(39 167939840),(40 168101620),(41 168126980),(42 168100320),(43 167766300),(44 167119230),(45 165348420),(46 162976860),(47 160117440),(48 156929600),(49 153545330),(50 150040850),(51 146650100),(52 143514880),(53 140534270),(54 137622220),(55 135017220),(56 132767330),(57 130894880),(58 129154850),(59 127698320),(60 126289096),(61 125176320),(62 124315420),(63 123654530),(64 123139270),(65 123056330),(66 123612160),(67 124741380),(68 126321520),(69 128211544),(70 130481610),(71 133146950),(72 135989020),(73 138942990),(74 141976130),(75 144989620),(76 147801800),(77 150523780),(78 152984660),(79 155339000),
(1 337073.5),(2 1304053.1),(3 2840129),(4 4906207),(5 7447227),(6 10384763),(7 13700609),(8 17362584),(9 21342802),(10 25611296),(11 30127506),(12 34804852),(13 39615980),(14 44442204),(15 49347990),(16 54144860),(17 58877010),(18 63357010),(19 67565280),(20 71462280),(21 75102650),(22 78367280),(23 81353140),(24 84018740),(25 86396424),(26 88481680),(27 90322210),(28 91999304),(29 93430940),(30 94644970),(31 95747450),(32 96728080),(33 97681510),(34 98734150),(35 99808510),(36 100770340),(37 101767350),(38 102665464),(39 103572584),(40 104495180),(41 105364220),(42 106189960),(43 106871096),(44 107405150),(45 107610660),(46 107488560),(47 107208950),(48 106580660),(49 105661740),(50 104467040),(51 103229090),(52 101993900),(53 100714400),(54 99547784),(55 98545864),(56 97842296),(57 97484600),(58 97549624),(59 97975550),(60 98690424),(61 99678984),(62 100889656),(63 102252920),(64 103696570),(65 105198030),(66 106736024),(67 108391250),(68 109903020),(69 111398520),(70 112896080),(71 114457390),(72 116040890),(73 117568310),(74 119126750),(75 120627850),(76 121977860),(77 123214520),(78 124240024),(79 125098500),
(1 274025.3),(2 1056527.9),(3 2265371.5),(4 3869272),(5 5800753),(6 8018382.5),(7 10471432),(8 13128558),(9 15968678),(10 18961494),(11 22066266),(12 25171946),(13 28237532),(14 31246820),(15 34154470),(16 36928684),(17 39568710),(18 41994636),(19 44198416),(20 46155884),(21 47866732),(22 49292330),(23 50402516),(24 51261290),(25 51953080),(26 52434630),(27 52791548),(28 53047456),(29 53269740),(30 53500860),(31 53739860),(32 54037460),(33 54481556),(34 54937748),(35 55448244),(36 56138572),(37 56950630),(38 57793804),(39 58704948),(40 59598060),(41 60511776),(42 61305396),(43 62061480),(44 62684180),(45 63231616),(46 63737268),(47 64332148),(48 64851276),(49 65331240),(50 65741930),(51 66101400),(52 66448948),(53 66807948),(54 67038892),(55 67169650),(56 67380670),(57 67639300),(58 68100020),(59 68597940),(60 69274320),(61 70142670),(62 71131030),(63 72301630),(64 73683370),(65 75198640),(66 76804930),(67 78382610),(68 79758570),(69 80995060),(70 82092620),(71 83171750),(72 84179020),(73 85088080),(74 86094216),(75 87126860),(76 88090216),(77 88980824),(78 89662780),(79 90080936),
(1 252313.31),(2 966858.06),(3 2077172),(4 3527552.5),(5 5237275.5),(6 7148116.5),(7 9224530),(8 11442202),(9 13745879),(10 16136873),(11 18606022),(12 21065912),(13 23489852),(14 25831554),(15 28133132),(16 30312766),(17 32406612),(18 34324828),(19 36098400),(20 37678390),(21 39089576),(22 40236400),(23 41109180),(24 41693270),(25 42056210),(26 42156860),(27 42114744),(28 41909464),(29 41598590),(30 41180396),(31 40762856),(32 40368856),(33 40134296),(34 40015492),(35 40149616),(36 40455692),(37 41027540),(38 41863428),(39 42925690),(40 44056430),(41 45334840),(42 46654790),(43 47945412),(44 49132816),(45 49938220),(46 50413028),(47 50616404),(48 50581084),(49 50487680),(50 50348610),(51 50283172),(52 50361884),(53 50671532),(54 51006652),(55 51382264),(56 51810630),(57 52194120),(58 52421264),(59 52462850),(60 52320064),(61 52053430),(62 51616700),(63 51032296),(64 50360960),(65 49761468),(66 49214292),(67 48833030),(68 48597650),(69 48476990),(70 48393200),(71 48373890),(72 48330900),(73 48243824),(74 48184760),(75 48181276),(76 48142532),(77 48176816),(78 48199440),(79 48216348),
(1 276641.8),(2 1043599.56),(3 2199088.3),(4 3621977.5),(5 5191592.5),(6 6794473.5),(7 8352513.5),(8 9813863),(9 11137486),(10 12310598),(11 13343286),(12 14274507),(13 15150419),(14 15986287),(15 16831034),(16 17710710),(17 18640638),(18 19631264),(19 20692234),(20 21774870),(21 22872660),(22 23901996),(23 24774234),(24 25509588),(25 26043108),(26 26406740),(27 26637410),(28 26736668),(29 26721382),(30 26672474),(31 26605344),(32 26565302),(33 26627026),(34 26824682),(35 27170058),(36 27617208),(37 28115724),(38 28685410),(39 29241024),(40 29772672),(41 30301896),(42 30779102),(43 31227662),(44 31681826),(45 32202710),(46 32742028),(47 33321780),(48 33797268),(49 34192080),(50 34497148),(51 34742010),(52 34902250),(53 35097944),(54 35289120),(55 35457764),(56 35570280),(57 35648300),(58 35745468),(59 35779136),(60 35729200),(61 35618092),(62 35405212),(63 35121976),(64 34770796),(65 34412396),(66 34008536),(67 33509310),(68 32970916),(69 32370742),(70 31710050),(71 31023802),(72 30321058),(73 29609918),(74 28867512),(75 28157338),(76 27443670),(77 26719228),(78 26009804),(79 25351782),
(1 312098.28),(2 1190395.4),(3 2536428.8),(4 4231211),(5 6120361.5),(6 8066252),(7 9957911),(8 11694977),(9 13186900),(10 14403625),(11 15323821),(12 15988418),(13 16441399),(14 16718859),(15 16916298),(16 17102362),(17 17336626),(18 17660774),(19 18063764),(20 18519500),(21 18964898),(22 19383228),(23 19745030),(24 20017690),(25 20176844),(26 20223382),(27 20174976),(28 20046382),(29 19863446),(30 19684802),(31 19549558),(32 19421398),(33 19373144),(34 19478906),(35 19711510),(36 20024286),(37 20428048),(38 20917776),(39 21395110),(40 21814780),(41 22179344),(42 22464380),(43 22677818),(44 22853072),(45 22888888),(46 22891494),(47 22950032),(48 23118896),(49 23412828),(50 23885648),(51 24505384),(52 25248892),(53 26015190),(54 26746608),(55 27434834),(56 27981320),(57 28338470),(58 28476664),(59 28412582),(60 28181120),(61 27863754),(62 27482022),(63 27123724),(64 26802410),(65 26616372),(66 26588164),(67 26710796),(68 26997484),(69 27433178),(70 27933944),(71 28424110),(72 28826758),(73 29045156),(74 29032016),(75 28797680),(76 28343762),(77 27707922),(78 26958580),(79 26198072),
(1 361939.72),(2 1404772.4),(3 3026679.5),(4 5120314.5),(5 7516306),(6 10045262),(7 12618708),(8 15074585),(9 17306350),(10 19246284),(11 20851048),(12 22080648),(13 22996418),(14 23615022),(15 24065836),(16 24383024),(17 24587292),(18 24725352),(19 24809452),(20 24843544),(21 24799890),(22 24713564),(23 24592680),(24 24393916),(25 24173756),(26 23885654),(27 23600746),(28 23333030),(29 23080008),(30 22877560),(31 22735632),(32 22607668),(33 22526670),(34 22608204),(35 22831784),(36 23120546),(37 23455560),(38 23774394),(39 24120618),(40 24419310),(41 24694732),(42 24895992),(43 25011006),(44 25070122),(45 25105660),(46 25108974),(47 25128064),(48 25223654),(49 25376800),(50 25673472),(51 26134914),(52 26712196),(53 27321728),(54 27949324),(55 28540778),(56 29052868),(57 29463996),(58 29736782),(59 29861202),(60 29819636),(61 29635208),(62 29347294),(63 29015004),(64 28685556),(65 28415428),(66 28150120),(67 27958542),(68 27792114),(69 27737174),(70 27789044),(71 27898260),(72 28043064),(73 28191470),(74 28334616),(75 28426372),(76 28420878),(77 28267720),(78 27975686),(79 27576270),
(1 374352.16),(2 1458817.3),(3 3154216.5),(4 5355326),(5 7909829.5),(6 10631743),(7 13439816),(8 16174409),(9 18695984),(10 20963200),(11 22908092),(12 24543772),(13 25861580),(14 26902570),(15 27702012),(16 28333322),(17 28788192),(18 29101978),(19 29320564),(20 29451686),(21 29490478),(22 29442718),(23 29321872),(24 29056208),(25 28688016),(26 28163900),(27 27527106),(28 26786740),(29 25973456),(30 25184948),(31 24410754),(32 23673772),(33 22956544),(34 22339230),(35 21904496),(36 21695588),(37 21664496),(38 21693994),(39 21828804),(40 22011674),(41 22194248),(42 22363840),(43 22440792),(44 22495162),(45 22480886),(46 22451562),(47 22459904),(48 22548882),(49 22724816),(50 23034676),(51 23454094),(52 23983048),(53 24530978),(54 25071970),(55 25535386),(56 25892718),(57 26064396),(58 26127338),(59 25974486),(60 25664244),(61 25183720),(62 24635134),(63 24051162),(64 23509008),(65 23056756),(66 22755828),(67 22618980),(68 22598340),(69 22702250),(70 22917426),(71 23179726),(72 23497410),(73 23841732),(74 24223930),(75 24664994),(76 25072264),(77 25433200),(78 25687106),(79 25814648),
