1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 165495.8),(2 639064.25),(3 1444844),(4 2614599.8),(5 4125138.8),(6 6059193.5),(7 8267092),(8 10679865),(9 13307336),(10 16196071),(11 19151182),(12 22157874),(13 25528694),(14 28934736),(15 32216282),(16 35645370),(17 38465520),(18 41323580),(19 44293452),(20 47250416),(21 50352924),(22 53829600),(23 57535092),(24 61228692),(25 64890336),(26 68489390),(27 71838720),(28 74999976),(29 78116410),(30 80934950),(31 83781190),(32 86813600),(33 89207500),(34 91314370),(35 93296320),(36 95188424),(37 97270870),(38 99597910),(39 101971480),(40 104408290),(41 107285704),(42 110055656),(43 112725830),(44 115301340),(45 118063850),(46 120730904),(47 123532250),(48 126089920),(49 128569750),(50 130741610),(51 132905980),(52 135007410),(53 137375280),(54 139685810),(55 142094900),(56 145152900),(57 148567740),(58 152036880),(59 155682300),(60 159002220),(61 162190460),(62 165706620),(63 169086580),(64 172362700),(65 175448180),(66 178690000),(67 181906060),(68 185477550),(69 188688770),(70 192015310),(71 196049520),(72 200307790),(73 204748820),(74 209487410),(75 214886670),(76 220620140),(77 227071740),(78 233040080),(79 239043970),
(1 184547.86),(2 704136.5),(3 1577867.8),(4 2808693.5),(5 4360959),(6 6294413),(7 8500059),(8 10836422),(9 13360686),(10 16212758),(11 19226348),(12 22357222),(13 25739616),(14 29237328),(15 32724896),(16 36241320),(17 38987244),(18 41754480),(19 44629350),(20 47349156),(21 50136504),(22 53074630),(23 56290880),(24 59578508),(25 62985644),(26 66320216),(27 69349624),(28 72084240),(29 74704770),(30 77122940),(31 79388120),(32 81433650),(33 83256930),(34 84767190),(35 86009510),(36 87231530),(37 88667976),(38 90243460),(39 92079210),(40 94050070),(41 96090160),(42 98143520),(43 100246220),(44 102484400),(45 104810630),(46 107245100),(47 109937010),(48 112736770),(49 115741970),(50 118789144),(51 122000150),(52 125187416),(53 128657870),(54 132434480),(55 136472800),(56 140828500),(57 145213660),(58 149324770),(59 153585890),(60 157602980),(61 161366690),(62 164863870),(63 167750190),(64 170209600),(65 172525760),(66 174188670),(67 175602530),(68 176483940),(69 177084060),(70 177523100),(71 177838160),(72 177896180),(73 177954270),(74 177793870),(75 177676200),(76 177614530),(77 177275470),(78 176762980),(79 176214670),
(1 212195.45),(2 814674),(3 1730878.4),(4 2947306),(5 4409980),(6 6087236),(7 7925175.5),(8 9818155),(9 11771408),(10 13763879),(11 15739129),(12 17674136),(13 19561890),(14 21361874),(15 23018696),(16 24575880),(17 25974494),(18 27358502),(19 28826138),(20 30254242),(21 31679378),(22 33087384),(23 34450756),(24 35892204),(25 37365924),(26 38853252),(27 40238860),(28 41705996),(29 43341536),(30 45064320),(31 46924916),(32 49032510),(33 51265580),(34 53551948),(35 55700476),(36 58035916),(37 60335948),(38 62377680),(39 64275084),(40 65954868),(41 67346616),(42 68521384),(43 69495260),(44 70404390),(45 71241096),(46 72035736),(47 72818570),(48 73458056),(49 73892184),(50 74270536),(51 74681336),(52 75107770),(53 75381496),(54 75409750),(55 75454560),(56 75477570),(57 75451544),(58 75420856),(59 75600050),(60 75890270),(61 76332130),(62 76995700),(63 77623016),(64 78332696),(65 78939530),(66 79427950),(67 79908900),(68 80273640),(69 80575464),(70 80899940),(71 81278360),(72 81683370),(73 81992790),(74 82237980),(75 82708616),(76 83331240),(77 83956056),(78 84498296),(79 85176280),
(1 187532.19),(2 711394.06),(3 1537990.9),(4 2665586.8),(5 4082950.3),(6 5788908.5),(7 7744186.5),(8 9920021),(9 12267962),(10 14700012),(11 17156638),(12 19605848),(13 22140838),(14 24593424),(15 26869704),(16 28964648),(17 30829024),(18 32605308),(19 34399824),(20 36080932),(21 37674844),(22 39230996),(23 40737372),(24 42234076),(25 43751690),(26 45140252),(27 46325036),(28 47274836),(29 48072052),(30 48703380),(31 49179052),(32 49654810),(33 49972380),(34 50286044),(35 50452430),(36 50621156),(37 50815308),(38 50970396),(39 51106896),(40 51201644),(41 51413330),(42 51749850),(43 52163884),(44 52773776),(45 53672292),(46 54798070),(47 56169316),(48 57596356),(49 59076260),(50 60729884),(51 62423724),(52 64166060),(53 65810190),(54 67431780),(55 69054800),(56 70580056),(57 72132120),(58 73607070),(59 75041944),(60 76261384),(61 77421864),(62 78552900),(63 79558500),(64 80372264),(65 80947530),(66 81389630),(67 81485760),(68 81206990),(69 80713430),(70 79976480),(71 79081870),(72 78004570),(73 76799176),(74 75587640),(75 74437850),(76 73256860),(77 72081704),(78 70899416),(79 69718010),
(1 226536.8),(2 850839.6),(3 1820237.5),(4 3098293),(5 4624565),(6 6364926),(7 8235988.5),(8 10200663),(9 12192460),(10 14138202),(11 16081018),(12 17948482),(13 19789102),(14 21566534),(15 23221540),(16 24702060),(17 26012328),(18 27244276),(19 28473592),(20 29685736),(21 30923834),(22 32142810),(23 33380096),(24 34709740),(25 36121050),(26 37510990),(27 38795090),(28 39865576),(29 40807308),(30 41628164),(31 42337960),(32 42963816),(33 43496800),(34 44168028),(35 44766536),(36 45378892),(37 46006404),(38 46725068),(39 47489932),(40 48100500),(41 48884412),(42 49670644),(43 50386172),(44 51058770),(45 51679300),(46 52218052),(47 52730160),(48 53149212),(49 53528636),(50 53899292),(51 54357650),(52 54899536),(53 55455184),(54 56011160),(55 56486324),(56 56870012),(57 57219024),(58 57567268),(59 57838416),(60 57938060),(61 57956350),(62 57888000),(63 57695144),(64 57369216),(65 56980584),(66 56512080),(67 55951860),(68 55301596),(69 54571580),(70 53843410),(71 53129308),(72 52456910),(73 51964224),(74 51619600),(75 51464400),(76 51422860),(77 51377296),(78 51304704),(79 51238930),
(1 339775.44),(2 1307034.6),(3 2850947),(4 4911813),(5 7436128),(6 10415277),(7 13672611),(8 17038612),(9 20492260),(10 23923414),(11 27326810),(12 30616230),(13 33883150),(14 37001176),(15 39771444),(16 42336972),(17 44771650),(18 47138050),(19 49384268),(20 51466024),(21 53492790),(22 55332030),(23 56859980),(24 58213004),(25 59488140),(26 60555276),(27 61449050),(28 62076916),(29 62521050),(30 62890984),(31 63306730),(32 63723092),(33 64030900),(34 64450584),(35 65006216),(36 65696844),(37 66601430),(38 67695656),(39 68861520),(40 69984240),(41 71238350),(42 72376620),(43 73357440),(44 74316750),(45 75136560),(46 75828936),(47 76462960),(48 77142670),(49 77919960),(50 78684984),(51 79425624),(52 80105240),(53 80796616),(54 81596780),(55 82247224),(56 82695820),(57 82934400),(58 83013100),(59 82865820),(60 82536900),(61 81945360),(62 81256850),(63 80454170),(64 79699930),(65 79029290),(66 78231304),(67 77589590),(68 77030420),(69 76539090),(70 76086700),(71 75695110),(72 75251490),(73 74555630),(74 73783800),(75 72951040),(76 72095470),(77 71276376),(78 70416940),(79 69493300),
(1 311128.8),(2 1209742.4),(3 2629431.5),(4 4532388),(5 6867995.5),(6 9574287),(7 12563552),(8 15677399),(9 18845418),(10 22011870),(11 25082208),(12 27954450),(13 30605164),(14 33106946),(15 35381136),(16 37334840),(17 39120976),(18 40711370),(19 42183056),(20 43511880),(21 44721256),(22 45837828),(23 46806932),(24 47772560),(25 48700516),(26 49503956),(27 50328252),(28 51050652),(29 51768390),(30 52483988),(31 53308336),(32 54207404),(33 55104110),(34 56163160),(35 57295292),(36 58635812),(37 60150460),(38 61691690),(39 63232510),(40 64686548),(41 66102932),(42 67288584),(43 68304140),(44 69139870),(45 69614860),(46 69656490),(47 69426190),(48 68981730),(49 68472440),(50 67862270),(51 67344500),(52 66912108),(53 66507492),(54 66201170),(55 65799664),(56 65295044),(57 64768064),(58 64151236),(59 63379924),(60 62424996),(61 61203656),(62 59814292),(63 58126700),(64 56273270),(65 54250160),(66 52248550),(67 50289530),(68 48474330),(69 46838064),(70 45367492),(71 44094930),(72 43065924),(73 42169870),(74 41462250),(75 40885504),(76 40401424),(77 40057372),(78 39882136),(79 39774856),
(1 266908.63),(2 1007627.4),(3 2136855.3),(4 3585844.5),(5 5297503),(6 7244597.5),(7 9348878),(8 11547002),(9 13738085),(10 15891457),(11 18012882),(12 20041294),(13 21958082),(14 23748524),(15 25398680),(16 26815580),(17 28098330),(18 29175104),(19 30100330),(20 30891164),(21 31529426),(22 32077602),(23 32468888),(24 32679232),(25 32707292),(26 32703668),(27 32734212),(28 32865100),(29 33142156),(30 33706324),(31 34426064),(32 35342180),(33 36364268),(34 37481080),(35 38637012),(36 39752652),(37 40725252),(38 41592896),(39 42271296),(40 42699410),(41 42909504),(42 42910604),(43 42660236),(44 42219836),(45 41583972),(46 40818800),(47 39961070),(48 39106936),(49 38359544),(50 37645132),(51 36953720),(52 36333590),(53 35778070),(54 35344820),(55 35008116),(56 34750160),(57 34601984),(58 34540760),(59 34609516),(60 34781572),(61 35013692),(62 35165748),(63 35200136),(64 35096750),(65 35023216),(66 34994604),(67 34954704),(68 34926508),(69 34926370),(70 34922044),(71 34915184),(72 34960630),(73 34999244),(74 35007404),(75 35012520),(76 35042450),(77 35070924),(78 35141850),(79 35260610),
(1 244767.89),(2 945586.94),(3 2073728),(4 3551858),(5 5334654),(6 7375045.5),(7 9566680),(8 11864495),(9 14152889),(10 16382571),(11 18488992),(12 20460464),(13 22181466),(14 23657926),(15 24805776),(16 25631314),(17 26220030),(18 26579604),(19 26727248),(20 26725190),(21 26587362),(22 26381520),(23 26179710),(24 25961840),(25 25754038),(26 25605714),(27 25522632),(28 25496828),(29 25554130),(30 25671550),(31 25906634),(32 26215452),(33 26530842),(34 26858576),(35 27104456),(36 27266910),(37 27314468),(38 27288400),(39 27163920),(40 26933116),(41 26618642),(42 26203676),(43 25718244),(44 25132108),(45 24505084),(46 23855578),(47 23293482),(48 22800412),(49 22416220),(50 22138736),(51 22003872),(52 21983152),(53 22086604),(54 22262874),(55 22518312),(56 22850502),(57 23163106),(58 23576208),(59 24048030),(60 24559832),(61 25096166),(62 25623156),(63 26189656),(64 26765878),(65 27381670),(66 27935186),(67 28465336),(68 28967706),(69 29384420),(70 29779350),(71 30173410),(72 30523120),(73 30768494),(74 30875516),(75 30854616),(76 30769178),(77 30659400),(78 30590132),(79 30540254),
(1 212332.61),(2 806833.9),(3 1742430.3),(4 2987780),(5 4530882.5),(6 6337892.5),(7 8306779.5),(8 10379840),(9 12474507),(10 14604394),(11 16682757),(12 18769938),(13 20760006),(14 22594098),(15 24179094),(16 25517406),(17 26545746),(18 27277702),(19 27671926),(20 27736982),(21 27481944),(22 27084774),(23 26670396),(24 26222584),(25 25822208),(26 25465284),(27 25140942),(28 24835786),(29 24563202),(30 24265760),(31 23989636),(32 23773010),(33 23545524),(34 23317886),(35 23033578),(36 22749922),(37 22396414),(38 21978052),(39 21492136),(40 21085048),(41 20708302),(42 20392118),(43 20120332),(44 19887044),(45 19692886),(46 19548918),(47 19484388),(48 19599998),(49 19818542),(50 20139312),(51 20572854),(52 21014920),(53 21435050),(54 21819496),(55 22222494),(56 22644088),(57 23049814),(58 23485664),(59 23967242),(60 24517432),(61 25107384),(62 25689958),(63 26302712),(64 26913038),(65 27425152),(66 27844948),(67 28163510),(68 28491958),(69 28761590),(70 29015592),(71 29274196),(72 29462678),(73 29580530),(74 29706058),(75 29812824),(76 29928484),(77 30034104),(78 30082066),(79 30124246),
(1 191569.53),(2 717209.9),(3 1498137.5),(4 2477856),(5 3609824.5),(6 4883784.5),(7 6250101.5),(8 7624435.5),(9 8982618),(10 10342264),(11 11646396),(12 12893336),(13 14049914),(14 15093837),(15 16034485),(16 16856090),(17 17520408),(18 17994636),(19 18294608),(20 18438310),(21 18451866),(22 18472882),(23 18559172),(24 18689086),(25 18861458),(26 19016176),(27 19126744),(28 19185420),(29 19164220),(30 19082828),(31 18909198),(32 18659316),(33 18436288),(34 18249242),(35 18059868),(36 17897220),(37 17641554),(38 17365296),(39 17140754),(40 17001670),(41 16962270),(42 17061072),(43 17240798),(44 17526430),(45 17814434),(46 18113618),(47 18426516),(48 18774162),(49 19147508),(50 19586526),(51 20102864),(52 20633122),(53 21179396),(54 21749318),(55 22323366),(56 22849102),(57 23290058),(58 23734914),(59 24149044),(60 24564604),(61 25002636),(62 25449744),(63 25875290),(64 26203234),(65 26392022),(66 26449532),(67 26408000),(68 26311116),(69 26132642),(70 25881972),(71 25605184),(72 25320958),(73 24998722),(74 24665332),(75 24324136),(76 23992712),(77 23689024),(78 23457628),(79 23238032),
