1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 35743.23),(2 98789.54),(3 168930.11),(4 258892.58),(5 369556.22),(6 451583.4),(7 538595.56),(8 628524.3),(9 692866.5),(10 727929),(11 762758.06),(12 817670.3),(13 853348.44),(14 894308.3),(15 945578.25),(16 999408.8),(17 1030121.8),(18 1053802),(19 1098626.9),(20 1123214.1),(21 1144571.9),(22 1147932.9),(23 1166932.9),(24 1157092.5),(25 1141526.6),(26 1149904.1),(27 1174470.5),(28 1169530.4),(29 1186531.5),(30 1217129.3),(31 1254209.5),(32 1334595.6),(33 1406774),(34 1467367.4),(35 1502769),(36 1566995),(37 1653533.9),(38 1730602.4),(39 1835855.4),(40 1964802.4),(41 2054592),(42 2149555),(43 2211270.3),(44 2309677),(45 2369492.5),(46 2424202.3),(47 2449697.8),(48 2504796.3),(49 2510439),(50 2539962.3),(51 2572880.5),(52 2621299.3),(53 2647377.5),(54 2731169),(55 2840482.3),(56 2933530.3),(57 3045830.3),(58 3204482),(59 3378081.3),(60 3539474.8),(61 3652608.8),(62 3795036.8),(63 3913239.3),(64 4039266.8),(65 4135471),(66 4203498.5),(67 4266993.5),(68 4367585.5),(69 4477463.5),(70 4584557.5),(71 4677721),(72 4783538.5),(73 4883433.5),(74 4996182),(75 5105633.5),(76 5208387.5),(77 5269212.5),(78 5294791.5),(79 5327500.5),
(1 31063.707),(2 98075.95),(3 192448.05),(4 299259.8),(5 415799.44),(6 540240),(7 658564.3),(8 767165.25),(9 857572.7),(10 912509.2),(11 952518),(12 977210.4),(13 982653.8),(14 985005.1),(15 991090.3),(16 1009357.8),(17 1037535.4),(18 1081112.3),(19 1147712.4),(20 1225791.6),(21 1301992.9),(22 1383188.4),(23 1476425),(24 1560383.3),(25 1638663.3),(26 1705709.6),(27 1777881.6),(28 1842291.3),(29 1895214.8),(30 1926776.4),(31 1967473.3),(32 2037769.3),(33 2127459.3),(34 2224330.8),(35 2315000.5),(36 2424968.8),(37 2533890.5),(38 2653746),(39 2791526.5),(40 2917623.5),(41 3009608.5),(42 3079641.3),(43 3142308),(44 3187316.5),(45 3215190.8),(46 3223368.8),(47 3210072.8),(48 3194723.8),(49 3181571),(50 3196614.3),(51 3226363.8),(52 3276225.5),(53 3330188.3),(54 3368438),(55 3395634),(56 3417207.3),(57 3444996.5),(58 3490005.5),(59 3528909.5),(60 3563470),(61 3576752),(62 3615668),(63 3683865.5),(64 3756594.5),(65 3846280),(66 3944590.5),(67 4028051.5),(68 4135100),(69 4246164.5),(70 4343295),(71 4424599),(72 4517653.5),(73 4601407),(74 4637688.5),(75 4674349.5),(76 4696914.5),(77 4712055),(78 4733007),(79 4774028.5),
(1 26836.725),(2 85121.48),(3 161912.27),(4 243432.2),(5 339663.13),(6 434415.25),(7 527330.06),(8 615920.3),(9 699810.44),(10 780294.5),(11 866503.75),(12 943445.7),(13 1006602.56),(14 1073612),(15 1131745.6),(16 1203380.5),(17 1284352.3),(18 1374856.9),(19 1471745),(20 1577217.1),(21 1696653.1),(22 1814874),(23 1913543.6),(24 2021097.6),(25 2115388.8),(26 2186188.3),(27 2271408.8),(28 2337526.3),(29 2390042.8),(30 2434724.8),(31 2482930.8),(32 2534169.3),(33 2598471.3),(34 2668252.5),(35 2747222),(36 2861732.3),(37 2968976.8),(38 3084603.3),(39 3204402),(40 3317734.8),(41 3419918.3),(42 3499838.3),(43 3561231.3),(44 3641336),(45 3709506),(46 3763109),(47 3812915),(48 3866389.3),(49 3919943.8),(50 3981630.8),(51 4041703.3),(52 4100834),(53 4179001),(54 4240688.5),(55 4279753),(56 4319860),(57 4369908),(58 4433401.5),(59 4481203.5),(60 4533732),(61 4575150),(62 4618586.5),(63 4679356),(64 4730498),(65 4795243.5),(66 4853914.5),(67 4907859.5),(68 4947352.5),(69 4995566.5),(70 5055856),(71 5118773.5),(72 5219448),(73 5302337.5),(74 5335940.5),(75 5359355.5),(76 5373763.5),(77 5365654.5),(78 5359642),(79 5361184.5),
(1 30233.688),(2 97505.64),(3 192001.28),(4 297742.72),(5 420661.16),(6 541394.7),(7 658237.44),(8 775179.75),(9 890261.75),(10 988349.1),(11 1083661.5),(12 1174230.6),(13 1257590),(14 1338638.3),(15 1431580.5),(16 1523019.1),(17 1604418.3),(18 1672897.3),(19 1748646.3),(20 1822011.3),(21 1905534),(22 1980936.9),(23 2046785.8),(24 2094620.9),(25 2124443.3),(26 2139703),(27 2130743.8),(28 2115805.8),(29 2095765.1),(30 2057313.4),(31 2030533.4),(32 2004081.4),(33 1986529.4),(34 1967810.3),(35 1946276.6),(36 1925014.3),(37 1905339.8),(38 1880525.1),(39 1875930.3),(40 1882432.9),(41 1899051.5),(42 1918073.8),(43 1945116.6),(44 1977984.3),(45 1999468),(46 2017530.6),(47 2044558.9),(48 2087958.3),(49 2132637.8),(50 2187802.3),(51 2232343.8),(52 2259199.3),(53 2302170.3),(54 2329511),(55 2352545),(56 2378727),(57 2401665),(58 2424244),(59 2449510.8),(60 2479681.5),(61 2510891.5),(62 2538333.5),(63 2553849.5),(64 2565668.8),(65 2589919.3),(66 2604612.8),(67 2615885.3),(68 2634748.3),(69 2653699.5),(70 2685851),(71 2718628.3),(72 2765977.3),(73 2813991),(74 2863717.5),(75 2898712.8),(76 2925679),(77 2973031),(78 3006375.5),(79 3052612),
(1 28285.95),(2 91339.26),(3 179841.4),(4 281876.53),(5 399584.47),(6 525885.2),(7 647801.06),(8 770494),(9 887730.94),(10 990619.2),(11 1086421.3),(12 1185026),(13 1283678.5),(14 1378184.8),(15 1485048.5),(16 1586562.1),(17 1684491.6),(18 1778440),(19 1882072.9),(20 1987208.4),(21 2096928),(22 2206666.3),(23 2316515.3),(24 2419451.5),(25 2508789.5),(26 2581426.3),(27 2629456),(28 2667357.8),(29 2684805.3),(30 2687812.8),(31 2687634.3),(32 2675683.5),(33 2675072.8),(34 2673373),(35 2670084.5),(36 2665873.8),(37 2664327.8),(38 2660582.5),(39 2661019),(40 2659305.8),(41 2666362.3),(42 2677769.3),(43 2706301),(44 2746533.3),(45 2791788),(46 2835693),(47 2884299.8),(48 2929201.8),(49 2983148.3),(50 3045228.5),(51 3117022.5),(52 3186168.8),(53 3273890.3),(54 3359492),(55 3446801),(56 3520357),(57 3583563.3),(58 3643273.5),(59 3693205),(60 3744084.3),(61 3792373.8),(62 3845256),(63 3906645),(64 3960960),(65 4012480),(66 4056454.5),(67 4089134.5),(68 4129804),(69 4170793.5),(70 4198830),(71 4236749),(72 4273954),(73 4307910.5),(74 4326996.5),(75 4323485.5),(76 4305518),(77 4306540.5),(78 4303943.5),(79 4325582.5),
(1 26940.756),(2 88810.67),(3 172899.47),(4 269140.1),(5 384134.6),(6 511206.66),(7 644908),(8 779673.8),(9 921197.2),(10 1060101.8),(11 1189339.3),(12 1313387.8),(13 1424857.6),(14 1526978.6),(15 1626866.3),(16 1733701.8),(17 1843403),(18 1951851.6),(19 2061492.6),(20 2175495.8),(21 2298473.5),(22 2416062.8),(23 2541332),(24 2655281.5),(25 2755146),(26 2852644),(27 2933772.5),(28 2997838.5),(29 3040917.5),(30 3071180),(31 3089308.5),(32 3104714),(33 3115141),(34 3137099.3),(35 3158250.8),(36 3183838.5),(37 3209812),(38 3243066),(39 3274373.5),(40 3298671.5),(41 3316299.5),(42 3330337.5),(43 3358011.3),(44 3383601.5),(45 3411829.3),(46 3435950.5),(47 3464491.3),(48 3497076.8),(49 3539785.5),(50 3605980.8),(51 3696372),(52 3807240.8),(53 3951536.8),(54 4104398.5),(55 4256897),(56 4384598.5),(57 4496237),(58 4584756),(59 4672270),(60 4748861),(61 4840072),(62 4944216),(63 5061823),(64 5173856),(65 5278561.5),(66 5383775),(67 5492942),(68 5602090),(69 5708269),(70 5803713),(71 5885744),(72 5955011.5),(73 6018682.5),(74 6047809.5),(75 6062473),(76 6061059.5),(77 6058943),(78 6077017.5),(79 6112267),
(1 32214.836),(2 106814.945),(3 206634.17),(4 321889.5),(5 451635.8),(6 589893.75),(7 732956.06),(8 879886.56),(9 1031805.3),(10 1187335.3),(11 1338406.8),(12 1490522.8),(13 1638897.9),(14 1766584),(15 1870760.3),(16 1972258.1),(17 2064797.5),(18 2146994),(19 2226765.8),(20 2307594.3),(21 2401011),(22 2501809.3),(23 2599182.8),(24 2699016.5),(25 2803014.3),(26 2893877),(27 2969574.3),(28 3040827.8),(29 3115988),(30 3173473),(31 3234822.8),(32 3282142.8),(33 3334480),(34 3380060.3),(35 3431567),(36 3492921.3),(37 3559943),(38 3630425.3),(39 3697118.8),(40 3773495),(41 3851499.5),(42 3929800.5),(43 4013645.3),(44 4079009),(45 4126145.3),(46 4171204.3),(47 4200834),(48 4230867),(49 4254581),(50 4276938.5),(51 4319771),(52 4356044),(53 4424507.5),(54 4496318),(55 4558978),(56 4631647.5),(57 4702788),(58 4777853),(59 4842282.5),(60 4907358),(61 4992759),(62 5079935.5),(63 5159167),(64 5223589.5),(65 5279375),(66 5340869.5),(67 5406426.5),(68 5468431.5),(69 5528953),(70 5585171.5),(71 5635262),(72 5680918),(73 5718479.5),(74 5742584),(75 5760035),(76 5785523.5),(77 5812488.5),(78 5839206),(79 5853993),
(1 28714.469),(2 93268.914),(3 178049.3),(4 275554.7),(5 385628.28),(6 506114.28),(7 631452.3),(8 748519.4),(9 869191.2),(10 993783.56),(11 1116870.1),(12 1230016),(13 1348072.4),(14 1456751.1),(15 1556921.1),(16 1667233.6),(17 1777110.1),(18 1882492.6),(19 1976672.5),(20 2072998.1),(21 2173554.5),(22 2270635.5),(23 2367811.3),(24 2465095.3),(25 2568224.3),(26 2666549.3),(27 2759907.8),(28 2839101.3),(29 2919859.8),(30 2998031.8),(31 3071543.8),(32 3135580.5),(33 3193808.8),(34 3251292),(35 3306069),(36 3359478.5),(37 3394671.5),(38 3423559),(39 3456826.5),(40 3496663.3),(41 3542388),(42 3590019.3),(43 3646081),(44 3700338.5),(45 3760285.3),(46 3817759.5),(47 3871828),(48 3920323.8),(49 3966530.3),(50 4012356.5),(51 4050979.3),(52 4091643.3),(53 4146355.8),(54 4189536.5),(55 4223982.5),(56 4254605),(57 4290378),(58 4324071),(59 4353293.5),(60 4381768),(61 4410440),(62 4444533),(63 4480019.5),(64 4526010),(65 4578716.5),(66 4631651.5),(67 4670049.5),(68 4700550.5),(69 4740719),(70 4780158.5),(71 4814502.5),(72 4855333.5),(73 4908147),(74 4959698),(75 5021185),(76 5075784.5),(77 5119895.5),(78 5135461),(79 5145809),
(1 31790.096),(2 103057.63),(3 196021.66),(4 300492.2),(5 414724.28),(6 535226.25),(7 652066.4),(8 767079.06),(9 884309.6),(10 1002241.3),(11 1121429.9),(12 1236667.5),(13 1350270.6),(14 1454752.3),(15 1553667),(16 1657578.4),(17 1764764.5),(18 1876082.3),(19 1987530.6),(20 2097221.5),(21 2216243),(22 2321439.5),(23 2425603.8),(24 2530032.5),(25 2634719.3),(26 2736660.3),(27 2833002.3),(28 2917365.8),(29 2998948.8),(30 3068960),(31 3131058.5),(32 3183482.8),(33 3240707.5),(34 3293149.8),(35 3344784),(36 3393547.3),(37 3424254.5),(38 3437490),(39 3440778.3),(40 3436916.3),(41 3427921.8),(42 3420278),(43 3416895.5),(44 3422068.8),(45 3427634.3),(46 3439371),(47 3453937.5),(48 3465570),(49 3476894.3),(50 3480950),(51 3478264.8),(52 3471048),(53 3476257.3),(54 3473754.8),(55 3484411),(56 3497438),(57 3512568.8),(58 3538676.5),(59 3568869),(60 3615225.8),(61 3669323.3),(62 3725062),(63 3790053.3),(64 3854728.3),(65 3921312.3),(66 3993676.3),(67 4060858),(68 4126538.3),(69 4198614),(70 4276084.5),(71 4358313.5),(72 4451873.5),(73 4555830.5),(74 4677294),(75 4799206.5),(76 4917835.5),(77 5015928.5),(78 5112559),(79 5199540.5),
(1 34431.5),(2 112207.555),(3 215614),(4 332754.5),(5 465853.28),(6 608553.5),(7 753492.94),(8 901161.06),(9 1042984.1),(10 1178157.5),(11 1302849.5),(12 1426781.5),(13 1548067.8),(14 1653543.5),(15 1745001.4),(16 1843700.9),(17 1957220.9),(18 2083972.6),(19 2210132),(20 2328559.3),(21 2455231),(22 2586153),(23 2726526),(24 2859725.8),(25 2972622.3),(26 3079709.3),(27 3173179.3),(28 3245109.8),(29 3302958.8),(30 3353845.3),(31 3409389),(32 3468407.5),(33 3531169.3),(34 3578746.3),(35 3625159.8),(36 3679100),(37 3730439),(38 3770702.3),(39 3806465.8),(40 3831593),(41 3862675.5),(42 3896582.3),(43 3929303),(44 3966644),(45 3998577.8),(46 4031100),(47 4060930.8),(48 4092994.8),(49 4135182.8),(50 4189933.3),(51 4249171.5),(52 4292191.5),(53 4322940.5),(54 4346904.5),(55 4360127),(56 4381072.5),(57 4391578),(58 4400952.5),(59 4420398),(60 4452113),(61 4487598),(62 4502073.5),(63 4514710),(64 4521490.5),(65 4516289.5),(66 4526267),(67 4535467.5),(68 4547681),(69 4562728),(70 4577182),(71 4582193.5),(72 4583771),(73 4588118),(74 4604857),(75 4622838),(76 4644466.5),(77 4657353.5),(78 4690554.5),(79 4717035.5),
(1 36583.43),(2 120196.414),(3 232267.66),(4 359167.34),(5 493519.66),(6 629147.25),(7 753440.8),(8 871796.56),(9 976677.2),(10 1074113.3),(11 1164158.6),(12 1263073.1),(13 1357240.5),(14 1440834.4),(15 1517655.9),(16 1599026.6),(17 1690485.6),(18 1773964.8),(19 1852336.8),(20 1919468.8),(21 1985993.6),(22 2054479),(23 2121728),(24 2186367.3),(25 2240595.3),(26 2295727.5),(27 2341793.5),(28 2383325),(29 2418250.5),(30 2447382.5),(31 2476767.5),(32 2512015.5),(33 2540020.8),(34 2560916.5),(35 2572563.5),(36 2574694.5),(37 2569894.3),(38 2550647),(39 2533541.5),(40 2516823.3),(41 2515406.8),(42 2537969),(43 2570730.5),(44 2616550.5),(45 2672748.3),(46 2739095),(47 2809873),(48 2898505.5),(49 2999385.5),(50 3126428.8),(51 3273270),(52 3415811.3),(53 3559199.5),(54 3691166.8),(55 3809666.5),(56 3926195.3),(57 4036609),(58 4153619.8),(59 4276953.5),(60 4385357.5),(61 4478748),(62 4558262),(63 4629564.5),(64 4694586),(65 4747646),(66 4781597),(67 4812355),(68 4840049.5),(69 4854939),(70 4885253.5),(71 4915394.5),(72 4947350.5),(73 4974893.5),(74 5002850),(75 5036821.5),(76 5081465),(77 5146671),(78 5216343),(79 5272370),
