1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 35991.688),(2 66851.164),(3 74304.805),(4 82331.5),(5 90095.164),(6 96391.484),(7 100792.234),(8 100039.58),(9 99331.44),(10 105034.234),(11 105953.8),(12 106234.18),(13 106347.1),(14 106720.55),(15 108392.875),(16 105555.914),(17 102023.11),(18 103329.73),(19 105159.08),(20 103974.6),(21 101984.43),(22 103985.28),(23 102948.98),(24 99847.09),(25 99591.59),(26 99841.555),(27 100322.78),(28 99500.016),(29 98099.17),(30 96673.17),(31 96663.805),(32 96903.38),(33 96751.305),(34 97956.25),(35 98424.69),(36 97487.78),(37 98129.42),(38 96307.82),(39 93866.97),(40 94654.41),(41 95543.38),(42 96563.01),(43 95587.31),(44 97471.18),(45 98516.44),(46 100014.266),(47 102741.63),(48 102779.836),(49 99534.11),(50 97703.54),(51 96037.3),(52 96101.82),(53 97731.25),(54 97844.29),(55 97801.41),(56 97471.336),(57 97033.38),(58 98046.47),(59 99279.53),(60 101856.15),(61 102361.46),(62 100578.83),(63 99167.69),(64 99334.055),(65 98441.336),(66 98822.99),(67 99685.6),(68 100430.336),(69 102099.234),(70 101508.32),(71 99273.73),(72 97396.586),(73 97258.47),(74 96667.58),(75 96733.58),(76 96057.84),(77 96146.25),(78 97409.32),(79 98801.984),
(1 35395.5),(2 64117.805),(3 73418.77),(4 81587.17),(5 85797.914),(6 86939.64),(7 92074.95),(8 94720.49),(9 94936.695),(10 94815.45),(11 95207.15),(12 94973.56),(13 98467.336),(14 99512.1),(15 100696.21),(16 100173.18),(17 99021.07),(18 100891),(19 100482.734),(20 98717.54),(21 98640.945),(22 101308.16),(23 100052.34),(24 96156.766),(25 96794.71),(26 95394.78),(27 96608.2),(28 96684.65),(29 94534.02),(30 94781.33),(31 94450.12),(32 94835.85),(33 94645.46),(34 93848.45),(35 93352.97),(36 92275.734),(37 91558.78),(38 92387.95),(39 90932.19),(40 90614),(41 91374.98),(42 91844.88),(43 89938.88),(44 90999.484),(45 93196.05),(46 92694.71),(47 92306.88),(48 92827.445),(49 91405.51),(50 89034.37),(51 87854.1),(52 87929.05),(53 86675.055),(54 86929.19),(55 90179.336),(56 91429.73),(57 92552.695),(58 93663.39),(59 93525.64),(60 93781.16),(61 94613.58),(62 95462.85),(63 95532.41),(64 96314.305),(65 97810.984),(66 97425.64),(67 96857.164),(68 96402.4),(69 96140.36),(70 95830.44),(71 94809.375),(72 94220.11),(73 94241.19),(74 93845.38),(75 94932.625),(76 95979.13),(77 94303.95),(78 94903.664),(79 96325.8),
(1 34780.17),(2 61508.36),(3 69217.28),(4 77729.36),(5 80943.234),(6 84163.24),(7 87882.69),(8 85961.74),(9 87679.414),(10 91284.92),(11 90942.59),(12 90138.25),(13 93081.52),(14 95387.4),(15 95416.016),(16 95720.72),(17 92995.33),(18 90928.086),(19 89147.234),(20 86597.02),(21 91309.8),(22 95712.4),(23 94177.42),(24 91528.46),(25 91899.61),(26 89828.73),(27 90471.81),(28 89282.21),(29 88059.51),(30 91130.02),(31 91229.87),(32 88994.89),(33 89039.73),(34 88840.67),(35 87972.63),(36 89292.234),(37 88951.76),(38 88959.32),(39 89580.016),(40 90476.96),(41 91084.51),(42 91076.03),(43 90514.35),(44 90489.34),(45 89947.51),(46 88728.77),(47 89735.914),(48 89962.2),(49 87693.66),(50 87262.9),(51 85759.516),(52 85546.22),(53 85403.03),(54 87351.84),(55 89906.63),(56 89398.69),(57 88751.914),(58 89109.14),(59 89330.45),(60 88465.98),(61 89014.32),(62 90195.984),(63 91161.83),(64 90351.58),(65 90358.234),(66 90084.76),(67 91229.625),(68 91346.195),(69 91516.07),(70 91442.836),(71 93145.08),(72 90180.39),(73 91195.42),(74 91005.914),(75 90629.05),(76 90864.24),(77 89440.35),(78 87690.47),(79 89461.516),
(1 33176.72),(2 60320.406),(3 67658.6),(4 76905.56),(5 81212.41),(6 84415.24),(7 89919.66),(8 89009.41),(9 88767.59),(10 91439.59),(11 89292.375),(12 88808.63),(13 91541.95),(14 92631.05),(15 95601.31),(16 92910.56),(17 89644.23),(18 91610.625),(19 90989.33),(20 88144.02),(21 89692.56),(22 91893.016),(23 89013.695),(24 87605.84),(25 87895.51),(26 87926.49),(27 87476.63),(28 85115.23),(29 84274.79),(30 84159.13),(31 84886.13),(32 84847.68),(33 83291.14),(34 83155.7),(35 82859.31),(36 83683.305),(37 84539.71),(38 84449.4),(39 84340.2),(40 84214.92),(41 86010.55),(42 85074.48),(43 84344.055),(44 85211.45),(45 84194.45),(46 82751.01),(47 82971.62),(48 83474.516),(49 83706.18),(50 83421.06),(51 82841.49),(52 82255.695),(53 82221.13),(54 82297.77),(55 85604.2),(56 87587.5),(57 87401.055),(58 87504.1),(59 88731.125),(60 86918.71),(61 85610.164),(62 86108.03),(63 86217.87),(64 85451.625),(65 84943.38),(66 83213.21),(67 81277.086),(68 81697.7),(69 82775.57),(70 82296.586),(71 83542.72),(72 84859.484),(73 85829.41),(74 85353.73),(75 85193.1),(76 84544.82),(77 85083.42),(78 86535.945),(79 85024.24),
(1 31916.63),(2 56916.492),(3 66760.51),(4 76985.445),(5 80529.67),(6 82193.08),(7 87169.16),(8 87890.03),(9 88755.06),(10 90196.164),(11 87350.92),(12 86230.414),(13 87417.33),(14 85885.336),(15 87934.586),(16 88534.24),(17 88087.555),(18 89889.28),(19 89227.36),(20 87925.34),(21 89914.63),(22 90412.586),(23 89136.336),(24 90899),(25 89049.05),(26 90371.7),(27 88970.12),(28 84468.766),(29 83939.88),(30 83492.63),(31 83724.48),(32 83926.51),(33 82601.97),(34 83598.21),(35 83775.31),(36 82760.59),(37 83139.336),(38 83385.63),(39 82259.36),(40 81785.586),(41 82635.664),(42 82642.06),(43 81842.75),(44 83211.8),(45 83182.13),(46 82997.945),(47 82950.52),(48 82925.86),(49 82387.08),(50 83396.9),(51 83647.94),(52 83327.87),(53 84640.63),(54 85479.85),(55 84167.67),(56 84566.805),(57 84982.02),(58 84101.53),(59 84783.71),(60 85828.97),(61 86323.46),(62 86260.914),(63 86073.586),(64 83840.72),(65 83488.21),(66 82471.12),(67 83132.734),(68 84696.7),(69 84043.48),(70 85630.12),(71 85904.13),(72 86267.13),(73 86073.945),(74 85219.72),(75 84870.586),(76 85361.875),(77 86348.18),(78 87178.664),(79 87842.9),
(1 27835.879),(2 49442.945),(3 57595.74),(4 67076.78),(5 71560.79),(6 75320.54),(7 79686.18),(8 80362.695),(9 83513.46),(10 86046.16),(11 85397.31),(12 84334.805),(13 85306.64),(14 87205.734),(15 88490.44),(16 86092.414),(17 85289.49),(18 85156.9),(19 84660.79),(20 84018.38),(21 84906.74),(22 84628.375),(23 84258.96),(24 85593.27),(25 85317.67),(26 84499.98),(27 81977.06),(28 80898.664),(29 80698.62),(30 79811.414),(31 79593.39),(32 80281.94),(33 79690.125),(34 79133.766),(35 78935.4),(36 78191.62),(37 77573.15),(38 78751.7),(39 78440.24),(40 77299.445),(41 77848.47),(42 80133.65),(43 81817.26),(44 82703.8),(45 80878.43),(46 81149.445),(47 80325.99),(48 80504.52),(49 80746.414),(50 80962.766),(51 82477.56),(52 82036.09),(53 82621.46),(54 83805.305),(55 83737.82),(56 82014.34),(57 80673.3),(58 80650.1),(59 82057.83),(60 81579.35),(61 82211.29),(62 82914.12),(63 80013.58),(64 79461.66),(65 80003.81),(66 79934.51),(67 82026.164),(68 82492.695),(69 81906.164),(70 81576.34),(71 80641.72),(72 79274.23),(73 78907.66),(74 78396.375),(75 77423.62),(76 76541.58),(77 76941.94),(78 78336.1),(79 79357.18),
(1 28057.738),(2 50445.184),(3 60034.156),(4 67752.52),(5 72150.15),(6 75814.984),(7 79691.13),(8 80415.586),(9 80963.03),(10 81577.72),(11 83016.25),(12 82094.445),(13 81521.73),(14 82397.16),(15 81108.57),(16 78410.82),(17 78144.24),(18 79820.93),(19 81643.59),(20 82228.04),(21 84182.58),(22 82866.03),(23 83235.29),(24 84864.734),(25 85178.086),(26 85226.82),(27 83275.99),(28 82634.22),(29 81973.1),(30 81353.125),(31 81229.45),(32 81558.98),(33 81334.6),(34 81550.76),(35 81560.086),(36 79405.91),(37 79960.484),(38 78798),(39 76668.27),(40 76058.1),(41 76711.62),(42 76534.44),(43 74810.76),(44 75411.62),(45 76307.945),(46 77635.63),(47 77307.51),(48 76941.19),(49 77138),(50 77156.016),(51 77140.53),(52 78256.33),(53 77710.12),(54 78194.8),(55 78043.15),(56 77447.125),(57 78398.3),(58 78511.81),(59 79324.664),(60 77490.23),(61 79188.805),(62 80138.8),(63 78531.55),(64 79476.08),(65 79624.36),(66 79454.664),(67 79257.54),(68 77912.164),(69 79445.336),(70 79789.13),(71 80432.04),(72 80519.73),(73 81427.63),(74 80701.89),(75 80289.43),(76 78248.16),(77 78227.305),(78 77750.305),(79 76572.125),
(1 26634.809),(2 48356.633),(3 56954.523),(4 62848.83),(5 64204.65),(6 67294.67),(7 70265.4),(8 71123.62),(9 72591.2),(10 71786.38),(11 71917.984),(12 72910.97),(13 73667.01),(14 75733.34),(15 76738.61),(16 74460.81),(17 73502.03),(18 72939.16),(19 73455.69),(20 74286.85),(21 75700.72),(22 74861.18),(23 74651.79),(24 74763.54),(25 75247.46),(26 74155.55),(27 73335.1),(28 73228.21),(29 73049.12),(30 71882.69),(31 72076.055),(32 72763.49),(33 72531.086),(34 72686.17),(35 71031.42),(36 70063.555),(37 69771.3),(38 69310.43),(39 69444.18),(40 69511.56),(41 69590.4),(42 70095.88),(43 68683.37),(44 69679.266),(45 70124.06),(46 70274.92),(47 71253.78),(48 71911.82),(49 71724.48),(50 71021.24),(51 71317.78),(52 70794.84),(53 69995.3),(54 67771.305),(55 67720.11),(56 68976.86),(57 68413.05),(58 68252.37),(59 69363.445),(60 68195.24),(61 69913.555),(62 70449.69),(63 71635.58),(64 73253.516),(65 72752.086),(66 71720.2),(67 71809.54),(68 71906.9),(69 73258.164),(70 72553.12),(71 72993.555),(72 72693.07),(73 71249.31),(74 70454.44),(75 70469.4),(76 71159.09),(77 71812.43),(78 72648.555),(79 73583.83),
(1 26227.326),(2 45668.223),(3 53145.457),(4 60570.6),(5 64195.13),(6 66377.35),(7 69585.36),(8 68412.59),(9 70692.75),(10 71607.53),(11 71761.15),(12 71914.305),(13 71609.57),(14 71502.26),(15 71179.23),(16 70091.53),(17 70332.63),(18 70488.96),(19 72530.2),(20 74128.016),(21 76256.89),(22 76185.33),(23 74965.586),(24 73831.53),(25 72928.06),(26 70898.09),(27 70997.18),(28 70641.1),(29 70756.766),(30 70884.43),(31 72185.336),(32 72830.516),(33 71214.54),(34 72091.945),(35 70978.73),(36 69583.234),(37 68130.9),(38 67913.91),(39 68256.24),(40 69362.69),(41 68750.586),(42 69821.86),(43 68600.71),(44 68376.305),(45 70009.766),(46 69846.58),(47 70014.96),(48 70336.83),(49 69957.72),(50 70362.78),(51 70214.2),(52 69798.87),(53 69619.14),(54 67587.76),(55 67898.336),(56 69255.555),(57 69396.24),(58 69277.36),(59 69124.46),(60 68200.77),(61 68128.125),(62 67748.72),(63 68714.57),(64 69220.72),(65 70388.25),(66 70047.68),(67 69508.39),(68 71126.53),(69 72505.15),(70 71230.76),(71 71038.38),(72 70437.44),(73 70781.1),(74 69424.305),(75 69003.11),(76 69097.07),(77 69466.12),(78 69872.195),(79 69969.96),
(1 25737.549),(2 44928.906),(3 53651.418),(4 59741.19),(5 63772.605),(6 66169.586),(7 69338.484),(8 69332.55),(9 70395.03),(10 69938.5),(11 70102.18),(12 71031.51),(13 70350.61),(14 72415.664),(15 70612.7),(16 68725.05),(17 68835.19),(18 67977.875),(19 69823.586),(20 70608.4),(21 72067.47),(22 71685.29),(23 71796.6),(24 69752.555),(25 68963.96),(26 67931.92),(27 68284.4),(28 68997.04),(29 69788.81),(30 71589.92),(31 72414.23),(32 73179.56),(33 71832.516),(34 70620.21),(35 68196.8),(36 65832.59),(37 64687.49),(38 66353.43),(39 68388.47),(40 68478.43),(41 67569.305),(42 68885.84),(43 68240.98),(44 69109.47),(45 70419.25),(46 69985.95),(47 70004.055),(48 69223.29),(49 68850.516),(50 69370.66),(51 68959.74),(52 70976.04),(53 70573.58),(54 69750.28),(55 69294.34),(56 68407.766),(57 68919.64),(58 67929.09),(59 67134.836),(60 67188.9),(61 66888.32),(62 66972.94),(63 67132.98),(64 66428.734),(65 66733.18),(66 66741.6),(67 67359.94),(68 68249.695),(69 69718.74),(70 68718.445),(71 68693.73),(72 68672.87),(73 68945.09),(74 68834.28),(75 68268.11),(76 67566),(77 67069.7),(78 66833.94),(79 67441.445),
(1 24709.7),(2 41887.75),(3 50170.45),(4 57715.496),(5 58853.547),(6 60839.434),(7 62811.195),(8 62290.355),(9 63770.05),(10 62832.477),(11 63110.625),(12 65315.86),(13 64548.24),(14 65486.695),(15 64049.11),(16 62759.754),(17 62971.445),(18 62662.31),(19 63555.85),(20 65396.297),(21 65765.7),(22 65724.37),(23 65970.516),(24 64471.22),(25 63561),(26 62871.543),(27 64237.375),(28 65983.836),(29 65070.117),(30 66272.5),(31 66942.5),(32 66074.984),(33 65087.613),(34 64062.703),(35 62717.04),(36 62043.215),(37 61700.73),(38 62557.305),(39 64149.863),(40 64908.484),(41 63912.934),(42 64841.06),(43 63511.92),(44 63002.195),(45 63484.01),(46 63371.367),(47 63387.754),(48 63254.95),(49 62348.89),(50 62788.08),(51 62847.69),(52 62359.457),(53 62254.71),(54 61076.305),(55 61973.05),(56 61673.445),(57 62340.246),(58 62644.684),(59 62442.1),(60 61746.23),(61 60527.89),(62 60933.31),(63 61768.387),(64 62433.742),(65 63576.348),(66 64165.4),(67 64571.992),(68 65152.117),(69 63823.742),(70 63102.492),(71 62746.89),(72 63144.38),(73 64253.176),(74 65128.492),(75 65644.79),(76 63963.324),(77 63818.97),(78 63746.93),(79 64425.207),
(1 24590.37),(2 43335.7),(3 51950.81),(4 57176.727),(5 58324.438),(6 60260.98),(7 62255.137),(8 62056.438),(9 63252.043),(10 62242.984),(11 62219.72),(12 63196.992),(13 63516.6),(14 64792.918),(15 64418.8),(16 63762.992),(17 63621.13),(18 62474.156),(19 63826.535),(20 65178.418),(21 66288.89),(22 65850.14),(23 65976.53),(24 65602.33),(25 66284.96),(26 66849.78),(27 67516.37),(28 67648.414),(29 67094.75),(30 67022.58),(31 65554.49),(32 65002.617),(33 65010.855),(34 65263.11),(35 64223.41),(36 62949.76),(37 61587.1),(38 63630.363),(39 64508.207),(40 65266.926),(41 65941.58),(42 64563.547),(43 63391.39),(44 62852.2),(45 64377.355),(46 64803.707),(47 65299.902),(48 64559.773),(49 62467.766),(50 62199.992),(51 61393.754),(52 60826.6),(53 60588.543),(54 61027.438),(55 62176.81),(56 62841.254),(57 64126.79),(58 63988.48),(59 63869.4),(60 63109.438),(61 63140.957),(62 62603.5),(63 62034.355),(64 61321.098),(65 62120.184),(66 62363.59),(67 63176.09),(68 64221.227),(69 64346.07),(70 63877.5),(71 63596.344),(72 63645.67),(73 64456.734),(74 64116.28),(75 64136.684),(76 64030.035),(77 63210.848),(78 63150.773),(79 63416.273),
(1 22365.238),(2 39510.695),(3 47963.617),(4 55181.27),(5 56223.477),(6 58627.19),(7 59920.93),(8 58933.125),(9 60278.254),(10 60081.805),(11 60343.17),(12 60492.902),(13 59399.66),(14 59771.348),(15 58631.098),(16 59261.516),(17 60041.668),(18 58976.594),(19 60461.34),(20 61856.65),(21 60634.426),(22 60005.836),(23 60614.914),(24 60287.883),(25 59945.68),(26 59821.613),(27 60339.99),(28 60470.504),(29 60742.027),(30 60276.535),(31 60331.313),(32 59776),(33 60564.81),(34 61803.047),(35 59435.29),(36 59511.09),(37 59714.008),(38 59715.41),(39 59225.49),(40 59354.125),(41 58958.3),(42 59375.94),(43 58618.293),(44 58836.55),(45 58297.91),(46 58180.137),(47 58386.668),(48 58563.535),(49 58206.07),(50 58438.35),(51 58028.15),(52 57881.523),(53 58828.85),(54 59819.66),(55 60615.28),(56 59660.74),(57 60151.098),(58 59678.65),(59 59299.85),(60 58792.348),(61 59037.824),(62 60015.582),(63 59415.785),(64 59942.145),(65 59825.09),(66 60032.09),(67 59954.164),(68 60390.55),(69 61046.57),(70 60749.125),(71 61462.6),(72 61448.41),(73 61530.516),(74 61010.83),(75 59540.33),(76 58956.863),(77 58174.21),(78 58609.992),(79 59207.74),
(1 21599.893),(2 37805.59),(3 45738.12),(4 51488.863),(5 53547.832),(6 55526.31),(7 56897.383),(8 57812.75),(9 58626.363),(10 57273.91),(11 57446.73),(12 59119.055),(13 59487.574),(14 58370.832),(15 57610.99),(16 57990.867),(17 57889.176),(18 58432.043),(19 61270.797),(20 61518.58),(21 59771.957),(22 59907.848),(23 59778.348),(24 58461.977),(25 57055.32),(26 56660.36),(27 56931.03),(28 57180.69),(29 57381.203),(30 57525.855),(31 58451.59),(32 58924.793),(33 58185.977),(34 57798.848),(35 56438.906),(36 57665.67),(37 58044.176),(38 58325.46),(39 57954.527),(40 56780.176),(41 57110.03),(42 56067.156),(43 55567.426),(44 55539.62),(45 55169.008),(46 55377.836),(47 56059.574),(48 56800.844),(49 57618.586),(50 58442.203),(51 58100.703),(52 56759.844),(53 56113.35),(54 56094.426),(55 56990.527),(56 58438.598),(57 58604.98),(58 59089.96),(59 59201.9),(60 59080.46),(61 59256.152),(62 59235.25),(63 60064.58),(64 59362.586),(65 58673.33),(66 58507.574),(67 57962.42),(68 58643.055),(69 58416.945),(70 58135.137),(71 59344.547),(72 60975.24),(73 60455.797),(74 59123.137),(75 58039.484),(76 57861.637),(77 57309.453),(78 56972.414),(79 57245.62),
(1 22582.055),(2 38571.55),(3 46416.33),(4 51514.1),(5 52720.32),(6 54972.844),(7 55190.242),(8 54861.777),(9 55223.93),(10 54065.645),(11 55425.805),(12 55994.777),(13 57991.844),(14 57828.96),(15 56291.83),(16 57010.36),(17 56200.555),(18 56551.293),(19 58165.668),(20 58422.94),(21 58065.62),(22 57369.55),(23 57853.313),(24 57967.746),(25 57609.125),(26 57868.797),(27 57983.293),(28 58338.543),(29 59174.63),(30 59496.332),(31 59535.215),(32 60072.195),(33 57903.348),(34 57919.563),(35 58034.87),(36 59296.96),(37 58652.613),(38 59112.293),(39 59660.727),(40 58143.19),(41 57970.504),(42 57421.313),(43 57055.953),(44 57260.242),(45 55689.32),(46 55888.293),(47 56395.31),(48 57523.555),(49 58611.75),(50 59333.543),(51 58398.36),(52 56885.3),(53 57428.066),(54 55916.633),(55 55854.77),(56 56164.97),(57 56037.49),(58 56497.758),(59 55801.32),(60 55666.23),(61 56326.758),(62 55096.496),(63 54806.39),(64 53613.555),(65 53321.47),(66 54574.414),(67 55341.137),(68 56161.06),(69 55714.875),(70 55964.34),(71 57110.184),(72 57388.332),(73 57247.688),(74 56308.01),(75 55948.934),(76 55530.254),(77 54928.29),(78 55056.79),(79 55596.875),
(1 19653.563),(2 34070.26),(3 41606.14),(4 46250.254),(5 48180.258),(6 49973.676),(7 50814.363),(8 51831.61),(9 52761.137),(10 52094.71),(11 52659.664),(12 52408.78),(13 54781.688),(14 54203.23),(15 52747.953),(16 52296.69),(17 50341.99),(18 49670.965),(19 51752.434),(20 52718.754),(21 53658.977),(22 54353.957),(23 54295.29),(24 53719.77),(25 53464.953),(26 54248.06),(27 54651.945),(28 54690.7),(29 55341.777),(30 55306.402),(31 55239.9),(32 55273.3),(33 54654.91),(34 53308.645),(35 53323.203),(36 54159.688),(37 55074.477),(38 54864.77),(39 54791.066),(40 53425.203),(41 53720.723),(42 54277.47),(43 55122.098),(44 55201.125),(45 55034.086),(46 55810.387),(47 55918.844),(48 56341.613),(49 55929.676),(50 56789.11),(51 56613.56),(52 55477.957),(53 54467.766),(54 53554.145),(55 53964.652),(56 53924.23),(57 53860.99),(58 54228.297),(59 53231.875),(60 53110.043),(61 52095.746),(62 50673.44),(63 50465.543),(64 50695.066),(65 51337.676),(66 50876.203),(67 51535.914),(68 52187.813),(69 52820.113),(70 52670),(71 52920.277),(72 52670.11),(73 52698.203),(74 51869.08),(75 51484.457),(76 51176.664),(77 51061.31),(78 51979.324),(79 51660.242),
(1 21208.32),(2 34756.535),(3 42085.36),(4 45972.934),(5 47051.97),(6 49553.676),(7 49812.33),(8 51438.73),(9 53365.566),(10 52383.527),(11 52816.03),(12 52305.973),(13 52236.98),(14 51954.395),(15 51572.86),(16 50520.77),(17 49798.8),(18 50544.992),(19 52313.27),(20 52241.62),(21 52133.684),(22 52340.316),(23 52638.4),(24 53265.805),(25 53334.195),(26 53915.66),(27 53684.844),(28 52947.863),(29 52123.27),(30 51589.95),(31 51064.348),(32 51232.633),(33 51031.066),(34 49684.527),(35 49606.78),(36 50141.387),(37 51352.777),(38 52534.15),(39 51702.715),(40 51183.484),(41 50968.496),(42 52080.84),(43 52862.4),(44 52009.008),(45 52045.91),(46 51903.53),(47 52208.414),(48 52558.746),(49 52797.36),(50 53344.39),(51 52885.746),(52 51634.38),(53 51610.855),(54 51442.066),(55 53825.25),(56 53713.918),(57 53367.25),(58 52632.625),(59 52066.406),(60 52246.285),(61 51808.664),(62 51126.496),(63 50863.664),(64 51439.137),(65 52700.066),(66 52655.73),(67 52749.695),(68 52738.895),(69 53670.297),(70 53365.746),(71 53448.656),(72 53426.305),(73 53922.38),(74 53768.36),(75 53115.297),(76 53369.492),(77 52963.305),(78 53224.305),(79 51604.9),
(1 19283.018),(2 32398.367),(3 39440.887),(4 42933.04),(5 44765.168),(6 47487.543),(7 48245.957),(8 49854.887),(9 50527.516),(10 49402.41),(11 48233.06),(12 48631.14),(13 49416.75),(14 50802.563),(15 50928.652),(16 49385.918),(17 48868.152),(18 48850.33),(19 50527.97),(20 51034.29),(21 51521.54),(22 50682.75),(23 50872.93),(24 51023.688),(25 50699.188),(26 51640.035),(27 50992.785),(28 50664.566),(29 49603.105),(30 50074.977),(31 50612.113),(32 50871.85),(33 50124.266),(34 49913.805),(35 49539.75),(36 49167.055),(37 49176.82),(38 49761.066),(39 49438.242),(40 49104.066),(41 47970.055),(42 49013.76),(43 49683.918),(44 49772.758),(45 49711.746),(46 49515.164),(47 48905.26),(48 49809.09),(49 49727.71),(50 50450.688),(51 49953.17),(52 49616.996),(53 50604.45),(54 50452.78),(55 50733.68),(56 51421.7),(57 51851.035),(58 50949.1),(59 50857.492),(60 50449.01),(61 49700.23),(62 49550.008),(63 49751.137),(64 50691.723),(65 51304.113),(66 52378.434),(67 51976.42),(68 51766.863),(69 51553.543),(70 51703.99),(71 51521.715),(72 51500.13),(73 51340.91),(74 51547.25),(75 51301.71),(76 51792.76),(77 51771.945),(78 51788.125),(79 51952.445),
