1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 15644.014),(2 44131.85),(3 72688.01),(4 93398.96),(5 108199.234),(6 118463.98),(7 127077.53),(8 135786.27),(9 141463.39),(10 145541.56),(11 149476.64),(12 152534.81),(13 153871.53),(14 154852.83),(15 156390.89),(16 157055.9),(17 158524.97),(18 160702.83),(19 162823.02),(20 164751.56),(21 165366.78),(22 164890.56),(23 164821.25),(24 165711.9),(25 166865.45),(26 167123.58),(27 165894.67),(28 165317.73),(29 165738.98),(30 167369.72),(31 168158.23),(32 168699.02),(33 170260.67),(34 172226.1),(35 174627.11),(36 175680.1),(37 176477.94),(38 175358.1),(39 173580.44),(40 171249.31),(41 170030.28),(42 169883.84),(43 170726.67),(44 171572.39),(45 172619.61),(46 172815.03),(47 173655.33),(48 174682.22),(49 174487.23),(50 174546.58),(51 174983.66),(52 174566.72),(53 174288.52),(54 174591.06),(55 174792.14),(56 174566.3),(57 177076.77),(58 177825.27),(59 178620.08),(60 178884.3),(61 179779.47),(62 180747.9),(63 182061.67),(64 181948.8),(65 181905.03),(66 181657.53),(67 183290.92),(68 184708.48),(69 184931.97),(70 184452.53),(71 183969.81),(72 183796.05),(73 182939.98),(74 182557.69),(75 182539.72),(76 182078.42),(77 181556.23),(78 181965.72),(79 181908.16),
(1 14109.991),(2 39299.457),(3 64421.516),(4 83086.92),(5 96183.69),(6 103893.945),(7 109709.8),(8 114379.8),(9 118146.04),(10 122609.23),(11 127080.16),(12 131321.3),(13 136000.45),(14 139539.9),(15 142953.7),(16 145293.95),(17 146508.02),(18 148818.84),(19 151254.55),(20 153490.44),(21 155012.58),(22 156845.05),(23 158555.3),(24 159892.53),(25 159196.88),(26 158553.55),(27 158325.19),(28 158194.16),(29 159259.06),(30 160463.33),(31 160039.64),(32 158489.42),(33 157803.89),(34 156825.61),(35 156274.92),(36 155598.66),(37 156054.48),(38 156607.23),(39 156686.11),(40 156219.06),(41 156326.33),(42 157830.55),(43 158805.38),(44 157846.05),(45 156031.23),(46 154553.97),(47 155268.55),(48 157473.84),(49 159438.23),(50 161573.84),(51 162026.19),(52 162677.67),(53 163741.52),(54 164437.36),(55 163877.16),(56 163274.14),(57 163855.75),(58 164058.08),(59 163719.47),(60 163055.97),(61 162081.75),(62 160529.08),(63 158933.1),(64 158166.97),(65 158225.6),(66 159640.22),(67 161154.92),(68 162991.03),(69 164458.73),(70 165427.25),(71 164971.31),(72 164055.86),(73 162103.08),(74 161522.14),(75 160831.47),(76 161045.42),(77 161792.97),(78 162811.19),(79 163811.78),
(1 14176.282),(2 39216.33),(3 63023.59),(4 79478.14),(5 90062.43),(6 98150.1),(7 104786.164),(8 110991.29),(9 115173.55),(10 118794.85),(11 122259.164),(12 126255.07),(13 130552.32),(14 134747.61),(15 138562.3),(16 139619.92),(17 139928.98),(18 140985.17),(19 143213.67),(20 145469.78),(21 147065.28),(22 148929.58),(23 150884.4),(24 152586.08),(25 153610.56),(26 154800.25),(27 155240.81),(28 155962.45),(29 156357.25),(30 156811.61),(31 156195.22),(32 155107.17),(33 154137.92),(34 154077.13),(35 154863.84),(36 155182.38),(37 155121.95),(38 155164.45),(39 155741),(40 156661.52),(41 157393.42),(42 157533.2),(43 156999.58),(44 155890.22),(45 154861.08),(46 153934.84),(47 152410.39),(48 151261.27),(49 150276.13),(50 149498.2),(51 149266.81),(52 150614.4),(53 151545.4),(54 152553.88),(55 152883.27),(56 153841.23),(57 155377.16),(58 156992),(59 158039.2),(60 160016.83),(61 161696.73),(62 162863.4),(63 164194.94),(64 165762),(65 167269.53),(66 168595.67),(67 169252.58),(68 171594.33),(69 173621.95),(70 175530.63),(71 176298.19),(72 175863.83),(73 173513.73),(74 172835.66),(75 170657.53),(76 169013.44),(77 167081.58),(78 165556.98),(79 165640.98),
(1 14264.844),(2 39491.504),(3 63967.55),(4 81572.11),(5 94463.84),(6 103264.055),(7 109575.07),(8 114050.37),(9 117806.664),(10 120524.805),(11 123732.6),(12 127011.9),(13 130705.37),(14 133414.25),(15 135320.55),(16 134969.28),(17 134154.1),(18 135142.67),(19 136789.42),(20 138548.7),(21 141090.3),(22 143243.28),(23 145824.28),(24 147381.98),(25 147527.84),(26 148130.03),(27 148509.05),(28 148310.56),(29 147299.92),(30 146600.92),(31 146161),(32 146582.4),(33 147092.92),(34 147329.95),(35 147165.66),(36 148927.95),(37 151188.36),(38 152473.25),(39 153577.92),(40 154171.86),(41 154037.08),(42 153980.84),(43 153759.63),(44 153554.72),(45 153566.66),(46 152815.88),(47 152048.98),(48 151740.56),(49 151555.9),(50 151665.33),(51 152165.97),(52 152876.73),(53 153578.27),(54 155474.98),(55 157460.4),(56 158579.53),(57 159278.81),(58 160428.48),(59 161066.52),(60 160327.23),(61 160499.36),(62 161157.2),(63 161277.72),(64 161388.77),(65 160445.14),(66 159627.02),(67 159692.66),(68 160929.16),(69 161429.2),(70 162538.11),(71 163688.17),(72 163679.58),(73 163629.19),(74 163764.73),(75 163176.38),(76 163170.78),(77 164251.17),(78 165162.3),(79 165095.3),
(1 13686.126),(2 36745.6),(3 58224.973),(4 73989.51),(5 86084.99),(6 94629.42),(7 99776.414),(8 103881.984),(9 107340.555),(10 110326.31),(11 113566.21),(12 115815.42),(13 118555.51),(14 121941.78),(15 125029.63),(16 125459.984),(17 125130.3),(18 125495.26),(19 126826.77),(20 128908.695),(21 130145.19),(22 130564.03),(23 132009.1),(24 133575.92),(25 135109.84),(26 135964.17),(27 136219.39),(28 136492.5),(29 136863.2),(30 137730.53),(31 139223.84),(32 140167.08),(33 140271.11),(34 140298.39),(35 141292.58),(36 142998.23),(37 144137.55),(38 145007.56),(39 145280.06),(40 144436.95),(41 143788.95),(42 144016.33),(43 142891.27),(44 141480.92),(45 141076.64),(46 141297.64),(47 142651.14),(48 144745.19),(49 145160.72),(50 144936.25),(51 145233.42),(52 144654.75),(53 143437.47),(54 142889.69),(55 141874.31),(56 142186.44),(57 144001.92),(58 146058.38),(59 147140.08),(60 148235.4),(61 149579.67),(62 151353.81),(63 151741.92),(64 151064.25),(65 150425.27),(66 150210.48),(67 149641.67),(68 149215.98),(69 147996.06),(70 147512.88),(71 147153.55),(72 145809.66),(73 145081.63),(74 144790.06),(75 143764.75),(76 143352.58),(77 143443),(78 143147.63),(79 142837.08),
(1 14132.969),(2 38178.926),(3 60769.145),(4 76783.24),(5 88169.57),(6 96334.96),(7 102169.36),(8 107686.82),(9 112728.695),(10 117851.56),(11 122273.47),(12 125065.03),(13 126778.22),(14 128905.305),(15 130489.516),(16 130505.2),(17 131127.92),(18 131540.95),(19 132194),(20 133372.8),(21 134651.72),(22 135501.3),(23 136884.11),(24 137596),(25 138584.86),(26 139846.81),(27 139072.94),(28 137515.14),(29 136219.9),(30 135941.66),(31 136486.02),(32 137591.47),(33 137993.03),(34 137936.05),(35 138062.16),(36 138084.02),(37 137906.53),(38 137369.11),(39 136468.25),(40 134765.44),(41 133920.77),(42 134127.5),(43 135248.25),(44 135937.27),(45 136095.5),(46 136181.48),(47 136349.17),(48 137184.23),(49 138740.4),(50 140867.27),(51 143059.55),(52 144424.69),(53 144092.25),(54 143250.6),(55 143115.92),(56 143704.44),(57 144618.27),(58 146481.58),(59 147483.47),(60 147976.53),(61 148244.55),(62 148245.9),(63 147737.31),(64 147245.98),(65 147605.69),(66 148437.64),(67 149393.39),(68 150445.77),(69 151337.55),(70 151856.13),(71 152069.88),(72 152220.92),(73 152662.05),(74 152366.95),(75 152650.42),(76 153530.95),(77 153940),(78 153490.52),(79 152436.72),
(1 13857.279),(2 37355.82),(3 59262.35),(4 75261.39),(5 85564.92),(6 92381.86),(7 98840.695),(8 103853.914),(9 107531.63),(10 111198.164),(11 114357.875),(12 116958.58),(13 119333.54),(14 122037.414),(15 124149.15),(16 125924.81),(17 127408.9),(18 129973.484),(19 132031.88),(20 133543.89),(21 134841.14),(22 135792.3),(23 135850.92),(24 135565.88),(25 135396.03),(26 135668.45),(27 134973.16),(28 133510.73),(29 132870.2),(30 132322.9),(31 131900.56),(32 131447.4),(33 130080.086),(34 128052),(35 126864.9),(36 126686.76),(37 127075.15),(38 128911.96),(39 128842.234),(40 127449.93),(41 127087.164),(42 128304.23),(43 129507.164),(44 130436.66),(45 130490.74),(46 130561.06),(47 130293.02),(48 129599.29),(49 129680.016),(50 130288.88),(51 132302.81),(52 133889.97),(53 135252.75),(54 136921.94),(55 137644.64),(56 138177.03),(57 139198.31),(58 140000.25),(59 140477.44),(60 141173.16),(61 141939.25),(62 141886.69),(63 141556.11),(64 140654.16),(65 139843.67),(66 139912.84),(67 140161.38),(68 140316.56),(69 140096.06),(70 140148.14),(71 140545.7),(72 140842.23),(73 142028.2),(74 143070.28),(75 143262.27),(76 143401.13),(77 142718.69),(78 142214.66),(79 141575.66),
(1 13528.937),(2 36785.227),(3 57668.426),(4 72864.945),(5 83419.74),(6 91282.83),(7 96966.266),(8 101709.25),(9 105285.195),(10 108946.13),(11 112292.09),(12 114715.67),(13 117166.21),(14 119763.05),(15 121443.03),(16 121654.52),(17 122029.13),(18 123857.19),(19 124752.8),(20 125116.85),(21 125366.086),(22 126232.87),(23 126466.07),(24 125928.45),(25 125515.32),(26 125423.46),(27 124973.03),(28 125334.45),(29 126373.81),(30 127285.59),(31 126563),(32 126530.16),(33 127810.27),(34 127976.336),(35 128042.87),(36 127949.83),(37 128065.51),(38 127490.914),(39 125599.35),(40 123592),(41 123080),(42 122766.52),(43 123202.19),(44 123706.78),(45 124132.97),(46 125207.055),(47 126518.73),(48 127120.73),(49 127396.74),(50 127716.055),(51 127383.54),(52 127487.945),(53 128084.336),(54 127795.95),(55 127453.086),(56 127661.83),(57 127765.68),(58 128630.83),(59 130360.81),(60 132285.34),(61 134408.1),(62 136376.11),(63 138452.81),(64 138373.53),(65 138077.03),(66 137747.75),(67 137356.72),(68 137668.38),(69 137411.27),(70 137739.56),(71 137915.4),(72 138059.5),(73 137779.7),(74 137532.83),(75 138054.1),(76 138624.36),(77 137843.9),(78 137479.13),(79 137102.97),
(1 13596.805),(2 36643.977),(3 58624.805),(4 75461.99),(5 86631.63),(6 93618.26),(7 97429.77),(8 100100.37),(9 102410.36),(10 105763.05),(11 108856.16),(12 111200.484),(13 114221.82),(14 116236.39),(15 116722.53),(16 116536.484),(17 117662.234),(18 118557.76),(19 118657.52),(20 119528.086),(21 121201.37),(22 122227.3),(23 122436.23),(24 122351.59),(25 122223.37),(26 121606.87),(27 122468.734),(28 124180.27),(29 125106.32),(30 125094.664),(31 123717.38),(32 122595.35),(33 121072.49),(34 119814.94),(35 119561.08),(36 119489.15),(37 119797.61),(38 120180.53),(39 120479.3),(40 120326.77),(41 120828.26),(42 122217.42),(43 124124.72),(44 125181.61),(45 125071.164),(46 124759.586),(47 125656.69),(48 127266.96),(49 128801.86),(50 128951.71),(51 130219.5),(52 132525.69),(53 134064.97),(54 135477.72),(55 136417.7),(56 136994.08),(57 136940.06),(58 136239.39),(59 135956.64),(60 136314.72),(61 138155.86),(62 140009.16),(63 140585.44),(64 141118.27),(65 140886.1),(66 140198.44),(67 138881.75),(68 137688.83),(69 136341.27),(70 134311.2),(71 134082.88),(72 134986.19),(73 135275.58),(74 136084.06),(75 136473.92),(76 135359.67),(77 135023.97),(78 135867.23),(79 135910.5),
(1 13218.18),(2 35418.56),(3 55356.563),(4 69683.9),(5 79234.05),(6 85432),(7 88798.23),(8 91105.62),(9 93885.94),(10 97684.45),(11 101700.35),(12 105333.32),(13 107874.7),(14 108680.59),(15 108806.81),(16 108665.65),(17 108946.02),(18 108109.84),(19 107695.42),(20 107396.83),(21 107858.984),(22 108068.04),(23 108863.52),(24 109280.19),(25 109953.49),(26 110542.92),(27 110741.25),(28 111106.44),(29 111819.7),(30 112112.56),(31 111829.25),(32 111771.9),(33 111524.22),(34 110795.23),(35 110667.81),(36 110584.58),(37 111013.375),(38 112261.055),(39 114008.516),(40 114904.69),(41 115632.31),(42 116096.305),(43 116320.34),(44 117189.695),(45 117695.04),(46 117695.02),(47 117311.25),(48 118308.63),(49 119910.96),(50 119636.28),(51 119371.164),(52 119325.32),(53 119488.734),(54 120747.266),(55 121074.445),(56 121739.5),(57 122096.39),(58 122232.87),(59 122865.13),(60 123749.47),(61 124962.91),(62 126026.62),(63 126397.67),(64 126570.32),(65 127103.8),(66 126906.43),(67 126494.59),(68 126003.86),(69 124490.445),(70 122303.64),(71 122160.79),(72 122273.52),(73 122111.93),(74 122161.04),(75 121884.17),(76 121801.81),(77 121090.58),(78 120933.5),(79 121095.3),
(1 12949.319),(2 34401.406),(3 53566.43),(4 67068.06),(5 76446.69),(6 83512.68),(7 88790.71),(8 93146.945),(9 96766.61),(10 99287.1),(11 102054.625),(12 105606.9),(13 108948.72),(14 112050.85),(15 114473.9),(16 116934.125),(17 118694.25),(18 120017),(19 120616.51),(20 120432.53),(21 121299.625),(22 121626.164),(23 121602.266),(24 121922.17),(25 122796.97),(26 123575.734),(27 122413.836),(28 121524.305),(29 121615.21),(30 121810.34),(31 120677.414),(32 119065.086),(33 118692.25),(34 118579.805),(35 118940.21),(36 118784.484),(37 118187.87),(38 117030.8),(39 116966.46),(40 117299.71),(41 118205.54),(42 118714.74),(43 118582.79),(44 119173.086),(45 119377.02),(46 118869.85),(47 117455.03),(48 116874.21),(49 117363.42),(50 117890.945),(51 119275.34),(52 120217.586),(53 120719.836),(54 121180.23),(55 120658.586),(56 120280.03),(57 120578.51),(58 121734.21),(59 123812.21),(60 124304.93),(61 124574.97),(62 124689.984),(63 124283.516),(64 124261.914),(65 124845.7),(66 125684.87),(67 125208.164),(68 125001.586),(69 125316.1),(70 126340.555),(71 126984.08),(72 126735.586),(73 126222.1),(74 126379.984),(75 127866.61),(76 128555.445),(77 128863),(78 129154.7),(79 128575.086),
(1 12752.822),(2 33846.32),(3 52161.363),(4 65675.516),(5 74523.91),(6 80751.01),(7 85101.234),(8 88496.26),(9 90891.08),(10 93415.3),(11 95391.59),(12 98188.47),(13 100784.45),(14 102705.23),(15 104399.37),(16 106059.18),(17 107204.74),(18 108011.125),(19 108637.01),(20 109040.89),(21 110608.82),(22 111998.31),(23 112760.85),(24 113817.984),(25 114121.28),(26 114182.664),(27 112619.1),(28 110708.86),(29 109104.45),(30 107641.92),(31 106715.71),(32 106680.234),(33 107430.99),(34 108944.586),(35 108963.6),(36 108124.74),(37 106935.82),(38 107212.2),(39 107045.47),(40 106353.8),(41 106507.6),(42 108052.42),(43 109246.73),(44 109359.945),(45 108796.75),(46 108267.15),(47 107534.516),(48 107694.75),(49 107887.35),(50 109281.484),(51 110872.586),(52 112600.93),(53 113563.23),(54 113704.47),(55 112861.86),(56 112605.34),(57 113441.125),(58 114058.31),(59 115241.82),(60 116465.78),(61 117643.36),(62 118890.12),(63 118649.58),(64 118553.79),(65 118743.91),(66 118980.58),(67 118900.7),(68 118502.8),(69 118977.14),(70 120111.555),(71 120579.34),(72 121669.414),(73 121271.86),(74 120433.02),(75 120846.64),(76 122166.16),(77 123830.914),(78 125345.53),(79 126041.36),
(1 12717.457),(2 33537.355),(3 51721.71),(4 63798.17),(5 71782.164),(6 76896.234),(7 80507.805),(8 84126.734),(9 87116.445),(10 90393.695),(11 94254.19),(12 97680.52),(13 100321.24),(14 101133.03),(15 101201.92),(16 101778.52),(17 102368.34),(18 103319.12),(19 104137.086),(20 105480.36),(21 106917.47),(22 107489.234),(23 108304.38),(24 108363.82),(25 107783.69),(26 107330.234),(27 106271.94),(28 105190.39),(29 104514.13),(30 105508.94),(31 106129.1),(32 106140.91),(33 106314.516),(34 107187.516),(35 107486.18),(36 106953.58),(37 106857.04),(38 106274.95),(39 105681.836),(40 105781.6),(41 106803.1),(42 108095.28),(43 109342.16),(44 110429.41),(45 111388.5),(46 112023.09),(47 111984.18),(48 111185.02),(49 110649.266),(50 110069.93),(51 109591.18),(52 110141.375),(53 111021.49),(54 111354.64),(55 112456.86),(56 112949.586),(57 112237.73),(58 111991.516),(59 111960.58),(60 112426.67),(61 112649.945),(62 112786.61),(63 113794.38),(64 114562.73),(65 115400.35),(66 116324.16),(67 117547.5),(68 117923.98),(69 118587.18),(70 119074.16),(71 118981.74),(72 118372.65),(73 118022.47),(74 118251.9),(75 118397.93),(76 118452.55),(77 118789.69),(78 119353.06),(79 119100.04),
(1 12803.257),(2 34380.008),(3 53130.47),(4 65017.035),(5 72921.74),(6 79059.734),(7 83267.39),(8 87116.98),(9 90512.77),(10 93742.49),(11 96571.5),(12 98751.516),(13 100016.734),(14 101116.56),(15 100954.35),(16 100703.46),(17 100858.36),(18 102309.76),(19 103432.734),(20 104583.805),(21 106048.664),(22 106858.29),(23 106763.33),(24 105674.28),(25 105368.84),(26 105716.56),(27 106306.14),(28 106659.74),(29 107112.62),(30 107988.76),(31 108369.46),(32 108202.36),(33 108082.89),(34 107745.5),(35 108143.664),(36 109305.8),(37 110582.78),(38 110716.43),(39 110437.06),(40 109546.42),(41 108645.2),(42 108451.77),(43 109829.76),(44 111402.07),(45 111718.53),(46 110962.98),(47 110422.266),(48 110721.125),(49 110580.016),(50 110644.95),(51 110922.38),(52 111875.75),(53 112115.27),(54 113060.97),(55 113580.34),(56 112943.99),(57 112483.16),(58 112774.72),(59 113070.83),(60 113771.31),(61 114023.13),(62 115014.12),(63 115508.61),(64 114880.11),(65 114988.03),(66 114833.52),(67 114676.87),(68 114279.625),(69 114793.71),(70 116338.54),(71 118058),(72 118879.53),(73 120565.93),(74 121083.02),(75 121500.65),(76 122064.7),(77 121515.82),(78 120976.87),(79 120295.24),
(1 12270.391),(2 32812.695),(3 49836.953),(4 60158.883),(5 66485.07),(6 70899),(7 74181.73),(8 78098.695),(9 81625.52),(10 84797.266),(11 87746.67),(12 90494.04),(13 92842.375),(14 94041.8),(15 93782.125),(16 92416.38),(17 92349.23),(18 93408.03),(19 94701.47),(20 95466.03),(21 96130.39),(22 96952.46),(23 97443.53),(24 97813.64),(25 98468.734),(26 99600.39),(27 100273.836),(28 100207.414),(29 100342.51),(30 100310.08),(31 99374.18),(32 98949.07),(33 98747.695),(34 97804.23),(35 96582.93),(36 96951.82),(37 98497.86),(38 99232.58),(39 98899.57),(40 98319.82),(41 97757.42),(42 97034.85),(43 97783.32),(44 99350.48),(45 100273.1),(46 101522.29),(47 102577.91),(48 102955.91),(49 103850.56),(50 105355.49),(51 106333.305),(52 106796.41),(53 106791.59),(54 107272.914),(55 106980.19),(56 106923.336),(57 108042.33),(58 109216.71),(59 110343.62),(60 111673.48),(61 112247.164),(62 111984.22),(63 111476.31),(64 110420.92),(65 110211.016),(66 110457.03),(67 110779.92),(68 110436.67),(69 110071.1),(70 109886.016),(71 109691.61),(72 109491.35),(73 108948.586),(74 107916.6),(75 107334.586),(76 106563.96),(77 106257.586),(78 105982.516),(79 106163.44),
(1 12053.243),(2 32104.309),(3 49174.273),(4 60790.652),(5 68708.79),(6 74395.695),(7 77777.18),(8 80821.36),(9 83296.01),(10 85904.29),(11 88725.53),(12 90643.414),(13 91734.08),(14 92106.734),(15 93123.26),(16 93597.92),(17 93279.84),(18 94185.71),(19 95854.125),(20 96961.15),(21 97777.52),(22 98737.11),(23 98849.555),(24 99392.37),(25 99844.18),(26 99362.96),(27 98734.56),(28 99842.484),(29 100994),(30 100964.3),(31 100963.77),(32 101293.71),(33 101083.734),(34 101218.445),(35 100930.63),(36 101615.266),(37 102600.59),(38 103079.945),(39 104066.66),(40 104862.69),(41 104165.68),(42 102818.49),(43 101859.52),(44 102184.16),(45 103355.4),(46 103595.586),(47 103893.836),(48 105225.89),(49 106144.055),(50 106234.86),(51 106284.836),(52 106607.08),(53 106250.15),(54 105455.56),(55 105678.71),(56 106037.89),(57 106270.72),(58 106410.79),(59 106471.805),(60 106974.266),(61 106703.74),(62 106415.8),(63 106524.586),(64 107226.3),(65 108275.234),(66 108877.29),(67 109713.766),(68 110468.52),(69 110860.98),(70 111248.1),(71 110954.42),(72 110008.4),(73 109389.97),(74 108572.5),(75 108255.12),(76 107810.16),(77 107906.45),(78 107256.625),(79 106421.13),
(1 11295.391),(2 29747.48),(3 45217.027),(4 54841.883),(5 61127.73),(6 65254.195),(7 68422.31),(8 71786.43),(9 74413.28),(10 76847.51),(11 79583.836),(12 82004.48),(13 84739.76),(14 86508.09),(15 87743.09),(16 87906.875),(17 87986.46),(18 88842.016),(19 89846.67),(20 90518.04),(21 91332.164),(22 92227.984),(23 92670.94),(24 92653.65),(25 92798.914),(26 92930.57),(27 93085.31),(28 93012.75),(29 92503.33),(30 93184.92),(31 94277.26),(32 94216.54),(33 93561.54),(34 93052.08),(35 92990.28),(36 93621.266),(37 94932.805),(38 95672.38),(39 95751.03),(40 94977.72),(41 93943.41),(42 93884.64),(43 94150.055),(44 94872.47),(45 95311.164),(46 95349.016),(47 95713.016),(48 96726.69),(49 98039.48),(50 98872.39),(51 99179.88),(52 98942.33),(53 99207.63),(54 99078.3),(55 98572.46),(56 98116.54),(57 98394),(58 98284.15),(59 98683.35),(60 99277.94),(61 100021.19),(62 100637.96),(63 100040.64),(64 100372.625),(65 100865.375),(66 101819.76),(67 102695.73),(68 102972.93),(69 103283.11),(70 103348.14),(71 102694.984),(72 102446.836),(73 102699.586),(74 102557.46),(75 101925.28),(76 102085.86),(77 103052.7),(78 103029.15),(79 103176.13),
(1 11675.204),(2 30258.35),(3 45950.875),(4 56099.938),(5 62263.984),(6 65881.2),(7 68628.45),(8 71667.96),(9 74696.38),(10 76836.88),(11 79485.49),(12 81826.67),(13 83064.52),(14 83747.51),(15 84341.695),(16 84641.86),(17 84561.28),(18 84478.39),(19 85110.24),(20 87331.625),(21 89239.71),(22 90631.85),(23 91204.06),(24 91621.36),(25 93168.74),(26 95168.64),(27 97059.06),(28 97648.695),(29 97031.984),(30 96258.586),(31 95530.34),(32 94515.94),(33 93520.24),(34 93284.61),(35 93421.055),(36 94017.25),(37 94775.58),(38 95599.695),(39 96545.516),(40 97371.555),(41 97461.82),(42 98066.86),(43 98685.33),(44 99963.86),(45 100463.125),(46 100319.75),(47 100001.75),(48 100356.09),(49 100460.1),(50 100487.08),(51 100480),(52 99914.96),(53 100272.195),(54 100045.67),(55 100020.75),(56 99331.04),(57 98493.15),(58 97877.086),(59 98089.89),(60 98566.88),(61 99789.96),(62 101000.15),(63 100195.53),(64 100322.305),(65 100383.89),(66 101074.914),(67 101409.82),(68 100943.19),(69 100399.07),(70 100112.5),(71 100646.94),(72 101340.65),(73 101721.164),(74 101466.13),(75 101303.32),(76 100896.55),(77 101125.45),(78 102370.07),(79 103433.71),
(1 11723.506),(2 30293.068),(3 45949.55),(4 56550.73),(5 64033.74),(6 68911.01),(7 71647.945),(8 73768.82),(9 75621.24),(10 77124.91),(11 78554.586),(12 79730.71),(13 81821.414),(14 83403.984),(15 84267.125),(16 84555.4),(17 84971.39),(18 85989.73),(19 87212.62),(20 88313.69),(21 89128.14),(22 89168.02),(23 88953.9),(24 88414.67),(25 88870.28),(26 89377.26),(27 89729.664),(28 90672.516),(29 91807.57),(30 92625.86),(31 92860.14),(32 93244.89),(33 92936.86),(34 92512.25),(35 93192.836),(36 94153.46),(37 94136.74),(38 94120.16),(39 93848.66),(40 93764.1),(41 92952.7),(42 93008.23),(43 93324.234),(44 93621.57),(45 93733.14),(46 93432.54),(47 93087.23),(48 93013.68),(49 92972.47),(50 92260.93),(51 92075.945),(52 92049.85),(53 93097.945),(54 94608.81),(55 95354.27),(56 95628.375),(57 95392.92),(58 95053.58),(59 94940.68),(60 95559.23),(61 95993.74),(62 96262.16),(63 95917.62),(64 95768.62),(65 96010.81),(66 95654.46),(67 96096.66),(68 96577.18),(69 96878.9),(70 96473.375),(71 96408.87),(72 95926.08),(73 95512.664),(74 95871.14),(75 95723.336),(76 94919.52),(77 94663.14),(78 94815.12),(79 95157.805),
